'ai'qi 嗳气
'che'yao'xing'zong'he'zheng 撤药性综合征
'chi'dai 痴呆
'chi'fa'xing'yun'dong'zhang'ai 迟发性运动障碍
'chi'gu'lian'he'song'xie 耻骨联合松懈
'chi'huan'xing'ma'bi 驰缓性麻痹
'chi'zhou'sun'hai 齿周损害
'chou'chu 抽搐
'chou'dong'hui'yu'zong'he'zheng 抽动秽语综合征
'chu'han'jian'shao 出汗减少
'chu'nuo 搐搦
'chu'xie'shi'jian'yan'chang 出血时间延长
'chu'xie'xing'pi'yan 出血性皮炎
'chu'xue'xing'jie'chang'yan 出血性结肠炎
'chu'xue'xing'pang'guang'yan 出血性膀胱炎
'chu'xue'xing'wei'yan 出血性胃炎
'chuan'ming 喘鸣
'chuan'ran'xing'gan'yan 传染性肝炎
'chui'ti'bing 垂体病
'chui'ti'gong'neng'bu'quan 垂体功能不全
'chun'bing 唇病
'chun'gan 唇干
'chun'kui'yang'xing'cheng 唇溃疡形成
'chun'lie 唇裂
'chun'yan 唇炎
'ci'ji'su'zeng'jia 雌激素增加
'cu'si 猝死
'cu'xing'xian'ji'su'jian'shao 促性腺激素减少
'cu'xing'xian'ji'su'zeng'duo 促性腺激素增多
'cu'zhong'chu'xie 卒中出血
'cuo'chuang 痤疮
'cuo'jue 错觉
'da'bian'bian'se 大便变色
'da'bian'ji'po'xing'zeng'duo 大便急迫性增多
'da'bian'pin'lv'zeng'duo 大便频率增多
'da'bian'shi'jin 大便失禁
'da'nao'bing 大脑病
'da'nao'que'xie 大脑缺血
'da'nao'xue'guan'zhang'ai 大脑血管障碍
'da'pao'xing'zhen 大疱性疹
'da'xue'guan'yi'wei 大血管移位
'da'ye'xing'fei'yan 大叶性肺炎
'dai'xie'xing'jian'zhong'du 代谢性碱中毒
'dai'xie'xing'suan'zhong'du 代谢性酸中毒
'dai'zhuang'pao'zhen 带状疱疹
'dan'bai'niao 蛋白尿
'dan'chun'xing'pao'zhen 单纯性疱疹
'dan'dao'bi'suo 胆道闭锁
'dan'dao'bing 胆道病
'dan'gu'chun'jie'jing'shuan'zi 胆固醇结晶栓子
'dan'he'xi'bao'bai'xue'bing 单核细胞白血病
'dan'he'xi'bao'jian'shao 单核细胞减少
'dan'he'xi'bao'zeng'duo 单核细胞增多
'dan'hong'su'niao 胆红素尿
'dan'hong'su'xue'zheng 胆红素血症
'dan'hong'su'xue'zheng'jia'zhong 胆红素血症加重
'dan'jian'neng'zong'he'zheng 胆碱能综合征
'dan'jian'zhi'mei'jian'shao 胆碱酯酶减少
'dan'jian'zhi'mei'zeng'jia 胆碱酯酶增加
'dan'mo 淡漠
'dan'nang'bing 胆囊病
'dan'nang'tong 胆囊痛
'dan'nang'yan 胆囊炎
'dan'shen'jing'yan 单神经炎
'dan'tan 单瘫
'dan'xiao'guan'ai 胆小管癌
'dan'xiao'guan'xia'zhai 胆小管狭窄
'dan'zhi'niao 胆汁尿
'dan'zhi'xing'gan'ying'hua 胆汁性肝硬化
'dan'zhi'yu'ji'xing'gan'yan 胆汁淤积型肝炎
'dao'han 盗汗
'dao'jie 倒睫
'dao'zhi'nai'yao'xing'huo'yi'lai'xing'de'yao'wu 导致耐药性或依赖性的药物
'di'dan'bai'xue'zheng 低蛋白血症
'di'dan'gu'chun'xue'zheng 低胆固醇血症
'di'gai'xue'zheng 低钙血症
'di'jia'xue'zheng 低钾血症
'di'lin'suan'yan'xue'zheng 低磷酸盐血症
'di'lv'xue'zheng 低氯血症
'di'mei'xue'zheng 低镁血症
'di'na'xue'xing'jing'jue 低钠血性惊厥
'di'na'xue'zheng 低钠血症
'di'xue'jia 低血钾
'di'xue'rong'liang'zheng 低血容量症
'di'xue'se'su'xing'pin'xue 低血色素性贫血
'di'xue'tang 低血糖
'di'xue'tang'fan'ying 低血糖反应
'di'xue'tang'hun'mi 低血糖昏迷
'di'xue'ya 低血压
'dian'fen'mei'jiang'di 淀粉酶降低
'dian'fen'mei'zeng'jia 淀粉酶增加
'dian'fen'yang'bian'xing 淀粉样变性
'dian'jie'zhi'yi'chang 电解质异常
'dian'xian'da'fa'zuo 癫痫大发作
'die'dao'fa'zuo 跌倒发作
'dong'mai'dao'guan'kai'fang 动脉导管开放
'dong'mai'ji'xing 动脉畸形
'dong'mai'liu 动脉瘤
'dong'mai'liu'po'lie 动脉瘤破裂
'dong'mai'shuan'sai 动脉栓塞
'dong'mai'xue'shuan'xing'cheng 动脉血栓形成
'dong'mai'yan 动脉炎
'dong'mai'ying'hua 动脉硬化
'dong'mai'zhou'yang'ying'hua 动脉粥样硬化
'dong'yan'shen'jing'wei'xiang 动眼神经危象
'dou'fang'jie'chuan'dao'zu'zhi 窦房结传导阻滞
'dou'yan 窦炎
'duo'fa'xing'gu'sui'liu 多发性骨髓瘤
'duo'fa'xing'ji'xing 多发性畸形
'duo'fa'xing'qian'xue'shuan'xing'jing'mai'yan 多发性浅血栓性静脉炎
'duo'fa'xing'shen'xue'shuan'xing'jing'mai'yan 多发性深血栓性静脉炎
'duo'fa'xing'xue'shuan'xing'jing'mai'yan 多发性血栓性静脉炎
'duo'fa'xing'ying'hua'jia'zhong 多发性硬化加重
'duo'fa'xing'ying'hua'yang'zong'he'zheng 多发性硬化样综合征
'duo'han 多汗
'duo'ji'yan 多肌炎
'duo'jiang'mo'yan 多浆膜炎
'duo'mao 多毛
'duo'mao'zheng 多毛症
'duo'mao'zheng'jia'zhong 多毛症加重
'duo'niao 多尿
'duo'niao'zheng 多尿症
'duo'tai'ren'shen 多胎妊娠
'duo'xing'xing'hong'ban 多形性红斑
'e'bing'zhi 恶病质
'e'lie 腭裂
'e'meng 恶梦
'e'ni 呃逆
'e'xin 恶心
'e'xing'gan'zhong'liu 恶性肝肿瘤
'e'xing'gao're 恶性高热
'e'xing'hei'liu 恶性黑瘤
'e'xing'hou'zhong'liu 恶性喉肿瘤
'e'xing'jia'zhuang'xian'liu 恶性甲状腺瘤
'e'xing'lin'ba'liu 恶性淋巴瘤
'e'xing'luan'chao'nang'zhong 恶性卵巢囊肿
'e'xing'nao'liu 恶性脑瘤
'e'xing'pi'fu'zhong'liu 恶性皮肤肿瘤
'e'xing'yan'zhong'liu 恶性咽肿瘤
'e'xing'yi'xian'liu 恶性胰腺瘤
'e'xing'zhong'liu 恶性肿瘤
'er'du'xing 耳毒性
'er'ji'xing 耳畸形
'er'jian'ban'bi'suo'bu'quan 二尖瓣闭锁不全
'er'long 耳聋
'er'ming 耳鸣
'er'tong 耳痛
'er'tong'qi'tui'bian'xing'bing 儿童期蜕变性病
'er'yan'gu'guan'yan 耳咽鼓管炎
'er'ying'hua'zheng 耳硬化症
'fa'li 乏力
'fa're 发热
'fa'yin'kun'nan 发音困难
'fa'yu'chi'huan'zhe 发育迟缓者
'fa'zuo'xing'shui'bing 发作性睡病
'fan'hua'xing'jing'luan 泛化性痉挛
'fan'she'jian'ruo 反射减弱
'fan'she'kang'jin 反射亢进
'fang'chan 房颤
'fang'jian'ge'que 房间隔缺
'fang'she'xing'shao'shang 放射性烧伤
'fang'shi'chuan'dao'zu'zhi 房室传导阻滞
'fang'xing'xin'lv'shi'chang 房性心律失常
'fei'ai 肺癌
'fei'bian'ying'xing'rou'ya'zhong 肺变应性肉芽肿
'fei'bu'rou'ya'zhong 肺部肉芽肿
'fei'bu'zhang 肺不张
'fei'chan'hou'mi'ru 非产后泌乳
'fei'chong'xue 肺充血
'fei'chu'xue 肺出血
'fei'dan'bai'dan'jian'shao 非蛋白氮减少
'fei'dan'bai'dan'zeng'duo 非蛋白氮增多
'fei'dian'xing'xing'lin'ba'xi'bao'yi'chang 非典型性淋巴细胞异常
'fei'dong'mai'gao'ya 肺动脉高压
'fei'geng'si 肺梗死
'fei'ji'xing 肺畸形
'fei'jie'chang'qi'shi'yan 非结肠憩室炎
'fei'jin'run 肺浸润
'fei'pang 肥胖
'fei'qi'zhong 肺气肿
'fei'shuan'sai 肺栓塞
'fei'shui'zhong 肺水肿
'fei'te'yi'xing'bai'xi'bao'yi'chang 非特异性白细胞异常
'fei'te'yi'xing'chu'tong 非特异性触痛
'fei'te'yi'xing'chu'xie 非特异性出血
'fei'te'yi'xing'chui'ti'liu 非特异性垂体瘤
'fei'te'yi'xing'er'bing 非特异性耳病
'fei'te'yi'xing'liu 非特异性瘤
'fei'te'yi'xing'nei'fen'mi'bing 非特异性内分泌病
'fei'te'yi'xing'shi'gu 非特异性事故
'fei'te'yi'xing'shi'yu'yi'chang 非特异性食欲异常
'fei'te'yi'xing'shu'hou'bing'fa'zheng 非特异性术后并发症
'fei'te'yi'xing'wei'chang'dao'bing 非特异性胃肠道病
'fei'te'yi'xing'xian'ai 非特异性腺癌
'fei'te'yi'xing'xian'tian'yi'chang 非特异性先天异常
'fei'te'yi'xing'zhan'mo'yan 非特异性粘膜炎
'fei'te'yi'xing'zhi'dai'xie'bing 非特异性脂代谢病
'fei'te'yi'xing'zi'gong'bing 非特异性子宫病
'fei'wei'suo 肺萎缩
'fei'xian'wei'hua 肺纤维化
'fei'xin'bing 肺心病
'fei'xue'shuan'xing'cheng 肺血栓形成
'fei'yan 肺炎
'fei'yao'wu'guo'min 非药物过敏
'fei'ying'hua 肺硬化
'fei'ying'huan'shi 飞蝇幻视
'fei'yu'qi'de'yao'wu'wu'xiao 非预期的药物无效
'fen'jie'shi 粪结石
'fen'mian'yi'chang 分娩异常
'feng'shi'xing'duo'ji'tong 风湿性多肌痛
'feng'wo'zhi'yan 蜂窝织炎
'fu'bu'qiang'zhi 腹部强直
'fu'bu'zhang'da 腹部胀大
'fu'gao'yan 附睾炎
'fu'mo'chu'xie 腹膜出血
'fu'mo'hou'chu'xie 腹膜后出血
'fu'mo'hou'xian'wei'hua 腹膜后纤维化
'fu'mo'yan 腹膜炎
'fu'qiang'nei'chu'xie 腹腔内出血
'fu'shi 复视
'fu'shui 腹水
'fu'tong 腹痛
'fu'xie 腹泻
'fu'zhang 腹胀
'gai'zhi'chen'zhuo 钙质沉着
'gan'chu'xie 肝出血
'gan'da 肝大
'gan'gong'neng'bu'quan 肝功能不全
'gan'gong'neng'yi'chang 肝功能异常
'gan'huai'si 肝坏死
'gan'hun'mi 肝昏迷
'gan'jue'chi'dun 感觉迟钝
'gan'jue'guo'min 感觉过敏
'gan'jue'hun'luan 感觉混乱
'gan'jue'shen'jing'yan 感觉神经炎
'gan'jue'yi'chang 感觉异常
'gan'mei'sheng'gao 肝酶升高
'gan'nang'zhong 肝囊肿
'gan'pi'da 肝脾大
'gan'ran 感染
'gan'ran'jia'zhong 感染加重
'gan'ran'xing'guan'jie'yan 感染性关节炎
'gan'ran'yi'gan'xing'zeng'jia 感染易感性增加
'gan'shen'zong'he'zheng 肝肾综合征
'gan'shuai'jie 肝衰竭
'gan'xi'bao'sun'hai 肝细胞损害
'gan'yan 肝炎
'gan'yan'bing 干眼病
'gan'ying'bian 肝硬变
'gan'ying'hua 肝硬化
'gan'zhong'liu 肝肿瘤
'gang'men'bi'suo 肛门闭锁
'gang'men'sao'yang 肛门骚痒
'gang'men'zhang'ai 肛门障碍
'gang'tong 肛痛
'gao'an'xue'zheng 高氨血症
'gao'cao'suan'niao 高草酸尿
'gao'cui'ru'su'xue'zheng 高催乳素血症
'gao'dan'gu'chun'xue'zheng 高胆固醇血症
'gao'gai'niao 高钙尿
'gao'gai'xue'zheng 高钙血症
'gao'gan'you'san'zhi'xue'zheng 高甘油三酯血症
'gao'jia'xue'zheng 高钾血症
'gao'lin'suan'yan'xue'zheng 高磷酸盐血症
'gao'lv'xue'zheng 高氯血症
'gao'mei'xue'zheng 高镁血症
'gao'mi'du'zhi'dan'bai'jian'shao 高密度脂蛋白减少
'gao'na'xue'zheng 高钠血症
'gao'niao'suan'xue'zheng 高尿酸血症
'gao'niao'suan'xue'zheng'xing'shen'bing 高尿酸血症性肾病
'gao'qiu'dan'bai'xue'zheng 高球蛋白血症
'gao're 高热
'gao'tan'suan'xue'zheng 高碳酸血症
'gao'wan'bing 睾丸病
'gao'wan'e'xing'zhong'liu 睾丸恶性肿瘤
'gao'wan'fa'yu'bu'quan 睾丸发育不全
'gao'wan'yan 睾丸炎
'gao'xue'se'su'xing'pin'xue 高血色素性贫血
'gao'xue'tang 高血糖
'gao'xue'ya 高血压
'gao'xue'ya'jia'zhong 高血压加重
'gao'xue'ya'xing'nao'bing 高血压性脑病
'gao'zhi'xue'zheng 高脂血症
'ge'lin'ba'li'zong'he'zheng 格林巴利综合征
'gen'gu'gu'ci 跟骨骨刺
'geng'si'hou'xin'ji'po'lie 梗死后心肌破裂
'gong'ji'shi'tiao 共济失调
'gong'ji'xing'fan'ying 攻击性反应
'gong'jing'ai 宫颈癌
'gong'jing'fa'yu'bu'liang 宫颈发育不良
'gong'jing'sun'hai 宫颈损害
'gong'jing'tu'pian'shi'yan'yang'xing 宫颈涂片试验阳性
'gong'jing'xi'rou 宫颈息肉
'gong'jing'yan 宫颈炎
'gong'mo'yan 巩膜炎
'gong'nei'bi'yun'qi'bing'fa'zheng 宫内避孕器并发症
'gong'xing'ti'bing 弓形体病
'gu'an'xian'zhuan'tai'mei'zeng'jia 谷氨酰转肽酶增加
'gu'bing 骨病
'gu'bing'zhuan'an'mei'sheng'gao 谷丙转氨酶升高
'gu'cao'zhuan'an'mei'sheng'gao 谷草转氨酶升高
'gu'ding'xing'pi'zhen 固定型皮疹
'gu'fa'yu'yi'chang 骨发育异常
'gu'fei'hou 骨肥厚
'gu'ge'ji'xing 骨骼畸形
'gu'gu'tou'wu'xue'guan'xing'huai'si 股骨头无血管性坏死
'gu'huai'si 骨坏死
'gu'lian'jie 骨连接
'gu'liu 骨瘤
'gu'mo'chuan'kong 鼓膜穿孔
'gu'pen'jing'mai'xue'shuan'xing'jing'mai'yan 骨盆静脉血栓性静脉炎
'gu'pi 孤僻
'gu'pi'bing 孤僻病
'gu'ruan'hua 骨软化
'gu'sui'xian'wei'bian'xing 骨髓纤维变性
'gu'sui'yan 骨髓炎
'gu'sui'yi'zhi 骨髓抑制
'gu'sui'yi'zhi 骨髓移植
'gu'sui'zai'sheng'bu'quan 骨髓再生不全
'gu'sui'zeng'sheng 骨髓增生
'gu'sui'zeng'sheng'bing 骨髓增生病
'gu'sui'zhuan'hua 骨髓转化
'gu'tong 骨痛
'gu'wu'jun'xing'huai'si 骨无菌性坏死
'gu'yan 骨炎
'gu'ying'hua 骨硬化
'gu'zhi'ruan'hua 骨质软化
'gu'zhi'shu'song 骨质疏松
'gu'zhi'shu'song'zheng 骨质疏松症
'guan'jie'bing 关节病
'guan'jie'cheng'xing'shu 关节成形术
'guan'jie'ji'xing 关节畸形
'guan'jie'ji'xue 关节积血
'guan'jie'nei'you'li'ti 关节内游离体
'guan'jie'tong 关节痛
'guan'jie'yan 关节炎
'guan'jie'yan'jia'zhong 关节炎加重
'guan'mai'bing 冠脉病
'guan'xin'bing'wei'te'zhi 冠心病未特指
'guan'xing'niao 管行尿
'guan'zhuang'dong'mai'shu 冠状动脉术
'guan'zhuang'dong'mai'xue'shuan'xing'cheng 冠状动脉血栓形成
'guang'min'gan 光敏感
'guang'xue'que'xue'xing'shen'jing'bing 光学缺血性神经病
'gui'tou'bao'pi'yan 龟头包皮炎
'guo'du'cheng'shu'fen'mian 过度成熟分娩
'guo'min'fan'ying'wei'te'zhi 过敏反应未特指
'guo'min'xing'xiao'chuan 过敏性哮喘
'guo'min'xing'xiu'ke 过敏性休克
'guo'min'xing'zi'dian 过敏性紫癫
'guo'min'yang'fan'ying 过敏样反应
'guo'qi'liu'chan 过期流产
'han'bian'se 汗变色
'han'xian'bing 汗腺病
'han'zhan 寒战
'he'gu'ji'xing 颌骨畸形
'he'qian 呵欠
'hei'bian'bing 黑变病
'hei'fen'zheng 黑粪症
'hei'niao'bing 黑尿病
'heng'ge'fa'yu'bu'liang 横膈发育不良
'heng'wen'ji'rong'jie 横纹肌溶解
'hong'bai'xue'bing 红白血病
'hong'ban 红斑
'hong'ban'lang'chuang 红斑狼疮
'hong'ban'lang'chuang'shi'yan'yi'chang 红斑狼疮试验异常
'hong'ban'lang'chuang'xing'zhen 红斑狼疮性疹
'hong'ban'lang'chuang'zong'he'zheng 红斑狼疮综合征
'hong'ban'lang'chuang'zong'he'zheng'jia'zhong 红斑狼疮综合征加重
'hong'ban'xing'zhi'tong'bing 红斑性肢痛病
'hong'ban'zhen 红斑疹
'hong'mo'jie'zhuang'ti'yan 虹膜睫状体炎
'hong'mo'yan 虹膜炎
'hong'ren'zong'he'zheng 红人综合征
'hong'xi'bao'fa'yu'bu'quan 红细胞发育不全
'hong'xi'bao'ning'ji 红细胞凝集
'hong'xi'bao'yi'chang 红细胞异常
'hong'xi'bao'zeng'duo 红细胞增多
'hou'fen'li 骺分离
'hou'jing'luan 喉痉挛
'hou'shui'zhong 喉水肿
'hou'tian'nao'ji'shui 后天脑积水
'hou'tian'xing'ju'jie'chang 后天性巨结肠
'hou'tian'xing'xue'guan'liu 后天性血管瘤
'hou'yan 喉炎
'hu'xi'bing 呼吸病
'hu'xi'dao'chu'xie 呼吸道出血
'hu'xi'dao'ji'xing 呼吸道畸形
'hu'xi'gong'neng'bu'quan 呼吸功能不全
'hu'xi'ji'cu 呼吸急促
'hu'xi'kun'nan 呼吸困难
'hu'xi'xing'fen 呼吸兴奋
'hu'xi'xing'jian'zhong'du 呼吸性碱中毒
'hu'xi'xing'suan'zhong'du 呼吸性酸中毒
'hu'xi'xu'huan 呼吸徐缓
'hu'xi'yi'zhi 呼吸抑制
'hua'mo'yan 滑膜炎
'hua'nang'yan 滑囊炎
'huai'ju 坏疽
'huai'ju'xing'nong'pi'bing 坏疽性脓皮病
'huai'si'xing'kou'yan 坏死性口炎
'huan'jue 幻觉
'huan'qi'bu'zu 换气不足
'huan'qi'guo'du 换气过度
'huang'ban'bian'xing 黄斑变性
'huang'dan 黄疸
'huang'he'ban 黄褐斑
'huang'liu'bing 黄瘤病
'hui'chang'yan 回肠炎
'hui'ying'zong'he'zheng 灰婴综合征
'hun'mi 昏迷
'huo'dong'xing'zhen'jun'bing 活动性真菌病
'ji'bing 肌病
'ji'chu'xie 肌出血
'ji'di'xi'bao'ai 基底细胞癌
'ji'fa'xing'nong'du'bing 继发性脓毒病
'ji'fei'hou 肌肥厚
'ji'gan'qing'chu'lv'jiang'di 肌酐清除率降低
'ji'hong'dan'bai'niao 肌红蛋白尿
'ji'huo'de'teng'tong'xing'yan'zheng 激活的疼痛性炎症
'ji'ji'xing 肌畸形
'ji'jian'sun'hai 肌腱损害
'ji'jian'yan 肌腱炎
'ji'jing'luan 肌痉挛
'ji'ma'bi 肌麻痹
'ji'pi'zheng 棘皮症
'ji'rou'bu'sui'yi'shou'suo 肌肉不随意收缩
'ji'rou'gu'ge'bing 肌肉骨骼病
'ji'rou'gu'ge'tong 肌肉骨骼痛
'ji'rou'wei'suo 肌肉萎缩
'ji'suan'lin'suan'ji'mei'sheng'gao 肌酸磷酸激酶升高
'ji'sui'hui'zhi'yan 脊髓灰质炎
'ji'sui'ji'mo'tu'chu 脊髓脊膜突出
'ji'sui'yan 脊髓炎
'ji'tai'liu 畸胎瘤
'ji'tong 肌痛
'ji'wu'li 肌无力
'ji'xing'bai'xue'bing 急性白血病
'ji'xing'quan'shen'xing'xiao'nong'pao 急性全身性小脓疱
'ji'xing'shen'shuai'jie 急性肾衰竭
'ji'xing'shou 畸形手
'ji'xing'xun'ma'zhen 急性荨麻疹
'ji'xing'ying'ji'xing'fan'ying 急性应激性反应
'ji'xing'zu 畸形足
'ji'yan 肌炎
'ji'yi'li'jian'tui 记忆力减退
'ji'zhu'ji'xing 脊柱畸形
'ji'zhu'lie 脊柱裂
'jia'bing 甲病
'jia'gou'yan 甲沟炎
'jia'niao'zeng'duo 钾尿增多
'jia'tai'dan'bai'han'liang'zeng'jia 甲胎蛋白含量增加
'jia'xing'nao'mo'yan 假性脑膜炎
'jia'yun 假孕
'jia'zhuang'pang'xian'gong'neng'jian'tui 甲状旁腺功能减退
'jia'zhuang'pang'xian'gong'neng'kang'jin 甲状旁腺功能亢进
'jia'zhuang'xian'bing 甲状腺病
'jia'zhuang'xian'gong'neng'jian'tui 甲状腺功能减退
'jia'zhuang'xian'gong'neng'kang'jin 甲状腺功能亢进
'jia'zhuang'xian'gong'neng'kang'jin'jia'zhong 甲状腺功能亢进加重
'jia'zhuang'xian'liu 甲状腺瘤
'jia'zhuang'xian'nang'zhong 甲状腺囊肿
'jia'zhuang'xian'su'jian'shao 甲状腺素减少
'jia'zhuang'xian'su'zeng'jia 甲状腺素增加
'jia'zhuang'xian'yan 甲状腺炎
'jia'zhuang'xian'zhong 甲状腺肿
'jian'duan'niu'zhuan'xing'shi'su 尖端扭转性室速
'jian'nan'suo'jun'fu'xie 艰难梭菌腹泻
'jian'po'lie 踺破裂
'jian'qi'yan'chang 间期延长
'jian'qiao'yan 腱鞘炎
'jian'wang 健忘
'jian'xie'xing'bo'xing 间歇性跛行
'jian'xing'lin'suan'mei'sheng'gao 碱性磷酸酶升高
'jian'zhi'xing'shen'yan 间质性肾炎
'jian'zhong'du 碱中毒
'jiao'cha'gan'ran 交叉感染
'jiao'gong'fan'zhang 角弓反张
'jiao'hua'guo'du 角化过度
'jiao'ji'bu'an 焦急不安
'jiao'liu'zhang'ai 交流障碍
'jiao'lv 焦虑
'jiao'mo'bing 角膜病
'jiao'mo'hun'zhuo 角膜浑浊
'jiao'mo'ji'wu 角膜积物
'jiao'mo'jie'mo'yan 角膜结膜炎
'jiao'mo'kui'yang 角膜溃疡
'jiao'mo'shui'zhong 角膜水肿
'jiao'mo'yan 角膜炎
'jiao'yuan'bing 胶原病
'jiao'zao'bu'an 焦燥不安
'jie'bing 疖病
'jie'chang'ai 结肠癌
'jie'chang'qi'shi'bing 结肠憩室病
'jie'chang'qi'shi'yan 结肠憩室炎
'jie'chang'yan 结肠炎
'jie'chu'xing'pi'yan 接触性皮炎
'jie'he'jun'gan'ran 结核菌感染
'jie'he'xing'gu'yan 结核性骨炎
'jie'jia 结痂
'jie'jie'xing'duo'dong'mai'yan 结节性多动脉炎
'jie'jie'xing'duo'fa'xing'dong'mai'yan 结节性多发性动脉炎
'jie'jie'xing'hong'ban 结节性红斑
'jie'mao'sheng'zhang 睫毛生长
'jie'mo'bing 结膜病
'jie'mo'chong'xue 结膜充血
'jie'mo'chu'xie 结膜出血
'jie'mo'kui'yang 结膜溃疡
'jie'mo'se'su'yi'chang 结膜色素异常
'jie'mo'yan 结膜炎
'jie'she 结舌
'jie'tan 截瘫
'jie'xing'xin'lv'bu'qi 结性心律不齐
'jin'shi 近视
'jin'zhang'zheng'fan'ying 紧张症反应
'jing'dong'mai'xue'shuan'xing'cheng 颈动脉血栓形成
'jing'jue 惊厥
'jing'jue'jia'zhong 惊厥加重
'jing'kong 惊恐
'jing'lin'ba'jie'bing 颈淋巴结病
'jing'luan'xing'chang'geng'zu 痉挛性肠梗阻
'jing'luan'xing'ma'bi 痉挛性麻痹
'jing'mai'bi'se'xing'gan'bing 静脉闭塞性肝病
'jing'mai'bing 静脉病
'jing'mai'kuo'zhang 静脉扩张
'jing'mai'qu'zhang 静脉曲张
'jing'mai'tong 静脉痛
'jing'mai'yan 静脉炎
'jing'mai'yan'hou'zong'he'zheng 静脉炎后综合征
'jing'shen'bing 精神病
'jing'shen'cuo'luan 精神错乱
'jing'shen'fen'lie'yang'fan'ying 精神分裂样反应
'jing'shen'xing'shi'yong'zheng 精神性失用症
'jing'shen'xing'xing'jiao'kun'nan 精神性性交困难
'jing'shen'xing'yi'yu 精神性抑郁
'jing'shen'yun'dong'fa'yu'zhang'ai 精神运动发育障碍
'jing'yuan'xi'bao'liu 精原细胞瘤
'jing'zi'jing'bu'huan'dai'zong'he'zheng 精子颈部环代综合征
'jing'zi'yi'chang 精子异常
'jiu'jing'zhong'du 酒精中毒
'jiu'zha'bi 酒渣鼻
'ju'bu'fan'ying 局部反应
'ju'bu'ma'mu 局部麻木
'ju'bu'yong'yao'fan'ying 局部用药反应
'ju'ren'zheng 巨人症
'ju'xi'bao'xing'pin'xue 巨细胞性贫血
'ju'xian'xing'chou'chu 局限性抽搐
'ju'you'hong'xi'bao'xing'pin'xue 巨幼红细胞性贫血
'jun'lie 皲裂
'jun'niao 菌尿
'ka'shi'fei'nang'chong'gan'ran 卡氏肺囊虫感染
'ka'xie 咯血
'kang'dan'jian'neng'zong'he'zheng 抗胆碱能综合征
'kang'fen 亢奋
'kang'he'yin'zi'shi'yan'yang'xing 抗核因子试验阳性
'kang'li'niao'ji'su'bing 抗利尿激素病
