'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'chou'xin'si'chun'cao 抽心似春草
'chou'xing'er'mei'wang 丑兴而美亡
'chu'cang'wu'zhi'shen'shan 出苍梧之深山
'chu'dian'wu'gong'qi'mu'yan 楚殿吴宫起暮烟
'chu'men'jian'ke'qian'kou'zuo 出门见客箝口坐
'chu'men'mang'mang'he'suo'zhi 出门茫茫何所之
'chu'men'ou'er'tong'yi'xiang 出门偶尔同异乡
'chu'ren'jing'sha'tao'zhu'zi 楚人竟杀陶朱子
'chu'ru'ru'du'yan'zhi'shi 初如乳犊焉知事
'chu'shi'zai'san'bi'kou'wu'fu'lun 初筮再三闭口勿复论
'chu'wo'zhi'gu 出我之骨
'chua'qi'er'zhan 欻起而瞻
'chuan'ling'hui'xia'si'wang'zi 传令麾下四王子
'chui'wan'er'bu'ke'zhi'xi 吹万而不可执兮
'chui'yun'yi'wu'fan'luo'shang 垂云以舞翻罗裳
'chun'chi'xiang'fu 唇齿相扶
'chun'feng'bian'zi'mian 春风变淄渑
'chun'feng'ji'du'tao'hua'wu 春风几度桃花坞
'chun'qiu'chu'tou'you'er'shi'guo 春秋出头有二十国
'chun'shui'wei'e'qiu'she'lu 春水围鹅秋射鹿
'chun'tian'zhi'jiao'qiu'feng'ye 春田之角秋枫野
'chun'yu'yun'mo'xi 春聿云莫兮
'ci'hou'lai'er'zhi'cheng'xi'pian'xing'wang 此后来二支承袭偏兴旺
'ci'qing'geng'shen'yi'shan'po 此情更甚衣衫破
'ci'shan'yu'wo'ju'nan'jiang 此山与我俱南疆
'ci'sheng'bai'nian'shang'ke'xun 此生百年尚可循
'ci'sui'huan'xiang'yu'wang'yu 此虽幻想与妄语
'ci'wu'qun'zhu'kou'zhong'de 此物群猪口中得
'ci'yu'xiang'shan'zhi'hao'miao 此余翔扇之浩渺
'ci'yue'cang'long'chi'niao'tu'gui'xing 次阅苍龙赤鸟兔龟形
'cong'ci'shi'fu'shi'weng'ao 从此侍夫侍翁媪
'cong'er'hou'zhe'xing'yu'ju 从而后者骍与驹
'cong'gu'lai'san'bai'er'shi'ba'wan'zai 从古来三百二十八万载
'cu'cu'yang'zai'xiao'nong'jia 粗粗养在小农家
'cui'zu'xian'li'ye'da'men 催租县吏夜打门
'cun'zhong'ren'yu'ge'cha'cha 村中人语各诧诧
'cuo'e'qi'shi'er'feng'jian 嵯峨七十二峰间
'da'ben'hu'tu'liu'shui'zhang 大本糊涂流水帐
'da'cheng'huan'huan'xi'fu'ling'qiu 大城桓桓兮俯陵丘
'da'chuan'chu'wan'xiao'chuan'xi 大船初湾小船喜
'da'feng'piao'piao'huang'yun'sui 大风飘飘荒云随
'da'ji'ya'ya'nong'ji'zhu 大姬哑哑弄机杼
'da'jia'zheng'lai'bao 大家争来抱
'da'ma'song'jun'shou'lei'tun 打马送君收泪吞
'da'quan'cao'zai'lao'zi'shou 大权操在老子手
'da'tang'chuan'guo'er'shi'bei 大唐传国二十辈
'da'tang'tian'zi'cai'zhu'le'zhong'hua 大唐天子才主了中华
'da'xi'wang'yue'sha'sha'sha 大西王曰杀杀杀
'da'zai'nan'lao'li'liu'qi'zai 打在南牢里六七载
'dai'biao'yuan'shan'min'ji 戴表元剡民饥
'dai'fu'gao'jiao 大夫高叫
'dai'peng'lai'zhi'luo'ban 带蓬莱之落瓣
'dai'ru'di'wo 殆如敌我
'dai'xie'er'qu'gui'gu'li 待携儿去归故里
'dai'yong'gu'xi'an'yi'tong 迨永古兮安以同
'dan'he'zhi'qing'xi 淡荷之清兮
'dan'lv'zao'shi'long'zhun'gong 单吕早识隆准公
'dan'neng'yi'chang'shu'er'kui'chen'ji 但能以常数而窥陈迹
'dan'ping'zhe'yi'kuai'po'pi'liang'ye'ban 但凭着一块破皮两页板
'dan'qi'chu'si'de'qi'suo 但期处死得其所
'dan'ren'xiang'wen'cheng'yi'xiao 但人相问撑一笑
'dan'shi'dou'neng'ji'qian'zhi 儋石都能几钱直
'dan'yuan'qian'wan'nian 但愿千万年
'dan'zao'cha'lu'gong'zhao'mu 丹灶茶炉共朝暮
'dan'zhu'xing'ren'hao'xin'shi 但祝行人好心事
'dang'jie'shang'jie'de'yu'yang'da'gu'qiao 当街上借得渔阳大鼓敲
'dang'nian'yi'qi'he'ying'yang 当年意气何鹰扬
'dang'nian'zhao'shi'yan'qing'xin 当年诏使颜清心
'dang'qi'shi'ye 当其时也
'dang'ri'yun'jin'sheng'ceng'bo 荡日云锦生层波
'dang'shi'han'zu'wei'di'wang 当时汉祖为帝王
'dang'shi'wo'shi'sun'xing'zhe 当时我是孙行者
'dang'shi'zong'wu'lei'huan'yu'zhang'hua 当时纵无雷焕与张华
'dao'bu'ru'dan'fan'cu'cha'mao'wu'xia 倒不如淡饭粗茶茅屋下
'dao'de'yan'ji'hu'chong'yu 道德燕及乎虫鱼
'dao'qi'jian'wu'wang'zong'you'qian'zhang'zui 到其间武王纵有千张嘴
'dao'shi'ying'xiong'zao'fu'shou 倒使英雄遭妇手
'dao'ta'men'de'nv'xu'kao'zhe'jiao'wa 倒踏门的女婿靠着娇娃
'dao'zhui'ge'nv'xu'zhang'jiang'shan 倒赘个女婿掌江山
'de'jiu'wei'ru'chun 得酒味濡唇
'di'fu'tian'fan 地复天翻
'di'ru'ruo'you'ling 地汝若有灵
'di'shi'ru'ma'luan 砥石如麻乱
'di'wei'zhi'hua'ran'er'che'lie 地为之砉然而坼裂
'di'zai'you'xiong'xiong'jian'di 弟再有兄兄见弟
'di'zhou'yao'yao'xi'rong'yan'pen'bo 地轴摇摇兮熔岩喷薄
'dian'chu'liang'mu'yun'rao'shen 电出两目云绕身
'dian'jiao'de'cao'xie'diu'zai'shan'wa 垫脚的草鞋丢在山洼
'dian'wo'long'yuan 典我龙渊
'dian'zi'ji'nan'de'cong'tou'suan 电子机难得从头算
'diao'yu'xi'pan'fang'fu'cha 钓鱼溪畔放浮槎
'ding'deng'de'pei'jin'ai'xie'zui'ba 顶灯的裴瑾挨些嘴巴
'dong'gong'li'yang'guang'sha'le'fu 东宫里杨广杀了父
'dong'jia'hu'die'xi'jia'fei 东家胡蝶西家飞
'dong'liu'ru'hai'shu'bu'e 东流入海殊不恶
'dong'nan'hai'shui'bu'ke'ji 东南海水不可极
'dong'nan'shan'shui'shi'yan'se 东南山水失颜色
'dong'sen'sen'zhi'ju'he 洞森森之巨壑
'dong'ting'nan 洞庭南
'dou'men'lan'zhu'huang'jin'tai 都门懒筑黄金台
'dou'shuo'shi'wu'dao'hun'jun'he'gai'si 都说是无道昏君合该死
'du'cheng'wen'pai'an'lian'cheng'kuai 读成文拍案连称快
'du'fang'yu'er'pai'huai 度方隅而徘徊
'du'jiang'ri'qi'an'pai'hao 渡江日期安排好
'du'juan'hong'ji'yi'tian'hua 杜鹃红挤一天花
'du'li'wan'wu'zhi'biao'xi 独立万物之表兮
'du'yu'gu'wu'li'ye'shen 独与孤乌立夜深
'duan'bei'chun'yu'sheng'mei'tai 断碑春雨生莓苔
'duan'ming'dan'yun'ming'you'sha 断命但云命有煞
'dui'qing'shan'dian'dian'chou'wu'shu 对青山点点愁无数
'duo'cheng'rou'jiang'hai'jia'shang'cong'hua 剁成肉酱还加上葱花
'duo'duo'bi'ren'jie'wei'li 咄咄逼人皆卫李
'duo'kui'le'hou'yi'jiu'zhi'diao'ling'jian 多亏了后羿九枝雕翎箭
'duo'kui'le'shao'kang'yi'lv'zheng'chao'quan 多亏了少康一旅整朝权
'duo'meng'you'hao'xiang'lian 多蒙友好相怜
'duo'ri'yan'yan'xia'yan'zi 堕日淹淹下崦嵫
'duo'ru'yi'shan'ru'bi'li 咄汝一山如壁立
'duo'shao'wang'hou'duo'shao'zei 多少王侯多少贼
'duo'shi'tang'ren'suo'lin'ying'huang'zhi 多是唐人所临硬黄纸
'e'mei'ba'zi'hua'bu'shen 蛾眉八字画不伸
'er'gan'yu'wu 而敢予侮
'er'ge'yue 二歌曰
'er'jin'hui'shou'bu'ke'hui 而今回首不可悔
'er'ku'jian'chen'er'jian'shui 儿哭渐沉儿渐睡
'er'ku'you'ren'hong 儿哭有人哄
'er'mo'wo'duo 而莫我多
'er'shi'gu'qie'zou'jing'guo 儿时鼓箧走京国
'er'shui'xie'zou'di'xiong'xing 二水携走弟兄行
'er'suo'yan'zhe'jie'he'han 而所言者皆河汉
'er'tong'fang'xue'gui 儿童放学归
'er'tong'shi'mi'xu'ai'xi 儿童食糜须爱惜
'er'wo'jie'jie'qing'he'kan 而我孑孑情何堪
'er'wu'ni'chang'zhi'yu'man 而舞霓裳之纡缦
'er'xi'fu'qu'le'yi'jiang'nv 儿媳妇娶了邑姜女
'er'xuan'bi'xi'cong'cong 而旋避兮匆匆
'fa'wu'si'xi'tian'mo 发吾思兮天末
'fan'jiang'jiao'hai'you'luan'ru'ma 翻江搅海又乱如麻
'fan'lai'gu'jin'zuo'sheng'ya 贩来古今作生涯
'fan'si'xiang'ri'ting'zhang'shi 翻思向日亭长时
'fan'xie'de'guang'gun'shou'duan'qiang 贩鞋的光棍手段强
'fang'jiao'tian'shu'da'yu'tu 放教田鼠大于兔
'fang'shan'dao'shi'hu'bu'lai 芳山道士胡不来
'fang'zhe'ge'qin'ming'sheng'fu'bu'xue'hao 放着个钦明圣父不学好
'fei'chang'li'yi'he'ming 飞长唳以和鸣
'fei'fei'xi'yang'yang 菲菲兮阳阳
'fei'han'tang'zhi'ze'xi'geng'shui'chou 匪汉唐之则兮更谁俦
'fei'niao'bu'gan'ling 飞鸟不敢淩
'fei'shuang'fei'si'liang'ma'wu 匪双匪驷良马五
'fei'wu'zhi'ku'gao 飞物之枯槁
'fen'fen'zhu'ma'yin'bei'fan 纷纷逐马银杯翻
'fen'tu'zhi'qiang 粪土之墙
'feng'bian'yi'ri'er 风便一日耳
'feng'chui'huang'gao 风吹黄篙
'feng'huang'fei'chu'wu'tong'yin 凤皇飞出梧桐阴
'feng'lang'mo'shang'qi'zhu'ma 逢郎陌上骑竹马
'feng'li'yang'hua'sui'chu'luo 风里杨花随处落
'feng'liang'xi'wu'yu 风凉兮舞雩
'feng'sha'bu'duan'xing'ren'jie 风沙不断行人嗟
'feng'shuang'bi'jin'shen'shang'yi 风霜弊尽身上衣
'feng'shui'qing'qie'ji 风水清且激
'feng'xuan'dan'jia'wu'men'bei'nan'su 冯谖弹铗无门悲难诉
'feng'yun'geng'zai'mo'ce'jian 风云更在莫测间
'feng'zi'kai'hu'sheng'hua'ji'qi'si 丰子恺护生画集其四
'fu'bi'chi'zhang'zhi'rou'ji'xi 腐彼弛张之肉肌兮
'fu'de'dong'lai 扶得东来
'fu'gui'le'zai'gui'gu'xiang 富贵乐在归故乡
'fu'kong'jiu'tian'shang 复恐九天上
'fu'si'jia'po'ru'dian'mo 夫死家破如电抹
'fu'wei'tui 夫为推
'fu'wei'wan 妇为挽
'fu'yin'xi'xiu'jian 孚尹兮袖间
'fu'you'zhang'yu'ru'jian 抚右掌于汝肩
'fu'yun'bu'jian'shan'ding'xiang 浮云不见山顶相
'fu'yun'yi'bi'lin'zi'jun 浮云一蔽临淄君
'fu'zi'xiang'kan'kong'lei'liu 妇子相看空泪流
'gai'yuan'jian'hao'luan'ru'ma 改元建号乱如麻
'gan'dong'de'er'shi'ba'xiu'xia'tian'cao 感动的二十八宿下天曹
'gao'huang'xian'shi'wan'wu'biao 高皇先识万物表
'gao'ren'mei'ai'cai'qi'ying 高人每爱采其英
'gao'seng'shuo'fa'ye'lai'ting 高僧说法夜来听
'gao'shi'li'yu'shan'xiang'yu 高士例与山相娱
'gao'you'cheng 高邮城
'ge'bi'suo'mo'xi'lv'zhou'kui 戈壁索漠兮绿洲岿
'ge'feng'tai'qian'chun'cao'bi 歌风台前春草碧
'ge'feng'tai'qian'he'shui'huang 歌风台前河水黄
'ge'ge'jin'sheng'wu'yan'zhe 各各噤声无言者
'ge'yue 歌曰
'ge'zuo'ying'xiang'jian 隔坐应相见
'geng'ke'xiao'jian'zhao'dang'sheng'lai'dao'gao 更可笑剪爪当牲来祷告
'geng'ru'tong'jing'jin'mei'yu 更如同精金美玉
'geng'xi'de'ti'diao'liang'shan'xin'gua'yin 更喜的提调两陕新挂印
'gong'bu'zhi'xi'yi'qi'yu'chong 功不至兮亦岂予忡
'gong'chuan'yu'kou'hong 觥船饫口红
'gong'nan'peng'er'gao'qian 共南鹏而高迁
'gong'wu'du'he 公无渡河
'gong'yi'kou'xi'mao'yu'zhi 恭以叩兮旄羽雉
'gong'yu'tao'hua'tang 共浴桃花汤
'gou'neng'ru'ci'yuan'yi'sui 苟能如此愿已遂
'gou'yi'ye'zhi'gu'zhou 觏一叶之孤舟
'gou'yu'lang'feng'ying'bu'shi 苟与郎逢应不识
'gu'ban'zheng'zhuan'de'fang'xiao'ru 古板正传的方孝儒
'gu'hui'ye'zi'nan'wei'ji 骨灰也自难为计
'gu'jian'sha'ren'hai'cheng'zhi'bao 古剑杀人还称至宝
'gu'jin'shang'xia'duo'a 古今上下多阿
'gu'jiu'zhang'bu'ji'pian'zhang 古久帐簿几篇章
'gu'lai'ci'shi'wu'bu'ran 古来此事无不然
'gu'lai'gong'shuo'ren'sheng'wu'ma'gui 古来共说人生五马贵
'gu'lai'tie'wa'jin'piao'yang 古来铁瓦尽飘扬
'gu'lao'ya'jian'song'bai'tu 谷老崖坚松柏秃
'gu'lei'che'er'lie'chang'kong 鼓雷车而裂长空
'gu'qie'zhou'xuan 姑且周旋
'gu'quan'wu'meng'shi 孤犬无猛噬
'gu'shi'cong'tou'kan 古史从头看
'gu'sui'hua'zhi'chi 顾岁华之驰
'gu'xue'xia'ying'hu'bo'hui 古雪下映湖波洄
'gu'xue'xin'gan'zuo'geng'tang 骨血心肝作羹汤
'gua'jing'xian'lin'hai'xian'ci'zha 刮净鲜鳞还嫌刺扎
'guai'fei'guan'zhen'bao 怪非观珍宝
'guai'jun'he'chu'de'ci'ben 怪君何处得此本
'guan'bao'ping'an 管保平安
'guan'guo'ru'yan'ling 观国如延陵
'guan'jie'qing'gao'hu'nong'ren 惯借清高唬弄人
'guan'men'kai 关门开
'guan'men'liang'xiang'dang'tian'kai 关门两向当天开
'guang'ning'tai'shou'lai'jian'yu 广宁太守来肩舆
'gui'lai'tiao'chu'yin'yang'wu'xing'wai 归来跳出阴阳五行外
'gui'lai'xiao'fu'ling'song'xia 归来笑抚灵松下
'gui'li'you'bu'sheng 鬼力犹不胜
'gui'ling'bei 桂岭北
'gui'mu'pi'mi 鬼母披靡
'gui'tu'you'sheng'xiao'gui'tu 闺土又生小闺土
'gui'yan'jian'xi'bu'ke'duo 桂偃蹇兮不可掇
'gun'long'pao'chuan'zhe'yi'ling'da'bu'shan 衮龙袍穿这一领大布衫
'guo'chu'yi'mo'wu'he'tou 过处一抹无禾头
'guo'ci'shu'dao'you'wo'huan 过此蜀道有我欢
'guo'que'er'de'bing'lai'dang'bu'zhu 郭雀儿的兵来挡不住
'hai'bu'lai 还不赖
'hai'keng'shang'yi'dui'nv'jiao'e 还坑上一对女娇娥
'hai'ri'chu'sheng'kai'xiao'lan 海日初升开晓岚
'hai'shan'dao'ren'zhong'bai'yu 海山道人种白玉
'hai'shi'jin 还使劲
'hai'tian'zheng'he'dao'qu'bian 害田争合到渠边
'hai'yun'xu'shen'hua'lou'ge 海云嘘蜃化楼阁
'han'chu'ru'jiang 汗出如浆
'han'gan'shui'yi'nian'nian'ri 旱干水溢年年日
'hao'si'sheng'sheng'shuo 好似声声说
'hao'tian'jie'jie'xi 昊天嗟嗟兮
'hao'xing'zhi'shi'lai'wan'tie'huang'jin'se 好兴致时来顽铁黄金色
'he'bi'geng'wen'dang'nian'shui 何必更问当年谁
'he'bian'zhen'shang'dao'yi'chui 河边砧上捣衣棰
'he'cha'xiang'jiang'ri'zhuo'ling 荷锸相将日斲苓
'he'chu'bu'shi'ren'rou'yan 何处不是人肉宴
'he'feng'leng'lu'yi'pu'tuan 和风冷露一蒲团
'he'jin'qi'mang 何今其盲
'he'ku'ru'si'ku'xiang'bi 何苦如斯苦相逼
'he'li'de'you'yu'fan'xia'shen'me'zui 河里的游鱼犯下什么罪
'he'luo'zhi'tu 河洛之图
'he'ru'du'juan'de'tian'zhen 何如杜鹃得天真
'he'shang'duo'feng'bo 河上多风波
'he'shi'bao'de'san'chun'hui 何时报得三春晖
'he'shui'huang 河水黄
'he'ya'shang'liang'chang'xia'guan'le'bing 河崖上两场瞎关了兵
'he'yi'ju'zhi'gui'shu'cong 何以居之桂树丛
'he'yi'you'zhi'bei'xing'san 何以侑之杯行三
'heng'hao'miao'zhi'qiong'lu 横浩渺之穹庐
'heng'shan'lian'yan'xiao'xiang'hei 衡山连延潇湘黑
'hong'chen'zhi'chi'che'ma'chou 红尘咫尺车马稠
'hong'ni'wei'dai 虹霓为带
'hong'ri'chu'yu'zhao'chuang'mei 红日初欲照窗楣
'hong'tao'ru'shan'a 洪涛如山阿
'hong'zhu'wei'can'shen'zhang'yan 红烛未残深帐掩
'hou'lai'zuo'zhe'bu'dao'ci 后来作者不到此
'hou'you'hu'mu'dan 后有虎目眈
'hu'bu'shi'xi'yu'ni'bo'zhi'jiang'zhi 胡不识兮予逆波之将至
'hu'bu'you'le 胡不游乐
'hu'er'kuang'feng'zuo 忽尔狂风作
'hu'feng'bo'yi'wei'yi'xi 呼风伯以为役兮
'hu'hu'lang'nian'mei'shi'ba 忽忽郎廿妹十八
'hu'jia'jun'san'qian'sang'shang'ming'can'sheng 护驾军三千丧上命残生
'hu'lai'bu'xu'li'si'xu 呼来不许离斯须
'hu'ran'bian'xiang'luo'liang'chen 忽然鞭响落梁尘
'hu'tian'qing'xi'xi'bei'jiao 胡天倾兮西北角
'hu'wei'hu'wang'jian'nan'zhi'gong'shi'mo 胡为乎忘艰难之共湿沫
'hu'wu'di'xi'xi'chui 忽吾抵兮西陲
'hu'wu'xi'si'gu 忽寤兮四顾
'hu'xi'xiang'xu 呼吸相须
'hu'zhen'jia'chi'ling'yuan'xiu 忽振戛翅淩远岫
'hua'bu'tou'feng'wu'zhen'xi 花不透风无针隙
'hua'chu'ren'jian'wu'ma'tu 画出人间五马图
'hua'di'bu'cheng'hu'die'meng 花底不成胡蝶梦
'hua'jia'xue'shi'li'huo'ran 画家学诗理或然
'hua'jiao'shu'shang'de'tang'lang'zhua'er'ma 花椒树上的螳螂爪儿麻
'hua'kai'mu'shang'ren'he'chu 花开墓上人何处
'hua'shao'zhong'shan'cheng 花烧中潬城
'hua'wu'zhi'yan'qi'xi 华物之艳绮兮
'huai'shui'qing 淮水清
