'a'na'zha'wang 阿那吒王
'cun'wang'jun'zhan'li 存亡均沾利
'cuo'zhuo'huo'tang 锉斫镬汤
'da'a'na'zha'wang 大阿那吒王
'da'ai'jing'gui'wang 大爱敬鬼王
'da'bai'hao'xiang'guang 大白毫相光
'da'bao'lun'hao'guang 大宝轮毫光
'da'bei'da'yuan 大悲大愿
'da'bi'hao'xiang'guang 大碧毫相光
'da'bian'zhang'zhe 大辩长者
'da'bo're'guang'ming'yun 大般若光明云
'da'cheng'jing'dian 大乘经典
'da'ci'bei'guang'ming'yun 大慈悲光明云
'da'fan'tian 大梵天
'da'fu'de'guang'ming'yun 大福德光明云
'da'gong'de'guang'ming'yun 大功德光明云
'da'gong'dian'hao'guang 大宫殿毫光
'da'gui'yi'guang'ming'yun 大归依光明云
'da'hai'yun'hao'guang 大海云毫光
'da'heng'xiao'heng 大横小横
'da'hong'hao'xiang'guang 大红毫相光
'da'hui'zhi'zhong 大会之中
'da'ji'xiang'guang'ming'yun 大吉祥光明云
'da'jin'hao'xiang'guang 大金毫相光
'da'lv'hao'xiang'guang 大绿毫相光
'da'po'luo'men'deng 大婆罗门等
'da'qi'li'cha'wang 大祁利叉王
'da'qi'li'shi'wang 大祁利失王
'da'qian'lun'hao'guang 大千轮毫光
'da'qing'hao'xiang'guang 大青毫相光
'da'qing'yun'hao'xiang'guang 大庆云毫相光
'da'ri'lun'hao'guang 大日轮毫光
'da'rui'hao'xiang'guang 大瑞毫相光
'da'san'mei'guang'ming'yun 大三昧光明云
'da'sha'li 大刹利
'da'sheng'da'ci 大圣大慈
'da'shi 大士
'da'shi'zi'hou'yin 大狮子吼音
'da'wei'shen'li 大威神力
'da'wei'shen'li'li'yi'zhi'shi 大威神力利益之事
'da'xiao'du'qin'niang 大孝度亲娘
'da'xing'gong'yang 大兴供养
'da'yu'hao'xiang'guang 大玉毫相光
'da'yue'lun'hao'guang 大月轮毫光
'da'yun'lei'yin 大云雷音
'da'zan'tan'guang'ming'yun 大赞叹光明云
'da'zhang'zhe 大长者
'da'zhang'zhe'nv 大长者女
'da'zheng'gui'wang 大诤鬼王
'da'zhi'hui'guang'ming'yun 大智慧光明云
'da'zhi'hui'yin 大智慧音
'da'zhi'tong'san'zang 大智通三藏
'da'zhong'wu'cha'bie 大种无差别
'da'zhong'zhong'wu'se 大种中无色
'da'zhu'tu'di 答诸土地
'da'zi'hao'xiang'guang 大紫毫相光
'dan'dang'dui'zhu'fo'pu'sa'xiang'qian 但当对诸佛菩萨像前
'dan'dang'gui'yi'zhan'li 但当归依瞻礼
'dan'dang'zhan'li'ji'gong'yang 但当瞻礼及供养
'dan'gao'sheng'bai 但高声白
'dan'jie'zui'yuan 但结罪缘
'dan'jing'qi'gui'wang 啖精气鬼王
'dan'neng'hui'xiang'fa'jie 但能回向法界
'dan'neng'yu'zhu'fo'jiao'zhong 但能于诸佛教中
'dan'nian'de'yi'fo'ming'hao 但念得一佛名号
'dan'shao'shou'zu 但烧手足
'dan'shou'gui'wang 啖兽鬼王
'dan'tai'luan'gui'wang 啖胎卵鬼王
'dan'xue'gui'wang 啖血鬼王
'dan'yi'di'zang'ben'yuan'jing'yi'shi'xiu'xing'zhe 但依地藏本愿经一事修行者
'dan'yu'di'zang'xiang'qian 但于地藏像前
'dan'yu'fo'fa'zhong 但于佛法中
'dan'yuan'zhu'zhong'sheng 但愿诸众生
'dan'zao'fan'she 但早返舍
'dan'zui'ren'mu 啖罪人目
'dan'zuo'shan'shi 但作善事
'dang'cheng'jiu 当成就
'dang'ci'ju'jia 当此居家
'dang'de'cheng'fo 当得成佛
'dang'de'jie'tuo 当得解脱
'dang'de'pu'sa 当得菩萨
'dang'de'san'jie 当得三劫
'dang'du 当度
'dang'du'shi'bei 当度是辈
'dang'duo'wu'jian'di'yu 当堕无间地狱
'dang'duo'wu'wu'jian'di'yu 当堕五无间地狱
'dang'gao'su'shi'gu'rou 当告宿世骨肉
'dang'he'ming'ci'jing 当何名此经
'dang'ji'shi'jing 当记是经
'dang'jin'cai'shou'pu'sa'shi 当今财首菩萨是
'dang'ju'ben'ye'suo'gan'di'yu 当据本业所感地狱
'dang'ru'shi'xue 当如是学
'dang'sheng'ru'jia 当生汝家
'dang'sheng'wu'you'guo'tu 当生无忧国土
'dang'xian'xiang'shi 当现相时
'dang'xu'jiu'yuan'du'tuo'yi'qie'shou'ku'zhong'sheng 当须久远度脱一切受苦众生
'dang'xu'she'da'gong'yang 当须设大供养
'dang'zhi'di'zang'pu'sa 当知地藏菩萨
'dao'ci'di'yu 倒刺地狱
'dao'li'tian 忉利天
'dao'li'tian'gong 忉利天宫
'dao'li'tian'gong'shen'tong'pin'di'yi 忉利天宫神通品第一
'dao'ma'zhu'wei 稻麻竹苇
'de'da'an'le 得大安乐
'de'da'li'yi 得大利益
'de'da'li'yi'ji'jie'tuo'fou 得大利益及解脱否
'de'da'yong'hu 得大拥护
'de'er'shi'ba'zhong'li'yi 得二十八种利益
'de'huo'sheng'fen 得获圣分
'de'ji'zhong'fu'li 得几种福利
'de'jie'tuo'jing 得解脱竟
'de'qi'zhong'li'yi 得七种利益
'de'ru'shi'li'yi 得如是利益
'de'sheng'ren'tian 得生人天
'de'shou'shang'ji 得授上记
'de'tuo'di'yu 得脱地狱
'de'wen'di'zang'pu'sa'ming 得闻地藏菩萨名
'de'wen'yi'fo'ming 得闻一佛名
'de'wu'liang'fu 得无量福
'de'zhi'pu'ti 得至菩提
'di'shen 地神
'di'shen'hu'fa'pin'di'shi'yi 地神护法品第十一
'di'ting'di'ting 谛听谛听
'di'yu'he'zai 地狱何在
'di'yu'ming'hao'ji'e'bao'deng'shi 地狱名号及恶报等事
'di'yu'ming'hao'pin'di'wu 地狱名号品第五
'di'yu'ru'wei'kong 地狱如未空
'di'yu'zai'zhong 地狱在中
'di'yu'zui'bao 地狱罪报
'di'zang 地藏
'di'zang'bai'fo'yan 地藏白佛言
'di'zang'bai'yan 地藏白言
'di'zang'ben'shi 地藏本誓
'di'zang'da'yan 地藏答言
'di'zang'di'zang 地藏地藏
'di'zang'hong'kai 地藏宏开
'di'zang'ming'zi'ren'ruo'wen 地藏名字人若闻
'di'zang'pu'sa 地藏菩萨
'di'zang'pu'sa'bai'fo'yan 地藏菩萨白佛言
'di'zang'pu'sa'bai'qian'fang'bian 地藏菩萨百千方便
'di'zang'pu'sa'bai'sheng'mu'yan 地藏菩萨白圣母言
'di'zang'pu'sa'ben'yuan'gong'de'song 地藏菩萨本愿功德颂
'di'zang'pu'sa'ben'yuan'jing 地藏菩萨本愿经
'di'zang'pu'sa'ben'yuan'jing'juan'shang 地藏菩萨本愿经卷上
'di'zang'pu'sa'ben'yuan'jing'juan'xia 地藏菩萨本愿经卷下
'di'zang'pu'sa'ben'yuan'jing'juan'zhong 地藏菩萨本愿经卷中
'di'zang'pu'sa'da'shi'xiang 地藏菩萨大士像
'di'zang'pu'sa'fang'bian'li'gu 地藏菩萨方便力故
'di'zang'pu'sa'gao'pu'xian'pu'sa'yan 地藏菩萨告普贤菩萨言
'di'zang'pu'sa'jiu'yuan'jie'lai 地藏菩萨久远劫来
'di'zang'pu'sa'lei'jie'yi'lai 地藏菩萨累劫以来
'di'zang'pu'sa'mie'ding'ye'zhen'yan 地藏菩萨灭定业真言
'di'zang'pu'sa'mo'he'sa 地藏菩萨摩诃萨
'di'zang'pu'sa'mo'he'sa'bai'fo'yan 地藏菩萨摩诃萨白佛言
'di'zang'pu'sa'yu'jiu'yuan'jie'lai 地藏菩萨于久远劫来
'di'zang'pu'sa'zheng'shi'di'guo'wei'yi'lai 地藏菩萨证十地果位以来
'di'zang'wu'jin'bu'si'yi 地藏无尽不思议
'dian'guang'gui'wang 电光鬼王
'dian'wu'seng'ni 玷污僧尼
'ding'li'er'tui 顶礼而退
'ding'qi'qing'zhong 定其轻重
'ding'shou'fo'yu 顶受佛语
'ding'zi'zai'wang 定自在王
'ding'zi'zai'wang'bai'fo'yan 定自在王白佛言
'ding'zi'zai'wang'pu'sa'bai'shi'zun'yi 定自在王菩萨白世尊已
'dong'jing'chen'jie 动经尘劫
'dong'jing'jie'shu 动经劫数
'dong'jing'nian'yue 动经年月
'dong'jing'qian'bai'sui'zhong 动经千百岁中
'dong'jing'qian'wan'yi'jie 动经千万亿劫
'dong'jing'yi'jie 动经亿劫
'dong'xi'chi'zhu 东西驰逐
'dong'xi'er'zou 东西而走
'dong'xi'nan'bei 东西南北
'dou'lv'tuo'tian 兜率陀天
'du'bai'qian'wan'yi'ren 度百千万亿人
'du'e'qin'shou'ji'e'ren 毒恶禽兽及恶人
'du'jue'e'meng 杜绝恶梦
'du'shi'jing'yi'bian 读是经一遍
'du'tuo'ru'shi'deng 度脱如是等
'du'tuo'shi'ren 度脱是人
'du'tuo'yi'qie'zui'ku'zhong'sheng 度脱一切罪苦众生
'du'tuo'zhong'sheng 度脱众生
'du'you'yi'yu 独有一狱
'du'yu'liu'dao 度于六道
'duan'yan'bi'bei 端严毕备
'duan'zheng'shou'sheng 端正受生
'duan'zheng'xiang'hao 端正相好
'duan'zuo'nian'jue'hua'ding'zi'zai'wang'ru'lai 端坐念觉华定自在王如来
'duan'zuo'si'wei'wu'zhi'ming'hao 端坐思惟吾之名号
'dui'bing'ren'qian 对病人前
'dui'fo'pu'sa 对佛菩萨
'dui'jing'xiang'qian 对经像前
'dui'mo'ju'zao 碓磨锯凿
'dui'qing'jing'lian'hua'mu'ru'lai'xiang'qian 对清净莲华目如来像前
'duo'bei'e'ye'lai'jie'qi'xin 多被恶业来结其心
'duo'cuan'huo'qiang 多攒火枪
'duo'da'di'yu 堕大地狱
'duo'e'gui'wang 多恶鬼王
'duo'e'qu'zhe 堕恶趣者
'duo'e'qu'zhong 堕恶趣中
'duo'e'shao'shan 多恶少善
'duo'ji'bing'zhe 多疾病者
'duo'jie'da'shu 多解大术
'duo'lai'wu'shen 多来忤身
'duo'luo'ye'ye 多啰夜耶
'duo'ren'yi'man 多人亦满
'duo'sheng'tian'shang 多生天上
'duo'shi'qi'zi 多食其子
'duo'tui'chu'xin 多退初心
'duo'you'jing'bu 多有惊怖
'duo'yu'e'dao 堕于恶道
'duo'yu'sheng'yin 多遇圣因
'duo'zai'e'qu 堕在恶趣
'duo'zai'mi'ren 咄哉迷人
'duo'zai'nan'zi 咄哉男子
'duo'zao'zhong'e 多造众恶
'duo'zao'zhong'zui 多造众罪
'duo'zhu'du'e 多诸毒恶
'duo'zhu'e'shou 多诸恶兽
'duo'zhu'ye'cha 多诸夜叉
'duo'zhu'zui'ren 多诸罪人
'duo'zu'duo'tou 多足多头
'e'bing'heng'bing 恶病横病
'e'du'gui'wang'he'zhang'gong'jing 恶毒鬼王合掌恭敬
'e'shen'e'gui'bing'e'feng 恶神恶鬼并恶风
'e'xi'jie'guo 恶习结果
'e'xi'jie'ye 恶习结业
'e'ye'xiao'mie 恶业消灭
'er'bai'bi'zi 而白婢子
'er'bai'fo'yan 而白佛言
'er'bai'jie'zhong 二百劫中
'er'bai'kong'jie 而白空界
'er'bai'kong'yue 而白空曰
'er'bu'wen'ku'sheng 耳不闻苦声
'er'ci'nv'mu 而此女母
'er'de'ci'xiang 而得此相
'er'de'li'yi 而得利益
'er'du'tuo'zhi 而度脱之
'er'du'zui'ku'zhong'sheng 而度罪苦众生
'er'gao'guang'mu 而告光目
'er'jiao'hua'zhi 而教化之
'er'nai'huo'yi 而乃获一
'er'nai'yan'shuo 而乃言说
'er'nai'yong'fei 而乃涌沸
'er'neng'cheng'jiu'bu'si'yi'shi 而能成就不思议事
'er'neng'zuo'fo'shi 而能作佛事
'er'qian'wu'su'shi'zhi'shi 而遣悟宿世之事
'er'ru'ci'lu 而入此路
'er'shi 尔时
'er'shi'ba 二十八
'er'shi'ba'zhe 二十八者
'er'shi'di'zang'pu'sa'mo'he'sa 尔时地藏菩萨摩诃萨
'er'shi'er'zhe 二十二者
'er'shi'fo'mu'mo'ye'fu'ren 尔时佛母摩耶夫人
'er'shi'fo'zan'di'zang'pu'sa'yan 尔时佛赞地藏菩萨言
'er'shi'jian'lao'de'shen'bai'fo'yan 尔时坚牢地神白佛言
'er'shi'jiu'ri 二十九日
'er'shi'jue'lin'pu'sa 尔时觉林菩萨
'er'shi'liu'zhe 二十六者
'er'shi'luo'han'fu'du'guang'mu'zhe 尔时罗汉福度光目者
'er'shi'qi'zhe 二十七者
'er'shi'san 二十三
'er'shi'san'zhe 二十三者
'er'shi'shi'zun 尔时世尊
'er'shi'si 二十四
'er'shi'si'zhe 二十四者
'er'shi'wu'zhe 二十五者
'er'shi'yi'zhe 二十一者
'er'shi'you'fo 尔时有佛
'er'shi'zhe 二十者
'er'shuo'ji'yan 而说偈言
'er'shuo'song'yan 而说颂言
'er'suo'sha'hai 尔所杀害
'er'wang'yi'ji 二王议计
'er'wei'jiao'hua 而为教化
'er'wo'zi'shen 而我自身
'er'yi'hua'du 而以化度
'er'you'se'ke'de 而有色可得
'er'you'xin'gu'hua 而由心故画
'er'yu'zhi'yan 而语之言
'er'zhe 二者
'er'zuo'du'tuo 而作度脱
'er'zuo'shi'yan 而作是言
'fa'bu'si'yi'xin 发不思议心
'fa'da'ci'xin 发大慈心
'fa'da'shi'yuan'yi 发大誓愿已
'fa'da'zhong'yuan 发大重愿
'fa'heng'he'sha'yuan 发恒河沙愿
'fa'hui'xiang'xin 发回向心
'fa'ru'shi'da'yuan 发如是大愿
'fa'shi'yuan'yi 发誓愿已
'fa'xin'du'xian'wang 发心度先亡
'fa'xin'gui'yi 发心归依
'fa'yin'zhong'xin 发殷重心
'fa'yin'zhong'xin'shen'wu'xin 发殷重心慎五辛
'fan'fu'tian 梵辅天
'fan'wei'sha'hai 翻为杀害
'fan'yang'zi'shou 犯殃自受
'fan'zhong'tian 梵众天
'fang'bai'qian'wan'yi'da'guang'ming'yun 放百千万亿大光明云
'fang'bai'qian'wan'yi'da'hao'xiang'guang 放百千万亿大毫相光
'fang'bian'jiu'ba 方便救拔
'fang'bian'zhi'shi 方便之事
'fang'bian'zuo'jiao'wang 方便作教王
'fang'cheng'fo'dao 方成佛道
'fang'da'guang'ming 放大光明
'fang'de'ren'shen 方得人身
'fang'de'shou'sheng 方得受生
'fang'de'yi'ci'dao'li'da'hui 方得诣此忉利大会
'fang'ru'shi'deng'bu'ke'shuo'guang'ming'yun'yi 放如是等不可说光明云已
'fang'shou'e'gui 方受饿鬼
'fang'zhi'xian'dao 方知险道
'fei'ci'er'shi 非此二事
'fei'dan'di'yu'zui'bao'yi'deng 非但地狱罪报一等
'fei'dan'fo'shen'du'xian'qi'qian 非但佛身独现其前
'fei'dan'ru'du'hu'shi'ren'gu 非但汝独护是人故
'fei'shen'gui'wang 飞身鬼王
'fei'wei'pu'sa'zhi'mu 非唯菩萨之母
'fei'zou'hai'shang 飞走海上
'fen'bu'zhu'cai'se 分布诸彩色
'fen'fen'ji'huo 分分己获
'fen'niao'di'yu 粪尿地狱
'fen'shen'bian'shi'fang 分身遍十方
'fen'shen'du'tuo 分身度脱
'fen'shen'ji'hui'pin'di'er 分身集会品第二
'fen'shen'qian'bai'yi 分身千百亿
'fen'shi'shen'xing 分是身形
'feng'jian'ta'ren 逢见他人
'feng'xian'fo'seng 奉献佛僧
'fo'gao'di'zang'pu'sa 佛告地藏菩萨
'fo'gao'ding'zi'zai'wang 佛告定自在王
'fo'gao'ding'zi'zai'wang'pu'sa 佛告定自在王菩萨
'fo'gao'guan'shi'yin'pu'sa 佛告观世音菩萨
'fo'gao'jian'lao'de'shen 佛告坚牢地神
'fo'gao'pu'guang 佛告普广
'fo'gao'pu'guang'pu'sa 佛告普广菩萨
'fo'gao'si'tian'wang 佛告四天王
'fo'gao'wen'shu'shi'li 佛告文殊师利
'fo'gao'xu'kong'cang'pu'sa 佛告虚空藏菩萨
'fo'gao'yan'luo'tian'zi 佛告阎罗天子
'fo'gao'zhu'ming'gui'wang 佛告主命鬼王
'fo'guo'xi'jie'yuan 佛果悉皆圆
'fo'ming'da'jiao 佛名大觉
