'a'nan 阿难
'bu'xin'si'hou'shen'ming'geng'sheng 不信死后神明更生
'bu'xin'xian'sheng'zhu'fo'jing'fa 不信先圣诸佛经法
'bu'xin'xing'dao'ke'de'du'shi 不信行道可得度世
'bu'xin'zuo'shan'de'shan 不信作善得善
'bu'xiu'shan'ben 不修善本
'bu'ye 不也
'bu'yu'si'ji 不豫思计
'bu'yu'xiu'shan 不豫修善
'bu'zhi'pu'sa'fa'shi 不知菩萨法式
'bu'zhi'sheng'suo'cong'lai 不知生所从来
'bu'zhi'xiu'shan 不知修善
'bu'zi'xiu'ye 不自修业
'bu'zuo'zhong'e 不作众恶
'can'hai'sha'lu 残害杀戮
'cao'wei'kang'seng'kai'yi 曹魏康僧铠译
'ceng'geng'jian'shi'zun 曾更见世尊
'ceng'wu'yi'shan 曾无一善
'chan'zei'dou'luan 谗贼斗乱
'chang'bu'jian'fo 常不见佛
'chang'fa'he'ya'yin 畅发和雅音
'chang'gong'cheng'yang'zan'tan'bi'fo 常共称扬赞叹彼佛
'chang'huai'dao'xin 常怀盗心
'chang'huai'jiao'man 常怀骄慢
'chang'huai'xie'e 常怀邪恶
'chang'li 常力
'chang'neng'xiu'xing'qi'da'bei'zhe 常能修行其大悲者
'chang'shi'su'ming 常识宿命
'chang'wei'shi'dao 常为师导
'chang'wei'zhu'fo'suo'gong'cheng'tan 常为诸佛所共称叹
'chang'xing'fa'shi 常行法施
'chang'xuan'zheng'fa 常宣正法
'chang'yu'dao'de'he'ming 长与道德合明
'chang'yu'guang'shuo 常欲广说
'chao'yu'ri'yue 超逾日月
'chen'mu'nu'ying 嗔目怒应
'chen'qi'qi'jun 臣欺其君
'chen'xia'zi'zai 臣下自在
'cheng'bai'qian'you'xun'qi'bao'gong'dian 乘百千由旬七宝宫殿
'cheng'fo'wei'shen 承佛威神
'cheng'jiu'er'ren 成就二忍
'chi'huo'ai'yu 痴惑爱欲
'chi'song'shuo'xing 持诵说行
'chi'yu'suo'po 痴欲所迫
'chong'de'xing'ren 崇德兴仁
'chong'man'san'qian'da'qian'shi'jie 充满三千大千世界
'chu'chi'an 除痴暗
'chu'mie'zhong'sheng'fan'nao'zhi'huan 除灭众生烦恼之患
'chu'nian'shou'ming 处年寿命
'chu'qi'ben'yuan'wei'zhong'sheng'gu 除其本愿为众生故
'chu'sheng'ta'fang'wu'zhuo'e'shi 除生他方五浊恶世
'chu'wu'yin'sheng 出五音声
'chu'yu'wu'e'wu'tong'wu'shao'zhi'zhong 处于五恶五痛五烧之中
'chuan'shu'tang'de 串数唐得
'chui'qi'bao'shu 吹七宝树
'ci'deng'zhong'sheng 此等众生
'ci'er'pu'sa 此二菩萨
'ci'hui'si'zhong 此会四众
'ci'ren'lin'zhong 此人临终
'ci'ru'mi'le'zhe'ye 次如弥勒者也
'ci'ru'shang'bei'zhe'ye 次如上辈者也
'ci'ru'zhong'bei'zhe'ye 次如中辈者也
'ci'xin'jiao'hui 慈心教诲
'ci'yi'wei'nan 此亦为难
'ci'yu'ni'huan'zhi'dao 次于泥洹之道
'ci'zhu'wang'zi 此诸王子
'ci'zhu'zhong'sheng 此诸众生
'cong'di'yi'shang 从地已上
'cong'ku'ru'ku 从苦入苦
'cong'le'ru'le 从乐入乐
'cong'ming'ru'ming 从冥入冥
'cong'ming'ru'ming 从明入明
'cong'ru'de'dao 从汝得道
'cong'ru'lai'sheng 从如来生
'cong'xiao'wei'qi 从小微起
'cui'mie'ji'xin 摧灭嫉心
'cui'mie'zhong'e 摧灭众恶
'da'cheng'guang'zhi 大乘广智
'da'ci'deng'gu 大慈等故
'da'guang'pu'zhao'shi'fang'guo'tu 大光普照十方国土
'da'kong'wu'ji 达空无极
'da'ming'jiang'zhong 大命将终
'da'shi'guan'shi'yin 大士观世音
'da'xiao'zhu'shan 大小诸山
'da'xiu'gong'de 大修功德
'dai'qi'zui'ji 待其罪极
'dan'de'qian'xing 但得前行
'dan'jiu'shi'mei 耽酒嗜美
'dan'nian'yin'yi 但念淫泆
'dan'yu'tang'de 但欲唐得
'dan'yu'wei'e 但欲为恶
'dan'yu'wu'bai'sui'zhong 但于五百岁中
'dan'zhong'zhong'fang'bian 但种种方便
'dan'zuo'ci'gu 但坐此故
'dan'zuo'zhong'e 但作众恶
'dang'cheng'zheng'jue 当成正觉
'dang'du'qu'ru 当独趣入
'dang'du'yuan'qu 当独远去
'dang'du'zhi'xiang 当独值向
'dang'fa'wu'shang'pu'ti'zhi'xin 当发无上菩提之心
'dang'fu'he'ji 当复何及
'dang'fu'qiu'suo 当复求索
'dang'geng'e'qu'ku 当更恶趣苦
'dang'lai'zhi'shi 当来之世
'dang'li'san'tu'wu'liang'you'bu'ku'tong'zhi'dao 当离三途无量忧怖苦痛之道
'dang'qin'jing'jin 当勤精进
'dang'qiu'du'shi 当求度世
'dang'ru'qi'zhong 当入其中
'dang'shi'kuai'yi 当时快意
'dang'shou'pu'sa'ji 当授菩萨记
'dang'shu'si'ji 当熟思计
'dang'shu'si'zhi 当熟思之
'dang'si'zhi'shi 当斯之时
'dang'wang'qu'xiang 当往趣向
'dang'wang'sheng'ye 当往生也
'dang'wei'shuo'zhi 当为说之
'dang'xiang'jing'ai 当相敬爱
'dang'xing'zhi'qu'ku'le'zhi'di 当行至趣苦乐之地
'dang'zhi'ci'ren 当知此人
'dang'zhi'ci'ren'wei'de'da'li 当知此人为得大利
'dao'lu'bu'tong 道路不同
'dao'qie'qu'de 盗窃趣得
'de'a'na'han'guo 得阿那含果
'de'bu'ke'ji'wu'sheng'fa'ren 得不可计无生法忍
'de'bu'tui'zhuan 得不退转
'de'da'ci'bei'rao'yi'zhi'xin 得大慈悲饶益之心
'de'fo'jing'yu 得佛经语
'de'qing'jing'fa'yan 得清净法眼
'de'shen'chan'ding 得深禅定
'de'wen'yi'nan 得闻亦难
'de'zui'yu'wang 得罪于王
'deng'guan'san'jie 等观三界
'deng'wu'zeng'ai 等无憎爱
'deng'xin 等心
'dian'dao'shang'xia 颠倒上下
'dian'lan'zhi'hui 典揽智慧
'die'xiang'gu'lian 迭相顾恋
'die'xiang'tun'shi 迭相吞噬
'ding'li 定力
'ding'xin 定心
'dong'da'wu'bian'ji 洞达无边际
'dong'fang'zhu'fo'guo 东方诸佛国
'dong'rong'fa'xin'xiao 动容发欣笑
'dou'bu'xin'zhi 都不信之
'dou'luan'zhong'seng 斗乱众僧
'dou'wu'yi'li 都无义理
'dou'xi'ji'hui'qi'bao'jiang'tang 都悉集会七宝讲堂
'du'fo'zhi'er 独佛知耳
'du'ji'e'zhi 妒嫉恶之
'du'lai'du'qu 独来独去
'du'qu'du'lai 独去独来
'du'sheng'du'si 独生独死
'du'wei'du'zhe 度未度者
'du'zhong'e'zhi'yuan 杜众恶之源
'du'zuo'zhu'shan 独作诸善
'duan'shen'zheng'hang 端身正行
'duan'shen'zheng'nian 端身正念
'duan'xin'zheng'yi 端心正意
'duan'zhu'yi'wang 断诸疑网
'dui'yue 对曰
'duo'shao'xiu'shan 多少修善
'duo'wen'zhi'li 多闻之力
'duo'you'pu'sa 多有菩萨
'e'dao'bu'jue 恶道不绝
'e'dao'zi'ran'bi 恶道自然闭
'e'lu'bu'jing 恶露不净
'e'ni'tian'di 恶逆天地
'e'ni'wu'dao 恶逆无道
'e'qi'yao'ming 恶气窈冥
'e'ren'xing'e 恶人行恶
'e'xin'zai'wai 恶心在外
'en'ai'si'mu 恩爱思慕
'en'de'pu'fu 恩德普覆
'er'bu'ken'xin'zhi 而不肯信之
'er'bu'neng'de 而不能得
'er'cheng'fei'suo'ce 二乘非所测
'er'fu'qiu'suo 而复求索
'er'ming'da'shi'zhi 二名大势至
'er'mu'kai'ming 耳目开明
'er'shi'a'nan 尔时阿难
'er'shi'ci'shi'pu'sa'bai'fo'yan 尔时慈氏菩萨白佛言
'er'shi'er'yi'zhu'tian'ren'min 二十二亿诸天人民
'er'shi'fo'gao'a'nan 尔时佛告阿难
'er'shi'san'qian'da'qian'shi'jie'liu'zhong'zhen'dong 尔时三千大千世界六种震动
'er'shi'shi'zun 尔时世尊
'er'shuo'song'yue 而说颂曰
'er'yu'ju'jin 二余俱尽
'er'yu'qi'zhong 而于其中
'er'zi'yi'zhi'hui 而自以智慧
'er'zi'zhuang'yan 而自庄严
'fa'pu'ti'xin 发菩提心
'fa'xin'yu'jian'wu'liang'shou'fo 发心欲见无量寿佛
'fa'yan'guan'cha 法眼观察
'fan'man'xiong'zhong 烦满胸中
'fan'nao'jie'fu 烦恼结缚
'fan'sheng'you'lei'zhen 梵声犹雷震
'fan'shi'sha'men 饭食沙门
'fan'you'san'bei 凡有三辈
'fan'zhe'bu'she 犯者不赦
'fang'bian'zhi'li 方便之力
'fang'da'guang'ming 放大光明
'fang'zi'you'san 放恣游散
'fei'bang'zheng'fa 诽谤正法
'fei'hua'bian'zhu'sha 飞化遍诸刹
'fei'shi'suo'you 非世所有
'fei'sun'jia'cai 费损家财
'fen'cheng'yuan'jie 忿成怨结
'fen'fen'er'jiang 芬芬而降
'fen'piao'jie'duo 焚漂劫夺
'feng'chi'jing'jie 奉持经戒
'feng'chi'zhai'jie 奉持斋戒
'feng'shi'yi'ru'lai 奉事亿如来
'feng'yu'yi'shi 风雨以时
'fo'gao'a'nan 佛告阿难
'fo'gao'ci'shi 佛告慈氏
'fo'gao'mi'le 佛告弥勒
'fo'gao'mi'le'pu'sa 佛告弥勒菩萨
'fo'gao'mi'le'pu'sa'zhu'tian'ren'deng 佛告弥勒菩萨诸天人等
'fo'hui'wu'bian'ji 佛慧无边际
'fo'jie'ai'zhi 佛皆哀之
'fo'shi'yi'nan'zhi 佛世亦难值
'fo'shuo'jing'yi 佛说经已
'fo'shuo'wu'liang'shou'jing'juan'xia 佛说无量寿经卷下
'fo'suo'shuo'shen'shan 佛所说甚善
'fo'suo'you'lv'guo'yi'qiu'ju 佛所游履国邑丘聚
'fo'wei'fa'wang 佛为法王
'fo'wei'shen'zun'zhong 佛威神尊重
'fo'yan 佛言
'fo'yan'ju'zu 佛眼具足
'fo'yu'a'nan 佛语阿难
'fo'yu'jiao'hui 佛语教诲
'fo'yu'jiao'jie 佛语教戒
'fo'yu'mi'le 佛语弥勒
'fu'ci'ci'shi 复次慈氏
'fu'de'jin'mie 福德尽灭
'fu'de'zi'ran 福德自然
'fu'en'wei'yi 负恩违义
'fu'fu'jia'shi 夫妇家室
'fu'gong'you'zhi 复共忧之
'fu'gui'rong'hua 富贵荣华
'fu'lu'wei'wei 福禄巍巍
'fu'mu'jiao'hui 父母教诲
'fu'shao'yi 复少一
'fu'sheng'yi'huo 复生疑惑
'fu'wei'zhong'e 复为众恶
'fu'wen'wu'liang'shou'sheng 复闻无量寿声
'fu'you'qian'xi 富有悭惜
'fu'yu'jiao'ling 父余教令
'fu'zi'xiong'di 父子兄弟
'gai'luo'wu'wai 该罗无外
'gai'xing'yi'dao 改形易道
'gan'dong'shi'fang 感动十方
'gang'wei'luo'wang 纲维罗网
'gao'cai'ming'da 高才明达
'gao'chu'yi'qie'zhu'shi'jie'shang 高出一切诸世界上
'ge'huai'sha'du 各怀杀毒
'ge'huai'tan'yu'chen'hui'yu'chi 各怀贪欲嗔恚愚痴
'ge'ji'tian'miao'hua 各赍天妙华
'ge'qu'li'zhi 各去离之
'ge'tan'fo'de 歌叹佛德
'ge'tan'zui'sheng'zun 歌叹最胜尊
'ge'yu'kuai'yi 各欲快意
'ge'yu'qi'zhong'shou'zhu'kuai'le 各于其中受诸快乐
'ge'yu'qiang'jian'shi 各遇强健时
'ge'zi'duan'shou 各自端守
'geng'xiang'ai'min 更相哀愍
'geng'xiang'bao'fu 更相报复
'geng'xiang'huan'hai 更相患害
'geng'xiang'kai'bi 更相开避
'geng'xiang'ku'qi 更相哭泣
'geng'xiang'li'hai 更相利害
'geng'xiang'qi'huo 更相欺惑
'geng'xiang'qi'kuang 更相欺诳
'geng'xiang'zhan'shi 更相瞻视
'geng'zheng'yi'fu 更整衣服
'gong'de'bian'cai 功德辩才
'gong'de'shu'sheng 功德殊胜
'gong'de'zhi'hui 功德智慧
'gong'hui'shu'sheng 功慧殊胜
'gong'jie'sha'lu 攻劫杀戮
'gong'jing'gong'yang 恭敬供养
'gong'jing'gong'yang'wu'liang'zhu'fo 恭敬供养无量诸佛
'gong'jing'gong'yang'zhu'fo'shi'zun 恭敬供养诸佛世尊
'gong'jing'he'zhang 恭敬合掌
'gong'jing'huan'xi'qu 恭敬欢喜去
'gong'jing'rao'san'za 恭敬绕三匝
'gong'ju'tian'di'zhi'jian 共居天地之间
'gong'qu'duo'zhi 共趣夺之
'gong'wei'zhong'e 共为众恶
'gong'yang'fan'shi'yi'fu'chuang'ru 供养饭食衣服床蓐
'gong'yang'fo'yi 供养佛已
'gong'yang'qi'fo 供养其佛
'gong'yang'wu'liang'jue 供养无量觉
'gong'you'qian'cai 共忧钱财
'gong'zheng'bu'ji'zhi'shi 共诤不急之事
'gong'zou'tian'le 共奏天乐
'gong'zuo'yuan'jie 共作怨结
'gu'jiao'zong'duo 辜较纵夺
'gu'jin'you'shi 古今有是
'gu'you'pin'qiong'xia'jian 故有贫穷下贱
'gu'you'zi'ran'san'tu 故有自然三途
'guan'xin'si'zhi 贯心思之
'guang'du'sheng'si'liu 广度生死流
'guang'ming'che'zhao 光明彻照
'guang'ming'xiang'hao 光明相好
'guang'se'yu'shuo 光色昱烁
'guang'xuan'dao'jiao 广宣道教
'gui'gei'qi'zi 归给妻子
'guo'feng'min'an 国丰民安
'hai'qi'ben'guo 还其本国
'hai'ru'qian'fa 还如前法
'hao'hao'mang'mang 浩浩茫茫
'he'bu'li'wei'shan 何不力为善
'he'bu'qi'shi'shi 何不弃世事
'he'bu'qi'zhong'shi 何不弃众事
'he'deng'wu'e 何等五恶
'he'deng'wu'shao 何等五烧
'he'deng'wu'tong 何等五痛
'he'deng'xiao'hua'wu'e 何等消化五恶
'he'yin'he'yuan 何因何缘
'he'zhang'bai'yan 合掌白言
'he'zhang'gong'jing 合掌恭敬
'heng'jie'wu'e'dao 横截五恶道
'heng'wei'fei'chang'shui'huo'dao'zei'yuan'jia'zhai'zhu 横为非常水火盗贼怨家债主
'heng'xing'wei'shi 横行威势
'hou'ji'zheng'li 厚己诤利
'hou'sheng'wu'liang'shou'guo 后生无量寿国
'hou'shi'zhuan'ju 后世转剧
'hou'shou'yang'fa 后受殃罚
'hu'ran'qing'ju 忽然轻举
'hua'cheng'hua'gai 化成华盖
'hua'xian'qi'shen 化现其身
'hua'xiang'ji'yue 华香伎乐
'huan'dao'an'yang'guo 还到安养国
'huan'er'ku'zhi 患而苦之
'huan'xi'wu'liang 欢喜无量
'huan'xi'xin'le 欢喜信乐
'huan'xi'yong'yue 欢喜踊跃
'huang'yang'hao'han 滉漾浩汗
'hui'dang'cheng'fo'dao 会当成佛道
'hui'dang'gui'si 会当归死
'hui'dang'gui'zhi 会当归之
'hui'fu'he'ji 悔复何及
'hui'guang'ming'jing 慧光明净
'hui'guang'wei'rao'shen 回光围绕身
'hui'jian'wu'qi 会见无期
'hui'ju'jiao'zhi 悔惧交至
'hui'kuo'yao'ming 恢廓窈冥
'hui'li 慧力
'hui'ri'lang'shi'jian 慧日朗世间
'hui'shi'de'fu 惠施得福
'hui'yan'jian'zhen 慧眼见真
'hui'you'xin'chu 慧由心出
'hui'zhi'yu'hou 悔之于后
'hun'meng'an'sai 昏蒙暗塞
'hun'shen'jing'shi 魂神精识
'huo'bai'you'xun 或百由旬
'huo'chang'huo'duan 或长或短
'huo'dao'zhe'zhong 惑道者众
'huo'fu'ku'zi 或父哭子
'huo'fu'xiang'cheng 祸福相承
'huo'qi'fu'de'du'shi'chang'shou'ni'huan'zhi'dao 获其福德度世长寿泥洹之道
'huo'qi'fu'de'du'shi'shang'tian'ni'huan'zhi'dao 获其福德度世上天泥洹之道
'huo'qi'jin'shi'xian'bei'yang'bing 或其今世先被殃病
'huo'ru'ku'du 或入苦毒
'huo'shi'shi'jia'fu'zi 或时室家父子
'huo'shi'shi'jia'zhi'shi 或时室家知识
'huo'shi'xin'zheng 或时心诤
'huo'shi'zuo'zhi'zhong'shen'yao'ming 或时坐之终身夭命
'huo'wu'bai'you'xun 或五百由旬
'huo'yu'qin'shu 或于亲属
'huo'zai'le'chu 或在乐处
'huo'zi'ku'fu 或子哭父
'huo'zuo'cui'sui 或坐摧碎
'ji'bi'qiu'deng 及比丘等
'ji'bu'ding'ju 及不定聚
'ji'ci'shi'pu'sa 及慈氏菩萨
'ji'de'qing'jing'chu 疾得清净处
'ji'de'ru'yi 即得如意
'ji'de'wang'sheng 即得往生
'ji'fa'gu 击法鼓
'ji'han'kun'ku 饥寒困苦
'ji'hou'shi'ren 及后世人
'ji'jian'wu'liang'shou'fo 即见无量寿佛
'ji'lei'shan'ben 积累善本
'ji'pu'sa'bi'qiu'sheng'bi'guo'zhe 及菩萨比丘生彼国者
'ji'qi'guo'tu'yi'qie'suo'you 及其国土一切所有
'ji'shen'zuo'yue 极身作乐
'ji'shi'fang'lai'zhu'pu'sa'zhong 及十方来诸菩萨众
'ji'shi'si'fang'zi'ran'feng'qi 即时四方自然风起
'ji'shi'wu'liang'shou'fo 即时无量寿佛
'ji'sui'bi'fo'wang'sheng'qi'guo 即随彼佛往生其国
'ji'sui'hua'fo'wang'sheng'qi'guo 即随化佛往生其国
'ji'wei'duo'duan 机伪多端
'ji'xian'bang'shan 嫉贤谤善
'ji'xiong'huo'fu 吉凶祸福
'ji'xiu'xi'shao'gong'de'zhe 及修习少功德者
'ji'zai'shen'ming 记在神明
'ji'zhu'pu'sa'sheng'wen'da'zhong 及诸菩萨声闻大众
'ji'zhu'pu'sa'sheng'wen'sheng'zhong 及诸菩萨声闻圣众
'ji'zhu'pu'sa'sheng'wen'zhi'zhong 及诸菩萨声闻之众
'jia'fu'er'zuo 跏趺而坐
'jia'shi'bu'neng'zuo'zhu'gong'de 假使不能作诸功德
'jia'shi'juan'shu 家室眷属
'jia'shi'yi'qie'ren 假使一切人
'jia'shi'zhong'wai 家室中外
'jian'bi'yan'jing'tu 见彼严净土
'jian'du'neng'xing 践度能行
'jian'fa'zhuang 建法幢
'jian'jing'de'da'qing 见敬得大庆
'jian'ren'you'shan 见人有善
'jian'shan'zeng'bang 见善憎谤
'jiang'he'ji'hu 将何及乎
'jiang'hua'qi'yi 降化其意
'jiang'hua'wu'e 降化五恶
'jiao'hua'qun'sheng 教化群生
'jiao'jie'ju'hui 交结聚会
'jiao'le'fa'xing 觉了法性
'jiao'le'yi'qie'fa 觉了一切法
'jiao'ling'xiu'shan 教令修善
'jiao'man'bi'xie'dai 骄慢弊懈怠
'jiao'shou'dian'lan 教授典揽
'jiao'yu'dao'de 教语道德
'jiao'yu'kai'dao 教语开导
'jiao'yu'kai'shi 教语开示
'jie'bu'tui'zhuan 皆不退转
'jie'dang'bie'li 皆当别离
'jie'dang'dui'sheng 皆当对生
'jie'dang'guo'qu 皆当过去
'jie'dang'jiu'jing'yi'sheng'bu'chu 皆当究竟一生补处
'jie'dang'wang'sheng 皆当往生
'jie'fa'ru'ru 解法如如
'jie'fa'wu'shang'zheng'jue'zhi'xin 皆发无上正觉之心
'jie'fen'jing'shen 结愤精神
'jie'fen'xin'zhong 结愤心中
'jie'fo'qian'shi'qiu'dao'zhi'shi 皆佛前世求道之时
'jie'ji'tian'shang'bai'qian'hua'xiang 皆赍天上百千华香
'jie'ji'zhong'shan 皆积众善
'jie'ke'de'du 皆可得度
'jie'ke'de'zhi 皆可得之
'jie'ke'qiu'zhi 皆可求之
'jie'ling'de'dao 皆令得道
'jie'meng'ci'en 皆蒙慈恩
'jie'tan'ai'yu 皆贪爱欲
'jie'tong'yi'se 皆同一色
'jie'tuo'you'ku 解脱忧苦
'jie'wu'zhi'hui 皆无智慧
'jie'xi'dao'bi'guo 皆悉到彼国
'jie'xi'ji'mie 皆悉寂灭
'jie'xi'ju'zu'san'shi'er'xiang 皆悉具足三十二相
'jie'xi'wang'yi'wu'liang'shou'fo'suo 皆悉往诣无量寿佛所
'jie'xi'yin'bi 皆悉隐蔽
'jie'xi'zhu'yu'zheng'ding'zhi'ju 皆悉住于正定之聚
'jie'xi'zi'ran'ru'zhu'e'qu 皆悉自然入诸恶趣
'jie'you'su'shi'ci'xiao 皆由宿世慈孝
'jie'you'tan'zhu'cai'se 皆由贪著财色
'jie'zhong'han're 结众寒热
'jin'de'xiang'zhi 今得相值
'jin'de'zhi'fo 今得值佛
'jin'fo'ci'min 今佛慈愍
'jin'fu'wei'e 今复为恶
'jin'gang'wei'shan 金刚围山
'jin'jin'an'yang'fo 今觐安养佛
'jin'qi'nian'shan 今其念善
'jin'shi'hen'yi 今世恨意
'jin'shi'wei'e 今世为恶
'jin'shi'xian'you'wang'fa'lao'yu 今世现有王法牢狱
'jin'shou'you'bu'zhi 尽寿犹不知
'jin'shuo'ren'di'ting 今说仁谛听
'jin'wo'yu'ci'shi'jian'zuo'fo 今我于此世间作佛
'jin'wo'yu'ci'shi'zuo'fo 今我于此世作佛
'jin'wo'zhong'deng 今我众等
'jing'dao'jian'mie 经道渐灭
'jing'dao'mie'jin 经道灭尽
'jing'ge'zuo'zhi 竞各作之
'jing'hui'hao'wu'wu'yi'xin'gu 净秽好恶无异心故
'jing'hui'ru'ben'kong 净慧如本空
'jing'jin'yuan'du'shi 精进愿度世
'jing'ming'qiu'yuan 精明求愿
'jing'shen'tong'ku 精神痛苦
'jiu'chang'yao'miao 究畅要妙
'jiu'da'shen'tong'hui 究达神通慧
'jiu'hou'da'ju 久后大剧
'jiu'hou'zhuan'ju 久后转剧
