'a'duo'nuo 阿多诺
'fan'chi 樊迟
'fan'chou 范畴
'fan'er'bu'jiao 犯而不校
'fan'fu 反复
'fan'fu'wen'da 反复问答
'fan'guan 反观
'fan'jia'gou'zhu'yi 泛架构主义
'fan'jing'xing'quan 反经行权
'fan'li 范蠡
'fan'nao'zhang 烦恼障
'fan'qiu'zhu'ji 反求诸己
'fan'qiu'zi'shi 反求自识
'fan'shen'er'cheng 反身而诚
'fan'shou'kang 范寿康
'fan'wen'lan 范文澜
'fan'wu'bi'he 凡物必合
'fan'xu 樊须
'fan'xun 樊逊
'fan'yan 反衍
'fan'yin 反因
'fan'ying'lun 反映论
'fan'zhe'dao'zhi'dong 反者道之动
'fan'zhen 范缜
'fan'zhong'yan 范仲淹
'fang'bao 方苞
'fang'bian 方便
'fang'da 放达
'fang'dong'mei 方东美
'fang'dong'shu 方东树
'fang'hui 方会
'fang'shu 方术
'fang'wei'du'jian 防微杜渐
'fang'xiao'ru 方孝孺
'fang'yi'zhi 方以智
'fang'zhi'zhi 方植之
'fei'chang'ji'lie 非常激烈
'fei'dao'hong'ren 非道弘人
'fei'de'luo'pian'pian 斐德罗篇篇
'fei'duo'pian 斐多篇
'fei'er'ba'ha 费尔巴哈
'fei'gong 非攻
'fei'le 非乐
'fei'li'bu'si'pian 斐利布斯篇
'fei'li'pa'si'pian 菲力帕斯篇
'fei'liang 非量
'fei'luo'suo'fei'ya 菲罗索菲亚
'fei'mi 费密
'fei'ming 非命
'fei'ming'shang'li 非命尚力
'fei'niao'zhi'jing'wei'chang'dong 飞鸟之景未尝动
'fei'ou 非耦
'fei'qi'zhi'wu'yi'jian'xing 非气质无以见性
'fei'ran'zhi'jing 废然之静
'fei'ren'zhe'bi'you'yi'yi'zhi 非人者必有以易之
'fei'sheng 飞升
'fei'sheng'wu'fa 非圣无法
'fei'tang'wu'er'bo'zhou'kong 非汤武而薄周孔
'fei'yi'qi'ming'ye 非以其名也
'fei'zhi 费直
'fei'zong'jiao'jing'shen 非宗教精神
'fen'li 分理
'fen'ming 分命
'fen'shi'ji'su 愤世嫉俗
'fen'zhi'fen'hang 分知分行
'feng'chang'chu'bian 奉常处变
'feng'ding 冯定
'feng'gu 风骨
'feng'gui'fen 冯桂芬
'feng'jiao 风教
'feng'qi 冯契
'feng'tian'fa'gu 奉天法古
'feng'wen'qian 冯文潜
'feng'you'lan 冯友兰
'fo'fa 佛法
'fo'xing 佛性
'fu'chen'kan'jing 拂尘看净
'fu'gu 傅嘏
'fu'gui'zai'qian 富贵在钱
'fu'gui'zai'tian 富贵在天
'fu'li'ye 傅立叶
'fu'lu 符箓
'fu'mian 负面
'fu'ming 复命
'fu'ming 符命
'fu'qing'zhu 傅青主
'fu'rui 符瑞
'fu'shan 傅山
'fu'sheng 伏胜
'fu'sheng 伏生
'fu'shi 服食
'fu'shu 符书
'fu'si'nian 傅斯年
'fu'wei'xun 傅伟勋
'fu'xing 复性
'fu'xuan 傅玄
'fu'yan 符验
'fu'yi 傅奕
'fu'yin'er'bao'yang 负阴而抱阳
'fu'zhi'tian'jun 付之天均
'gai'gong 盖公
'gai'guo'qian'shan 改过迁善
'gai'nian 概念
'gai'nian'fan'chou 概念范畴
'gai'tian'shuo 盖天说
'gai'yao'guan'dian 概要观点
'gai'zheng'shuo 改正朔
'gan'guan 感观
'gan'ji 干吉
'gan'jue'he'li'xing 感觉和理性
'gan'jue'ling'min 感觉灵敏
'gan'shi 干室
'gan'xiang 感相
'gan'xing 感兴
'gan'xing'ren'shi 感性认识
'gan'yao'gan'dou 敢咬敢斗
'gang'rou 刚柔
'gang'yi'mu'ne 刚毅木讷
'gao'an'wei'gu 高岸为谷
'gao'du'fa'zhan 高度发展
'gao'er'ji'ya 高尔吉亚
'gao'er'ji'ya'pian 高尔吉亚篇
'gao'gong 高拱
'gao'heng 高亨
'gao'pan'long 高攀龙
'gao'qing'hai 高清海
'gao'xiang 高相
'gao'you 高诱
'gao'zi 告子
'ge'bie'te'zheng 个别特征
'ge'bu'bi'shi 革不必世
'ge'gu'ding'xin 革故鼎新
'ge'he'wai'nei 格合外内
'ge'hong 葛洪
'ge'lan'xi 葛兰西
'ge'ming 革命
'ge'ming'xing 革命性
'ge'shi 格式
'ge'tian 革天
'ge'wu 格物
'ge'wu'zhi'zhi 格物致知
'ge'xin 格心
'ge'xuan 葛玄
'ge'yi 格义
'ge'zhi 格致
'ge'zhi'xiang'yin 格致相因
'gen'ben'bian'hua 根本变化
'gen'ben'yuan'yin 根本原因
'gen'you 根由
'geng'ding'xiang 耿定向
'geng'hua 更化
'geng'you'ming 更有名
'geng'zhan 耕战
'gong'an 公案
'gong'bi'liang 共比量
'gong'de 公德
'gong'ding'an 龚定庵
'gong'dou'zi 公都子
'gong'fu'suo'zhi 工夫所至
'gong'jing'zhi'xin 恭敬之心
'gong'kuan'xin'min'hui 恭宽信敏惠
'gong'li 公例
'gong'li 功利
'gong'meng'zi 公孟子
'gong'ming'yu'bie'ming 共名与别名
'gong'neng 功能
'gong'shi'cong'de 弓矢从的
'gong'shou'yi'shi'yu'gong'qu'yi'shu 攻守异势与攻取异术
'gong'shu'ban 公输班
'gong'sun'chou 公孙丑
'gong'sun'hong 公孙弘
'gong'sun'long 公孙龙
'gong'sun'long'zi 公孙龙子
'gong'sun'ni'zi 公孙尼子
'gong'sun'qiao 公孙侨
'gong'sun'yang 公孙鞅
'gong'xi'chi 公西赤
'gong'xiang 共相
'gong'xin 公心
'gong'xing 公性
'gong'xing'jian'lv 躬行践履
'gong'xing'zai'du'xing'zhong 公性在独性中
'gong'yang'gao 公羊高
'gong'yang'san'shi'shuo 公羊三世说
'gong'ye'chang 公冶长
'gong'yin 公因
'gong'yong 功用
'gong'zhong'li'yi 公众利益
'gong'zi'zhen 龚自珍
'gou'fei'quan 狗非犬
'gou'shen'zhi'yuan 钩深致远
'gu'dian'xi'la'zhe'xue 古典希腊哲学
'gu'dian'zheng'zhi'xue 古典政治学
'gu'feng'shi'dai 古风时代
'gu'huan 顾欢
'gu'ju'wei'chang'you'mu 孤驹未尝有母
'gu'kai'zhi 顾恺之
'gu'liang'chi 穀梁赤
'gu'shen 谷神
'gu'sheng 故生
'gu'ting'lin 顾亭林
'gu'xi'la'cheng'bang 古希腊城邦
'gu'xi'la'luo'ma'zhe'xue 古希腊罗马哲学
'gu'xi'la'si'xiang 古希腊思想
'gu'xi'la'si'xiang'jia 古希腊思想家
'gu'xi'la'wen 古希腊文
'gu'xi'la'wen'hua 古希腊文化
'gu'xi'la'zhe'xue'jia 古希腊哲学家
'gu'xian'cheng 顾宪成
'gu'yan'wu 顾炎武
'gu'you'zhi'shi 固有知识
'gua'ci 卦辞
'gua'qi 卦气
'gua'yu 寡欲
'guai'yi'xing'wei 怪异行为
'guan'jing'zhong 管敬仲
'guan'li'guo'jia 管理国家
'guan'nian'shang'ceng'jian'zhu 观念上层建筑
'guan'wu'chang'gui 官无常贵
'guan'wu'zhi'yi'yi'zhi'tian'yi 观物之异以知天意
'guan'xiang'zhi'qi 观象制器
'guan'yi'wu 管夷吾
'guan'yin 关尹
'guan'yin'zi 关尹子
'guan'zhong 管仲
'guan'zi 管子
'guang'qi 光气
'gui'bu'ke'yi'wei'yuan 规不可以为圆
'gui'chang'yu'she 龟长于蛇
'gui'gen 归根
'gui'gong'qu'si 贵公去私
'gui'gu'zi 鬼谷子
'gui'ji 贵己
'gui'ji 归寂
'gui'mou 鬼谋
'gui'qi 贵齐
'gui'rou'shou'ci 贵柔守雌
'gui'shen 鬼神
'gui'sheng'zhong'ji 贵生重己
'gui'wu 贵无
'gui'wu'lun 贵无论
'gui'yi'jian'er 贵一贱二
'gui'yin 贵因
'gui'zhi'bu'gui'xing 贵知不贵行
'gui'zu'zheng'zhi'li'xiang 贵族政治理想
'guo'cui 国粹
'guo'gu'xue 国故学
'guo'ji'shi'dang 过极失当
'guo'jia'ji'qi 国家机器
'guo'mo'ruo 郭沫若
'guo'pu 郭璞
'guo'qing'fan 郭庆藩
'guo'xiang 郭象
'guo'you'bu'ji 过犹不及
'guo'ze'she'yi 过则舍矣
'guo'zi'xuan 郭子玄
'ha'bei'ma'si 哈贝马斯
'han'chang'li 韩昌黎
'han'chuan'yin'ming 汉传因明
'han'dan'xue'bu 邯郸学步
'han'fei 韩非
'han'fei'zi 韩非子
'han'kang'bo 韩康伯
'han'sheng'yu'zhou 汉盛于周
'han'tan 韩檀
'han'tui'zhi 韩退之
'han'yang'cao'cun 涵养操存
'han'ying 韩婴
'han'yu 韩愈
'hao'da'tong 郝大通
'hao'ran'zhi'qi 浩然之气
'hao'tian 昊天
'hao'zhi'e'shi 好质恶饰
'he'bo'zhai 何伯斋
'he'cheng'tian 何承天
'he'er'bu'liu 和而不流
'he'er'bu'tong 和而不同
'he'er'er'yi 合二而一
'he'fa'xing 合法性
'he'fo'ma'zu 呵佛骂祖
'he'gan'zhi 何干之
'he'guan'zi 鹖冠子
'he'ji 何基
'he'la'ke'li'te 赫拉克利特
'he'le'ru'yi 和乐如一
'he'li'li'ji'zhu'yi 合理利己主义
'he'li'nei'he 合理内核
'he'li'xing 合理性
'he'lin 贺麟
'he'pi 阖辟
'he'qi 何启
'he'qi 和气
'he'shang'gong 河上公
'he'shao'ji 何绍基
'he'shi'sheng'wu 和实生物
'he'tang 何塘
'he'ting'ren 何廷仁
'he'tong 合同
'he'tong 和同
'he'tong'yi 合同异
'he'wai'nei'zhi'dao 合外内之道
'he'wei'gui 和为贵
'he'xin'yin 何心隐
'he'xiu 何休
'he'yan 何晏
'he'yi'yan'wan 合一衍万
'hei'ge'er 黑格尔
'hen'xiang'si 很相似
'heng'zhuan 恒转
'hong'bei'jiang 洪北江
'hong'fan'jiu'chou 洪范九畴
'hong'liang'ji 洪亮吉
'hong'qian 洪谦
'hong'ren 弘忍
'hong'ren'gan 洪仁玕
'hong'xiu'quan 洪秀全
'hong'yi 弘一
'hou'sheng 厚生
'hou'wai'lu 侯外庐
'hou'zi'zun'gui'zhi'feng 厚自尊贵之风
'hu'an'ding 胡安定
'hu'an'guo 胡安国
'hu'cheng'nuo 胡承诺
'hu'guang 胡广
'hu'hong 胡宏
'hu'ju'ren 胡居仁
'hu'li'yuan 胡礼垣
'hu'mu'fu'zhi 胡母辅之
'hu'qiu'yuan 胡秋原
'hu'sheng 胡绳
'hu'shi 胡适
'hu'shu'bu'du 户枢不蠹
'hu'wen'ding 胡文定
'hu'wu'feng 胡五峰
'hu'yin 胡寅
'hu'you 互有
'hu'yuan 胡瑗
'hu'zhi 胡直
'hua'chun 化醇
'hua'dai 化待
'hua'gong 化工
'hua'tuo 华佗
'hua'xing'qi'wei 化性起伪
'huai'hai 怀海
'huai'rang 怀让
'huai'yi'zhu'yi 怀疑主义
'huan'hua 幻化
'huan'kuan 桓宽
'huan'tan 桓谭
'huan'tuan 桓团
'huan'yuan 环渊
'huan'zhong 环中
'huang'bai'shu 黄白术
'huang'dao'zhou 黄道周
'huang'di 黄帝
'huang'dong'fa 黄东发
'huang'gan 黄幹
'huang'ji 皇极
'huang'kan 皇侃
