'an'ding'tuan'jie 安定团结
'zheng'shi'fen'kai 政事分开
'zheng'zhi'jian'she 政治建设
'zheng'zi'fen'kai 政资分开
'zhi'nong'hui'nong'zheng'ce 支农惠农政策
'zhi'qing'quan 知情权
'zhi'xing'li 执行力
'zhi'xun 质询
'zhong'guo'te'se 中国特色
'zhong'guo'te'se'cheng'zhen'hua'dao'lu 中国特色城镇化道路
'zhong'guo'te'se'nong'ye'xian'dai'hua'dao'lu 中国特色农业现代化道路
'zhong'guo'te'se'she'hui'zhu'yi 中国特色社会主义
'zhong'guo'te'se'she'hui'zhu'yi'li'lun'ti'xi 中国特色社会主义理论体系
'zhong'guo'te'se'xin'xing'gong'ye'hua'dao'lu 中国特色新兴工业化道路
'zhong'guo'te'se'zheng'zhi'fa'zhan'dao'lu 中国特色政治发展道路
'zhong'guo'te'se'zi'zhu'chuang'xin'dao'lu 中国特色自主创新道路
'zhong'hua'min'zu'wei'da'fu'xing 中华民族伟大复兴
'zhong'shen'xue'xi 终身学习
'zhong'yao'zhan'lue'ji'yu'qi 重要战略机遇期
'zhu'ti'di'wei 主体地位
'zhu'ti'gong'neng'qu 主体功能区
'zhu'you'suo'ju 住有所居
'zhuan'bian'fa'zhan'fang'shi 转变发展方式
'zhuan'bian'jing'ji'fa'zhan'fang'shi 转变经济发展方式
'zi'mou'zhi'ye 自谋职业
'zi'yuan'jie'yue'xing 资源节约型
'zi'yuan'jie'yue'xing'she'hui 资源节约型社会
'zi'zhi'ji'zhi 自治机制
'zi'zhu'chuang'xin'neng'li 自主创新能力
'zi'zhu'chuang'ye 自主创业
'zui'di'sheng'huo'bao'zhang'zhi'du 最低生活保障制度
'zun'zhong'cha'yi 尊重差异
