'an'jian 暗箭
'huan'guang'ren 幻光刃
'huan'lei'huan 幻雷环
'huan'ren'wu 环任务
'huan'shu'shi 幻术师
'huan'xiang'yuan'zheng 幻象远征
'hui'chun'shu 回春术
'huo'xue'sheng'ji 活血生肌
'huo'xue'shu 活血术
'ji'feng'nu'tao 疾风怒涛
'ji'guang'jue 极光诀
'ji'hun'shu 祭魂术
'ji'shi 祭师
'jia'lan'cheng 迦蓝城
'jin'feng'jue 金风诀
'jin'mu'chun'feng 浸沐春风
'jing'ling'yue'zhang 精灵乐章
'jing'yi'jue 净衣诀
'jiu'tian'xuan'huo 九天玄火
'jun'lin'tian'xia 君临天下
'kua'fu'jing'ji'chang 跨服竞技场
'kun'lun 昆仑
'kun'lun'shan 昆仑山
'lei'yin'jian'jue 雷音剑诀
'lei'yun'fu 雷云符
'li'bie'jue 离别诀
'li'huo'huan 离火环
'li'wu'da'zuo'zhan 礼物大作战
'lian'qi'huan'hun 炼气还魂
'ling'bi'jue 灵璧诀
'ling'xi'gu 灵犀谷
'ling'yun'jue 凌云诀
'liu'dao'fu'mo 六道伏魔
'liu'yun'jian'jue 流云剑诀
'long'bi'jue 龙壁诀
'long'yuan'gu'mu 龙渊古墓
'mei'ri'suan'gua 每日算卦
'mi'li'jue 迷离诀
'mi'yan'shu 秘言术
'mi'zong'bu 迷踪步
'ming'si'jue 冥思诀
'mo'yun'ya 摩云崖
'ni'lin'zhan 逆鳞斩
'nu'ji 怒击
'piao'miao'shi 飘渺式
'po'jia 破甲
'po'mie'jue 破灭诀
'pu'ji 普济
'qi'si'hui'sheng 起死回生
'qi'wang'zheng'ba 棋王争霸
'qi'xing'xuan'dou 七星玄斗
'qian'long'jue 潜龙诀
'qing'lian'dong 青莲洞
'qing'liang'guan 清凉关
'qing'lin'xiao'jing 青林小径
'qing'xin'pu'shan 清心普善
'quan'min'zhan'chang 全民战场
'ren'hun 刃魂
'ren'ji 刃击
'ren'nai 忍耐
'shang'gu'mi'jing 上古秘镜
'shen'yin'shu'hai 神隐树海
'shi'gu'fu 蚀骨符
'shi'hun'po 失魂破
'shi'xin'hou 失心吼
'shou'hu'ren'wu 守护任务
'shou'hu'tao'hua'yuan 守护桃花源
'shou'wang'ling 兽王陵
'shu'hun'yin 束魂印
'shu'shi 术士
'shuang'hua'luan'wu 霜华乱舞
'si'chou'zhi'lu 丝绸之路
'sui'yu'jue 碎玉诀
'ta'yun'dao 踏云道
'tao'hua'da'sai 桃花大赛
'tao'hua'you'le'chang 桃花游乐场
'tao'hua'yuan'ji 桃花源记
'tao'xi'zhen 桃溪镇
'ti'hu'guan'ding 醍醐灌顶
'tian'gang'di'sha 天罡地煞
'tian'huo 天火
'tian'jie'po 天劫破
'tian'jun 天君
'tian'lang'po 天狼破
'tian'lei'zhou 天雷咒
'tian'shi 天师
'tian'wai'fei'xian 天外飞仙
'tian'wu'guan 天武关
'tian'xi'cheng 天熙城
'tian'xi'xun'cheng 天熙巡城
'tong'ming'jue 通明诀
'tui'qi'guo'gong 推气过宫
'wan'xi'hui'yuan 万息回元
'wei'she 威慑
'wu'chang'jue 无常诀
'wu'qi'chao'yuan'zhou 五气朝元咒
'wu'sheng 武圣
'xia'shi 侠士
'xian'ji 献祭
'xian'lu'shu 仙露术
'xian'shi 贤士
'xiao'gou'sai'pao 小狗赛跑
'xiao'xing'chuan 小杏川
'xiao'yao 逍遥
'xiao'yao'gu 逍遥谷
'xiu'xing'ren'wu 修行任务
'xu'kong'po 虚空破
'xuan'bing'jian'jue 玄冰剑诀
'xuan'guang'jue 玄光诀
'xuan'yuan 轩辕
'xuan'yuan'dian 轩辕殿
'xue'shi 血誓
'yan'yu'jue 烟雨诀
'yao'shi 药师
'yi'cun'xiang'si 一寸相思
'yin'ni 隐匿
'yin'shi 隐士
'yin'yang'shi 阴阳师
'ying'wu 影舞
'you'long'zhan 游龙斩
'you'shan'juan'yun 幽山卷云
'yu'cheng'guan 玉承关
'yu'han'dong 玉涵洞
'yu'he'shu 愈合术
'yu'ling'jue 玉灵诀
'yu'lu'shu 玉露术
'yu'qian'ke'ju 御前科举
'yu'qing'jue 玉清诀
'yue'gong'tan'bao 月宫探宝
'yun'meng'ze 云梦泽
'zhan'hun 战魂
'zhan'shi 战士
'zhan'yi 战意
'zhao'huan'shi 召唤师
'zhen'kong'zhan 真空斩
'zhen'long'qi'ju 珍珑棋局
'zhen'qi'jue 真气诀
'zhen'yan'shu 真言术
'zhong'ji'huan'ren'wu 中级环任务
'zhui'hun'zhan 追魂斩
'zi'ji'kuang'lei 紫极狂雷
'zui'sheng'meng'si 醉生梦死
