'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'ba'wei'xi'hong'hua'qing'gan're'san 八味西红花清肝热散
'ba'wei'xi'hong'hua'zhi'xue'san 八味西红花止血散
'ba'wei'xi'lei'san 八味锡类散
'ba'wei'xiao'bo'pi'jiao'nang 八味小檗皮胶囊
'ba'wei'xiao'bo'pi'san 八味小檗皮散
'ba'wei'yi'shen'wan 八味益肾丸
'ba'wei'zhang'ya'cai'jiao'nang 八味獐牙菜胶囊
'ba'wei'zhang'ya'cai'pian 八味獐牙菜片
'ba'wei'zhang'ya'cai'wan 八味獐牙菜丸
'ba'wei'zhu'yao'san 八味主药散
'ba'xian'cong'rong'qiang'shen'jiao'nang 巴仙苁蓉强肾胶囊
'ba'zhen'bu'zhi 八珍补汁
'ba'zhen'dai'pao'cha 八珍袋泡茶
'ba'zhen'gao 八珍膏
'ba'zhen'jiao'nang 八珍胶囊
'ba'zhen'ke'li 八珍颗粒
'ba'zhen'lu'tai'ke'li 八珍鹿胎颗粒
'ba'zhen'pian 八珍片
'ba'zhen'wan 八珍丸
'ba'zhen'ye 八珍液
'ba'zhen'yi'mu'gao 八珍益母膏
'ba'zhen'yi'mu'jiao'nang 八珍益母胶囊
'ba'zhen'yi'mu'ke'li 八珍益母颗粒
'ba'zhen'yi'mu'pian 八珍益母片
'ba'zhen'yi'mu'wan 八珍益母丸
'ba'zheng'he'ji 八正合剂
'ba'zheng'jiao'nang 八正胶囊
'ba'zheng'ke'li 八正颗粒
'ba'zheng'pian 八正片
'ba'zi'bu'shen'jiao'nang 八子补肾胶囊
'bai'ai'jiao'nang 柏艾胶囊
'bai'ai'xi'ye 百艾洗液
'bai'an'xi'ye 百安洗液
'bai'bai'cha'ji 百柏搽剂
'bai'bai'jiao'nang 白柏胶囊
'bai'bai'kang'lao'ke'li 白百抗痨颗粒
'bai'bao'dan 百宝丹
'bai'bao'dan'cha'ji 百宝丹搽剂
'bai'bao'dan'jiao'nang 百宝丹胶囊
'bai'bei'yi'fei'jiao'nang 百贝益肺胶囊
'bai'bi'wen'san 白避瘟散
'bai'bu'wan 百部丸
'bai'bu'zeng'li'wan 百补增力丸
'bai'cao'fu'yan'qing'shuan 百草妇炎清栓
'bai'cao'xiang'jie'yu'an'shen'jiao'nang 白草香解郁安神胶囊
'bai'cao'you 百草油
'bai'dai'jing'jiao'nang 白带净胶囊
'bai'dai'jing'wan 白带净丸
'bai'dai'pian 白带片
'bai'dai'wan 白带丸
'bai'dan'cha'ji 白丹搽剂
'bai'di'zi'yin'wan 百地滋阴丸
'bai'dian'feng'jiao'nang 白癜风胶囊
'bai'dian'feng'wan 白癜风丸
'bai'du'san 败毒散
'bai'feng'yin 白凤饮
'bai'he'geng'nian'an'ke'li 百合更年安颗粒
'bai'he'gu'jin'ke'li 百合固金颗粒
'bai'he'gu'jin'kou'fu'ye 百合固金口服液
'bai'he'gu'jin'pian 百合固金片
'bai'he'gu'jin'wan 百合固金丸
'bai'hu'he'ji 白虎合剂
'bai'hua'cao'dai'pao'cha 白花草袋泡茶
'bai'hua'cao'jiao'nang 柏花草胶囊
'bai'hua'ding'chuan'pian 百花定喘片
'bai'hua'ding'chuan'wan 百花定喘丸
'bai'hua'gao 百花膏
'bai'hua'huo'xue'die'da'gao 百花活血跌打膏
'bai'hua'she'gao 白花蛇膏
'bai'hua'she'she'cao'zhu'she'ye 白花蛇舌草注射液
'bai'hua'you 白花油
'bai'ji'jiao'nang 白及胶囊
'bai'ji'ke'li 白及颗粒
'bai'ji'pian 白及片
'bai'ji'tang'jiang 白及糖浆
'bai'jiang'gan'mao'ke'li 白酱感冒颗粒
'bai'jiang'jiao'nang 败酱胶囊
'bai'jiang'pian 败酱片
'bai'jie'xi'ji 柏洁洗剂
'bai'jin'wan 白金丸
'bai'jing'yu'yan'yao 白敬宇眼药
'bai'ke'jing'ke'li 百咳静颗粒
'bai'ke'jing'tang'jiang 百咳静糖浆
'bai'ke'ning'ke'li 百咳宁颗粒
'bai'ke'ning'pian 百咳宁片
'bai'kou'tiao'zhong'wan 白蔻调中丸
'bai'le'mian'jiao'nang 百乐眠胶囊
'bai'lian'zhi'li'jiao'nang 白连止痢胶囊
'bai'ling'jian'pi'ke'li 白苓健脾颗粒
'bai'ling'jiao'nang 白灵胶囊
'bai'ling'jiao'nang 白苓胶囊
'bai'ling'jiao'nang 百令胶囊
'bai'ling'ke'li 百令颗粒
'bai'ling'pian 白灵片
'bai'ling'pian 百令片
'bai'long'die'da'jiu 白龙跌打酒
'bai'long'pian 白龙片
'bai'mai'ruan'gao 白脉软膏
'bai'mei'zhi'ke'ke'li 百梅止咳颗粒
'bai'mei'zhi'ke'tang'jiang 百梅止咳糖浆
'bai'pu'huang'jiao'nang 白蒲黄胶囊
'bai'pu'huang'ke'li 白蒲黄颗粒
'bai'pu'huang'pian 白蒲黄片
'bai'qi'jiang'tang'jiao'nang 柏芪降糖胶囊
'bai'qing'wei'san 白清胃散
'bai'ri'ke'pian 百日咳片
'bai'rong'zhi'ke'tang'jiang 白绒止咳糖浆
'bai'rui'han'pian 百蕊含片
'bai'rui'jiao'nang 百蕊胶囊
'bai'rui'ke'li 百蕊颗粒
'bai'rui'pian 百蕊片
'bai'sha'san 白痧散
'bai'sha'tang'jiang 白沙糖浆
'bai'shi'qing're'ke'li 白石清热颗粒
'bai'shi'wan 白蚀丸
'bai'shu'you 白树油
'bai'shu'you 百树油
'bai'tou'weng'zhi'li'pian 白头翁止痢片
'bai'xiao'wan 百效丸
'bai'xing'pian 白杏片
'bai'xuan'xia'ta're'fen'san'pian 百癣夏塔热分散片
'bai'xuan'xia'ta're'jiao'nang 百癣夏塔热胶囊
'bai'xuan'xia'ta're'pian 百癣夏塔热片
'bai'yao'jiao'nang 白药胶囊
'bai'yao'san 白药散
'bai'yi'chao'jiao'nang 白蚁巢胶囊
'bai'yi'zhen'jing'wan 白益镇惊丸
'bai'yu'ruan'gao 白玉软膏
'bai'zhi'ke'li 白芝颗粒
'bai'zhi'qu'shi'pen'wu'ji 柏栀祛湿喷雾剂
'bai'zhi'qu'shi'xi'ye 柏栀祛湿洗液
'bai'zhi'shan'gan'mao'ke'li 白纸扇感冒颗粒
'bai'zi'ren'wan 柏子仁丸
'bai'zi'yang'xin'jiao'nang 柏子养心胶囊
'bai'zi'yang'xin'pian 柏子养心片
'bai'zi'yang'xin'wan 柏子养心丸
'bai'zi'zi'xin'wan 柏子滋心丸
'ban'bei'wan 半贝丸
'ban'lan'da'qing'ke'li 板蓝大青颗粒
'ban'lan'da'qing'pian 板蓝大青片
'ban'lan'gen'cha 板蓝根茶
'ban'lan'gen'di'wan 板蓝根滴丸
'ban'lan'gen'di'yan'ye 板蓝根滴眼液
'ban'lan'gen'fen'san'pian 板蓝根分散片
'ban'lan'gen'han'pian 板蓝根含片
'ban'lan'gen'jiao'nang 板蓝根胶囊
'ban'lan'gen'ju'jue'pian 板蓝根咀嚼片
'ban'lan'gen'ke'li 板蓝根颗粒
'ban'lan'gen'kou'fu'ye 板蓝根口服液
'ban'lan'gen'pao'teng'pian 板蓝根泡腾片
'ban'lan'gen'pian 板蓝根片
'ban'lan'gen'ruan'jiao'nang 板蓝根软胶囊
'ban'lan'gen'tang'jiang 板蓝根糖浆
'ban'lan'gen'zhu'she'ye 板蓝根注射液
'ban'lan'jie'du'zhu'she'ye 板蓝解毒注射液
'ban'lan'qing're'ke'li 板蓝清热颗粒
'ban'liu'wan 半硫丸
'ban'long'gu'shen'jiao'nang 斑龙固肾胶囊
'ban'tu'wan 斑秃丸
'ban'xia'he'wei'ke'li 半夏和胃颗粒
'ban'xia'lu'ke'li 半夏露颗粒
'ban'xia'lu'tang'jiang 半夏露糖浆
'ban'xia'tang'jiang 半夏糖浆
'ban'xia'tian'ma'wan 半夏天麻丸
'ban'xia'zhi'ke'tang'jiang 半夏止咳糖浆
'ban'zhi'lian'jiao'nang 半枝莲胶囊
'ban'zhi'lian'pian 半枝莲片
'bao'an'wan'ling'dan 保安万灵丹
'bao'an'wan'ling'wan 保安万灵丸
'bao'bao'le 宝宝乐
'bao'bao'le'ju'jue'pian 宝宝乐咀嚼片
'bao'bao'niu'huang'san 宝宝牛黄散
'bao'chi'san 保赤散
'bao'chi'yi'li'jin'san 保赤一粒金散
'bao'chi'yi'li'jin'wan 保赤一粒金丸
'bao'er'an'ke'li 保儿安颗粒
'bao'er'kang'san 宝儿康散
'bao'er'kang'tang'jiang 宝儿康糖浆
'bao'er'ning'ke'li 保儿宁颗粒
'bao'er'ning'tang'jiang 保儿宁糖浆
'bao'fu'kang'ning'jiao 保妇康凝胶
'bao'fu'kang'pao'mo'ji 保妇康泡沫剂
'bao'fu'kang'shuan 保妇康栓
'bao'fu'kang'yin'dao'pao'teng'pian 保妇康阴道泡腾片
'bao'gong'zhi'xue'ke'li 葆宫止血颗粒
'bao'gu'huo'luo'wan 豹骨活络丸
'bao'gu'jiu 豹骨酒
'bao'gu'mu'gua'jiu 豹骨木瓜酒
'bao'gu'zhui'feng'gao 豹骨追风膏
'bao'he'ju'jue'pian 保和咀嚼片
'bao'he'ke'li 保和颗粒
'bao'he'kou'fu'ye 保和口服液
'bao'he'pian 保和片
'bao'he'wan 保和丸
'bao'he'ye 保和液
'bao'hou'pian 保喉片
'bao'ji'kou'fu'ye 保济口服液
'bao'ji'wan 保济丸
'bao'ji'you 保济油
'bao'ke'ning'ke'li 宝咳宁颗粒
'bao'li'er'jiao'nang 保利尔胶囊
'bao'long'wan 抱龙丸
'bao'ning'ban'xia'ke'li 保宁半夏颗粒
'bao'tai'ling 保胎灵
'bao'tai'ling'jiao'nang 保胎灵胶囊
'bao'tai'ling'pian 保胎灵片
'bao'tai'wan 保胎丸
'bao'tai'wu'you'jiao'nang 保胎无忧胶囊
'bao'tai'wu'you'pian 保胎无忧片
'bao'tai'wu'you'san 保胎无忧散
'bao'tong'hua'tan'wan 保童化痰丸
'bao'wei'jiao'nang 保胃胶囊
'bao'xin'bao 保心包
'bao'xin'jiao'nang 保心胶囊
'bao'xin'ning'jiao'nang 保心宁胶囊
'bao'xin'ning'pian 保心宁片
'bao'xin'pian 保心片
'bao'ying'dan 保婴丹
'bao'ying'duo'ming'san 保婴夺命散
'bao'ying'san 保婴散
'bao'ying'zhen'jing'wan 保婴镇惊丸
'bao'you'hua'feng'dan 保幼化风丹
'bao'yuan'wan 保元丸
'bao'zhen'gao 保真膏
'bao'zhen'xiang'jiao'gao 宝珍橡胶膏
'bei'can'ping'chuan'jiao'nang 贝参平喘胶囊
'bei'dou'gen'di'wan 北豆根滴丸
'bei'dou'gen'fen'san'pian 北豆根分散片
'bei'dou'gen'jiao'nang 北豆根胶囊
'bei'dou'gen'ju'jue'pian 北豆根咀嚼片
'bei'dou'gen'pian 北豆根片
'bei'dou'gen'ruan'jiao'nang 北豆根软胶囊
'bei'ju'zhi'ke'tang'jiang 贝桔止咳糖浆
'bei'li'zhi'ke'kou'fu'ye 贝沥止咳口服液
'bei'ling'jiao'nang 贝羚胶囊
'bei'ling'san 贝羚散
'bei'mu'er'dong'gao 贝母二冬膏
'bei'mu'hua'liu'jin'gao 贝母花流浸膏
'bei'mu'hua'pian 贝母花片
'bei'mu'li'gao 贝母梨膏
'bei'qi'fu'xie'tie 倍芪腹泻贴
'bei'qi'kou'fu'ye 北芪口服液
'bei'qi'pian 北芪片
'bei'qi'wu'jia'pian 北芪五加片
'bi'bai'ke'jiao'nang 比拜克胶囊
'bi'dou'yan'kou'fu'ye 鼻窦炎口服液
'bi'kang'jiao'nang 鼻康胶囊
'bi'kang'pian 鼻康片
'bi'ke'ke'li 痹克颗粒
'bi'ke'pian 痹克片
'bi'ling'wei'tong'ke'li 荜铃胃痛颗粒
'bi'ma'you 蓖麻油
'bi'ning'pen'wu'ji 鼻宁喷雾剂
'bi'qi'jiao'nang 痹祺胶囊
'bi'se'tong'di'bi'ye 鼻塞通滴鼻液
'bi'shu'shi'pian 鼻舒适片
'bi'tong'di'bi'ji 鼻通滴鼻剂
'bi'tong'ding 痹痛酊
'bi'tong'ning'di'ji 鼻通宁滴剂
'bi'tong'ning'jiao'nang 痹痛宁胶囊
'bi'tong'wan 鼻通丸
'bi'tong'yao'jiu 痹通药酒
'bi'tong'yun'ji 痹痛熨剂
'bi'wen'jiao'nang 避瘟胶囊
'bi'wen'san 避瘟散
'bi'xie'fen'qing'wan 萆薢分清丸
'bi'xin'pian 痹欣片
'bi'xue'zhi'ke'li 鼻血止颗粒
'bi'yan'di'ji 鼻炎滴剂
'bi'yan'kang'pian 鼻炎康片
'bi'yan'ling'pian 鼻咽灵片
'bi'yan'ling'pian 鼻炎灵片
'bi'yan'ling'wan 鼻炎灵丸
'bi'yan'ning'jiao'nang 鼻炎宁胶囊
'bi'yan'ning'ke'li 鼻炎宁颗粒
'bi'yan'pian 鼻炎片
'bi'yan'qing'du'ji 鼻咽清毒剂
'bi'yan'qing'du'ke'li 鼻咽清毒颗粒
'bi'yan'tang'jiang 鼻炎糖浆
'bi'yan'tong'pen'wu'ji 鼻炎通喷雾剂
'bi'yuan'he'ji 鼻渊合剂
'bi'yuan'jiao'nang 鼻渊胶囊
'bi'yuan'pian 鼻渊片
'bi'yuan'ruan'jiao'nang 鼻渊软胶囊
'bi'yuan'shu'jiao'nang 鼻渊舒胶囊
'bi'yuan'shu'kou'fu'ye 鼻渊舒口服液
'bi'yuan'tang'jiang 鼻渊糖浆
'bi'yuan'tong'qiao'ke'li 鼻渊通窍颗粒
'bi'yuan'wan 鼻渊丸
'bi'yun'sha'yi'gan'ke'li 碧云砂乙肝颗粒
'bian'lei'ke'li 扁蕾颗粒
'bian'mi'tong 便秘通
'bian'mi'tong'ruan'gao 便秘通软膏
'bian'nai'tong'cha 便乃通茶
'bian'tong'jiao'nang 便通胶囊
'bian'tong'pian 便通片
'biao're'qing'jiao'nang 表热清胶囊
'biao're'qing'ke'li 表热清颗粒
'biao'shi'gan'mao'ke'li 表实感冒颗粒
'biao'xu'gan'mao'jiao'nang 表虚感冒胶囊
'biao'xu'gan'mao'ke'li 表虚感冒颗粒
'bie'jia'jian'wan 鳖甲煎丸
'bie'jia'xiao'zhi'jiao'nang 鳖甲消痔胶囊
'bin'huo'tong'feng'he'ji 槟藿痛风合剂
'bing'dan'cha'ji 冰胆搽剂
'bing'fan'qing'du'sheng'ji'san 冰矾清毒生肌散
'bing'huang'fu'le'ruan'gao 冰黄肤乐软膏
'bing'huang'ruan'gao 冰黄软膏
'bing'lang'hua'kou'fu'ye 槟榔花口服液
'bing'lang'qi'wei'wan 槟榔七味丸
'bing'lang'shi'san'wei'wan 槟榔十三味丸
'bing'lang'si'xiao'pian 槟榔四消片
'bing'lang'si'xiao'wan 槟榔四消丸
'bing'lian'di'er'ji 冰连滴耳剂
'bing'lian'qing'yan'pen'wu'ji 冰连清咽喷雾剂
'bing'mei'shang'qing'wan 冰梅上清丸
'bing'peng'han'pian 冰硼含片
'bing'peng'san 冰硼散
'bing'peng'yan'hou'san 冰硼咽喉散
'bing'qi'jiao'nang 冰七胶囊
'bing'qi'pian 冰七片
'bing'shi'yu'shang'ruan'gao 冰石愈伤软膏
'bing'shuang'fei'zi'fen 冰霜痱子粉
'bing'shuang'mei'su'wan 冰霜梅苏丸
'bing'yong'tong'mai'han'pian 冰蛹通脉含片
'bing'zhen'qing'mu'di'yan'ye 冰珍清目滴眼液
'bing'zhen'qu'yi'di'yan'ye 冰珍去翳滴眼液
'bing'zhi'shang'tong'qi'wu'ji 冰栀伤痛气雾剂
'bo'bai'san 菠白散
'bo'er'ning'jiao'nang 博尔宁胶囊
'bo'gu'shui 驳骨水
'bo'he'ding 薄荷锭
'bo'he'hou'pian 薄荷喉片
'bo'he'hu'biao'you 薄荷护表油
'bo'he'huo'luo'gao 薄荷活络膏
'bo'he'tong'xi'ru'ji 薄荷通吸入剂
'bo'luo'hui'zhong'yang'ding 博落回肿痒酊
'bo'xing'kang'yao'mo 博性康药膜
'bo'yun'ding 拨云锭
'bo'yun'fu'guang'san 拨云复光散
'bo'yun'san'yan'yao 拨云散眼药
'bo'yun'tui'yi'wan 拨云退翳丸
'bo'yun'yan'gao 拨云眼膏
'bo'zhi'jun'zhu'she'ye 薄芝菌注射液
'bo'zhi'pian 薄芝片
'bu'bai'ke'li 补白颗粒
'bu'fei'huo'xue'jiao'nang 补肺活血胶囊
'bu'fei'wan 补肺丸
'bu'gu'zhi'zhu'she'ye 补骨脂注射液
'bu'huan'jin'zheng'qi'san 不换金正气散
'bu'jin'jiao'nang 补金胶囊
'bu'jin'pian 补金片
'bu'nao'an'shen'jiao'nang 补脑安神胶囊
'bu'nao'an'shen'pian 补脑安神片
'bu'nao'wan 补脑丸
'bu'pi'an'shen'he'ji 补脾安神合剂
'bu'pi'xiao'ji'kou'fu'ye 补脾消积口服液
'bu'pi'yi'chang'wan 补脾益肠丸
'bu'pi'yi'shen'kou'fu'ye 补脾益肾口服液
'bu'qi'he'xue'jiao'nang 补气和血胶囊
'bu'qi'kou'fu'ye 补气口服液
'bu'qi'sheng'ti'pian 补气升提片
'bu'shen'an'shen'kou'fu'ye 补肾安神口服液
'bu'shen'ban'long'jiao'nang 补肾斑龙胶囊
'bu'shen'ban'long'pian 补肾斑龙片
'bu'shen'fang'chuan'pian 补肾防喘片
'bu'shen'gu'chi'wan 补肾固齿丸
'bu'shen'jian'gu'jiao'nang 补肾健骨胶囊
'bu'shen'jian'pi'kou'fu'ye 补肾健脾口服液
'bu'shen'jian'wei'er'shi'yi'wei'wan 补肾健胃二十一味丸
'bu'shen'kang'le'jiao'nang 补肾康乐胶囊
'bu'shen'kou'fu'ye 补肾口服液
'bu'shen'ning'pian 补肾宁片
'bu'shen'qiang'shen'jiao'nang 补肾强身胶囊
'bu'shen'qiang'shen'pian 补肾强身片
'bu'shen'run'fei'kou'fu'ye 补肾润肺口服液
'bu'shen'sheng'fa'yao'jiu 补肾生发药酒
'bu'shen'shi'qi'wei'gao 补肾十七味膏
'bu'shen'tian'jing'kou'fu'ye 补肾填精口服液
'bu'shen'tian'jing'wan 补肾填精丸
'bu'shen'tong'lin'ke'li 补肾通淋颗粒
'bu'shen'wan 补肾丸
'bu'shen'wen'yang'jiu 补肾温阳酒
'bu'shen'yang'xue'jiao'nang 补肾养血胶囊
'bu'shen'yang'xue'wan 补肾养血丸
'bu'shen'yi'gan'ke'li 补肾益肝颗粒
'bu'shen'yi'jing'wan 补肾益精丸
'bu'shen'yi'nao'jiao'nang 补肾益脑胶囊
'bu'shen'yi'nao'pian 补肾益脑片
'bu'shen'yi'nao'wan 补肾益脑丸
'bu'shen'yi'qi'jiao'nang 补肾益气胶囊
'bu'shen'yi'shou'jiao'nang 补肾益寿胶囊
'bu'shen'yi'shou'pian 补肾益寿片
'bu'shen'zhu'yang'wan 补肾助阳丸
'bu'shen'zhuang'gu'kou'fu'ye 补肾壮骨口服液
'bu'tian'ling'pian 补天灵片
'bu'xin'pian 补心片
'bu'xin'qi'kou'fu'ye 补心气口服液
'bu'xin'tong'mai'ke'li 补心通脉颗粒
'bu'xin'wan 补心丸
'bu'xu'tong'yu'ke'li 补虚通瘀颗粒
'bu'xue'an'shen'jiao'nang 补血安神胶囊
'bu'xue'cui'sheng'wan 补血催生丸
'bu'xue'dang'gui'jiao'nang 补血当归胶囊
'bu'xue'dang'gui'jing 补血当归精
'bu'xue'ning'shen'pian 补血宁神片
'bu'xue'pian 补血片
'bu'xue'run'ze'jiao'nang 补血润泽胶囊
'bu'xue'sheng'ru'ke'li 补血生乳颗粒
'bu'xue'tiao'jing'pian 补血调经片
'bu'xue'yi'mu'ke'li 补血益母颗粒
'bu'xue'yi'mu'tang'jiang 补血益母糖浆
'bu'xue'yi'mu'wan 补血益母丸
'bu'yi'di'huang'wan 补益地黄丸
'bu'yi'huo'luo'wan 补益活络丸
'bu'yi'ji'li'wan 补益蒺藜丸
'bu'yi'qiang'xin'pian 补益强心片
'bu'yi'zi'sheng'wan 补益资生丸
'bu'zhong'yi'qi'gao 补中益气膏
'bu'zhong'yi'qi'he'ji 补中益气合剂
'bu'zhong'yi'qi'ke'li 补中益气颗粒
'bu'zhong'yi'qi'kou'fu'ye 补中益气口服液
'bu'zhong'yi'qi'pian 补中益气片
