'ai'qian'e'ke 矮潜蛾科
'cai'e'ke 菜蛾科
'cai'yan'ying'ke 彩眼蝇科
'can'e'ke 蚕蛾科
'can'e'zong'ke 蚕蛾总科
'can'guan'la'chan'ke 残管蜡蝉科
'can'mai'xun'wen'ke 残脉蕈蚊科
'cao'bai'yi'ke 草白蚁科
'cao'ling'ke 草蛉科
'cao'xi'ke 草蟋科
'cao'ying'ke 草蝇科
'cha'chi'ya'mu 差翅亚目
'cha'ji'ke 叉襀科
'cha'jiao'fen'jin'gui 叉角粪金龟
'chan'chun'ke 蟾蝽科
'chan'ke 蝉科
'chan'zong'ke 蝉总科
'chan'zu'ying'ke 铲足蝇科
'chang'bei'ni'feng'ke 长背泥蜂科
'chang'bei'ying'feng'ke 长背瘿蜂科
'chang'bi'jin'gui'ke 长臂金龟科
'chang'chi'fei'shi'ke 长翅飞虱科
'chang'chi'mu 长翅目
'chang'chun'ke 长蝽科
'chang'chun'xiang'ke 长椿象科
'chang'chun'xiang'zong'ke 长椿象总科
'chang'du'chong'ke 长蠹虫科
'chang'du'ke 长蠹科
'chang'dun'mei'chan'ke 长盾沬蝉科
'chang'fu'xi'feng'ke 长腹细蜂科
'chang'guan'ji'ma'ke 长管蓟马科
'chang'hua'zao'ke 长花蚤科
'chang'jie'fu'ke 长节蜉科
'chang'jie'ju'feng'ke 长节锯蜂科
'chang'jing'chong'ke 长颈虫科
'chang'jing'jia'ke 长颈甲科
'chang'jing'shu'feng'ke 长颈树蜂科
'chang'ju'e'ke 长距蛾科
'chang'ni'chong'ke 长泥虫科
'chang'ni'jia'ke 长泥甲科
'chang'shou'fu'you'ke 长手蜉蝣科
'chang'shou'yu'shi'ke 长兽羽虱科
'chang'tou'chun'ke 长头蝽科
'chang'tou'la'chan'ke 长头蜡蝉科
'chang'wei'ji'feng'ke 长尾姬蜂科
'chang'wei'xiao'feng'ke 长尾小蜂科
'chang'xiao'du'chong'ke 长小蠹虫科
'chang'xiao'du'ke 长小蠹科
'chang'xiong'ye'chan'ke 长胸叶蝉科
'chang'xu'die'ke 长须蝶科
'chang'xu'tong'du'chong'ke 长须筒蠹虫科
'chang'yan'jia'ke 长阎甲科
'chang'zu'meng'ke 长足虻科
'chao'e'ke 巢蛾科
'chao'mei'chan'ke 巢沬蝉科
'chao'ying'ke 巢蝇科
'chi'chi'jia'ke 赤翅甲科
'chi'chong'ke 豉虫科
'chi'chun'ke 尺蝽科
'chi'gu'ying'feng'ke 齿股瘿蜂科
'chi'huo'e'ke 尺蠖蛾科
'chi'huo'e'zong'ke 尺蠖蛾总科
'chi'jia'ke 豉甲科
'chi'jiao'shi'e'ke 齿角石蛾科
'chi'xiao'du'ke 齿小蠹科
'chi'yan'feng'ke 赤眼蜂科
'chi'zhao'niao'shi'ke 齿爪鸟虱科
'chou'chong'ke 臭虫科
'chou'chong'zong'ke 臭虫总科
'chou'meng'ke 臭虻科
'chou'qiang'lang 臭蜣螂
'chu'tou'ying'ke 出头蝇科
'chu'wei'chong'ke 出尾虫科
'chu'wei'shui'chong'ke 出尾水虫科
'chu'wei'xun'chong'ke 出尾蕈虫科
'chu'wei'xun'jia'ke 出尾蕈甲科
'chuang'e'ke 窗蛾科
'chuang'meng'ke 窗虻科
'chui'chi'ji'ma'ke 锤翅蓟马科
'chui'jiao'chun'ke 锤角蝽科
'chui'jiao'e'ke 锤角蛾科
'chui'jiao'xi'feng'ke 锤角细蜂科
'chui'jiao'ye'feng'ke 锤角叶蜂科
'chun'ke 蝽科
'chun'ting'ke 春蜓科
'chun'xiang'ke 椿象科
'chun'xiang'mao'ke 椿象蟊科
'ci'chun'xiang'ke 刺椿象科
'ci'chun'xiang'zong'ke 刺椿象总科
'ci'jian'chun'ke 刺肩蝽科
'ci'jiao'feng'ke 刺角蜂科
'ci'jiao'tu'feng'ke 刺角土蜂科
'ci'tun'tu'feng'ke 刺臀土蜂科
'ci'xiong'ni'feng'ke 刺胸泥蜂科
'cong'ke 蟌科
'cong'ting'ke 蟌蜓科
'cong'xi'ke 丛蟋科
'cu'bi'ying'ke 粗臂蝇科
'cu'jiao'ci'chun'xiang'ke 粗角刺椿象科
'cu'jiao'fei'shi'ke 粗脚飞虱科
'cu'mai'mao'rui'ke 粗脉毛蚋科
'cui'shui'ying'ke 催睡蝇科
'cuo'jing'xiao'du'ke 锉胫小蠹科
'da'chun'ni'feng'ke 大唇泥蜂科
'da'fu'huang'ke 大腹蝗科
'da'fu'ying'ke 大跗蝇科
'da'hong'ban 大红斑
'da'hua'zao'ke 大花蚤科
'da'ji'ke 大襀科
'da'ji'ma'ke 大蓟马科
'da'jiao'kou'tou'chong'ke 大角叩头虫科
'da'jiao'xun'wen'ke 大角蕈蚊科
'da'kuan'min'chun'ke 大宽黾蝽科
'da'meng'ke 大虻科
'da'shi'ying'ke 大石蝇科
'da'ting'ke 大蜓科
'da'tou'ni'feng'ke 大头泥蜂科
'da'wei'qu'sou'ke 大尾蠼螋科
'da'wen'ke 大蚊科
'da'wen'zong'ke 大蚊总科
'da'xi'mu'chong'ke 大吸木虫科
'da'xun'chong'ke 大蕈虫科
'da'xun'jia'ke 大蕈甲科
'da'yan'shui'chun'xiang'ke 大眼水椿象科
'da'yu'shi'ke 大羽虱科
'dai'chui'jiao'fen'jin'gui 戴锤角粪金龟
'dai'e'ke 带蛾科
'dai'ji'ke 带襀科
'dai'lian'qiang'lang 戴联蜣螂
'dai'mao'ying'ke 玳瑁蝇科
'dai'shu'niao'shi'ke 袋鼠鸟虱科
'dai'shu'yu'shi'ke 袋鼠羽虱科
'dan'kong'lei 单孔类
'dan'wei'mu 弹尾目
'deng'chi'mu 等翅目
'deng'chi'shi'e'ke 等翅石蛾科
'deng'e'ke 灯蛾科
'deng'jie'tiao'chong'ke 等节跳虫科
'deng'wei'si'yi'ke 等尾丝蚁科
'di'dan'ke 地胆科
'di'feng'ke 地蜂科
'di'hua'feng'ke 地花蜂科
'di'kou'jia'ke 地叩甲科
'dian'fu'qu'sou'ke 垫跗蠼螋科
'dian'fu'sou'ke 垫跗螋科
'diao'chi'e'ke 雕翅蛾科
'die'e'ke 蝶蛾科
'die'e'zong'ke 蝶蛾总科
'die'jiao'e'ke 蝶角蛾科
'die'jiao'ling 蝶角蛉
'die'jiao'ling'ke 蝶角蛉科
'die'ling'ke 蝶蛉科
'dou'xiang'ke 豆象科
'du'e'ke 毒蛾科
'du'jiao'xian'ke 独角仙科
'duan'bing'ni'feng'ke 短柄泥蜂科
'duan'chi'ni'feng'ke 短翅泥蜂科
'duan'fu'chong'ke 短跗虫科
'duan'jia'ke 短甲科
'duan'jiao 短角
'duan'jiao'ji'ying'ke 短角寄蝇科
'duan'jiao'niao'shi'ke 短角鸟虱科
'duan'jiao'tiao'chong'ke 短角跳虫科
'duan'jiao'ya'mu 短角亚目
'duan'jiao'yu'shi'ke 短角羽虱科
'duan'jie'feng'ke 短节蜂科
'duan'mai'cong'ke 短脉蟌科
'duan'shi'e'ke 短石蛾科
'duan'si'fu'you'ke 短丝蜉蝣科
'duan'tou'ye'chan'ke 短头叶蝉科
'duan'wei'shi'ying'ke 短尾石蝇科
'duan'zhuo'chun'ke 短啄蝽科
'duan'zu'chun'ke 短足蝽科
'duan'zu'chun'xiang'ke 短足椿象科
'duan'zu'la'chan'ke 短足蜡蝉科
'duan'zu'lou'ke 短足蝼科
'dun'chun'ke 盾蝽科
'dun'chun'xiang'ke 盾椿象科
'dun'jiao'ya'mu 钝角亚目
'dun'jie'ke 盾蚧科
'dun'jie'ke'chong'ke 盾介壳虫科
'duo'ju'shi'e'ke 多距石蛾科
'duo'shi'ya'mu 多食亚目
'duo'yu'e'ke 多羽蛾科
'e'la'chan'ke 蛾蜡蝉科
'e'ling'ke 蛾蛉科
'e'ling'zong'ke 蛾蛉总科
'e'nie'chong'ke 蛾啮虫科
'e'rui'ke 蛾蚋科
'e'rui'zong'ke 蛾蚋总科
'er'wei'fu'ke 二尾蜉科
'er'ye'chan'ke 耳叶蝉科
'fang'tou'chu'wei'chong'ke 方头出尾虫科
'fang'tou'ni'feng'ke 方头泥蜂科
'fang'xiong'jia'ke 方胸甲科
'fang'xiong'xiang'bi'chong'ke 方胸象鼻虫科
'fang'zu'mu 纺足目
'fei'lian'ke 蜚蠊科
'fei'lian'mu 蜚蠊目
'fei'lian'zong'ke 蜚蠊总科
'fei'zhou'jin'gui'ke 非洲金龟科
'fen'die'ke 粉蝶科
'fen'du'ke 粉蠹科
'fen'dui'fen'jin'gui 粪堆粪金龟
'fen'dun'xi'feng'ke 分盾细蜂科
'fen'jin'gui 粪金龟
'fen'jin'gui'ke 粪金龟科
'fen'ling'ke 粉蛉科
'fen'ling'zong'ke 粉蛉总科
'fen'she'feng'ke 分舌蜂科
'fen'shi'ke 粉虱科
'fen'shi'zong'ke 粉虱总科
'fen'ying'ke 粪蝇科
'feng'die'ke 凤蝶科
'feng'die'zong'ke 凤蝶总科
'feng'e'ke 凤蛾科
'feng'mao'ke 蜂蟊科
'feng'meng'ke 蜂虻科
'feng'shi'ying'ke 蜂虱蝇科
'fu'bian'jia'ke 复变甲科
'fu'feng'ke 腹蜂科
'fu'mu'ying'ke 腐木蝇科
'fu'ni'jia'ke 负泥甲科
'fu'sou'ke 蝠螋科
'fu'sou'ya'mu 蝠螋亚目
'fu'wan'ke 富蚖科
'fu'you'ke 蜉蝣科
'fu'you'mu 蜉蝣目
'fu'you'zong'ke 蜉蝣总科
'fu'zao'ke 蝠蚤科
'fu'zi'chun'ke 负子蝽科
'gan'chong'xiu'ke 杆虫脩科
'gan'ying'ke 秆蝇科
'gan'zhu'jie'chong'ke 杆竹节虫科
'gao'bei'shou'feng'ke 高背瘦蜂科
'gao'fei'shi'ke 缟飞虱科
'gao'ying'ke 缟蝇科
'ge'chi'mu 革翅目
'gen'liu'ya'ke 根瘤蚜科
'gong'ting'ke 弓蜓科
'gou'chi'e'ke 钩翅蛾科
'gou'chi'shi'e'ke 钩翅石蛾科
'gou'fu'ji'feng'ke 钩腹姬蜂科
'gou'ting'ke 勾蜓科
'gu'cong'ke 鼓蟌科
'gu'e'ke 谷蛾科
'gu'e'zong'ke 榖蛾总科
'gu'fu'e'ke 古蝠蛾科
'gu'jin'gui'ke 股金龟科
'gu'nie'chong'ke 古啮虫科
'gu'ting'ke 古蜓科
'gu'wan'ke 古蚖科
'gu'wan'ya'mu 古蚖亚目
'gua'jie'yu'shi'ke 寡节羽虱科
'gua'mai'fu'ke 寡脉蜉科
'gua'mai'fu'you'ke 寡脉蜉蝣科
'gua'mai'ying'ke 寡脉蝇科
'gua'mao'tu'feng'ke 寡毛土蜂科
'guan'feng'ke 冠蜂科
'guan'ji'ma'ke 管蓟马科
'guan'jie'ke 管蚧科
'guan'qian'e'ke 冠潜蛾科
'guan'shi'e'ke 管石蛾科
'guan'tou'ji'feng'ke 冠头姬蜂科
'guan'wei'ya'mu 管尾亚目
'guang'chi'la'chan'ke 广翅蜡蝉科
'guang'chi'ling'ke 广翅蛉科
'guang'chi'ying'feng'ke 光翅瘿蜂科
'guang'e'ye'chan'ke 广额叶蝉科
'guang'fei'lian'ke 光蜚蠊科
'guang'fu'xi'feng'ke 广腹细蜂科
'guang'jian'xiao'feng'ke 广肩小蜂科
'guang'jiao'bing'ke 光角蛃科
'guang'lian'ke 光蠊科
'guang'tou'ye'chan'ke 广头叶蝉科
'guang'xiong'jia'ke 广胸甲科
'guang'xiong'mei'chan'ke 广胸沬蝉科
'guang'yao'ya'mu 广腰亚目
'gui'chun'xiang'ke 龟椿象科
'gun'bang'shou'feng'ke 棍棒瘦蜂科
'guo'gong'chong'ke 郭公虫科
'guo'gong'jia'ke 郭公甲科
'guo'ying'ke 果蝇科
'guo'ying'zong'ke 果蝇总科
'guo'zhu'e'ke 果蛀蛾科
'hai'shou'shi'ke 海兽虱科
'he'fu'you'ke 褐蜉蝣科
'he'ling'ke 褐蛉科
'he'ying'ke 禾蝇科
'hei'chi'xun'rui'ke 黑翅蕈蚋科
'hei'chun'ke 黑蝽科
'hei'ji'ke 黑襀科
'hei'ji'ma'ke 黑蓟马科
'hei'qiang'ke 黑蜣科
'hei'shi'ying'ke 黑石蝇科
'hei'yan'chong'ke 黑艳虫科
'hei'yan'ying'ke 黑艳蝇科
'hei'zhou'sai'jin'gui 黑皱鳃金龟
'hong'chi'chong'ke 红翅虫科
'hong'chun'ke 红蝽科
'hong'jie'ke 红蚧科
'hong'jie'ke'chong'ke 红介壳虫科
'hong'jin'gui'ke 红金龟科
'hong'niang'hua'ke 红娘华科
'hong'ying'ke 红萤科
'hou'fu'you'ke 鲎蜉蝣科
'hu'e'ke 虎蛾科
'hu'e'ke 槲蛾科
'hu'feng'ke 胡蜂科
'hu'feng'zong'ke 胡蜂总科
'hu'jia'chong'ke 虎甲虫科
'hu'jia'ke 虎甲科
'hua'chun'ke 花蝽科
'hua'chun'ke 划蝽科
'hua'chun'xiang'ke 花椿象科
'hua'e'ke 桦蛾科
'hua'jin'gui'ke 花金龟科
'hua'nie'chong'ke 花啮虫科
'hua'sai'fu'you'ke 花鳃蜉蝣科
'hua'wan'ke 华蚖科
'hua'wan'ya'mu 华蚖亚目
'hua'xiong'ni'feng'ke 滑胸泥蜂科
'hua'ying'ke 花萤科
'hua'ying'ke 花蝇科
'hua'zao'ke 花蚤科
'huan'die'ke 环蝶科
'huan'fu'ying'feng'ke 环腹瘿蜂科
'huan'lie'lei 环裂类
'huan'wen'die'ke 环纹蝶科
'huang'ke 蝗科
'huang'xiong'jia'ke 黄胸甲科
'huang'zong'ke 蝗总科
'hui'die'ke 喙蝶科
'hui'die'ke 灰蝶科
'ji'chi'mu 襀翅目
'ji'chun'ke 寄蝽科
'ji'chun'la'chan'ke 脊唇蜡蝉科
'ji'ci'chong'ke 姬刺虫科
'ji'ding'chong'ke 吉丁虫科
'ji'ding'jia'ke 吉丁甲科
'ji'e'ke 寄蛾科
'ji'feng'ke 姬蜂科
'ji'feng'zong'ke 姬蜂总科
'ji'hua'chong'ke 姬花虫科
'ji'hua'jia'ke 姬花甲科
'ji'jiao'jin'gui'ke 棘角金龟科
'ji'ju'jia'ke 寄居甲科
'ji'ke 襀科
'ji'ling'ke 姬蛉科
'ji'ling'zong'ke 姬蛉总科
'ji'ma'ke 蓟马科
'ji'meng'ke 棘虻科
'ji'sheng'chun'xiang'ke 寄生椿象科
'ji'sheng'lei 寄生类
'ji'sheng'shu'feng'ke 寄生树蜂科
'ji'sheng'shu'feng'zong'ke 寄生树蜂总科
'ji'shi'e'ke 姬石蛾科
'ji'shi'ke 棘虱科
'ji'sou'ke 姬螋科
'ji'tiao'chong'ke 棘跳虫科
'ji'xin'chong'ke 姬薪虫科
'ji'xun'jia'ke 姬蕈甲科
'ji'ying'ke 寄蝇科
'ji'yuan'chun'ke 姬缘蝽科
'ji'zhi'cong'ke 畸痣蟌科
'jia'die'ke 蛱蝶科
'jia'fei'lian'ke 甲蜚蠊科
'jia'wei'chong'ke 铗尾虫科
'jia'wei'chong'zong'ke 铗尾虫总科
'jia'wei'ke 铗尾科
'jia'ying'ke 家蝇科
'jia'ying'zong'ke 家蝇总科
'jian'chi'e'ke 尖翅蛾科
'jian'chi'fei'lian'ke 尖翅蜚蠊科
'jian'chi'ya'mu 间翅亚目
'jian'feng'ke 茧蜂科
'jian'jia'ke 坚甲科
'jian'jie'chong'ke 鲣节虫科
'jian'meng'ke 剑虻科
'jian'shi'e'ke 剑石蛾科
'jian'ting'ke 箭蜓科
'jian'xiong'qing'feng'ke 尖胸青蜂科
'jiao'chan'ke 角蝉科
'jiao'chan'zong'ke 角蝉总科
'jiao'fu'fei'lian'ke 角腹蜚蠊科
'jiao'jie'ke 胶蚧科
'jiao'ling'ya'mu 蛟蛉亚目
'jiao'xiong'ni'feng'ke 角胸泥蜂科
'jiao'yong'ying'ke 角蛹蝇科
'jie'bing'ni'feng'ke 结柄泥蜂科
'jie'chi'fei'lian'ke 结翅蜚蠊科
'jie'chun'ke 捷蝽科
'jie'fu'ni'feng'ke 节腹泥蜂科
'jie'fu'tu'feng'ke 节腹土蜂科
'jie'fu'ya'mu 节腹亚目
'jie'ke 蚧科
'jie'ke'chong'ke 介壳虫科
'jie'ke'chong'zong'ke 介壳虫总科
'jin'e'ke 金蛾科
'jin'gui'jia'ke 金龟甲科
'jin'gui'zi'ke 金龟子科
'jin'gui'zi'zong'ke 金龟子总科
'jin'hua'chong'ke 金花虫科
'jin'xiao'feng'ke 金小蜂科
'jing'feng'ke 茎蜂科
'jing'hui'lei 颈喙类
'jing'jie'ke 旌蚧科
'jing'jie'ke'chong'ke 旌介壳虫科
'jing'ling'ke 旌蛉科
'jing'qian'e'ke 茎潜蛾科
'ju'chi'ying'ke 锯翅蝇科
'ju'feng'ke 锯蜂科
'ju'feng'zong'ke 锯蜂总科
'ju'gu'dao'ke 锯谷盗科
'ju'hu'ke 菊虎科
'ju'hu'zong'ke 菊虎总科
'ju'jiao'ye'feng'ke 锯角叶蜂科
'ju'qian'e'ke 桔潜蛾科
'ju'wei'ji'feng'ke 举尾姬蜂科
'ju'xiong'xiao'feng'ke 巨胸小蜂科
'ju'ying'ke 疽蝇科
'ju'zhi'e'ke 举肢蛾科
'juan'e'ke 绢蛾科
'juan'ji'ke 卷襀科
'juan'shi'ying'ke 卷石蝇科
'juan'ye'e'ke 卷叶蛾科
'juan'ye'e'zong'ke 卷叶蛾总科
'juan'ye'ju'feng'ke 卷叶锯蜂科
'jun'chi'la'chan'ke 峻翅蜡蝉科
'jun'chi'ya'mu 均翅亚目
'jun'pei'chong'ke 军配虫科
'jun'pei'chong'zong'ke 军配虫总科
'jun'pei'fei'shi'ke 军配飞虱科
'ka'xi'qu'sou'ke 卡西蠼螋科
'kai'xi'sou'ke 凯西螋科
'kai'ying'ke 铠蝇科
'ke'dou'fu'ke 蝌蚪蜉科
'ke'fu'xiao'feng'ke 刻腹小蜂科
'ke'jie'ke 壳蚧科
'kou'jia'ke 叩甲科
'kou'tou'chong'ke 叩头虫科
'kou'tou'chong'zong'ke 叩头虫总科
'ku'ye'e'ke 枯叶蛾科
'kuan'chi'chun'xiang'ke 宽翅椿象科
'kuan'ding'ye'chan'ke 宽顶叶蝉科
'kuan'jian'min'chun'ke 宽肩黾蝽科
'kuan'yan'la'chan'ke 宽颜蜡蝉科
'kuang'ying'ke 狂蝇科
'kui'guan'zao'ke 盔冠蚤科
'kun'chong 昆虫
'kun'chong'gang 昆虫纲
'kuo'min'chun'ke 阔黾椿科
'la'ban'jia'ke 蜡斑甲科
'la'chan'ke 蜡蝉科
'la'chan'zong'ke 蜡蝉总科
'lao'ying'ke 酪蝇科
'li'cong'ke 丽蟌科
'li'e'ke 栎蛾科
'li'e'xi'feng'ke 离颚细蜂科
'li'jin'gui'ke 丽金龟科
'li'mai'la'chan'ke 粒脉蜡蝉科
'li'shi'e'ke 笠石蛾科
'li'tou'feng'ke 梨头蜂科
'li'xiong'ye'chan'ke 犁胸叶蝉科
'li'ying'ke 丽蝇科
'lian'jie'ke'chong'ke 链介壳虫科
'liang'chi'ling'ke 亮翅蛉科
'liang'qi'jia'ke 两栖甲科
'liang'qi'long'shi'ke 两栖龙虱科
'liao'jie'ke 镣蚧科
'lie'chun'ke 猎蝽科
'lie'yan'jin'gui'ke 裂眼金龟科
'lin'ban'ying'ke 邻斑蝇科
'lin'cai'e'ke 邻菜蛾科
'lin'chi'mu 鳞翅目
'lin'juan'e'ke 邻绢蛾科
'lin'ling'ke 鳞蛉科
'lin'nie'chong'ke 鳞啮虫科
'lin'shi'e'ke 鳞石蛾科
'lin'tiao'chong'ke 鳞跳虫科
'ling'fei'shi'ke 菱飞虱科
'ling'huang'ke 菱蝗科
'ling'ji'ma'ke 灵蓟马科
'liu'chun'ke 瘤蝽科
'liu'e'ke 瘤蛾科
'liu'jie'ye'feng'ke 六节叶蜂科
'liu'shi'e'ke 流石蛾科
'liu'shi'e'ke 瘤石蛾科
'liu'shi'e'zong'ke 流石蛾总科
'liu'tiao'jin'gui'ke 瘤条金龟科
'liu'tui'ni'feng'ke 瘤腿泥蜂科
'long'bei'fei'lian'ke 隆背蜚蠊科
'long'bei'jin'gui'ke 隆背金龟科
'long'dun'ying'feng'ke 隆盾瘿蜂科
'long'shi'ke 龙虱科
'long'tou'chun'xiang'ke 隆头椿象科
'lou'gu'ke 蝼蛄科
'lu'wei'jia'ke 露尾甲科
'luan'chi'e'ke 卵翅蛾科
'luo'feng'ke 裸蜂科
'lv'chun'ke 榈蝽科
'lv'cong'ke 绿蟌科
'ma'lai'ying'ke 马来蝇科
'ma'ying'ke 麻蝇科
'mai'chi'mu 脉翅目
'mai'e'ke 麦蛾科
'mai'la'chan'ke 麦腊蝉科
'mai'zang'chong'ke 埋葬虫科
'mang'chun'ke 盲蝽科
'mang'chun'xiang'ke 盲椿象科
'mang'she'ling'ke 盲蛇蛉科
'mang'zao'ke 盲蚤科
'mao'chi'mu 毛翅目
'mao'chun'ke 锚蝽科
'mao'ding'e'ke 毛顶蛾科
'mao'ding'e'zong'ke 毛顶蛾总科
'mao'e'ke 毛蛾科
'mao'jiao'chun'ke 毛角蝽科
'mao'jiao'hua'feng'ke 毛脚花蜂科
'mao'jiao'tu'feng'ke 毛角土蜂科
'mao'jin'gui'ke 毛金龟科
'mao'ling'ke 毛蛉科
'mao'niao'shi'ke 毛鸟虱科
'mao'nie'chong'ke 毛啮虫科
'mao'rui'ke 毛蚋科
'mao'rui'zong'ke 毛蚋总科
'mao'shi'e'ke 毛石蛾科
'mao'wen'e'ke 锚纹蛾科
'mao'wen'e'zong'ke 锚纹蛾总科
'mao'xiang'bi'chong'ke 毛象鼻虫科
'mao'xiang'ke 毛象科
'mao'yu'shi'ke 毛羽虱科
'mei'chan'ke 沬蝉科
'mei'chan'zong'ke 沬蝉总科
'mei'cong'ke 美蟌科
'mei'ling'ke 美蛉科
'mei'si'yi'ke 美丝蚁科
'mei'xie'ling'ke 美蝎蛉科
'meng'ke 虻科
'meng'ke 蠓科
'meng'zong'ke 虻总科
'mi'feng'ke 蜜蜂科
'mi'feng'zong'ke 蜜蜂总科
'mian'jie'ke 绵蚧科
'ming'e'ke 螟蛾科
'mo'chi'chun'ke 膜翅蝽科
'mo'chi'mu 膜翅目
'mo'er'fu'die'ke 摩尔浮蝶科
'mu'bai'yi'ke 木白蚁科
'mu'chang'jin'gui'ke 牧场金龟科
'mu'du'e'ke 木蠹蛾科
'mu'du'e'zong'ke 木蠹蛾总科
'mu'e'ke 木蛾科
'mu'jia'ke 木甲科
'mu'meng'ke 木虻科
'mu'shi'ke 木虱科
'nan'ou'e'ke 南欧蛾科
'nang'xian 囊腺
'nang'xian'wan'ke 囊腺蚖科
'ni'bing'tu'feng'ke 拟柄土蜂科
'ni'bu'jia 拟步甲
'ni'bu'jia'ke 拟步甲科
'ni'bu'xing'chong'ke 拟步行虫科
'ni'bu'xing'chong'zong'ke 拟步行虫总科
'ni'cai'e'ke 拟菜蛾科
'ni'chan'chu'chun'xiang'ke 拟蟾蜍椿象科
'ni'chan'chun'ke 拟蟾蝽科
'ni'chong'ke 泥虫科
'ni'chong'zong'ke 泥虫总科
'ni'fei'lian'ke 拟蜚蠊科
'ni'feng'ke 泥蜂科
'ni'hua'zao'ke 拟花蚤科
'ni'ji'ying'ke 拟寄蝇科
'ni'jia'ke 泥甲科
'ni'kou'jia'ke 拟叩甲科
'ni'kou'tou'chong'ke 拟叩头虫科
'ni'lie'chun'ke 拟猎蝽科
'ni'ling'ke 泥蛉科
'ni'ling'ya'mu 泥蛉亚目
'ni'mang'chun'ke 拟盲蝽科
'ni'mi'feng'ke 拟蜜蜂科
'ni'qiao'jia'ke 拟锹甲科
'ni'qiao'xing'chong'ke 拟锹形虫科
'ni'shi'chong'meng'ke 拟食虫虻科
'ni'si'cong'ke 拟丝蟌科
'ni'suo'e'ke 拟蓑蛾科
'ni'tian'niu'ke 拟天牛科
'ni'wang'chun'ke 拟网蝽科
'ni'wang'rui'ke 拟网蚋科
'ni'xi'mu'chong'ke 拟吸木虫科
'ni'yan'mo'chong'ke 拟阎魔虫科
'ni'ying'ke 拟萤科
'ni'yu'meng'ke 拟鹬虻科
'ni'zhao'jia'ke 泥沼甲科
