'a'nan'tuo 阿难陀
'huang'jin'wei'di 黄金为地
'huang'se'huang'guang 黄色黄光
'ji'bao'luo'wang 及宝罗网
'ji'de'wang'sheng'e'mi'tuo'fo'ji'le'guo'tu 即得往生阿弥陀佛极乐国土
'ji'le'guo'tu 极乐国土
'ji'le'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan 极乐国土成就如是功德庄严
'ji'qi'ren'min 及其人民
'ji'shi'ti'huan'yin'deng 及释提桓因等
'ji'yi'shi'shi 即以食时
'jia'ling'pin'ga 迦陵频伽
'jia'liu'tuo'yi 迦留陀夷
'jiao'fan'bo'ti 憍梵波提
'jie'a'luo'han 皆阿罗汉
'jie'shi'a'bing'ba'zhi 皆是阿鞞跋致
'jie'shi'da'a'luo'han 皆是大阿罗汉
'jie'shi'e'mi'tuo'fo'yu'ling'fa'yin'xuan'liu 皆是阿弥陀佛欲令法音宣流
'jie'shi'si'bao'zhou'za'wei'rao 皆是四宝周匝围绕
'jie'xi'nian'fo 皆悉念佛
'jin 金
'jin'xian'zai'shuo'fa 今现在说法
'jing'guang'fo 净光佛
'ju'hui'yi'chu 俱会一处
'kong'que 孔雀
'li'po'duo 离婆多
'liu'li 琉璃
'luo'hou'luo 罗睺罗
'ma'nao'er'yan'shi'zhi 玛瑙而严饰之
'miao'yin'fo 妙音佛
'ming'guang'fo 名光佛
'ming'wen'fo 名闻佛
'ming'wen'guang'fo 名闻光佛
'mo'he'jia'ye 摩诃迦叶
'mo'he'jia'zhan'yan 摩诃迦旃延
'mo'he'jie'bin'na 摩诃劫宾那
'mo'he'ju'chi'luo 摩诃俱絺罗
'mo'he'mu'jian'lian 摩诃目犍连
'nan'fang'shi'jie 南方世界
'nan'ju'fo 难沮佛
'nan'tuo 难陀
'nian'fa 念法
'nian'seng 念僧
'nian'seng'zhi'xin 念僧之心
'pi'ru'bai'qian'zhong'le 譬如百千种乐
'qi'chong'hang'shu 七重行树
'qi'chong'lan'dun 七重栏楯
'qi'chong'luo'wang 七重罗网
'qi'fo'guo'tu 其佛国土
'qi'fo'guo'tu'cheng'jiu'ru'shi'gong'de'zhuang'yan 其佛国土成就如是功德庄严
'qi'guo'zhong'sheng 其国众生
'qi'pu'ti'fen 七菩提分
'qi'ren'lin'ming'zhong'shi 其人临命终时
'qi'shu'shen'duo 其数甚多
'qi'tu'you'fo 其土有佛
'qi'tu'zhong'sheng 其土众生
'qi'yin'yan'chang'wu'gen 其音演畅五根
'qi'zhong'duo'you'yi'sheng'bu'chu 其中多有一生补处
'qian'tuo'he'ti'pu'sa 乾陀诃提菩萨
'qing'se'qing'guang 青色青光
'ri'sheng'fo 日生佛
'ru'deng'zhong'sheng 汝等众生
'ru'shi'deng'fa 如是等法
'ru'shi'deng'heng'he'sha'shu'zhu'fo 如是等恒河沙数诸佛
'ru'shi'deng'zhu'da'di'zi 如是等诸大弟子
'ru'shi'wo'wen 如是我闻
'ru'wo'jin'zhe 如我今者
'ru'wu'wei'ci'niao'shi'shi'zui'bao'suo'sheng 汝勿谓此鸟实是罪报所生
'ruo'er'ri 若二日
'ruo'liu'ri 若六日
'ruo'qi'ri 若七日
'ruo'san'ri 若三日
'ruo'si'ri 若四日
'ruo'wu'ri 若五日
'ruo'yi'ri 若一日
'ruo'you'shan'nan'zi 若有善男子
'ruo'you'zhong'sheng'wen'shi'shuo'zhe 若有众生闻是说者
'shan'nv'ren 善女人
'shang'fang'shi'jie 上方世界
'shang'wu'e'dao'zhi'ming 尚无恶道之名
'shang'you'lou'ge 上有楼阁
'she'li 舍利
'she'li'fu 舍利弗
'sheng'bi'guo'tu 生彼国土
'sheng'zhong'miao'hua 盛众妙华
'shi'gu'bi'guo'ming'wei'ji'le 是故彼国名为极乐
'shi'gu'hao'wei'a'mi'tuo 是故号为阿弥陀
'shi'ren'zhong'shi 是人终时
'shi'zhu'zhong'niao 是诸众鸟
'shuo'cheng'shi'yan 说诚实言
'si'bian'jie'dao 四边阶道
'su'wang'fo 宿王佛
'suo'yi'zhe'he 所以者何
'tong'shi'ju'zuo 同时俱作
'wang'ming'fo 网明佛
'wei'feng'chui'dong'zhu'bao'hang'shu 微风吹动诸宝行树
'wei'miao'xiang'jie 微妙香洁
'wen'shi'yin'yi 闻是音已
'wen'shi'yin'zhe 闻是音者
'wen'shu'shi'li'fa'wang'zi 文殊师利法王子
'wen'shuo'e'mi'tuo'fo 闻说阿弥陀佛
'wo'jian'shi'li 我见是利
'wu'li 五力
'wu'liang'jing'jin'fo 无量精进佛
'wu'liang'wu'bian'a'seng'chi'jie 无量无边阿僧祇劫
'wu'liang'xiang'fo 无量相佛
'wu'liang'zhu'tian'da'zhong'ju 无量诸天大众俱
'wu'liang'zhuang'fo 无量幢佛
'wu'suo'zhang'ai 无所障碍
'wu'you'zhong'ku 无有众苦
'xi'fang'shi'jie 西方世界
'xia'fang'shi'jie 下方世界
'xian'zai'qi'qian 现在其前
'xin'bu'dian'dao 心不颠倒
'xu'mi'deng'fo 须弥灯佛
'xu'mi'guang'fo 须弥光佛
'xu'mi'xiang'fo 须弥相佛
'yao'qin'san'zang'fa'shi'jiu'mo'luo'shen'yi 姚秦三藏法师鸠摩罗什译
'yi'fu'ru'shi 亦复如是
'yi'shi'fo'zai'she'wei'guo'chi'shu'gei'gu'du'yuan 一时佛在舍卫国祇树给孤独园
'yi'xin'bu'luan 一心不乱
'yi'yi'jin 亦以金
'yin 银
'ying'dang'fa'yuan 应当发愿
'ying'wu 鹦鹉
'you'fan'yin'fo 有梵音佛
'you'qi'bao'chi 有七宝池
'you'ri'yue'deng'fo 有日月灯佛
'you'she'li'fu 又舍利弗
'you'shi'jie'ming'yue'ji'le 有世界名曰极乐
'you'shi'zi'fo 有师子佛
'you'wu'liang'shou'fo 有无量寿佛
'you'yan'jian'fo 有焰肩佛
'yu'da'bi'qiu'seng'qian'er'bai'wu'shi'ren'ju 与大比丘僧千二百五十人俱
'yu'jin'shi'jie 于今十劫
'yu'ru'shi'deng'zhu'da'pu'sa 与如是等诸大菩萨
'yu'ru'yi'yun'he 于汝意云何
'yu'tian'man'tuo'luo'hua 雨天曼陀罗华
'yuan'sheng'bi'guo 愿生彼国
'zan'tan'e'mi'tuo'fo'bu'ke'si'yi'gong'de'zhi'li 赞叹阿弥陀佛不可思议功德之利
'zhang'lao'she'li'fu 长老舍利弗
'zhao'shi'fang'guo 照十方国
'zhi'chi'ming'hao 执持名号
'zhong'sheng'sheng'zhe 众生生者
'zhong'sheng'wen'zhe 众生闻者
'zhong'suo'zhi'shi 众所知识
'zhou'li'pan'tuo'ga 周利槃陀伽
'zhou'ye'liu'shi 昼夜六时
'zhu'pu'sa'zhong 诸菩萨众
'zi'ran'jie'sheng'nian'fo 自然皆生念佛
'zui'sheng'yin'fo 最胜音佛
