'a'lai'ye 阿赖耶
'dai'fang'yi 怠放逸
'dai'yu'xuan 待余宣
'dai'zhi'jing 带质境
'dai'zhi'jing'yi'fen'er'jie'zhang'zhi'zhen'yu'si 带质境亦分二皆仗质真与似
'dai'zhong'yuan 待众缘
'dang'ci'ji 当此机
'dao'yi'zuo 道已左
'de'yi'ji 得遗籍
'di'ba'shi 第八识
'di'ba'shi'a'lai'ye'neng'suo'cang'wo'ai'zhe 第八识阿赖耶能所藏我爱者
'di'liu'chuan 第六传
'di'liu'chuan'zhi'xuan'zang'shu'zhen'dan'yi'wu'shang 第六传至玄奘输震旦义无上
'di'qi'shi 第七识
'di'qi'shi'yi'yi'gen'ming'mo'na'wo'zhi'shen 第七识亦意根名末那我执深
'dian'ji'duo 典籍堕
'dou'shuai'gong 兜率宫
'du'si'xue 独斯学
'er'shi'lun 二十论
'er'shi'lun'po'xie'shan'jian'fa'zhuang'san'shi'xian 二十论破邪山建法幢三十闲
'er'wei'yi 二未译
'er'wen'sheng 耳闻声
'er'zhang'qi 二障起
'fa'yun'chang 法运昌
'fei'kong'you 非空有
'fei'shan'e 非善恶
'fei'she'shou 非舍受
'fen'hen'fu 忿恨覆
'fen'hen'fu'nao'ji'qian'kuang'chan'hai'yu'jiao'bing 忿恨覆恼嫉悭诳谄害与憍并
'fo'hua'yan 佛华严
'fo'pu'sa 佛菩萨
'fo'qin'zheng 佛亲证
'fo'xing'mi 佛性迷
'fu'kong'zhi 复空执
'fu'you'liang 复有量
'fu'you'liang'yue'sheng'yan'fo'qin'zheng'geng'yi'zun 复有量曰圣言佛亲证更宜遵
'ge'bie'qi 各别起
'ge'si'fen 各四分
'ge'zi'zai 各自在
'gen'ben'huo 根本惑
'gen'ben'huo'liu'ke'bian'tan'chen'chi'man'yi'jian 根本惑六可辨贪瞋痴慢疑见
'gen'chen'xie 根尘挟
'gen'neng'zhu 根能助
'geng'yi'zun 更宜遵
'geng'zun'te 更尊特
'gong'she'qi 共舍弃
'gong'shi'yi 共十一
'gong'xun'si 共寻伺
'gu'neng'qu 故能去
'gu'wei'ceng 古未曾
'guan'qi'yi 观其义
'guan'xing'shen 观行深
'guang'da'yi 广大义
'guang'yi'ta 广依他
'guang'ying'ying 光影映
'gui'yi'ben 归一本
'guo'cheng'jiu 果成就
'guo'wu'bian 果无边
'hai'jin'kai 海禁开
'hai'jin'kai'wan'guo'tong'ke'zhe'xue'xi'jian'dong 海禁开万国通科哲学西渐东
'hao'xin'wang 号心王
'hou'ru'li 后如理
'hou'ru'li'yi'yan'ji'zhuan'yi'yun'you'dao'yi 后如理义演集撰义蕴有道邑
'hu'fa'shi 护法师
'hu'fa'shi'shi'wei'shi'jie'xian'si'geng'zun'te 护法师释唯识戒贤嗣更尊特
'hun'bu'xin 昏不信
'huo'bi'yan 惑彼言
'huo'bu'le 或不了
'huo'bu'le'fu'kong'zhi'jiu'e'qu'shuo'wei'shi 或不了复空执救恶取说唯识
'huo'you'zhi 或有质
'ji'bu'hai 及不害
'ji'can'kui 继惭愧
'ji'dao'jia 极到家
'ji'fei'yuan 既非圆
'ji'fei'yuan'you'nan'xi'huo'bi'yan'gong'she'qi 既非圆又难习惑彼言共舍弃
'ji'hui'zhao 继惠沼
'ji'hui'zhao'ji'zhi'zhou'le'yi'deng'yan'mi'qiu 继惠沼及智周了义灯演秘求
'ji'san'luan 及散乱
'ji'san'luan'bu'zheng'zhi'ran'xin'bian'ba'da'sui 及散乱不正知染心遍八大随
'ji'shi'ti 既实体
'ji'suo'zhi 及所知
'ji'zhi'zhou 及智周
'ji'zhong'xiang 藉众相
'ji'zhong'xiang'guan'qi'yi'you'bi'du'liang'nai'sui 藉众相观其义由比度量乃遂
'jian'fa'zhuang 建法幢
'jian'qu'xiang 见取相
'jiang'zhong'yin 降中印
'jiang'zhong'yin'shuo'wu'lun'wu'zhu'chan'shi'qin'ying 降中印说五论无著阐世亲应
'jie'she'cang 皆摄藏
'jie'shen'mi 解深密
'jie'shen'mi'ru'leng'jia'bing'mi'yan'si'lai'hua 解深密入楞伽并密严四来华
'jie'shi'bian 皆识变
'jie'tang'shu 皆唐疏
'jie'tang'shu'yi'guan'cheng'xiang'zong'bei'gu'wei'ceng 皆唐疏一贯承相宗备古未曾
'jie'xian'si 戒贤嗣
'jie'zhang'zhi 皆仗质
'jing'gong'liu 经共六
'jing'gong'liu'lun'shi'yi'zong'suo'yi'xian'zhen'shi 经共六论十一宗所依显真实
'jing'yan'jiu 境研究
'jiu'e'qu 救恶取
'ju'bu'cha 俱不差
'ju'wu'zhang 俱无障
'kan'fen'bie 堪分别
'ke'zhe'xue 科哲学
'kong'dui'zhi 空对治
'kuang'chan'hai 诳谄害
'le'yi'deng 了义灯
'li'ming'zhong 离名种
'li'ming'zhong'xian'qian'qu'shi'xian'liang'wu'ji'du 离名种现前取是现量无计度
'li'san'wu 立三无
'liang'nai'sui 量乃遂
'liang'tou'sen 两头森
'liang'wei'fei 量为非
'liu'ke'bian 六可辨
'lue'ming'shu 略名数
'lun'qian'bu 论千部
'lun'shi'yi 论十一
'man'yi'jian 慢疑见
'mi'yi'shuo 密意说
'ming'cang'shi 名藏识
'ming'du'ying 名独影
'ming'jian'fen 名见分
'ming'mo'na 名末那
'ming'xian'xing 名现行
'ming'yin'yuan 名因缘
'ming'yuan'cheng 名圆成
'ming'zi'zheng 名自证
'nan'xiong'di 难兄弟
'nao'ji'qian 恼嫉悭
'neng'fen'bie 能分别
'neng'fen'bie'ming'jian'fen'ru'ming'jing'neng'jian'xing 能分别名见分如明镜能鉴形
'neng'jian'xing 能鉴形
'neng'li'pi 能离僻
'neng'suo'cang 能所藏
'neng'yuan'yi 能缘依
'neng'zhu'zai 能主宰
'nian'ding'hui 念定慧
'nian'sheng'mie 念生灭
'pan'tong'bie 判通别
'pi'da'mo 毗达磨
'ping'deng'yuan 平等缘
'po'wo'fa 破我法
'po'xie'shan 破邪山
'qi'nai'he 其奈何
'qi'zhuan'shi 七转识
'qian'wu'shi 前五识
'qian'wu'shi'chu'cha'na'yuan'xing'jing'ju'bu'cha 前五识初刹那缘性境俱不差
'qin'fen'xi 勤分析
'qin'fen'xi'zhi'ji'wei'du'si'xue'dang'ci'ji 勤分析至极微独斯学当此机
'qin'qing'an 勤轻安
'qing'fa'xiang 轻法相
'qing'mi'le 请弥勒
'qu'ji'zhi 去计执
'ran'xin'bian 染心遍
'ren'bu'zhi 人不知
'ren'bu'zhi'zhi'shi'wo'yu'shi'fa'dao'yi'zuo 人不知执实我与实法道已左
'ren'zhi'chu 人之初
'ren'zhi'chu'xing'wu'ji'fei'shan'e'ming'cang'shi 人之初性无记非善恶名藏识
'reng'fei'shi 仍非实
'ru'huan'xi 如幻戏
'ru'huan'xian 如幻现
'ru'lai'xian 如来现
'ru'lai'xian'pi'da'mo'er'wei'yi'qi'nai'he 如来现毗达磨二未译其奈何
'ru'leng'jia 入楞伽
'ru'ming'jing 如明镜
'ruo'jing'ti 若镜体
'san'gen'ju 三根聚
'san'gui'guan 散归观
'san'shi'xian 三十闲
'san'yu'si 三与四
'san'yu'si'you'hu'zheng'gu'neng'qu'wu'qiong'bing 三与四又互证故能去无穷病
'shan'e'xiang 善恶详
'shan'fen'pei 善分配
'shan'he'da 山河大
'shan'he'da'wei'chen'xi'jie'shi'bian'ru'huan'xi 山河大微尘细皆识变如幻戏
'shan'ran'jian 善染兼
'shan'xin'suo 善心所
'shan'xin'suo'gong'shi'yi'xin'wei'shou'ji'can'kui 善心所共十一信为首继惭愧
'she'lun'gao 摄论高
'she'shen'tong 摄神通
'she'wei'meng 舌味萌
'she'xin'suo 摄心所
'shen'gan'chu 身感触
'shen'gan'chu'yi'zhi'fa'ci'liu'shi'gen'chen'xie 身感触意知法此六识根尘挟
'sheng'fan'nao 生烦恼
'sheng'fan'nao'ji'suo'zhi'er'zhang'qi'fo'xing'mi 生烦恼及所知二障起佛性迷
'sheng'jing'li 生镜裏
'sheng'wu'xing 生无性
'sheng'yi'wu 胜义无
'shi'ba'jie 十八界
'shi'diao'ju 始掉举
'shi'diao'ju'hun'bu'xin'dai'fang'yi'shi'nian'qin 始掉举昏不信怠放逸失念侵
'shi'nian'qin 失念侵
'shi'qin'ying 世亲应
'shi'suo'yuan 识所缘
'shi'suo'yuan'you'san'jing'bu'zhang'zhi'ming'du'ying 识所缘有三境不仗质名独影
'shi'ti'yi 释体义
'shi'wei'shi 释唯识
'shi'xian'liang 是现量
'shi'zhong'zi 识种子
'shi'zhong'zi'bian'fa'jie'dai'zhong'yuan'xian'xing'kuai 识种子遍法界待众缘现行快
'shou'bai'fa 首百法
'shou'bai'fa'lue'ming'shu'shi'ti'yi'wu'yun'cu 首百法略名数释体义五蕴麤
'shou'xiang'si 受想思
'shu'zhen'dan 输震旦
'shun'huo'wei 顺或违
'shuo'song'ba'shi'wu 说颂八十五
'shuo'wei'shi 说唯识
'shuo'wu'lun 说五论
'shuo'zai'xian 说在先
'si'bu'ding 四不定
'si'bu'ding'yue'hui'mian'gong'xun'si'shan'ran'jian 四不定曰悔眠共寻伺善染兼
'si'dai'zhi 似带质
'si'dai'zhi'xin'yuan'se'xiang'cong'jian'yi'tou'de 似带质心缘色相从见一头得
'si'lai'hua 四来华
'si'ren'ying 似人影
'song'yuan'lai 宋元来
'sui'shun'nao 随顺恼
'sui'shun'nao'you'er'shi'xiao'zhong'da'kan'fen'bie 随顺恼有二十小中大堪分别
'sui'yi'bian 随意变
'suo'fen'bie 所分别
'suo'fen'bie'xiang'fen'qi'si'ren'ying'sheng'jing'li 所分别相分起似人影生镜裏
'suo'yuan'yuan 所缘缘
'suo'zhi'wang 所执妄
'tai'si'jiao 台四教
'tai'si'jiao'pan'tong'bie'xian'shou'wu'da'shi'lie 台四教判通别贤首五大始列
'tan'chen'chi 贪瞋痴
'tan'zhi'zhi 谈直指
'tang'yi'hou 唐以后
'tang'yi'hou'chan'wei'shang'tan'zhi'zhi'qing'fa'xiang 唐以后禅为尚谈直指轻法相
'wan'fa'ben 万法本
'wan'guo'tong 万国通
'wang'xiang'ying 王相应
'wang'xiang'ying'you'xin'suo'wu'shi'yi'zhong'geng'huo 王相应有心所五十一种更夥
'wei'chen'xi 微尘细
'wei'shi'xue 唯识学
'wei'shi'xue'guang'yi'ta'fei'kong'you'ji'dao'jia 唯识学广依他非空有极到家
'wei'shi'yan 唯识言
'wei'shi'yan'she'xin'suo'ge'si'fen'xian'liang'guo 唯识言摄心所各四分显量果
'wo'ai'zhe 我爱者
'wo'zhi'shen 我执深
'wu'can'kui 无惭愧
'wu'can'kui'zi'ta'bian'zhong'sui'kuan'bian'bu'shan 无惭愧自他辨中随宽遍不善
'wu'chen'you 无瞋有
'wu'ji'du 无计度
'wu'jian'ge 无间隔
'wu'qiong'bing 无穷病
'wu'shi'yi 五十一
'wu'tan'deng 无贪等
'wu'tan'deng'san'gen'ju'qin'qing'an'bu'fang'yi 无贪等三根聚勤轻安不放逸
'wu'yun'cu 五蕴麤
'wu'zhu'chan 无著阐
'wu'zi'ti 无自体
'xi'jian'dong 西渐东
'xi'wu'zhu 昔无著
'xi'wu'zhu'she'shen'tong'qing'mi'le'dou'shuai'gong 昔无著摄神通请弥勒兜率宫
'xian'bi'miu 现比谬
'xian'bi'miu'liang'wei'fei'ci'san'liang'neng'yuan'yi 现比谬量为非此三量能缘依
'xian'liang'guo 显量果
'xian'qian'qu 现前取
'xian'shou'wu 贤首五
'xian'xing'kuai 现行快
'xian'yang'lun 显扬论
'xian'yang'lun'zhong'yi'bao'guang'da'yi'she'lun'gao 显扬论众义包广大义摄论高
'xian'zhen'shi 显真实
'xiang'cong'jian 相从见
'xiang'fen'qi 相分起
'xiang'jian'yi 相见依
'xiang'jian'yi'ming'zi'zheng'ruo'jing'ti'guang'ying'ying 相见依名自证若镜体光影映
'xiang'wu'xing 相无性
'xiang'zong'bei 相宗备
'xiao'ru'da 小入大
'xiao'ru'da'lun'qian'bu'nan'xiong'di'yao'qian'gu 小入大论千部难兄弟耀千古
'xiao'sui'shi 小随十
'xiao'zhong'da 小中大
'xin'wei'shou 信为首
'xin'yuan'se 心缘色
'xin'yuan'xin 心缘心
'xing'ji'guang 行既广
'xing'ji'guang'guo'wu'bian'ci'zan'zhi'dai'yu'xuan 行既广果无边此暂止待余宣
'xing'jing'sheng 性境生
'xing'jing'sheng'cong'shi'zhong'ji'shi'ti'yi'shi'yong 性境生从实种既实体亦实用
'xing'wu'ji 性无记
'xing'yi'wei 性亦伪
'xing'yun'she 行蕴舍
'xing'yun'she'fei'she'shou'ji'bu'hai'wu'chen'you 行蕴舍非舍受及不害无瞋有
'xun'qing'mo 逊清末
'xun'qing'mo'fa'yun'chang'de'yi'ji'zi'fu'sang 逊清末法运昌得遗籍自扶桑
'yan'jian'se 眼见色
'yan'jian'se'er'wen'sheng'bi'xiu'xiang'she'wei'meng 眼见色耳闻声鼻嗅香舌味萌
'yan'mi'qiu 演秘求
'yan'ti'yi 严体义
'yan'wu'ren 研无人
'yan'wu'ren'dian'ji'duo'song'yuan'lai'cheng'jue'xue 研无人典籍堕宋元来成绝学
'yao'qian'gu 耀千古
'yi'fen'er 亦分二
'yi'guan'cheng 一贯承
'yi'qie'zhong 一切种
'yi'qie'zhong'jie'she'cang'wan'fa'ben'shan'e'xiang 一切种皆摄藏万法本善恶详
'yi'san'xing 依三性
'yi'san'xing'li'san'wu'xiang'wu'xing'bian'ji'xu 依三性立三无相无性遍计虚
'yi'shi'yong 亦实用
'yi'ta'qi 依他起
'yi'tou'de 一头得
'yi'wu'lei 亦五类
'yi'wu'shang 义无上
'yi'yan'ji 义演集
'yi'yi'gen 亦意根
'yi'yi'san'zi'ju 已依三字句
'yi'zhi'fa 意知法
'yi'zhi'sheng 依止生
'yin'zhi'you 因执有
'ying'zi'gu 影自孤
'you'bi'du 由比度
'you'dao'yi 有道邑
'you'er'shi 有二十
'you'hu'zheng 又互证
'you'kui'ji 有窥基
'you'nan'xi 又难习
'you'san'jing 有三境
'you'shi'zhi 有十支
'you'wu'zhi 有五支
'you'xin'suo 有心所
'you'yi'ta 由依他
'you'yi'ta'sheng'wu'xing'sheng'yi'wu'yuan'cheng'ying 由依他生无性胜义无圆成应
'you'za'ji 有杂集
'yu'jia'bie 瑜伽别
'yu'jia'shi 瑜伽师
'yu'jiao'bing 与憍并
'yu'jing'bei 喻镜背
'yu'sheng'jie 欲胜解
'yu'shi'fa 与实法
'yuan'chan'wei'shi'yi 愿阐唯识义
'yuan'cheng'ying 圆成应
'yuan'sheng'fa 缘生法
'yuan'sheng'fa'yi'ta'qi'ru'huan'xian'wu'zi'ti 缘生法依他起如幻现无自体
'yuan'tu'jiao 缘兔角
'yuan'tu'jiao'ben'lai'wu'sui'yi'bian'ying'zi'gu 缘兔角本来无随意变影自孤
'yuan'wu'wei 缘无为
'yuan'wu'wei'huo'you'zhi'bi'bu'sheng'reng'fei'shi 缘无为或有质彼不生仍非实
'yuan'xing'jing 缘性境
'yuan'zeng'shang 缘增上
'yue'hui'mian 曰悔眠
'yue'sheng'yan 曰圣言
'zhen'dai'zhi 真带质
'zhen'dai'zhi'xin'yuan'xin'zhong'jian'xiang'liang'tou'sen 真带质心缘心中间相两头森
'zhen'jue'zhe 真觉者
'zhen'jue'zhe'fo'pu'sa'shuo'wei'shi'po'wo'fa 真觉者佛菩萨说唯识破我法
'zhen'yu'si 真与似
'zheng'zi'zheng 证自证
'zheng'zi'zheng'yu'jing'bei'zi'zheng'yi'shan'fen'pei 证自证喻镜背自证依善分配
'zhi'ji'wei 至极微
'zhi'shi'wo 执实我
'zhi'shi'you 执实有
'zhi'shi'you'cheng'bian'ji'suo'zhi'wang'xing'yi'wei 执实有成遍计所执妄性亦伪
'zhi'xuan'zang 至玄奘
'zhong'fa'dong 种发动
'zhong'fa'dong'ming'xian'xing'qi'zhuan'shi'yi'zhi'sheng 种发动名现行七转识依止生
'zhong'ge'shu 种各殊
'zhong'geng'huo 种更夥
'zhong'jian'xiang 中间相
'zhong'sheng'xian 种生现
'zhong'sheng'xian'ming'yin'yuan'jian'qu'xiang'suo'yuan'yuan 种生现名因缘见取相所缘缘
'zhong'sui'kuan 中随宽
'zhong'yi'bao 众义包
'zhuan'yi'yun 撰义蕴
'zhuang'yan'lun 庄严论
'zhuang'yan'lun'yan'ti'yi'san'gui'guan'yu'jia'bie 庄严论严体义散归观瑜伽别
'zi'fu'sang 自扶桑
'zi'ta'bian 自他辨
'zi'xing'shi 自性实
'zi'zheng'yi 自证依
'zong'suo'yi 宗所依
'zui'sheng'fa 最胜法
'zui'sheng'fa'shuo'zai'xian'da'fang'guang'fo'hua'yan 最胜法说在先大方广佛华严
