'an'ding'qing'jing 安定清静
'bian'shen'ji'rou'suan'tong 遍身肌肉酸痛
'bian'sheng'nei'feng 变生内风
'bian'sheng'ta'bing 变生它病
'bian'tang 便塘
'bian'tang'xie'xie 便塘泄泻
'bian'xie 便血
'bian'xie'beng'lou'zi'dian 便血崩漏紫癜
'bian'xie'huo'niao'xie 便血或尿血
'bian'yi'pin'pin 便意频频
'bian'zheng 辨证
'bian'zheng'de'tong'yi 辩证的统一
'bian'zheng'di'kan'dai'bing'he'zheng'de'guan'xi 辩证地看待病和证的关系
'bian'zheng'guan 辩证观
'bian'zheng'lun'zhi 辨证论治
'biao'ben 标本
'biao'ben'bing'chuan'lun 标本病传论
'biao'ben'bing'zhong 标本并重
'biao'ben'huan'ji 标本缓急
'biao'ben'jian'gu 标本兼顾
'biao'ben'jian'zhi 标本兼治
'biao'ben'ju'ji 标本俱急
'biao'ben'tong'zhi 标本同治
'biao'ben'zhu'ci'de'bu'tong 标本主次的不同
'biao'bing'ben'bing'bing'zhong 标病本病并重
'biao'bing'shen'ji 标病甚急
'biao'li'chu'ru 表里出入
'biao'li'nei'wai 表里内外
'biao'qing'dan'mo 表情淡漠
'biao'xie'sheng'zhe 表邪盛者
'biao'zheng 表证
'biao'zheng'wei'jie 表证未解
'bie'luo 别络
'bin'hai'bang'shui 滨海傍水
'bing'an'cong'lai 病安从来
'bing'bian'de'bu'wei 病变的部位
'bing'bian'de'fa'zhan'he'yu'hou 病变的发展和预后
'bing'bian'gui'lv 病变规律
'bing'bian'te'dian 病变特点
'bing'duo'yong'yang 病多痈疡
'bing'ji'fen'xi 病机分析
'bing'li 病理
'bing'li'chan'wu 病理产物
'bing'li'ji'zhi 病理机制
'bing'li'xing 病理性
'bing'li'xing'dai'xie'chan'wu 病理性代谢产物
'bing'li'xing'fan'ying 病理性反应
'bing'qi 病气
'bing'qi'bing'xie 病气病邪
'bing'qi'shuai 病气衰
'bing'qi'yu'nei 病起于内
'bing'qi'zhi'bing 病气致病
'bing'qing'de'jin'tui 病情的进退
'bing'qing'huan'he 病情缓和
'bing'qing'jia'zhong 病情加重
'bing'qing'jiao'zhong 病情较重
'bing'shi'jin'yi'bu'fa'zhan 病势进一步发展
'bing'shou'yu'fu'mu'de'jing'qi 禀受于父母的精气
'bing'shu'zai'biao 病属在表
'bing'wei'bu'tong 病位不同
'bing'wu'shui'shi 并无水湿
'bing'xie'de'yu'jie 病邪的郁结
'bing'xie'nan'yu'qin'ren 病邪难于侵人
'bing'xie'nan'yu'qin'ru 病邪难于侵入
'bing'xie'qin'fan'ren'ti 病邪侵犯人体
'bing'xie'suo'zhong'bu'wei 病邪所中部位
'bing'xie'xing'zhi'de'bu'tong 病邪性质的不同
'bing'yin'bing'ji'zheng'hou'xue 病因病机证候学
'bing'yin'shi'ben 病因是本
'bing'yin'xue 病因学
'bing'yin'xue'fang 病因学方
'bing'yin'xue'shuo 病因学说
'bing'yin'yu'fa'bing 病因与发病
'bing'you'xie'sheng 病由邪生
'bing'yuan 病原
'bing'zai'shang'zhe'xia'qu'zhi 病在上者下取之
'bing'zai'xia'zhe'gao'qu'zhi 病在下者高取之
'bing'zhen'dui'gen'ben'yuan'yin'jin'xing'zhi'liao 并针对根本原因进行治疗
'bing'zheng'ge'yi 病证各异
'bing'zhi'yi'tong 病治异同
'bing'zhuang'xiang'si 病状相似
'bing'zou'yu'shang 并走于上
'bo'jue 薄厥
'bo'yu'jin 搏于筋
'bo'yu'mai'zhong 搏于脉中
'bo'yu'pi'fu'zhi'jian 搏于皮肤之间
'bo'yu'rou 搏于肉
'bu'bi'shao'nian'qi'xue'sheng'ji'qi'jie 不比少年气血生机其捷
'bu'bu'shen'ren 步步深人
'bu'can'jia'lao'dong 不参加劳动
'bu'de'xiang'rong'ye 不得相荣也
'bu'de'xiang'shi'ye 不得相失也
'bu'de'xu 不得虚
'bu'du'shang'han'fa're'you'tai'ke'yan 不独伤寒发热有胎可验
'bu'duan'de'ping'heng 不断地平衡
'bu'duan'de'xiao'zhang 不断地消长
'bu'duan'de'yun'dong'bian'hua 不断的运动变化
'bu'duan'pai'xie 不断排泄
'bu'duan'sheng'cheng 不断生成
'bu'duan'shu'bu 不断输布
'bu'fen'jie'duan 不分阶段
'bu'fen'zhu'ci 不分主次
'bu'huo'sheng'tu 补火生土
'bu'jian'qi'shi 不见其事
'bu'ju'an 不拒按
'bu'ke'fen'li 不可分离
'bu'ke'shi'zhi 不可食之
'bu'li'yin'su 不利因素
'bu'li'yin'yang 不离阴阳
'bu'liu'chang 不流畅
'bu'neng'gu'dong'er'yang'wei 不能鼓动而阳萎
'bu'neng'hua'wu 不能化物
'bu'neng'ping'wo 不能平卧
'bu'neng'shang'rong'yu'mian 不能上荣于面
'bu'neng'shang'rong'yu'mu 不能上荣于目
'bu'neng'sheng'ju 不能升举
'bu'neng'sheng'qing 不能升清
'bu'neng'tui'dong'xue'ye'de'zheng'chang'yun'xing 不能推动血液的正常运行
'bu'neng'wai'da'yu'zhi'ti 不能外达于肢体
'bu'neng'yun'hua'jin'ye 不能运化津液
'bu'neng'zhi'yue'yang'qi 不能制约阳气
'bu'ni'ze'shang'xia'bu'tong 不逆则上下不通
'bu'pian'jiu'bi 补偏救弊
'bu'qi 补气
'bu'qi'pian'shuai 补其偏衰
'bu'qi'she'xue 补气摄血
'bu'qi'xing 补气行
'bu'ren 不仁
'bu'sheng'bu'hua 不生不化
'bu'sheng'du'zhe'yi'bo'yao 不胜毒者以薄药
'bu'sheng'wen'yi'bing 不生瘟疫病
'bu'shi'jue'dui'de 不是绝对的
'bu'shi'yu'shen 不时御神
'bu'si'yin'shi 不思饮食
'bu'tan'yu'wang'xiang 不贪欲妄想
'bu'tong'de'bing'ji 不同的病机
'bu'tong'de'shi'jian'di'dian 不同的时间地点
'bu'tong'ze'mian'hei'pi'mao'jiao'er'zhong'yi 不通则面黑皮毛焦而终矣
'bu'tu'pai 补土派
'bu'wang'zuo'lao 不妄作劳
'bu'wei'de'qian'shen 部位的浅深
'bu'xiang'ren'ye 不相人也
'bu'xiang'rong'zhe 不相荣者
'bu'xiao'xiang'chuan 不晓相传
'bu'xing'ren'shi 不省人事
'bu'xu'xie'shi 补虚泻实
'bu'xue 补血
'bu'xue'yang'xue 补血养血
'bu'yang 补阳
'bu'yang'shi'shi'dang'pei'yong'bu'yin'yao 补阳时适当配用补阴药
'bu'yang'yi'zhi'yin 补阳以制阴
'bu'yi'pi'wei 补益脾胃
'bu'yi'qu'chong 不宜驱虫
'bu'yi'wan'hu 不亦晚乎
'bu'yin'shi'shi'dang'pei'yong'bu'yang'yao 补阴时适当配用补阳药
'bu'yue'san'tiao 不越三条
'bu'yue'wei'yi'niao 不约为遗尿
'bu'yun'dong 不运动
'bu'zhi'chi'man 不知持满
'bu'zhi'yi'luan'zhi'wei'luan 不治已乱治未乱
'bu'zu'bu'zhi 不足补之
'bu'zu'ze'kong 不足则恐
'cai'qu'bu'yi'yao'zhi'liao 采取补益药治疗
'cai'qu'yi'ding'de'cuo'shi 采取一定的措施
'cai'yong'fang'yao'de'xing'zhi'shun'cong'ji'bing'de'jia'xiang 采用方药的性质顺从疾病的假象
'cai'yong'yang'xue 采用养血
'cang'bai'wu'hua 苍白无华
'cang'jing 藏精
'cang'jing'er'qi'ji'ye 藏精而起亟也
'cang'jing'qi'er'bu'xie 藏精气而不泻
'cang'zhu 苍术
'cao'lao'guo'du 操劳过度
'ce'zhi'nei'zang'de'gong'neng'zhuang'tai 测知内脏的功能状态
'ce'zhong'yu'fei'qi'he'fei'yin'shi'tiao 侧重于肺气和肺阴失调
'cha'fu'su'xu 察赋素虚
'cha'she 察舌
'cha'zhu'zang'fu'tu 查诸脏腑图
'chan'hou'da'chu'xue 产后大出血
'chan'sheng'ji'bing 产生疾病
'chan'yu 产育
'chan'yu'shi'chang 产育失常
'chang'de'chuan'hua'zao'po 肠的传化糟粕
'chang'ming'li'li'you'sheng 肠鸣沥沥有声
'chang'pi'wei'zhi 肠僻为痔
'chang'qi'chi'jiu'de'qing'zhi'ci'ji 长期持久的情志刺激
'chang'qi'ying'yang'que'fa'sheng'xue'bu'zu 长期营养缺乏生血不足
'chang'wei'nai'shang 肠胃乃伤
'chang'xia'hua 长夏化
'chang'xia'shan'bing'dong'xie'han'zhong 长夏善病洞泄寒中
'chang'xia'shi 长夏湿
'chang'xia'shu'tu 长夏属土
'chang'xu'qing'fei 常须清肺
'chang'ye'ku'he 肠液枯涸
'chang'zao 肠燥
'chang'ze'sheng'xie 长则胜邪
'chao'bai'mai'yi'zhu'xin'zhi'xing'xue 朝百脉以助心之行血
'chao'guo'le'ren'ti'tiao'jie'ji'neng'de'yi'ding'xian'du 超过了人体调节机能的一定限度
'chao're'dao'han 潮热盗汗
'chao'yuan'fang 巢元方
'chao'ze'ren'qi'shi'sheng 朝则人气始生
'chao'ze'wei'chun 朝则为春
'chen'wu'ze 陈无择
'chen'xian 沉弦
'cheng'bai'yi'fu'sheng'hu'dong 成败倚伏生乎动
'cheng'che'qing'leng 澄澈清冷
'cheng'du'qing'zhong 程度轻重
'cheng'nai'zhi 承乃制
'chi'dai 痴呆
'chi'jiu'huo'fan'fu 持久或反复
'chi'se 迟涩
'chi'tong'yan'zhong 齿痛眼肿
'chi'wei'gu'zhi'yu 齿为骨之余
'chi'xu'sun'hao 持续损耗
'chi'zhong'nu'shang 持重努伤
'chong'ji 虫积
'chong'mai 冲脉
'chong'mai'he'ren'mai'jun'qi'yu'bao'zhong 冲脉和任脉均起于胞中
'chong'ren'bu'gu 冲任不固
'chong'ren'er'mai'de'qi'xue'chong'ying 冲任二脉的气血充盈
'chong'ren'kui'sun'de'bi'jing 冲任亏损的闭经
'chong'ren'qi'xue'bu'zu 冲任气血不足
'chong'shou'shang 虫兽伤
'chong'shou'suo'shang 虫兽所伤
'chong'wei'xue'hai 冲为血海
'chong'yang'bi'yin 重阳必阴
'chong'yang'gu'sui 充养骨髓
'chou'chu 抽搐
'chou'chu'jing'jue 抽搐痉厥
'chou'wo 踌卧
'chou'yu 臭鱼
'chu'ben'zang'bing'bian'wai 除本脏病变外
'chu'fang 处方
'chu'mao'feng'xue'han'du'zhi'qi 触冒风雪寒毒之气
'chu'mao'hui'zhuo'zhi'qi 触冒秽浊之气
'chu'qi'ma'zhen'wei'tou 初起麻疹未透
'chu'ru'fei'ze'shen'ji'hua'mie 出入废则神机化灭
'chu'wu 处物
'chu'xian'si'zhi'jue'leng 出现四肢厥冷
'chu'xie 出血
'chu'xie'guo'duo 出血过多
'chu'yu'ren 出与人
'chu'ze'si'yi 出则死矣
'chu'zhi'zhe'ji'bing 触之者即病
'chuan'cu 喘促
'chuan'cu'bu'neng'ping'wo 喘促不能平卧
'chuan'dao'zhi'guan 传导之官
'chuan'hua'wu'er'bu'cang 传化物而不藏
'chuan'hua'zao'po 传化糟粕
'chuan'ke'fan'zao 喘渴烦躁
'chuan'ke'ka'tan 喘咳咯痰
'chuan'ran'tu'jing 传染途径
'chuan'ran'xing'qiang 传染性强
'chuang'mian'guo'da 创面过大
'chuang'mian'ru'pi'ge'yang 创面如皮革样
'chuang'yang'ju'bu'hong'zhong'gao'tu'zhuo're 疮疡局部红肿高突灼热
'chuang'yu 疮瘀
'chun'ji'feng'wen 春季风温
'chun'jia'qing'zi 唇甲青紫
'chun'ri'fu 春日浮
'chun'shan'bing'qi'chi 春善病欺翅
'chun'she 唇舌
'chun'she'gan'zao'er'bu'yin'yin 唇舌干燥而不引饮
'chun'she'zhao'jia'se'dan'wu'hua 唇舌爪甲色淡无华
'chun'she'zi'an 唇舌紫暗
'chun'sheng 春生
'chun'shu'mu 春属木
'chun'wen 春温
'chun'xia'ji'jie 春夏季节
'chun'xia'mai'duo'fu'da 春夏脉多浮大
'chun'xia'yang'qi'fa'xie 春夏阳气发泄
'chun'xia'yang'qi'shang'sheng 春夏阳气上升
'ci'bi'yin'xu'xie'zhi'feng 此必因虚邪之风
'ci'fa'lun 刺法论
'ci'jie'zhen'xie 刺节真邪
'ci'qi'zhi'lai 此气之来
'ci'shi'er'jing'zhi'suo'bai'ye 此十二经之所败也
'ci'tong 刺痛
'ci'you'yin'yang'xiang'ji'zhi'miao'yong'ye 此又阴阳相济之妙用也
'cong'bing'yin'yu'zheng'zhuang'lai'shuo 从病因与症状来说
'cong'dong'zhi'chun'ji'xia 从冬至春及夏
'cong'dong'zhi'dao'li'chun 从冬至到立春
'cong'han'hua 从寒化
'cong'han'leng'zhu'jian'zhuan'nuan'bian're 从寒冷逐渐转暖变热
'cong'ji'biao'er'ru 从肌表而入
'cong'ji'bing'xian'hou'lai'shuo 从疾病先后来说
'cong'kou'bi'er'ru 从口鼻而入
'cong'kou'bi'qin'ren'ren'ti 从口鼻侵人人体
'cong'pi'fu'ji'kou'bi'er'ru 从皮肤及口鼻而入
'cong're'hua'er'niang'cheng'shi're 从热化而酿成湿热
'cong'xia'zhi'dao'li'qiu 从夏至到立秋
'cong'yang'yin'yin 从阳引阴
'cong'yin'yin'yang 从阴引阳
'cong'zhe'fan'zhi 从者反治
'cong'zhi 从治
'cou'li'bi'se 腠理闭塞
'cou'li'bi'se'er'wu'han 腠理闭塞而无汗
'cun'bai'chong 寸白虫
'cun'yin 存阴
'da'bian'gan'jie 大便干结
'da'bian'hua'tuo 大便滑脱
'da'bian'mi'jie 大便秘结
'da'bian'nan 大便难
'da'bian'se'hei'ru'qi 大便色黑如漆
'da'bian'shi'jin 大便失禁
'da'bian'xie'xie 大便泄泻
'da'bian'zao'jie 大便燥结
'da'chang 大肠
'da'chang'de'chuan'hua'shi'si 大肠的传化失司
'da'chang'de'gong'neng'shi'tiao 大肠的功能失调
'da'chang're'jie 大肠热结
'da'chang'zhe 大肠者
'da'chu'xue 大出血
'da'chu'xue'bing'ren 大出血病人
'da'gu'ji'fei'zhe'jie'sheng'du 大骨及肥者皆胜毒
'da'gu'qi'lao 大骨气劳
'da'han 大汗
'da'han'chu 大汗出
'da'han'lin'li 大汗淋漓
'da'han'lin'li'er'wang'yang'xu'tuo 大汗淋漓而亡阳虚脱
'da'han'shang'jin'tuo'ye 大汗伤津脱液
'da'liang'chu'xie 大量出血
'da'liang'jian'zhuo'yin'ye 大量煎灼阴液
'da'nu'ze'xing'qi'jue 大怒则形气绝
'da'qing'ye 大青叶
'da're'bu'zhi 大热不止
'da're'zhi'zheng 大热之证
'da'shi'you'ying'zhuang 大实有赢状
'da'tou'wen 大头瘟
'da'tu 大吐
'da'xia 大下
'da'xiao'bian'bu'li 大小便不利
'da'xiao'bu'deng'de'shui'ge 大小不等的水疙
'da'xie 大泻
'da'zhe'da'yi 大者大异
'dai'mai 带脉
'dai'xie'huo'dong'zhang'ai'huo'jian'tui 代谢活动障碍或减退
'dan'de'gong'neng'shi'tiao 胆的功能失调
'dan'de'xie'qi'yi'chu 但得邪气一除
'dan'jing'yu're'xie'tan 胆经郁热挟痰
'dan're'ye'xie 胆热液泄
'dan'yi'xin'zhi'gan 但一心治肝
'dan'yu 澹语
'dan'yu'fa'kuang 澹语发狂
'dan'zhe'zhong'jing'zhi'fu 胆者中精之府
'dan'zhi 胆汁
'dan'zhi'de'fen'mi'he'pai'xie 胆汁的分泌和排泄
'dan'zhi'de'fen'mi'pai'xie'zhang'ai 胆汁的分泌排泄障碍
'dan'zhi'wai'yi'yu'ji'fu 胆汁外溢于肌肤
'dang'di'huan'jing 当地环境
'dang'xian'shi'pi 当先实脾
'dang'xin'bing'jiao'ji'zhi'shi 当新病较急之时
'dao'han 盗汗
'dao'jing 倒经
'dao'zhi'hun'jue'huo'ka'xie 导致昏厥或咯血
'de'bing'li'zhuang'tai 的病理状态
'de'gong'neng'shi'tiao 的功能失调
'de'han'wen'er'bu'jian 得寒温而不减
'de'han'ze'ning 得寒则凝
'de'zhi'feng'yu'han'shu 得之风雨寒暑
'de'zhi'yin'shi'ju'chu 得之饮食居处
'deng'duo'zhong'yuan'yin'suo'yin'qi 等多种原因所引起
'deng'zheng 等症
'di'kang'li'jiang'di 抵抗力降低
'di'li'huan'jing 地理环境
'di'qi'shang'wei'yun 地气上为云
'di'qi'zhong'zhuo'gu'shu'yin 地气重浊故属阴
'di'shi'di'wa 地势低洼
'di'shi'gao'di 地势高低
'di'shi'shi'ran'ye 地势使然也
'di'wei'yin 地为阴
'di'you'gao'xia 地有高下
'di'zhi'qi'ye 地之气也
'dian'ding 巅顶
'dian'ding'ju'tong 巅顶剧痛
'dian'ding'tong 巅顶痛
'die'da'sun'shang 跌打损伤
'ding'qi'xue'qi 定其血气
'ding'wu'wan'qi 定无完气
'dong'cang 冬藏
'dong'er'bu'yi'ze'bian'zuo'yi 动而不已则变作矣
'dong'feng 动风
'dong'han 冬寒
'dong'ji'feng'han'wai'gan'yong'yao'yi 冬季风寒外感用药亦
'dong'ji'zhe'zhen'zhi'yi'jing 动极者镇之以静
'dong'nan'di'qu 东南地区
'dong'nan'fang'di'shi'di 东南方地势低
'dong'nan'fang'tian'qi'wen're 东南方天气温热
'dong'nan'wen're'di'qu 东南温热地区
'dong'nan'zhi'qi 东南之气
'dong'ri'zai'gu 冬日在骨
'dong'shan'bing'bi'jue 冬善病痹厥
'dong'shang 冻伤
'dong'shang'he 冻伤和
'dong'shu'shui 冬属水
'dong'tai 动态
'dong'tai'ping'heng 动态平衡
'dong'tai'ping'heng'guan 动态平衡观
'dong'xue 动血
'dong'yao 动摇
'dong'yu'jing 动与静
'dong'yu'jing'de'xiang'hu'zhi'yue 动与静的相互制约
'dong'ze'han'chu 动则汗出
'dong'ze'wen'mi 冬则温密
'dong'ze'xin'ji 动则心悸
'dong'zhe'qi'ji 动辄气急
'dong'zhe'wei'yang 动者为阳
'dong'zhi'yi'yang'sheng 冬至一阳生
'dong'zhi'ze'xian'zi'zang'fu'yu'fa 动之则先自脏腑郁发
'dong'zuo'chi'dun 动作迟钝
'dong'zuo'yi'bi'han 动作以避寒
'dou'er'zhu'zhui 斗而铸锥
'dou'shu'yu'yang 都属于阳
'dou'shu'yu'yin 都属于阴
'du'bai'sui'nai'qu 度百岁乃去
'du'li'shou'shen 独立守神
'du'mai 督脉
'du'mai'zhi'bie'luo 督脉之别络
'du'qi 毒气
'du'she 毒蛇
'du'she'yao'shang 毒蛇咬伤
'du'yang'bu'chang 独阳不长
'duan'ji 短肌
'duan'lian'shen'ti 锻炼身体
'duan'qi'fa'li 短气乏力
'duan'zuo'hu'xi'er'bu'de'ping'wo 端坐呼吸而不得平卧
'dui'er'bian'shi'yu'gu'she 对二便失于固摄
'dui'li'shi'er'zhe'zhi'jian'xiang'fan'de'yi'mian 对立是二者之间相反的一面
'dui'zhou'wei'shi'wu'fan'ying'chi'dun 对周围事物反应迟钝
'duo'meng 多梦
'duo'niao 多尿
'duo'shi'gan 多食甘
'duo'shi'ku 多食苦
'duo'shi'sheng'leng'han'liang 多食生冷寒凉
'duo'shi'suan'ze'rou'fu'lian'er'chun'jie 多食酸则肉服脸而唇揭
'duo'shi'xian 多食咸
'duo'shi'xin 多食辛
'duo'ti 多嚏
'duo'wai'han'er'li're 多外寒而里热
'duo'wei'ci'tong 多为刺痛
'duo'yi'dan'hui'zhou'an 多以旦慧昼安
'duo'yin'shi'xue'guo'duo 多因失血过多
'duo'zhong'chuan'ran'bing'de'fa'sheng 多种传染病的发生
'duo'zu'e'qi'ji 多阻遏气机
'e'han 恶寒
'e'lu 恶露
'e'ni 呃逆
'e're 恶热
'e'xin 恶心
'e'xin'ou'tu 恶心呕吐
'e'xing'xun'huan 恶性循环
'e'xue'zai'nei 恶血在内
'e'zi 扼子
'er'bao'ming'huo'bao'long 耳暴鸣或暴聋
'er'bian'shi'jin 二便失禁
'er'bian'shi'yu'gu'she 二便失于固摄
'er'cheng'yu'xin 而成于心
'er'han'duo'yu'tuo 而汗多欲脱
'er'jian'qi'gong 而见其功
'er'jin'zhong'qi'tian'nian 而尽终其天年
'er'kuo 耳廓
'er'long 耳聋
'er'long'bai'jie 耳聋百节
'er'ming 耳鸣
'er'ming'er'long 耳鸣耳聋
'er'mu'shi'cong 耳目失聪
'er'shang'jiao'bu'tong 而上焦不通
'er'shi'xiang'dui'de 而是相对的
'er'wen'qi'nei'han 而温其内寒
'er'xian'qi'suo'yin 而先其所因
'er'xu'shi'bu'shuang'yan 而虚实不爽焉
'er'xue'guan'yu'shang 而血莞于上
'er'yin'yang'bu'miu'yan 而阴阳不谬焉
'er'zang'fu'bu'cha 而脏腑不差
'er'zhe'xiang'fu'xiang'cheng 二者相辅相成
'fa'biao'tou'zhen 发表透疹
'fa'bing'ji'zhou 发病急骤
'fa'bing'yi'hou 发病以后
'fa'bing'yu'bu'fa'bing'zheng'xie'dou'zheng 发病与不发病正邪斗争
'fa'bing'yuan'li 发病原理
'fa'bing'zhi'chu'jun'jian'biao'zheng 发病之初均见表证
'fa'han'duo 发汗多
'fa'kuang 发狂
'fa'pang'yong'zhong 发胖臃肿
'fa're 发热
'fa'sheng'huang'ju 发生黄疽
'fa'sheng'ji'li 发生机理
'fa'sheng'xuan'yun 发生眩晕
'fa'wei'beng'lou 发为崩漏
'fa'wei'bo'jue 发为薄厥
'fa'wei'dian'kuang 发为癫狂
'fa'wei'shang'pu 发为晌仆
'fa'wei'teng'tong 发为疼痛
'fa'wei'xue'zhi'yu 发为血之余
'fa'yu'yang 发于阳
'fa'yu'yin 发于阴
'fa'yu'yin'yang 法于阴阳
'fa'zhan'gui'lv 发展规律
'fa'zhan'yu'zhuan'gui 发展与转归
'fa'zhan'zhe 发展着
'fa'zuo'huo'zeng'ju 发作或增剧
'fan'ci'shi'er'guan'zhe 凡此十二官者
'fan'er'geng'shang'zheng'qi 反而更伤正气
'fan'fan'hu'wan'wu'you'yu 泛泛乎万物有余
'fan'fei 犯肺
'fan'fu'chi'xu'de'jing'shen'ci'ji 反复持续的精神刺激
'fan'fu'wai'gan 反复外感
'fan'jian'han'xiang 反见寒象
'fan'jian're'xiang 反见热象
'fan'ke 烦渴
'fan'nian'gao'zhi'ren 凡年高之人
'fan're 烦热
'fan'ren'ju'zhu'zhi'shi 凡人居住之室
'fan'yi'yu'ji'fu 泛溢于肌肤
'fan'ying'chi'dun 反应迟钝
'fan'zao 烦躁
'fan'zao'bu'an 烦躁不安
'fan'zao'sheng'huo 烦躁升火
'fan'zhi 反治
'fan'zhi'bing'bu'cha'wu'fang'feng'qi 凡治病不察五方风气
'fan'zhi'shi'shun'cong'ji'bing'jia'xiang'er'zhi 反治是顺从疾病假象而治
'fan'zhuo'gan'jing 燔灼肝经
'fan'zuo 反佐
'fan'zuo'yong 反作用
'fang'huan'yu'wei'ran 防患于未然
'fang'lao'guo'du 房劳过度
'fang'lao'shang'shen 房劳伤肾
'fang'shi 房室
'fang'shi'bu'jie 房事不节
'fang'shi'guo'pin 房事过频
'fang'wei'de'shang'xia 方位的上下
'fang'xiang'hua'zhuo'yao'wu 芳香化浊药物
'fang'yu 方域
'fang'yu'zuo'yong 防御作用
'fang'zhi 防治
'fang'zhi'bing'xie'de'qin'hai 防止病邪的侵害
'fang'zhi'chuan'bian 防止传变
'fang'zhi'chuan'ran'bing'de'fa'sheng'he'bo'san 防止传染病的发生和播散
'fang'zhi'huan'jing 防止环境
'fang'zhi'ji'bing 防治疾病
'fang'zhi'ji'bing'de'fa'sheng'yu'fa'zhan 防止疾病的发生与发展
'fang'zhi'yuan'ze 防治原则
'fang'zhi'zang'fu'ji'bing'de'chuan'bian 防治脏腑疾病的传变
'fei'bing'chang'jian'zheng'zhuang 肺病常见症状
'fei'bu'ye'ju 肺布叶举
'fei'chao'bai'mai 肺朝百脉
'fei'chu'ru 非出入
'fei'de'bing'bian 肺的病变
'fei'de'hu'xi'he'xuan'fa'su'jiang 肺的呼吸和宣发肃降
'fei'de'qi'ji'kui'zhi 肺的气机奎滞
'fei'de'tong'tiao'shui'dao'gong'neng'shi'zhi 肺的通调水道功能失职
'fei'de'xuan'fa'he'su'jiang 肺的宣发和肃降
'fei'de'yang'qi'bu'zu 肺的阳气不足
'fei'de'yin'yang'qi'xue'shi'tiao 肺的阴阳气血失调
'fei'feng 非风
'fei'gan'pi'wei 肺肝脾胃
'fei'gong'neng'shi'chang 肺功能失常
'fei'han 非寒
'fei'he'shen'de'gong'neng'jian'ruo 肺和肾的功能减弱
