'a'feng 阿枫
'ni'lv'zai 泥驴仔
'ni'mo 妮莫
'ni'ni'qiu 泥泥鳅
'nian'mei'er'nian'mei'long 黏美儿黏美龙
'nian'nian'bao 黏黏宝
'nian'yu'wang 鲶鱼王
'niu'la 狃拉
'nu'niu 怒牛
'nu'ying'ge 怒鹦哥
'ou'jiao'ao 偶叫獒
'pa'cha'hai'dan 啪嚓海胆
'pa'di'chi 爬地翅
'pa'di'ya'ken'tai'luo 帕底亚肯泰罗
'pa'di'ya'wu'bo 帕底亚乌波
'pa'qi'li'zi 帕奇利兹
'pai'pa 派帕
'pang'ding 胖丁
'pang'ke'ding 胖可丁
'pen'cai'guai 盆才怪
'pen'huo'tuo 喷火驼
'pen'she'quan 喷射拳
'pen'ti'xiong 喷嚏熊
'pi'ka'qiu 皮卡丘
'pi'li'dian'qiu 霹雳电球
'pi'li'guo 霹雳果
'pi'na 皮拿
'pi'pa 枇琶
'pi'qiu 皮丘
'pi'zhan'si'ling 劈斩司令
'piao'piao'chu 飘飘雏
'piao'piao'qiu 飘飘球
'piao'xiang'tun 飘香豚
'ping'guo'long 苹裹龙
'ping'ye'guo 苹野果
'pu'dao 仆刀
'pu'dao'jiang'jun 仆刀将军
'pu'long'long 噗隆隆
'pu'long'long'mu 普隆隆姆
'pu'pu'zhu 噗噗猪
'qi'ji'zhong'zi 奇迹种子
'qi'lin'qi 麒麟奇
'qi'lu'li'an 奇鲁莉安
'qi'mi'guo 奇秘果
'qi'qi'lin 奇麒麟
'qi'shi'hou 弃世猴
'qi'shi'pi'dai 气势披带
'qi'shi'tou'dai 气势头带
'qi'shu 奇树
'qi'xi'qing'niao 七夕青鸟
'qia'lei'mu 恰雷姆
'qian'bian'wan'hua 千变万花
'qian'xiang'guo 千香果
'qian'zhen'yu 千针鱼
'qiang'li'xiang'cao 强力香草
'qiang'li'zuan 强力钻
'qiang'zhi'duan'lian'qi 强制锻炼器
'qiang'zi'yin'qing 强子引擎
'qiao'duan'jiang 巧锻匠
'qiao'ke'guo 巧可果
'qie'fan'guo 茄番果
'qing'cao'zhong'zi 青草种子
'qing'jia'wang 请假王
'qing'jing'zhui'shi 清净坠饰
'qing'mian'niao 青绵鸟
'qing'mu 青木
'qing'shen'xue 轻身鳕
'qing'shi 轻石
'qing'tong'zhong 青铜钟
'qing'zhu'zhi'kai 庆祝之铠
'qiu'ming 秋明
'qu'jin'neng'liang 驱劲能量
'quan'ji'shou'tao 拳击手套
'quan'kai'meng'zhuang 全开猛撞
'quan'neng'bian'shen 全能变身
'quan'quan'xiong 圈圈熊
'qun'er'xiao'jie 裙儿小姐
'ran'shao'chong 燃烧虫
're'dai'long 热带龙
're'jiao'huan 热交换
're'la'wa 热辣娃
'ri'bu 日布
'rong'rong'yang 茸茸羊
'rong'shi'shou 溶食兽
'rou'ruan'sha'zi 柔软沙子
'rui'li'niao'zui 锐利鸟嘴
'rui'li'zhi'zhao 锐利之爪
'run'shui'ya 润水鸦
'ruo'dian'bao'xian 弱点保险
'sai'fu'hao 赛富豪
'san'di'shu 三地鼠
'san'hai'di'shu 三海地鼠
'san'he'yi'ci'guai 三合一磁怪
'san'lian'zuan 三连钻
'san'mi'feng 三蜜蜂
'san'ming'zhi 三明治
'san'shou'e'long 三首恶龙
'sao'mu 扫墓
'sha'bao'she 沙包蛇
'sha'he'ma 沙河马
'sha'ji'la'si 沙基拉斯
'sha'lin'guo 沙鳞果
'sha'luo'mang 沙螺蟒
'sha'nai'duo 沙奈朵
'sha'qiu'wa 沙丘娃
'sha'sha'yan'shi 沙沙岩石
'sha'tie'pi 沙铁皮
'shan'dian'meng'chong 闪电猛冲
'shan'fu 闪符
'shan'yan'gao'ge 闪焰高歌
'shan'yao'hu'fu 闪耀护符
'shan'yao'li 闪耀力
'shang'cai 上菜
'shen'mi'shui'di 神秘水滴
'sheng'ming'bao'zhu 生命宝珠
'shi'sha'bao'ye 噬沙堡爷
'shi'tu 食土
'shi'tuo'guo 释陀果
'shi'zai'guo 柿仔果
'shu'cai'guai 树才怪
'shu'shu'er 鼠数儿
'shu'zhen'wei'xiong 树枕尾熊
'shuai'bu'diao'de'qi'wei 甩不掉的气味
'shuai'jiao'ying'ren 摔角鹰人
'shuai'rou 甩肉
'shuang'fu'zhan'long 双斧战龙
'shuang'guang'shu 双光束
'shuang'hou'pen'wu 爽喉喷雾
'shuang'shou'bao'long 双首暴龙
'shui'bo'dao 水波刀
'shui'bu 水布
'shui'yi'bu 水伊布
'si'ji'lu'meng'ya'lu 四季鹿萌芽鹿
'sui'feng'qiu 随风球
'suo'cai'ling 索财灵
'suo'luo'ya 索罗亚
'suo'luo'ya'ke 索罗亚克
'tai'jing'bao'fa 太晶爆发
'tai'jing'hua 太晶化
'tai'jing'keng 太晶坑
'tai'jing'sui'kuai 太晶碎块
'tai'jing'tuan'ti'zhan 太晶团体战
'tai'jing'zhu 太晶珠
'tai'yang'yi'bu 太阳伊布
'tan'ke'chou'you 坦克臭鼬
'tan'xiao'shi 炭小侍
'tan'xin'li'shu 贪心栗鼠
'tao'jin'chao 淘金潮
'tao'pu'guo 萄葡果
'tao'tao'guo 桃桃果
'tao'tuo'an'jian 逃脱按键
'te'xing'hu'ju 特性护具
'ti'bu'li'mu 提布莉姆
'tian'leng'mei'hou 甜冷美后
'tian'wu'ni 甜舞妮
'tian'zhu'zhu 甜竹竹
'tiao'tiao'zhu 跳跳猪
'tie'bao'fu 铁包袱
'tie'bi'bang 铁臂膀
'tie'bi'qiang'xia 铁臂枪虾
'tie'bo'geng 铁脖颈
'tie'du'e 铁毒蛾
'tie'jing'ji 铁荆棘
'tie'sha'pi 铁沙皮
'tie'wu'zhe 铁武者
'tie'zhang'li'shi 铁掌力士
'tie'zhe'ji 铁辙迹
'tie'zhi'yin 铁只因
'tong'jing'guai 铜镜怪
'tong'tai'gong'yan 同台共演
'tong'tong'guo 通通果
'tong'xiang 铜象
'tou'ling'ping'zheng 头领凭证
'tou'zhi'hou 投掷猴
'tu'biao'ke 涂标客
'tu'ji'bei'xin 突击背心
'tu'long'di'di 土龙弟弟
'tu'long'jie'jie 土龙节节
'tu'tu'tou'kui 凸凸头盔
'tu'wang 土王
'tuan'zhan'li 团战力
'tuan'zhu'zhu 团珠蛛
'tun'shi'shou 吞食兽
'tuo'tuo'yin 拖拖蚓
'wan'neng'san 万能伞
'wan'pi'lei'dan 顽皮雷弹
'wan'qu'de'tang'chi 弯曲的汤匙
'wang'zhe'zhi'zheng 王者之证
'wei'jia 尾甲
'wei'tang'cao 伪螳草
'wen'you'guo 文柚果
'weng'fu 嗡蝠
'wu'bo 乌波
'wu'bo'pa'di'ya'de'yang'zi 乌波帕底亚的样子
'wu'hua'guo 勿花果
'wu'ke'hai'tu 无壳海兔
'wu'lian'guo 雾莲果
'wu'ya'tou'tou 乌鸦头头
'xia'shi'niao 下石鸟
'xia'ya'ti 下压踢
'xian'bu 仙布
'xian'zhi'zhi'zhao 先制之爪
'xian'zi'yi'bu 仙子伊布
'xiang'luo'guo 香罗果
'xiang'ri'hua'guai 向日花怪
'xiang'ri'zhong'zi 向日种子
'xiao'ci'guai 小磁怪
'xiao'duan'jiang 小锻匠
'xiao'fu'dan 小福蛋
'xiao'jian'que 小箭雀
'xiao'mao'guai 小猫怪
'xiao'shi'shi 小狮狮
'xiao'tan'zai 小炭仔
'xiao'xiao'xiang 小小象
'xin'li 辛俐
'xin'ling'xiang'cao 心灵香草
'xin'shi'niao 信使鸟
'xin'ye'miao 新叶喵
'xing'fu'dan 幸福蛋
'xing'tao'guo 星桃果
'xing'yun'dan 幸运蛋
'xing'zai'guo 杏仔果
'xiong'bao'bao 熊宝宝
'xiong'wei'ya 雄伟牙
'xue'li'guai 雪笠怪
'xue'qiu 雪球
'xue'rong'e 雪绒蛾
'xue'tong'zi 雪童子
'xue'tun'chong 雪吞虫
'xue'yao'nv 雪妖女
'ya'kai'guo 亚开果
'ya'ya 牙牙
'yan'gou'gou 岩狗狗
'yan'hou'xi 焰后蜥
'yan'shi'bao 盐石宝
'yan'shi'ju'ling 盐石巨灵
'yan'shi'lei 盐石垒
'yan'wu'qiu 烟雾球
'yan'yan 盐腌
'yao'mu'guo 腰木果
'yao'quan'er 钥圈儿
'yao'yao'gui 咬咬龟
'ye'bu 叶布
'ye'ci 也慈
'ye'dao'huo'xi 夜盗火蜥
'ye'man'lu'yu 野蛮鲈鱼
'ye'yi'bu 叶伊布
'yi'bu 伊布
'yi'dui'shu 一对鼠
'yi'jia'shu 一家鼠
'yi'qi'guo 异奇果
'yin'bo'long 音波龙
'yin'fen 银粉
'yin'meng'mo'ren 引梦貘人
'yin'xiang'shuai 音箱蟀
'ying'guang'yu 荧光鱼
'ying'shi'tou 硬石头
'ying'zi'guo 樱子果
'yong'quan'you 泳圈鼬
'yong'shi'xiong'ying 勇士雄鹰
'yong'yue'ya 涌跃鸭
'you'ji'la'si 幼基拉斯
'yu'chi'e 雨翅蛾
'yuan'fa'shi 圆法师
'yuan'lu'sha 圆陆鲨
'yuan'ye'shui'mu 原野水母
'yuan'ying'wa'wa 怨影娃娃
'yue'bu 月布
'yue'liang'yi'bu 月亮伊布
'zai'huo'zhi'ding 灾祸之鼎
'zai'huo'zhi'jian 灾祸之剑
'zai'huo'zhi'jian 灾祸之简
'zai'huo'zhi'yu 灾祸之玉
'zao'gen'guo 藻根果
'zao'yu'li 遭遇力
'zha'hu'mo 诈唬魔
'zhen'guo'qiu 榛果球
'zhen'yi'fa 振翼发
'zhi'hui'xing 智挥猩
'zhi'li'guo 枝荔果
'zhi'shan'que 稚山雀
'zhi'tang'e 炙烫鳄
'zhong'ni'wan'ma 重泥挽马
'zhou'shu'zhi'kai 咒术之铠
'zhu'mu'guo 烛木果
'zhu'zhi'shu 朱之书
'zi'bao'ci'guai 自爆磁怪
'zi'zhi'shu 紫之书
'zi'zhi'yan 滋汁鼹
'zong'yan'lang'ren 鬃岩狼人
'zou'jing 走鲸
'zu'zhou'wa'wa 诅咒娃娃
'zu'zhou'zhi'fu 诅咒之符
'zuo'qi'shan'yang 坐骑山羊
'zuo'qi'xiao'yang 坐骑小羊
