'an'kou 安口
'jie'gu 碣谷
'jie'hu 街湖
'jie'luo 街罗
'jie'ming 街铭
'jie'qing 碣青
'jie'qiu 街丘
'jie'yang 碣阳
'jin'dou 晋都
'jin'gu 晋谷
'jin'ji 晋极
'jin'qu 晋曲
'jin'yang 晋阳
'jin'yin 晋阴
'jin'yu 晋玉
'jing'a 靖阿
'jing'chi 靖池
'jing'chi 静池
'jing'chuan 静川
'jing'dong 静东
'jing'gu 静故
'jing'guang 泾广
'jing'he 景和
'jing'lai 靖来
'jing'lin 靖林
'jing'men 荆门
'jing'miao 景妙
'jing'ming 静铭
'jing'mu 荆牧
'jing'ning 泾宁
'jing'ning 靖宁
'jing'ning 静宁
'jing'qing 景青
'jing'qing 荆清
'jing'sha 荆沙
'jing'sheng 泾胜
'jing'shui 荆水
'jing'si 景司
'jing'wei 荆威
'jing'wu 景武
'jing'xiang 静祥
'jing'xin 荆信
'jing'xing 景兴
'jing'yin 荆阴
'jing'yu 静裕
'jing'yue 靖月
'jing'zhen 靖镇
'jing'zhou 荆州
'jing'zhou 靖州
'jing'zhu 景祝
'jing'zi 荆资
'jiu'ding 九定
'jiu'shan 久山
'jiu'xing 久兴
'kuai'ji 会稽
'kun'shang 昆上
'lai'he 来贺
'lai'jin 来津
'lai'ling 来陵
'lai'yang 来阳
'lai'yu 来余
'lai'zuo 来左
'lan'huai 兰怀
'lan'qing 兰清
'lan'sheng 兰胜
'lan'xiang 兰祥
'lan'yuan 兰源
'le'jia 乐嘉
'le'li 乐里
'le'ming 乐鸣
'le'qi 乐其
'le'qiong 乐琼
'le'rou 乐柔
'le'xun 乐迅
'le'zi 乐资
'li'bian 利边
'li'chang 利长
'li'feng 丽封
'li'gu 丽固
'li'gu 利谷
'li'hai 利海
'li'lai 利来
'li'qing 利青
'li'tang 丽堂
'li'yue 丽月
'li'zhou 利州
'lin'bei 林北
'lin'chi 临池
'lin'gang 林冈
'lin'ji 临冀
'lin'jia 临嘉
'lin'rou 林柔
'lin'shan 林山
'lin'ting 临亭
'lin'yi 林邑
'lin'zi 临淄
'ling'bei 岭北
'ling'de 岭德
'ling'fu 灵福
'ling'guan 岭关
'ling'hai 灵海
'ling'jing 灵靖
'ling'jing 灵静
'ling'kang 灵康
'ling'qing 灵清
'ling'qu 岭曲
'ling'ye 灵业
'ling'yu 灵裕
'ling'zhuang 灵庄
'ling'zi 灵资
'ling'zuo 灵左
'liu'gang 六冈
'liu'guang 六光
'liu'jian 六间
'liu'kou 六口
'liu'lang 六朗
'liu'su 六苏
'liu'xi 六溪
'liu'xiang 六乡
'long'dian 龙殿
'long'guang 陇广
'long'gui 陇归
'long'hui 龙惠
'long'jing 陇靖
'long'qi 龙其
'long'rong 龙戎
'long'yi 陇宜
'long'yuan 龙远
'lu'jiang 庐江
'lu'yang 庐阳
'lu'ye 庐业
'lu'zi 庐淄
'lu'zong 庐宗
'luo'chi 洛池
'luo'feng 落凤
'luo'guang 落光
'luo'kang 洛康
'luo'xin 落心
'luo'xing 洛兴
'luo'yan 洛延
'luo'yang 洛阳
'luo'zhong 洛中
'ma'he 马河
'ma'kang 马康
'ma'zi 马淄
'mao'gang 茂岗
'mao'gu 茂固
'mao'lin 茂林
'mao'zhi 茂志
'mian'feng 缅丰
'mian'guan 缅关
'mian'guang 绵广
'mian'lian 绵连
'mian'liang 绵梁
'mian'ming 绵铭
'mian'mu 绵牧
'mian'nan 缅南
'mian'ping 缅平
'mian'shi 缅石
'min'he 闵河
'min'ji 闵吉
'ming'hui 明汇
'ming'xi 明溪
'ming'xiang 明祥
'ming'yi 明益
'ming'yun 明云
'mo'jin 秣津
'mo'xun 秣迅
'nan'chi 南池
'nan'de 南德
'nan'hu 南湖
'nan'hui 南惠
'nan'hui 南汇
'nan'shun 南顺
'nan'tian 南天
'nan'xuan 南宣
'nan'yan 南盐
'nan'yao 南姚
'nan'yin 南阴
'nan'yue 南越
'nan'ze 南泽
'nan'zi 南资
'nian'yi 年宜
'ning'tai 宁泰
'ning'tong 宁同
'ning'yi 宁宜
'pao'jing 袍静
'peng'he 彭合
'peng'xi 彭溪
'pi'guang 毗广
'qi'a 七阿
'qi'cheng 蕲承
'qi'chi 七池
'qi'chuan 启川
'qi'da 启达
'qi'jing 七静
'qi'tian 启天
'qi'tong 七同
'qi'tong 启同
'qi'xin 启心
'qi'xing 蕲兴
'qi'xiu 七修
'qi'yu 启余
'qi'zheng 七郑
'qi'zhou 启州
'qian'li 前里
'qian'nan 前南
'qian'yi 前益
'qiang'hu 强胡
'qiang'rou 强柔
'qiang'su 强苏
'qiang'xi 强溪
'qin'guan 秦关
'qin'he 秦河
'qin'tai 秦太
'qin'yue 秦月
'qing'xiang 青祥
'qiu'gang 丘岗
'qiu'pu 丘浦
'qiu'xia 丘夏
'qu'gu 曲故
'qu'guan 曲关
'qu'hai 曲海
'qu'jing 曲靖
'qu'zhuang 曲庄
'ren'ding 仁定
'ren'gui 仁归
'ren'han 任汉
'ren'he 任合
'ren'hui 仁会
'ren'qing 仁清
'ren'xiang 任祥
'ren'xuan 任玄
'ren'yi 仁宜
'ren'yuan 仁远
'ren'zheng 仁正
'ri'ling 日陵
'rong'hui 容汇
'rong'lian 容连
'rong'qiong 容琼
'rong'yin 容阴
'san'bei 三北
'san'chi 三池
'san'huai 三怀
'san'yu 三余
'san'zhang 三章
'sang'di 桑堤
'sang'ding 桑定
'sang'hu 桑湖
'sang'jing 桑靖
'sang'nan 桑南
'sang'ning 桑宁
'sang'xiang 桑祥
'sang'zhang 桑章
'shan'cheng 山承
'shan'feng 山封
'shan'guang 山广
'shan'ji 山集
'shan'ning 山宁
'shan'sheng 山胜
'shan'shun 山顺
'shan'xing 山兴
'shan'yuan 山源
'shan'zhang 山章
'shang'dang 上党
'shang'jing 上靖
'shang'qi 上齐
'shang'tian 上田
'shang'xian 上县
'shang'zhong 上重
'shen'dong 沈东
'shen'feng 神丰
'shen'guan 神关
'shen'ju 沈居
'shen'le 神乐
'shen'qiu 神丘
'shen'shun 沈顺
'shen'xiang 沈祥
'shen'xiang 神祥
'shi'huai 始怀
'shi'ju 石居
'shi'xia 始夏
'shi'xin 石信
'shi'yao 石姚
'shi'zhi 石志
'shou'guang 首广
'shou'hu 寿湖
'shou'ji 首冀
'shou'jun 寿郡
'shou'tai 寿泰
'shou'xuan 首宣
'shou'yan 寿盐
'shou'zheng 寿正
'shuang'cheng 双承
'shuang'feng 双丰
'shuang'fu 双福
'shuang'he 双合
'shui'dong 水东
'shui'li 水里
'shui'ming 水鸣
'shui'qiu 水丘
'shui'xi 水西
'shui'xuan 水玄
'shun'feng 舜封
'shun'lai 顺来
'shun'shi 顺石
'shun'tu 顺徒
'shun'yang 顺阳
'shuo'guang 朔广
'shuo'huai 朔怀
'shuo'ji 朔冀
'shuo'jing 朔静
'shuo'ning 朔宁
'shuo'tong 朔同
'si'dao 四道
'si'jing 四靖
'si'kang 思康
'si'kou 四口
'si'qing 思清
'si'shan 思山
'si'su 四苏
'si'tang 四塘
'si'ting 四亭
'si'wu 思午
'si'xia 四夏
'si'xin 四信
'si'xuan 思玄
'si'zhuang 四庄
'si'zong 思宗
'su'chang 苏昌
'su'jie 苏节
'sui'de 绥德
'sui'fang 绥方
'sui'gang 绥岗
'sui'gu 绥谷
'sui'jing 绥景
'sui'wei 绥威
'sui'zi 绥淄
'tai'bei 泰北
'tai'cang 泰仓
'tai'da 泰达
'tai'han 太寒
'tai'han 泰寒
'tai'hui 太汇
'tai'ji 太冀
'tai'jia 泰嘉
'tai'qi 太齐
'tai'qi 泰启
'tai'ting 太亭
'tai'xing 太兴
'tai'yan 泰延
'tai'yi 太邑
'tai'yuan 太远
'tang'ji 汤集
'tang'sheng 汤胜
'tang'yi 汤宜
'tang'yun 汤云
'tian'guang 田广
'tian'hui 田汇
'tian'jing 天景
'tian'qiu 天丘
'tian'tai 田台
'tian'ting 田亭
'tian'zheng 天政
'tian'zhuang 天庄
'tong'bei 潼北
'tong'chang 潼昌
'tong'da 同达
'tong'dong 潼东
'tong'he 同河
'tong'hui 潼汇
'tong'jiang 潼江
'tong'qi 同齐
'tong'xi 同西
'tong'xin 潼信
'tong'xing 潼兴
'wan'qing 宛青
'wan'shi 宛石
'wan'xin 宛信
'wei'hu 渭湖
'wei'kou 渭口
'wei'tai 渭台
'wei'xian 渭县
'wei'xuan 渭玄
'wei'zi 渭子
'wen'chang 文昌
'wen'cheng 文承
'wen'de 文德
'wen'he 文贺
'wen'jun 文郡
'wen'qiu 文丘
'wen'sheng 文胜
'wen'xin 汶信
'wu'a 五阿
'wu'bei 乌北
'wu'cheng 乌承
'wu'cheng 武承
'wu'chi 吴池
'wu'de 吴德
'wu'di 五堤
'wu'ding 五定
'wu'jian 武间
'wu'li 吴里
'wu'men 武门
'wu'ping 武平
'wu'qi 吴齐
'wu'shi 武石
'wu'xiang 乌乡
'wu'yu 武裕
'xi'liang 西凉
'xi'ming 西铭
'xi'sheng 西胜
'xi'xiu 西修
'xi'xun 西迅
'xi'zhong 西中
'xi'zhu 西祝
'xia'hui 下汇
'xia'luo 下罗
'xia'ping 下平
'xia'tai 下泰
'xia'xuan 下宣
'xia'xuan 下玄
'xian'bian 贤边
'xian'feng 贤丰
'xian'mu 咸牧
'xiang'huai 香怀
'xiang'yang 襄阳
'xiang'yuan 香源
'xiao'yang 萧阳
'xiao'zhang 萧章
'xin'cang 信仓
'xin'cang 新仓
'xin'feng 新风
'xin'ge 信阁
'xin'hai 新海
'xin'he 信合
'xin'kang 新康
'xin'qiu 信丘
'xin'yu 信玉
'xin'yu 新玉
'xing'bei 兴北
'xing'dong 兴东
'xing'men 兴门
'xing'wu 兴武
'xing'yue 兴越
'xing'zheng 兴政
'xiu'chuan 修川
'xiu'xuan 修玄
'xiu'yang 修阳
'xu'chang 许昌
'xu'feng 徐丰
'xu'ji 许积
'xu'jing 徐静
'xu'su 许苏
'xu'zhong 许中
'xun'qu 巡曲
'xun'yin 巡阴
'yan'bian 严边
'yan'feng 严风
'yan'hai 严海
'yan'he 延贺
'yan'jie 延界
'yan'pi 延邳
'yan'sheng 延圣
'yan'tai 雁太
'yan'tang 严塘
'yan'ting 严亭
'yan'wei 严威
'yan'yang 严阳
'yan'zhong 雁中
'yan'zhuang 延庄
'yang'cheng 阳承
'yang'zhen 阳镇
'yi'a 夷阿
'yi'dong 宜东
'yi'feng 夷丰
'yi'gu 宜古
'yi'guang 夷光
'yi'he 夷合
'yi'hui 宜会
'yi'ji 夷集
'yi'ming 夷明
'yi'tai 夷台
'yi'wei 易威
'yi'wen 宜文
'yi'wen 易文
'yi'xian 夷县
'yi'xin 宜新
'yi'yi 夷宜
'yi'yuan 易源
'yi'zhi 夷志
'yi'zhi 宜志
'yi'zhou 夷州
'yi'zi 宜兹
'ying'guang 颖光
'ying'ji 鹰冀
'ying'jian 颖间
'ying'jing 鹰景
'ying'kou 颖口
'ying'ming 颖名
'ying'qiu 颖丘
'ying'sha 鹰沙
'ying'shan 颖山
'ying'xi 颖溪
'ying'xing 颖兴
'ying'yi 颖宜
'ying'yuan 鹰远
'yong'chang 雍昌
'yong'feng 永丰
'yong'gu 永谷
'yong'hu 雍湖
'yong'huai 雍怀
'yong'hui 永惠
'yong'ji 雍冀
'yong'jian 永间
'yong'jie 雍节
'yong'mu 永牧
'yong'ting 永亭
'yong'you 雍右
'yong'yue 永越
'yong'zong 雍宗
'you'qiu 右丘
'you'zong 右宗
'yu'a 榆阿
'yu'chang 榆昌
'yu'ding 余定
'yu'fang 俞方
'yu'gang 余岗
'yu'gong 榆功
'yu'gu 榆故
'yu'guan 裕关
'yu'he 余河
'yu'hui 裕惠
'yu'ji 裕极
'yu'kang 玉康
'yu'kou 玉口
'yu'lin 郁林
'yu'liu 榆留
'yu'ming 裕铭
'yu'nan 玉南
'yu'pi 裕邳
'yu'ping 余平
'yu'shui 俞水
'yu'tian 榆田
'yu'tian 玉田
'yu'xia 榆下
'yu'xuan 俞玄
'yu'yi 渔宜
'yu'you 渔右
'yu'yun 裕云
'yu'zhong 余中
'yu'zhong 俞中
'yuan'bei 原北
'yuan'dou 原都
'yuan'fan 元番
'yuan'ge 元阁
'yuan'gu 原固
'yuan'lang 元朗
'yuan'qi 原启
'yuan'rou 元柔
'yue'cheng 月承
'yue'gui 月归
'yue'lv 乐律
'yue'ning 月宁
'yue'tang 月堂
'yue'wei 月威
'yue'yang 月阳
'yue'yuan 跃元
'ze'xuan 泽玄
'ze'yuan 泽原
'zhang'bian 章边
'zhang'gu 章古
'zhang'jiang 章江
'zhang'li 章里
'zhang'lian 章连
'zhang'xi 章溪
'zhang'yu 张余
'zhang'yuan 章元
'zhang'zong 章宗
'zheng'dong 郑东
'zheng'gu 正谷
'zheng'guan 郑关
'zheng'ji 正冀
'zheng'qiu 正丘
'zheng'yang 正阳
'zhi'feng 志风
'zhi'liang 志梁
'zhi'xin 志新
'zhong'ji 中极
'zhong'ming 中铭
'zhong'yun 中云
'zhong'zhi 中志
'zhong'zi 中资
'zhu'jiang 朱江
'zhu'yun 朱云
'zhuo'lang 涿朗
'zhuo'lian 涿连
'zhuo'xin 涿新
'zi'chang 资昌
'zi'chong 资充
'zi'fang 兹方
'zi'feng 资丰
'zi'gang 子岗
'zi'guan 资关
'zi'hua 子华
'zi'hui 兹汇
'zi'ming 子铭
'zi'sheng 子胜
'zi'tang 子塘
'zi'xi 资西
'zi'xin 资信
'zi'ye 子业
'zi'zheng 资正
