'an'cha'xiao 暗插销
'bing'li'shi 病例室
'bing'lian 并联
'bing'lian'dian'lu 并联电路
'bing'lie 并列
'bing'qiu'chang 冰球场
'bing'xiang 冰箱
'bo'duan'kai'guan 波段开关
'bo'fu'liang 薄腹梁
'bo'gang'ban 薄钢板
'bo'li 玻璃
'bo'li'ban 玻璃板
'bo'li'chuang 玻璃窗
'bo'li'gang 玻璃钢
'bo'li'ma'sai'ke 玻璃马赛克
'bo'li'men 玻璃门
'bo'li'mu'qiang 玻璃幕墙
'bo'li'zhao 玻璃罩
'bo'wen'guan 波纹管
'bo'wu'guan 博物馆
'bu'an'quan 不安全
'bu'chang 补偿
'bu'chang'dian'lu 补偿电路
'bu'chang'qi 补偿器
'bu'chong'gui'ding 补充规定
'bu'chong'shuo'ming 补充说明
'bu'chong'tiao'jian 补充条件
'bu'deng'bian'jiao'gang 不等边角钢
'bu'deng'zhi'jiao'gang 不等肢角钢
'bu'dui'chen 不对称
'bu'feng'bi'lou'ti 不封闭楼梯
'bu'feng'bi'shi'wai'lou'ti 不封闭室外楼梯
'bu'ke'yu'jian'fei 不可预见费
'bu'ke'yu'jian'xiang'mu 不可预见项目
'bu'liang'dao'ti 不良导体
'bu'ran'jie'gou 不燃结构
'bu'tong'biao'gao 不同标高
'bu'xian 布线
'bu'xian'guan'dao 布线管道
'bu'xian'tu 布线图
'bu'xiu'gang 不锈钢
'bu'xiu'gang'ban 不锈钢板
'bu'xiu'gang'guan 不锈钢管
'bu'zhi'tu 布置图
'cai'liao 材料
'cai'liao'biao 材料表
'cai'liao'qing'dan 材料清单
'cai'liao'shi'yan 材料试验
'cai'se'tu'liao 彩色涂料
'cai'shi'chang 菜市场
'can'jian'xiang'tu 参见详图
'can'ju 餐具
'can'ju'shi 餐具室
'can'kao'biao'zhun 参考标准
'can'kao'shu 参考书
'can'kao'shu'ju 参考数据
'can'shu 参数
'can'ting 餐厅
'cang'ku 仓库
'cao'di 草地
'cao'di'pen'shui'qi 草地喷水器
'cao'gang 槽钢
'cao'ping 草坪
'cao'tie 槽铁
'cao'tu 草图
'cao'tu'jie'duan 草图阶段
'cao'zong'tai 操纵台
'cao'zuo 操作
'cao'zuo'cheng'xu 操作程序
'cao'zuo'fang'fa 操作方法
'cao'zuo'gui'cheng 操作规程
'cao'zuo'ping'tai 操作平台
'cao'zuo'shuo'ming'shu 操作说明书
'cao'zuo'zou'lang 操作走廊
'ce'hui 测绘
'ce'li'mian 侧立面
'ce'shi'tu 侧视图
'ce'suo 厕所
'ce'xiang'zhao'ming 侧向照明
'ceng'gao 层高
'ceng'shu 层数
'cha'ban 插板
'cha'jie'ban 插接板
'cha'jie'guan 插接管
'cha'kou 插口
'cha'kou'jie'tou 插口接头
'cha'tou 插头
'cha'tou'ban 插头板
'cha'tu 插图
'cha'xiao 插销
'cha'zuo 插座
'chai'chu 拆除
'chai'you'fa'dian'ji 柴油发电机
'chai'you'ji 柴油机
'chai'you'ji'fa'dian'zhan 柴油机发电站
'chan'fang 产房
'chan'ke'bing'fang 产科病房
'chan'pin 产品
'chan'pin'gui'ge 产品规格
'chan'pin'mu'lu 产品目录
'chang'di'gong'cheng 场地工程
'chang'di'ping'mian'tu 场地平面图
'chang'fang 厂房
'chang'gui 常规
'chang'gui'she'ji 常规设计
'chang'hu'xian'deng 长弧氙灯
'chang'qian'qu 厂前区
'chang'tu'dian'hua'ju 长途电话局
'chang'tu'qi'che'zhan 长途汽车站
'chang'zhi 厂址
'chang'zhi'fa'guang 场致发光
'chang'zhi'fa'guang'deng 场致发光灯
'chao'fu'he'yun'xing 超负荷运行
'chao'gao'ceng'jian'zhu 超高层建筑
'chao'gao'pin 超高频
'chao'ji'shi'chang 超级市场
'chao'sheng'bo 超声波
'chao'shi 潮湿
'che'chuang 车床
'che'jian 车间
'che'ku 车库
'che'ku'fan'men 车库翻门
'che'peng 车棚
'che'wei 车位
'che'zhan 车站
'chen'jiang'feng 沉降缝
'chen'lie'guan 陈列馆
'chen'lie'gui 陈列柜
'chen'lie'pin'zhao'ming 陈列品照明
'chen'lie'shi 陈列室
'chen'tou'luo'shuan 沉头螺栓
'chen'tou'luo'si 沉头螺丝
'chen'tou'mu'luo'shuan 沉头木螺栓
'cheng'bao'gong'cheng 承包工程
'cheng'cha'guan 承插管
'cheng'cha'jie'tou 承插接头
'cheng'kong'dian'yuan 程控电源
'cheng'kong'qi 程控器
'cheng'kong'tai 程控台
'cheng'shi 城市
'cheng'shi'dian'li'wang 城市电力网
'cheng'tao'she'bei 成套设备
'cheng'xu 程序
'cheng'xu'kai'guan 程序开关
'cheng'xu'she'ji 程序设计
'cheng'zhong 承重
'cheng'zhong'ge'qiang 承重隔墙
'cheng'zhong'jie'gou 承重结构
'cheng'zhong'qiang 承重墙
'cheng'zhong'qiang'jie'gou 承重墙结构
'cheng'zhong'zhuan'qiang 承重砖墙
'chi'cun 尺寸
'chi'cun'xian 尺寸线
'chi'du 尺度
'chong'ji'dian'liu 冲击电流
'chong'qi'jie'gou 充气结构
'chou'bei 筹备
'chou'bei'chu 筹备处
'chou'bei'gong'zuo 筹备工作
'chou'jian'xiang'mu 筹建项目
'chou'qi'beng 抽气泵
'chou'qi'feng'shan 抽气风扇
'chou'qi'ji 抽气机
'chou'qi'tong'feng 抽气通风
'chou'qi'tong'feng'xi'tong 抽气通风系统
'chou'shui'ma'tong 抽水马桶
'chou'shui'zhan 抽水站
'chou'yang'fa'sheng'qi 臭氧发生器
'chu'bu'cao'tu 初步草图
'chu'bu'fang'an 初步方案
'chu'bu'gu'suan 初步估算
'chu'bu'she'ji 初步设计
'chu'bu'she'ji'jie'duan 初步设计阶段
'chu'bu'she'ji'tu 初步设计图
'chu'cang'shi 储藏室
'chu'chuang 橱窗
'chu'chuang'zhao'ming 橱窗照明
'chu'dian 触点
'chu'dian'ya'li 触点压力
'chu'fang 厨房
'chu'fang'ba'qi'zhao 厨房拔气罩
'chu'fang'she'bei 厨房设备
'chu'fang'she'bei'bu'zhi 厨房设备布置
'chu'fang'yong'ju 厨房用具
'chu'kou 出口
'chu'qi'kou 出气口
'chu'ru'kou 出入口
'chu'shi'ji 除湿剂
'chu'shui'kou 出水口
'chu'xian'he 出线盒
'chu'xian'kou 出线口
'chu'you'chi 除油池
'chu'zu'ban'gong'lou 出租办公楼
'chu'zu'qi'che'ting'che'chang 出租汽车停车场
'chu'zu'qi'che'zhan 出租汽车站
'chuan'bing'lian 串并联
'chuan'bing'lian'dian'lu 串并联电路
'chuan'da'shi 传达室
'chuan'ding 穿钉
'chuan'dong'zhuang'zhi 传动装置
'chuan'gan'qi 传感器
'chuan'kong'ban 穿孔板
'chuan'lian 串联
'chuan'lian'dian'chi'zu 串联电池组
'chuan'lian'dian'lu 串联电路
'chuan'lian'xian'quan 串联线圈
'chuan'song'dai 传送带
'chuan'song'ji 传送机
'chuan'song'xi'tong 传送系统
'chuan'song'zhuang'zhi 传送装置
'chuan'zhen 传真
'chuan'zhen'dian'bao 传真电报
'chuang'jian'qiang 窗间墙
'chuang'jing 窗井
'chuang'lian'gui 窗帘轨
'chuang'lian'he 窗帘盒
'chuang'shi'kong'tiao'qi 窗式空调器
'chuang'tou'gui 床头柜
'chuang'tou'zhuo 床头桌
'ci'guan 瓷管
'ci'jia 瓷夹
'ci'jia'ban 瓷夹板
'ci'jia'bu'xian 瓷夹布线
'ci'li'kai'guan 磁力开关
'ci'li'qi'zhong'ji 磁力起重机
'ci'shi'fa'dian'ji 磁石发电机
'ci'xing'yan'gan'qi 磁性烟感器
'ci'zhuan 瓷砖
'cun'shui'wan 存水弯
'cun'yi'gui 存衣柜
'cuo'ceng'shi'che'ku 错层式车库
'cuo'lie'pai'guan 错列排管
'da'ba'chang 打靶场
'da'ban'jie'gou 大板结构
'da'ban'jie'gou'ti'xi 大板结构体系
'da'bao'ji 打包机
'da'bi'li'xiang'tu 大比例详图
'da'bian'qi 大便器
'da'bing'fang 大病房
'da'ka 大卡
'da'li'shi 大理石
'da'li'shi'ban 大理石板
'da'li'shi'ban'tie'mian 大理石板贴面
'da'liang 大梁
'da'men 大门
'da'mu 大幕
'da'sha 大厦
'da'shi'guan 大使馆
'da'shi'guan'di 大使官邸
'da'wu'ding 大屋顶
'da'xue 大学
'da'yang 大样
'da'zi'shi 打字室
'dai'hao 代号
'dai'yong'cai'liao 代用材料
'dai'yong'pin 代用品
'dan'ceng'chang'fang 单层厂房
'dan'ceng'chuang 单层窗
'dan'chuang'jian 单床间
'dan'chuang'ke'fang 单床客房
'dan'fang'zao'jia 单方造价
'dan'feng'dao'kong'tiao'xi'tong 单风道空调系统
'dan'guan're'shui'gong'nuan'xi'tong 单管热水供暖系统
'dan'guan'shang'xing'xia'gei'gong'nuan'xi'tong 单管上行下给供暖系统
'dan'guan'wei'sheng'guan'dao'xi'tong 单管卫生管道系统
'dan'ji'kai'guan 单极开关
'dan'jia 单价
'dan'kong'cha'zuo'chu'xian'kou 单孔插座出线口
'dan'mian'zi'xing'che'jia 单面自行车架
'dan'mian'zou'lang'shi 单面走廊式
'dan'ren'chuang 单人床
'dan'shan'chuang 单扇窗
'dan'shan'men 单扇门
'dan'shan'tui'la'men 但扇推拉门
'dan'shen'su'she 单身宿舍
'dan'tou'kai'guan 单投开关
'dan'wei'chang'du 单位长度
'dan'wei'mian'ji 单位面积
'dan'xian'tu 单线图
'dan'xiang'ban 单向板
'dan'xiang'dian'dong'ji 单相电动机
'dan'xiang'dian'lu 单向电路
'dan'xiang'fa 单向阀
'dan'xiang'xi'tong 单相系统
'dan'xing'dao 单行道
'dan'zhuan'qiang 单砖墙
'dan'zi'fang 弹子房
'dang'an'guan 档案馆
'dang'an'gui 档案柜
'dang'an'she'bei 档案设备
'dang'an'shi 档案室
'dang'di'ke'yong'cai'liao 当地可用材料
'dang'shui'qiang 挡水墙
'dang'tu'qiang 挡土墙
'dao'dian 导电
'dao'dian'cai'liao 导电材料
'dao'guan 导管
'dao'gui 导轨
'dao'ju'shi 道具室
'dao'lu 道路
'dao'lu'gong'cheng 道路工程
'dao'ti 导体
'dao'xian 导线
'deng'cao 灯槽
'deng'gao'xian 等高线
'deng'guang 灯光
'deng'guang'du'qiao 灯光渡桥
'deng'guang'kong'zhi 灯光控制
'deng'guang'kong'zhi'shi 灯光控制室
'deng'guang'kong'zhi'tai 灯光控制台
'deng'guang'ping'tai 灯光平台
'deng'guang'qiu'chang 灯光球场
'deng'guang'tian'qiao 灯光天桥
'deng'guang'xi'tong 灯光系统
'deng'guang'xin'hao 灯光信号
'deng'guang'zhi'shi'qi 灯光指示器
'deng'hou'shi 等候室
'deng'jie'mian 等截面
'deng'ju 灯具
'deng'pao 灯泡
'deng'ta 灯塔
'deng'zhao 灯罩
'deng'zhao'du'qu'xian 等照度曲线
'deng'zhu 灯柱
'deng'zuo 灯座
'di'ban 地板
'di'ban 底板
'di'biao'gao 底标高
'di'biao'mian 地表面
'di'ceng 底层
'di'ceng'jian'zhu 低层建筑
'di'ceng'ping'mian 底层平面
'di'ceng'zhu'zhai 低层住宅
'di'dian 地点
'di'jiao'luo'shuan 底脚螺栓
'di'mian 地面
'di'mian'an'guan'dao 地面暗管道
'di'mian'biao'gao 地面标高
'di'mian'cha'zuo 地面插座
'di'mian'cha'zuo'chu'xian'kou 地面插座出线口
'di'mian'chu'xian'he 地面出线盒
'di'mian'chu'xian'kou 地面出线口
'di'mian'dian'hua'chu'xian'kou 地面电话出线口
'di'mian'zhuan'yong'cha'zuo 地面专用插座
'di'pin 低频
'di'pin'bian'ya'qi 低频变压器
'di'pin'yang'sheng'qi 低频扬声器
'di'shui'wei 低水位
'di'shui'wei'bao'jing'qi 低水位报警器
'di'shui'wei'bao'xian'zhuang'zhi 低水位保险装置
'di'si'ke'wu'ting 迪斯科舞厅
'di'tu 底图
'di'xia'che'ku 地下车库
'di'xia'che'zhan 地下车站
'di'xia'dian'ti 地下电梯
'di'xia'ding'xian 地下定线
'di'xia'fang'kong'dong 地下防空洞
'di'xia'fu'she 地下辐射
'di'xia'gong'chang 地下工厂
'di'xia'gong'cheng 地下工程
'di'xia'guan'dao 地下管道
'di'xia'guan'dao'gong'cheng 地下管道工程
'di'xia'guan'wang 地下管网
'di'xia'shi 地下室
'di'xia'shi'ceng 地下室层
'di'xia'shi'ping'mian 地下室平面
'di'xia'tie'dao 地下铁道
'di'xia'tie'dao'che'zhan 地下铁道车站
'di'xia'ting'che'chang 地下停车场
'di'xia'tong'dao 地下通道
'di'xia'tong'feng'dao 地下通风道
'di'xing'tu 地形图
'di'ya'bao'hu 低压保护
'di'ya'dian'lan 低压电缆
'di'ya'kai'guan 低压开关
'di'ya'kai'guan'gui 低压开关柜
'di'ya'pei'dian'pan 低压配电盘
'di'ya'zhao'ming'kong'zhi 低压照明控制
'di'yin'la'ba 低音喇叭
'dian'bao 电报
'dian'bao'ju 电报局
'dian'biao 电表
'dian'chi 电池
'dian'chi'zu 电池组
'dian'chuan'da'zi'dian'bao'ji 电传打字电报机
'dian'chuan'da'zi'ji 电传打字机
'dian'ci'ding'men'qi 电磁定门器
'dian'ci'tie 电磁铁
'dian'deng 电灯
'dian'dong'beng 电动泵
'dian'dong'chuan'song'ji 电动传送机
'dian'dong'fa'dian'ji'zu 电动发电机组
'dian'dong'hu'lu 电动葫芦
'dian'dong'ji'fen'pai 电动记分牌
'dian'dong'juan'yang'ji 电动卷扬机
'dian'dong'kai'men'qi 电动开门器
'dian'dong'lan'che 电动缆车
'dian'du 电镀
'dian'gan'qi 电感器
'dian'gong 电工
'dian'gong'che'jian 电工车间
'dian'guang'yuan 点光源
'dian'han'gong 电焊工
'dian'han'ji 电焊机
'dian'hua 电话
'dian'hua'chu'xian'kou 电话出线口
'dian'hua'dian'lan 电话电缆
'dian'hua'fen'ji 电话分机
'dian'hua'fen'xian'he 电话分线盒
'dian'hua'ji 电话机
'dian'hua'jian 电话间
'dian'hua'jiao'huan'ji 电话交换机
'dian'hua'jiao'huan'tai 电话交换台
'dian'hua'ju 电话局
'dian'hua'xi'tong 电话系统
'dian'hua'xian 电话线
'dian'hua'zong'ji'shi 电话总机室
'dian'hua'zu'xian'xiang 电话组线箱
'dian'lan 电缆
'dian'lan'diao'jia 电缆吊架
'dian'lan'fu'she 电缆敷设
'dian'lan'gou 电缆沟
'dian'lan'guan'dao 电缆管道
'dian'lan'jia 电缆架
'dian'lan'shi 电缆室
'dian'lan'shu'jing 电缆竖井
'dian'lan'sui'dao 电缆隧道
'dian'lan'xiang 电缆箱
'dian'li 电力
'dian'li'bian'ya'qi 电力变压器
'dian'li'dian'lan 电力电缆
'dian'li'gong'cheng 电力工程
'dian'li'gong'ying 电力供应
'dian'li'pei'dian'pan 电力配电盘
'dian'li'xi'tong 电力系统
'dian'ling 电铃
'dian'ling'an'niu 电铃按钮
'dian'ling'bian'ya'qi 电铃变压器
'dian'liu'ji 电流计
'dian'lu 电炉
'dian'lu'she'ji 电路设计
'dian'lu'tu 电路图
'dian'lu'zhuan'huan'kai'guan 电路转换开关
'dian'nao 电脑
'dian'nao'hua 电脑化
'dian'neng'biao 电能表
'dian'qi'an'zhuang 电气安装
'dian'qi'chu'chen'qi 电气除尘器
'dian'qi'chu'xian'kou 电气出线口
'dian'qi'gong'cheng 电气工程
'dian'qi'gong'cheng'shi 电气工程师
'dian'qi'hua 电气化
'dian'qi'she'bei 电气设备
'dian'qi'she'ji 电气设计
'dian'qi'she'ji'an'zhuang 电气设计安装
'dian'qi'tu'zhi 电气图纸
'dian'qi'xi'tong 电气系统
'dian'qi'zhao'ming 电气照明
'dian're'shui'qi 电热水器
'dian're'zhuang'zhi 电热装置
'dian'rong'qi 电容器
'dian'rong'si 电熔丝
'dian'shan 电扇
'dian'shan'chu'xian'kou 电扇出线口
'dian'sheng'xi'tong 电声系统
'dian'shi 电视
'dian'shi'chu'xian'kou 电视出线口
'dian'shi'dian'hua 电视电话
'dian'shi'dian'hua'xi'tong 电视电话系统
'dian'shi'guang'bo'shi 电视广播室
'dian'shi'yan'bo'shi 电视演播室
'dian'ti 电梯
'dian'ti'an'quan'zhuang'zhi 电梯安全装置
'dian'ti'ji'fang 电梯机房
'dian'ti'jing 电梯井
'dian'ti'jing'keng 电梯井坑
'dian'ti'ping'tai 电梯平台
'dian'ti'zu 电梯组
'dian'xian 电线
'dian'xian'cao 电线槽
'dian'xian'gan 电线杆
'dian'xin 电信
'dian'xin'ju 电信局
'dian'xin'she'bei 电信设备
'dian'xing 典型
'dian'ya 电压
'dian'ya'biao 电压表
'dian'ying'fang'ying'ji 电影放映机
'dian'ying'yuan 电影院
'dian'yuan 电源
'dian'yuan'bian'ya'qi 电源变压器
'dian'yuan'cha'zuo 电源插座
'dian'zhong 电钟
'dian'zhong'cha'zuo 电钟插座
'dian'zhong'xi'tong 电钟系统
'dian'zi'ji'suan'ji 电子计算机
'dian'zi'ji'suan'ji'hua 电子计算机化
'diao'che 吊车
'diao'che'chang 调车场
'diao'che'liang 吊车梁
'diao'deng 吊灯
'diao'ding 吊顶
'diao'du'shi 调度室
'diao'gan 吊杆
'diao'gou 吊钩
'diao'guan'jia 吊管架
'diao'guang'qi 调光器
'diao'gui 吊轨
'diao'jia 吊架
'diao'mu 吊幕
'diao'shan 吊扇
'diao'suo 吊索
'diao'zhuang 吊装
'diao'zhuang'jia'ju 吊装夹具
'diao'zhuang'ying'guang'deng'dai 吊装荧光灯带
'ding'ban 顶板
'ding'bu'cai'guang 顶部采光
'ding'bu'zhao'ming 顶部照明
'ding'deng 顶灯
'ding'dian 顶点
'ding'e 定额
'ding'peng'cai'guang 顶棚采光
'ding'peng'jian'cha'kong 顶棚检查孔
'ding'shi'kai'guan 定时开关
'ding'shi'qi 定时器
'ding'xiang'tian'xian 定向天线
'ding'xiang'zhao'ming 定向照明
'ding'xing'chan'pin 定型产品
'ding'xing'she'ji 定型设计
'ding'xing'tu 定型图
'ding'xing'xiang'tu 定型详图
'ding'zi'jie 丁字街
'dong'ji'shi'gong 冬季施工
'dong'kou'chi'cun 洞口尺寸
'dong'li'dian'lan 动力电缆
'dong'li'mian 东立面
'dong'li'pei'dian'pan 动力配电盘
'dong'li'she'bei 动力设备
'dong'li'xi'tong 动力系统
'dong'li'zuan 动力钻
'du'ge 镀铬
'du'ge 镀镉
'du'jin 镀金
'du'ke'luo'mi 镀克罗米
'du'lv 镀铝
'du'mo 镀膜
'du'nie 镀镍
'du'qi'gui 毒气柜
'du'qi'jing'bao 毒气警报
'du'qian'tie'ban 镀铅铁板
'du'tong 镀铜
'du'xi 镀锡
'du'xi'xian 镀锡线
'du'xin'gang 镀锌钢
'du'xin'gang'ban 镀锌钢板
'du'xin'gang'guan 镀锌钢管
'du'xin'gang'jin'wang 镀锌钢筋网
'du'xin'gang'si 镀锌钢丝
'du'xin'guan 镀锌管
'duan'gong'che'jian 锻工车间
'duan'lu 断路
'duan'lu 短路
'duan'lu'bao'hu 短路保护
'duan'lu'qi 断路器
'duan'mian 断面
'duan'zi 端子
'duan'zi'ban 端子板
'duan'zi'xiang 端子箱
'dui'jiang'dian'hua 对讲电话
'dui'jiang'dian'hua'xi'tong 对讲电话系统
'duo'ceng'chang'fang 多层厂房
'duo'ceng'di'xia'shi 多层地下室
'duo'ceng'gong'yu 多层公寓
'duo'ceng'jian'zhu 多层建筑
'duo'ceng'ting'che'chang 多层停车场
'duo'fu'shi'zuo'fa 剁斧石做法
'duo'gong'neng'jian'zhu 多功能建筑
'e'ding'gong'lv 额定功率
'e'ding'rong'liang 额定容量
'er'bi'hou'ke 耳鼻喉科
'er'ceng'ping'mian 二层平面
'er'ci'hui'lu 二次回路
'er'guang 耳光
'er'ji 耳机
'er'ke'bing'fang 儿科病房
'er'si'qiang 二四墙
'er'tong'huo'dong'zhong'xin 儿童活动中心
'er'tong'yi'yuan 儿童医院
'er'tong'you'xi'chang 儿童游戏场
'er'tong'you'xi'shi 儿童游戏室
'er'tong'yue'lan'shi 儿童阅览室
'er'yang'hua'tan 二氧化碳
'er'yang'hua'tan'mie'huo'qi 二氧化碳灭火器
'fa'dian'chang 发电厂
'fa'dian'ji 发电机
'fa'dian'ji'fang 发电机房
'fa'dian'ji'rong'liang 发电机容量
'fa'dian'ji'zu 发电机组
'fa'guang'ding'peng 发光顶棚
'fa'guang'kai'guan 发光开关
'fa'guang'xin'hao'xi'tong 发光信号系统
'fa'lan'jie'tou 法兰接头
'fa'lan'lian'jie 法兰连接
'fa'lan'pan 法兰盘
'fa'yuan 法院
'fan'chuang 翻窗
'fan'dou'che 翻斗车
'fan'guang'deng 反光灯
'fan'guang'deng 泛光灯
'fan'guang'zhao'ming 泛光照明
'fan'shui'wan 反水弯
'fang'an 方案
'fang'an'bi'jiao 方案比较
'fang'an'she'ji 方案设计
'fang'an'she'ji'jie'duan 方案设计阶段
'fang'an'tu 方案图
'fang'bao 防爆
'fang'bao'deng 防爆灯
'fang'bao'xi'tong 防爆系统
'fang'chao'ceng 防潮层
'fang'chao'di'xia'shi 防潮地下室
'fang'chao'ji'chu 防潮基础
'fang'da'tu 放大图
'fang'dao'jing'bao'xi'tong 防盗警报系统
'fang'dao'jing'ling 防盗警铃
'fang'dao'she'bei 防盗设备
'fang'dian'deng 放电灯
'fang'hu'she'bei 防护设备
'fang'hu'shi'kai'guan 防护式开关
'fang'hu'shi'zhao'ming 防护式照明
'fang'hu'tao 防护套
'fang'huo 防火
'fang'huo'biao'zhun 放火标准
'fang'huo'cai'liao 防火材料
'fang'huo'deng'ji 防火等级
'fang'huo'fen'qu 防火分区
'fang'huo'ge'duan 防火隔断
'fang'huo'gui'fan 防火规范
'fang'huo'jian'zhu 防火建筑
'fang'huo'juan'lian'men 防火卷帘门
'fang'huo'she'ji 防火设计
'fang'huo'xi'tong 防火系统
'fang'jing'dian 防静电
'fang'jing'dian'di'mian 防静电地面
'fang'jing'dian'xiang'jiao 防静电橡胶
'fang'kong'dong 防空洞
'fang'kong'gong'cheng 防空工程
'fang'lei 防雷
'fang'nei'fu'wu 房内服务
'fang'shui'cai'liao 防水材料
'fang'shui'ceng 防水层
'fang'shui'cha'zuo 防水插座
'fang'shui'di'xia'shi 防水地下室
'fang'shui'dian'qi'she'bei 防水电气设备
'fang'shui'tu'ceng 防水涂层
'fang'shui'zuo'fa 防水做法
'fang'song'luo'shuan 防松螺栓
'fang'wu 房屋
'fang'wu'gao'du 房屋高度
'fang'xiu'chu'li 防锈处理
'fang'xiu'qi 防锈漆
'fang'yan'lou'ti 防烟楼梯
'fang'yan'men 防烟门
'fang'yi'zhan 防疫站
'fang'ying'ji 放映机
'fang'ying'she'bei 放映设备
'fang'ying'shi 放映室
'fang'yu 防雨
'fang'yu'kai'guan 防雨开关
'fang'yun'shi 仿云石
'fei'biao'zhu'gou'jian 非标注构件
'fei'ji'chang 飞机场
'fei'ji'ku 飞机库
