'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'ai'ke'ruo'mo'shi'bing 埃科若莫氏病
'ai'ke'si'te'de'shi'bing 艾克斯特德氏病
'ai'lai'er'dang'luo'si'er'shi'zong'he'zheng'yi'zhong'yi'chuan'xing'si'lian'zheng 埃莱尔当洛斯二氏综合征一种遗传性四联症
'ai'li'si'fan'ke'le'wei'de'zong'he'zheng 埃利斯范克勒韦德综合征
'ai'lun'ma'si'te'si 艾伦马斯特斯
'ai'mi'ni'de'lai'fu'si'ji'ying'yang'bu'liang 埃米尼德赖富斯肌营养不良
'ai'pang'dan'ni'bu'si'shen'jing'bing 癌旁丹尼布斯神经病
'ai'po'si'tan'xiao'jie 爱泼斯坦小结
'ai'qi 嗳气
'ai'sa'ke'si 艾萨克斯
'ai'sen'men'ge'er'zong'he'zheng 艾森门格尔综合症
'ai'si'lin'shi'bing 艾斯林氏病
'ai'wen'si'zong'he'zheng 埃文斯综合征
'ai'xing'nao'bai'zhi'bing 癌性脑白质病
'ai'xing'nao'bing 癌性脑病
'ai'xing'nao'mo'yan 癌性脑膜炎
'ai'xing'xin'bao'ji'ye 癌性心包积液
'ai'yuan'xing'shen'jing'bing 癌原性神经病
'ai'zheng'xing'e'bing'zhi 癌症性恶病质
'ai'zi'bing 艾滋病
'ai'zi'bing'xiang'guan'fu'he'zheng 艾滋病相关复合征
'an'bi 鞍鼻
'an'bian'qing'mei'su'guo'min'fan'ying 氨卞青霉素过敏反应
'an'bu'nao'mo'liu 鞍部脑膜瘤
'an'cha'jian'yao'wu'fan'ying 氨茶碱药物反应
'an'cha'jian'yi'wai'zhong'du 氨茶硷意外中毒
'an'de'sen'shi'bing 安德森氏病
'an'de'wu'de'shi'bing 安德伍德氏病
'an'ding'ji'yi'wai'zhong'du 安定剂意外中毒
'an'ding'ji'zhong'du 安定剂中毒
'an'ding'ji'zi'sha 安定剂自杀
'an'ding'yi'wai'zhong'du 安定意外中毒
'an'ding'zhong'du'yuan'yin'bu'ming 安定中毒原因不明
'an'ge'nao'mo'liu 鞍膈脑膜瘤
'an'ji'bi'lin'yao'wu'fan'ying 氨基吡林药物反应
'an'ji'bi'lin'yi'wai'zhong'du 氨基比林意外中毒
'an'ji'dai'lei'kang'jun'su'yao'wu'fan'ying 氨基甙类抗菌素药物反应
'an'ji'suan'bing 氨基酸病
'an'ji'suan'dai'xie'wen'luan 氨基酸代谢紊乱
'an'ji'suan'dai'xie'zhang'ai 氨基酸代谢障碍
'an'ji'suan'niao 氨基酸尿
'an'ji'suan'que'fa 氨基酸缺乏
'an'ji'suan'que'fa'xing'pin'xue 氨基酸缺乏性贫血
'an'ji'yi'chun'niao 氨基乙醇尿
'an'jie'jie'nao'mo'liu 鞍结节脑膜瘤
'an'mian'tong'yi'wai'zhong'du 安眠酮意外中毒
'an'mian'tong'zi'sha 安眠酮自杀
'an'mian'yao'wu'yin 安眠药物瘾
'an'mian'yao'yi'wai'zhong'du 安眠药意外中毒
'an'mian'yao'zhong'du'yuan'yin'bu'ming 安眠药中毒原因不明
'an'mian'yao'zi'sha 安眠药自杀
'an'nai'jin'guo'min 安乃近过敏
'an'nai'jin'yao'wu'fan'ying 安乃近药物反应
'an'nai'jing'yi'wai'zhong'du 安乃静意外中毒
'an'ning'yi'wai'zhong'du 安宁意外中毒
'an'ning'zi'sha 安宁自杀
'an'qi'yi'wai'zhong'du 氨气意外中毒
'an'qu'bing'bian 鞍区病变
'an'qu'zhi'fang'liu 鞍区脂肪瘤
'an'shang'qu'e'xing'zhong'liu 鞍上区恶性肿瘤
'an'shui'shao'shang 氨水烧伤
'an'tan'yi'wai'zhong'du 安坦意外中毒
'an'tan'zi'sha 安坦自杀
'an'tong'ding'yao'wu'fan'ying 安痛定药物反应
'an'zhuang'fa'yin'niu 安装发音钮
'an'zhuang'ren'gong'er'wo'tiao'zheng'he'guan'li 安装人工耳蜗调整和管理
'an'zhuang'xin'zang'qi'bo'qi 安装心脏起搏器
'an'zhuang'xin'zang'qi'bo'qi'zhuang'tai 安装心脏起搏器状态
'ao'ben'hai'mu'shi'bing 奥本海姆氏病
'ao'ben'hai'mu'wu'er'ba'he'bing 奥本海姆乌尔巴赫病
'ao'di'shi'kuo'yue'ji'jing'luan 奥狄氏扩约肌痉挛
'ao'di'shi'kuo'yue'ji'xia'zhai 奥狄氏括约肌狭窄
'ao'di'shi'kuo'yue'ji'yan 奥狄氏括约肌炎
'ao'er'bo'shi'zong'he'zheng 奥尔泊氏综合症
'ao'er'bo'te'shi'zong'he'zheng 奥尔波特氏综合征
'ao'er'bu'lai'te'mai'qiu'en'si'teng'bo'ge'shi'zong'he'zheng 奥尔布赖特麦丘恩斯滕伯格氏综合征
'ao'er'de'shi'zong'he'zheng 奥尔德氏综合征
'ao'fu'lun'bing 奥夫伦病
'ao'fu'zong'he'zheng 奥弗综合征
'ao'jia'chi'zhuang'jia 凹甲匙状甲
'ao'li'ai'shi'bing 奥利埃氏病
'ao'luo'pu'shen're 奥罗普什热
'ao'luo'ya're 奥罗亚热
'ao'meng'de'bing 奥蒙德病
'ao'ni'ang'ni'ang're 奥尼昂尼昂热
'ao'pi'ci'bing 奥皮茨病
'ao'si'gu'de'shi'la'te'gu'ruan'gu'bing'you'nian'xing 奥斯古德施拉特骨软骨病幼年型
'ao'si'ke'ge'zong'he'zheng 奥斯科格综合征
'ao'si'le'jie'jie 奥斯勒结节
'ao'si'le'wa'kai'shi'bing 奥斯勒瓦凯氏病
'ao'zhou'li'ke'ci'ti'ban'zhen're 澳洲立克次体斑疹热
'ba'bei'chong'bing 巴贝虫病
'ba'bi'tuo'lei'yao'wu'fan'ying 巴比妥类药物反应
'ba'bi'tuo'yan'lei'yi'wai'zhong'du 巴比妥盐类意外中毒
'ba'bi'tuo'yan'lei'zhong'du'yi'tu'bu'que'ding'de 巴比妥盐类中毒意图不确定的
'ba'bi'tuo'zhong'du 巴比妥中毒
'ba'de'ji'ya'li'er'shi'zong'he'zheng 巴德基亚里二氏综合征
'ba'di'gan'jun 巴蒂杆菌
'ba'duo'lin'shi'xian'nang'zhong 巴多林氏腺囊肿
'ba'duo'lin'xian 巴多林腺
'ba'duo'lin'xian'e'xing'zhong'liu 巴多林腺恶性肿瘤
'ba'duo'lin'xian'liang'xing'zhong'liu 巴多林腺良性肿瘤
'ba'er'gan'shen'bing'bian 巴尔干肾病变
'ba'er'tong'ti'bing 巴尔通体病
'ba'la'ke'er'xi'meng'si'bing 巴拉克尔西蒙斯病
'ba'lei'te'kui'yang 巴雷特溃疡
'ba'lun'si'pu'lang'shi'bing'hei'bu'la 巴伦斯普郎氏病黑布腊
'ba'luo'shi'bing'qi'de'er'bing 巴洛氏病奇德尔病
'ba'mao'kuang 拔毛狂
'ba'sen'ke'en'ci'wei'ge'bing'huo'zong'he'zheng 巴森科恩茨维格病或综合征
'ba'si'de'jun'bing 巴斯德菌病
'ba'te'zong'he'zheng 巴特综合征
'ba'teng'bing 巴滕病
'ba'xi'bao'xing'pin'xue 靶细胞性贫血
'ba'xi'tian'pao'chuang 巴西天疱疮
'ba'xi'zi're 巴西紫热
'ba'ya'chuang'kou'chu'xie 拔牙创口出血
'ba'ze'duo'bing 巴泽多病
'bai'ban 白斑
'bai'ban'bing 白斑病
'bai'dai'yi'chang 白带异常
'bai'dan'bai'niao 白蛋白尿
'bai'dan'bai'yi'chang 白蛋白异常
'bai'dian'bing 白点病
'bai'dian'feng 白癜风
'bai'hou 白喉
'bai'hou'dai'jun'zhe 白喉带菌者
'bai'hou'gan'ran'shang'kou 白喉感染伤口
'bai'hou'xing'bian'tao'ti'yan 白喉性扁桃体炎
'bai'hou'xing'duo'shen'jing'yan 白喉性多神经炎
'bai'hou'xing'hou'qi'guan'yan 白喉性喉气管炎
'bai'hou'xing'jie'mo'yan 白喉性结膜炎
'bai'hou'xing'mo'xing'hou'yan 白喉性膜性喉炎
'bai'hou'xing'mo'xing'xia'yan 白喉性膜性峡炎
'bai'hou'xing'xin'ji'yan 白喉性心肌炎
'bai'hou'xing'xin'nei'mo'yan 白喉性心内膜炎
'bai'hou'yi'miao'jie'zhong'fan'ying 白喉疫苗接种反应
'bai'hua'bing 白化病
'bai'ling're 白岭热
'bai'mei'su'yao'wu'fan'ying 白霉素药物反应
'bai'mei'su'zhong'du 白霉素中毒
'bai'nei'zhang 白内障
'bai'nei'zhang'shu'hou'bo'li'ti'zong'he'zheng 白内障术后玻璃体综合征
'bai'ri'ke 百日咳
'bai'ri'ke'he'bing'fei'yan 百日咳合并肺炎
'bai'sai'shi'zong'he'zheng 白塞氏综合征
'bai'se'ban'kuai'zhuang'wei'suo'zheng 白色斑块状萎缩症
'bai'se'fei'yan'xian'tian'xing'mei'du'de'fei'bu'bing'bian 白色肺炎先天性梅毒的肺部病变
'bai'se'kang'zhen 白色糠疹
'bai'wo'te'shi'zong'he'zheng 拜沃特氏综合征
'bai'xi'bao'bing 白细胞病
'bai'xi'bao'bu'zeng'duo'xing'xue'bing 白细胞不增多性血病
'bai'xi'bao'fen'lei'ji'shu'yi'chang 白细胞分类计数异常
'bai'xi'bao'jian'shao'zheng 白细胞减少症
'bai'xi'bao'ke'li'yi'chang 白细胞颗粒异常
'bai'xi'bao'sui'lie'xing'xue'guan'yan 白细胞碎裂性血管炎
'bai'xi'bao'zeng'duo'zheng 白细胞增多症
'bai'xian'shan'huai'ju 白线疝坏疽
'bai'xuan 白癣
'bai'xue'bing 白血病
'bai'xue'bing'ge'ren'shi 白血病个人史
'bai'xue'bing'jia'zu'shi 白血病家族史
'bai'xue'bing'qian'qi'zong'he'zheng 白血病前期综合征
'bai'xue'bing'xing'guan'jie'bing 白血病性关节病
'bai'xue'bing'xing'wang'zhuang'nei'pi'xi'bao'zeng'duo'zheng 白血病性网状内皮细胞增多症
'bai'xue'bing'xing'xiu'ke 败血病性休克
'bai'xue'bing'yang'fan'ying 白血病样反应
'bai'xue'zheng 败血症
'bai'xue'zheng'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 败血症并发于妊娠分娩和产褥期
'bai'xue'zheng'xing'shu'yi 败血症性鼠疫
'bai'xue'zheng'you'yu'zhu'ru'ren'nai 败血症由于注入人奶
'bai'zhi'hui'zhi'xing'nao'bing 白质灰质性脑病
'ban'ao'pi'yan 斑螯皮炎
'ban'ceng'zhuang'yu'lin'bing 板层状鱼鳞病
'ban'dian'zhuang'pi'fu'wei'suo 斑点状皮肤萎缩
'ban'gui'guan'lou 半规管瘘
'ban'gui'guan'qing'tan 半规管轻瘫
'ban'hen 瘢痕
'ban'hen'ge'da 瘢痕疙瘩
'ban'hen'ji'xing 瘢痕畸形
'ban'hen'liu'xing'ya'sheng'jun'bing 瘢痕瘤性芽生菌病
'ban'hen'luan'suo 瘢痕挛缩
'ban'hen'xing'dao'jie 瘢痕性倒睫
'ban'hen'xing'jian'nei'fan 瘢痕性睑内翻
'ban'hen'xing'tuo'fa 瘢痕性脱发
'ban'hen'xing'yan'xia'zhai 瘢痕性咽狭窄
'ban'hen'xing'you'men'geng'zu 瘢痕性幽门梗阻
'ban'hen'zhan'lian'yin'qi'de'xie'shi 瘢痕粘连引起的斜视
'ban'hen'zu'zhi'xiu'fu 瘢痕组织修复
'ban'hun'mi 半昏迷
'ban'ji'zhuang'zhi 扳机状指
'ban'ji'zhui'ji'xing'rong'he'ban'you'ji'zhui'ce'tu 半脊椎畸形融合伴有脊椎侧凸
'ban'jia'shi'zhi'zhao'jie'shou'de'jian'cha 办驾驶执照接受的检查
'ban'kuai'zhuang'niu'pi'xuan 斑块状牛皮癣
'ban'mao'yi'wai'zhong'du 斑蝥意外中毒
'ban'mo'qie'kai'shu'hou'zong'he'zheng 瓣膜切开术后综合征
'ban'mo'zhi'huan'shu'hou'xin'zang'ban'mo'shuai'jie 瓣膜置换术后心脏瓣膜衰竭
'ban'ru'tang'ji'mei'que'fa 半乳糖激酶缺乏
'ban'ru'tang'xue'zheng 半乳糖血症
'ban'se'tai 斑色胎
'ban'shen'bu'sui'pian'tan 半身不遂偏瘫
'ban'shen'shui'zhong 半身水肿
'ban'shi'si'chong'bing 班氏丝虫病
'ban'shi'xiang'pi'tui 班氏象皮腿
'ban'ti'shi'zong'he'zheng 班替氏综合征
'ban'tou'ming'hong'mo 半透明虹膜
'ban'tu 斑秃
'ban'you'bing'zheng 斑釉病症
'ban'you'pi'ceng'xia'geng'se'he'bai'zhi'nao'bing'de'da'nao'chang'ran'se 伴有皮层下梗塞和白质脑病的大脑常染色
'ban'you'wei'xiang 伴有危象
'ban'you'xue'guan'que'xian 伴有血管缺陷
'ban'yue'ban'gai'hua 半月板钙化
'ban'yue'ban'ji'huan 半月板疾患
'ban'yue'ban'sun'shang 半月板损伤
'ban'yue'gu'gu'zhe 半月骨骨折
'ban'yue'xian'shan 半月线疝
'ban'zhen're 斑疹热
'ban'zhen'shang'han 斑疹伤寒
'ban'zhen'xing'ma'feng 斑疹性麻风
'ban'zhuang'kang'zhen 斑状糠疹
'ban'zhuang'lei'yin'xie'bing 斑状类银屑病
'ban'zhui'ti'ji'xing 半椎体畸形
'bang'huo'xing'wei'guan'cha 帮伙行为观察
'bao'chong'bing'ji'qiu'you'bing 包虫病棘球蚴病
'bao'en'bing 鲍恩病
'bao'fa'xing'fei'yan 暴发性肺炎
'bao'fa'xing'gan'yan'ji'xing'zhong'zheng'gan'yan 暴发性肝炎急性重症肝炎
'bao'fa'xing'huo'luan 暴发型霍乱
'bao'fa'xing'li'ji 暴发型痢疾
'bao'fa'xing'nao'mo'yan'qiu'jun'nao'mo'nao'yan 暴发性脑膜炎球菌脑膜脑炎
'bao'fa'xing'zi'dian 暴发性紫癜
'bao'guo'xing'qi'xiong 包裹性气胸
'bao'guo'xing'xin'bao'ji'ye 包裹性心包积液
'bao'guo'xing'xiong'mo'yan 包裹性胸膜炎
'bao'guo'xing'xiong'qiang'ji'ye 包裹性胸腔积液
'bao'jing 包茎
'bao'lin'ba'liu 胞淋巴瘤
'bao'liu 保留
'bao'lu'xing'jiao'mo'jie'mo'yan 暴露性角膜结膜炎
'bao'lu'yu'bu'liang'huan'jing'yin'qi'de'shuai'jie 暴露于不良环境引起的衰竭
'bao'lu'yu'fu'she'de'wen'ti 暴露于辐射的问题
'bao'lu'yu'kong'qi'wu'ran'de'wen'ti 暴露于空气污染的问题
'bao'lu'yu'qi'ta'wu'ran'de'wen'ti 暴露于其他污染的问题
'bao'lu'yu'shui'wu'ran'de'wen'ti 暴露于水污染的问题
'bao'lu'yu'tu'rang'wu'ran'de'wen'ti 暴露于土壤污染的问题
'bao'lu'yu'zai'hai'zhan'zheng'he'qi'ta'di'dui'xing'wei'wen'ti 暴露于灾害战争和其他敌对行为问题
'bao'lu'yu'zao'yin'de'wen'ti 暴露于噪音的问题
'bao'luo 鲍洛
'bao'mu'jia'teng'ke'lv'wei'ye'gan'ying'bian 鲍姆加滕克吕韦耶肝硬变
'bao'pi'ban'hen 包皮瘢痕
'bao'pi'e'xing'zhong'liu 包皮恶性肿瘤
'bao'pi'gui'tou'yan 包皮龟头炎
'bao'pi'guo'chang 包皮过长
'bao'pi'guo'jin 包皮过紧
'bao'pi'kui'yang 包皮溃疡
'bao'pi'liang'xing'zhong'liu 包皮良性肿瘤
'bao'pi'nang'zhong 包皮囊肿
'bao'pi'qian'dun 包皮嵌顿
'bao'pi'yan 包皮炎
'bao'pi'zhan'lian 包皮粘连
'bao'rao'xing'gao'wan'shui'nang'zhong 包绕性睾丸水囊肿
'bao'rao'xing'qiao'mo'ji'ye 包绕性鞘膜积液
'bao'shi'zhi'he'jun'li'ji 鲍氏志贺菌痢疾
'bao'zha'xing'er'long'sheng'chuang'shang'xing'long 爆炸性耳聋声创伤性聋
'bao'zi'si'jun'bing 孢子丝菌病
'bei'ai'fan'ying 悲哀反应
'bei'bei'xing'ren'ge'zhang'ai 悖备型人格障碍
'bei'bu'bing 背部病
'bei'bu'cuo'shang 背部挫伤
'bei'bu'gan'ran'xing'dou'dao 背部感染性窦道
'bei'bu'ji'zhu'lie 背部脊柱裂
'bei'bu'ji'zhu'lie'ban'you'nao'ji'shui 背部脊柱裂伴有脑积水
'bei'bu'jiao'jie'e'xing'zhong'liu 背部交界恶性肿瘤
'bei'bu'jie'di'zu'zhi'liang'xing'zhong'liu 背部结缔组织良性肿瘤
'bei'bu'kai'fang'xing'shang'kou 背部开放性伤口
'bei'bu'nong'zhong 背部脓肿
'bei'bu'pi'fu'liang'xing'zhong'liu 背部皮肤良性肿瘤
'bei'bu'ruan'zu'zhi'sun'shang 背部软组织损伤
'bei'bu'yong 背部痈
'bei'dong'gong'ji'xing'ren'ge'zhang'ai 被动攻击型人格障碍
'bei'dong'xing'fei'shui'zhong 被动性肺水肿
'bei'dong'xing'fei'yan 被动性肺炎
'bei'dong'xing'ren'ge'zhang'ai 被动型人格障碍
'bei'dong'xing'shen'chong'xue 被动性肾充血
'bei'er'ci'shi'bing 贝尔茨氏病
'bei'er'lin'bing'chuang'shang'xing 贝尔林病创伤性
'bei'er'na'su'li'ye'ju'da'xue'xiao'ban 贝尔纳苏利耶巨大血小板
'bei'er'shi'ma'bi 贝尔氏麻痹
'bei'feng'wo'zu'zhi'yan 背蜂窝组织炎
'bei'ge'er'shi'gan'jue'yi'chang'qing'nian'ren'xia'zhi'gan'jue'yi'chang 贝格尔氏感觉异常青年人下肢感觉异常
'bei'he'qie'te'wai'yin'kui'yang'ji'xing'gan'ran'xing 贝赫切特外阴溃疡急性感染性
'bei'hu'shi'huo'yi'qi 被忽视或遗弃
'bei'kai'fang'xing'shang'kou'ban'gan'ran 背开放性伤口伴感染
'bei'ke'er'xing'ying'yang'bu'liang 贝克尔型营养不良
'bei'ke'nang'zhong 贝克囊肿
'bei'ke'wei'en'wei'de'man'zong'he'zheng 贝克威恩威德曼综合征
'bei'miao'shu'wei'fei'fu'jia'yu'chi'dai'de'zhan'wang 被描述为非附加于痴呆的谵妄
'bei'nei'te'shi'gu'zhe 贝内特氏骨折
'bei'ni'ye'yang'zhen 贝尼耶痒疹
'bei'nuo'zhi'zhong'du 贝诺酯中毒
'bei'pi'fu'e'xing'zhong'liu 背皮肤恶性肿瘤
'bei'qie'te'shi'zong'he'zheng 贝切特氏综合征
'bei're'long'shi'bing 贝热隆氏病
'bei'si'te'shi'bing 贝斯特氏病
'bei'te'man'shi'bing 贝特曼氏病
'bei'tong 背痛
'bei'xiong'ji'sui'sun'shang 背胸脊髓损伤
'bei'ya'er'jie'mo'yan 贝亚尔结膜炎
'ben'an'de'du'xing'xiao'ying 苯胺的毒性效应
'ben'ba'bi'tuo'yi'wai'zhong'du 苯巴比妥意外中毒
'ben'ba'bi'tuo'zi'sha 苯巴比妥自杀
'ben'bing'an'lei'yao'wu'yin 苯丙胺类药物瘾
'ben'bing'an'yi'wai'zhong'du 苯丙胺意外中毒
'ben'bing'tong'niao'zheng 苯丙酮尿症
'ben'er'dan'zhuo'an'ding'zhong'du 苯二氮卓安定中毒
'ben'fen'yi'wai'zhong'du 苯酚意外中毒
'ben'lei'zhong'du'yi'tu'bu'que'ding'de 苯类中毒意图不确定的
'ben'ma'xin'lv 奔马心律
'ben'men'e'xing'zhong'liu 贲门恶性肿瘤
'ben'men'geng'zu 贲门梗阻
'ben'men'jiao'jie'e'xing'zhong'liu 贲门交界恶性肿瘤
'ben'men'kou'mi'lan 贲门口糜烂
'ben'men'kui'yang 贲门溃疡
'ben'men'kui'yang'ban'ji'xing'chu'xie 贲门溃疡伴急性出血
'ben'men'liang'xing'zhong'liu 贲门良性肿瘤
'ben'men'lin'ba'jie'ji'fa'e'xing'zhong'liu 贲门淋巴结继发恶性肿瘤
'ben'men'shi'chi'huan'ben'men'jing'luan 贲门失弛缓贲门痉挛
'ben'men'song'chi 贲门松驰
'ben'men'sun'shang 贲门损伤
'ben'men'xue'guan'liu 贲门血管瘤
'ben'men'yan 贲门炎
'ben'sen'shi'bing 本森氏病
'ben'si'qiong'si'dan'bai'niao 本斯琼斯蛋白尿
'ben'tong'niao'zheng 苯酮尿症
'ben'tuo'ying'na'yao'wu'fan'ying 苯妥英纳药物反应
'ben'tuo'ying'na'yi'wai'zhong'du 苯妥英纳意外中毒
'ben'xing'lu'lie 本性颅裂
'ben'yi'pai'ding'tong'lei'yi'wai'zhong'du 苯乙哌啶酮类意外中毒
'ben'yi'wai'zhong'du 苯意外中毒
'ben'zhuo'er'tong'zong'he'zheng 笨拙儿童综合征
'bi'ao'ban'jiao'mo'ban'you'wei'sheng'su'que'fa'zheng 比奥斑角膜伴有维生素缺乏症
'bi'bao'zi'chong'bing 鼻孢子虫病
'bi'bei'xue'guan'liu 鼻背血管瘤
'bi'bing'du'gan'ran 鼻病毒感染
'bi'bing'du'yin'qi'de'ji'xing'zhi'qi'guan'yan 鼻病毒引起的急性支气管炎
'bi'bu'cuo'gou'liu 鼻部错构瘤
'bi'bu'gan'ran 鼻部感染
'bi'bu'jie 鼻部疖
'bi'bu'lou'guan 鼻部瘘管
'bi'bu'nang'zhong 鼻部囊肿
'bi'bu'nong'zhong 鼻部脓肿
'bi'bu'pi'fu'e'xing'zhong'liu 鼻部皮肤恶性肿瘤
'bi'bu'pi'fu'jiao'jie'e'xing'zhong'liu 鼻部皮肤交界恶性肿瘤
'bi'bu'pi'fu'liang'xing'zhong'liu 鼻部皮肤良性肿瘤
'bi'bu'yong 臂部痈
'bi'bu'yong 鼻部痈
'bi'bu'zhong'wu 鼻部肿物
