'a'li'shan'long'dan 阿里山龙胆
'gu'ting'hua 孤挺花
'gua'li 瓜栗
'gua'ye'ju 瓜叶菊
'gua'zi'jin 瓜子金
'guan'shang'jiao 观赏椒
'guan'ye'ren'dong 贯叶忍冬
'guan'yin'zhu 观音竹
'guang'dong'wan'nian'qing 广东万年青
'guang'gun'shu 光棍树
'guang'he'tao 光核桃
'guang'huo'xiang 广藿香
'guang'yu'lan 广玉兰
'gui'bei'zhu 龟背竹
'gui'hua 桂花
'gui'jia'long 龟甲龙
'gui'jian'jin'ji'er 鬼箭锦鸡儿
'gui'jiao'zi 鬼角子
'gui'qing'yu 贵青玉
'gui'wen'mu'mian 龟纹木棉
'gui'zhu'xiang 桂竹香
'guo'shou'xiang 过手香
'ha'mi'gua 哈密瓜
'hai'jiao'ying'cao 海角樱草
'hai'tang'hua 海棠花
'hai'tong 海桐
'hai'yu 海芋
'hai'zhou'chang'shan 海州常山
'han'cai 旱菜
'han'guo'cao 韩国草
'han'jin'lian 旱金莲
'han'xiao 含笑
'han'xiu'cao 含羞草
'he'ban'qie'lan 褐斑伽蓝
'he'bao'mu'dan 荷包牡丹
'he'bu'jing'tian 何布景天
'he'guo'yu 合果芋
'he'hua 荷花
'he'hua'mu'lan 荷花木兰
'he'huan 合欢
'he'shi 鹤虱
'he'shi'feng'xian 何氏凤仙
'he'tao 核桃
'he'ye'zhu'ye'lan 禾叶竹叶兰
'he'zi 诃子
'hei'fa'shi 黑法师
'hei'rui'lao'guan'cao 黑蕊老鹳草
'hei'yan'ju 黑眼菊
'hong'dou'kou 红豆蔻
'hong'guo'zai 红果仔
'hong'hua 红花
'hong'hua'cong'lan 红花葱兰
'hong'hua'shan'qian'niu 红花山牵牛
'hong'hua'shi'suan 红花石蒜
'hong'hua'zuo'jiang'cao 红花酢浆草
'hong'jiang'hua 红姜花
'hong'jiao 红蕉
'hong'long'gu 红龙骨
'hong'nu'tao 红怒涛
'hong'qian'ceng 红千层
'hong'que'shan'hu 红雀珊瑚
'hong'sang 红桑
'hong'si'jiang'hua 红丝姜花
'hong'ye'zhi'qiu 红叶之秋
'hong'zi'gui'zhu'xiang 红紫桂竹香
'hou'ban'du'juan 喉斑杜鹃
'hou'ye'que'she'lan 厚叶雀舌兰
'hu'ci'mei 虎刺梅
'hu'di'xiao 忽地笑
'hu'die'hua 蝴蝶花
'hu'die'lan 蝴蝶兰
'hu'die'shi'hu 蝴蝶石斛
'hu'die'xi'zhu'hua 蝴蝶戏珠花
'hu'er'cao 虎耳草
'hu'er'lan 虎耳兰
'hu'wei'lan 虎尾兰
'hu'yan'wan'nian'qing 虎眼万年青
'hu'ye'tie'xian'lian 互叶铁线莲
'hua'ju'hong 化橘红
'hua'li'jing'tian 华丽景天
'hua'li'long'dan 华丽龙胆
'hua'ye'ai'zhi'man 花叶爱之蔓
'hua'yue'ye 花月夜
'hua'zhong'wu'wei'zi 华中五味子
'huai'mi 槐米
'huan'die'man 幻蝶蔓
'huan'jin'hua 换锦花
'huang'bei'du'juan 黄杯杜鹃
'huang'chan 黄蝉
'huang'chan'lan 黄蝉兰
'huang'chang'pu 黄菖蒲
'huang'ci'mei 黄刺玫
'huang'hua'feng'xian'hua 黄花凤仙花
'huang'hua'he'ding'lan 黄花鹤顶兰
'huang'hua'hu'ma 黄花胡麻
'huang'hua'zuo'jiang'cao 黄花酢酱草
'huang'jing'zi 黄荆子
'huang'jiu'lan 黄韭兰
'huang'lian'mu 黄连木
'huang'mao'zhang 黄毛掌
'huang'qiu'kui 黄秋葵
'huang'shan'zi'jing 黄山紫荆
'huang'shu'kui 黄蜀葵
'huang'xue'guang 黄雪光
'hui'mao'ma'xian'hao 喙毛马先蒿
'huo'ba'hua 火把花
'huo'hong'du'juan 火红杜鹃
'huo'ji 火棘
'huo'ji 火祭
'huo'jian'feng'li 火剑凤梨
'huo'ju'hua 火炬花
'huo'ma'ren 火麻仁
'huo'xiang 藿香
'huo'xiang'ye'lv'rong'hao 藿香叶绿绒蒿
'huo'xing'hua 火星花
'huo'yang'le 火秧勒
'ji'cai 荠菜
'ji'dan'hua 鸡蛋花
'ji'feng'li 姬凤梨
'ji'guan'hua 鸡冠花
'ji'hua'shan'long'yan 蓟花山龙眼
'ji'li 疾藜
'ji'shi'teng 鸡矢藤
'ji'xing'mei'ren 姬星美人
'jia'de'li'ya'lan 嘉德利亚兰
'jia'mo'li 假茉莉
'jia'peng'jia'jian'cao 架棚假俭草
'jia'tan'hua 假昙花
'jia'tu'jin'ju 假吐金菊
'jia'zhu'tao 夹竹桃
'jian'lan 建兰
'jian'ma 剑麻
'jian'zi'mu 尖子木
'jiang'hua 姜花
'jiang'jun 将军
'jiang'jun'ge 将军阁
'jiang'xiang 降香
'jiao'gu'lan 绞股蓝
'jie'gu'mu 接骨木
'jie'sui'liao 睫穗蓼
'jie'xiang'hua 结香花
'jin'bian'duan'ye'hu'wei'lan 金边短叶虎尾兰
'jin'bian'feng'li 金边凤梨
'jin'bian'fu'gui'zhu 金边富贵竹
'jin'bian'hu'wei'lan 金边虎尾兰
'jin'bian'long'she'lan 金边龙舌兰
'jin'bian'qian'shou'lan 金边千手兰
'jin'bian'shi'chang'pu 金边石菖蒲
'jin'dai'hua 锦带花
'jin'deng'long 锦灯笼
'jin'feng'hua 金凤花
'jin'gu'cao 筋骨草
'jin'hong'hua 金红花
'jin'hu 金琥
'jin'hua'cha 金花茶
'jin'huang'cui'shuo'bao'chun 金黄脆蒴报春
'jin'ji'ju 金鸡菊
'jin'lian'hua 金莲花
'jin'lu'hua 金露花
'jin'mai'dan'yao'hua 金脉单药花
'jin'mai'jue'chuang 金脉爵床
'jin'mai'yuan'wei 金脉鸢尾
'jin'qian'cao 金钱草
'jin'xin'hu'tui'zi 金心胡颓子
'jin'xin'xiang'long'xue'shu 金心香龙血树
'jin'yin'hua 金银花
'jin'ying'zi 金樱子
'jin'yu'ju 金玉菊
'jin'zhan'ju 金盏菊
'jing'jie 荆芥
'jing'mian'cao 镜面草
'jing'tian 景天
'jing'tian'san'qi 景天三七
'jiu'li'xiang 九里香
'jiu'lun'ta 九轮塔
'jiu'ping'lan 酒瓶兰
'ju'hua 菊花
'ju'hua'tao 菊花桃
'ju'san'zhong'bao'chun 巨伞钟报春
'ju'shui 菊水
'ju'ye'sui'hua'bao'chun 菊叶穗花报春
'ju'ye'tu'chuang'hua 苣叶秃疮花
'ju'zi'jing 巨紫荆
'juan'qiao'yuan'wei 卷鞘鸢尾
'juan'ye'huang'jing 卷叶黄精
'jue'ma'wei'ling'cai 蕨麻委陵菜
'jun'zi'lan 君子兰
'ka'te'lan 卡特兰
'kang'nai'xin 康乃馨
'kong'que'cao 孔雀草
'kong'que'mu 孔雀木
'kong'xin'lian'zi'cao 空心莲子草
'kou'hong'hua 口红花
'ku'mu 苦木
'kuai'dao'luan'ma 快刀乱麻
'kuan'lie'zhang'ye'bao'chun 宽裂掌叶报春
'kuan'ye'diao'lan 宽叶吊兰
'kuan'ye'luo'di'sheng'gen 宽叶落地生根
'kuan'ye'xian'nv'mu 宽叶仙女木
'kuan'zhu'yuan'wei 宽柱鸢尾
'kui'yan'nan'xing 盔檐南星
'kuo'ban'jia'lan 阔瓣嘉兰
'kuo'ye'da'shi'gong'lao 阔叶大十功劳
'la'ba'shui'xian 喇叭水仙
'la'ban'hua 蜡瓣花
'la'kang'long'dan 拉康龙胆
'la'mei 腊梅
'la'mu 辣木
'la'sa'xiao'bo 拉萨小檗
'lan'ci'tou 蓝刺头
'lan'hua 兰花
'lan'yu'zan'long'dan 蓝玉簪龙胆
'lao'hu'xu 老虎须
'li'zhi'cao 荔枝草
'lian'hua'cao 莲花草
'lian'qian'cao 连钱草
'lian'qiao 连翘
'liang'tian'chi 量天尺
'lie'dang 列当
'lie'mao'xue'shan'du'juan 裂毛雪山杜鹃
'lie'mo'man'long'dan 裂膜蔓龙胆
'lin'bi'ze'mi'tie 鳞秕泽米铁
'lin'xian'du'juan 鳞腺杜鹃
'lin'zhi'bao'chun'hua 林芝报春花
'lin'zhi'du'juan 林芝杜鹃
'ling'jian'cha'hua 令箭茶花
'ling'jian'he'hua 令箭荷花
'ling'lan 铃兰
'ling'xiao 凌霄
'liu'chu'hua 六出花
'liu'lan 柳兰
'liu'lan'xiang 留兰香
'liu'tiao'du'juan 柳条杜鹃
'long'bai 龙柏
'long'chuan'hua 龙船花
'long'feng'mu'dan 龙凤牡丹
'long'gu 龙骨
'long'kui 龙葵
'long'nv'hua 龙女花
'long'she'lan 龙舌兰
'long'tu'zhu 龙吐珠
'long'yan 龙眼
'lou'dou'cai 耧斗菜
'lu'hui 芦荟
'lu'jiao'hai'tang 鹿角海棠
'lu'jiao'jue 鹿角蕨
'lu'lu'tong 路路通
'lu'ying 陆英
'luan'e'hong'jing'tian 卵萼红景天
'luan'e'hua'mao 卵萼花锚
'luo'bo'qin'jiao 萝卜秦艽
'luo'han'guo 罗汉果
'luo'han'song 罗汉松
'luo'kui 落葵
'ma'bian'cao 马鞭草
'ma'chi'xian'shu 马齿苋树
'ma'dou'ling 马兜铃
'ma'huang 麻黄
'ma'la'ba'li 马拉巴栗
'ma'ti'lian 马蹄莲
'ma'ye'qiu'hai'tang 蟆叶秋海棠
'ma'ye'xiu'qiu 麻叶绣球
'man'jing'zi 蔓荆子
'mao'han'shi'er'juan 毛汉十二卷
'mao'hua'ren'dong 毛花忍冬
'mao'kui'ma'xian'hao 毛盔马先蒿
'mao'mei 茅莓
'mao'she'xiang 毛麝香
'mao'ye'lian'hua'zhang 毛叶莲花掌
'mao'ye'shan'mei'hua 毛叶山梅花
'mei'hua 梅花
'mei'li'leng'zi'qin 美丽棱子芹
'mei'nv'ying 美女樱
'mei'ren'jiao 美人蕉
'mei'zi 梅子
'mi'meng'hua 密蒙花
'mian'ci'tou'ju 绵刺头菊
'mian'tou'ji 绵头蓟
'ming'zha 冥楂
'mo'han'lian 墨旱莲
'mo'li 茉莉
'mo'tuo'yu'ye'jin'hua 墨脱玉叶金花
'mu'lan'du'juan 木兰杜鹃
'mu'ping'zi'jin 穆坪紫堇
'na'li'hua 纳里花
'nan'mei'shui'xian 南美水仙
'nan'tian'zhu 南天竹
'nan'yang'sha 南洋杉
'nao'yang'hua 闹羊花
'ni'bo'er'xiang'qing 尼泊尔香青
'ni'qiu'zhang 泥鳅掌
'niao'yu'yu 鸟羽玉
'nie'la'mu'du'huo 聂拉木独活
'niu'bang'zi 牛蒡子
'niu'dun'cao 牛顿草
'nong'xiang'tan'chun 浓香探春
'nuo'mi'tiao 糯米条
'nv'zhen'zi 女贞子
'ou'zhou'wei'mao 欧洲卫矛
'ou'zhou'yin'lian'hua 欧洲银莲花
'pa'shan'hu 爬山虎
'pang'xie'jia 螃蟹甲
'pao'tong'hua 泡桐花
'pao'zhang'hua 炮仗花
'pei'lan 佩兰
'pen'huo'long 喷火龙
'peng'lai'zhen 蓬莱珍
'peng'qi'ju 蟛蜞菊
'pi'er'xun'jin'ling 皮尔逊金铃
'pi'jiu'hua 啤酒花
'pi'pa'ping'guo 枇杷苹果
'ping'er'xiao'cao 瓶耳小草
'ping'zhi'xun'zi 平枝栒子
'pu'bao'hua 蒲包花
'pu'di'xiao'ye'jin'lu'mei 铺地小叶金露梅
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'tao 葡萄
'pu'tao'feng'xin'zi 葡萄风信子
'pu'ti'hua 菩提花
'pu'ti'shu 菩提树
'qi'lin'hua 麒麟花
'qi'qiu'hua 气球花
'qi'ye'lian 七叶莲
'qi'ye'shu 七叶树
'qi'ye'yi'zhi'hua 七页一枝花
'qian'li'guang 千里光
'qian'ma'ye'feng'xian'hua 荨麻叶凤仙花
'qian'qu'cai 千屈菜
'qian'ri'hong 千日红
'qiang'wei 蔷薇
'qiao'huang'lu 俏黄芦
'qin'ye'xi'lin'yu 琴叶喜林芋
'qing'guo 青果
'qing'hao 青蒿
'qing'ma 青麻
'qing'shan'hu 青珊瑚
'qing'suo'long 青锁龙
'qiong'hua 琼花
'qiu'gen'qiu'hai'tang 球根秋海棠
'qiu'hai'tang 秋海棠
'qiu'hua'ma'lan 球花马蓝
'qiu'kui 秋葵
'qiu'shui'xian 秋水仙
'qiu'ye'ju 秋叶菊
'qu'mai 瞿麦
'qu'qing'lian 趣情莲
'qu'xu'nan'xing 曲序南星
'quan'yuan'ye'lv'rong'hao 全缘叶绿绒蒿
'que'she'huang'yang 雀舌黄杨
'que'ye'zhong'bao'chun 缺叶钟报春
'ri'ben'mao'yu'lan 日本毛玉兰
'rong'mao'zhang 绒毛掌
'rong'shu 榕树
'rong'ye'xi'lin'yu 绒叶喜林芋
'rou'sui'ye'mu'dan 肉穗野牡丹
'ru'qie 乳茄
'ru'tu'zi'bei'du'juan 乳突紫背杜鹃
'rui'xiang 瑞香
'rui'yun 瑞云
'san'bai'cao 三白草
'san'hua'du'juan 三花杜鹃
'san'jian'gua'lou 三尖栝楼
'san'jiao'hua 三角花
'san'leng'xia'ji'lan 三棱虾脊兰
'san'lin'du'juan 散鳞杜鹃
'san'se'jin 三色堇
'san'se'long'xue'shu 三色龙血树
'san'sui'huang'jin 散穗黄堇
'san'wei'kui 散尾葵
'san'ye'gui'zhen'cao 三叶鬼针草
'san'zhe'xia'ji'lan 三褶虾脊兰
'sang'shu 桑树
'sao'si'hua 缫丝花
'sen'shi'du'juan 森氏杜鹃
'sha'ji 沙棘
'sha'mo'mei'gui 沙漠玫瑰
'shan'cha'hua 山茶花
'shan'di'dou 山地豆
'shan'fu'rong 山芙蓉
'shan'hu'ci'tong 珊瑚刺桐
'shan'hu'hua 珊瑚花
'shan'hu'shu 珊瑚树
'shan'hu'teng 珊瑚藤
'shan'ju'xue'lin'zhi 山居雪林芝
'shan'mei'hua 山梅花
'shan'ye'pu'kui 扇叶蒲葵
'shan'ye'tie'xian'jue 扇叶铁线蕨
'shan'yin'hua 山银花
'shan'ying'quan 山影拳
'shan'yu'du'juan 山育杜鹃
'shan'yu'lan 山玉兰
'shan'zha 山楂
'shan'zhu'yu 山茱萸
'shao'dui'e'mei'qiang'wei 少对峨嵋蔷薇
'shao'yao 芍药
'she'bian'ju 蛇鞭菊
'she'chuang'zi 蛇床子
'she'mei 蛇莓
'sheng'shi'hua 生石花
'shi'di 柿蒂
'shi'feng'du'juan 石峰杜鹃
'shi'jian'cao 石碱草
'shi'liu 石榴
'shi'zi 柿子
'shou'cao 绶草
'shu'hua'shi'hu 束花石斛
'shu'jing'zi'shao 蜀秔子梢
'shu'kui 蜀葵
'shu'qu'cao 鼠曲草
'shu'qu'jiu 鼠麴舅
'shu'wei'zhang 鼠尾掌
'shuang'sui'que 双穗雀
'shui'fei'ji 水飞蓟
'shui'gui'jiao 水鬼蕉
'shui'hong'hua'zi 水红花子
'shui'jing'lan 水晶兰
'shui'lian 睡莲
'shui'ta'hua 水塔花
'shui'xian 水仙
'shui'yang'mei 水杨梅
'shuo'hua'ma'xian'hao 硕花马先蒿
'si'ji'hai'tang 四季海棠
'song'hua'fen 松花粉
'song'mao'cui 松毛翠
'song'shu'wei 松鼠尾
'song'xia 松霞
'song'zhu'cao 松竹草
'su'gen'fu'lu'kao 宿根福禄考
'su'mu 苏木
'su'tie 苏铁
'tai'wan'bai'he 台湾百合
'tai'wan'cai 台湾菜
'tai'wan'ji'ji 台湾及己
'tai'wan'li'lu 台湾藜芦
'tai'wan'shui'ya'jiao 台湾水鸭脚
'tai'wan'tian'nan'xing 台湾天南星
'tai'wan'xiao'ye'hua 台湾笑靥花
'tai'wan'yi'ye'lan 台湾一叶兰
'tan'hua 昙花
'tan'xiang 檀香
'tang'chang'pu 唐菖蒲
'tang'jie 糖芥
'tao'er'qi 桃儿七
'tao'hua 桃花
'tao'jin'niang 桃金娘
'tao'ye'shan'hu 桃叶珊瑚
'tao'zi 桃子
'tian'hu'sui 天胡荽
'tian'lan'long'dan 天蓝龙胆
'tian'men'dong 天门冬
'tie'xian'cai 铁苋菜
'tie'xian'cao 铁线草
'tie'xian'lian 铁线莲
'tou'zhuang'si'zhao'hua 头状四照花
'tu'ding'gui 土丁桂
'tu'er'cai 兔儿菜
'tuan'ye'yue'ju 团叶越桔
'tuan'yu'tie'xian'jue 团羽铁线蕨
'wa'song 瓦松
'wen'shu'lan 文殊兰
'wu'cai'hong'xing 五彩红星
'wu'jiu 乌臼
'wu'lian'mei 乌蔹莓
'wu'mao'jue 乌毛蕨
'wu'se'hai'tang'wu'wei'zi 五色海棠五味子
'wu'se'mei 五色梅
'wu'se'xian 五色苋
'wu'wang'cao 勿忘草
'wu'xin'shi 乌心石
'wu'zhao'jin'long 五爪金龙
'wu'zhen'song 五针松
'wu'zhu'yu 吴茱萸
'xi'ban'ya'yuan'wei 西班牙鸢尾
'xi'fan'lian 西番莲
'xi'fu'hai'tang 西府海棠
'xi'gua 西瓜
'xi'gua'pi'jiao'cao 西瓜皮椒草
'xi'ming 菥冥
'xi'nan'diao'lan 西南吊兰
'xi'nan'hua'qiu 西南花楸
'xi'pu'xie'lan 喜普鞋兰
'xi'shu'guo 喜树果
'xi'xian'cao 希莶草
'xi'zang'fen'bao'chun 西藏粉报春
'xi'zang'jin'ji'er 西藏锦鸡儿
'xi'zang'long'dan 西藏龙胆
'xi'zang'tie'xian'lian 西藏铁线莲
'xi'zang'wei'mao 西藏卫矛
'xia'e'feng'chui'xiao 狭萼风吹箫
'xia'ji'lan 虾脊兰
'xia'ku'cao 夏枯草
'xia'shui'xian 夏水仙
'xia'yi'hua 虾夷花
'xian'dan'hua 仙丹花
'xian'feng'cao 咸丰草
'xian'guo'da'ye'qiang'wei 腺果大叶蔷薇
'xian'he'cao 仙鹤草
'xian'ke'lai 仙客来
'xian'ren'bi 仙人笔
'xian'ren'zhang 仙人掌
'xian'ren'zhi 仙人指
'xian'ye'juan'mao'qiang'wei 腺叶绢毛蔷薇
'xian'ye'zuo'jiang'cao 腺叶酢浆草
'xiang'dou'kou 香豆蔻
'xiang'jiao 香蕉
'xiang'long'xue'shu 香龙血树
'xiang'nan'xing 象南星
'xiang'pi'shu 橡皮树
'xiang'ri'kui 向日葵
'xiang'si'shu 相思树
'xiang'xue'qiu 香雪球
'xiang'ya'hong 象牙红
'xiang'yuan 香橼
'xiao'cang'lan 小仓兰
'xiao'guo'zi'man 小果子蔓
'xiao'hua'long'she'lan 小花龙舌兰
'xiao'hui'xiang 小茴香
'xiao'ji 小蓟
'xiao'li'hua 小丽花
'xiao'mao'zhan'tai 小毛毡苔
'xiao'xia'hua 小虾花
'xiao'ye'hong'ye'teng 小叶红叶藤
'xiao'ye'xun'zi 小叶栒子
'xie'ye'xiu'xian'ju 楔叶绣线菊
'xie'zhao 蟹爪
'xin'ye'bing'hua 心叶冰花
'xin'ye'qiu'lan 心叶球兰
'xin'yi 辛夷
'xing'zhuang'xue'tu'zi 星状雪兔子
'xiu'qiu'teng 绣球藤
'xiu'zhen'ye'zi 袖珍椰子
'xu'mi'zi'wan 须弥紫菀
'xuan'cao 萱草
'xuan'fu'hua 旋覆花
'xuan'hua 旋花
'xuan'ling'hua 悬铃花
'xue'di'hua 雪滴花
'xue'hong'jiao 血红蕉
'xue'jia'hua 雪茄花
'xue'lian'hua 雪莲花
'xue'shan'fan'bai'cao 雪山翻白草
'xue'xian 血苋
'xun'yi'cao 熏衣草
'xun'zhang'hua 勋章花
'ya'dan'zi 鸦胆子
'ya'zhi'cao 鸭跖草
