'bi'qi'zhen'shi'ye 彼其真是也
'you'ran'bu'xing'er'shen 油然不形而神
'yu'bi'bai'hua 与彼百化
'yu'fu'gui'gen 欲复归根
'yu'yu'ruo'zhong'bu'jin'ye 予与若终不近也
'yu'yu'you'wen'hu'ruo 予欲有问乎若
'yu'zhi'zhi 予知之
'yuan'tian'di'zhi'mei'er'da'wan'wu'zhi'li 原天地之美而达万物之理
'zhi'bei'you'yu'xuan'shui'zhi'shang 知北游于玄水之上
'zhi'bu'de'wen 知不得问
'zhi'wei'huang'di'yue 知谓黄帝曰
'zhi'wei'wu'wei'wei'yue 知谓无为谓曰
'zhi'wen'huang'di'yue 知问黄帝曰
'zhi'yi'zhi'yan'ye'wen'hu'kuang'qu 知以之言也问乎狂屈
'zhong'shen'bu'gu 终身不故
'zhong'yu'gao'er'wang'zhi'ye 中欲告而忘之也
'zhong'yu'yan'er'wang'qi'suo'yu'yan 中欲言而忘其所欲言
