'a'zhu 阿珠
'li'da'zui 李大嘴
'li'hua'jiao'zhu 梨花教主
'li'mao 狸猫
'li'ruo'nan 厉若男
'li'shu 狸疏
'li'tan'hua 李探花
'li'tian'hua 李天华
'li'xiao'long 李宵龙
'lian'hua'gong'zi 怜花公子
'lian'juan'xi'feng 帘卷西风
'lian'po'mao 廉颇帽
'liang'xiao 梁潇
'lin'meng'yao 林梦遥
'lin'qing'xue 林轻雪
'lin'xing'yao 林星耀
'lin'zhen'nan 林震南
'ling'hu'zhong 令狐中
'ling'hun'shou'ge'zhe 灵魂收割者
'ling'long 玲珑
'ling'ruo'han 凌若寒
'ling'su 灵素
'ling'zi'xiao 凌紫霄
'liu'kou 流寇
'liu'wang'bai'lei 流亡败类
'liu'wang'dao'bing 流亡刀兵
'liu'wang'gong'shou 流亡弓手
'liu'wang'shan'kou 流亡山寇
'liu'wang'shi'wei 流亡侍卫
'liu'yi'xie 柳毅鞋
'long'e 龙锷
'long'hao'tian 龙浩天
'long'pao 龙袍
'long'qi 龙七
'long'xiang 龙骧
'lou'luo 喽罗
'lou'zhi'xian 娄知县
'lun'hui 轮回
'luo'hou 罗喉
'luo'shen'zhi'mao 洛神之帽
'luo'shui'ping'yuan 洛水平原
'luo'xia'cun 落霞村
'lv'luo'cun 绿萝村
'lv'qing'hou 吕轻侯
'lv'yao'jiang'jun 绿妖将军
'lv'yao'xiao'wei 绿妖校尉
'ma'fu'jun'kui 马服君盔
'ma'gu'zhi'yi 麻姑之衣
'ma'han 马汉
'ma'qing'xiong 马清雄
'ma'yi'shen'xiang 麻衣神相
'ma'zei'chi'hou 马贼斥候
'ma'zei'dui'zhang 马贼队长
'ma'zei'lou'luo 马贼喽罗
'ma'zei'qi'bing 马贼骑兵
'man'jiang'hong 满江红
'mao'zei 毛贼
'meng'lin 孟琳
'meng'mo'zhi'guan 梦魔之冠
'meng'shan'cun 梦山村
'mi'lin'da'dao 密林大盗
'mi'lin'shan'zei 密林山贼
'mie'guo'xue 灭国靴
'ming'tuo'qian'li'zu 明驮千里足
'mo'chou'hu 莫愁湖
'mo'gu'bing 蘑菇兵
'mo'jian'feng 莫剑锋
'mo'jiao'jiao'tu 魔教教徒
'mo'xiao'bei 莫小贝
'mo'yan 莫琰
'mu'gui'ying'zhi'kai 穆桂英之铠
'mu'rong'fu 慕容甫
'mu'rong'yan 慕容燕
'mu'xue'chen 慕雪尘
'mu'yan 穆言
'na'lan'ruo 纳兰若
'nan'gong'jian 南宫剑
'nan'jiao 南郊
'nan'xi 南希
'ni'lin'kai 逆鳞铠
'ni'shang'yu'yi 霓裳羽衣
'ning'mei 凝眉
'niu'he'zhi'xie 牛贺之鞋
'nv'di'ying'hua 女帝英花
'nv'zei 女贼
'ou'yang'ke 欧阳可
'pan'jun'dui'zhang 叛军队长
'pan'jun'fa'shi 叛军法师
'pan'jun'jian'ke 叛军剑客
'pan'jun'shi'bing 叛军士兵
'pan'jun'tong'ling 叛军统领
'pang'hua'he'shang 胖花和尚
'peng'lai'jia 蓬莱甲
'pi'li'tang 霹雳堂
'ping'yi'shou 平一手
'qi'bing 骑兵
'qi'feng'po 栖凤坡
'qi'xia'zhen 七侠镇
'qian'ji'ying 千机营
'qian'li'du'xing 千里独行
'qian'long'gu 潜龙谷
'qian'qing'jian 钱清健
'qian'xue 钱雪
'qian'ye'lin 千叶林
'qian'ying'ying 钱盈盈
'qian'zhuang'lao'ban 钱庄老板
'qiang'bing 枪兵
'qing'long'bi'xue'kai 青龙碧血铠
'qiong'xiong'ji'e 穷凶极恶
'qiu'qian'ren 邱千刃
'qiu'zu 求组
'quan'zhi'xian 全知仙
'ren'lei'xue'jia 人类学家
'ren'wu'guan'li'yuan 任务管理员
'rong'bai'chuan 容百川
'sai'fei'hong 赛飞洪
'sha'chang'xing 沙场行
'shan'ye'da'dao 山野大盗
'shan'zei 山贼
'shang'dai'dao'jun 上代刀君
'shang'dai'dao'zun 上代刀尊
'shang'dai'gu'wang 上代蛊王
'shang'dai'ji'shen 上代戟神
'shang'dai'jian'sheng 上代剑圣
'shang'dai'shen'suan 上代神算
'shang'dai'tian'shi 上代天师
'shang'dai'xie'huang 上代邪皇
'shang'dai'yi'xian 上代医仙
'shao'nv 少女
'shao'nv'liu'li 少女琉璃
'shao'xia 少侠
'she'hun'tie'jia'guai 摄魂铁甲怪
'shen'jiang 神匠
'shen'jiang'xu'fu'ren 神匠徐夫人
'shen'nong 沈农
'shen'qing'gang 沈清钢
'shen'sheng'zhi'xue 神圣之靴
'shen'xian'jie'jie 神仙姐姐
'shen'xue'wei'ning 神血未凝
'sheng'wang 声望
'shi'ba'li'pu 十八里铺
'shi'bing 士兵
'shi'er'feng'lou'guan 十二凤楼冠
'shi'li'po 十里坡
'shi'luo'zhi'di 失落之地
'shi'ting 石霆
'shi'wei 侍卫
'shi'zhe 使者
'shu'shi 术士
'shui'zei 水贼
'shui'zei'tou'zi 水贼头子
'si'kong'zhai'xing 司空摘星
'si'yan'fan'zi 私盐贩子
'song'shu 松鼠
'su'xian'luo 苏纤洛
'su'xiao'xiao 苏小小
'su'ying 苏樱
'sun'lu'die 孙露蝶
'sun'miao'shou 孙妙手
'sun'wang'you 孙忘忧
'sun'wu'ji 孙无忌
'ta'po'he'lan'que 踏破贺兰缺
'ta'xiang'ji'mo'dao 他乡寂寞刀
'tai'chu 太初
'tai'gu'huang'ling 太古皇陵
'tai'shi'xie 太史鞋
'tai'wei 太微
'tai'zu'guan 太祖冠
'tan'xi'ling'yuan 叹息陵园
'tang'bo'hu 汤伯虎
'tang'zhi'xian 唐知县
'tang'zhu 堂主
'tao'hua'ma'shang'qing'chang'ying 桃花马上请长缨
'tao'zhu'gong 陶朱公
'teng'he 滕鹤
'tian'bo'guang 田波光
'tian'ji'lao'ren 天机老人
'tian'sun'guan 天孙冠
'tian'xian'xing'zhi'guan 天闲星之冠
'tian'xiong'xing'zhi'kui 天雄星之盔
'tian'yong'xing'zhi'mao 天勇星之帽
'tian'yuan 天垣
'tian'zun'xie 天尊鞋
'tie'jiang 铁匠
'tie'jiang'ou 铁匠欧
'tie'mu'zhen'zhi'kui 铁木真之盔
'tie'nuo 铁诺
'tong'fu'ke'zhan 同福客栈
'tong'ling 统领
'tong'xiang'yu 佟湘玉
'tu'shu 兔鼠
'tu'teng'zhi'guan 图腾之冠
'tu'zhu'shou'hu'zhe 土著守护者
'tuan'lian 团练
'tui'yin'guan'li 退隐官吏
'wa'huang'zhi'kui 娲皇之盔
'wan'an'si 万安寺
'wan'ku'zi'di 纨绔子弟
'wan'mei 完美
'wan'ren'di 万人敌
'wang'chao 王朝
'wang'chuan'cun 忘川村
'wang'fu'ren 王夫人
'wang'ming'qiu'tu 亡命囚徒
'wang'nian'yu 王念玉
'wang'qing'hu 忘情湖
'wang'yi'feng 王易枫
'wei'bing 卫兵
'wei'san'xiao 韦三笑
'wei'zi'yao 魏紫瑶
'wo'jiao'xue 沃焦靴
'wu'ba'gang 五霸岗
'wu'jing'cao 吴劲草
'wu'lin'bai'lei 武林败类
'wu'lin'meng'di'zi 武林盟弟子
'wu'lin'meng'zhang'lao 武林盟长老
'wu'lin'wai'zhuan 武林外传
'wu'mian'zhi'di 无眠之地
'wu'mu'wang'zhi'xin 武穆王之心
'wu'qing'lie 吴清烈
'wu'xiang 无象
'wu'zhang'yuan 五丈原
'wu'zhu'ge 武诸葛
'xi'dian'guan'li'yuan 洗点管理员
'xi'he'zhi'mao 羲和之帽
'xi'jiao 西郊
'xi'liang'he 西凉河
'xi'wang'mu'zhi'kai 西王母之铠
'xi'xie'bian'fu 吸血蝙蝠
'xi'zi'zhi'yi 西子之衣
'xiang'bao'er 项宝儿
'xiao'chou 小丑
'xiao'jian 箫剑
'xiao'mai 小麦
'xiao'mao 小猫
'xiao'mi 小米
'xiao'nian'yuan 萧念远
'xie'lin'jia 邪鳞甲
'xin'rui 辛蕊
'xing'bu'tou 邢捕头
'xing'gong'yi'zhi 行宫遗址
'xing'xie 星屑
'xing'yi'zhi'xie 幸夷之鞋
'xing'zi'lin 杏子林
'xiu'cai'tang'bo'hu 秀才汤伯虎
'xiu'luo'zhi'di 修罗之地
'xu'fei'qiong'zhi'pao 许飞琼之袍
'xu'feng'yi 许凤仪
'xu'fu'ren 徐夫人
'xu'jia'lan 许迦蓝
'xu'mu'qiu 许暮秋
'xu'tian'lan 徐天岚
'xuan'huang 玄黄
'xuan'wu'shen'zhao'pao 玄武神照袍
'xuan'yuan 轩辕
'xuan'yuan'jue 轩辕绝
'xue'li'pao 薛荔袍
'xue'shen'yi 薛神医
'yan'bei 燕北
'yan'chi'yang 燕赤阳
'yan'fei 颜飞
'yan'xiao'liu 燕小六
'yan'zi'wu 燕子坞
'yao'chi'xue 瑶池靴
'yao'chi'zhi'kai 瑶池之铠
'yao'shi 药师
'yao'shi'cheng 药师成
'yao'shi'xue'shen'yi 药师薛神医
'ye'bing'ying 叶冰莹
'ye'gu'hong 叶孤鸿
'ye'ling'feng 叶凌风
'ye'mo'kui 夜魔盔
'ye'yun'an 叶云安
'ye'zi 野子
'yi'sheng 医生
'yi'shui'han 易水寒
'yi'wang'pen'di 遗忘盆地
'yin'xiang'ning 尹湘宁
'yin'yang 阴阳
'yin'yang 尹阳
'ying'di'wang 应帝王
'ying'huo 荧惑
'ying'yue'tan 映月滩
'you'fang'dao'shi 游方道士
'you'hun'fa'shi 幽魂法师
'you'hun'gong'jian'shou 幽魂弓箭手
'you'hun'shou'wei 幽魂守卫
'you'ling 幽灵
'you'qi'zhi'xie 幽栖之鞋
'yu'huo 于火
'yu'wu'xia 玉无暇
'yuan'ling'fa'shi 怨灵法师
'yuan'shi 元始
'yuan'zi'yi 苑紫衣
'yue'bei 月孛
'yue'lao 月老
'yue'shan 岳山
'yue'ya'wan 月牙湾
'yue'yu'qiu'tu 越狱囚徒
'yun'fei'yan 云飞燕
'yun'lei 云蕾
'yun'nong'ying 云弄影
'yun'you'he'shang 云游和尚
'zhan'bu'zhi'lv 瞻部之履
'zhang'ban'xian 张半仙
'zhang'lao 长老
'zhang'long 张龙
'zhang'suo 张锁
'zhao'hu 赵虎
'zhao'shan'he 赵山河
'zhao'wu'ji 赵无忌
'zhao'yuan 赵源
'zhao'zhi'xian 赵知县
'zhe'fang'xin 折芳馨
'zhen'yi'de 甄翼德
'zhi'wu'xue'jia 植物学家
'zhi'zhe 智者
'zhou'bo'tong 周伯童
'zhou'fang 周放
'zhu'long'zhi'lei 烛龙之泪
'zhu'que'dan'xin'kai 朱雀丹心铠
'zhu'rong'pao 祝融袍
'zhu'wu'shuang 祝无双
'zhui'xing'gu 坠星谷
'zi'wei 紫薇
'zi'xi 紫希
'zu'qian'qiu 祖千秋
