'bei'di'fang'xing'ling 北帝方行令
'ru'wei'xi'shang'zhen 儒为席上珍
'ru'zhu'wan'gan'xie 入竹万杆斜
'san'dong'jin'zu'yong 三冬今足用
'san'tan'yong'er'gui 三叹咏而归
'se'jian'xiao'tao'hong 色间小桃红
'shan'he'zhuang'di'ju 山河壮帝居
'shao'hua'man'yan'xin 韶华满眼新
'shao'xiao'xu'qin'xue 少小须勤学
'shen'tong'shan'zi'duan 神童衫子短
'sheng'dang'zhong'xiao'men 生当忠孝门
'sheng'xian'ju'jian'chu 圣贤俱间出
'shi'jiu'qin'qi'ke 诗酒琴棋客
'shi'shu'bu'fu'ren 诗书不负人
'shu'chuang'ying'zi'shuang 书窗应自爽
'shu'dao'yin'xiang'ru 书道隐相儒
'shu'dian'yu'yu'yu 数点雨余雨
'shu'jing'yu'san'yue 淑景余三月
'shuang'qin'wei'lao'shi 双亲未老时
'shui'xiao'fu'kong'xu 谁笑腹空虚
'ta'xiang'yu'gu'zhi 他乡遇故知
'tai'ping'wu'yi'bao 太平无以报
'tao'hua'ying'jiu'hong 桃花映酒红
'tao'hua'ying'mian'hong 桃花映面红
'tian'fu'kuai'xian'deng 天府快先登
'tian'qing'ai'ri'he 天晴爱日和
'tian'qing'na'jia'he 天庆纳嘉禾
'tian'zi'zhong'ying'hao 天子重英豪
'ting'cai'qi'feng'zhu 庭裁栖凤竹
'ting'xia'chen'gua'guo 庭下陈瓜果
'tu'mai'yang'he'dong 土脉阳和动
'wan'ban'jie'xia'pin 万般皆下品
'wan'xiang'jian'hui'chun 万象渐回春
'wei'guan'xu'zuo'xiang 为官须作相
'wei'qu'chao'tian'zi 未去朝天子
'wei'you'an'xiang'lai 惟有暗香来
'wei'you'du'shu'gao 惟有读书高
'wen'zhang'jiao'er'cao 文章教尔曹
'wen'zhang'ke'li'shen 文章可立身
'wen'zhang'ri'jian'duo 文章日渐多
'wo'you'bi'ru'dao 我有笔如刀
'wu'ai'yue'liu'ren 舞爱月留人
'wu'shi'san'shen'xian 无事散神仙
'wu'yan'xiao'xiao'feng 无言笑晓凤
'xi'zhong'qing'qian'xuan 喜中青钱选
'xia'shang'lv'he'chi 夏赏绿荷池
'xia'yun'duo'qi'feng 夏云多奇峰
'xian'lai'ye'xiang'gong 先来谒相公
'xiang'shu'yi'lei'sheng 乡书以类升
'xin'jian'nai'sui'han 心坚耐岁寒
'xin'tian'yi'xian'chang 新添一线长
'xing'ming'shu'jin'zhou 姓名书锦轴
'xiu'da're'chun'feng 袖大惹春风
'xu'zhi'xue'hou'tong 须知学后通
'xue'lei'ran'cheng'dan 血泪染成丹
'xue'nai'shen'zhi'bao 学乃身之宝
'xue'wen'qin'zhong'de 学问勤中得
'yan'ta'zao'ti'ming 雁塔早题名
'yan'wai'san'gan'ri 檐外三竿日
'yao'zhi'bu'shi'xue 遥知不是雪
'yi'ci'fa'meng'tong 以此发蒙童
'yi'fan'han'shi'han 一番寒食寒
'yi'gong'zhu'song'kan 宜共竹松看
'yi'ju'bian'deng'ke 一举便登科
'yi'ju'deng'ke'mu 一举登科目
'yi'yu'chu'shou'ji 一雨初收霁
'yi'zhi'mei'po'la 一支梅破腊
'yi'zhi'qing'dai'yu 一枝轻带雨
'yi'zi'man'ying'jin 遗子满赢金
'ying'chuang'wan'juan'shu 萤窗万卷书
'ying'chuang'xin'tuo'ji 萤窗新脱迹
'ying'hua'yi'ban'xi 莺花已半稀
'ying'xiong'san'bai'bei 英雄三百辈
'you'ming'xian'fu'gui 有名闲富贵
'yu'dian'chuan'jin'bang 玉殿传金榜
'yu'men'san'ji'lang 禹门三级浪
'yu'yi'shui'shi'zi 浴沂谁氏子
'yuan'luo'chen'chen'xiao 院落沉沉晓
'yuan'shang'wan'nian'shu 愿上万年书
'yue'hua'zai'hu'bai 月华在户白
'yun'duan'wen'cai'che 云端闻彩车
'yun'wu'xi'cheng'xiang 云物喜呈祥
'zao'ci'liang'chong'yang 遭此两重阳
'zhao'wei'tian'she'lang 朝为田舍郎
'zheng'ru'hao'long'zi 争如郝隆子
'zhi'shai'fu'zhong'shu 只晒腹中书
'zhi'zhui'shuang'pa'bai 枝缀霜葩白
'zhu'zi'zuo'chao'ting 朱紫佐朝廷
'zi'xiao'duo'cai'xue 自小多才学
'zui'kan'feng'luo'mao 醉看风落帽
'zuo'ri'deng'gao'ba 昨日登高罢
