'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'bai'tou'ru'xin 白头如新
'bai'wo'yu'hu'dai 败我于狐骀
'bai'xing'he'si'er'diao'sheng 百姓贺死而吊生
'bai'xue 白雪
'bai'yu'zong'qiu 败于宗丘
'bai'yun 白云
'bai'yun'yao 白云谣
'bai'yun'zai'tian 白云在天
'bai'zu'zhi'chong 百足之虫
'ban'ben'cha'yi'da 版本差异大
'ban'ben'fu'za'de'fan'li 版本复杂的范例
'ban'ben'fu'za'fan'li 版本复杂范例
'ban'ben'jiao'duan 版本较短
'ban'gu'yin'yan'lun'jing'fang 班固引谚论经方
'ban'lan'er 斑斓耳
'ban'yu'jiu'shi 半于九十
'ban'zhao'nv'jie'yin'bi'yan 班昭女诫引鄙谚
'bang'ge 谤歌
'bao'bao'zhi'tu 薄薄之土
'bao'bu'zi 抱补子
'bao'ci'yuan'pu 保此元朴
'bao'guo'liu'ji 苞裹六极
'bao'hu 苞乎
'bao'ju'xing'yu 苞苴行与
'bao'liu'san'ju 保留三句
'bao'peng'peng 饱蓬蓬
'bao'pu'zi 抱朴子
'bao'qian'tu 宝乾图
'bao'ren'an'shu 报任安书
'bao'shan'yan 包山谚
'bao'shan'yao 包山谣
'bao'zhen'sui'zhu 宝珍隋珠
'bao'zhen'sui'zhu 宝珍随珠
'bei'fa'yi'yang'kuang 被发以佯狂
'bei'fu'huang'hu'zhi'zao'gua'xi 悲夫黄鹄之早寡兮
'bei'guo'you'quan'ai'ai 北郭有犬嘊嘊
'bei'he'er'fu'xin 被褐而负薪
'bei'hu'lu 北户录
'bei'jie'cheng'zhen 悲结成疹
'bei'li 北里
'bei'mo'bei'xi'sheng'bie'li 悲莫悲兮生别离
'bei'nei 备内
'bei'qi'lin'zhe'chi'hu 倍其邻者耻乎
'bei'qi'shu 北齐书
'bei'qi'suo'si'zhe'hu 悲其所思者乎
'bei'qi'suo'si'zhe'hu'shu'ju 悲其所思者乎数句
'bei'qi'wen'xue'jia 北齐文学家
'bei'qu'gui'xi'he'wu'liang 悲去归兮河无梁
'bei'ren'bu'ke'yi'wei'zhu 卑人不可以为主
'bei'shan'zhang'luo 北山张罗
'bei'shang'bao'shan'ru'ling'xu 北上包山入灵墟
'bei'shi 北史
'bei'tuo'fu'zhe 被托付者
'bei'wei 北魏
'bei'wen 碑文
'bei'yi'ge 被衣歌
'bei'yi'wei'nie'que'ge 被衣为啮缺歌
'ben'che'zhi'shang'wu'zhong'ni 奔车之上无仲尼
'ben'gu'bang'ning 本固邦宁
'beng'yu 嗙喻
'bi'bao'qi'de 必报其德
'bi'bao'you'de 必报有德
'bi'bu'dan'yi'cai'zhi'gan 弊布单衣裁至骭
'bi'cu'xi'tu 比徂西土
'bi'er'mi'qiu 韠而麛裘
'bi'fei'niao'xi'yuan'wu 彼飞鸟兮鸢乌
'bi'fu'zhi'kou 彼妇之口
'bi'fu'zhi'ye 彼妇之谒
'bi'gao'ju'zhi 必高举之
'bi'ge'cai'ling 必歌采菱
'bi'he'shi'min 彼何世民
'bi'huo'jin'jun 必获晋君
'bi'ji'duo'you 彼稷多有
'bi'ji'san'nian 比及三年
'bi'jiao'te'bie 比较特别
'bi'jiao'tong 彼狡童
'bi'jiao'tong'xi 彼狡童兮
'bi'jin'suo'kan 必谨所堪
'bi'ming 笔铭
'bi'nian'gui'hou 必念归厚
'bi'nian'zhi'sheng 必念治生
'bi'ping'yu'yi'ren'yi'zai'wei 俾屏余一人以在位
'bi'ren'gu'fou 鄙人鼓缶
'bi'shi'shou'dao 避世守道
'bi'shu'ji'jie 彼黍既洁
'bi'wei'zhi 必为之
'bi'xian'wei'ji 必先为箕
'bi'xian'wei'qiu 必先为裘
'bi'xian'yao'yao 必先摇摇
'bi'yan'er'zong'xun'fu'yan 庇焉而纵寻斧焉
'bi'yi'ji'ze 彼仪既泽
'bi'you 必由
'bi'you'chang'shi 必由长始
'bi'yu 鄙语
'bi'yu'dang'wei 鄙语当为
'bi'yu'you'zhi 鄙语有之
'bi'yu'yun 鄙语云
'bi'yuan'yue 毕沅曰
'bi'zai'qian'han'yi'hou'ye 必在前汉以后也
'bi'ze'suo'kan 必择所堪
'bi'zhi'mi'qiu 鞸之麛裘
'bi'zhong'lei'zhi 必重累之
'bi'zou 彼走
'bian'bu'shao'yi'wen 便不少佚文
'bian'dou'you'chu 笾豆有楚
'bian'gu'luan'chang 变古乱常
'bian'gu'yi'chang 变古易常
'bian'he'xian'yu'tui'yuan'zhi'ge 卞和献玉退怨之歌
'bian'hua'chui'zhi 变化垂枝
'bian'le'lun 辩乐论
'bian'ru'yi'pian'da'wen'zhang 便如一篇大文章
'bian'shi'lu'hai'qiu'mu'tu 鞭尸戮骸邱墓屠
'biao'dian'ben 标点本
'biao'shi'ren'tong 表示认同
'biao'yi'ye'geng'you'li'du 表意也更有力度
'biao'zhu 标注
'biao'zhu'dang'shi'wei'tiao 标注当视为条
'biao'zhu'shi'yan'suo'zuo 标注师延所作
'biao'zhu'yan'tie'lun 标注盐铁论
'biao'zhu'yi'lin 标注意林
'bie'he'cao 别鹤操
'bie'ji'di'shi'er 别集第十二
'bing'bu'yun'ge'yao 并不云歌谣
'bing'ge'lei 并歌类
'bing'ge'you'ci 并各有辞
'bing'jiao'shi'zai'qi'lv 兵交使在其闾
'bing'ru 并入
'bing'shi'xia 并是夏
'bing'wei'qu'fen'ge 并未区分歌
'bing'wei'tiao 并为条
'bing'wu'ku'cheng'yu'cheng'beng'zhi'shuo 并无哭城与城崩之说
'bing'you'qi'zhi 并有其职
'bing'yu'hai 并玉海
'bing'yu'zheng'qing 并于正卿
'bing'zai'qi'jing 兵在其颈
'bing'zhi'chen'long'wei'fu'chen 丙之晨龙尾伏辰
'bing'zhu'ming'yi'wen 并注明异文
'bing'zhu'yun 并注云
'bo'dang'he 波荡壑
'bo'feng'yun'qi 舶风云起
'bo'ji'yao 伯姬繇
'bo'ji'yin 伯姬引
'bo'lan'shu'ji 博览书记
'bo'ma 驳马
'bo'ma'yi'mu'ming 駮马亦木名
'bo'ma'yi'mu'ming 驳马亦木名
'bo'ming'xian'si 薄命先死
'bo'wu'zhi 博物志
'bo'xi'zhong'xi 伯兮仲兮
'bo'yang'you'qi'dian 跛羊游其巅
'bo'yi'da'xi 薄亦大兮
'bo'yi'da'yi 薄亦大矣
'bu'ban'bai'yu'dao'shi 不斑白语道失
'bu'bei'si 不悲思
'bu'bi'qiang'qiu'que'jie 不必强求确解
'bu'bian'zhi'yan 不便直言
'bu'chi'bu'long 不痴不聋
'bu'ci'zhang'bing'zei'ye 不慈掌兵贼也
'bu'cong'bu'ming 不聪不明
'bu'da'shi'zhi'bian 不达事之变
'bu'dang'bu'pian 不党不偏
'bu'dang'shu'zi 不当数字
'bu'de'qi'suo 不得其所
'bu'fen'yu'tong'gu'jin'yan 部分语同古今谚
'bu'feng'ji'zi 不逢箕子
'bu'fu'zi'zhi 不扶自直
'bu'ge'yue'song 不歌曰诵
'bu'geng'jue'zhen 不更厥贞
'bu'gu'bu'long 不瞽不聋
'bu'gu'chi'ru 不顾耻辱
'bu'gu'liu'shi 不顾流矢
'bu'guan'qin'di'you'shan'he 不关秦地有山河
'bu'guo'shu'ren'er'yi 不过数人而已
'bu'guo'shu'shi'ren 不过数十人
'bu'jian'shi'tu 不见是图
'bu'jin'ma'zhi'qing 不尽马之情
'bu'ke'bu'shen'ye 不可不审也
'bu'ke'chang'ye 不可偿也
'bu'ke'huai'ye 不可坏也
'bu'ke'kao 不可考
'bu'ke'yan'sai 不可掩塞
'bu'ke'yan'yu'zhong 不可掩于众
'bu'ke'yi'gao'ren 不可以告人
'bu'ke'yi'jin 不可以矜
'bu'ke'yi'wei'bu'shi 不可以为卜筮
'bu'ke'yi'zai'shi'zhe 不可以再事者
'bu'ke'yi'zuo'wu'yi 不可以作巫医
'bu'ke'yu'yu'dong'hai'zhi'le 不可与语东海之乐
'bu'ke'zhi'yu'yuan 不可止于远
'bu'le'feng'huang 不乐鳯凰
'bu'le'song'wang 不乐宋王
'bu'lei'shi'ci 不类诗词
'bu'li'xing'shi 不利行师
'bu'mei'gou 不没狗
'bu'neng'chuan'lu'gao 不能穿鲁缟
'bu'neng'fan'wu 不能蕃膴
'bu'neng'fan'zhi 不能蕃殖
'bu'neng'piao'hong'mao 不能漂鸿毛
'bu'neng'qi'hong'mao 不能起鸿毛
'bu'neng'qi'mao'yu 不能起毛羽
'bu'neng'ru'lu'gao 不能入鲁缟
'bu'neng'wei'gao 不能为膏
'bu'neng'wei'gong 不能为公
'bu'neng'wei'mou'ye 不能为谋也
'bu'neng'wei'rong 不能为荣
'bu'neng'wei'wang 不能为王
'bu'neng'xiang'rong 不能相容
'bu'neng'zi'fu'ye 不能自祓也
'bu'neng'zi'tan'ye 不能自弹也
'bu'neng'zi'zhi'ye 不能自治也
'bu'nian'hou'jiu 不念后咎
'bu'nv'liao 不女聊
'bu'pian'bu'dang 不偏不党
'bu'qi'shi 不其是
'bu'qiang'cha'xi 不强察兮
'bu'ru'chang'geng 不如常耕
'bu'ru'cheng'shi 不如乘势
'bu'ru'dai'shi 不如待时
'bu'ru'de'ji'bu'nuo 不如得季布诺
'bu'ru'de'ji'bu'yi'nuo 不如得季布一诺
'bu'ru'gong'gong 不如工工
'bu'ru'gui'tian 不如归田
'bu'ru'hu'sun'zhi'jiu'ji'ji'ye 不如壶飧之救饥疾也
'bu'ru'niao'wu 不如鸟乌
'bu'ru'qi'yu 不汝欺与
'bu'ru'shang 不如商
'bu'ru'shen'fa 不如审发
'bu'ru'si'zhi'jiu'yi 不如死之久矣
'bu'ru'yi'hu'zhi'ye 不如一狐之腋
'bu'ru'yi'shi'zhi'e'e 不如一士之谔谔
'bu'ru'yi'xian 不如一贤
'bu'ru'zuo'bao 不如作暴
'bu'ruo'pin'jian'zhi'si'zhi 不若贫贱之肆志
'bu'shi'bu'zhi 不识不知
'bu'shi'cui'shi'zi'ji'wen'zhang 不是崔寔自己文章
'bu'shi'yu'jin'shi 不始于晋时
'bu'shou 不收
'bu'shou'zhe'liang'shou 不收这两首
'bu'shu'yu'wang'suo 不属于王所
'bu'si'yu'shi 不死于市
'bu'si'ze'wang 不死则亡
'bu'suo'he'huo 不索何获
'bu'tong'ban'ben 不同版本
'bu'tong'da'li 不统大理
'bu'tu'fu'shi'zhi 卜徒父筮之
'bu'wang'fan'guo 不忘返国
'bu'wang'yi'she 不枉一舍
'bu'wei'pi'shuang 不为匹双
'bu'wei'qi'ma 不违其马
'bu'wei'run'wu 不为润屋
'bu'wei'zhi'ze'wang 不为之则亡
'bu'wo'hao'chou 不我好仇
'bu'wu'dao'li 不无道理
'bu'xi'shui'tu'er'si 不习水土而死
'bu'xi'wei'li 不习为吏
'bu'xiang'lian'shu 不相连属
'bu'xing'qi'ye 不行其野
'bu'xiu'nan'huo 不朽难获
'bu'yan 不言
'bu'yan'ge 不言歌
'bu'yan'gu'yu 不言古语
'bu'yan'shi 不言诗
'bu'yan'yan 不言谚
'bu'yao'zhi'ci 卜繇之词
'bu'yi 补遗
'bu'yi'shen'hu 不亦甚乎
'bu'yi'zhu'cai'dao'ye 不义主财盗也
'bu'yin'mei'er'qin 不因媒而亲
'bu'yin'yi'yi'lao 不慭遗一老
'bu'yin'zhan'guo'ce 不引战国策
'bu'yin'zhen'er'ji 不因针而急
'bu'ying'lan'ru 不应阑入
'bu'ying'shan'qu 不应删去
'bu'ying'shi'wei'liang'tiao 不应视为两条
'bu'ying'shi'wei'xian'qin'yan 不应视为先秦谚
'bu'yong'bu'sai 不壅不塞
'bu'yong'huang'jin'man'che 不用黄金满车
'bu'yong'ming'yue'bao'zhu 不用明月宝珠
'bu'yu'wo'hao 不与我好
'bu'yu'wo'hao'chou 不与我好仇
'bu'yu'wo'hao'xi 不与我好兮
'bu'yun 不云
'bu'zai'shi'ming 不载诗名
'bu'ze'guan'er'shi 不择官而仕
'bu'zhe'shi'le'ming 不这是乐名
'bu'zheng'wen 不正文
'bu'zhi 不知
'bu'zhi'bi'xi 不知俾兮
'bu'zhi'chu'zi'he'chu 不知出自何处
'bu'zhi'feng 不知冯
'bu'zhi'he'ju 不知何据
'bu'zhi'he'yi 不知何意
'bu'zhi'nan'rong'jin'yan 不知南容谨言
'bu'zhi'pei'xi 不知佩兮
'bu'zhi'qi'fei 不知其非
'bu'zhi'qi'fei'yi 不知其非矣
'bu'zhi'quan'zhe'ye 不知权者也
'bu'zhi'sang'lin'er'zi 不知桑林二字
'bu'zhi'xin'li'he'yi 不知信立何意
'bu'zhi'yi'xi 不知异兮
'bu'zhi'yu'shan 不踬于山
'bu'zi'wei'zheng 不自为政
'bu'zu'jiu'ye 不足就也
'bu'zu'niu'ye 不足狃也
'bu'zu'wei'ye 不足为也
'bu'zui'lai'shi 不罪来使
'bu'zui'zhe'chi'zui'zhe'er'ge'yue 不醉者持醉者而歌曰
'cai'ge'fu'ge 采葛妇歌
'cai'hong 蔡洪
'cai'hu'xin'hu 菜乎薪乎
'cai'ji 采荠
'cai'ji'zhu'yi'shi 采荠注逸诗
'cai'ling 采菱
'cai'qi'ge 菜芑歌
'cai'qi'ge 采芑歌
'cai'qi'wei'yi 采其薇矣
'cai'qu'ling'ji 采取菱芰
'cai'shu 采菽
'cai'shu'qi'ge 蔡叔其歌
'cai'tian'xia'mei'nv 采天下美女
'cai'wei'cao 采薇操
'cai'wei'ge 采薇歌
'cai'yao'shi 采药诗
'cai'yong'hai'wai'jing'zhu'suo'yin 采用海外经注所引
'cai'yong'yang'shuo'bing'bu'chong 采用杨说并补充
'cai'yuan'du 蔡元度
'cai'ze'chuan 蔡泽传
'cai'zhi'cao 采芝操
'can'cheng'da'ge 骖乘答歌
'can'cong'guo'shi 蚕丛国诗
'can'cong'shi 蚕丛诗
'can'jia'yang'bo'jun 参加杨伯峻
'can'xing'xi 参星夕
'can'yu'xin'bei 惨予心悲
'can'ze'ji'er'xie'you'kuang 蚕则绩而蟹有匡
'cang'cang'xiang'cong 鸧鸧相从
'cang'cang'zhi'tian 苍苍之天
'cang'dong'ting'bao'shan'hu 藏洞庭包山湖
'cang'gua'ge 鸧鸹歌
'cang'huang'qi'ming 仓皇迄命
'cang'lang'ge 沧浪歌
'cang'lang'zhi'shui'bai'shi'can 沧浪之水白石粲
'cang'lang'zhi'shui'qing'xi 沧浪之水清兮
'cang'lang'zhi'shui'zhuo'xi 沧浪之水浊兮
'cang'mei'hai'pu'lai'qi'xi 沧湄海浦来栖息
'cang'xi'gua'xi 鸧兮鸹兮
'cang'yao'ji 苍耀稷
'cang'zhi'hei'zhi 藏之嘿之
'cao'cao 曹操
'cao'cao'yin'yan 曹操引谚
'cao'dao'bu'ge 操刀不割
'cao'mu'gui'qi'zhai 草木归其宅
'cao'mu'yu'chang 草木欲长
'cao'pi 曹丕
'cao'qiu'sheng 曹邱生
'cao'qu'mu'zhe'bu'lei'ri 操曲木者不累日
'cao'ren'bi'ge 操刃必割
'cao'shi'shu'qi'chuan 曹世叔妻传
'cao'zhi 曹植
'cen'yang'xi'cao'shuai 涔阳兮草衰
'ceng'bu'er'ji 曾不尔即
'ceng'wu'wo'ying 曾无我嬴
'cha'ju'jiao'da 差距较大
'cha'qi'qian'hou'wen 查其前后文
'cha'xiang'shi'jing'shuo 茶香室经说
'cha'yang'xiong'qin'qing'ying 查扬雄琴清英
'cha'zhao'wen'xian'po'wei'bu'yi 查找文献颇为不易
'chan'fu'xing'yu 谗夫兴与
'chan'fu'zai'ce 谗夫在侧
'chan'huo'zhe'bian'diao 掺和着变调
'chan'sheng'bei'jing'xiang'tong 产生背景相同
'chan'sheng'xian'qin'shi'dai 产生先秦时代
'chan'yan'kong'duo 谗言孔多
'chan'yu'wu'ji 谄谀无极
'chang'an'yao 长安谣
'chang'dan'bu'ku'gan'ru'yi 尝胆不苦甘如饴
'chang'dan'bu'ku'wei'ruo'yi 尝胆不苦味若饴
'chang'de'zhong'yi 常得中医
'chang'di'sheng 长狄生
'chang'duan'bu'yi 长短不一
'chang'duan'jing 长短经
'chang'hu'gu'zhi 鼚乎鼔之
'chang'jia'ge 长铗歌
'chang'li'xian'sheng'ji'zhu 昌黎先生集注
'chang'nai'zai'qi'xiong 昌乃在其兄
'chang'shou'fu 昌受符
'chang'shui'tong'yao 长水童谣
'chang'tu'men'gao 倡屠门高
'chang'wo'tian'liang 偿我田粱
'chang'xiu'shan'wu 长袖善舞
'chang'yang'dan'hai'he'yan'xi'gui'lai 常羊啖还何厌兮归来
'chang'ye'man'man'he'shi'dan 长夜漫漫何时旦
'chang'ye'man'xi 长夜慢兮
'chang'ye'man'xi 长夜漫兮
'chang'yi'fu'bing 常以服兵
'chang'yun'yi'dou 长霣异都
'chang'zai 鼚哉
'chao'cuo'chuan'yu 晁错传语
'che'hang'jiu 车行酒
'che'ma'tong 车马通
'che'shuo'qi'fu 车说其輹
'che'xia 车舝
'chen'bing'wei'ji'qin'shi'jiang 陈兵未济秦师降
'chen'can'mu 臣残木
'chen'chan'chuan 陈禅传
'chen'dao 臣道
'chen'gan'gu 臣干谷
'chen'gen'ke'ba 陈根可拔
'chen'gu'ying 陈鼓应
'chen'hou'yao 陈厚耀
'chen'jin'qi'li 臣尽其力
'chen'jing'zhong 陈敬仲
'chen'lu 晨露
'chen'mian'zhi'fei 沉湎致非
'chen'qi'you 陈奇猷
'chen'qing'bo'pu 臣请薄脯
'chen'wei 谶纬
'chen'wei'zhi'shu 谶纬之书
'chen'wen 臣闻
'chen'wen'yun'yun 臣闻云云
'chen'wen'zhi 臣闻之
'chen'wen'zhi'yue 臣闻之曰
'chen'xia'kuang'jun'yan 臣下诳君言
'chen'yi'zhu'er 臣一主二
'chen'yun 沉云
'chen'zhong 陈钟
'cheng'bo'mu'huan'qi'chu'zhuang 称伯穆桓齐楚庄
'cheng'chuan'ru'shi 乘船入市
'cheng'di'yu'li 成帝欲立
'cheng'di'yue'jie'yi'fu'zuo'qing 承帝曰嗟翼辅佐卿
'cheng'guo'qiu'xu 城郭邱墟
'cheng'le'tai'zao'jue'ding'xi 称乐太早绝鼎系
'cheng'mei'xian'wei'hu 城没陷为湖
'cheng'men'dang'you'xue 城门当有血
'cheng'ren'ge 成人歌
'cheng'ren'ge'yue 成人歌曰
'cheng'ren'yue 成人曰
'cheng'tian'zhi'hu 承天之祜
'cheng'tian'zhi'qing 承天之庆
'cheng'tian'zhi'shen 承天之神
'cheng'tian'zhi'xiu 承天之休
'cheng'wang'guan'ci 成王冠辞
'cheng'wang'guan'song 成王冠颂
'cheng'wu'gou 诚无垢
'cheng'wu'gou 诚无诟
'cheng'xiang'za'ci 成相杂辞
'cheng'zhi'duo'fu'wu'jiang 承致多福无疆
'cheng'zhong'hao'da'xiu 城中好大袖
'cheng'zhong'hao'gao'ji 城中好高髻
'cheng'zhong'hao'guang'mei 城中好广眉
'cheng'zhong'yao 城中谣
'chi'di'qian'li 赤地千里
'chi'er'gu 敕尔瞽
'chi'ru'ri 赤如日
'chi'shen'she'shi'zhi'xue 持身涉世之学
'chi'tian'zhi'ming 敕天之命
'chi'ya'wei'hua 齿牙为猾
'chi'yang'gu'kou 池阳谷口
'chi'you'chu'zi'yang'shui'shu'shou 蚩尤出自羊水疏首
'chi'you'suo'duan'cun'you'suo'chang 尺有所短寸有所长
'chi'zhi'zhe'zhong'ye 持之者众也
'chi'zhi'zhong'ye 持之众也
'chong'bo'chuan 冲波传
'chong'chen'bu'bi'xuan 宠臣不敝轩
'chong'feng'zhi'mo'li 冲风之末力
'chong'feng'zhi'shuai 冲风之衰
'chong'fu 重复
'chong'huang'li 舂黄藜
'chong'man'tian'di 充满天地
'chong'ming 虫名
'chong'nv'bu'bi'xi 宠女不敝席
'chong'yi'zhe'shou 宠以着首
'chong'yu 崇禹
'chong'yu'ji'da'yu 崇禹即大禹
'chong'yu'sheng'kai 崇禹生开
'chou'chang'bei'ku 惆怅悲苦
'chou'fu'fang'lao 稠父防劳
'chou'lan 仇览
'chou'shan'ding'du 愁山定犊
'chou'si'zi'wei'yun 臭四字为韵
'chou'wei'yun 臭为韵
'chou'xiang'chuan 仇香传
'chu'ci 楚辞
'chu'ci'bu'zhu 楚辞补注
'chu'ci'zhao'hun 楚辞招魂
'chu'dong'men'xi'li'shi'ban 出东门兮厉石斑
'chu'guo'zheng'zai'gong'da 楚国正在攻打
'chu'hai'mo'ru'jin 除害莫如尽
'chu'ji'zhi'fu'heng'du'chu 畜妓之夫恒独处
'chu'jun'he'you 畜君何尤
'chu'kuang'jie'yu'ge 楚狂接舆歌
'chu'lao'shang 楚劳商
'chu'ling'yin'zi'xia'yin'yan 楚令尹子瑕引谚
'chu'lu'bu'tao'kui 触露不搯葵
'chu'lv 初虑
'chu'pin'ge 楚聘歌
'chu'qu'wo'shi'wu'yang'pi 初娶我时五羊皮
'chu'ren'ge 楚人歌
'chu'ren'song'zi'wen'ge 楚人诵子文歌
'chu'ren'wei'zhu'yu'ji'ge 楚人为诸御己歌
'chu'ren'yan 楚人谚
'chu'ren'yao 楚人谣
'chu'ren'yin'zhi'zuo 楚人因之作
'chu'shang'ge 楚商歌
'chu'sui'san'hu 楚虽三户
'chu'sui'san'hu'wang'qin'bi'chu 楚虽三户亡秦必楚
'chu'tong'yao 楚童谣
'chu'tou'san'cun'ze 锄头三寸泽
'chu'wang'du'jiang'de'ping'shi 楚王渡江得萍实
'chu'wei'zhi'ru'ju'zhi 出畏之入惧之
'chu'wu'che 出无车
'chu'xian'sheng 褚先生
'chu'xiang'sun'shu'ao'chi'lian'zhi'si 楚相孙叔敖持廉至死
'chu'xue'ji 初学记
'chu'yu'huang'di'wu'yi'yi 出于黄帝无疑矣
'chu'zhao'wang'shi'tong'yao 楚昭王时童谣
'chu'zhen 楚箴
'chu'zhi'wang'zi'zhi'yu'qin'zuo 楚之王子质于秦作
'chu'zhuang'gong'shi 楚庄公时
'chu'zi'shuo'yuan 出自说苑
'chuan'chan'yi'zu 传禅易祖
'chuan'da'ban 川大版
'chuan'li'bu'lou'zhen'ye 船里不漏针也
'chuan'qu'bu'gui 船去步归
'chuan'ya'wei'ping 川崖惟平
'chuan'yue 传曰
'chuan'ze'nei'wu 川泽内污
'chuang'chou'gou'huo'po'guo'du 创雠构祸破国都
'chuang'ran'er'bei 怆然而悲
'chui'ming 棰铭
'chui'peng 吹蓬
'chui'sheng'gu'huang 吹笙鼓簧
'chui'si'nan'yu 垂思南隅
'chui'yan'yi 炊扊扅
'chun'guan 春官
'chun'guan'zong'bo 春官宗伯
'chun'jia'zi'yu 春甲子雨
'chun'qiu'bao'gan'tu 春秋宝干图
'chun'qiu'chuan 春秋传
'chun'qiu'hou'yu 春秋后语
'chun'qiu'pian 春秋篇
'chun'qiu'shi'chang'chun'yao 春秋时长春谣
'chun'qiu'shi'ren'yu 春秋时人语
'chun'qiu'wei 春秋纬
'chun'qiu'wei'bao'qian'tu 春秋纬宝乾图
'chun'qiu'wei'yin'gu'yu 春秋纬引古语
'chun'qiu'zhan'guo'yi'ci 春秋战国异辞
'chun'qiu'zuo'zhuan'zhu 春秋左传注
'chun'shen'jun'chuan 春申君传
'chun'wang'er'chi'han 唇亡而齿寒
'chun'wang'ze'chi'han 唇亡则齿寒
'chun'you 春有
'chun'yu'bian'xia'yu 春雨变夏雨
'chuo'chuo'yi'ru'zhi'he 惙惙矣如之何
'ci'ben'gu'yu 此本古语
'ci'bu'gong'zhi'yu 此不恭之语
'ci'bu'jing 刺不敬
'ci'bu'zhang'bing 慈不掌兵
'ci'chu'chu'nan'gong 此处楚南公
'ci'dang'shi'lei'zhi 此当是类指
'ci'dang'wei'xian'qin'yan 此当为先秦谚
'ci'gai'qi'yao'ci 此盖其繇词
'ci'gai'yi'shi 此盖逸诗
'ci'ge'bu'lei 此歌不类
'ci'ge'yu 此歌与
'ci'gu'ren'shi'wen'you'yi'wu'yi 此古人诗文有意无意
'ci'gu'shi'huo 此故事或
'ci'han'shi'ye 此韩诗也
'ci'he'yi'er'tong'zhi'yu'hu 此何异儿童之语乎
'ci'huo'zai'dang'shi 此或在当时
'ci'ji 此即
'ci'ji'da'ze 祠祭大泽
'ci'jian'dong'tang'zhao'ling'fu'shi 赐饯东堂诏令赋诗
'ci'ju'qian'wei 此句前为
'ci'ju'wei'shi'su'jie'shi'yu 此句为史苏解释语
'ci'lun'guo'jian 此论过简
'ci'luo'shui'ge 祠洛水歌
'ci'ming'yi'fu 此命矣夫
'ci'shi'jue'bu'ke'neng 此诗绝不可能
'ci'shou'jian'liu'xiang'bie'lu 此首见刘向别录
'ci'sui'yi'fa'yang'qi'lv 此虽以发扬气律
'ci'suo'yan'gai'bu'shi'shu'za'ci 此所言盖卜筮书杂辞
'ci'suo'yin'yi'bu'tong 此所引亦不同
'ci'tian'ci 祠田辞
'ci'tiao 此条
'ci'tiao'du'wen'lan 此条杜文澜
'ci'tiao'duan'ju'bi'jiao'nan 此条断句比较难
'ci'tiao'sun'ben'wu 此条孙本无
'ci'tiao'wei'yan'yu 此条为谚语
'ci'tiao'you'xiang'xi'shuo'ming 此条有详细说明
'ci'wai'ci'ju'he'yi 此外此句何意
'ci'wei'liu'ju'ban 此为六句版
'ci'wei'shi'ji'yuan'wen'shun'xu 此为史记原文顺序
'ci'wen'chang'chuan'bai'liu'chu 此文长传百六初
'ci'wen'ci'qing'gan'qiang'lie 此文辞情感强烈
