'ai'e'xiang'gong'er'ji'xiong'sheng 爱恶相攻而吉凶生
'ding'zhe'zu 鼎折足
'ding'zhi'yi'ji'xiong 定之以吉凶
'dong'bei'sang'peng 东北丧朋
'dong'bu'qiong'ye 动不穷也
'dong'er'bu'kuo 动而不括
'dong'er'jian 动而健
'dong'er'mian'hu'xian 动而免乎险
'dong'er'ming 动而明
'dong'er'shuo 动而说
'dong'er'yi'shun'xing 动而以顺行
'dong'hu'xian'zhong 动乎险中
'dong'hui 动悔
'dong'jing'bu'shi'qi'shi 动静不失其时
'dong'jing'you'chang 动静有常
'dong'lin'sha'niu 东邻杀牛
'dong'long 栋隆
'dong'long'zhi'ji 栋隆之吉
'dong'rao 栋桡
'dong'rao'zhi'xiong 栋桡之凶
'dong'wan'wu'zhe 动万物者
'dong'ye 动也
'dong'zai'qi'zhong'yi 动在其中矣
'dong'ze'guan'qi'bian 动则观其变
'du'meng'ye 渎蒙也
'du'xing'yu'yu 独行遇雨
'du'xing'yuan'ye 独行愿也
'du'xing'zheng'ye 独行正也
'du'yuan'shi'ye 独远实也
'du'ze'bu'gao 渎则不告
'duan'ci'ze'bei'yi 断辞则备矣
'duan'mu'wei'chu 断木为杵
'dui'gua'zhong 兑卦终
'dui'jian 兑见
'dui'san'suo'er'de'nv 兑三索而得女
'dui'shang'dui'xia 兑上兑下
'dui'shang'gen'xia 兑上艮下
'dui'shang'kan'xia 兑上坎下
'dui'shang'kun'xia 兑上坤下
'dui'shang'li'xia 兑上离下
'dui'shang'qian'xia 兑上乾下
'dui'shang'xun'xia 兑上巽下
'dui'shang'zhen'xia 兑上震下
'dui'wei'kou 兑为口
'dui'wei'yang 兑为羊
'dui'wei'ze 兑为泽
'dui'yi'shuo'zhi 兑以说之
'dui'zhe'shuo'ye 兑者说也
'dui'zheng'qiu'ye 兑正秋也
'dun'er'heng'ye 遯而亨也
'dun'fu 敦复
'dun'fu'wu'hui 敦复无悔
'dun'gen 敦艮
'dun'gen'zhi'ji 敦艮之吉
'dun'gua'zhong 遯卦终
'dun'heng 遯亨
'dun'lin 敦临
'dun'lin'zhi'ji 敦临之吉
'dun'shi'er'wu'men 遯世而无闷
'dun'shi'wu'men 遯世无闷
'dun'wei 遯尾
'dun'wei'zhi'li 遯尾之厉
'dun'ze'tui'ye 遯则退也
'dun'zhe'tui'ye 遯者退也
'dun'zhi'shi'yi'da'yi'zai 遯之时义大矣哉
'e'bu'ji 恶不积
'er'bai'guo'cao'mu'jie'jia'che 而百果草木皆甲坼
'er'bai'yi'shi'you'liu 二百一十有六
'er'bu'ke'luan'ye 而不可乱也
'er'bu'ke'wu'ye 而不可恶也
'er'bu'liu'yu 而不留狱
'er'bu'shi'qi'zheng'zhe 而不失其正者
'er'cha'yu'min'zhi'gu 而察於民之故
'er'chang'yu'si'zhi 而畅於四支
'er'cheng'wei'hu'qi'zhong'yi 而成位乎其中矣
'er'da'heng'yi'yang'sheng'xian 而大亨以养圣贤
'er'dai'you'zhong'ye 而代有终也
'er'dao'ji'tian'xia 而道济天下
'er'de'bu'gu 而德不孤
'er'dong'ye'gang 而动也刚
'er'duo'yu 二多誉
'er'fu'wei'ye 而弗为也
'er'gang'de'zhong 而刚得中
'er'gang'rou'you'ti 而刚柔有体
'er'guan'qi'hui'tong 而观其会通
'er'gui'ke'yong'xiang 二簋可用享
'er'gui'ying'you'shi 二簋应有时
'er'hui'lin'zhu'ye 而悔吝著也
'er'ji'xiong'ke'jian'yi 而吉凶可见矣
'er'jia'dao'zheng 而家道正
'er'kan'xia'ye 而坎下也
'er'kuang'jian'hou'xing'shi'hu 而况建侯行师乎
'er'kuang'ren'yu'ren'hu 而况人於人乎
'er'kuang'yu'ren'hu 而况於人乎
'er'kui'qi'fang 而揆其方
'er'kun'xiang'yu'ye 而困相遇也
'er'lei'yu'zuo 而雷雨作
'er'li'gua 而立卦
'er'li'yu'yi 而理於义
'er'min'cong'zhi 而民从之
'er'neng'jiu'cheng 而能久成
'er'neng'jiu'zhao 而能久照
'er'ni'zhu'qi'xing'rong 而拟诸其形容
'er'ni'zhu'xing'rong 而拟诸形容
'er'nv'tong'ju 二女同居
'er'pian'zhi'ce 二篇之策
'er'qi'gan'ying'yi'xiang'yu 二气感应以相与
'er'qi'shi'lei'ye 而其事类也
'er'qi'shi'tong'ye 而其事同也
'er'qi'zhi'tong'ye 而其志同也
'er'qi'zhi'tong'ye 而其志通也
'er'ren'tong'xin 二人同心
'er'shang'xia'ying'zhi 而上下应之
'er'sheng'bu'lai'ye 而升不来也
'er'sheng'yao 而生爻
'er'shun'hu'gang 而顺乎刚
'er'si'shi'bu'tei 而四时不忒
'er'tian'di'wan'wu'zhi'qing'ke'jian'yi 而天地万物之情可见矣
'er'tian'xia'fu'yi 而天下服矣
'er'tian'xia'hua'cheng 而天下化成
'er'tian'xia'sui'shi 而天下随时
'er'tian'xia'wu'bang'ye 而天下无邦也
'er'tian'xia'yi'zhi'li'yi 而天下矣之理矣
'er'tian'xia'zhi'ye 而天下治也
'er'wan'qi'ci 而玩其辞
'er'wan'qi'zhan 而玩其占
'er'wan'wu'bu'tong'ye 而万物不通也
'er'wan'wu'bu'xing 而万物不兴
'er'wan'wu'du 而万物覩
'er'wan'wu'tong'ye 而万物通也
'er'wei'xian'chan'you 而微显阐幽
'er'wei'zhu'yu'nei 而为主於内
'er'xing'you'heng 而行有恒
'er'xun'fu'ye 而巽伏也
'er'yi'li'hu'qi'zhong'yi 而易立乎其中矣
'er'yi'xing'hu'qi'zhong'yi 而易行乎其中矣
'er'ying'hu'qian 而应乎乾
'er'ying'hu'ren 而应乎人
'er'yong'ke'zhong'ye 而用可重也
'er'yu'dai'ye 而豫怠也
'er'yu'si'wei 二与四位
'fa'hui'yu'gang'rou 发挥於刚柔
'fa'meng 发蒙
'fa'xiang'mo'da'hu'tian'di 法象莫大乎天地
'fa'yu'shi'ye 发於事业
'fan'chang'ye 反常也
'fan'fu'dao'ye 反复道也
'fan'fu'qi'dao 反复其道
'fan'gui'yi'di 反归以娣
'fan'jue'bu'lei 藩决不羸
'fan'jun'dao'ye 反君道也
'fan'san'bai'you'liu'shi 凡三百有六十
'fan'shen'zhi'wei'ye 反身之谓也
'fan'tian'di'zhi'shu 凡天地之数
'fan'wei'tian'di'zhi'hua'er'bu'guo 范围天地之化而不过
'fan'yi'zhi'dao 凡益之道
'fan'yi'zhi'qing 凡易之情
'fang'qi'yi'ye 方其义也
'fang'yi'lei'ju 方以类聚
'fang'yi'zhi 方以知
'fang'yu'kui'hui 方雨亏悔
'fei'dun 肥遯
'fei'fu 匪孚
'fei'gong'zhi'gu 匪躬之故
'fei'jiu 匪咎
'fei'kou'hun'gou 匪寇婚媾
'fei'li'qun'ye 非离群也
'fei'long'zai'tian 飞龙在天
'fei'niao'li'zhi 飞鸟离之
'fei'niao'wei'zhi'yin 飞鸟遗之音
'fei'niao'yi'xiong 飞鸟以凶
'fei'qi'peng 匪其彭
'fei'suo'ju'er'ju'yan 非所据而据焉
'fei'suo'kun'er'kun'yan 非所困而困焉
'fei'tian'xia'zhi'zhi'bian 非天下之致变
'fei'tian'xia'zhi'zhi'jing 非天下之至精
'fei'tian'xia'zhi'zhi'shen 非天下之致神
'fei'wei'xie'ye 非为邪也
'fei'wo'qiu'tong'meng 匪我求童蒙
'fei'yi'suo'si 匪夷所思
'fei'yi'zhao'yi'xi'zhi'gu 非一朝一夕之故
'fen'er'wei'er'yi'xiang'liang 分而为二以象两
'fen'gang'shang'er'wen'rou 分刚上而文柔
'fen'ru 焚如
'fen'ruo'zhi'ji 纷若之吉
'fen'shi'zhi'ya 豮豕之牙
'fen'yin'fen'yang 分阴分阳
'feng'cong'hu 风从虎
'feng'de'guan 风地观
'feng'duo'gu 丰多故
'feng'gua'zhong 丰卦终
'feng'huo'jia'ren 风火家人
'feng'lei 风雷
'feng'lei'yi 风雷益
'feng'qi'bu 丰其蔀
'feng'qi'pei 丰其沛
'feng'qi'wu 丰其屋
'feng'shan'jian 风山渐
'feng'shui'huan 风水涣
'feng'tian'xiao'chu 风天小畜
'feng'xing'di'shang 风行地上
'feng'xing'shui'shang 风行水上
'feng'xing'tian'shang 风行天上
'feng'yi'san'zhi 风以散之
'feng'ze'zhong'fu 风泽中孚
'feng'zhe'da'ye 丰者大也
'feng'zi'huo'chu 风自火出
'fou'gua'zhong 否卦终
'fou'zang'xiong 否臧凶
'fou'zhi'fei'ren 否之匪人
