'a'duo'na'er 阿多纳尔
'an'de'lie'yi'gu'ao'da'la 安德烈伊古奥达拉
'an'de'lu'bai'na'mu 安德鲁拜纳姆
'an'de'lu'bo'ge'te 安德鲁博格特
'an'de'lu'bo'gu'te 安德鲁博古特
'an'de'lu'bo'la'qi 安德鲁博拉奇
'an'de'lu'ou'wen'si 安德鲁欧文斯
'an'de'lu'qiao'dan 安德鲁乔丹
'an'de'sen'wa'lai'qiao 安德森瓦莱乔
'an'di'si'nuo'xi'ao'ni 安迪斯诺西奥尼
'an'dong'ni 安东尼
'an'dong'ni'ao'dan'ni'er'si 安东尼奥丹尼尔斯
'an'dong'ni'ao'mai'ke'dai'si 安东尼奥麦克戴斯
'an'dong'ni'ka'te 安东尼卡特
'an'dong'ni'pa'ke 安东尼帕克
'an'dong'ni'wo'ke 安东尼沃克
'an'dong'ni'yue'han'xun 安东尼约翰逊
'an'fen'ni 安芬尼
'an'fen'ni'ha'da'wei 安芬尼哈达威
'an'te'wei'pu'ju'ren 安特卫普巨人
'an'tuo'ai'nie 安托艾涅
'an'tuo'ai'nie'huai'te 安托艾涅怀特
'an'tuo'wan'jia'mi'sen 安托万贾米森
'an'tuo'wan'wo'ke 安托万沃克
'an'xiang 安翔
'ang'ge'mai'si 昂戈麦斯
'ao'ben'shan'qiu'chang 奥本山球场
'ao'bo'tuo 奥博托
'ao'bu'lai'en'bei 奥布莱恩杯
'ao'bu'lai'en'te 奥布赖恩特
'ao'de'jie 奥得捷
'ao'deng 奥登
'ao'duo'mu 奥多姆
'ao'er'de'li'qi 奥尔德里奇
'ao'er'deng'bo'ge 奥尔登博格
'ao'gu'si'ding 奥古斯丁
'ao'gu'si'ting 奥古斯汀
'ao'ka'fu 奥卡福
'ao'ke'lan'qiu'guan 奥克兰球馆
'ao'ku 奥库
'ao'la'zhu'wang 奥拉朱旺
'ao'lai'ke'xi 奥莱克西
'ao'lai'ke'xi'pei'qie'luo'fu 奥莱克西佩切洛夫
'ao'lan'duo'mo'shu 奥兰多魔术
'ao'li'en 奥里恩
'ao'li'en'ge'lin 奥里恩格林
'ao'lin'bei'na'tong 奥林贝纳通
'ao'luo'wo'kan'di 奥洛沃坎迪
'ao'ni'er 奥尼尔
'ao'sai'la 奥塞拉
'ao'sai'la'ha'ling'dun 奥塞拉哈灵顿
'ao'shen 奥神
'ao'si'ka'luo'bo'xun 奥斯卡罗伯逊
'ao'si'tan'de'tai'lin'da'si 奥斯坦德泰林达斯
'ao'si'ting'ke'luo'xi'er 奥斯汀克罗希尔
'ao'te'lao 奥特劳
'ao'te'luo 奥特洛
'ao'te'luo 奥特罗
'ao'wa'lun'si'hang'kong 奥瓦伦斯航空
'ba'ba'ka'ka'ma'la 巴巴卡卡马拉
'ba'bo'sa 巴博萨
'ba'di'er 巴蒂尔
'ba'dui'fang'qiu'yuan'dang'zhu 把对方球员挡住
'ba'en'si 巴恩斯
'ba'er'de'mo'zi'dan 巴尔的摩子弹
'ba'ge'na'ni 巴格纳尼
'ba'ke'li 巴克利
'ba'ke'na 巴克纳
'ba'li 巴里
'ba'lun'sai'si'tuo'lai'ang 巴伦塞斯托莱昂
'ba'lun'xi'ya'pa'mei'sa 巴伦西亚帕梅萨
'ba'nei'si 巴内斯
'ba'ni'ya'ni 巴尼亚尼
'ba'rui'er 巴瑞尔
'ba'si 巴斯
'ba'te'er 巴特尔
'ba'te'le 巴特勒
'ba'yi'fu'bang 八一富邦
'ba'yi'huo'jian 八一火箭
'ba'yi'huo'jian'dui 八一火箭队
'ba'yi'shuang'lu'dian'chi 八一双鹿电池
'ba'yi'shuang'lu'dian'chi'dui 八一双鹿电池队
'ba'zhi'chao 巴智超
'bai'fan 白帆
'bai'lun'dai'wei'si 拜伦戴维斯
'bai'mu 拜姆
'bai'na'mu 拜纳姆
'bai'shi'zhong'xin 百事中心
'bai'shi'zhong'xin'qiu'guan 百事中心球馆
'ban'bei'ge'bu'luo'si 班贝格布罗斯
'ban'deng'dui'yuan 板凳队员
'ban'deng'qiu'yuan 板凳球员
'ban'ke'si 班克斯
'bang'qi'wei'er'shi 邦奇维尔士
'bang'qi'wei'er'si 邦齐威尔斯
'bang'qi'wei'er'si 邦奇威尔斯
'bang'yan'xiu 榜眼秀
'bao'ao'xi'si 保奥希斯
'bao'bi'bu'lang 鲍比布朗
'bao'bi'jie'ke'xun 鲍比杰克逊
'bao'bi'qiong'si 鲍比琼斯
'bao'bi'xi'meng'si 鲍比西蒙斯
'bao'bo'ku'xi 鲍勃库锡
'bao'bo'pei'di'te 鲍勃佩蒂特
'bao'jia 包夹
'bao'jia'li'ya'lu'kao'yi'xue'yuan 保加利亚卢考伊学院
'bao'li'si'di'ao 鲍里斯迪奥
'bao'luo 保罗
'bao'luo'dai'wei'si 保罗戴维斯
'bao'luo'jia'suo'er 保罗加索尔
'bao'luo'mi'er'sa'pu 保罗米尔萨普
'bao'luo'pi'er'si 保罗皮尔斯
'bao'wei 鲍威
'bao'wen 鲍文
'bao'xu 包许
'bei'er 贝尔
'bei'er'ge'lai'de'you'ji'dui 贝尔格莱德游击队
'bei'hou'huan'shou'yun'qiu 背后换手运球
'bei'hou'yun'qiu 背后运球
'bei'jing'ao'shen 北京奥神
'bei'jing'jin'yu 北京金隅
'bei'jing'jin'yu'dui 北京金隅队
'bei'jing'shou'gang 北京首钢
'bei'jing'ya'dui 北京鸭队
'bei'kao'bei 背靠背
'bei'le 贝勒
'bei'li'nei'li 贝里内利
'bei'shen'dan'da 背身单打
'bei'shen'guan'lan 背身灌篮
'ben'gao'deng 本高登
'ben'ge'deng 本戈登
'ben'hua'lai'shi 本华莱士
'bi'bi 毕比
'bi'de'lin'si 比德林斯
'bi'er'ba'e 毕尔巴厄
'bi'er'wo'er'dun 比尔沃尔顿
'bi'er'wo'ke 比尔沃克
'bi'li'shi'cha'lei'luo 比利时查雷罗
'bi'li'tuo'ma'si 比利托马斯
'bi'lu'pu'si 比卢普斯
'bi'nuo'you'de'li 比诺尤德里
'bi'sai'de'di'er'jie 比赛的第二节
'bi'sai'de'di'san'jie 比赛的第三节
'bi'sai'de'di'si'jie 比赛的第四节
'bi'sai'de'di'yi'jie 比赛的第一节
'bi'sai'pian 比赛篇
'bi'sai'yong'shi'zhong 比赛用时钟
'bi'ye'la'an'ji'li'ge 比耶拉安吉利哥
'bian'qiang 边强
'biao'ba'zhong'xin 标靶中心
'biao'ba'zhong'xin'qiu'guan 标靶中心球馆
'biao'yan'shi'ke 表演时刻
'bo'ao'te'luo 博奥特罗
'bo'en'dian'xin 波恩电信
'bo'gan'si 博甘斯
'bo'ge'te 博格特
'bo'la'de 波拉德
'bo'la'qi 博拉奇
'bo'lan'an'wei'er 波兰安维尔
'bo'lan'si'la'si'ke 波兰斯拉斯克
'bo'lan'suo'bo'te 波兰索波特
'bo'lan'tu'luo'fu 波兰图罗夫
'bo'lie'sen 博列森
'bo'lin'chen'qu 柏林晨曲
'bo'luo'ni'ya'wei'di'wei'qi 博洛尼亚维迪维奇
'bo'luo'ni'ya'wu'bi'mu 博洛尼亚乌比姆
'bo'na'de'luo'bin'xun 伯纳德罗宾逊
'bo'ni'fei'si'nie'dun 博尼费斯涅顿
'bo'shen 伯什
'bo'shen 波什
'bo'shi'dun'kai'er'te'ren 波士顿凯尔特人
'bo'shi'dun'kai'er'te'ren'dui 波士顿凯尔特人队
'bo'si'jian 波斯简
'bo'si'jian'nuo'ke'ba 波斯简诺克巴
'bo'si'ni'ya'bo'si'na 波斯尼亚波斯纳
'bo'ta'pan'ke 波塔潘科
'bo'te'lan'kai'tuo'zhe 波特兰开拓者
'bo'te'luo 波特洛
'bo'wen 勃文
'bo'xi 波西
'bo'yi'jin'si 博伊金斯
'bo'yi'si'di'ao 博伊斯迪奥
'bu'da'nuo'si'te 布达诺斯特
'bu'fang 补防
'bu'la'de'li'zhong'xin 布拉德利中心
'bu'la'de'mi'le 布拉德米勒
'bu'lai'en'ge'lan'te 布莱恩格兰特
'bu'lai'en'ka'di'na'er 布莱恩卡迪纳尔
'bu'lai'en'ku'ke 布莱恩库克
'bu'lai'en'si'jin'na 布莱恩斯金纳
'bu'lai'en'si'ka'la'bu'lai'en 布莱恩斯卡拉布赖恩
'bu'lai'en'te 布莱恩特
'bu'lai'mei'gang'bei'ji'xiong 不莱梅港北极熊
'bu'lai'wen'nai'te 布莱文奈特
'bu'lan 补篮
'bu'lan'de 布兰德
'bu'lan'deng'ba'si 布兰登巴斯
'bu'lan'deng'hai'wu'de 布兰登海伍德
'bu'lan'deng'lai'te 布兰登赖特
'bu'lan'dun'ba'si 布兰顿巴斯
'bu'lan'dun'hua'lai'shi 布兰顿华莱士
'bu'lan'dun'la'shi 布兰顿拉什
'bu'lan'dun'luo'yi 布兰顿罗伊
'bu'lang 布朗
'bu'lei'ke 布雷克
'bu'lei'ze'ke 布雷泽克
'bu'li'si'huai'te 布里斯怀特
'bu'lu'ke'luo'pei'zi 布鲁克洛佩兹
'bu'lu'ke'si 布鲁克斯
'bu'lu'si'bao'wen 布鲁斯鲍文
'bu'lun'dan 布伦丹
'bu'lun'dan'hai'wu'de 布伦丹海伍德
'bu'lun'sen 布伦森
'bu'lun'te'ba'li 布伦特巴里
'bu'wei 补位
'bu'xing'zhe 步行者
'bu'xing'zhe'dui 步行者队
'bu'ze 布泽
'bu'ze'er 布泽尔
'ca'ban'qiu 擦板球
'ca'ban'tou'lan 擦板投篮
'cai'liang 蔡亮
'cai'niao'qiu'yuan 菜鸟球员
'cao'fei 曹飞
'cao'zhen'hua 曹振华
'ce'ying 策应
'cen'ke 岑克
'cen'ke'ha'ye'si 岑克哈耶斯
'cha'er'li 查尔里
'cha'er'li'wei'la'niu'wa 查尔里维拉纽瓦
'cha'er'si'ba'ke'li 查尔斯巴克利
'cha'ji'a'te'jin'si 查基阿特金斯
'cha'ka'li'di'si 查卡利迪斯
'cha'ke'hai'ye'si 查克海耶斯
'cha'li'bei'er 查理贝尔
'chai'de'li'si 柴德里斯
'chang'chuan 长传
'chang'di'zhuang'bei 场地装备
'chang'gui'sai 常规赛
'chang'jun'de'fen 场均得分
'chang'jun'gai'mao 场均盖帽
'chang'jun'qiang'duan 场均抢断
'chang'jun'shu'ju 场均数据
'chang'xi'bi'lu'pu'si 昌西比卢普斯
'chang'zan'ting 长暂停
'chao'jie 抄截
'chao'yin'su 超音速
'chen'da'wei 陈大伟
'chen'jiang'hua 陈江华
'chen'kai 陈开
'chen'ke 陈可
'chen'lei 陈磊
'chen'xiao'dong 陈晓东
'chen'xin 陈鑫
'chen'zhao'sheng 陈照升
'chen'zhe'long 陈哲龙
'cheng'shi'guang'chang'qiu'guan 城市广场球馆
'chi'qiu 持球
'chou'hua 仇华
'chou'su'bing 仇素兵
'chu'ji'lan'kuang 触及篮框
'chu'jie 出界
'chu'quan'da'jia 出拳打架
'chuan'qie 传切
'chuan'qie'zhan'shu 传切战术
'chuan'qiu 传球
'cong'liang'bian'di'xian'wang'lan'xia 从两边底线往篮下
'cong'zhi'xin 从志新
'cun'shou'wei 寸守伟
'cuo'wei'fang'shou 错位防守
'da'ban'ru'kuang 打板入筐
'da'ban'tou'lan 打板投篮
'da'cheng'sheng'hua 大成生化
'da'di'qiong'si 达迪琼斯
'da'guai'zi 打拐子
'da'hao'liang'shuang 大号两双
'da'hua'dui 大华队
'da'ke'mi'li'xi'qi 达科米里西奇
'da'ke'mi'li'xi'qi 达科米利西奇
'da'kui'an'ku'ke 达奎安库克
'da'la'si'xiao'niu 达拉斯小牛
'da'lei'er 达雷尔
'da'lei'er'a'mu'si'te'lang 达雷尔阿姆斯特朗
'da'li'guan'lan 大力灌篮
'da'li'ke'ma'ding 达里克马丁
'da'liu'si'mai'er'si 达柳斯迈尔斯
'da'lu'hang'kong'qiu'chang 大陆航空球场
'da'lu'lan'qiu'xie'hui 大陆篮球协会
'da'meng'qiong'si 达蒙琼斯
'da'meng'si'ta'de'mai'er 达蒙斯塔德迈尔
'da'qian'feng 大前锋
'da'qiu'zhan'shu 大球战术
'da'rui'er'si 达瑞尔斯
'da'rui'er'si'mai'er'si 达瑞尔斯迈尔斯
'da'rui'er'wo'te'jin'si 达瑞尔沃特金斯
'da'rui'si'sang'jia'la 达瑞斯桑贾拉
'da'san'fen 打三分
'da'shou'fan'gui 打手犯规
'da'si'fen 打四分
'da'wei'ha'li'sen 大卫哈里森
'da'wei'li 大卫李
'da'wei'luo'bin'xun 大卫罗宾逊
'da'wei'nuo'er 大卫诺尔
'da'wei'wei'si'li 大卫韦斯利
'da'wei'wei'si'te 大卫韦斯特
'da'xi'yang'qu 大西洋区
'da'xi'yang'sai'qu 大西洋赛区
'da'xue'sheng'yun'dong'xie'hui 大学生运动协会
'da'xue'yun'dong'xie'hui 大学运动协会
'dai'de'er'ai'lu'jia'mu'peng'jia 戴德尔艾鲁加姆鹏加
'dai'er'dai'wei'si 戴尔戴维斯
'dai'fu'kao'en'si 戴夫考恩斯
'dai'kui'en 戴奎恩
'dai'kui'en'ku'ke 戴奎恩库克
'dai'le'mu'bo'te 戴勒姆波特
'dai'mi'en'wei'er'jin'si 戴米恩威尔金斯
'dai'qiu'shang'lan 带球上篮
'dai'qiu'zhuang'ren 带球撞人
'dai'qiu'zhuang'ren'fan'gui 带球撞人犯规
'dai'qiu'zou'bu 带球走步
'dai'si'meng'de'mei'sen 戴斯蒙德梅森
'dai'wei'si 戴维斯
'dai'yong 代勇
'dan'bo'shi'ai'fei'er'ta 丹博施埃菲尔塔
'dan'chi 单吃
'dan'chi'dui'fang'fang'shou'qiu'yuan 单吃对方防守球员
'dan'da 单打
'dan'dang'yan'hu 单挡掩护
'dan'di'kao 丹迪考
'dan'fo'jue'jin 丹佛掘金
'dan'jia'zu'li'qi 丹加祖里奇
'dan'ni'er'bu'lang 丹尼尔布朗
'dan'ni'er'ji'bu'sen 丹尼尔吉布森
'dan'ni'er'si 丹尼尔斯
'dan'ni'er'yi'wen 丹尼尔伊文
'dan'ni'fu'te'sen 丹尼福特森
'dan'ni'ge'lan'ge 丹尼格兰格
'dan'ni'ge'lan'jie 丹尼格兰杰
'dan'pi'er 丹皮尔
'dan'tao 单涛
'dan'te'qiong'si 丹特琼斯
'dang'chai 挡拆
'dang'qie'zhan'shu 挡切战术
'de'er'fei'nuo 德尔菲诺
'de'er'ke 德尔克
'de'er'ta'zhong'xin 德尔塔中心
'de'er'ta'zhong'xin'qiu'guan 德尔塔中心球馆
'de'fen 得分
'de'fen'hou'wei 得分后卫
'de'fen'wang 得分王
'de'guo'ao'er'deng'bo'ge 德国奥尔登博格
'de'guo'ban'bei'ge'bu'luo'si 德国班贝格布罗斯
'de'guo'bo'en'dian'xin 德国波恩电信
'de'guo'bo'lin'chen'qu 德国柏林晨曲
'de'guo'bu'lai'mei'gang'bei'ji'xiong 德国不莱梅港北极熊
'de'guo'bu'lun'rui'ke 德国不伦瑞克
'de'guo'ge'ting'gen 德国哥廷根
'de'guo'ji'sen'a'wei'tuo'si 德国吉森阿维托斯
'de'guo'jia'ji'lian'sai 德国甲级联赛
'de'guo'ke'long'jiu'jiu'ren 德国科隆九九人
'de'guo'lan'qiu'jia'ji'lian'sai 德国篮球甲级联赛
'de'guo'le'wo'ku'sen 德国勒沃库森
'de'guo'lu'de'wei'xi'bao 德国路德维希堡
'de'guo'pa'de'bo'en 德国帕德博恩
'de'guo'wu'er'mu'yi'ba'si'liu 德国乌尔姆一八四六
'de'guo'ya'te'lan'long 德国亚特兰龙
'de'guo'ye'na'ke'xue'cheng 德国耶拿科学城
'de'huai'en'qiong'si 德怀恩琼斯
'de'huai'en'wei'de 德怀恩韦德
'de'huai'te'huo'hua'de 德怀特霍华德
'de'ke'nuo'wei'ci'ji 德克诺维茨基
'de'ke'nuo'wei'si'ji 德克诺维斯基
'de'lang'te 德朗特
'de'lang'te'wei'si'te 德朗特韦斯特
'de'le'hei 德勒黑
'de'li'ke 德里克
'de'li'ke'an'de'sen 德里克安德森
'de'li'ke'fei'she'er 德里克费舍尔
'de'li'ke'ma'ding 德里克马丁
'de'long'wei'lian'mu'si 德隆威廉姆斯
'de'lu'gu'deng 德鲁古登
'de'ma'er'yue'han'xun 德玛尔约翰逊
'de'ma'ku'si'ni'er'sen 德马库斯尼尔森
'de'ma'si'te 德玛斯特
'de'sa'gai'na 德萨盖纳
'de'sa'gai'na'di'ao'pu 德萨盖纳迪奥普
'de'si'meng'de 德斯蒙德
'de'si'meng'de'mei'sen 德斯蒙德梅森
'de'wei'en'qiong'si 德维恩琼斯
'de'wen'bu'lang 德文布朗
'de'wen'ge'lin 德文格林
'de'wen'ha'li'si 德文哈里斯
'de'wen'qiao'zhi 德文乔治
'de'wen'wei'de 德文韦德
'de'xiao'en'shi'di'wen'sen 德肖恩史蒂文森
'deng'ken 邓肯
'deng'li 邓力
'deng'li'wei 邓利维
'di'a'wa'la 迪阿瓦拉
'di'an'na 迪安纳
'di'ao'gu 迪奥古
'di'ao'pu 迪奥普
'di'ban'qiu 地板球
'di'bin'gen'wo'er'ci'lao'hu 蒂宾根沃尔茨老虎
'di'er'nian'qiu'yuan 第二年球员
'di'er'zhen'rong 第二阵容
'di'kao 迪考
'di'ken'bei 迪肯贝
'di'ken'bei'mu'tuo'mu'bo 迪肯贝穆托姆博
'di'liu'ren 第六人
'di'long'wei'lian'mu'si 狄龙威廉姆斯
'di'mu'deng'ken 蒂姆邓肯
'di'mu'tuo'ma'si 蒂姆托马斯
'di'te'lv'huo'sai 底特律活塞
'di'te'lv'lie'ying 底特律猎鹰
'di'te'lv'lie'ying'dui 底特律猎鹰队
'di'wen'bu'lang 迪文布朗
'di'wen'ge'lin 迪文格林
'di'wen'qiao'zhi 迪文乔治
'di'xian 底线
'di'xian'qie'ru 底线切入
'di'xian'qu'yu 底线区域
'di'xiao'en'shi'di'wen'sen 迪肖恩史蒂文森
'di'xiao'wei 邸晓伟
'di'yi'lian'meng'zhong'xin 第一联盟中心
'di'yi'zhen'rong 第一阵容
'ding'dian'tou'lan 定点投篮
'ding'jin'hui 丁锦辉
'ding'ren'fang'shou 盯人防守
'dong'bu'lian'meng 东部联盟
'dong'fang'da'sha'yu 东方大鲨鱼
'dong'guan'lie'bao 东莞烈豹
'dong'guan'lie'bao'dui 东莞烈豹队
'dong'guan'ma'ke'bo'luo 东莞马可波罗
'dong'guan'xin'shi'ji 东莞新世纪
'dong'guan'xin'shi'ji'dui 东莞新世纪队
'dong'guan'yin'hang 东莞银行
'dong'han'lin 董瀚麟
'dong'nan'qu 东南区
'dong'nan'sai'qu 东南赛区
'dong'sheng 东盛
'dong'te'ge'lin 东特格林
'dong'zuo'pian 动作篇
'dou'niu 斗牛
'du'de'li 杜德利
'du'feng 杜锋
'du'hong 杜洪
'du'jiang 杜江
'du'lan'te 杜兰特
'du'nuo'tai'le 杜诺泰勒
'du'pu'li 杜普里
'du'wan'tai'te 杜万泰特
'duan'cheng'long 段成龙
'duan'jiang'peng 段江鹏
'duan'zan'ting 短暂停
'duo'lei'er 多雷尔
'duo'lei'er'lai'te 多雷尔赖特
'duo'lie'ya'ke 多列亚克
'duo'lun'duo'ai'si'ji'mo'ren 多伦多爱斯基摩人
'duo'lun'duo'ai'si'ji'mo'ren'dui 多伦多爱斯基摩人队
'duo'lun'duo'meng'long 多伦多猛龙
'duo'mi'ni'ke'mai'ke'kui'er 多米尼克麦克奎尔
'duo'ni'pa'ke 多尼帕克
'e'chao 俄超
'e'er'ba'long 厄尔巴龙
'e'er'bo'yi'jin'si 厄尔博伊金斯
'e'er'wo'te'sen 厄尔沃特森
'e'ke'la'he'ma'lei'ting 俄克拉荷马雷霆
'e'luo'si'chao'ji'lian'sai 俄罗斯超级联赛
'e'luo'si'lan'qiu'chao'ji'lian'sai 俄罗斯篮球超级联赛
'e'luo'si'xi'mu'ji 俄罗斯希姆基
'e'xing'fan'gui 恶性犯规
'e'yi'fan'gui 恶意犯规
'er'hao'wei'zhi'qiu'yuan 二号位置球员
'er'san'lian'fang 二三联防
'er'shi'miao'zhong'de'zan'ting 二十秒钟的暂停
'er'shi'si'miao'nei'bi'xu'tou'lan 二十四秒内必须投篮
'er'yun 二运
'er'zhong'feng 二中锋
'fa'bu'li'xi'ao'ao'bo'tuo 法布里西奥奥博托
'fa'bu'rui'si'er 法布瑞斯尔
'fa'bu'rui'si'er'ao'bo'tuo 法布瑞斯尔奥博托
'fa'er'dun 法尔顿
'fa'guo'a'si'wei'er 法国阿斯维尔
'fa'guo'ao'er'liang 法国奥尔良
'fa'guo'bao'ao'xi'si 法国保奥希斯
'fa'guo'di'rong 法国第戎
'fa'guo'ge'lei'wen'lai'en'si 法国格雷文莱恩斯
'fa'guo'jia'ji'lian'sai 法国甲级联赛
'fa'guo'ke'lai'meng 法国克莱蒙
'fa'guo'lan'qiu'jia'ji'lian'sai 法国篮球甲级联赛
'fa'guo'le'a'fu'er 法国勒阿弗尔
'fa'guo'le'mang 法国勒芒
'fa'guo'luo'ang 法国罗昂
'fa'guo'nan'xi 法国南锡
'fa'guo'shao'lai 法国绍莱
'fa'guo'si'te'la'si'bao 法国斯特拉斯堡
'fa'guo'suo'en'he'pan'sha'long 法国索恩河畔沙隆
'fa'guo'wei'xi 法国维希
'fa'guo'ye'er'tu'lun 法国耶尔土伦
'fa'lan'ke'fu'ou'bao'ke'ji 法兰克福欧宝客机
'fa'li'ke'si 法利克斯
'fa'qiu 发球
'fa'qiu 罚球
'fa'qiu'jin'gong'lan'ban'qiu 罚球进攻篮板球
'fa'qiu'ming'zhong'lv 罚球命中率
'fa'qiu'quan 罚球圈
'fa'qiu'ru'chang 发球入场
'fa'qiu'wu'miao'wei'li 发球五秒违例
'fa'qiu'xian 罚球线
'fan'ai'ke'sai'er 范埃克塞尔
'fan'bin 范斌
'fan'gui 犯规
'fan'gui'dong'zuo 犯规动作
'fan'gui'man 犯规满
'fan'gui'man'li'chang 犯规满离场
'fan'gui'zhan'shu 犯规战术
'fan'huo'en 范霍恩
'fan'lan 反篮
'fan'man'li'chang 犯满离场
'fan'shou'shang'lan 反手上篮
'fan'shou'zou'lan 反手走篮
'fan'tan'qiu 反弹球
'fan'wan 翻腕
'fan'zhao'yu 范兆宇
'fang'hui 房辉
'fang'shou'di'er'zhen'rong 防守第二阵容
'fang'shou'di'yi'zhen'rong 防守第一阵容
'fang'shou'fan'gui 防守犯规
'fang'shou'fang'gan'rao'tou'lan'de'fen 防守方干扰投篮得分
'fang'shou'gan'rao 防守干扰
'fang'shou'lan'ban 防守篮板
'fang'shou'lan'ban'qiu 防守篮板球
'fang'shou'qiu'yuan 防守球员
'fang'shou'san'miao 防守三秒
'fang'shou'san'miao'wei'li 防守三秒违例
'fang'shou'wei'li 防守违例
'fei'cheng'qi'liu'ren 费城七六人
'fei'cheng'qi'liu'ren'dui 费城七六人队
'fei'cheng'qi'shi'liu'ren 费城七十六人
'fei'cheng'qi'shi'liu'ren'dui 费城七十六人队
'fei'cheng'ren 费城人
'fei'cheng'wu'shi 费城武士
'fei'cheng'wu'shi'dui 费城武士队
'fei'li'pu'si 飞利浦斯
'fei'li'pu'si'qiu'chang 飞利浦斯球场
'fei'nei'ba'qie'wu'er'ke 费内巴切乌尔克
'fei'ni'ke'si'tai'yang 菲尼克斯太阳
'fei'she'er 费舍尔
'fei'shen'ke 费申科
'fei'shen'kou'lan 飞身扣篮
'fei'ze'er 费泽尔
'fei'zi'ka'si 费兹卡斯
