'a'ba'du'lu'zhe'na 阿跋度路柘那
'a'mi'tuo'chan'fa 阿弥陀忏法
'a'mi'tuo'cheng'dao'yin'guo 阿弥陀成道因果
'a'mi'tuo'da'xin'zhou 阿弥陀大心咒
'a'mi'tuo'er'shen 阿弥陀二身
'a'mi'tuo'er'xie'shi 阿弥陀二胁侍
'a'mi'tuo'gen'ben'yin 阿弥陀根本印
'a'mi'tuo'hu'mo 阿弥陀护摩
'a'mi'tuo'jia'liang 阿弥陀迦良
'a'mi'tuo'jiang 阿弥陀讲
'a'mi'tuo'jing 阿弥陀经
'a'mi'tuo'jing'bu'si'yi'shen'li'chuan 阿弥陀经不思议神力传
'a'mi'tuo'jing'jue'shi'yi 阿弥陀经决十疑
'a'mi'tuo'jing'kai'ti 阿弥陀经开题
'a'mi'tuo'jiu'pin'man'tu'luo 阿弥陀九品曼荼罗
'a'mi'tuo'man'tu'luo 阿弥陀曼荼罗
'a'mi'tuo'po'ye 阿弥陀婆耶
'a'mi'tuo'san'mo'ye'xing 阿弥陀三摩耶形
'a'mi'tuo'san'zun 阿弥陀三尊
'a'mi'tuo'tan'na 阿弥陀檀那
'a'mi'tuo'wu'fo 阿弥陀五佛
'a'mi'tuo'xiang'hao'yin'xiang 阿弥陀相好印相
'a'mi'tuo'yu 阿弥陀鱼
'a'mi'tuo'zhen'yan 阿弥陀真言
'a'mi'tuo'zhong'zi 阿弥陀种子
'a'mo 阿摩
'a'mo'duo 阿末多
'a'mo'jie'tuo 阿摩揭陀
'a'mo'le 阿摩勒
'a'mo'luo 阿末罗
'a'mo'luo'jia 阿摩洛迦
'a'mo'luo'shi 阿摩罗识
'a'mo'ti 阿摩提
'a'mo'zhou 阿摩昼
'a'mo'zhou'jing 阿摩昼经
'a'mou'jia 阿牟伽
'a'mou'jia'po'she 阿牟伽皤赊
'a'mu'duo'yin 阿目多印
'a'mu'qu 阿目佉
'a'mu'qu'ba'zhe'duo 阿目佉跋折多
'a'mu'qu'bo'zhe'luo 阿目佉跛折罗
'a'na 阿拏
'a'na'a'bo'na 阿那阿波那
'a'na'ban'na 阿那般那
'a'na'bin'di 阿那邠邸
'a'na'bin'di'jing 阿那邠邸经
'a'na'bo'da'duo 阿那波达多
'a'na'bo'na 阿那波那
'a'na'han 阿那含
'a'na'han'guo 阿那含果
'a'na'han'xiang 阿那含向
'a'na'hu'zha'lu 阿那呼咤卢
'a'na'jia'mi 阿那伽弥
'a'na'jia'mi 阿那伽迷
'a'na'lv 阿那律
'a'na'lv'jing 阿那律经
'a'na'lv'shi'ming 阿那律失明
'a'na'lv'tian'yan 阿那律天眼
'a'na'lv'tuo 阿那律陀
'a'na'lv'tuo'jing 阿那律陀经
'a'na'mo'di 阿那摩低
'a'na'po'da'duo 阿那婆答多
'a'na'po'da'duo 阿那婆达多
'a'na'po'da'duo'long'wang 阿那婆达多龙王
'a'na'po'lou'ji'di'shu 阿那婆娄吉低输
'a'na'qi'bu'zhi'jiu'li'zhi'na 阿那耆不智究梨知那
'a'na'qi'fu'lu 阿那耆富卢
'a'na'qi'jin'ning 阿那耆尽宁
'a'na'qi'zhi'lu 阿那耆置卢
'a'na'qi'zhi'luo 阿那耆智罗
'a'na'ta'bin'tu'jie'li'he'ba'di 阿那他宾荼揭利呵跋底
'a'na'ta'bin'tu'ta 阿那他摈荼他
'a'na'tuo'da'duo 阿那陀答多
'a'nan 阿难
'a'nan'ba'bu'si'yi 阿难八不思议
'a'nan'ba'fa 阿难八法
'a'nan'ba'tuo 阿难跋陀
'a'nan'ban'shen'she'li 阿难半身舍利
'a'nan'bin'di 阿难宾低
'a'nan'duo'wen'di'yi 阿难多闻第一
'a'nan'fang'guang 阿难放光
'a'nan'fen'bie'jing 阿难分别经
'a'nan'fen'shen'er'guo 阿难分身二国
'a'nan'gan'qi'meng 阿难感七梦
'a'nan'jia'luo 阿难迦罗
'a'nan'jian'jin'wei'du'she 阿难见金为毒蛇
'a'nan'jiao'hua'bo'si'ni'wang 阿难教化波斯匿王
'a'nan'jie'ji 阿难结集
'a'nan'mi'hao 阿难密号
'a'nan'qi'meng 阿难七梦
'a'nan'qi'meng'jing 阿难七梦经
'a'nan'qian'shi'wei'fo'shan'you 阿难前世为佛善友
'a'nan'ru'yu'yao'kong 阿难入于钥孔
'a'nan'shuo'jing 阿难说经
'a'nan'si'shi'jing 阿难四事经
'a'nan'tong'xue'jing 阿难同学经
'a'nan'tuo 阿难陀
'a'nan'tuo'bu'luo'guo 阿难陀补罗国
'a'nan'tuo'ju'can 阿难陀拘蚕
'a'nan'tuo'mu'qu'ni'he'li 阿难陀目佉尼诃离
'a'nan'tuo'mu'qu'ni'he'li'tuo'jing 阿难陀目佉尼诃离陀经
'a'nan'tuo'ye'cha 阿难陀夜叉
'a'nan'wei'fo'qi'niu'ru 阿难为佛乞牛乳
'a'nan'wen'shi'fo'ji'xiong'jing 阿难问事佛吉凶经
'a'nan'wen'shi'jing 阿难问事经
'a'nan'you'san'ren 阿难有三人
'a'ni'di'ye 阿泥底耶
'a'ni'lv'tuo 阿泥律陀
'a'ni'mi'sha 阿尼弥沙
'a'nou 阿耨
'a'nou'da 阿耨达
'a'nou'da'chi 阿耨达池
'a'nou'da'long'wang 阿耨达龙王
'a'nou'da'shan 阿耨达山
'a'nou'duo'luo'san'miao'san'pu'ti 阿耨多罗三藐三菩提
'a'nou'feng'jing 阿耨风经
'a'nou'guan'yin 阿耨观音
'a'nou'pu'ti 阿耨菩提
'a'nou'su'dou'po'song 阿耨窣都婆颂
'a'nu'bo 阿奴波
'a'nu'bo'jing 阿奴波经
'a'nu'jie'lan'duo 阿奴羯烂多
'a'nu'luo'tuo 阿奴逻陀
'a'nu'lv'tuo 阿奴律陀
'a'nu'mo 阿奴摩
'a'nu'mo'duo 阿奴谟柁
'a'ou 阿欧
'a'pan 阿潘
'a'pan'na 阿判那
'a'pan'tuo'luo 阿盘陀罗
'a'pi'da'mo 阿毘达磨
'a'pi'da'mo'cang 阿毘达磨藏
'a'pi'da'mo'cang'xian'zong'lun 阿毘达磨藏显宗论
'a'pi'da'mo'da'pi'po'sha'lun 阿毘达磨大毗婆沙论
'a'pi'da'mo'fa'yun'zu'lun 阿毘达磨法蕴足论
'a'pi'da'mo'fa'zhi'lun 阿毘达磨发智论
'a'pi'da'mo'ji'lun 阿毘达磨集论
'a'pi'da'mo'ji'yi'men'zu'lun 阿毘达磨集异门足论
'a'pi'da'mo'jie'shen'zu'lun 阿毘达磨界身足论
'a'pi'da'mo'ju'she'lun 阿毘达磨俱舍论
'a'pi'da'mo'ju'she'lun'ben'song 阿毘达磨俱舍论本颂
'a'pi'da'mo'ju'she'shi'lun 阿毘达磨俱舍释论
'a'pi'da'mo'pin'lei'zu'lun 阿毘达磨品类足论
'a'pi'da'mo'shi'shen'zu'lun 阿毘达磨识身足论
'a'pi'da'mo'shun'zheng'li'lun 阿毘达磨顺正理论
'a'pi'da'mo'za'ji'lun 阿毘达磨杂集论
'a'pi'luo'hong'qian 阿毘罗吽欠
'a'pi'luo'hong'qian'suo'po'he 阿毘罗吽欠娑婆诃
'a'pi'mu'di 阿毘目底
'a'pi'san'fo'tuo 阿毘三佛陀
'a'pi'si'du 阿毘私度
'a'pi'tan 阿毘昙
'a'pi'tan'ba'jian'du'lun 阿毘昙八犍度论
'a'pi'tan'gan'lu'sheng'wei'lun 阿毘昙甘露生味论
'a'pi'tan'jing 阿毘昙经
'a'pi'tan'ku'hui'jing 阿毘昙苦慧经
'a'pi'tan'men 阿毘昙门
'a'pi'tan'pi'po'sha'lun 阿毘昙毘婆沙论
'a'pi'tan'wu'fa'xing'jing 阿毘昙五法行经
'a'pi'tan'xin'lun 阿毘昙心论
'a'pi'tan'xin'lun'jing 阿毘昙心论经
'a'pi'zhe'lu'jia 阿毘遮噜迦
'a'pi'zhe'lu'jia'yi'gui'pin 阿毘遮噜迦仪轨品
'a'pi'zhe'luo 阿毘遮罗
'a'pi'zuo'luo 阿毘左啰
'a'po'lu'ji'di'she'po'luo 阿婆卢吉低舍婆罗
'a'po'lu'qi'dou'di'li'zhi 阿婆卢耆兜帝梨置
'a'po'luo'qian'tuo 阿婆罗骞陀
'a'po'mo'jia 阿婆末迦
'a'po'mo'li 阿婆末唎
'a'po'mo'luo 阿婆魔罗
'a'po'po'na'jia 阿婆颇那伽
'a'po'shi'luo 阿婆施罗
'a'po'suo'mo'luo 阿婆娑摩罗
'a'po'yun'jia'luo 阿婆孕迦罗
'a'qi'cha'ye'ju'shi 阿乞叉野句势
'a'qi'chao'luo 阿乞朝啰
'a'qi'da 阿耆达
'a'qi'da'wang'duo'she'dao 阿耆达王堕蛇道
'a'qi'da'wang'qing'fo 阿耆达王请佛
'a'qi'duo 阿耆多
'a'qi'duo'chi'she'qin'po'luo 阿耆多翅舍钦婆罗
'a'qi'li 阿祇梨
'a'qi'ni 阿耆尼
'a'qi'ni'da'duo 阿耆尼达多
'a'qi'pi'jia 阿耆毘伽
'a'qi'po'mi'chi 阿耆婆沵池
'a'qi'shi'luo 阿乞史罗
'a'qi'tuo 阿耆陀
'a'ruo 阿若
'a'ruo'duo 阿若多
'a'ruo'duo'jiao'chen'na 阿若多憍陈那
'a'ruo'jiao'chen'ru 阿若憍陈如
'a'ruo'ju'lin 阿若居邻
'a'sa'duo 阿萨多
'a'sa'she 阿萨阇
'a'seng 阿僧
'a'seng'ga 阿僧伽
'a'seng'qi 阿僧祇
'a'seng'qi'jie 阿僧祇劫
'a'seng'qi'ye 阿僧企耶
'a'sha'bo'tuo 阿沙波陀
'a'sha'fei'me'xi 阿沙妃么洗
'a'sha'gan'na 阿沙干那
'a'sha'tu 阿沙荼
'a'sha'tuo 阿沙陀
'a'shan 阿擅
'a'shan'di'he'luo 阿剡底诃罗
'a'she'jia 阿赊迦
'a'she'li 阿阇梨
'a'she'li'er 阿奢理儿
'a'she'li'er 阿奢理贰
'a'she'li'suo'chuan'man'tu'luo 阿阇梨所传曼荼罗
'a'she'li'ye 阿阇梨耶
'a'she'po'luo 阿阇婆罗
'a'she'shi 阿阇世
'a'she'shi'wang'jing 阿阇世王经
'a'she'shi'wang'nv'jing 阿阇世王女经
'a'she'shi'wang'pin 阿阇世王品
'a'she'shi'wang'shou'jue'jing 阿阇世王授决经
'a'she'shi'wang'wen'wu'ni'jing 阿阇世王问五逆经
'a'she'shi'wang'wu'meng 阿阇世王五梦
'a'she'shi'wang'zhi'meng 阿阇世王之梦
'a'she'ye 阿奢也
'a'she'yu'chi 阿奢踰持
'a'shi 阿师
'a'shi 阿施
'a'shi'bo 阿湿波
'a'shi'bo'jia 阿湿薄迦
'a'shi'duo 阿氏多
'a'shi'duo'fa'di 阿恃多伐底
'a'shi'duo'ji'she'gan'ba'luo'zi 阿市多鸡舍甘跋罗子
'a'shi'duo'zun'zhe 阿氏多尊者
'a'shi'fu'fa'duo 阿湿缚伐多
'a'shi'fu'po 阿湿缚婆
'a'shi'fu'yu'she 阿湿缚庾阇
'a'shi'li'sha 阿失丽沙
'a'shi'luo'po'na 阿尸罗婆那
'a'shi'mo'jie'bo 阿湿摩揭波
'a'shi'po'ju'sha 阿湿婆窭沙
'a'shi'po'mi'tuo'ye'ruo 阿湿婆迷陀耶若
'a'shi'po'shi 阿湿婆恃
'a'shi'po'shi'duo 阿湿婆氏多
'a'shi'po'ta 阿湿婆他
'a'shi'ye 阿世耶
'a'shu'da 阿术达
'a'shu'da'pu'sa'jing 阿术达菩萨经
'a'shu'jia 阿叔迦
'a'shu'jia 阿恕伽
'a'shu'jia 阿输伽
'a'shu'jia'shu 阿输伽树
'a'shu'jia'wang 阿输伽王
'a'shu'ke'qi'ri'wei'wang 阿输柯七日为王
'a'shu'she 阿输阇
'a'shun'na 阿顺那
'a'shuo'shi 阿说示
'a'shuo'ta 阿说他
'a'shuo'zhi 阿说旨
'a'si 阿私
'a'si'luo'mo'deng'qi'zhan'tu 阿死罗摩登祇旃荼
'a'si'tuo 阿私陀
'a'si'tuo'xian'xiang'tai'zi 阿私陀仙相太子
'a'si'xian 阿私仙
'a'su 阿苏
'a'su'da 阿速达
'a'su'da'jing 阿速达经
'a'su'luo 阿素洛
'a'su'luo 阿苏罗
'a'suo'jia 阿娑迦
'a'suo'luo 阿娑罗
'a'suo'mi 阿娑弭
'a'suo'mo 阿娑摩
'a'suo'mo 阿娑磨
'a'suo'mo'bu'duo 阿娑摩补多
'a'suo'mo'sha'mo 阿娑磨沙摩
'a'suo'mo'suo'mo 阿娑摩娑摩
'a'suo'po'na'jia'san'mo'di 阿娑颇那伽三摩地
'a'ta'po'fei'tuo 阿他婆吠陀
'a'ta'po'na 阿闼婆那
'a'ti'a'nou'bo'nai 阿提阿耨波奈
'a'ti'fo'tuo 阿提佛陀
'a'ti'mu'duo'jia 阿提目多伽
'a'tu 阿菟
'a'tu'fu'duo 阿菟浮多
'a'tu'lin 阿菟林
'a'tu'lou'tuo 阿菟楼陀
'a'tu'lu'mo 阿菟卢摩
'a'tu'luo 阿菟罗
'a'tu'zha'chan'ti 阿菟咤阐提
'a'tuo 阿陀
'a'tuo'na 阿陀那
'a'tuo'na'shi 阿陀那识
'a'tuo'po'qi'ye'xiu'du'lu 阿陀婆耆耶修妒路
'a'tuo'po'ye'xiu'du'lu 阿陀婆耶修妒路
'a'wan 阿鍐
'a'wan'lan'han'qian 阿鍐览唅欠
'a'wei'luo 阿未罗
'a'wei'luo'ti 阿维罗提
'a'wei'san'fo 阿惟三佛
'a'wei'she 阿尾舍
'a'wei'she'fa 阿尾奢法
'a'wei'she'fa'jing 阿尾奢法经
'a'wei'yan 阿惟颜
'a'wei'yue'zhi 阿惟越致
'a'wei'yue'zhi'zhe'jing 阿惟越致遮经
'a'wei'zei'qi 阿亹贼奇
'a'xiu 阿羞
'a'xiu'he 阿休何
'a'xiu'luo 阿修罗
'a'xiu'luo'dao 阿修罗道
'a'xiu'luo'gong 阿修罗宫
'a'xiu'luo'jie 阿修罗界
'a'xiu'luo'ju'da'hai'bian 阿修罗居大海边
'a'xiu'luo'qin 阿修罗琴
'a'xiu'luo'wang 阿修罗王
'a'xu'lun 阿须伦
'a'ye'da'na 阿耶怛那
'a'ye'di'ke 阿耶底柯
'a'ye'ji'li'po 阿耶吉唎婆
'a'ye'jian'duo 阿夜健多
'a'ye'jie'li'po 阿耶揭哩婆
'a'ye'luo 阿耶罗
'a'ye'mu'qu 阿耶穆佉
'a'yi 阿夷
'a'yi'duo 阿逸多
'a'yi'duo'chi'she'qin'po'luo 阿夷多翅舍钦婆罗
'a'yi'luo 阿诣罗
'a'yi'luo'ba'ti 阿夷罗跋提
'a'yi'luo'he'di 阿夷罗和帝
'a'yi'luo'po'di 阿夷罗婆底
'a'yi'na 阿夷那
'a'yi'na'jing 阿夷那经
'a'yi'tian 阿夷恬
'a'yi'tou 阿夷头
'a'yin'luo'bo'di'ye 阿寅罗波帝夜
'a'you'duo 阿由多
'a'yu 阿伛
'a'yu 阿育
'a'yu'she 阿踰阇
'a'yu'wang'chuan 阿育王传
'a'yu'wang'di'qi'ri'wei'wang 阿育王弟七日为王
'a'yu'wang'jing 阿育王经
'a'yu'wang'pi'yu'jing 阿育王譬喻经
'a'yu'wang'shan 阿育王山
'a'yu'wang'shi'ke'wen 阿育王石刻文
'a'yu'wang'ta 阿育王塔
'a'yu'wang'wei'nv'zao'xiang 阿育王为女造像
'a'yu'wang'xi'huai'mu'yin'yuan'jing 阿育王息坏目因缘经
'a'yu'wang'yi'shi'gui'shen 阿育王役使鬼神
'a'yu'wang'yi'zi'yi'nv'chu'jia 阿育王一子一女出家
'a'zha'bo'ju 阿咤薄俱
'a'zha'bo'ju'fu'zhu'zhou 阿咤薄拘付嘱咒
'a'zha'fa'di 阿咤筏底
'a'zha'li 阿咤厘
'a'zha'na'jian 阿咤那剑
'a'zha'po'ju 阿咤婆拘
'a'zha'po'ju'zhou'jing 阿咤婆拘咒经
'a'zhe 阿遮
'a'zhe'li 阿者丽
'a'zhe'li'ye 阿遮利耶
'a'zhe'lou 阿遮楼
'a'zhe'luo 阿折罗
'a'zhe'luo 阿遮罗
'a'zhe'tan'mo'wen'tu 阿遮昙摩文图
'a'zhe'yi'ni 阿遮一睨
'a'zhi'da'xian 阿质达霰
'a'zhi'dan'she'ye 阿制单阇耶
'a'zhi'duo 阿制多
'a'zhi'luo'jia'ye 阿支罗迦叶
'a'zhi'luo'jia'ye'jing 阿支罗迦叶经
'a'zhi'mo 阿至摸
'a'zhong'pi 阿众毘
'a'zhou'tuo 阿周陀
'a'zhou'tuo'na 阿周陀那
'a'zi 阿字
'a'zi'ben'bu'sheng 阿字本不生
'a'zi'bu'xin 阿字布心
'a'zi'guan 阿字观
'a'zi'ju'si'yong 阿字具四用
'a'zi'men'gong'de'qi'ju 阿字门功德七句
'a'zi'nei'wai'sheng 阿字内外声
'a'zi'qi'yi 阿字七义
'a'zi'shu'xi'guan 阿字数息观
'a'zi'wei'yue'lun'zhong'zi 阿字为月轮种子
'a'zi'yi'bai'yi 阿字一百义
'ai'bie'li'ku 爱别离苦
'ai'cai'tian 爱财天
'ai'chai'hao'fei 啀喍嗥吠
'ai'dao 爱道
'ai'du 爱毒
'ai'fa 爱法
'ai'fu 爱缚
'ai'gen 爱根
'ai'gui 爱鬼
'ai'guo 爱果
'ai'hai 爱海
'ai'he 爱河
'ai'hu 爱护
'ai'hui 爱恚
'ai'huo 爱惑
'ai'huo 爱火
'ai'ji 蔼吉
'ai'ji'wen 蔼吉文
'ai'jia 爱假
'ai'jian 爱茧
'ai'jian 爱见
'ai'jian'da'bei 爱见大悲
'ai'jie 爱界
'ai'jie 爱结
'ai'jin'gang'pu'sa 爱金刚菩萨
'ai'jing 爱敬
'ai'jing'fa 爱敬法
'ai'juan 爱罥
'ai'kang 爱糠
'ai'ke 爱渴
'ai'la 爱剌
'ai'lian 哀怜
'ai'liang 哀亮
'ai'liu 爱流
'ai'lun 爱论
'ai'lun 爱轮
'ai'luo'cha'nv 爱罗剎女
'ai'luo'fa 爱罗筏
'ai'luo'fa'na 蔼罗筏拏
'ai'min 哀愍
'ai'nian 爱念
'ai'pu'sa 爱菩萨
'ai'ran 爱染
'ai'ran'jin'gang'ru'fa'fo 爱染金刚如法佛
'ai'ran'man'tu'luo 爱染曼荼罗
'ai'ran'ming'wang'zhong'zi 爱染明王种子
'ai'ran'ru'fa'fo 爱染如法佛
'ai'ran'san'zun 爱染三尊
'ai'ran'wang 爱染王
'ai'ran'wang'fa 爱染王法
'ai'ran'wang'gen'ben'yin 爱染王根本印
'ai'run 爱润
'ai'shen'tian 爱身天
'ai'shui 爱水
'ai'wang 爱网
'ai'xi 爱惜
'ai'xi 爱系
'ai'xian 爱涎
'ai'xiang 爱想
'ai'xin 爱心
'ai'xing 爱行
'ai'ya 哀雅
'ai'yan 爱焰
'ai'yan 爱眼
'ai'ye 爱业
'ai'yu 爱欲
'ai'yu 爱狱
'ai'yu 爱语
'ai'yu'hai 爱欲海
'ai'yuan 爱缘
'ai'yue 爱乐
'ai'yue'jin'gang 爱乐金刚
'ai'yue'jin'gang'nv 爱乐金刚女
'ai'zeng 爱憎
'ai'zhao'mi 爱着迷
'ai'zhe 爱着
'ai'zhe'ci'bei'xin 爱着慈悲心
'ai'zhe'sheng'si 爱着生死
'ai'zhi 爱执
'ai'zhong 爱种
'ai'zi'cheng'jiu'fa 爱子成就法
'an'a'hong 唵阿吽
'an'ban 安般
'an'ban'jing 安般经
'an'bi 暗蔽
'an'chan 安禅
'an'chan 暗禅
'an'da'luo 案达罗
'an'di'luo 安底罗
'an'dun 闇钝
'an'dun'zhang 闇钝障
'an'fa'qin 安法钦
'an'fu'li'mo'guo 庵浮梨摩国
'an'gu 安骨
'an'guo'shi 安国师
'an'hu'lu'hu'lu 唵呼卢呼卢
'an'hua 庵华
'an'hui 安慧
'an'ju 安居
'an'ju'jing 安居竟
'an'ju'luo'fu 安咀罗缚
