'ai'er'bu'shang 哀而不伤
'bing'jian 病间
'bing'qi'si'bu'xi'zhe 屏气似不息者
'bo'niu'you'ji 伯牛有疾
'bo'ru'zhan'se 勃如战色
'bo'tao 播鼗
'bo'wo'yi'wen 博我以文
'bo'xue'er'du'zhi 博学而笃志
'bo'xue'er'wu'suo'cheng'ming 博学而无所成名
'bo'xue'yu'wen 博学于文
'bo'yi'shu 伯夷叔
'bo'yi'shu'qi'e'yu'shou'yang'zhi'xia 伯夷叔齐饿于首阳之下
'bo'yi'shu'qi'yu 伯夷叔齐与
'bu'bai 不拜
'bu'bao'qi'wang'ye 不保其往也
'bu'bing'ren'zhi'bu'ji'zhi'ye 不病人之不己知也
'bu'che'jiang'shi 不撤姜食
'bu'cheng'ren'zhi'e 不成人之恶
'bu'chu'ye 不处也
'bu'da 不达
'bu'de 不得
'bu'de'da'zang 不得大葬
'bu'de'qi'jiang 不得其酱
'bu'de'qi'si'ran 不得其死然
'bu'de'yu'zhi'yan 不得与之言
'bu'de'zhong'hang'er'yu'zhi 不得中行而与之
'bu'duo'ye 不多也
'bu'er'guo 不贰过
'bu'fei'bu'fa 不悱不发
'bu'fen'bu'qi 不愤不启
'bu'gan'bu'gao'ye 不敢不告也
'bu'gan'chang 不敢尝
'bu'hao'fan'shang 不好犯上
'bu'heng'qi'de 不恒其德
'bu'huan'gua 不患寡
'bu'huan'mo'ji'zhi 不患莫己知
'bu'huan'pin'er'huan'bu'an 不患贫而患不安
'bu'huan'ren'zhi'bu'ji'zhi 不患人之不己知
'bu'huan'wu'wei 不患无位
'bu'ji'hu'yi'yan'er 不几乎一言而
'bu'ji'hu'yi'yan'er'xing'bang'hu 不几乎一言而兴邦乎
'bu'ji'luan 不及乱
'bu'ji'yan 不疾言
'bu'jian'ji 不践迹
'bu'jian'zong'miao'zhi'mei 不见宗庙之美
'bu'jiao'er'sha'wei'zhi'nue 不教而杀谓之虐
'bu'jie'shi'cheng'wei'zhi'bao 不戒视成谓之暴
'bu'jing 不敬
'bu'ke 不可
'bu'ke'bu'zhi'ye 不可不知也
'bu'ke'fei'ye 不可废也
'bu'ke'hao'cong'shi'er'ji'shi'shi 不可好从事而亟失时
'bu'ke'qi'ye 不可弃也
'bu'ke'shi'zhi'zhi 不可使知之
'bu'ke'tu'xing'ye 不可徒行也
'bu'ke'wang'ye 不可罔也
'bu'ke'xian'ye 不可陷也
'bu'ke'yi'chang'chu'le 不可以长处乐
'bu'ke'yi'wei'teng'xue'dai'fu 不可以为滕薛大夫
'bu'ke'yi'yu'shang'ye 不可以语上也
'bu'ke'yi'zuo'wu'yi 不可以作巫医
'bu'ke'yu'yan'er'yu'zhi'yan 不可与言而与之言
'bu'ke'ze'zhi 不可则止
'bu'ling'er'xing 不令而行
'bu'mou'qi'zheng 不谋其政
'bu'neng 不能
'bu'neng'si 不能死
'bu'neng'yi'li'rang'wei'guo 不能以礼让为国
'bu'neng'yong'ye 不能用也
'bu'neng'zhe'zhi 不能者止
'bu'neng'zheng'qi'shen 不能正其身
'bu'neng'zhuan'dui 不能专对
'bu'ni'zha 不逆诈
'bu'qi 不其
'bu'qi'bi'bian'shi 布齐必变食
'bu'qian'nu 不迁怒
'bu'qin'zhi 不亲指
'bu'qu'hu 不取乎
'bu'qu'ye 不去也
'bu'ran 不然
'bu'ren'zhe'bu'ke'yi'jiu'chu'yue 不仁者不可以久处约
'bu'ren'zhe'yuan'yi 不仁者远矣
'bu'ru'hao'zhi'zhe 不如好之者
'bu'ru'jun'ming 不辱君命
'bu'ru'le'zhi'zhe 不如乐之者
'bu'ru'qi'shen 不辱其身
'bu'ru'ren'ren 不如仁人
'bu'ru'shi'zhi'shen'ye 不如是之甚也
'bu'ru'xue'ye 不如学也
'bu'ru'zhu'xia'zhi'wang'ye 不如诸夏之亡也
'bu'shan'bu'neng'gai 不善不能改
'bu'she'zhou'ye 不舍昼夜
'bu'shi 不食
'bu'shi 不时
'bu'shi'bu'ren'zhe'jia'hu'qi'shen 不使不仁者加乎其身
'bu'shi'da'chen'yuan'hu'bu'yi 不使大臣怨乎不以
'bu'shi'sheng'shi'qi 不使胜食气
'bu'shi'wu'yi 不仕无义
'bu'shi'zhi'yi 不食之矣
'bu'shuo'ye 不说也
'bu'si'jia'xing'yi 不俟驾行矣
'bu'su'rou 不宿肉
'bu'tu'wei'le'zhi'zhi'yu'si'ye 不图为乐之至于斯也
'bu'wei 不违
'bu'wei'jiu'kun 不为酒困
'bu'wen'ma 不问马
'bu'wu'zhi'ye'ru'huo'zhi'er 不吾知也如或知尔
'bu'xian'zhe'shi'qi'xiao'zhe 不贤者识其小者
'bu'xiang'qi'zhi 不降其志
'bu'xiang'wei'mou 不相为谋
'bu'xiao 不笑
'bu'xing'duan'ming'si'yi 不幸短命死矣
'bu'xing'yan 不行焉
'bu'xue'li 不学礼
'bu'xue'shi 不学诗
'bu'yi'bing'che 不以兵车
'bu'yi'bu'xin 不亿不信
'bu'yi'de'ye 不易得也
'bu'yi'er'fu'qie'gui 不义而富且贵
'bu'yi'jun'zi'hu 不亦君子乎
'bu'yi'ke'hu 不亦可乎
'bu'yi'le'hu 不亦乐乎
'bu'yi'li'jie'zhi 不以礼节之
'bu'yi'qi'dao'de'zhi 不以其道得之
'bu'yi'ren'fei'yan 不以人废言
'bu'yi'shan'hu 不亦善乎
'bu'yi'yi'hu 不亦宜乎
'bu'yi'yuan'hu 不亦远乎
'bu'yi'yue'hu 不亦说乎
'bu'yi'zhong'hu 不亦重乎
'bu'you'bo'yi'zhe'hu 不有博弈者乎
'bu'you'bu'ju 不忧不惧
'bu'you'ren 不尤人
'bu'you'zhu'tuo'zhi'ning 不有祝鮀之佞
'bu'yu'ju 不逾矩
'bu'yu'qi'tui'ye 不与其退也
'bu'yuan'tian 不怨天
'bu'yuan'you 不远游
'bu'yue'bai'hu 不曰白乎
'bu'yue'jian'hu 不曰坚乎
'bu'yue'ru'zhi'he 不曰如之何
'bu'zai'qi'wei 不在其位
'bu'zai'zhuan'yu 不在颛臾
'bu'zhan'er'yi'yi 不占而已矣
'bu'zhi'bu'qiu 不忮不求
'bu'zhi'lao'zhi'jiang'zhi'yun'er 不知老之将至云尔
'bu'zhi'li 不知礼
'bu'zhi'ming 不知命
'bu'zhi'qi'ke'ye 不知其可也
'bu'zhi'wei'bu'zhi 不知为不知
'bu'zhi'yan 不知言
'bu'zhi'ye 不知也
'bu'zhi'yu'gu 不至于谷
'bu'zhuang 不庄
'bu'zu'yi'wei'shi'yi 不足以为士矣
'bu'zuo 不坐
'cai'bu'cai 才不才
'cai'nan 才难
'can'hu 参乎
'can'ye'lu 参也鲁
'cao'shang'zhi'feng 草上之风
'ce'qi'ma'yue 策其马曰
'ceng'shi'yi'wei 曾是以为
'ceng'wei'tai'shan'bu'ru'lin'fang'hu 曾谓泰山不如林放乎
'ceng'xi'hou 曾皙后
'ceng'xi'yue 曾皙曰
'ceng'you 曾由
'cha'qi'suo'an 察其所安
'cha'yan'er'guan'se 察言而观色
'chai'ye'yu 柴也愚
'chan'ru'ye 襜如也
'chan'ye 谄也
'chang'du'li 尝独立
'chang'er'wu'shu'yan 长而无述焉
'chang'ju'jie'ni'ou'er'geng 长沮桀溺耦而耕
'chang'ju'yue 长沮曰
'chang'shi'zhi'you 常师之有
'chang'yi'shen'you'ban 长一身有半
'chao'fu'er'li'yu'zuo'jie 朝服而立于阼阶
'che'zhong'bu'nei'gu 车中不内顾
'chen'cheng'zi'shi'jian'gong 陈成子弑简公
'chen'heng'shi'qi'jun 陈恒弑其君
'chen'kang'tui'er'xi'yue 陈亢退而喜曰
'chen'kang'wen'yu'bo'yu'yue 陈亢问于伯鱼曰
'chen'li'jiu'lie 陈力就列
'chen'men'yue 晨门曰
'chen'shi'jun 臣事君
'chen'si'bai'wen 陈司败问
'chen'zi'qin'wei'zi'gong'yue 陈子禽谓子贡曰
'cheng'bu'yi'fu 诚不以富
'cheng'fei'ma 乘肥马
'cheng'qi'de'ye 称其德也
'cheng'shi'bu'shuo 成事不说
'cheng'yan 逞颜
'cheng'yin'zhi'lu 乘殷之辂
'cheng'yu'le 成于乐
'cheng'zai'shi'yan'ye 诚哉是言也
'cheng'zhu'yi 称诸异
'chi'er'he'ru 赤尔何如
'chi'gong'zhi'bu'dai'ye 耻躬之不逮也
'chi'ye 耻也
'chi'ye'huo 赤也惑
'chi'ye'wei'zhi'xiao 赤也为之小
'chi'zhi'shi'qi'ye 赤之适齐也
'chong'de'ye 崇德也
'chou'e 臭恶
'chu'ci'qi 出辞气
'chu'kuang'jie'yu'ge'er'guo'kong'zi'yue 楚狂接舆歌而过孔子曰
'chu'men'ru'jian'da'bin 出门如见大宾
'chu'na'zhi'lin 出纳之吝
'chu'san'ri 出三日
'chu'yue 出曰
'chu'ze'shi'gong'qing 出则事公卿
'chu'ze'ti 出则悌
'chuan'bu'xi'hu 传不习乎
'chun'fu'ji'cheng 春服既成
'chun'ru'ye 纯如也
'ci'bu'shou'ming 赐不受命
'ci'da'er'yi'yi 辞达而已矣
'ci'wu 辞毋
'ci'ye 赐也
'ci'ye'da 赐也达
'ci'ye'ke'shi'cong'zheng'ye'yu 赐也可使从政也与
'ci'yi 次矣
'ci'zhi'qiang'ye'ji'jian 赐之墙也及肩
'cong'er'bu'gai 从而不改
'cong'wo'yu'chen'cai'zhe 从我于陈蔡者
'cong'wu'suo'hao 从吾所好
'cong'zhe'bing 从者病
'cong'zhe'jian'zhi 从者见之
'cong'zhe'yue 从者曰
'cong'zhi 从之
'cu'ru'ye 踧如也
'da'che'wu'ni 大车无輗
'da'de'bu'yu'xian 大德不逾闲
'da'shi'bu'cheng 大事不成
'da'shi'zhi'shi'qi 大师挚适齐
'da'xiang'dang'ren'yue 达巷党人曰
'da'zai'kong'zi 大哉孔子
'da'zai'wen 大哉问
'da'zai'yao'zhi'wei'jun'ye 大哉尧之为君也
'dang'dang'hu 荡荡乎
'dang'ren'bu'rang'yu'shi 当仁不让于师
'dang'sa'sao'ying'dui'jin'tui 当洒扫应对进退
'dang'shu 当暑
'dao'bu'tong 道不同
'dao'bu'you'pin 道不忧贫
'dao'er'yu 祷尔于
'dao'qian'sheng'zhi'guo 道千乘之国
'dao'ting'er'tu'shuo 道听而途说
'dao'zhi'bu'xing 道之不行
'dao'zhi'jiang'fei'ye'yu 道之将废也与
'dao'zhi'jiang'xing'ye'yu 道之将行也与
'dao'zhi'si'xing 道之斯行
'dao'zhi'yi'de 道之以德
'dao'zhi'yi'zheng 道之以政
'de'bu'gu 德不孤
'de'jian'jun'zi'zhe 得见君子者
'de'jian'you'heng'zhe 得见有恒者
'de'qi'men'zhe'huo'gua'yi 得其门者或寡矣
'de'xing 德行
'de'zhi'bu'xiu 德之不修
'de'zhi'qi'ye 德之弃也
'de'zhi'zei'ye 德之贼也
'di'chen'bu'bi 帝臣不蔽
'di'ye 弟也
'di'zi'fu'qi'lao 弟子服其劳
'di'zi'ji'guan'er'wang'zhe 禘自既灌而往者
'di'zi'ru'ze'xiao 弟子入则孝
'di'zi'shu'wei'hao'xue 弟子孰为好学
'dian'er'bu'fu 颠而不扶
'dian'er'he'ru 点尔何如
'dian'pei'bi'yu'shi 颠沛必于是
'ding'gong'wen 定公问
'dong'er'bu'yuan 侗而不愿
'dong'li'zi'chan'run'se 东里子产润色
'dong'rong'mao 动容貌
'dong'shou 东首
'dong'zhi'bu'yi'li 动之不以礼
'dong'zhi'si'he 动之斯和
'dou'shao'zhi'ren 斗筲之人
'du'xin'hao'xue 笃信好学
'duan'you'mei 短右袂
'duan'zhang'fu 端章甫
'dui'yue 对曰
'duo'bo'shi'pian'yi'san'bai 夺伯氏骈邑三百
'duo'jian'er'shi 多见而识
'duo'jian'qi'bu'zhi'liang'ye 多见其不知量也
'duo'jian'que'dai 多见阙殆
'duo'shi 多食
'duo'shi'yu'niao'shou'cao'mu'zhi'ming 多识于鸟兽草木之名
'duo'wen 多闻
'duo'wen'que'yi 多闻阙疑
'duo'yuan 多怨
'e'bu'ren'zhe 恶不仁者
'e'bu'sun'yi'wei'yong'zhe 恶不孙以为勇者
'e'cheng'ren'zhi'e'zhe 恶称人之恶者
'e'guo'gan'er'zhi'zhe 恶果敢而窒者
'e'hu'cheng'ming 恶乎成名
'e'jiao'yi'wei'zhi'zhe 恶徼以为知者
'e'jie'yi'wei'zhi 恶讦以为直
'e'li'kou'zhi'fu'bang'jia'zhe 恶利口之覆邦家者
'e'yi'fu'er'zhi'mei'hu'fu'mian 恶衣服而致美乎黻冕
'e'yong'er'wu'li'zhe 恶勇而无礼者
'e'zheng'sheng'zhi'luan'ya'yue'ye 恶郑声之乱雅乐也
'e'zhi'yu'qi 恶之欲其
'e'zi'zhi'duo'zhu'ye 恶紫之夺朱也
'er'ai'qi'yang 尔爱其羊
'er'bu 而不
'er'bu'chi'zhe 而不耻者
'er'bu'neng'shou'ye 而不能守也
'er'bu'san'chu 而不三黜
'er'bu'yu'li'ye 而不与立也
'er'bu'yun 而不愠
'er'chao'qi 而朝齐
'er'chi'e'yi'e'shi'zhe 而耻恶衣恶食者
'er'fan'zhi 而犯之
'er'fei'bang'ye'zhe 而非邦也者
'er'hao'fan'shang'zhe 而好犯上者
'er'hao'zuo'luan'zhe 而好作乱者
'er'he 而和
'er'hou'cong'zhi 而后从之
'er'hou'he'zhi 而后和之
'er'hou'qi'shi 而后其食
'er'huan'bu'jun 而患不均
'er'huo'zhi'yan 而货殖焉
'er'jin'er'hou 而今而后
'er'ke'da'shou'ye 而可大受也
'er'ke'xiao'zhi'ye 而可小知也
'er'luan'da'lun 而乱大伦
'er'mou'dong'gan'ge'yu'bang'nei 而谋动干戈于邦内
'er'qi'tu'zai 而岂徒哉
'er'qin'ren 而亲仁
'er'qiu'ye'wei'zhi'ju'lian'er'fu'yi'zhi 而求也为之聚敛而附益之
'er'san'zi 二三子
'er'san'zi'he'huan'yu'sang'hu 二三子何患于丧乎
'er'san'zi'yi'wo'wei'yin'hu 二三子以我为隐乎
'er'shui'yi'yi'zhi 而谁以易之
'er'suo'bu'zhi 尔所不知
'er'suo'wei'da'zhe 尔所谓达者
'er'wang'bai'zhi 而往拜之
'er'xing'wei 而行违
'er'xue'shi 而学诗
'er'yi'he 而亦何
'er'you'ren'hu'zai 而由人乎哉
'er'you'song'chao'zhi'mei 而有宋朝之美
'er'zai'xiao'qiang'zhi'nei'ye 而在萧墙之内也
'er'zhi'shi'fu 迩之事父
'er'zi'zheng'zhi 而子证之
'fa'fen'wang'shi 发愤忘食
'fa'yu'zhi'yan 法语之言
'fan'ai'zhong 泛爱众
'fan'chi'chu 樊迟出
'fan'chi'cong'you'yu'wu'yu'zhi'xia 樊迟从游于舞雩之下
'fan'chi'qing'xue'jia 樊迟请学稼
'fan'chi'tui 樊迟退
'fan'chi'wei'da 樊迟未达
'fan'chi'wen'ren 樊迟问仁
'fan'chi'wen'zhi 樊迟问知
'fan'chi'yu 樊迟御
'fan'chi'yue 樊迟曰
'fan'er'bu'jiao 犯而不校
'fan'shu'shi 饭疏食
'fan'xu'ye 樊须也
'fang'liu'qi'shi 方六七十
'fang'yu'li'er'xing 放于利而行
'fei'bu'shuo'zi'zhi'dao 非不说子之道
'fei'chong'de'yu 非崇德与
'fei'da'ye 非达也
'fei'dao'hong'ren 非道弘人
'fei'fu'ren'zhi'wei'tong'er 非夫人之为恸而
'fei'gan'hou'ye 非敢后也
'fei'gan'wei 非敢为
'fei'gong'shi 非公事
'fei'huo'yu 非惑与
'fei'ji'rou 非祭肉
'fei'li'wu'dong 非礼勿动
'fei'li'wu'shi 非礼勿视
'fei'li'wu'ting 非礼勿听
'fei'li'wu'yan 非礼勿言
'fei'qi'gui'er'ji'zhi 非其鬼而祭之
'fei'qiu'yi'zhe'ye 非求益者也
'fei'wei'shang 非帷裳
'fei'wo'ye 非我也
'fei'wu'tu'ye 非吾徒也
'fei'xiu'te'yu 非修慝与
'fei'ye 非也
'fei'yin'shi'er'zhi'xiao'hu'gui'shen 菲饮食而致孝乎鬼神
'fei'yue'neng'zhi 非曰能之
'fei'zhong'quan 废中权
'fei'zhu'hou'er'he 非诸侯而何
'fei'zhu'wo'zhe'ye 非助我者也
'fen'si'nan 忿思难
'feng'hu'wu'yu 风乎舞雩
'feng'niao'bu'zhi 凤鸟不至
'feng'xi'feng'xi 凤兮凤兮
'fo'xi'yi'zhong'mu'pan 佛肸以中牟畔
'fo'xi'zhao 佛肸召
'fu'da'ye'zhe 夫达也者
'fu'er'hao'li'zhe'ye 富而好礼者也
'fu'er'ke'qiu'ye 富而可求也
'fu'er'san 夫二三
'fu'er'wu'jiao 富而无骄
'fu'er'wu'jiao'yi 富而无骄易
'fu'gui'zai'tian 富贵在天
'fu'he 夫何
'fu'he'wei'zai 夫何为哉
'fu'he'you'he'ju 夫何忧何惧
'fu'jun 夫君
'fu'mei 父没
'fu'mu'wei'qi'ji'zhi'you 父母唯其疾之忧
'fu'mu'zai 父母在
'fu'mu'zhi'nian 父母之年
'fu'qi'wei 复其位
'fu'qie'gui'yan 富且贵焉
'fu'ran'hou'xing 夫然后行
'fu'ren'bu'yan 夫人不言
'fu'ren'zhe 夫仁者
'fu'ren'zi'cheng'yue'xiao'tong 夫人自称曰小童
'fu'ru'shi 夫如是
'fu'san'nian'zhi'sang 夫三年之丧
'fu'san'zi'zhe'zhi'yan'he'ru 夫三子者之言何如
'fu'shou'zhi'shuo 肤受之愬
'fu'wei'zi'yin 父为子隐
'fu'wen'ye'zhe 夫闻也者
'fu'wo'ze'bu'xia 夫我则不暇
'fu'you 富有
'fu'yu'gui 富与贵
'fu'zai 富哉
'fu'zai 父在
'fu'zhao'wo'zhe 夫召我者
'fu'zhi 富之
'fu'zhi'yu'zhe'wei'shui 夫执舆者为谁
'fu'zhou'zhi'mian 服周之冕
'fu'zhuan'yu 夫颛臾
'fu'zi 夫子
'fu'zi'bu'da 夫子不答
'fu'zi'bu'wei'ye 夫子不为也
'fu'zi'bu'yan 夫子不言
'fu'zi'gu'you'huo'zhi'yu'gong'bo'liao 夫子固有惑志于公伯寮
'fu'zi'he'shen'you'ye 夫子何哂由也
'fu'zi'he'wei 夫子何为
'fu'zi'kui'ran'tan'yue 夫子喟然叹曰
'fu'zi'shen'zhi 夫子哂之
'fu'zi'sheng'zhe'yu 夫子圣者与
'fu'zi'shi'ran'hou'yan 夫子时然后言
'fu'zi'shi'zhi'yue 夫子矢之曰
'fu'zi'wan'er'er'xiao 夫子莞尔而笑
'fu'zi'wei'wei'jun'hu 夫子为卫君乎
'fu'zi'wen'liang'gong'jian'rang'yi'de'zhi 夫子温良恭俭让以得之
'fu'zi'wu'ran'yue 夫子怃然曰
'fu'zi'xun'xun'ran 夫子循循然
'fu'zi'yan'bu'xue 夫子焉不学
'fu'zi'yu'zhi 夫子欲之
'fu'zi'zhi'dao 夫子之道
'fu'zi'zhi'de'bang'jia'zhe 夫子之得邦家者
'fu'zi'zhi'qiang'shu'ren 夫子之墙数仞
'fu'zi'zhi'qiu'zhi'ye 夫子之求之也
'fu'zi'zhi'shuo'jun'zi 夫子之说君子
'fu'zi'zhi'yu'shi'bang'ye 夫子至于是邦也
'fu'zi'zhi'yun 夫子之云
'fu'zi'zi'dao'ye 夫子自道也
'gai'jun'wu'pin 盖均无贫
'gai'que'ru'ye 盖阙如也
'gai'shi'shi'xi'bu'shi'yi 盖十世希不失矣
'gai'you'bu'zhi'er'zuo'zhi'zhe 盖有不知而作之者
'gai'you'zhi 盖有之
'gai'zhi'wei'gui 改之为贵
'gan'wen 敢问
'gan'wen'chong'de 敢问崇德
'gan'wen'qi'ci 敢问其次
'gan'wen'si 敢问死
'gan'yong'xuan'mu 敢用玄牡
'gan'zhao'gao'yu'huang'huang'hou'di 敢昭告于皇皇后帝
'gang'yi'mu'ne 刚毅木讷
'gao'fu'san'zi 告夫三子
'gao'qiu 羔裘
'gao'qiu'xuan'guan'bu'yi'diao 羔裘玄冠不以吊
'gao'yu'ai'gong'yue 告于哀公曰
'gao'zhu'wang'er'zhi'lai'zhe 告诸往而知来者
'gao'zong 高宗
'gao'zong'liang'yin 高宗谅阴
'ge'bu'zheng 割不正
'ge'ji'yan'yong'niu'dao 割鸡焉用牛刀
'ge'yu'qi'dang 各于其党
'geng'ye 耕也
'geng'ye'ren'jie'yang'zhi 更也人皆仰之
'gong'bo'liao'qi'ru'ming'he 公伯寮其如命何
'gong'bo'liao'shuo'zi'lu'yu'ji'sun 公伯寮愬子路于季孙
'gong'chuo'zhi'bu'yu 公绰之不欲
'gong'er'an 恭而安
'gong'er'wu'li'ze'lao 恭而无礼则劳
'gong'hu'yi'duan 攻乎异端
'gong'ji'zheng'nan'mian'er'yi'yi 恭己正南面而已矣
'gong'jin'yu'li 恭近于礼
'gong'kuan'xin'min'hui 恭宽信敏惠
'gong'ming'jia'dui'yue 公明贾对曰
'gong'qi'e 攻其恶
'gong'shan'fu'rao'yi'fei'pan'zhao 公山弗扰以费畔召
'gong'shi'er'jin'li'hu'gou'xu 宫室而尽力乎沟洫
'gong'shu'wen'zi'zhi'chen'dai'fu'zhuan 公叔文子之臣大夫僎
'gong'xi'hua'yue 公西华曰
'gong'xing'jun'zi 躬行君子
'gong'yu'shan'qi'shi 工欲善其事
'gong'yue 公曰
'gong'ze'bu'wu 恭则不侮
'gong'ze'shuo 公则说
'gong'zhi 攻之
'gong'zi'hou'er'bo'ze'yu'ren 躬自厚而薄责于人
'gou'he'yi 苟合矣
'gou'mei'yi 苟美矣
'gou'wan'yi 苟完矣
'gou'wu'suo'bu'zhi'yi 苟无所不至矣
'gou'you'guo 苟有过
'gou'you'yong'wo'zhe 苟有用我者
'gou'zheng'qi'shen'yi 苟正其身矣
'gou'zhi'yu'ren'yi 苟志于仁矣
'gou'zi'zhi'bu'yu 苟子之不欲
'gu'bu'gu 觚不觚
'gu'bu'wei'ye 故不为也
'gu'duo'neng'bi'shi 故多能鄙事
'gu'er'jin'yu'fei 固而近于费
'gu'fang'shu'ru'yu'he 鼓方叔入于河
'gu'fu'san'huan'zhi'zi'sun'wei'yi 故夫三桓之子孙微矣
'gu'jin'zhi 故进之
'gu'jiu'bu'yi 故旧不遗
'gu'jiu'shi'pu'bu'shi 沽酒市脯不食
'gu'jiu'wu'da'gu 故旧无大故
'gu'jun'zi'ming'zhi'bi'ke'yan'ye 故君子名之必可言也
'gu'ke'fa'yuan'yu'bu'xing'yan 谷克伐怨欲不行焉
'gu'se'xi 鼓瑟希
'gu'tian'zong'zhi'jiang'sheng 固天纵之将圣
'gu'tui'zhi 故退之
'gu'xiang'shi'zhi'dao'ye 固相师之道也
'gu'yi 故艺
'gu'yuan'ren'bu'fu 故远人不服
'gu'zai 觚哉
'gu'zhe'min'you'san'ji 古者民有三疾
'gu'zhe'yan'zhi'bu'chu 古者言之不出
'gu'zhi 古之
'gu'zhi'dao'ye 古之道也
'gu'zhi'kuang'ye'si 古之狂也肆
'gu'zhi'ren'jie'ran 古之人皆然
'gu'zhi'xian'ren'ye 古之贤人也
'gu'zhi'xue'zhe'wei'ji 古之学者为己
'gu'zhi'yu'ye'zhi 古之愚也直
'gu'zhi'zai 沽之哉
'gua'ji 瓜祭
'guan'guo 观过
'guan'ju 关雎
'guan'ju'zhi'luan 关雎之乱
'guan'qi'suo'you 观其所由
'guan'qi'xing 观其行
'guan'qi'zhi 观其志
'guan'shi'bu'she 官事不摄
'guan'shi'er'zhi'li 管氏而知礼
'guan'shi'yi'shu'sai'men 管氏亦树塞门
'guan'shi'you'san'gui 管氏有三归
'guan'zhe'wu'liu'ren 冠者五六人
'guan'zhong'bu'si 管仲不死
'guan'zhong'fei'ren'zhe'yu 管仲非仁者与
'guan'zhong'jian'hu 管仲俭乎
'guan'zhong'zhi'li'ye 管仲之力也
'guan'zhong'zhi'qi'xiao'zai 管仲之器小哉
'gui'kong'zi'tun 归孔子豚
'gui'yu'hui'yu'du'zhong 龟玉毁于椟中
'guo'er'bu'gai 过而不改
'guo'wei 过位
'guo'ye'ren'jie'jian'zhi 过也人皆见之
'guo'you'bu'ji 过犹不及
'guo'zai 果哉
