'a'bo'rui'si'an'ying'gong 阿伯瑞斯暗影弓
'bei'lei'ke'de'bing'yu'lei'zhi'qu'shuang'yu'jie'zhi 贝雷克的冰与雷之曲双玉戒指
'bei'lei'ke'de'huo'yu'lei'zhi'le'shuang'yu'jie'zhi 贝雷克的火与雷之乐双玉戒指
'bei'lun'fang'pin'wa'er'xi'jian 悖论仿品瓦尔细剑
'bei'lun'wa'er'xi'jian 悖论瓦尔细剑
'bei'xin'qi'yi'rong'yao'zhan'kai 背信弃义荣耀战铠
'bei'yun'zhi'fu'lian'jia'shou'tao 悲运之缚链甲手套
'bi'nuo'de'chu'dao'lie'zhe'zhi'ren 比诺的厨刀猎者之刃
'bi'si'ke'de'jiang'sheng'zhong'ge'yao'dai 比斯克的缰绳重革腰带
'bi'si'ke'de'xiang'quan'di'jin'hu'shen'fu 比斯克的项圈帝金护身符
'bi'ying'meng'jing'gu'lan'zhu'bao 碧影梦境钴蓝珠宝
'bi'ying'meng'yan'gu'lan'zhu'bao 碧影梦魇钴蓝珠宝
'bian'jie'zhe'kou'lian'yao'dai 变节者扣链腰带
'bian'xing'zhe'wai'yi'kuang'nue'zhe'shu'yi 变形者外衣狂虐者束衣
'bing'dian'di'yu'du'ya'chang'zhang 冰点低语毒牙长杖
'bing'leng'zhi'yan'yang'pi'shou'tao 冰冷之眼羊皮手套
'bing'ling'zhi'hou'fei'yu'jian'dai 冰灵之吼飞羽箭袋
'bing'shuang'zhi'jing'cai'hui'qing'dun 冰霜之镜彩绘轻盾
'bing'xi'jing'zhi'huan'jia 冰息精制环甲
'bing'ya'zhi'huan'duan'tie'jie'zhi 冰牙指环锻铁戒指
'bo'duo'zhi'nian'chi'hong'zhu'bao 剥夺之念赤红珠宝
'bo'yun'bu'fa'huo'fu'lin'chang'xue 博运步伐火蝮鳞长靴
'bu'dong'zhi'hun'di'jin'hu'shen'fu 不动之魂帝金护身符
'bu'huai'sheng'huan'ling'yao'jian'tie'yao'ji 不坏圣环灵药坚铁药剂
'bu'hun'zhe'shi'ying'yao'ji 捕魂者石英药剂
'bu'lin'luo'te'an'xing'zhe'lie'ren'zhi'xue 布琳洛特岸行者猎人之靴
'bu'lin'luo'te'yin'ji'qian'neng'zhi'jie 布琳洛特印记潜能之戒
'bu'lin'luo'te'zhi'qi'huan'xing'mo'dun 布琳洛特之旗环形魔盾
'bu'long'de'ying'yi'si'shen'zhi'zhuang 布隆的影衣死神之装
'bu'lu'te'si'de'xing'ju'ji'yi'duan'zhang 布鲁特斯的刑具祭仪短杖
'bu'qu'lie'yan'wei'neng'yuan'dun 不屈烈焰威能鸢盾
'bu'qu'zhi'zhi'wei'neng'yuan'dun 不屈之志威能鸢盾
'bu'xiu'xi'ming'pi'ge'yao'dai 不朽系命皮革腰带
'bu'xiu'yi'zhi'wei'neng'yuan'dun 不朽意志威能鸢盾
'cai'jue'mian'zhao'xing'zheng'zhe'zhan'guan 裁决面罩行政者战冠
'can'ku'de'yue'shu'yong'heng'zhu'bao 残酷的约束永恒珠宝
'can'nue'zhi'huan'yu'cui'lv'zhu'bao 残虐之欢愉翠绿珠宝
'can'po'xiang'lu'dian'ji'yi'wu 残破香炉典籍遗物
'can'shi'zhi'an'shou'xue'duan'bi 蚕食之暗兽血短匕
'cang'bai'lie'huo'ling'shi'duan'zhang 苍白烈火灵石短杖
'cang'hai'sang'tian'shi'bu'yao'dai 沧海桑田饰布腰带
'cang'kong'zhi'chao'xue'se'zhi'yi 苍空之巢血色之衣
'cang'kong'zhi'ling'chou'duan'zhi'dou 苍空之翎绸缎之兜
'cang'kong'zhi'yi'zhan'shi'shou'tao 苍空之翼战士手套
'cang'kong'zhi'zhao'huo'fu'lin'chang'xue 苍空之爪火蝮鳞长靴
'cang'mang'zhi'lin'tong'ying'shou'tao 苍蟒之鳞铜影手套
'cao'min'qian'neng'zhi'jie 草民潜能之戒
'chan'dou'zhi'zhang'jun'yong'chang'zhang 颤抖之杖军用长杖
'chan'shi'zhi'zhang'ai'zi'mai'chang'zhang 阐释之杖艾兹麦长杖
'chan'yi'ku'xing'seng'can'bao'ju'jian 禅意苦行僧残暴巨剑
'chao'yue'bi'lei'fang'pin'lie'zang'gou 超越壁垒仿品裂脏钩
'chao'yue'bi'lei'lie'zang'gou 超越壁垒裂脏钩
'chao'zi'ran'ben'neng'cui'lv'zhu'bao 超自然本能翠绿珠宝
'chen'ai'luo'ding'gu'lan'zhu'bao 尘埃落定钴蓝珠宝
'chen'lun'zhi'jian'duo'hun'zhi'dian 沉沦之间夺魂之殿
'chen'lun'zhi'jian'fang'pin'duo'hun'zhi'dian 沉沦之间仿品夺魂之殿
'chen'mo'zhi'lei'jian'chui 沉默之雷坚锤
'chi'hong'duan'ren'xiu'jian 赤红短刃锈剑
'chi'hong'feng'bao'gang'mu'zhi'gong 赤红风暴钢木之弓
'chi'hong'zong'ji'fang'pin'ju'ren'jing'jia 赤红踪迹仿品巨人胫甲
'chi'hong'zong'ji'ju'ren'jing'jia 赤红踪迹巨人胫甲
'chi'yan'zhi'shi'wu'shu'chang'zhang 炽炎之使武术长杖
'chi'ying'meng'jing'chi'hong'zhu'bao 赤影梦境赤红珠宝
'chi'ying'meng'yan'chi'hong'zhu'bao 赤影梦魇赤红珠宝
'chong'fen'xun'lian'chi'hong'zhu'bao 充分训练赤红珠宝
'chong'gao'yuan'jing'san'xiang'zhu'bao 崇高愿景三相珠宝
'chou'hen'rong'lu'yuan'gu'hu'shou 仇恨熔炉远古护手
'chu'niao'qi'cai'zhi'kui 雏鸟漆彩之盔
'chu'shi'rong'guan'xia'gui'yi'wu 初始荣冠匣柜遗物
'chuan'xin'chuan'she'jian'dai 穿心穿射箭袋
'chuan'yun'fang'pin'lie'hun'zhi'gong 穿云仿品猎魂之弓
'chuan'yun'lie'hun'zhi'gong 穿云猎魂之弓
'chuang'yu'tie'duan'chang'zhang 创域铁锻长杖
'chuang'zao'hui'sheng'huang'shi'jian'kui 创造回声皇室坚盔
'chun'cai'cui'lv'zhu'bao 纯才翠绿珠宝
'chun'jing'zhi'lei'hai'yu'hu'shen'fu 纯净之泪海玉护身符
'chun'jing'zhi'shen'de'ji'pin'gui'zu'chang'zhang 纯净之神的祭品贵族长杖
'chun'jing'zhi'xue'xiang'lu'yi'wu 纯净之血香炉遗物
'ci'ji'bao'jia'tie'zhi'bei'xin 刺棘宝甲铁制背心
'ci'ji'zhi'guan'teng'wan'zhi'guan 刺棘之冠藤蔓之冠
'cong'ming'de'ou'ke'hui'yan'yao'ji 聪明的欧克灰岩药剂
'cuan'duo'zhe'de'jiu'shu'yong'heng'jian'kui 篡夺者的救赎永恒坚盔
'cui'can'zhi'guang'xi'bing'chang'zhang 摧残之光细柄长杖
'cui'huo'zhi'hun'cui'lv'zhu'bao 淬火之魂翠绿珠宝
'cui'huo'zhi'qu'chi'hong'zhu'bao 淬火之躯赤红珠宝
'cui'huo'zhi'xin'gu'lan'zhu'bao 淬火之心钴蓝珠宝
'cui'ruo'chi'hong'zhu'bao 脆弱赤红珠宝
'cui'ruo'fang'pin'chi'hong'zhu'bao 脆弱仿品赤红珠宝
'da'di'zhi'hen'mi'zong'duan'xue 大地之痕迷踪短靴
'da'di'zhi'hu'fang'pin'sheng'li'kui'jia 大地之护仿品胜利盔甲
'da'di'zhi'hu'sheng'li'kui'jia 大地之护胜利盔甲
'da'di'zhi'wo'huo'fu'lin'shou'tao 大地之握火蝮鳞手套
'da'di'zhi'ya'ying'hui'zhi'mian 大地之牙鹰喙之面
'dai'bi'ren'chou'duan'bei'xin 代笔人绸缎背心
'dai'ya'di'an'de'chen'xi'zhong'ge'yao'dai 戴亚迪安的晨曦重革腰带
'de'rui'de'jing'shen'shou'tao'si'rong'shou'tao 德瑞的精神手套丝绒手套
'de'rui'de'miao'yao'liang'zhi'mo'li'yao'ji 德瑞的妙药良质魔力药剂
'de'rui'de'mie'shi'yue'ying'zhi'guan 德瑞的蔑视月影之冠
'de'rui'de'mo'ju'fang'pin'hai'ling'jie'zhi 德瑞的魔具仿品海灵戒指
'de'rui'de'mo'ju'hai'ling'jie'zhi 德瑞的魔具海灵戒指
'de'rui'suo'de're'qing'chuan'jia'ci'jian 德瑞索的热情穿甲刺剑
'de'rui'suo'de'wei'yi'lian'shen'long'lin'kai 德瑞索的卫衣连身龙鳞铠
'de'rui'suo'de'yong'zhe'zhi'dun'gu'dai'yuan'dun 德瑞索的勇者之盾古代圆盾
'de'rui'suo'de'zhan'li'huang'jing'hu'shen'fu 德瑞索的战礼黄晶护身符
'de'rui'zhi'fu'du'zhu'si'zhi'pao 德瑞之肤毒蛛丝之袍
'de'rui'zhi'she'hai'yu'hu'shen'fu 德瑞之舌海玉护身符
'de'wo'tuo'de'xin'nian'zhi'kui'meng'yan'zhan'kui 德沃托的信念之盔梦魇战盔
'di'dong'yang'pi'duan'xue 地动羊皮短靴
'di'er'sheng'shi'zhu'tai'yi'wu 第二圣誓烛台遗物
'di'fu'an'guang'kuang'feng'fa'zhang 低伏暗光狂风法杖
'di'gu'zhuang'tai'gu'lan'zhu'bao 低谷状态钴蓝珠宝
'di'guo'zhi'zhang'ju'ling'hu'shou 帝国之掌巨灵护手
'di'jing'bian'yuan'fu'ji'ci'ren 地精边缘伏击刺刃
'di'li'shen'gen'fu'ji'ci'ren 砥砺深根伏击刺刃
'di'si'shi'yan'qian'cheng'lian'jia 第四誓言虔诚链甲
'di'wang'de'ba'quan'chi'hong'zhu'bao 帝王的霸权赤红珠宝
'di'wang'de'chun'shu'san'xiang'zhu'bao 帝王的纯熟三相珠宝
'di'wang'de'gui'ji'cui'lv'zhu'bao 帝王的诡计翠绿珠宝
'di'wang'de'zhi'hui'gu'lan'zhu'bao 帝王的智慧钴蓝珠宝
'dian'feng'zhuang'tai'gu'lan'zhu'bao 巅峰状态钴蓝珠宝
'dian'lan'zhi'guan'ling'zhu'zhi'huan 靛蓝之冠灵主之环
'dian'wu'qi'yue'shan'hu'hu'shen'fu 玷污契约珊瑚护身符
'diao'fu'de'quan'tao'ci'xiu'shou'tao 刁妇的圈套刺绣手套
'diao'ling'mo'zhao'xu'ying'duan'zhang 凋灵魔爪虚影短杖
'dong'fang'lei'ting'sheng'zhang'di'guo'chang'zhang 东方雷霆圣杖帝国长杖
'dong'ri'zhi'zhi'shan'hu'jie'zhi 冬日之织珊瑚戒指
'dong'zhi'shi'lie'zang'gou 东之饰裂脏钩
'dong'zhi'xin'di'jin'hu'shen'fu 冬之心帝金护身符
'dong'zhi'xin'fang'pin'di'jin'hu'shen'fu 冬之心仿品帝金护身符
'du'duan'zhuan'xing'jue'dou'zhi'kai 独断专行决斗之铠
'du'jin'sheng'bei'sheng'ge'yi'wu 镀金圣杯圣歌遗物
'du'shen'dai'li'qian'neng'zhi'jie 渎神代理潜能之戒
'du'shen'fen'duo'jin'guang'jie'zhi 赌神芬多金光戒指
'duan'zan'ji'ban'hai'yu'hu'shen'fu 短暂羁绊海玉护身符
'duan'zui'chai'fu 断罪柴斧
'duo'li'ya'ni'de'huan'hua'zhi'zhang'wa'er'duan'zhang 多里亚尼的幻化之杖瓦尔短杖
'duo'li'ya'ni'de'huan'xiang'ju'ren'jing'jia 多里亚尼的幻想巨人胫甲
'duo'li'ya'ni'de'mi'cheng'ming'shen'zhi'yu 多里亚尼的迷城冥神之域
'duo'li'ya'ni'de'shi'zuo'jia'sheng'zhe'lian'jia 多里亚尼的试作甲圣者链甲
'duo'li'ya'ni'zhi'quan'wa'er'hu'shou 多里亚尼之拳瓦尔护手
'duo'li'ya'ni'zhi'yue'zhong'ge'yao'dai 多里亚尼之约重革腰带
'duo'luo'zhi'xue'hu'po'hu'shen'fu 堕落之血琥珀护身符
'duo'ming'long'kui'bao'hua'ding'ji 夺命龙葵孢花酊剂
'e'feng'zu'ji'qiang'hua'jing'jia 恶风足迹强化胫甲
'e'mo'feng'bu'zhe'duan'bu'shou'tao 恶魔缝补者缎布手套
'e'xi'zhe'huo'fu'lin'shou'tao 扼息者火蝮鳞手套
'e'yun'hu'fu'huang'jing'hu'shen'fu 厄运护符黄晶护身符
'en'de'de'xun'ying'guo'zhi'hu'shou 恩德的迅影裹趾护手
'en'ji'er'de'cha'ren'fang'pin'qie'zhe'duan'ren 恩吉尔的叉刃仿品窃者短刃
'en'ji'er'de'cha'ren'qie'zhe'duan'ren 恩吉尔的叉刃窃者短刃
'en'ji'er'de'he'xie'qing'yu'hu'shen'fu 恩吉尔的和谐青玉护身符
'er'qi'de'ju'ling'zhi'chui'ka'lu'zhong'chui 尔奇的巨灵之锤卡鲁重锤
'fa'shi'zhi'xue'zhong'ge'yao'dai 法师之血重革腰带
'fei'bo'zhi'ya'huang'jing'hu'shen'fu 费伯之牙黄晶护身符
'fei'de'li'ta'si'zhi'feng'ju'zhuang'bo'ren 费德利塔斯之锋锯状薄刃
'fei'er'zhi'mao'san'jiao'mao 费尔之帽三角帽
'fei'xi'ya'de'hua'huan'tie'duan'zhi'guan 费西亚的花环铁锻之冠
'fei'xi'ya'zhi'shou'wang'yan'shou'tao 费西亚之手网眼手套
'fen'chang'zhi'lian'huo'fu'lin'shou'tao 坟场之链火蝮鳞手套
'fen'hen'yi'chan'di'fu'lin'chang'xue 愤恨遗产地蝮鳞长靴
'fen'nu'zhi'fa'qing'yu'hu'shen'fu 愤怒之阀青玉护身符
'fen'xing'si'wei'wa'er'zhi'mian 分形思维瓦尔之面
'feng'bao'ci'fu'an'ying'hu'shou 风暴赐福暗影护手
'feng'bao'ju'shu'wu'qing'zhi'mian 风暴拘束无情之面
'feng'bao'mi'zhe'fu'ji'hu'shou 风暴觅者伏击护手
'feng'bao'qi'shi'jian'tie'jing'jia 风暴骑士坚铁胫甲
'feng'bao'zhi'mi'huang'yu'jie'zhi 风暴之秘黄玉戒指
'feng'bao'zhi'yan'dan'bai'shi'jie'zhi 风暴之炎蛋白石戒指
'feng'bao'zhi'yan'huang'jia'chang'zhang 风暴之眼皇家长杖
'feng'chao'yong'dong'ci'hou'ren 蜂巢涌动刺喉刃
'feng'fu'xin'ling'gu'lan'zhu'bao 丰富心灵钴蓝珠宝
'feng'he'e'mo'mian'zhao'xing'zheng'zhe'zhan'guan 缝合恶魔面罩行政者战冠
'feng'hui'lu'zhuan'ai'zi'mai'ci'dun 峰回路转艾兹麦刺盾
'feng'kuang'bian'jie'shu'diao'ju'jian 疯狂边界术雕巨剑
'feng'kuang'de'xiang'zheng'yi'se'xie 疯狂的象征异色鞋
'feng'xue'shi'fang'wu'qing'zhi'mian 风雪释放无情之面
'fu'chou'de'mei'li'huang'jing'hu'shen'fu 复仇的魅力黄晶护身符
'fu'er'de'yuan'jian'ling'zhu'zhan'guan 福尔的远见领主战冠
'fu'er'de'zhan'kai'sheng'yu'suo'jia 福尔的战铠圣语锁甲
'fu'er'de'zhong'cheng'zhi'fu'ma'nao'hu'shen'fu 福尔的忠诚之符玛瑙护身符
'fu'gui'zhi'yun'gang'ying'hu'shou 富贵之运钢影护手
'fu'hua'chi'hong'zhu'bao 浮华赤红珠宝
'fu'hua'han'xi'cui'lv'zhu'bao 腐化寒息翠绿珠宝
'fu'jin'lu'pi'wai'tao 拂烬鹿皮外套
'fu'ku'er'de'shou'fang'pin'kuang're'zhe'shou'tao 福库尔的手仿品狂热者手套
'fu'ku'er'de'shou'kuang're'zhe'shou'tao 福库尔的手狂热者手套
'fu'mie'zhi'zhao'wang'yan'chang'xue 覆灭之兆网眼长靴
'fu'su'zhi'yao'shi'bu'yao'dai 复苏之药饰布腰带
'fu'wen'an'ying'hu'shou 蝮吻暗影护手
'fu'xue'de'cheng'nuo'qian'neng'zhi'jie 腐血的承诺潜能之戒
'gai'bian'de'yao'yuan'hui'yi'huan'jing'di'tu 改变的遥远回忆幻境地图
'gai'la'tu'si'yin'jie'bao'zuan'jie'zhi 盖拉图斯印戒宝钻戒指
'gai'lu'kan'de'fei'sheng'ni'zong'duan'xue 盖卢坎的飞升匿踪短靴
'gang'duo'de'xu'rong'ai'zi'mai'ju'jian 刚多的虚荣艾兹麦巨剑
'gang'mu'de'ba'ye'ka'lu'ju'fu 冈姆的霸业卡鲁巨斧
'gang'mu'de'jing'shen'ju'ren'hu'shou 冈姆的精神巨人护手
'gang'mu'de'ming'ling'po'cheng'zhi'kui 冈姆的命令破城之盔
'gang'mu'de'wen'zhong'zhi'xue'ju'ren'jing'jia 冈姆的稳重之靴巨人胫甲
'gang'mu'de'yuan'jian'shan'hu'jie'zhi 冈姆的远见珊瑚戒指
'gang'mu'de'zhuang'zhi'fang'pin'rong'yao'zhan'kai 冈姆的壮志仿品荣耀战铠
'gang'mu'de'zhuang'zhi'rong'yao'zhan'kai 冈姆的壮志荣耀战铠
'gang'mu'zhi'shu'fu'zhong'ge'yao'dai 冈姆之束缚重革腰带
'gang'tie'ru'chong'kuan'shi'jian'dai 钢铁蠕虫宽矢箭袋
'gang'tie'yao'sai'zheng'zhan'zhong'kai 钢铁要塞征战重铠
'gang'tie'zhi'hui'fang'pin'si'wang'zhi'gong 钢铁指挥仿品死亡之弓
'gang'tie'zhi'hui'si'wang'zhi'gong 钢铁指挥死亡之弓
'gang'tie'zhi'liang'dou'shi'chang'jian 钢铁质量斗士长剑
'gang'yong'jun'tuan'chang'xue 刚勇军团长靴
'gao'jie'sheng'bei'liu'huang'yao'ji 高洁圣杯硫磺药剂
'ge'er'gong'de'ning'shi'shi'jun'zhi'mian 葛尔贡的凝视弑君之面
'ge'la'wen'de'mi'bao'shi'bu'yao'dai 葛拉文的秘宝饰布腰带
'gong'ming'zhi'mian'fang'pin'jie'qing'zhi'mian 共鸣之面仿品节庆之面
'gong'ming'zhi'mian'jie'qing'zhi'mian 共鸣之面节庆之面
'gua'fu'qie'zhe'duan'bi 寡妇窃者短匕
'guan'xing'chi'hong'zhu'bao 惯性赤红珠宝
'guan'zhu'de'jiang'lin'zhi'di'xian'qu'zhe'di'tu 灌注的降临之地先驱者地图
'guang'cai'duo'mu'yong'heng'zhu'bao 光彩夺目永恒珠宝
'guang'hui'zhi'lu'jing'bing'zhi'kui 光辉之颅精兵之盔
'guang'ming'tou'lie'zhe'qiang'hua'ju'kui 光明偷猎者强化巨盔
'guang'yao'zhi'chui'zhan'chui 光耀之锤战锤
'gui'shi'cha'lan'zhi'jian 鬼弑查兰之剑
'gui'zi'shou'jie'ke'wa'er'zhan'fu 刽子手杰克瓦尔战斧
'hai'ang'de'kuang'nu'jun'tuan'chang'jian 海昂的狂怒军团长剑
'hai'jun'shang'jiang'ying'cai'wai'tao 海军上将映彩外套
'hai'ren'zhi'kou'huan'gu'tou'kui 害人之口唤骨头盔
'hai'wang'guan'mian'zhen'yan'zhan'guan 海王冠冕箴言战冠
'hai'yao'mei'qu'yu'gan 海妖魅曲鱼竿
'han'en'de'li'liang'ye'yu'chang'jian 汉恩的力量夜语长剑
'han'en'de'mie'shi'ling'zhu'zhan'guan 汉恩的蔑视领主战冠
'han'en'de'yi'chan'ju'xing'ta'dun 汉恩的遗产巨型塔盾
'han'feng'zhi'wei'dun'shi'jian'dai 寒锋之卫钝矢箭袋
'han'guang'jian'zhong'jian 寒光剑重剑
'han'tie'ren'ai'zi'mai'zhi'bi 寒铁刃艾兹麦之匕
'han'tie'ren'fang'pin'ai'zi'mai'zhi'bi 寒铁刃仿品艾兹麦之匕
'han'yan'fang'pin'ge'dou 寒焰仿品革兜
'han'yan'ge'dou 寒焰革兜
'hao'zhan'de'xin'yang'yong'heng'zhu'bao 好战的信仰永恒珠宝
'he'liu'meng'mei'jun'yong'chang'ren 合流梦寐军用长刃
'he'ping'zhu'yi'cui'lv'zhu'bao 和平主义翠绿珠宝
'he'ping'zhu'yi'fang'pin'cui'lv'zhu'bao 和平主义仿品翠绿珠宝
'he'zuo'wa'er'zhi'xiang 合作瓦尔之相
'hei'gang'wa'er'duan'zhang 黑钢瓦尔短杖
'hei'sha'wa'er'jun'ren 黑鲨瓦尔军刃
'hei'yan'zhi'mang'ran'shi'jian'dai 黑炎之芒燃矢箭袋
'hei'yan'zi'jing'jie'zhi 黑焰紫晶戒指
'hei'yang'zhi'guan'qi'cai'zhi'kui 黑阳之冠漆彩之盔
'hei'ye'ming'deng'hu'weng'yi'wu 黑夜明灯壶瓮遗物
'hen'yi'lan'yu'yao'ji 恨意蓝玉药剂
'heng'yi'yi'zhi'xian'feng'yao'dai 恒毅意志先锋腰带
'hong'mu'zhou'zhe'chang'xue 虹幕咒者长靴
'hong'qi'fu'yin'ji'yi'zhi'guan 红契符印祭仪之冠
'hong'ren'qi'zhi'cai'hui'ta'dun 红刃旗帜彩绘塔盾
'hong'ren'rou'lin'xue'yuan'gu'jing'jia 红刃蹂躏靴远古胫甲
'hong'ren'zhi'huan'qian'neng'zhi'jie 红刃之环潜能之戒
'hong'tian'lei'an'ying'zhe'hu'shou 轰天雷暗影者护手
'hong'yao'zhi'yue'mu'guang'chang'jian 虹耀之月暮光长剑
'hu'mao'kai'kuang'ye'bu'zu'pi'jia 狐毛铠狂野部族皮甲
'huan'cai'ling'zhi'fang'pin'su'bu'yao'dai 幻彩菱织仿品素布腰带
'huan'cai'ling'zhi'su'bu'yao'dai 幻彩菱织素布腰带
'huan'mang'sheng'dun'dou'shi'yuan'dun 幻芒圣盾斗士鸢盾
'huan'meng'fei'yu'fang'pin'yong'heng'zhi'jian 幻梦飞羽仿品永恒之剑
'huan'meng'fei'yu'yong'heng'zhi'jian 幻梦飞羽永恒之剑
