'a'bang'fu'cang'shi 阿邦伏藏师
'duo'zhi'qin 多智钦
'er'shi'si'ren'zhi'gong'fa'wang'ren'jin'que'zha 二十四任直贡法王仁津却扎
'fa'xing 法性
'fan'wen 梵文
'fen'nu'lian'shi 忿怒莲师
'fen'nu'zun 忿怒尊
'fen'nu'zun 愤怒尊
'fu'cang 伏藏
'fu'cang'fa 伏藏法
'fu'xu 父续
'ga'dang'pai 噶当派
'ga'ju'pai 噶举派
'ga'ma'ba 噶玛巴
'ga'ma'ba'xi 噶玛巴希
'ga'ma'ga'ju 噶玛噶举
'ga'ma'qia'mei 噶玛洽美
'ga'ma'ran'za 噶玛燃匝
'ga'qian'ren'bo'qie 噶千仁波切
'gan'lu'gong'de 甘露功德
'gan'lu'gong'de'hei'lu'ga 甘露功德嘿鲁嘎
'gan'lu'wan 甘露丸
'gang'bo'ba 冈波巴
'ge'lu'pai 格鲁派
'gen'ben'zhou 根本咒
'gen'dao'guo 根道果
'gong'bo'duo'jie 贡波多杰
'gong'bo'nan'jie 贡波南杰
'gong'dian 宫殿
'gong'zan'shi'jian 供赞世间
'gong'zan'shi'shen 供赞世神
'gu'lu'que'wang 咕噜却旺
'guan'ding 灌顶
'guan'xiang 观想
'guan'xiu 观修
'gun'ga'zhuo'que 衮噶卓却
'han'she 含摄
'ji'dao'guo 基道果
'ji'jing'zun 寂静尊
'ji'mei'jia'wei'niu'gu 吉美嘉威纽固
'ji'mei'lin'ba 吉美林巴
'ji'mei're'dian 吉美热殿
'ji'tian'song'gong 吉天颂恭
'jia'se'la'jie 嘉瑟拉杰
'jia'wa'xi'yang 嘉哇郄扬
'jiang'bai'luo'sang 江白洛桑
'jiang'gong'kang'chu 蒋贡康楚
'jiang'gong'kang'chu'luo'zhuo'ta'ye 蒋贡康楚罗卓他耶
'jiang'yang'qin'zhe'wang'bo 蒋扬钦哲旺波
'jin'gang'jue 金刚橛
'jin'gang'shang'shi 金刚上师
'jin'mei'peng'cuo 晋美彭措
'jin'mei'peng'cuo'fa'wang 晋美彭措法王
'jing'fa 净法
'jing'guo 净果
'jing'hua 净化
'jing'ji 净基
'jiu'jing 究竟
'jiu'shi'ga'ma'ba 九世噶玛巴
'jiu'yi 旧译
'jiu'yi'pai 旧译派
'ju'sheng 具生
'jue'nang'pai 觉囊派
'jue'xing'ke'xue 觉性科学
'jue'zhi'song 觉之诵
'jue'zhi'wu 觉之舞
'jue'zhi'yin 觉之音
'ka'cang'bei'ma'wang'chu 卡藏贝玛旺楚
'ka'cang'bei'ma'wang'ju'du'du'duo'jie 卡藏贝玛旺居杜度多杰
'ka'qia'duo'jie 卡恰多杰
'kan'bu 堪布
'kan'bu'men'se 堪布门色
'kang'cang'fu'cang'shi 康仓伏藏师
'kong'hang 空行
'kun'cang'jiu'mei'long'duo'duo'jie 昆藏久美龙多多杰
'lang'jia'ren'bo'qie 朗加仁波切
'li'zan 礼赞
'lian'shi 莲师
'lian'shi'chuan 莲师传
'lie'deng'du'jiong'duo'jie 列登杜迥多杰
'liu'shi'ga'ma'ba 六世噶玛巴
'long'qin'ba 龙钦巴
'long'qin'ba'da'shi 龙钦巴大师
'long'qin'ning'ti 龙钦宁提
'long'sa'ning'bo 龙萨宁波
'luo'hou'luo 罗侯罗
'luo'pei'duo'jie 洛佩多杰
'ma'er'ba 马尔巴
'ma'ha'ga'la 玛哈嘎拉
'ma'ha'yu'jia 玛哈瑜珈
'meng'zhou'zu'li 猛咒诅詈
'mi'cheng 密乘
'mi'jue'duo'ji 弥觉多吉
'mi'le'ri'ba 密勒日巴
'mi'mi'yuan'man 秘密圆满
'mi'pang'ren'bo'qie 米滂仁波切
'mi'xu 密续
'min'lin'che'qin 敏林彻钦
'min'zhu'lin 敏珠林
'min'zhu'lin'si 敏珠林寺
'mu'xu 母续
'na'luo'ba 那洛巴
'nan'kai'ning'bo 南开宁波
'ni'bo'er'yang'lie'xiu 尼泊尔扬烈修
'ni'gu'ma 尼古玛
'nian'long'shang'shi'fo'fu'mu 年龙上师佛父母
'niang'rang'ni'ma'wei'se 娘让尼玛韦瑟
'ning'ma'pai 宁玛派
'niu'xiu'kan'bu'ren'bo'qie 纽修堪布仁波切
'pa'mo'zhu'ba 帕莫竹巴
'pa'zhu'ga'ju 帕竹噶举
'peng'jiang'yang'nan'jia'jia'cuo 彭降央南迦嘉措
'pi'lu'zhe'na 毘卢遮那
'pu'ba'jin'gang 普巴金刚
'pu'jiang'ao'man 普降傲慢
'qi'mai'ming'dian 气脉明点
'qi'qiong'luo'cha 祁琼洛嚓
'qi'shi'ga'ma'ba 七世噶玛巴
'qian'bao'ren'bo'qie 千宝仁波切
'qian'qiu'hei'lu'ga 千秋嘿鲁嘎
'qiang'qiu'duo'ji 强秋多吉
'qiao'jue 窍诀
'qing'jing 清净
'qiong'bo'nan'jie 琼波南杰
'qiu'ji'lin'ba 秋吉林巴
'qiu'shang'ren'bo'qie 丘商仁波切
'qiu'yang'chuang'ba'ren'bo'qie 秋扬创巴仁波切
'qiu'ying'duo'jie 秋英多杰
'qiu'zha'jia'cuo 秋扎嘉措
'que'ji'luo'zhuo 确吉罗卓
'rang'jiong'duo'jie 让炯多杰
'rang'jiong'ri'pei'duo'jie 让炯日佩多杰
'ren'bo'qie 仁波切
'ren'zeng 仁增
'ren'zeng'a'ge'wang'bo 仁增阿格旺波
'ren'zeng'guo'deng 仁增果登
'ren'zeng'qian'mo 仁增千摩
'ren'zeng'qian'mo'bei'ma'cheng'lie 仁增千摩贝玛成列
'ren'zeng'qian'mo'fa'wang 仁增千摩法王
'ren'zhen'bei'ma'nuo'bu 仁珍贝玛诺布
'ren'zhen'cai'wang'nuo'bu 仁珍才旺诺布
'ren'zhen'lei'ji'duo'jie 仁珍雷即多杰
'ren'zhen'qian'bao 仁珍千宝
'ren'zhen'qian'bao'bei'ma'wang'qing 仁珍千宝贝玛旺晴
'ren'zhen'qian'bao'chuan'cheng 仁珍千宝传承
'ren'zhen'qian'bao'ren'bo'qie 仁珍千宝仁波切
'ri'ka'ze'sang'sang'la'zha 日喀则桑桑拉扎
'ru'lai'zang 如来藏
'sa'ban'gong'ga'jian'zan 萨班贡噶坚赞
'sa'jia'da'qin'fa'wang 萨迦达钦法王
'sa'jia'er'zu 萨迦二祖
'sa'jia'pai 萨迦派
'sa'jia'pai'kun'shi'jia'zu 萨迦派昆氏家族
'sa'jia'san'zu 萨迦三祖
'sa'jia'si'zu 萨迦四祖
'sa'jia'wu'zu 萨迦五祖
'san'gen'ben 三根本
'san'lv'lun 三律论
'san'su'er 三素尔
'san'you'lun'hui 三有轮回
'sang'ji'la'ma 桑吉喇嘛
'shan'shi'zong'ji 善逝总集
'shang'shi 上师
'she'shou 摄受
'shen'kou'yi 身口意
'shen'yu'yi 身语意
'sheng'le'jin'gang 胜乐金刚
'sheng'yi 胜义
'sheng'yi'di 胜义谛
'sheng'yuan'er'ci'di 生圆二次地
'shi'er'shi'ga'ma'ba 十二世噶玛巴
'shi'liu'shi'ga'ma'ba 十六世噶玛巴
'shi'san'shi'ga'ma'ba 十三世噶玛巴
'shi'shi'ga'ma'ba 十世噶玛巴
'shi'shi'ren'zeng'qian'mo 十世仁增千摩
'shi'si'shi'ga'ma'ba 十四世噶玛巴
'shi'su'di 世俗谛
'shi'wu'shi'ga'ma'ba 十五世噶玛巴
'shi'yi'shi'ga'ma'ba 十一世噶玛巴
'shi'you 实有
'shu'sheng 殊胜
'si'da'ba'xiao 四大八小
'si'shi'duo'zhu'qian'fa'wang 四世多竹千法王
'su'ka'xi'di 苏卡悉地
'suo'lang'ze'mo 索朗择莫
'ta'kong'jian 他空见
'tan'cheng 坛城
'tang'dong'jie'bo 汤东杰波
'tang'ren'bo'qie 唐仁波切
'tong'dian 铜殿
'tu'deng'nuo'bu 图登诺布
'tu'deng'qiu'wang'niang'ni'duo'jie 土登秋旺酿尼多杰
'wai'nei'mi 外内密
'wang'qiu'duo'jie 旺秋多杰
'wen'shu'yan'mo'di 文殊阎魔敌
'wen'si'xiu 闻思修
'wu'er'xu 无二续
'wu'jin'lin'ba 邬金林巴
'wu'shi'ren'zhen'qian'bao 五世仁珍千宝
'xi'jin'gang 喜金刚
'xi'qin'weng'chu'ren'bo'qie 西钦翁楚仁波切
'xia'ma'ba 夏玛巴
'xia'zha'fa'wang 夏扎法王
'xian'xiang 显像
'xiang'ba'ga'ju 香巴噶举
'xiang'ba'ga'ju'pai 香巴噶举派
'xie'rao'jian'zan 协饶坚赞
'xin'yi'pai 新译派
'xiu'bu'ba'fa 修部八法
'xiu'chi 修持
'xu'dian 续典
'xue'qian'si 雪谦寺
'yan'cang 岩藏
'yang'da'hei'lu'ga 扬达黑噜嘎
'yang'jin 央金
'yang'jin'ge'wu'fa 央金歌舞法
'ye'xi'duo'jie 耶喜多杰
'yi'ji'fo'mu 一髻佛母
'yi'xi'cuo'jia'fo'mu 伊喜措嘉佛母
'yi'xi'duo'jie 依喜多杰
'yong'ning'di'mu 永宁地母
'yu'mo'mi'jue'duo'jie 宇摩弥觉多杰
'yu'ting 宇廷
'yu'zha'ning'bo 宇扎宁波
'yuan'man'qi'miao'hai 圆满奇妙海
'zha'ba'jian'zan 札巴坚赞
'zha'xi'duo'jie 扎西多杰
'zhao'qian'ma'mo 召遣玛嫫
'zhe'bu'zun'dan'ba 哲布尊丹巴
'zhen'shi'yi'hei'lu'ga 真实意黑噜嘎
'zheng'de 证得
'zheng'wu 证悟
'zhi'gong'fa'wang 直贡法王
'zhi'gong'ga'ju 直贡噶举
'zi'sheng'zi'xian 自生自显
'zi'xing 自性
'zi'xing'yun'dong 自性运动
'zong'ka'ba 宗喀吧
'zong'sa'qin'zhe 宗萨钦哲
'zuo'qin'si 佐钦寺
