'bai'nian'lao'wu 百年老屋
'nei'wai'duo'zhi'xiao'men 内外多置小门
'neng'yi'zu'yin'bian'ren 能以足音辨人
'niang'yi'zhi'kou'men'fei'yue 娘以指叩门扉曰
'qi'hou'er'nian 其后二年
'qi'hou'liu'nian 其后六年
'qi'hou'qin'huang'di'zhu'nv'huai'qing'tai 其后秦皇帝筑女怀清台
'qi'wei'yu'kan'jing'zhi'wa'he'yi 其谓与坎井之蛙何异
'qi'zhi'shao'yi'yu'qian 其制稍异于前
'qian'pi'si'chuang 前辟四窗
'qiang'wang'wang'er'shi 墙往往而是
'qie'he'wei'ge'zi'ye 且何谓阁子也
'qing'zhi 顷之
'ran'yu'ju'yu'ci 然余居于此
'ran'zi'hou'yu'duo'zai'wai 然自后余多在外
'ren'wang 人往
'ren'zhi'bu'qu 人至不去
'ren'zhi'zhi'zhe 人知之者
'ri'guo'wu'yi'hun 日过午已昏
'ri'ying'fan'zhao 日影反照
'ru'er'shi 乳二世
'ru'zai'zuo'ri 如在昨日
'ru'zi'zai'wu'huai 汝姊在吾怀
'san'wu'zhi'ye 三五之夜
'shan'shan'ke'ai 珊珊可爱
'shi'bu'shang'lou 使不上漏
'shi'he'zu'yi'zhi'zhi 世何足以知之
'shi'huai'bu'xiu 室坏不修
'shi'jin'fang'zhang 室仅方丈
'shi'shi'dong'ran 室始洞然
'shi'xi'lian'yu'zhong'gui 室西连于中闺
'shi'zhi'xuan'zhong 时至轩中
'shu'qing'shou'dan'xue 蜀清守丹穴
'shu'zhu'xiao'mei'yu'yue 述诸小妹语曰
'shun'mu 瞬目
'ta'ri'ru'dang'yong'zhi 他日汝当用之
'ting'you'pi'pa'shu 庭有枇杷树
'ting'zhong'shi'wei'li 庭中始为篱
'ting'zhong'tong'nan'bei'wei'yi 庭中通南北为一
'wan'lai'you'sheng 万籁有声
'wei'you'qi'jing 谓有奇景
'wen'zi'jia'you'ge'zi 闻姊家有阁子
'wu'cong'ban'wai'xiang'wei'ying'da 吾从板外相为应答
'wu'er 吾儿
'wu'jia'du'shu'jiu'bu'xiao 吾家读书久不效
'wu'qi'gui'ning 吾妻归宁
'wu'qi'lai'gui 吾妻来归
'wu'qi'si 吾妻死
'wu'qi'si'zhi'nian'suo'shou'zhi'ye 吾妻死之年所手植也
'xian'bi'chang'yi'zhi 先妣尝一至
'xian'bi'fu'zhi'shen'hou 先妣抚之甚厚
'xian'da'mu'bi'ye 先大母婢也
'xian'shi 先是
'xiang'ji'sheng'yue 项脊生曰
'xiang'ji'xuan 项脊轩
'xiao'niao'shi'lai'zhuo'shi 小鸟时来啄食
'xuan'de'jian 宣德间
'xuan'de'jian'zhi'ci'yi'chao 宣德间执此以朝
'xuan'dong 轩东
'xuan'fan'si'zao'huo 轩凡四遭火
'yan'yang'xiao'ge 偃仰啸歌
'yi'dang'nan'ri 以当南日
'yi'duo'ke'bei 亦多可悲
'yi'ri 一日
'yi'shou'he'men 以手阖门
'yi'sui'zeng'sheng 亦遂增胜
'yi'wei'qiang 已为墙
'you'bei'xiang 又北向
'you'za'zhi'lan'gui'zhu'mu'yu'ting 又杂植兰桂竹木于庭
'yu'ji'wei'ci'zhi 余既为此志
'yu'jiong'you'er'ju 余扃牖而居
'yu'jiu'wo'bing'wu'liao 余久卧病无聊
'yu'mei'wei'yu'yue 妪每谓余曰
'yu'qi 余泣
'yu'qu'qu'chu'bai'wu'zhong 余区区处败屋中
'yu'shao'wei'xiu'qi 余稍为修葺
'yu'shi'hu 欲食乎
'yu'wei'bi 语未毕
'yu'yi'qi 妪亦泣
'yu'you'yue 妪又曰
'yu'ze'xia'zhu 雨泽下注
'yu'zi'shu'fa 余自束发
'yuan'qiang'zhou'ting 垣墙周庭
'ze'ke'dai'hu 则可待乎
'zhan'gu'yi'ji 瞻顾遗迹
'zhi'ci'yi'chao 执此以朝
'zhu'ge'kong'ming'qi'long'zhong 诸葛孔明起陇中
'zi'yu'yue 自语曰
