'an'zhuang'que'ren 安装确认
'lin'shi'wen'jian 临时文件
'mei'guo'yao'dian 美国药典
'mo'xing 模型
'nei'kui'jian'ce 内窥检测
'nei'shen 内审
'nian'du'hui'gu 年度回顾
'ou'zhou'yao'dian 欧洲药典
'pei'yang'ji 培养基
'pei'yang'ji'mo'ni'guan'zhuang 培养基模拟灌装
'pei'ye'xi'tong 配液系统
'pian'cha 偏差
'qi'shi'wu'liao 起始物料
'qi'xiang 气相
'qiang'zhi'jiang'jie'shi'yan 强制降解试验
'qiang'zhi'po'huai'xing'shi'yan 强制破坏性试验
'qing'yan 请验
'qu're'yuan 去热原
'qu'shi'fen'xi 趋势分析
'qu'yang'yuan'ze 取样原则
'quan'xian'guan'li 权限管理
'ren'yuan'pei'xun 人员培训
'ren'yuan'zi'zhi 人员资质
'rong'qi'mi'feng'xing 容器密封性
'rong'ye 溶液
'shen'ji 审计
'shen'ji'zhui'zong 审计追踪
'sheng'chan'pi'hao 生产批号
'sheng'chan'shang 生产商
'sheng'wu'yao 生物药
'sheng'wu'zhi'ji 生物制剂
'shi'che 试车
'shi're'mie'jun 湿热灭菌
'shi're'mie'jun'gui 湿热灭菌柜
'shi'wu'zhi 湿物质
'shou'fang 首仿
'shu'ju'du'li'xing 数据独立性
'shu'ju'guan'li 数据管理
'shu'ju'ke'kao'xing 数据可靠性
'shu'ju'wan'zheng'xing 数据完整性
'shui'xi'tong 水系统
'sui'dao'hong'xiang 隧道烘箱
'ti'xian 体现
'tiao'zhan 挑战
'tong'bu'yan'zheng 同步验证
'tong'fen'gong'ju 统分工具
'tong'ji'fen'xi 统计分析
'tong'shi'jian'cha 同时检查
'tou'su 投诉
'wai'xie 外协
'wan'cheng'bao'guan 完成报关
'wan'cheng'qing'kuang 完成情况
'wan'quan'xing'fang'xing 完全性放行
'wan'zheng'xing 完整性
'wan'zheng'xing'ce'shi 完整性测试
'wei'sheng'wu'jian'ce 微生物检测
'wei'tuo'jian'yan 委托检验
'wen'ding 稳定
'wen'ding'xing'kao'cha 稳定性考察
'wen'ding'xing'shi'yan 稳定性试验
'wen'ding'xing'shi'yan'shi 稳定性实验室
'wen'jian 文件
'wen'jian'bian'geng 文件变更
'wu'jun'cao'zuo 无菌操作
'wu'jun'sheng'chan 无菌生产
'wu'jun'yang'pin 无菌样品
'wu'jun'yuan'liao'yao 无菌原料药
'wu'jun'zhi'ji 无菌制剂
'wu'kong'bu 物控部
'wu'liao 物料
'wu'ran 污染
'wu'zi 物资
'xi'jun'nei'du'su 细菌内毒素
'xi'jun'nei'du'su'jian'cha'fa 细菌内毒素检查法
'xi'lin'ping 西林瓶
'xian'chang'yan'shou 现场验收
'xian'ding'xing'fang'xing 限定性放行
'xiang'rong'xing 相容性
'xiao'du'ji 消毒剂
'xiao'hui 销毁
'xiao'qi 效期
'xin'xi 信息
'xing'neng'que'ren 性能确认
'xuan'fu'li'zi 悬浮粒子
'yan'shou 验收
'yan'zheng 验证
'yan'zheng'bao'gao 验证报告
'yan'zheng'fang'an 验证方案
'yan'zheng'zhu'ji'hua 验证主计划
'yang'pin'shou'fa'shi 样品收发室
'yao'dian 药典
'yao'jian 药监
'yao'pin'bu'liang'fan'ying 药品不良反应
'yao'pin'guan'li'fa 药品管理法
'yao'pin'shang'shi'xu'ke 药品上市许可
'yao'zheng 药政
'yao'zheng'bu 药政部
'yao'zheng'shen'bao 药政申报
'ye'xiang 液相
'yi'chang'qu'shi 异常趋势
'yi'ju 依据
'yi'nuo'gan'su'na 依诺肝素钠
'yi'qi'shi'yan'shi 仪器实验室
'yi'zhi'du'shi'ji 易制毒试剂
'yong'hu'guan'li 用户管理
'you'du'shi'ji 有毒试剂
'you'xiao'qi 有效期
'yu'chong'shi'zhu'she'qi 预充式注射器
'yuan'liao 原料
'yuan'liao'yao 原料药
'yuan'yan'yao 原研药
'yun'xing'que'ren 运行确认
'yun'ying'guan'li 运营管理
'zai'jia'gong 再加工
'zai'nan'xing'ce'shi 灾难性测试
'zai'yan'zheng 再验证
'zhen'guan 针管
'zheng'li'gui'na 整理归纳
'zhi'ji 制剂
'zhi'liang'bao'zheng 质量保证
'zhi'liang'biao'zhun 质量标准
'zhi'liang'bu'men 质量部门
'zhi'liang'feng'xian 质量风险
'zhi'liang'guan'li 质量管理
'zhi'liang'huo'dong 质量活动
'zhi'liang'kong'zhi 质量控制
'zhi'liang'ti'xi 质量体系
'zhi'liang'yi'shi 质量意识
'zhi'liang'yue'bao 质量月报
'zhi'yao'yong'shui 制药用水
'zhi'zhi'ji'lu 纸质记录
'zhong'bao'zhuang 重包装
'zhong'duan'chan'pin 终端产品
'zhong'duan'mie'jun 终端灭菌
'zhong'guo'yao'dian 中国药典
'zhong'jia'gong 重加工
'zhong'jian'ti'jian'ce 中间体检测
'zhong'jun'fen'zi'liang 重均分子量
'zhong'kong'biao'zhun 中控标准
'zhong'xiao'guo'lv 中效过滤
'zhu'she'yong'shui 注射用水
'zi'jian 自检
