'a'lu'ka'duo 阿鲁卡多
'qian'cheng'de'nv'xiu'shi 虔诚的女修士
'qian'fu'zhe 潜伏者
'qiang'wei'de'meng'ji 蔷薇的猛击
'qiang'yu'de'mo'shou 强欲的魔兽
'qiu'hun'zhi'po 求魂之魄
'ren'ma'chi'hou 人马斥候
'ren'xing'de'gong'zhu 任性的公主
'ren'zhe'xue'tu 忍者学徒
'rui'zhi'de'jiao'hui 睿智的教诲
'rui'zhi'de'shu'shi 睿智的术士
'sa'dan 撒旦
'sen'lin'de'yi'zhi 森林的意志
'sen'lin'sheng'yu 森林圣域
'sen'lin'zhi'nu 森林之怒
'sen'zhi'ju'ren 森之巨人
'sha'bao'long 沙暴龙
'sha'mo'qi'shi 沙漠骑士
'shan'guang'mo'dan'yi'long 闪光魔弹翼龙
'shen'dun'wei'shi 神盾卫士
'shen'jing'bai'zhan'de'chang'qiang'bing 身经百战的长枪兵
'shen'long 神龙
'shen'mi'de'li'wu 神秘的礼物
'shen'niao'zhi'di 神鸟之笛
'shen'qi'de'jing'ling'fa'shi 神奇的精灵法师
'shen'sheng'guang'ming'long 神圣光明龙
'shen'sheng'lie'ying 神圣猎鹰
'shen'sheng'qi'yuan 神圣祈愿
'shen'sheng'zhan'jia 神圣战甲
'shen'yu'de'gui'zu 神谕的贵族
'shen'yu'shou'hu'zhe 神域守护者
'shen'yuan'zhi'wang 深渊之王
'shen'yuan'zhi'wang'de'pu'cong 深渊之王的仆从
'sheng'bai'long 圣白龙
'sheng'dian'nv'qi'shi 圣殿女骑士
'sheng'dun'tian'shi 圣盾天使
'sheng'guang'fa'shi 圣光法师
'sheng'hu'de'nv'xiu'shi 圣护的女修士
'sheng'shi'zi'zhi'ya 圣狮子之牙
'sheng'zhi'guang'leng'mu'shi 圣之光棱牧师
'shi'hun'mo 噬魂魔
'shi'tian'sheng'long 噬天圣龙
'shi'yan'kai'shi 实验开始
'shou'hu'qi'shi 守护骑士
'shou'hu'xian'hu 守护仙狐
'shou'hu'zhe'ju'xiang 守护者巨像
'shou'hu'zhe'lian'cheng'shu 守护者炼成术
'shou'hu'zhi'li 守护之力
'shuang'bi'zhao'huan'shu 双壁召唤术
'ta'mu'lin 塔姆林
'tei'mi'si'de'shen'pan 忒弥斯的审判
'ti'tai'ni'ya'de'yao'jing'xiang 提泰妮娅的妖精乡
'tian'jie'de'yue'qu 天界的乐曲
'tian'long'zhi'nv 天龙之女
'tian'shi'de'jian'yu 天使的箭雨
'tian'shi'de'sheng'jian 天使的圣箭
'tian'yi'tun'shi'zhe 天翼吞噬者
'tie'bi'yao'sai 铁壁要塞
'tie'mian'zhi'xing'zhe 铁面执行者
'tie'wei'zhan'jiang 铁卫战将
'tu'er'zhi'yu'shi 兔耳治愈师
'tu'ling'huan'ling'shi 兔灵唤灵师
'tu'zhi'mo'pian 土之魔片
'wan'fu'mo'di'de'ju'ren 万夫莫敌的巨人
'wang'ming'jie'jing 亡命捷径
'wang'pai'long'qi'shi 王牌龙骑士
'wang'zhe'de'sheng'yan 亡者的盛宴
'wei'jing'zhan'shi 维京战士
'wu'er'de 乌尔德
'wu'ju'de'xian'feng 无惧的先锋
'wu'wang 巫王
'wu'yao'nv'shi 巫妖女士
'wu'ye'de'an'ye'juan'shu 午夜的暗夜眷属
'wu'ye'yao'jing 舞夜妖精
'xi'yi'ren 蜥蜴人
'xia'de'ren'yi 侠的仁义
'xia'luo'te 夏洛特
'xian'xue'hua'yuan 鲜血花园
'xiao'e'mo 小恶魔
'xiao'mei 小梅
'xiao'mu'nai'yi 小木乃伊
'xiao'wu 小巫
'xie'yi'shuang'tou'long 邪翼双头龙
'xing'hong'mo'lang 猩红魔狼
'xiu'nv'wei'shi 修女卫士
'xuan'feng'qi'shu'shi 旋风奇术师
'ya'dian'na 雅典娜
'ya'er'li'tan'de'hao'ling 亚尔丽坦的号令
'yao'jing'de'e'zuo'ju 妖精的恶作剧
'yao'jing'de'hu'peng'yin'ban 妖精的呼朋引伴
'yao'jing'de'le'yuan 妖精的乐园
'yao'jing'gong'zhu 妖精公主
'yao'jing'gui'zu 妖精贵族
'yao'jing'mo'fa'shi 妖精魔法师
'yao'jing'shou'hu'sheng'shou 妖精守护圣兽
'yao'jing'wu'dao'jia 妖精舞蹈家
'yao'jing'yin'lu'ren 妖精引路人
'yao'jing'yong'zhe 妖精勇者
'yao'yan'de'an'ye'juan'shu 妖艳的暗夜眷属
'ye'man'de'e'mo 野蛮的恶魔
'yi'duan'shen'pan 异端审判
'yi'ji 乙姬
'yi'ji'jin'wei'dui 乙姬近卫队
'yin'bai'you'long 银白幼龙
'yin'yi'dao'gao 银翼祷告
'ying'mo 影魔
'ying'ye'fu'ji'zhe 影夜伏击者
'yong'meng'de'qi'shi 勇猛的骑士
'you'hun'shi'zhe 幽魂使者
'yu'mo 雨魔
'yuan'gu'jing'ling 远古精灵
'yuan'gu'lian'jin'shu'shi 远古炼金术师
'yuan'gu'sen'lin'ju'long 远古森林巨龙
'yuan'gu'shu'jing 远古树精
'yuan'nian'de'mo'nv 怨念的魔女
'yuan'su'zhi'mao 元素之矛
'zhan'chang'zui'qian'xian 战场最前线
'zhan'di'tie'qi'bing 战地铁骑兵
'zhan'hun'qi'shi 战魂骑士
'zhan'xin'de'ming'yun 崭新的命运
'zhao'ze'yao'ling 沼泽妖灵
'zhen'de 贞德
'zheng'bing 征兵
'zhi'bao'zhang'de'si'ling'guan 执宝杖的司令官
'zhi'ming'wu'long 致命雾龙
'zhi'yu'dao'gao 治愈祷告
'zhi'yu'tian'shi 治愈天使
'zhong'ji'fa'shu 中级法术
'zhong'yan'zhu'fu 终焉祝福
'zhuan'hua'de'mo'fa 转化的魔法
'zhuang'li'da'shen'sun 壮丽大神隼
'zui'e'xin'shi 罪恶信使
