'a'di'xia'hong'guang'xing'pai 阿底峡弘广行派
'chao'yue'chan'jie'cheng'ta'sheng 超越忏界称他胜
'chen'hen'shan'you'zhu'zun'fo 嗔恨善友主尊佛
'chen'huai'hen'ji'wu'deng'san 嗔怀恨嫉侮等三
'cheng'jiu'shi'qian'ling'ting'sheng'mi'fa 成就师前聆听胜密法
'cheng'li'sheng'wen'yu'yuan'jue 成立声闻与缘觉
'cheng'nei'san'xu'jiu'cheng'she 称内三续九乘摄
'cheng'nuo'jing'qin'shou'shi'yan 承诺精勤守誓言
'cheng'ren'ben'shi'xu'ba'nan 承认本师许八难
'cheng'shu'nv'ren'zhi'mi'chu 成熟女人之密处
'cheng'shuo'shan'lai'qu'ru'ci'shan'dao 称说善来趋入此善道
'cheng'wei'chi'jie'zhe 称为持戒者
'cheng'wei'fa'xiang'yin'san'cheng 称为法相因三乘
'cheng'wei'shi'shi'zhi'liu'yin 称为失誓之六因
'cheng'wei'ta'sheng'xiao'zhong'fei 称为他胜小中非
'cheng'xiang'ma'yu'jiao'che'zhe 乘象马与轿车者
'cheng'xin'cheng'yi'zuo'chan'hui 诚心诚意作忏悔
'cheng'xin'hou'hui'yan'huan'li 诚心后悔厌患力
'cheng'xin'she'ci'di'si'tiao 诚心舍慈第四条
'cheng'xin'xiang'fa'liao'ruo'chen'xing'gu 诚心向法寥若晨星故
'cheng'xu'qi'wei'you'se'fa 承许其为有色法
'cheng'xu'wei'jie'zhi'suo'yi 承许为戒之所依
'cheng'yue'shi'zui'ru'seng'can 称越时罪如僧残
'cheng'zhi'shu'liang'wu'bian'ji 乘之数量无边际
'chi'bing'qi'jian'gong'jian'zhe 持兵器剑弓箭者
'chi'dui'yi'liao'zhi'yi'yue 持对衣料置一月
'chi'jie'shan'zhi'shi'mian'qian 持戒善知识面前
'chi'jie'zhe'bing'shi 持戒者禀师
'chi'jie'zhe'bu'shou 持戒者不受
'chi'jie'zhe'dao'xin 持戒者盗心
'chi'jie'zhe'duan'sha 持戒者断杀
'chi'jie'zhe'mo'wei 持戒者莫为
'chi'jie'zhe'mo'xi 持戒者莫系
'chi'jie'zhe'qi'ta 持戒者其他
'chi'jie'zhe'zhi'shi 持戒者知时
'chi'you'shuang'bo'wu'gong'qian 持有双钵无工钱
'chi'yu'fa'yi'chi'shuang'bo 持余法衣持双钵
'chu'bao'bing'qi'yu'yue'qi 触宝兵器与乐器
'chu'bao'chu'huo'li'fa'yi 触宝触火离法衣
'chu'bao'na'zhi'yu'mai'mai 触宝纳质与买卖
'chu'chu'jia'xiang'yu'yi'gui 除出家相与仪轨
'chu'de'sheng'gong'de 除得胜功德
'chu'gen'chan'hui'wu'bu'jing 除根忏悔无不净
'chu'jin'xing'jie'shi'lun'yun 初禁行戒时轮云
'chu'ling'chu'huo'yu'hui'yu 触令触火与悔欲
'chu'san'chu'guan'san'jin'gang 初三处观三金刚
'chu'shuo'wei'de'de'jie'fa 初说未得得戒法
'chu'wei'de'jie'de'shou'fa 初未得戒得受法
'chu'xue'shi'chang'ku'bi'zhe 初学失常苦逼者
'chu'xue'yu'jia'cheng'jiu'zhe 初学瑜伽成就者
'chu'yi'bu'shi'she'suo'hua 初以布施摄所化
'chuan'lv'wei'zhu'si'di'fa 传律为主四谛法
'chun'jing'jin'ji'jin 纯净金即金
'ci'ba'fen'zhi'fei'zhong'shen 此八分支非终身
'ci'ba'you'sheng'zhi'nian'hu 此八有生之年护
'ci'bei'zhu'zun'yi'qie'shang'shi'zhi 慈悲主尊一切上师知
'ci'chu'wu'zhu'e'ren'zhi'sao'rao 此处无诸恶人之骚扰
'ci'deng'cu'duo'you'duo'zhong 此等粗堕有多种
'ci'deng'dan'duo'dang'she'qi 此等单堕当舍弃
'ci'deng'ge'zi'bu'gong'tong 此等各自不共同
'ci'deng'ji'ba'shou'shi'ju 此等即八受食聚
'ci'deng'ming'zhi'gu'fan'zui 此等明知故犯罪
'ci'di'ci'yu'ju'xiang'tu 次第赐予具相徒
'ci'di'er'xia'cu'dan'duo 次第而下粗单堕
'ci'di'huo'de'ru'long'meng 次第获得如龙猛
'ci'jiang'zhong'gen'zhi'fang'shi 此讲中根之方式
'ci'nai'bao'deng'jing'zhong'yun 此乃宝灯经中云
'ci'nai'fo'suo'shuo 此乃佛所说
'ci'nai'long'meng'zhi'guan'dian 此乃龙猛之观点
'ci'nai'mi'zong'zhi'guan'dian 此乃密宗之观点
'ci'nai'wu'zhong'ying'qu'shi 此乃五种应取誓
'ci'shi'fo'suo'shuo 此是佛所说
'ci'wai'qu'she'tong'bi'qiu 此外取舍同比丘
'ci'wai'ta'sun'hai 此外他损害
'ci'wai'zhu'wang'yu 此外诸妄语
'ci'wei'gen'ben'zhi'liu'jie 此为根本之六戒
'ci'xia'jun'yu'bi'qiu'ni 此下均于比丘尼
'ci'yi'da'yuan'man'zi'zong 此依大圆满自宗
'ci'yi'wu'shi'wan'xu'bu 此以五十万续部
'ci'yu'san'jie'shan'shuo'gan'lu'shui 赐予三戒善说甘露水
'ci'zi'xing'da'yuan'man'zhi'fen'jue'ding'san'jie'lun 此自性大圆满支分决定三戒论
'cu'duo'yu'da'yuan'man'gui 粗堕与大圆满轨
'cun'xin'di'hui'san'en'shi 存心诋毁三恩师
'cuo'he'nan'nv'xiang'hu'yu 撮合男女相互遇
'da'bei'duan'chu'yi'qie'zhang 大悲断除一切障
'da'bei'fo'zi'qi'neng'bu'she'bi 大悲佛子岂能不舍彼
'da'cheng'fa'qi'zhi'xin'tu 大乘法器之信徒
'da'cheng'suo'hua'yu'bi'tong 大乘所化与彼同
'da'fei'suo'wen'yang'wei'wen 答非所问佯未闻
'da'he'qian'shou'deng 打呵欠手等
'da'li'wu'sheng'wen'bi'yao 大利无生稳必要
'da'shou'yin'shuo'yi'nv'ren 大手印说依女人
'da'xiang'miao'li'xu'zhong'shuo 大象妙力续中说
'da'xiao'shi'tuan'xiang'wei'shi 大小食团相违食
'da'xiao'shui'sheng'zhong 大小水生众
'da'xiao'xiang'jing'ren'xue'rou 大小香精人血肉
'da'yuan'man'zhi'zhi'zong'xiang 大圆满智之总相
'dai'mao'guan'man'chan'tou'zhe 戴帽冠鬘缠头者
'dan'duo'yi'bai'ba'shi'tiao 单堕一百八十条
'dan'hei'yang'mao'san'you'xun 担黑羊毛三由旬
'dan'yuan'he'shi'neng'zhu'ci'jing'chu 但愿何时能住此静处
'dang'bei'dian'shui'tu 当备垫水土
'dang'duan'qi'seng'cai 当断其僧财
'dang'duan'zhong'zhong'san'luan'cai'shu'fu 当断种种散乱财束缚
'dang'hang'ci'deng'jin'zhe'zhi 当行此等近遮止
'dang'hu'ru'zi'shen 当护如自身
'dang'hu'zhu'yan'yu 当护诸言语
'dang'ren'yuan'hai'ku'shen'fa 当忍怨害苦深法
'dang'yi'jian'xin'cheng'xin'zuo'qi'dao 当以坚信诚心作祈祷
'dang'yu'ta'lun'er'le'zhi 当于他论而了知
'dao'ji'ji'shi'ta'ren'cai 盗基即是他人财
'dao'qu'wu'ma'xia 盗取五玛夏
'dao'wu'jing'gen'guo 盗芜菁根果
'de'di'yan'chi'ru'mu'hu 得地延迟如目护
'de'guan'ding'dun'sheng'san'jie 得灌顶顿生三戒
'de'jie'jie'xian'san'song'mo 得戒界限三诵末
'de'jie'jie'xian'ze'cheng'xu 得戒界限则承许
'de'ping'mi'guan'xing'shi'jing 得瓶密灌行事净
'de'ren'tian'le'fei'jie'tuo 得人天乐非解脱
'de'sha'mi'shang'zheng'xue'nv 得沙弥上正学女
'di'er'pin'bie'jie'tuo'jie 第二品别解脱戒
'di'hui'xun'dao'ru'wai'dao 诋毁寻道入外道
'di'jin'yue'huo'deng'nian'er 地金月火等廿二
'di'san'pin'pu'sa'jie 第三品菩萨戒
'di'si'pin'mi'cheng'jie 第四品密乘戒
'di'wu'pin'san'jie'yuan'rong 第五品三戒圆融
'di'yi'lue'duo'san'bao'cai 第一掠夺三宝财
'di'yi'pin'zong'shuo 第一品总说
'di'zi'cheng'nuo'xue'chu'deng 弟子承诺学处等
'ding'gu'zi'ti'bu'hun'za 定故自体不混杂
'ding'li'bian'zhi'fo'tuo 顶礼遍知佛陀
'ding'li'suo'qu'zhi'fang'fo 顶礼所去之方佛
'ding'si'zhi'yu'yan 定死之语言
'du'shi'da'chen'wu'ding'zui 都市大臣五定罪
'du'xing'you'yong'chu'nan'shen 独行游泳触男身
'du'zhuan'yi'gui'man'yu'xin 杜撰仪轨满愚心
'du'zi'an'zhu'wu'ren'ji'jing'chu 独自安住无人寂静处
'duan'chu'jiao'ao'zhi 断除骄傲支
'duan'chu'san'men'zui'zhi'xin 断除三门罪之心
'duan'chu'sha'dao'yin'wang'jiu 断除杀盗淫妄酒
'duan'chu'yi'qie'hai'ta'shi 断除一切害他事
'duan'chu'zhuan'bian'yu'dao'yong 断除转变与道用
'duan'ci'sha'mi'zhi'xue'chu 断此沙弥之学处
'duan'ci'yong'bo'shi'si'ju 断此用钵十四聚
'duan'ci'zuo'zi'zhi'jiu'ju 断此坐姿之九聚
'duan'jin'sha'dao'yin'wang'jiu 断尽杀盗淫妄酒
'dui'jing'yi'le'xing'jiu'jing 对境意乐行究竟
'dui'ying'liu'du'fen'liu'lei 对应六度分六类
'dui'zhi'fen'bie'zhi'zhuo'sheng'yuan'dao 对治分别执著生圆道
'dun'xing'ju'zhong'yi'zhi'xing 蹲行举踵以趾行
'duo'sheng'lei'shi'chen'ni'bu'jing'ni 多生累世沉溺不净泥
'duo'shu'bu'cheng'fan'er'dong'e'si 多数不成反而冻饿死
'e'gui'huo'tian'ren 饿鬼或天人
'e'lie'you'qing'qu'ru'ci'lie'dao 恶劣有情趋入此劣道
'e'xin'mian'hua'zhan'ran'chuang 恶心棉花沾染床
'e'ye'yi'ji'da'zhong'zhong 恶业以及大众中
'e'zuo'yi'bai'yi'shi'er 恶作一百一十二
'e'zuo'zui'xiang'jie'dang'zhi 恶作罪像皆当知
'en'de'sheng'fo'ju'xiang'shang'shi'zun 恩德胜佛具相上师尊
'er'guan'cha'xu'shuo'xia'gen 二观察续说下根
'er'gui'xue'chu'wu'bu'she 二轨学处无不摄
'er'hou'ru'shi'ti 尔后如尸体
'er'hou'shi'jia'xi'ri'hong 尔后释迦西日弘
'er'nian'san'yue'er'shi'wu'ri 二年三月二十五日
'er'shen'sui'wei'jie'chu'fan'yin'jie 二身虽未接触犯淫戒
'er'shi'liu'zhong'shuo'fa'ju 二十六种说法聚
'er'zi'sheng'yi'shi'su'er 二资胜义世俗二
'fa'men'sui'duo'bu'guang'shuo 法门虽多不广说
'fa'yuan'sheng'sheng'shi'shi'shou'jing'jie 发愿生生世世守净戒
'fan'ci'si'he'bi'qiu'bai 犯此四何比丘败
'fan'fu'nei'guan'shen'cha'ji'zhong'yao 反复内观审察极重要
'fan'fu'tu'ru'yan'zhong'zhen'tong'ku 反复涂入眼中真痛苦
'fan'nao'su'mie'jin 烦恼速灭尽
'fan'ta'sheng'zui'zhong'shou'jie 犯他胜罪重受戒
'fan'tian'di'shi'wei'gong'yi'ding'dai 梵天帝释为供亦顶戴
'fan'xing'ju'shi'duan'fei'fan 梵行居士断非梵
'fan'xing'zhu'dao'you 梵行诸道友
'fan'yi'jiao'zheng'er'jue'ze 翻译校正而抉择
'fan'yin'zan'tan'you'shou'zhi'qi'ding 梵音赞叹右手置其顶
'fan'zui'si'men'wu'zhu'xu 犯罪四门无著许
'fan'zui'tang'ruo'wei'chan'hui 犯罪倘若未忏悔
'fang'yi'da'xiao'deng 放逸大笑等
'fang'yi'er'xing'huo'duo'si 放逸而行惑多四
'fang'yi'shi'jie'lv 放逸失戒律
'fang'yi'tan'xin'lei'shi'zhi'e'xi 放逸贪心累世之恶习
'fei'bang'sheng'zhe'chan'kuang'xing 诽谤圣者谄诳行
'fei'qi'wei'zuo'yi'gui'zhe 非器未作仪轨者
'fei'shi'shi'yu'shi'xu'shi 非时食与食蓄食
'fei'shi'xiang'ying'shi 非时想应时
'fei'shu'sui'yi'zuo'mu'yu 非暑随意作沐浴
'fei'wei'zuo'yi'sheng'dao'zhi'zheng'hang 非为作意圣道之正行
'fei'zai'jia'yi'fei'chu'jia 非在家亦非出家
'fen'cheng'wei'shi'yue'hui'shi 分称违失越毁誓
'fen'kai'qin'mi'you 分开亲密友
'fen'lei'ba'guan'zhai'jie'zhe 分类八关斋戒者
'fen'lei'long'meng'wu'zhu'er 分类龙猛无著二
'fo'fa'zuo'zheng'sui'shuo'shan'miao'fa 佛法作证虽说善妙法
'fo'shuo'ben'wei'kai'yu'zhe 佛说本未开与遮
'fo'shuo'ci'de'jiao'qian'geng'shu'sheng 佛说此德较前更殊胜
'fo'shuo'ci'nai'fo'tuo'yu'fo'fa 佛说此乃佛陀与佛法
'fo'shuo'wei'fei'shi 佛说为非时
'fo'ta'gong'cheng'wu'sha'zui 佛塔共称五杀罪
'fo'xiang'qian'ke'er'pai'tong 佛像前可二派同
'fou'ze'cheng'e'zuo 否则成恶作
'fou'ze'wai'xiang'sui'zhuang'shou'chi'jie 否则外相虽装守持戒
'fu'cang'cu'zhong'zhi'zui'ye 覆藏粗重之罪业
'fu'jia'wang'shi'nian'bu'ming 复加忘失念不明
'fu'jian'bao'xiang'dai'ding'ji 拊肩抱项戴顶髻
'fu'ju'yi'ji'fu'chuang'yi 敷具以及覆疮衣
'fu'shou'jie'lv'seng'can'deng 复受戒律僧残等
'fu'ta'sheng'jin'bu'hui'fu 覆他胜今不恢复
'fu'tian'qian'chan'zhi'zhou'yin 福田前忏之咒印
'fu'tou'shou'chao'pi'dan'zhe 覆头手抄披单者
'ga'xia'ba'huo'bi 嘎夏巴货币
'gan'shou'an'le'zhe 感受安乐者
'gan'shou'nan'ren'ku'shi'you'he'fa 感受难忍苦时有何法
'gan'shou'nong'lie'chou'qi'suo'bi'po 感受浓烈臭气所逼迫
'gao'chuang'ge'man'guo'wu'shi 高床歌鬘过午食
'ge'fen'jiu'lei'er'shi'qi 各分九类二十七
'ge'wu'deng'biao'yan 歌舞等表演
'ge'wu'yu'yue'qi 歌舞与乐器
'ge'zhong'bing'qi'kan'ge'zhen'tong'ku 各种兵器砍割真痛苦
'ge'zi'dao'fang'jie'yuan'man 各自道方皆圆满
'gen'ben'shi'shi'shen'yu'yi 根本誓师身语意
'gen'ben'zhi'fen'shi'yan'zhong 根本支分誓言中
'gen'hua'ji'guo'shi 根花及果实
'gong'cheng'qian'yi'pai'jiao'cang 共称前译派教藏
'gong'cheng'shi'san'seng'can'zhe 共称十三僧残者
'gong'de'ji'chu'bie'jie'tuo 功德基础别解脱
'gong'de'shi'jia'guang'hong'yang 功德释迦光弘扬
'gong'de'wei'bing'guo'wang'cheng 功德为病国王惩
'gong'jing'er'he'zhang 恭敬而合掌
'gong'jing'shuo'jing'yu 恭敬说敬语
'gong'jing'wen'an'deng 恭敬问安等
'gong'shi'shi'zi'song'mi'zhou 供施食子诵密咒
'gong'shi'ye'ci'ye'bu'shi 供食业次业部誓
'gong'you'san'bai'liu'shi'si 共有三百六十四
'gu'cheng'ben'ti'zhuan'yi'ye 故称本体转依也
'gu'dang'yi'fo'yan 故当忆佛言
'gu'dang'zai'san'si'wei'lai'shi'ye 故当再三思维来世业
'gu'fo'shuo'wei'si'ta'sheng 故佛说为四他胜
'gu'wei'zhu'de'zhi'gen'ben 故为诸德之根本
'gu'wo'huan'xi'du'zi'ju'jing'chu 故我欢喜独自居静处
'gu'yi'wei'cuo'miu 故意未错谬
'guan'cha'ke'qu'shou 观察可取受
'guan'dai'qing'zhong'ci'di'jing 观待轻重次第净
'guan'dai'wu'dao'wu'fa'xin 观待五道五发心
'guan'dai'zong'bie'zhi'hui'mu 观待总别智慧母
'guan'ding'kai'guang'shi'ye'deng 灌顶开光事业等
'guan'ding'shi'yan'wei'cheng'shu 灌顶誓言未成熟
'guan'xiu'jin'gang'sa'duo'shi 观修金刚萨埵师
'guang'da'xing'pai'wu'lun'bi 广大行派无伦比
'guang'hong'wu'shang'da'yuan'man'fa'zhi'yin 广弘无上大圆满法之因
'guang'wen'ju'jie'da'shi'ru'bao'zang 广闻具戒大士如宝藏
'gui'na'qu'she'hei'bai'fa 归纳取舍黑白法
'gui'na'ru'ruo'zhi'zi'shen 归纳如若知自身
'gui'na'ze'xu'si'jie'ti 归纳则许四戒体
'gui'yi'fa'xin'chan'zui'deng 皈依发心忏罪等
'gui'zhong'bao'wu'zuo'zhen'tong 贵重宝物做针筒
'guo'bao'xian'hou'shan'yin'de'zeng'zhang 果报现后善因得增长
'guo'wang'bu'yun'deng'zhu'zhang 国王不允等住障
'guo'wu'jin'can'qu'jin'yin 过午进餐取金银
'guo'ye'ze'yi'she'zhai'jie 过夜则已舍斋戒
'han'chu'hei'yang'mao'ju'pu 罕处黑羊毛具铺
'he'deng'yao'shi'bu'xun'ta 何等要事不寻他
'he'he'qi'zhi'sheng'xi'di 和合七支胜悉地
'he'kuang'qiang'lie'tan'chen'zhi'lie'jing 何况强烈贪嗔之劣境
'he'shi'ju'yu'yue'yi'ji'jing'chu 何时居于悦意寂静处
'he'shi'neng'sheng'wu'wei'chu'li'xin 何时能生无伪出离心
'he'shi'tong'da'shi'xiang'da'jing'deng 何时通达实相大净等
'he'shi'yi'bu'shi 何时亦不食
'he'shi'zi'ju'shi'yan'wu 合适资具誓言物
'he'zhe'bu'cha'li'fei'li 何者不察理非理
'hei'bai'yin'guo'nai'wei'wu'qi'li 黑白因果乃为无欺理
'heng'shi'bu'ju'jing'jie'zhi'qing'nian 恒时不具净戒之青年
'heng'shou'mao'gu'song'ran'di'yu'ku 恒受毛骨悚然地狱苦
'heng'yi'gong'jing'qing'jing'zhi'xin'xin 恒以恭敬清净之信心
'heng'yi'zhi'nian'bu'fang'yi 恒依知念不放逸
'hou'ru'tan'cheng'shou'si'guan 后入坛城受四灌
'hou'shi'zhuan'sheng'jin'gang'yu 后世转生金刚狱
'hou'yu'mi'ji'deng'zhong'shuo 后于米积等重说
'hu'hu'shi'yu'pu'pu'shi 呼呼食与瀑瀑食
'hu'zhu'fo'yu'fa 怙主佛与法
'hua'man'yu'tou'shi 花鬘与头饰
'hua'yuan'er'shi'ci'si'lei 化缘而食此四类
'hua'yuan'mei'wei'jia'yao'shi 化缘美味佳肴食
'hua'zhuang'bu'ying'dang 画妆不应当
'huan'jia'she'shan'yu'li'ta 擐甲摄善与利他
'huan'zhe'wu'zui'ye 患者无罪业
'huang'men'liang'xing'wu'huang'men 黄门两性五黄门
'hui'shi'yi'zi'ming'hui'fu 毁誓以自命恢复
'huo'de'chi'ming'mi'jie'hou 获得持明密戒后
'huo'de'gong'tong'ba'cheng'jiu 获得共同八成就
'huo'de'sheng'gong'de 获得胜功德
'huo'de'sheng'guo'ru'nan'tuo 获得圣果如难陀
'huo'de'sheng'pu'ti 获得胜菩提
'huo'de'yi'chuan'zheng'wu'nai'te'fa 获得意传证悟乃特法
'huo'de'zhi'hui'ju'guan'ding 获得智慧句灌顶
'huo'deng'qi'huo'zhi'dui'jing 或等起惑知对境
'huo'guan'ding'cheng'mi'cheng'jie 获灌顶成密乘戒
'huo'li'kai'xu'yu'fen'fu 获力开许与吩咐
'huo'neng'cheng'shu'zhi'guan'ding 获能成熟之灌顶
'huo'qi'guan'ding'zao'mei'zun 获七灌顶造每尊
'huo'si'fen'zhi'yi 或四分之一
'huo'yi'ying'jia'mai 或以应价买
'ji'bu'pan'guo'yi'ren'shu 即不攀过一人树
'ji'er'shi'wu'jin'xing'jie 即二十五禁行戒
'ji'li'xi'shui'nv'tong'su 击枥戏水女同宿
'ji'neng'cui'hui'shi'jian'zhu'da'shan 即能摧毁世间诸大山
'ji'neng'jie'tuo'shu'sheng'dao 及能解脱殊胜道
'ji'ri'nian'fo'bai'zi'ming 吉日念佛百字明
'ji'sheng'lin'zhong'zhong'yin'jie 即生临终中阴界
'ji'shi'ba'zhong'bie'jie'tuo 即是八种别解脱
'ji'shi'fo'di'fa'xin'si 即是佛地发心四
'ji'shi'gong'tong'zhi'xue'chu 即是共同之学处
'ji'shi'ju'shi'zhi'jie'lv 即是居士之戒律
'ji'shi'san'zhong'pu'sa'jie 即是三种菩萨戒
'ji'shi'sui'shun'zhi'liu'fa 即是随顺之六法
'ji'shi'wu'zhong'bu'she'shi 即是五种不舍誓
'ji'shi'ye'bu'wu'ying'xiu 及事业部五应修
'ji'si'hei'fa'dang'duan'chu 即四黑法当断除
'ji'suo'yi'li'xing'si'li 即所依力行四力
'ji'tian'hong'yang'shen'jian'pai 寂天弘扬深见派
'ji'wei'yan'jin'e'xing'jie 即谓严禁恶行戒
'ji'wu'gai'jie'yuan'ci'di 及无改戒圆次第
'ji'xiang'jie'xu'you'ming'shuo 吉祥戒续有明说
'ji'xing'ci'san'zhi'jing'jin 即行此三之精进
'ji'xue'fei'fa'wu'jin'zui 及学非法五近罪
'ji'zhen'bao'bu'zhi'shi'yan 即珍宝部之誓言
'ji'zheng'fa'mie'yi'she'jie 及正法灭亦舍戒
'ji'zhi'kan'neng'nan'gen'ru 基支堪能男根入
'jia'chi'zi'xu'wai'bu'jing 加持自续外不净
'jia'hang'fan'e'zuo 加行犯恶作
'jia'hang'sha'shi'zhong'wei'tui 加行杀始终未退
'jia'hang'shen'tong'deng'gong'de 加行神通等功德
'jia'hang'zhi'shi'hu'mo'ca 加行之时互摩擦
'jia'hang'zhi'shi'xing'dao'qu 加行之时行盗取
'jia'ye'deng'zun'zuo'jie'ji 迦叶等尊作结集
'jia'zhi'ruo'zu'liang 价值若足量
'jian'ci'san'you'liu'cheng'jie'tong'ku 见此三有六城皆痛苦
'jian'ding'shi'yan'bu'wei'wai'yuan'hai 坚定誓言不为外缘害
'jian'yao'er'xuan'shuo 简要而宣说
'jian'zao'fo'ta'zuo'huo'shi 建造佛塔作火施
'jiang'cheng'tian'nv'wei'rao'zhi'tian'zi 将成天女围绕之天子
'jiang'huang'hong'hua'deng 姜黄红花等
'jiao'ban'ju'de'er'zi'zhi'da'hai 搅拌具德二资之大海
'jiao'zheng'ming'xian'er'cheng'li 教证明显而成立
'jie'chu'yi'er'san'wu'shang 戒除一二三五上
'jie'dao'mi'zong'ru'men'ji'guan'ding 捷道密宗入门即灌顶
'jie'he'ying'shi'zhi'xing'wei 结合应时之行为
'jie'jing'mi'zong'shan'qiao'xi'you'dao 捷径密宗善巧稀有道
