'ai'bing 癌病
'ding'ning'xian'liu 耵聍腺瘤
'duo'fa'xing'gu'sui'liu 多发性骨髓瘤
'duo'fa'xing'nei'fen'mi'xing'xian'liu 多发性内分泌性腺瘤
'duo'fa'xing'shen'jing'xian'wei'liu 多发性神经纤维瘤
'duo'fa'xing'xian'liu'yang'xi'rou 多发性腺瘤样息肉
'duo'fa'xing'xian'liu'yang'xi'rou'nei'de'xian'ai 多发性腺瘤样息肉内的腺癌
'duo'fang'nang'zhong 多房囊肿
'duo'jiao'xi'bao'ai 多角细胞癌
'duo'mao'xi'bao'xing'bai'xue'bing 多毛细胞性白血病
'duo'pei'liu 多胚瘤
'duo'xing'xi'bao'xing'zhi'fang'rou'liu 多形细胞性脂肪肉瘤
'duo'xing'xing'ai 多形性癌
'duo'xing'xing'heng'wen'ji'rou'liu 多形型横纹肌肉瘤
'duo'xing'xing'huang'se'xing'xing'xi'bao'liu 多形性黄色星形细胞瘤
'duo'xing'xing'xian'liu 多形性腺瘤
'duo'xing'xing'xian'liu'nei'de'ai 多形性腺瘤内的癌
'duo'xing'xing'xiao'xi'bao'wai'zhou'xi'bao'lin'ba'liu 多型性小细胞外周细胞淋巴瘤
'duo'xing'xing'zhi'fang'liu 多形性脂肪瘤
'duo'xing'xing'zhong'deng'xi'bao 多型性中等细胞
'duo'zhong'xin'ji'di'xi'bao'ai 多中心基底细胞癌
'e'xing'bu'lun'na'liu 恶性布伦纳瘤
'e'xing'cheng'ruan'gu'mu'xi'bao'liu 恶性成软骨母细胞瘤
'e'xing'cheng'you'xi'bao'liu 恶性成釉细胞瘤
'e'xing'cu'jie'di'zu'zhi'zeng'sheng'xing'hei'se'su'liu 恶性促结缔组织增生性黑色素瘤
'e'xing'fei'da'xi'bao'zeng'duo'zheng 恶性肥大细胞增多症
'e'xing'gao'xue'tang'su'liu 恶性高血糖素瘤
'e'xing'gu'ju'xi'bao'liu 恶性骨巨细胞瘤
'e'xing'hei'se'su'liu 恶性黑色素瘤
'e'xing'hun'he'liu 恶性混合瘤
'e'xing'ji'tai'liu 恶性畸胎瘤
'e'xing'jian'pi'xi'bao'liu 恶性间皮细胞瘤
'e'xing'jian'ye'liu 恶性间叶瘤
'e'xing'jian'zhi'xi'bao'liu 恶性间质细胞瘤
'e'xing'jie'pang'ti'fu'shen'jing'jie'liu 恶性节旁体副神经节瘤
'e'xing'ju'xi'bao'xing'zhong'liu 恶性巨细胞型肿瘤
'e'xing'ke'li'xi'bao'liu 恶性颗粒细胞瘤
'e'xing'lai'di'xi'bao'liu 恶性莱迪细胞瘤
'e'xing'lan'zhi 恶性蓝痣
'e'xing'lei'ai'liu'chu'wai'lan'wei'de 恶性类癌瘤除外阑尾的
'e'xing'lin'ba'liu 恶性淋巴瘤
'e'xing'lin'ba'liu'xing'xi'rou'bing 恶性淋巴瘤性息肉病
'e'xing'liu'xi'bao 恶性瘤细胞
'e'xing'luan'chao'jia'zhuang'xian'zhong 恶性卵巢甲状腺肿
'e'xing'luan'pao'xi'bao'liu 恶性卵泡细胞瘤
'e'xing'mai'luo'cong'ru'tou'zhuang'liu 恶性脉络丛乳头状瘤
'e'xing'nan'xing'mu'xi'bao'liu 恶性男性母细胞瘤
'e'xing'nao'ji'mo'liu 恶性脑脊膜瘤
'e'xing'pao'mo'xi'bao'liu 恶性泡膜细胞瘤
'e'xing'pu'tao'tai 恶性葡萄胎
'e'xing'shang'pi'liu 恶性上皮瘤
'e'xing'shang'pi'xi'bao'liu 恶性上皮细胞瘤
'e'xing'shang'pi'yang'jian'pi'liu 恶性上皮样间皮瘤
'e'xing'shang'pi'yang'xue'guan'nei'pi'liu 恶性上皮样血管内皮瘤
'e'xing'shen'jing'jiao'zhi'xi'bao'liu 恶性神经胶质细胞瘤
'e'xing'shen'jing'qiao'liu 恶性神经鞘瘤
'e'xing'shen'shang'xian'wai'jie'ti'fu'shen'jing'jie'liu 恶性肾上腺外节体副神经节瘤
'e'xing'shi'ge'xi'bao'liu 恶性嗜铬细胞瘤
'e'xing'shi'yin'xing'lei'ai'liu 恶性嗜银性类癌瘤
'e'xing'suo'xing'xi'bao'xing'zhong'liu 恶性梭形细胞型肿瘤
'e'xing'te'li'tong'liu 恶性特里同瘤
'e'xing'tui'xing'xing'hei'se'su'liu 恶性退行性黑色素瘤
'e'xing'wei'mi'su'liu 恶性胃泌素瘤
'e'xing'xian'wei'jian'pi'liu 恶性纤维间皮瘤
'e'xing'xian'wei'zu'zhi'xi'bao'liu 恶性纤维组织细胞瘤
'e'xing'xiao'xi'bao'xing'zhong'liu 恶性小细胞型肿瘤
'e'xing'xiong'xian'liu 恶性胸腺瘤
'e'xing'xue'guan'nei'pi'xi'bao'liu 恶性血管内皮细胞瘤
'e'xing'xue'guan'wai'pi'xi'bao'liu 恶性血管外皮细胞瘤
'e'xing'ya'chi'yuan'xing'liu 恶性牙齿源性瘤
'e'xing'ye'zhuang'liu 恶性叶状瘤
'e'xing'ye'zhuang'nang'rou'liu 恶性叶状囊肉瘤
'e'xing'yi'dao'su'liu 恶性胰岛素瘤
'e'xing'yuan'zhu'liu 恶性圆柱瘤
'e'xing'zhi'duan'zhe'se'ban'xing'hei'liu 恶性肢端着色斑性黑瘤
'e'xing'zhong'liu 恶性肿瘤
'e'xing'zhong'shen'liu 恶性中肾瘤
'e'xing'zi'gong'nei'mo'yang'xian'xian'wei'liu 恶性子宫内膜样腺纤维瘤
'e'xing'zu'zhi'xi'bao'zeng'duo'bing 恶性组织细胞增多病
'fa'yu'bu'liang'zhi 发育不良痣
'fei'bai'xie'xing'bai'xue'bing 非白血性白血病
'fei'bai'xie'xing'dan'he'xi'bao'bai'xue'bing 非白血性单核细胞白血病
'fei'bai'xie'xing'lin'ba'yang'bai'xue'bing 非白血性淋巴样白血病
'fei'bai'xie'xing'sui'yang'li'xi'bao'xing'bai'xue'bing 非白血性髓样粒细胞性白血病
'fei'da'xi'bao'bai'xue'bing 肥大细胞白血病
'fei'da'xi'bao'liu 肥大细胞瘤
'fei'da'xi'bao'rou'liu 肥大细胞肉瘤
'fei'dian'xing'xing'xian'wei'zu'zhi'xi'bao'liu 非典型性纤维组织细胞瘤
'fei'huo'qi'jin'shi'xing'e'xing'lin'ba'liu 非霍奇金氏型恶性淋巴瘤
'fei'jiao'hua'de'da'xi'bao'lin'zhuang'xi'bao'ai 非角化的大细胞鳞状细胞癌
'fei'jiao'hua'de'xiao'xi'bao'lin'zhuang'xi'bao'ai 非角化的小细胞鳞状细胞癌
'fei'jin'run'xing'dao'fang'guan'nei'ai 非浸润性导房管内癌
'fei'jin'run'xing'dao'guan'nei'ru'tou'zhuang'xian'ai 非浸润性导管内乳头状腺癌
'fei'jin'run'xing'fen'ci'ai 非浸润性粉刺癌
'fei'jin'run'xing'nang'nei'ai 非浸润性囊内癌
'fei'pao'xi'bao'ai 肺泡细胞癌
'fei'pao'xian'ai 肺泡腺癌
'fei'pao'xian'liu 肺泡腺瘤
'fei'pei'xi'bao'liu 肺胚细胞瘤
'fei'xian'liu'bing 肺腺瘤病
'fei'xue'guan'xing'zhi 非血管性痣
'fei'zhi'fang'xing'wang'zhuang'xi'bao'zeng'duo 非脂肪性网状细胞增多
'fen'ci'ai 粉刺癌
'fu'bu'xian'wei'liu'bing 腹部纤维瘤病
'fu'he'xing'lei'ai 复合性类癌
'fu'he'xing'ya'chi'liu 复合性牙齿瘤
'fu'he'zhi 复合痣
'fu'jiao'gan'shen'jing'jie'pang'ti'fu'shen'jing'jie'liu 副交感神经节旁体副神经节瘤
'fu'se'su'bian'yi'shen'shang'xian'pi'zhi'xian'liu 富色素变异肾上腺皮质腺瘤
'fu'tang'yuan'ai 富糖原癌
'fu'zhi'zhi'ai 富脂质癌
'gai'hua'shang'pi'liu 钙化上皮瘤
'gai'hua'shang'pi'xing'ya'yuan'xing'liu 钙化上皮性牙源性瘤
'gai'hua'xing'ya'chi'yuan'xing'nang'zhong 钙化性牙齿源性囊肿
'gan'jue'shen'jing'shang'pi'liu 感觉神经上皮瘤
'gan'jue'shen'jing'xi'bao'liu 感觉神经细胞瘤
'gan'pei'mu'xi'bao'liu 肝胚母细胞瘤
'gan'xi'bao'ai 肝细胞癌
'gan'xi'bao'dan'guan'liu 肝细胞胆管瘤
'gan'xi'bao'xian'liu 肝细胞腺瘤
'gan'zhuang'rou'liu 杆状肉瘤
'gao'fen'hua'xing'lv'pao'xing'xian'ai 高分化型滤泡性腺癌
'gao'fen'hua'xing'zhi'fang'rou'liu 高分化型脂肪肉瘤
'gao'xue'tang'su'liu 高血糖素瘤
'gu'hua'xing'xian'wei'liu 骨化性纤维瘤
'gu'ju'xi'bao'liu 骨巨细胞瘤
'gu'liu 骨瘤
'gu'mo'xian'wei'liu 骨膜纤维瘤
'gu'mo'xian'wei'rou'liu 骨膜纤维肉瘤
'gu'pei'ji'te'shi'bing'nei'de'gu'rou'liu 骨佩吉特氏病内的骨肉瘤
'gu'rou'liu 骨肉瘤
'gu'ruan'gu'liu 骨软骨瘤
'gu'ruan'gu'liu'bing 骨软骨瘤病
'gu'ruan'gu'nian'ye'rou'liu 骨软骨粘液肉瘤
'gu'ruan'gu'rou'liu 骨软骨肉瘤
'gu'sui'ying'hua'ban'you'gu'sui'hua'sheng 骨髓硬化伴有骨髓化生
'gu'sui'zeng'sheng'yi'chang'zong'he'zheng 骨髓增生异常综合征
'gu'sui'zhi'fang'liu 骨髓脂肪瘤
'gu'yang'gu'liu 骨样骨瘤
'gu'yuan'xing'rou'liu 骨源性肉瘤
'guan'zhuang'rong'mao'xian'liu 管状绒毛腺瘤
'guan'zhuang'rong'mao'zhuang'xian'liu'nei'de'xian'liu 管状绒毛状腺瘤内的腺瘤
'guan'zhuang'rong'mao'zhuang'xian'liu'nei'de'yuan'wei'xian'ai 管状绒毛状腺瘤内的原位腺癌
'guan'zhuang'xian'ai 管状腺癌
'guan'zhuang'xian'liu 管状腺瘤
'ha'qi'sen'hei'su'que'ban 哈奇森黑素雀斑
'hai'mian'zhuang'cheng'shen'jing'mu'xi'bao'liu 海绵状成神经母细胞瘤
'hai'mian'zhuang'lin'ba'guan'liu 海绵状淋巴管瘤
'hai'mian'zhuang'xue'guan'liu 海绵状血管瘤
'han'guan'liu 汗管瘤
'han'xian'liu 汗腺瘤
'han'xian'nang'liu 汗腺囊瘤
'han'xian'xian'ai 汗腺腺癌
'han'xian'xian'liu 汗腺腺瘤
'he'jie'jin'shi'bing 何杰金氏病
'hei'bian'bing'de'shen'jing'xian'wei'liu 黑变病的神经纤维瘤
'hei'bian'bing'shen'jing'wai'pei'liu 黑变病神经外胚瘤
'hei'se'su'zhi 黑色素痣
'heng'wen'ji'liu 横纹肌瘤
'heng'wen'ji'rou'liu 横纹肌肉瘤
'hong'bai'xue'bing 红白血病
'hua'mo'rou'liu 滑膜肉瘤
'huan'ceng'xiao'ti'bing 环层小体病
'huang'ti'hua'pao'mo'xi'bao'liu 黄体化泡膜细胞瘤
'huang'ti'liu 黄体瘤
'hun'he'xi'bao'shen'shang'xian'pi'zhi'xian'liu 混合细胞肾上腺皮质腺瘤
'hun'he'xi'bao'xian'ai 混合细胞腺癌
'hun'he'xi'bao'xian'liu 混合细胞腺瘤
'hun'he'xi'bao'xing'huo'qi'jin'shi'bing 混合细胞型霍奇金氏病
'hun'he'xing'heng'wen'ji'rou'liu 混合型横纹肌肉瘤
'hun'he'xing'ji'di'lin'zhuang'xi'bao'ai 混合型基底鳞状细胞癌
'hun'he'xing'liu 混合性瘤
'hun'he'xing'shen'jing'jiao'zhi'xi'bao'liu 混合性神经胶质细胞瘤
'hun'he'xing'sheng'zhi'xi'bao'liu 混合性生殖细胞瘤
'hun'he'xing'shi'suan'xi'bao'shi'jian'xi'bao'ai 混合性嗜酸细胞嗜碱细胞癌
'hun'he'xing'shi'suan'xi'bao'shi'jian'xi'bao'xian'liu 混合性嗜酸细胞嗜碱细胞腺瘤
'hun'he'xing'ya'chi'liu 混合性牙齿瘤
'hun'he'xing'yi'dao'xi'bao'he'wai'fen'mi'xian'ai 混合性胰岛细胞和外分泌腺癌
'hun'he'xing'zhi'fang'rou'liu 混合性脂肪肉瘤
'huo'qi'jin'shi'bing 霍奇金氏病
'huo'qi'jin'shi'fu'rou'ya'zhong 霍奇金氏副肉芽肿
'huo'qi'jin'shi'rou'liu 霍奇金氏肉瘤
'huo'qi'jin'shi'rou'ya'zhong 霍奇金氏肉芽肿
'ji'di'lin'zhuang'xi'bao'ai 基底鳞状细胞癌
'ji'di'xi'bao'ai 基底细胞癌
'ji'di'xi'bao'liu 基底细胞瘤
'ji'di'xi'bao'xian'ai 基底细胞腺癌
'ji'di'xi'bao'xian'liu 基底细胞腺瘤
'ji'di'xi'bao'yang'ai 基底细胞样癌
'ji'fa'xing'fu'mo'jia'nian'ye'liu 继发性腹膜假粘液瘤
'ji'liu 肌瘤
'ji'nei'xue'guan'liu 肌内血管瘤
'ji'nei'zhi'fang'liu 肌内脂肪瘤
'ji'rou'liu 肌肉瘤
'ji'shang'pi'liu 肌上皮瘤
'ji'suo'liu 脊索瘤
'ji'tai'ai 畸胎癌
'ji'tai'liu 畸胎瘤
'ji'tai'liu'ban'you'e'xing'bian 畸胎瘤伴有恶性变
'ji'tai'yang'sui'shang'pi'liu 畸胎样髓上皮瘤
'ji'xi'bao'ai 棘细胞癌
'ji'xian'wei'liu'bing 肌纤维瘤病
'ji'xing'bai'xue'bing 急性白血病
'ji'xing'cheng'jiao'zhi'xi'bao'liu 极性成胶质细胞瘤
'ji'xing'dan'he'xi'bao'bai'xue'bing 急性单核细胞白血病
'ji'xing'gu'sui'xian'wei'hua 急性骨髓纤维化
'ji'xing'hong'xi'bao'zeng'duo'zheng 急性红细胞增多症
'ji'xing'li'dan'he'xi'bao'bai'xue'bing 急性粒单核细胞白血病
'ji'xing'lin'ba'xi'bao'bai'xue'bing 急性淋巴细胞白血病
'ji'xing'quan'gu'sui'zeng'zhi'zheng 急性全骨髓增殖症
'ji'xing'sui'yang'li'xi'bao'xing'bai'xue'bing 急性髓样粒细胞性白血病
'ji'xing'xi'bao'xing'rou'liu 畸形细胞性肉瘤
'ji'xing'ying'er'wang'zhuang'nei'pi'xi'bao'zeng'duo'zheng 急性婴儿网状内皮细胞增多症
'ji'xing'ying'er'wang'zhuang'nei'pi'xi'bao'zeng'zhi 急性婴儿网状内皮细胞增殖
'ji'xing'yuan'ju'he'xi'bao'bai'xue'bing 急性原巨核细胞白血病
'ji'xing'zao'you'li'xi'bao'bai'xue'bing 急性早幼粒细胞白血病
'jia'rou'liu'xing'ai 假肉瘤性癌
'jia'xian'xing'lin'zhuang'xi'bao'ai 假腺性鳞状细胞癌
'jia'zhuang'xian'zhong'xing'lei'ai 甲状腺肿性类癌
'jia'zu'xing'xi'rou'bing 家族性息肉病
'jia'zu'xing'xian'liu'bing'huo'yi'chuan'xing'xi'rou'bing 家族性腺瘤病或遗传性息肉病
'jian'bian'de'ai'jian'bian'xing'ai 间变的癌间变型癌
'jian'bian'de'jing'yuan'xi'bao'liu 间变的精原细胞瘤
'jian'bian'de'shi'guan'mo'liu 间变的室管膜瘤
'jian'bian'de'xing'xing'xi'bao'liu 间变的星形细胞瘤
'jian'bian'xing'shao'tu'shen'jing'jiao'zhi'mu'xi'bao'liu 间变型少突神经胶质母细胞瘤
'jian'ye'liu 间叶瘤
'jian'ye'xing'rou'liu 间叶性肉瘤
'jian'zhi'ruan'gu'rou'liu 间质软骨肉瘤
'jian'zhi'xi'bao'liu 间质细胞瘤
'jian'zhi'xing'zi'gong'yi'wei 间质性子宫异位
'jiang'xi'bao'bai'xue'bing 浆细胞白血病
'jiang'xi'bao'liu 浆细胞瘤
'jiang'ye'xing'biao'mian'ru'tou'zhuang'ai 浆液性表面乳头状癌
'jiang'ye'xing'biao'mian'ru'tou'zhuang'liu 浆液性表面乳头状瘤
'jiang'ye'xing'nang'xian'ai 浆液性囊腺癌
'jiang'ye'xing'nang'xian'liu 浆液性囊腺瘤
'jiang'ye'xing'xian'xian'wei'liu 浆液性腺纤维瘤
'jiao'gan'shen'jing'jie'pang'ti'fu'shen'jing'jie'liu 交感神经节旁体副神经节瘤
'jiao'hua'de'lin'zhuang'xi'bao'ai 角化的鳞状细胞癌
'jiao'jie'e'xing'bu'lun'na'liu 交界恶性布伦纳瘤
'jiao'jie'e'xing'jiang'ye'xing'nang'xian'liu 交界恶性浆液性囊腺瘤
'jiao'jie'e'xing'nian'ye'xing'nang'xian'liu 交界恶性粘液性囊腺瘤
'jiao'jie'e'xing'ru'tou'zhuang'jiang'ye'xing'nang'xian'liu 交界恶性乳头状浆液性囊腺瘤
'jiao'jie'e'xing'ru'tou'zhuang'nang'xian'liu 交界恶性乳头状囊腺瘤
'jiao'jie'e'xing'ru'tou'zhuang'nian'ye'xing'nang'xian'liu 交界恶性乳头状粘液性囊腺瘤
'jiao'jie'e'xing'zi'gong'nei'mo'yang'xian'liu 交界恶性子宫内膜样腺瘤
'jiao'jie'e'xing'zi'gong'nei'mo'yang'xian'xian'wei'liu 交界恶性子宫内膜样腺纤维瘤
'jiao'jie'zhi 交界痣
'jiao'jie'zhi'nei'e'xing'hei'se'su'liu 交界痣内恶性黑色素瘤
'jiao'yang'xian'liu 胶样腺瘤
'jiao'zhuang'jiao'yang'ai 胶状胶样癌
'jie'chang'xian'liu'yang'xi'rou'bing 结肠腺瘤样息肉病
'jie'chang'xian'liu'yang'xi'rou'bing'nei'de'xian'ai 结肠腺瘤样息肉病内的腺癌
'jie'jie'xing'hei'se'su'liu 结节性黑色素瘤
'jie'jie'ying'hua'xing'fu'xi'bao'xiang'huo'qi'jin'shi'bing 结节硬化型富细胞相霍奇金氏病
'jie'jie'ying'hua'xing'hun'he'xi'bao'xing 结节硬化型混合细胞性
'jie'jie'ying'hua'xing'huo'qi'jin'shi'bing 结节硬化型霍奇金氏病
'jie'jie'ying'hua'xing'lin'ba'xi'bao'jian'shao'xing 结节硬化型淋巴细胞减少性
'jie'mo'zhi 结膜痣
'jie'pang'ti'fu'shen'jing'jie'liu 节旁体副神经节瘤
'jin'mo'xian'wei'liu 筋膜纤维瘤
'jin'mo'xian'wei'rou'liu 筋膜纤维肉瘤
'jin'pi'zhi'gu'rou'liu 近皮质骨肉瘤
'jin'pi'zhi'ruan'gu'liu 近皮质软骨瘤
'jin'pi'zhi'ruan'gu'rou'liu 近皮质软骨肉瘤
'jin'run'xing'dao'guan'ai 浸润性导管癌
'jin'run'xing'dao'guan'he'xiao'ye'xing'ai 浸润性导管和小叶性癌
'jin'run'xing'xiao'guan'xing'ai 浸润性小管性癌
'jin'run'xing'zhi'fang'liu 浸润性脂肪瘤
'jing'dong'mai'ti'liu 颈动脉体瘤
'jing'jing'mai'xue'guan'qiu'liu 颈静脉血管球瘤
'jing'mai'xing'xue'guan'liu 静脉性血管瘤
'jing'mu'xi'bao'xing'jing'yuan'xi'bao'liu 精母细胞性精原细胞瘤
'jing'yuan'xi'bao'liu 精原细胞瘤
'ju'da'se'su'zhi'nei'de'e'xing'hei'se'su'liu 巨大色素痣内的恶性黑色素瘤
'ju'da'xian'wei'xian'liu 巨大纤维腺瘤
'ju'lv'pao'xing'xian'liu 巨滤泡性腺瘤
'ju'se'su'zhi 巨色素痣
'ju'xi'bao'ai 巨细胞癌
'ju'xi'bao'cheng'shen'jing'jiao'zhi'mu'xi'bao'liu 巨细胞成神经胶质母细胞瘤
'ju'xi'bao'he'suo'xing'xi'bao'ai 巨细胞和梭形细胞癌
'ju'xi'bao'rou'liu'chu'wai'gu'de 巨细胞肉瘤除外骨的
'ju'xi'bao'zhi 巨细胞痣
'ju'xing'ya'chi'gu'gu'zhi'liu 巨形牙齿骨骨质瘤
'ka'bo'xi'shi'rou'liu 卡波西氏肉瘤
'kai'la'shi'zeng'zhi'xing'hong'ban'gui'tou'yuan'wei'ai 凯拉氏增殖性红斑龟头原位癌
'ke'la'te'si'jin'liu 克拉特斯金瘤
'ke'li'xi'bao'ai 颗粒细胞癌
'ke'li'xi'bao'liu 颗粒细胞瘤
'ku'bo'ke'lu'ken'bo'ge'shi'bing 库勃克鲁肯伯格氏病
'ku'fou'shi'xi'bao'rou'liu 枯否氏细胞肉瘤
'kui'yang'ai'bian 溃疡癌变
'lai'di'xi'bao'liu 莱迪细胞瘤
'lai'te'er'xi'wei'shi'bing 莱特尔西维氏病
'lan'wei'de'lei'ai'liu 阑尾的类癌瘤
'lan'zhi 蓝痣
'lei'sai'shi'bing'wang'zhuang'xi'bao'zeng'duo'zheng 累塞氏病网状细胞增多症
'leng'xing'xi'bao'ai 棱形细胞癌
'lian'he'xing'gan'xi'bao'ai'he'dan'guan'ai 联合性肝细胞癌和胆管癌
'liang'xing'cheng'ya'chi'gu'zhi'mu'xi'bao'liu 良性成牙齿骨质母细胞瘤
'liang'xing'gan'xi'bao'liu 良性肝细胞瘤
'liang'xing'hei'se'su'liu 良性黑色素瘤
'liang'xing'hua'mo'liu 良性滑膜瘤
'liang'xing'huo'e'xing'wei'ken'ding'liu'xi'bao 良性或恶性未肯定瘤细胞
'liang'xing'huo'e'xing'wei'ken'ding'zhong'liu 良性或恶性未肯定肿瘤
'liang'xing'ji'tai'liu 良性畸胎瘤
'liang'xing'jian'pi'xi'bao'liu 良性间皮细胞瘤
'liang'xing'jian'ye'liu 良性间叶瘤
'liang'xing'jian'zhi'xi'bao'liu 良性间质细胞瘤
'liang'xing'lai'di'xi'bao'liu 良性莱迪细胞瘤
'liang'xing'liu'xi'bao 良性瘤细胞
'liang'xing'nan'xing'mu'xi'bao'liu 良性男性母细胞瘤
'liang'xing'pei'mu'xi'bao'liu 两性胚母细胞瘤
'liang'xing'ruan'zu'zhi'zhong'liu 良性软组织肿瘤
'liang'xing'shang'pi'liu 良性上皮瘤
'liang'xing'shang'pi'yang'jian'pi'liu 良性上皮样间皮瘤
'liang'xing'shang'pi'zhong'liu 良性上皮肿瘤
'liang'xing'xian'wei'jian'pi'liu 良性纤维间皮瘤
'liang'xing'xiong'xian'liu 良性胸腺瘤
'liang'xing'xue'guan'nei'pi'liu 良性血管内皮瘤
