'a'xiu'luo 阿修罗
'bu'ren'kai 步人铠
'bu'ren'kui 步人盔
'bu'ren'xue 步人靴
'cai'cha'ren'duan'dao 采茶人短刀
'can'bao'mi'le 残暴弥勒
'can'ren'lie'hu 残忍猎户
'can'yang'guan 残阳冠
'can'yang'hu'jian 残阳护肩
'can'yang'hu'shou 残阳护手
'can'yang'lv 残阳履
'can'yang'pao 残阳袍
'cang'liang'zhi'di 苍凉之地
'cang'mang'xue'yuan 苍茫雪原
'cao'qin'xi 曹芹溪
'cao'yu 草鱼
'chan'rao 缠绕
'chang'bing'da'shi 长柄大师
'chang'bing'jing'tong 长柄精通
'chang'hong'guan'ri 长虹贯日
'chang'jian 长剑
'chang'ling'jun 长陵君
'chang'mu'gong 长木弓
'chang'pu 菖蒲
'chang'qiang 长枪
'chao'qiang'de'chang'mu'gong 超强的长木弓
'chao'qiang'de'duan'gong 超强的短弓
'chao'qiang'de'ji'nu 超强的机弩
'chao'qiang'de'ju'li'gong 超强的巨力弓
'chao'qiang'de'lian'nu 超强的连弩
'chao'qiang'de'lie'gong 超强的猎弓
'chao'qiang'de'lie'nu 超强的猎弩
'chao'qiang'de'ming'yue'gong 超强的明月弓
'chao'qiang'de'shen'bi'gong 超强的神臂弓
'chao'qiang'de'shu'bian'nu 超强的戍边弩
'chao'qiang'de'ying'nu 超强的硬弩
'chao'qiang'de'yuan'rong'nu 超强的元戎弩
'chao'qiang'fei'ma'gong 超强飞马弓
'chao'zhong'qi'men'fu 超重奇门斧
'chen'lu 晨露
'chen'lun'bing'yuan 沉沦冰原
'chen'mo 沉默
'chen'shui'sheng'xiang 沉睡圣像
'chen'tai 陈泰
'chen'xing'guan 辰星冠
'chen'xing'hu'fu 辰星护符
'chen'xing'hu'jian 辰星护肩
'chen'xing'hu'shou 辰星护手
'chen'xing'lv 辰星履
'chen'xing'pao 辰星袍
'chen'xing'tao'zhuang 辰星套装
'chen'zhong'de'bin'tie'fu 沉重的镔铁斧
'chen'zhong'de'huang'tong'chui 沉重的荒铜锤
'chen'zhong'de'jing'tie'chui 沉重的精铁锤
'chen'zhong'de'jing'tie'zhong'jian 沉重的精铁重剑
'chen'zhong'de'long'tou'chui 沉重的龙头锤
'chen'zhong'de'luan'feng'chui 沉重的乱风锤
'cheng'jie'chui 惩戒锤
'chi'ban'hu 赤斑虎
'chi'bi 赤匕
'chi'er'hu 赤耳狐
'chi'er'hu'wang 赤耳狐王
'chi'er'ling'hu 赤耳灵狐
'chi'hua'zi'jin'ba'gua'chui 叱化紫金八卦锤
'chi'huan'zu'zhou 迟缓诅咒
'chi'you 蚩尤
'chong'ji'bo 冲击波
'chong'ji'jian 冲击箭
'chong'ji'zhi'gu'hun'dun 冲击之骨魂盾
'chong'sheng'wu'zhe 重生武者
'chuan'yang'gong 穿杨弓
'chuan'yun'hu'jian 穿云护肩
'chuan'yun'hu'shou 穿云护手
'chuan'yun'jia 穿云甲
'chuan'yun'mao 穿云帽
'chuan'yun'xue 穿云靴
'chun'yang'shi 纯阳石
'cui'mian'shu 催眠术
'cuo'rui'qi'shi 挫锐气势
'dan'shou'chui 单手锤
'dan'shou'fu 单手斧
'dan'shou'jian 单手剑
'dan'yao 弹药
'dang'gui 当归
'dao'jian'da'shi 刀剑大师
'dao'jian'jing'tong 刀剑精通
'dao'jian'ru'men 刀剑入门
'dao'shi'ren 盗尸人
'di'fu'e'gui 地府恶鬼
'di'mo 地魔
'di'tou'tai'sui 地头太岁
'di'yao'long 地妖龙
'dian'jiang'mao 点将矛
'diao'ling'liu'ye'jian 雕翎柳叶箭
'die'da'zhi'xue'san 跌打止血散
'dong'cha'si'wei 洞察思维
'dong'xun'gang 东寻港
'dou'bei'jun 都北郡
'du'bei'da'ying 督北大营
'du'bei'jun 督北郡
'du'bei'lao'cheng 督北牢城
'du'gua'fu 毒寡妇
'du'hun'shi 毒魂石
'du'long'ci 毒龙刺
'duan'bi 短匕
'duan'chui 短锤
'duan'gong 短弓
'duan'hun'hu'jian 断魂护肩
'duan'hun'hu'shou 断魂护手
'duan'hun'kai 断魂铠
'duan'hun'kui 断魂盔
'duan'hun'xue 断魂靴
'duan'jin'fu 断金斧
'duan'long'ling 断龙岭
'duan'ya'fu 断牙斧
'dun'ji 盾击
'dun'pai'da'shi 盾牌大师
'dun'pai'jing'tong 盾牌精通
'dun'qi'da'shi 钝器大师
'dun'qi'jing'tong 钝器精通
'duo'hun'yao'hu 夺魂妖狐
'duo'luo'de'shou'mu'zhe 堕落的守墓者
'duo'luo'ji'si 堕落祭祀
'duo'po'shi 夺魄石
'er'dao'liu'da'shi 二刀流大师
'er'dao'liu'jing'tong 二刀流精通
'er'dao'liu'li'hun'jia 二刀流离魂甲
'er'long'xi'zhu'shi'pu 二龙戏珠食谱
'er'xiang'hu'yao 尔香湖妖
'fa'pao'ru'men 法袍入门
'fa'qi'ru'men 法器入门
'fa'ru'da'shi 法如大师
'fa'shu'jing'tong 法术精通
'fa'zhang 法杖
'fan'bin 范斌
'fan'shi'zhi'gu'hun'dun 反噬之骨魂盾
'fan'shou'dao 反手刀
'fang'shi 方士
'fang'tian'hua'ji 方天画戟
'fang'xie 放血
'fei'ling 飞翎
'fei'ma'gong 飞马弓
'fei'mao'tui 飞毛腿
'fei'mao'tui'kun'hua'shang 飞毛腿昆化殇
'fei'ying'hu'fu 飞影护符
'fei'ying'hu'jian 飞影护肩
'fei'ying'hu'shou 飞影护手
'fei'ying'jia'yi 飞影甲衣
'fei'ying'mao 飞影帽
'fei'ying'tao'zhuang 飞影套装
'fei'ying'xue 飞影靴
'fen'shen'zhan 分身斩
'fen'xin'hui'lang 焚心回廊
'feng'huang'shen'mu 凤凰神木
'feng'huo 风火
'feng'huo'tai'ji'san 风火太极散
'feng'huo'tai'ji'wan 风火太极丸
'feng'huo'zheng'ba'sai 风火争霸赛
'feng'huo'zhi'lv 风火之旅
'feng'lei'qi'xiao 风雷齐啸
'feng'li'bi'ling'jian 锋利碧灵剑
'feng'li'de'bin'tie'fu 锋利的镔铁斧
'feng'li'de'du'long'ci 锋利的毒龙刺
'feng'li'de'han'guang'ci 锋利的寒光刺
'feng'li'de'shui'wen'jian 锋利的水纹剑
'feng'li'de'xuan'hua'fu 锋利的宣花斧
'feng'li'jing'tie'zhong'jian 锋利精铁重剑
'feng'li'she'gou'dao 锋利蛇钩刀
'feng'luan'jian 峰峦剑
'feng'rui'de'bai'feng'jian 锋锐的白锋剑
'feng'rui'de'lie'gu'fu 锋锐的裂骨斧
'feng'rui'de'zhu'tie'jian 锋锐的铸铁剑
'feng'rui'yue'ya'ji 锋锐月牙戟
'feng'rui'zi'jin'jian 锋锐紫金剑
'feng'rui'zi'wu'jian 锋锐子午剑
'feng'shan'cai'hu 凤杉彩狐
'feng'shan'qiu 凤衫丘
'feng'shen'jian 风神剑
'feng'shui'shi 风水师
'feng'shui'shi'yu'tong 风水师余同
'feng'yuan'gu'dan'fang 枫苑古丹房
'feng'yuan'you'hun 枫苑幽魂
'feng'zhi'yi 风之翼
'fu'ben 副本
'fu'chou 复仇
'fu'hun'zhi'bai'long'zhang 附魂之白龙杖
'fu'hun'zhi'bi'xuan'pao 附魂之碧玄袍
'fu'hun'zhi'hui'tian'chu 附魂之回天杵
'fu'hun'zhi'huo'hun'zhang 附魂之火魂杖
'fu'hun'zhi'jiang'mo'chu 附魂之降魔杵
'fu'hun'zhi'jin'lv'yi 附魂之金缕衣
'fu'hun'zhi'jiu'qu'zhang 附魂之九曲杖
'fu'hun'zhi'jiu'yi'pao 附魂之九逸袍
'fu'hun'zhi'jue'ying'pao 附魂之绝影袍
'fu'hun'zhi'pu'ti'zhang 附魂之菩提杖
'fu'hun'zhi'shang'ren'pao 附魂之上人袍
'fu'hun'zhi'song'ling'zhang 附魂之松灵杖
'fu'hun'zhi'tai'ji'pao 附魂之太极袍
'fu'hun'zhi'tian'shi'pao 附魂之天师袍
'fu'hun'zhi'tian'xin'zhang 附魂之天心杖
'fu'hun'zhi'wu'xing'pao 附魂之五行袍
'fu'ling 茯苓
'fu'mian'mo'chong 腐面魔虫
'fu'mo 腐魔
'fu'wen'tao'mu'zhang 符文桃木杖
'fu'xi'zhang 伏曦杖
'fu'xiu'dun'pai 腐朽盾牌
'fu'xiu'gu'jian 腐朽古剑
'fu'xiu'yao'she 腐朽妖蛇
'fu'zhou'shi'zhe 符咒侍者
'gan'feng'chun'yu'shi'pu 干风春鱼食谱
'gang'ji'jian 钢脊箭
'gang'li 刚力
'gang'li'zhi'fei'ma'gong 刚力之飞马弓
'gang'meng'zhi'lie'gu'fu 刚猛之裂骨斧
'gang'meng'zhi'xuan'tie'zhong'qiang 刚猛之玄铁重枪
'gang'tie'yi'zhi 钢铁意志
'gang'zhi'da'mo'shi'tu'yang 钢质打磨石图样
'gao'ji'niu'tou'wu'qi 高级牛头武器
'gao'su'shi'fa 高速施法
'gong'jian'da'shi 弓箭大师
'gong'jian'jing'tong 弓箭精通
'gong'jian'ru'men 弓箭入门
'gong'tou 工头
'gou'hun'bai'hu 勾魂白狐
'gu'bi 骨匕
'gu'hun'dun 骨魂盾
'gu'ling'xue'shan 古凌雪山
'gu'man'cun'luo 古蛮村落
'gu'mo 骨魔
'gua'shi 卦师
'gua'shi'zuo'quan 卦师左权
'guai'li'bai'feng'jian 怪力白锋剑
'guan'yin'zhou 观音咒
'guan'zi'shou 罐子手
'guang'mang'guan 光芒冠
'guang'mang'hu'fu 光芒护符
'guang'mang'hu'jian 光芒护肩
'guang'mang'hu'shou 光芒护手
'guang'mang'lv 光芒履
'guang'mang'pao 光芒袍
'guang'mang'tao'zhuang 光芒套装
'gui'die'hu'jian 鬼蝶护肩
'gui'die'hu'shou 鬼蝶护手
'gui'die'jia 鬼蝶甲
'gui'die'mian'ju 鬼蝶面具
'gui'die'xue 鬼蝶靴
'gui'shen 鬼神
'gui'wen'dun 鬼纹盾
'gui'wen'zhi'zhu 鬼蚊蜘蛛
'gui'xin'yuan'hun 归心怨魂
'gui'ying'wu'zong'san 鬼影无踪散
'gui'yu 桂鱼
'gun'zi 棍子
'guo'zhan 国战
'hai'sha'jing'rui 海沙精锐
'hai'sha'shen'shou 海沙神兽
'hai'sha'si'shi 海沙死士
'hai'sha'zhao'huan'shi 海沙召唤师
'hai'she'dian 海蛇殿
'hai'she'wei'bing 海蛇卫兵
'han'guang'ci 寒光刺
'han'que 寒阙
'han'que'shi 寒阕石
'han'wei'fu 捍卫斧
'han'wen'guan 寒纹冠
'han'wen'hu 寒纹虎
'han'wen'hu'jian 寒纹护肩
'han'wen'hu'shou 寒纹护手
'han'wen'lv 寒纹履
'han'wen'pao 寒纹袍
'han'wen'tao'zhuang 寒纹套装
'han'xin 韩信
'han'yu'shi 寒玉石
'han'yu'wu'ji'san 寒玉无极散
'hao'tian'shi 昊天石
'he'cang'shen'she'shou 褐苍神射手
'he'cang'xue'wei'shi 褐苍血卫士
'he'kai 何开
'he'tun'du 河豚毒
'he'yue'guan 褐月冠
'he'yue'hu'jian 褐月护肩
'he'yue'hu'shou 褐月护手
'he'yue'lv 褐月履
'he'yue'pao 褐月袍
'hei'lin'hu'jian 黑鳞护肩
'hei'lin'hu'shou 黑鳞护手
'hei'lin'kai 黑鳞铠
'hei'lin'kui 黑鳞盔
'hei'lin'xue 黑鳞靴
'hei'mo'zhi 黑魔蛭
'hei'shui'bo 黑水泊
'hei'tie'shou'ma'lun 黑铁手马轮
'hei'tu'zhang 黑土杖
'hei'wu'kui'lei 黑雾傀儡
'hei'yu 黑鱼
'hei'yu'jin'gang 黑玉金刚
'hei'zong'ma 黑棕马
'hei'zong'zhu 黑棕猪
'hei'zong'zhu'wang 黑棕猪王
'hong'lian'lian'yu 红莲炼狱
'hou'pi 厚皮
'hou'pi'hu'jia'pian'tu'yang 厚皮护甲片图样
'hu'fa'jin'gang 护法金刚
'hu'gu'jing'ti'san 虎骨精体散
'hu'shou 护手
'hu'tou'zhan'jin'qiang 虎头湛金枪
'hu'wei'fu 虎卫斧
'hu'wei'tong'ling 护卫统领
'hu'wen'dun 虎纹盾
'hu'ya'qiang 虎牙枪
'hu'yue'chi 虎跃池
'hu'yue'zhan 弧月斩
'hua'shen'hou 化身猴
'hua'shen'lu 化身鹿
'hua'shen'xiong 化身熊
'hua'yao 花妖
'hua'yu'guan 化羽冠
'hua'yu'hu'fu 化羽护符
'hua'yu'hu'jian 化羽护肩
'hua'yu'hu'shou 化羽护手
'hua'yu'lv 化羽履
'hua'yu'pao 化羽袍
'hua'yu'tao'zhuang 化羽套装
'huan'hua'mo'shou 幻化魔兽
'huan'hun'shu 还魂术
'huan'jian'you'huang 幻剑幽惶
'huan'shou'dao 环手刀
'huang'jin'da'mo'shi'tu'yang 黄金打磨石图样
'huang'man'da'tong'ling 荒蛮大统领
'huang'tong'chui 荒铜锤
'huang'yang'jian 黄杨箭
'huang'yang'mu 黄杨木
'huang'yu 黄鱼
'hui'hen 悔恨
'hui'huang'zhi'huo'hun'zhang 辉煌之火魂杖
'hui'tian'chu 回天杵
'hui'tu'zhang 灰土杖
'hui'xin'quan 恢心泉
'hui'yun 灰云
'hun'sha 魂刹
'hun'sha'hu'fu 魂刹护符
'hun'sha'hu'jian 魂刹护肩
'hun'sha'hu'shou 魂刹护手
'hun'sha'jia'yi 魂刹甲衣
'hun'sha'mao 魂刹帽
'hun'sha'tao'zhuang 魂刹套装
'hun'sha'xue 魂刹靴
'huo'feng'zhi'lv 火风之旅
'huo'hun'zhang 火魂杖
'huo'jing'shi 火精石
'huo'long'shu 火龙术
'huo'qi'lin 火麒麟
'huo'shi'sha'mo 火誓沙漠
'huo'yan'shan'jiao 火焰山脚
'huo'yan'yuan'ling 火焰怨灵
'ji'bing'cun 极冰村
'ji'di'shi 极地狮
'ji'feng 疾风
'ji'feng'kuang'shi 疾风狂矢
'ji'le'wang'sheng'san'yao'fang 极乐往生散药方
'ji'lian 祭炼
'ji'nu 机弩
'ji'pin'sui'gu'chui 极品碎骨锤
'ji'pin'zi'jin'jian 极品紫金剑
'ji'pin'zi'wu'jian 极品子午剑
'ji'si'mo'qi 祭祀魔器
'ji'su'leng'que 急速冷却
'ji'su'shi'fa 极速施法
'ji'yu 鲫鱼
'jia'chuan'bi'shou 家传匕首
'jia'lou'luo'wang'gong 迦楼罗王弓
'jia'zhou'shang 甲冑商
'jia'zhou'shang'ou'ke 甲胄商欧克
'jia'zhou'shang'ou'shang 甲冑商欧尚
'jia'zhou'shang'ou'zhi 甲胄商欧治
'jia'zhou'sui'pian 甲胄碎片
'jian'bi 坚壁
'jian'bi'dao 坚壁刀
'jian'ding'yi'zhi 坚定意志
'jian'gong 监工
'jian'jing 剑经
'jian'wu 剑舞
'jiang'gan 蒋干
'jiang'hu'pian'zi 江湖骗子
'jiang'jun'zhi'jian 将军之剑
'jiang'mo'chu 降魔杵
'jiang'tou'mo'xie 降头魔蟹
'jiao'hou 绞喉
'jiao'long 蛟龙
'jiao'long'qin'sui 蛟龙亲随
'jie'hua'shan 节花山
'jin'can'jia 金蚕甲
'jin'e'hu 金额虎
'jin'gang 金刚
'jin'gang'bu'huai 金刚不坏
'jin'gang'hu'fu 金刚护符
'jin'gang'hu'jian 金刚护肩
'jin'gang'hu'shou 金刚护手
'jin'gang'kai 金刚铠
'jin'gang'kui 金刚盔
'jin'gang'tao'zhuang 金刚套装
'jin'gang'xue 金刚靴
'jin'jia'qi'lin 金甲麒麟
'jin'jing'hu'jian 金睛护肩
'jin'jing'hu'shou 金睛护手
'jin'jing'jia 金睛甲
'jin'jing'mao 金睛帽
'jin'jing'shi 金精石
'jin'jing'xue 金睛靴
'jin'kuang 金矿
'jin'lv'bao 金缕包
'jin'lv'guan 金缕冠
'jin'lv'hu'jian 金缕护肩
'jin'lv'hu'shou 金缕护手
'jin'lv'lv 金缕履
'jin'lv'yi 金缕衣
'jin'mao'shi 金毛狮
'jin'qian'bao 金钱豹
'jin'shi'gui'yu'shi'pu 金狮桂鱼食谱
'jin'wen'qiang 金纹枪
'jin'xiu'bao 锦绣包
'jing'ding'gong 精定弓
'jing'gong'ba'wang'kai 精工霸王铠
'jing'gong'ba'wang'qiang 精工霸王枪
'jing'gong'bin'tie'fu 精工镔铁斧
'jing'gong'bing'tie'pan'long'qiang 精工冰铁盘龙枪
'jing'gong'bu'ren'kai 精工步人铠
'jing'gong'chi'bi 精工赤匕
'jing'gong'chuan'yang'gong 精工穿杨弓
'jing'gong'dian'jiang'mao 精工点将矛
'jing'gong'du'long'ci 精工毒龙刺
'jing'gong'fei'ma'gong 精工飞马弓
'jing'gong'gui'wen'dun 精工鬼纹盾
'jing'gong'han'que 精工寒阙
'jing'gong'hei'lin'kai 精工黑鳞铠
'jing'gong'hu'tou'zhan'jin'qiang 精工虎头湛金枪
'jing'gong'hu'wen'dun 精工虎纹盾
'jing'gong'hun'sha 精工魂刹
'jing'gong'ji'nu 精工机弩
'jing'gong'jin'can'jia 精工金蚕甲
'jing'gong'jin'jing'jia 精工金睛甲
'jing'gong'jing'ding'gong 精工精定弓
'jing'gong'jing'tie'zhong'jian 精工精铁重剑
'jing'gong'ju'li'gong 精工巨力弓
'jing'gong'lang'ya'jia 精工狼牙甲
'jing'gong'li'hun'jia 精工离魂甲
'jing'gong'li'huo'jian 精工离火剑
'jing'gong'lian'nu 精工连弩
'jing'gong'lie'gu'fu 精工裂骨斧
'jing'gong'long'quan'jian 精工龙泉剑
'jing'gong'long'tou'chui 精工龙头锤
'jing'gong'long'wen'jia 精工龙纹甲
'jing'gong'luan'feng'chui 精工乱风锤
'jing'gong'ming'guang'kai 精工明光铠
'jing'gong'ni'lin'kai 精工逆磷铠
'jing'gong'pan'shi'kai 精工磐石铠
'jing'gong'pi'di'fu 精工辟地斧
'jing'gong'po'jun'nu 精工破军弩
'jing'gong'po'sui'chui 精工破碎锤
'jing'gong'po'zhen'fu 精工破阵斧
'jing'gong'qi'men'fu 精工奇门斧
'jing'gong'qian'kun'jia 精工乾坤甲
'jing'gong'qing'xin'zhang 精工清心杖
'jing'gong'qiu'shui'jian 精工秋水剑
'jing'gong'shi'xin'chui 精工实心锤
'jing'gong'shu'bian'nu 精工戍边弩
'jing'gong'shuang'yu'gong 精工双雨弓
'jing'gong'shui'wen'jian 精工水纹剑
'jing'gong'sui'gu'chui 精工碎骨锤
'jing'gong'teng'wen'dun 精工藤纹盾
'jing'gong'ti'gu'dao 精工剃骨刀
'jing'gong'tun'yun'ci 精工吞云刺
'jing'gong'wu'ji'jia 精工无极甲
'jing'gong'wu'shuang'kai 精工无双铠
'jing'gong'xuan'tie'zhong'qiang 精工玄铁重枪
'jing'gong'ye'xing'yi 精工夜行衣
'jing'gong'ying'nu 精工硬弩
'jing'gong'ying'ya 精工影牙
'jing'gong'yuan'rong'nu 精工元戎弩
'jing'gong'yue'ya'ji 精工月牙戟
'jing'gong'yue'ying'dun 精工越影盾
'jing'gong'zhen'wu'jian 精工真武剑
'jing'gong'zhi'gu'hun'dun 精工之骨魂盾
'jing'gong'zhi'qing'lin'dun 精工之青鳞盾
'jing'gong'zhong'jin'dun 精工重金盾
'jing'gong'zi'jin'ba'gua'chui 精工紫金八卦锤
'jing'gong'zi'jin'jian 精工紫金剑
'jing'gong'zi'tong'ji 精工紫铜戟
'jing'gong'zi'wu'jian 精工子午剑
'jing'hua 净化
'jing'hun 精魂
'jing'ke 荆轲
'jing'lian'bai'feng'jian 精炼白锋剑
'jing'lian'gong'jiang 精练工匠
'jing'lian'gong'jiang'bai'shi 精练工匠百事
'jing'lian'gong'jiang'chen'tai 精练工匠陈泰
'jing'ming'dao'ren 净明道人
'jing'ming'dao'si'jiao'xu'fu 净明道司教徐福
'jing'pi 精皮
'jing'pin'ban'fu 精品板斧
'jing'pin'bi'ling'jian 精品碧灵剑
'jing'pin'chang'mu'gong 精品长木弓
'jing'pin'duan'chui 精品短锤
'jing'pin'han'guang'ci 精品寒光刺
'jing'pin'lie'feng'gong 精品裂风弓
'jing'pin'lie'gong 精品猎弓
'jing'pin'shen'bi'gong 精品神臂弓
'jing'pin'tun'yun'ci 精品吞云刺
'jing'pin'xuan'hua'fu 精品宣花斧
'jing'pin'zhong'fu 精品重斧
'jing'she 劲射
'jing'shen'shu 精神术
'jing'shen'zhuan'zhu 精神专注
'jing'tie'chui 精铁锤
'jing'tie'qiang 精铁枪
'jing'tie'zhong'jian 精铁重剑
'jing'yang'hu 景阳虎
'jing'zhi'de'bi'xuan'pao 精致的碧玄袍
'jing'zhi'de'bu'ren'kai 精致的步人铠
'jing'zhi'de'hei'lin'kai 精致的黑鳞铠
'jing'zhi'de'jin'jing'jia 精致的金睛甲
'jing'zhi'de'jin'lv'yi 精致的金缕衣
'jing'zhi'de'li'hun'jia 精致的离魂甲
'jing'zhi'de'long'wen'jia 精致的龙纹甲
'jing'zhi'de'ming'guang'kai 精致的明光铠
'jing'zhi'de'ni'lin'kai 精致的逆磷铠
'jing'zhi'de'qian'kun'jia 精致的乾坤甲
'jing'zhi'de'qing'si'pao 精致的青丝袍
'jing'zhi'de'tai'ji'pao 精致的太极袍
'jing'zhi'de'tian'shi'pao 精致的天师袍
'jing'zhi'de'wu'dou'yi 精致的武斗衣
'jing'zhi'de'wu'xing'pao 精致的五行袍
'jing'zhi'de'ye'xing'yi 精致的夜行衣
'jing'zhi'qing'si'guan 精致青丝冠
'jing'zhi'qing'si'hu'jian 精致青丝护肩
'jing'zhi'qing'si'hu'shou 精致青丝护手
'jing'zhi'qing'si'lv 精致青丝履
'jing'zhi'wu'dou'hu'jian 精致武斗护肩
'jing'zhi'wu'dou'hu'shou 精致武斗护手
'jing'zhi'wu'dou'mao 精致武斗帽
'jing'zhi'wu'dou'xue 精致武斗靴
'jing'zhi'wu'xing'guan 精致五行冠
'jing'zhi'wu'xing'hu'jian 精致五行护肩
'jing'zhi'wu'xing'hu'shou 精致五行护手
'jing'zhi'wu'xing'lv 精致五行履
'jing'zhun'lie'feng'gong 精准裂风弓
'jing'zhun'xuan'tie'zhong'qiang 精准玄铁重枪
'jing'zhun'zhi'ju'li'gong 精准之巨力弓
'jiu'bi'xiang'shi'san 九壁香石散
'jiu'ling'qiang 九灵枪
'jiu'qu'zhang 九曲杖
'jiu'shang 酒商
'jiu'shang'wu'hai'liang 酒商吴海量
'jiu'wei'ling'hu 九尾灵狐
'jiu'wei'yao'hu 九尾妖狐
'jiu'yi'pao 九逸袍
'ju'da'zhan'fu 巨大战斧
'ju'jian 巨剑
'ju'li'gong 巨力弓
'ju'li'qin'wei 巨力亲卫
'ju'qi'zhi'bi'xuan'pao 聚气之碧玄袍
'ju'qi'zhi'jiu'yi'pao 聚气之九逸袍
'ju'qi'zhi'jue'ying'pao 聚气之绝影袍
'ju'qi'zhi'pu'ti'zhang 聚气之菩提杖
'ju'qi'zhi'shang'ren'pao 聚气之上人袍
'ju'qi'zhi'tai'ji'pao 聚气之太极袍
'ju'qi'zhi'tian'shi'pao 聚气之天师袍
'ju'qi'zhi'xuan'tie'zhong'qiang 聚气之玄铁重枪
'ju'qi'zhi'yuan'rong'nu 聚气之元戎弩
'ju'sha 狙杀
'ju'yuan'fu 巨辕斧
'jue'ying'pao 绝影袍
'jun'ma 军马
'jun'shou 郡守
'jun'shou'qing'yun'zi 郡守青云子
'kai'guang'de'tao'mu'zhang 开光的桃木杖
'kai'shan'bian 开山鞭
'kang'zheng'zhi'jian 抗争之剑
'ke'hun 刻魂
'ke'hun'shi 刻魂狮
'kua'fu 夸父
'kuang'bao 狂暴
'kuang'bao'qian'kun'san 狂暴乾坤散
'kuang'bao'wang'liang 狂暴魍魉
'kuang'ye'mi'le 狂野弥勒
'kui'jia 盔甲
'kui'lei'yao'chui 傀儡妖锤
'kun'hua'shang 昆化殇
'kun'lun'yue 昆仑月
'kun'lun'yue'de'pei'dao 昆仑月的佩刀
'lang'mian'gui'zhu 狼面鬼蛛
'lang'ya'jia 狼牙甲
'lang'ya'jian 狼牙箭
'lang'ya'qiang 狼牙枪
'lao'ban'niang 老板娘
'lao'ban'niang'ye'qing 老板娘叶青
'lao'bin 老宾
'lao'bin'he'kai 老宾何开
'lao'bing'zhi'jian 老兵之剑
'lao'cun'zhang 老村长
'lao'cun'zhang'mu'hao 老村长穆昊
'lei'shen'zhi'lian 雷神之镰
'lei'ting'yi'ji 雷霆一击
'li'hao 黎豪
'li'hun'hu'jian 离魂护肩
'li'hun'hu'shou 离魂护手
'li'hun'jia 离魂甲
'li'hun'jian 离魂剑
'li'hun'mao 离魂帽
'li'hun'xue 离魂靴
