'a'bi'luo'ti 阿比罗提
'jiu'shi'ba'sui'mian 九十八随眠
'jiu'shi'xiang'cheng 九师相承
'jiu'shi'yi 九识义
'jiu'wu'wei 九无为
'jiu'wu'xue 九无学
'jiu'xin'lun 九心轮
'jiu'ye 九业
'jiu'you'qing'ju 九有情居
'jiu'yuan'shi'cheng 久远实成
'jiu'zhai'ri 九斋日
'jiu'zhe 九辙
'jiu'zhong'bu'huan 九种不还
'jiu'zhu'xin 九住心
'jiu'zu'xiang'cheng 九祖相承
'ju 句
'ju'sheng'fa 俱生法
'ju'sheng'qi 俱生起
'ju'you'fa 俱有法
'juan'shu 眷属
'jue 觉
'jue'ta 觉他
'jue'ze 决择
'kai'hui 开会
'kai'san'xian'yi 开三显一
'kai'shi'wu'ru 开示悟入
'kai'ti 开题
'ke'chen'fan'nao 客尘烦恼
'kong 空
'kong'ji'shi'se 空即是色
'kong'jian 空见
'ku 苦
'ku'di 苦谛
'ku'xing 苦行
'kuang'huo 狂惑
'lai'ye'yuan'qi 赖耶缘起
'lao'ku 老苦
'lao'si 老死
'le 乐
'le'yi 了义
'li 力
'li'jie 历劫
'li'ta 利他
'li'xi 离系
'lian'hua'cang'shi'jie 莲华藏世界
'liang'jie'man'tu'luo 两界曼荼罗
'liao'jian 料简
'lin'a'ga'se 邻阿伽色
'liu'bo'luo'mi 六波罗蜜
'liu'cheng'jiu 六成就
'liu'chu 六触
'liu'da 六大
'liu'da'yuan'qi 六大缘起
'liu'dao 六道
'liu'e 六恶
'liu'fa 六法
'liu'gen 六根
'liu'gen'chan'hui 六根忏悔
'liu'gen'hu'yong 六根互用
'liu'gen'qing'jing 六根清净
'liu'hang'guan 六行观
'liu'he'jing 六和敬
'liu'ji 六即
'liu'jing 六境
'liu'ju 六聚
'liu'jue'ding 六决定
'liu'nan 六难
'liu'nian 六念
'liu'shi 六识
'liu'shi 六时
'liu'shi'er'jian 六十二见
'liu'shi'xin 六十心
'liu'tong 六通
'liu'wei 六味
'liu'wu 六物
'liu'xiang 六相
'liu'xiang'yuan'rong 六相圆融
'liu'yin 六因
'liu'zhong'ben'ji 六重本迹
'liu'zhuan 流转
'lou 漏
'lou'jin'tong 漏尽通
'lu'he'shi 六合释
'lun'hui 轮回
'lun'jia 论家
'lun'shi 论师
'ma'yin'cang'xiang 马阴藏相
'man 慢
'man'tu'luo 曼荼罗
'meng 梦
'mi 迷
'mi'yan'jing'tu 密严净土
'miao'jue 妙觉
'mie'di 灭谛
'ming 明
'ming'gen 命根
'ming'ju'wen'shen 名句文身
'ming'se 名色
'ming'yan 名言
'ming'yan'zhong'zi 名言种子
'mo 魔
'mo'da'li'jia 摩呾理迦
'mo'fa 末法
'mo'he 摩诃
'mo'mo 末摩
'mo'na'shi 末那识
'mo'ni 摩尼
'mo'sha 磨沙
'mou'ni 牟尼
'mu'lan'se 木兰色
'na'mo 南无
'nan'san'bei'qi 南三北七
'nan'xing'dao 难行道
'nao 恼
'nei'dao 内道
'nei'fan 内凡
'nei'ming 内明
'neng 能
'nian 念
'nian'jie'rong'ji 念劫融即
'nie'pan 涅槃
'nie'pan'zhi 涅槃智
'nv'ren'cheng'fo 女人成佛
'nv'zi'chu'ding 女子出定
'ou'he'ju'she'luo 沤和俱舍罗
'pan'jiao 判教
'pan'yuan 攀缘
'ping'chang'xin'shi'dao 平常心是道
'ping'deng 平等
'ping'deng'xing'zhi 平等性智
'po'xie 破邪
'pu'fa 普法
'pu'men 普门
'pu'shuo 普说
'pu'ti 菩提
'pu'ti'xin 菩提心
'qi'bao 七宝
'qi'bu'ke'bi 七不可避
'qi'cai 七财
'qi'chang'zhu'guo 七常住果
'qi'chu'ba'hui 七处八会
'qi'chu'shan 七处善
'qi'da 七大
'qi'di 七谛
'qi'di 七地
'qi'di'shen'kong'nan 七地沈空难
'qi'fa 七法
'qi'fan'gong'jie 七番共解
'qi'fen'bie 七分别
'qi'fen'huo'yi 七分获一
'qi'gui'yi 七归依
'qi'hai 七海
'qi'jian 七见
'qi'jin'shan 七金山
'qi'jing'hua 七净华
'qi'jing'jie 七境界
'qi'ju 七聚
'qi'ju'da 七句答
'qi'jue'shi 七觉士
'qi'jue'zhi 七觉支
'qi'kong 七空
'qi'liu 七流
'qi'lou 七漏
'qi'mie'zheng 七灭诤
'qi'nan 七难
'qi'shan 七善
'qi'shan'fa 七善法
'qi'shan'lv'yi 七善律仪
'qi'shan'shi'qu 七善士趣
'qi'sheng 七圣
'qi'sheng'shi 七胜事
'qi'shi'jian 器世间
'qi'shi'wu'fa 七十五法
'qi'shi'zhu 七识住
'qi'xian 七贤
'qi'xing 起行
'qi'you 七有
'qi'yu 七喻
'qi'zhen'ru 七真如
'qi'zhong 七众
'qi'zhong'jing 七种净
'qi'zhong'li'ti 七种立题
'qi'zhong'ren 七种人
'qi'zhong'sheng'si 七种生死
'qi'zhuan'di'ba'hu'wei'yin'guo 七转第八互为因果
'qi'zhuan'shi 七转识
'qing'an 轻安
'qiong'sheng'si'yun 穷生死蕴
'qiu'bu'de'ku 求不得苦
'qu 取
'qu'yun 取蕴
'quan'shi 权实
'ran'fa 染法
'ran'jing'er'fa 染净二法
'ran'wu 染污
'ran'wu'wu'zhi 染污无知
'ran'xin 染心
'ren 忍
'ren'jian 人间
'ren'ru 忍辱
'ren'wo'fa'wo 人我法我
'ri'mei 日没
'ri'zhong 日中
'rou'ji'xiang 肉髻相
'rou'shen'bu'huai 肉身不坏
'ru'bu'er'fa'men 入不二法门
'ru'ding 入定
'ru'lai'cang 如来藏
'ru'lai'shi'en 如来十恩
'ru'shi'guan 如实观
'ru'wo'wo'ru 入我我入
'ru'yi'tong 如意通
'ru'zang 入藏
'sa'duo 萨埵
'sa'jia'ye'jian 萨迦耶见
'sa'po'ruo 萨婆若
'san'bao 三宝
'san'bu 三部
'san'che'si'che 三车四车
'san'cheng 三乘
'san'cheng'fang'bian 三乘方便
'san'chi'bai'jie 三祇百劫
'san'da 三大
'san'da'mi'fa 三大祕法
'san'dao'bao'jie 三道宝阶
'san'de 三德
'san'di 三谛
'san'du 三毒
'san'fa'yin 三法印
'san'fen'ke'jing 三分科经
'san'fu 三福
'san'gang 三纲
'san'gen 三根
'san'gu'gou 三钴钩
'san'guan 三观
'san'guan 三关
'san'gui'yi 三归依
'san'hui 三慧
'san'ji'shi 三际时
'san'jie 三界
'san'jie 三结
'san'jie'tuo'men 三解脱门
'san'jie'wei'xin 三界唯心
'san'ke 三科
'san'ke'jian'jing 三科拣境
'san'lei'jing 三类境
'san'lou 三漏
'san'luan 散乱
'san'lun'shen 三轮身
'san'lun'ti'kong 三轮体空
'san'mei'ye'man'tu'luo 三昧耶曼荼罗
'san'mei'ye'xing 三昧耶形
'san'mi 三密
'san'mi'mi'shen 三祕密身
'san'ming 三明
'san'neng'bian 三能变
'san'pu'ti 三菩提
'san'qian'da'qian'shi'jie 三千大千世界
'san'san'mei'ye 三三昧耶
'san'shen 三身
'san'shen'cheng'dao 三身成道
'san'sheng'cheng'fo 三生成佛
'san'shi 三识
'san'shi 三世
'san'shi 三时
'san'shi'dao 三士道
'san'shi'er'xiang 三十二相
'san'shi'jiao 三时教
'san'shi'qi'zheng 三师七证
'san'shi'shi'you 三世实有
'san'shi'yin'guo 三世因果
'san'shi'zhu'fo 三世诸佛
'san'tu 三土
'san'tu 三涂
'san'tu'he 三途河
'san'wu'xing 三无性
'san'xi'liu'cu 三细六粗
'san'xian'shi'sheng 三贤十圣
'san'xing 三性
'san'xing'dui'wang'zhong'dao 三性对望中道
'san'xue 三学
'san'yan 三验
'san'ye 三业
'san'you 三有
'san'zai 三灾
'san'zhai 三斋
'san'zhang 三障
'san'zhi 三智
'san'zhuan'du'wen 三转读文
'san'zhuan'fa'lun 三转法轮
'san'zhuan'shi'er'xing'xiang 三转十二行相
'se 色
'se'ji'shi'kong 色即是空
'se'jie 色界
'se'ju'san'qian 色具三千
'se'liang 色量
'se'shen 色身
'se'yun 色蕴
'shan 善
'shan'gen 善根
'shan'jian'cheng 善见城
'shan'qiao'fang'bian 善巧方便
'shan'wang'man'tu'luo 山王曼荼罗
'shang'qiu'xia'hua 上求下化
'shang'zuo 上座
'shao'shan'gen 少善根
'shao'yu'zhi'zu 少欲知足
'she 舍
'she'gen 舌根
'she'qu 摄取
'she'shen 舍身
'shen'gen 身根
'shen'shen'guan 甚深观
'shen'shi 身识
'shen'tong 神通
'shen'ye 身业
'sheng 生
'sheng'chen'de'dao 声尘得道
'sheng'de 生得
'sheng'de'shan 生得善
'sheng'fo'yi'ru 生佛一如
'sheng'ji'wu'sheng 生即无生
'sheng'jiao'liang 圣教量
'sheng'jie 胜解
'sheng'mie 生灭
'sheng'mie'men 生灭门
'sheng'si 生死
'sheng'si'ji'nie'pan 生死即涅槃
'sheng'tian 生天
'sheng'wen 声闻
'sheng'xiang 生相
'sheng'yi 胜义
'sheng'zuo 陞座
'shi 识
'shi 师
'shi'ba'bu'gong'fa 十八不共法
'shi'ba'jie 十八界
'shi'ba'kong 十八空
'shi'ba'shen'bian 十八神变
'shi'ba'yi'jin'xing 十八意近行
'shi'ba'you'xue 十八有学
'shi'ba'yuan'man 十八圆满
'shi'bian'chu 十遍处
'shi'bo'luo'mi 十波罗蜜
'shi'bu'er'men 十不二门
'shi'cheng'guan'fa 十乘观法
'shi'chong'wei'shi 十重唯识
'shi'da'yuan 十大愿
'shi'dao 示导
'shi'di 十地
'shi'di 师弟
'shi'di'ji'bao 十地寄报
'shi'er'chu 十二处
'shi'er'fen'jiao 十二分教
'shi'er'gong 十二宫
'shi'er'lei'sheng 十二类生
'shi'er'tou'tuo'xing 十二头陀行
'shi'er'yuan'qi 十二缘起
'shi'fa'xing 十法行
'shi'fo'ming 十佛名
'shi'hang 十行
'shi'hao 师号
'shi'hui'xiang 十回向
'shi'jian 世间
'shi'jiao'li'xi 示教利喜
'shi'jie 世界
'shi'jie 十界
'shi'jie'hai 世界海
'shi'jie'hu'ju 十界互具
'shi'jie'tuo 时解脱
'shi'jue 始觉
'shi'li 十力
'shi'liu'guan 十六观
'shi'liu'xing'xiang 十六行相
'shi'ming 十明
'shi'nian 失念
'shi'nian'ye'cheng 十念业成
'shi'nv 石女
'shi'ru'shi 十如是
'shi'shan 十善
'shi'shen 十身
'shi'sheng'xing 十胜行
'shi'shi 十世
'shi'shi 十师
'shi'shi'fei'fa 十事非法
'shi'si'bian'hua'xin 十四变化心
'shi'si'wu'ji 十四无记
'shi'su 世俗
'shi'wu'jin'cang 十无尽藏
'shi'wu'wei 施无畏
'shi'wu'zun 十五尊
'shi'xiang 事相
'shi'xiang 实相
'shi'xin 十信
'shi'xuan 十玄
'shi'ye'dao 十业道
'shi'yu'guan 十喻观
'shi'yuan 誓愿
'shi'yuan'man 十圆满
'shi'zhu 十住
'shi'zhu'xin 十住心
'shi'zi'hou 师子吼
'shou 受
'shou'ji 授记
'shou'liang 寿量
'shou'ti 受体
'shou'yong'shen 受用身
'shou'yong'tu 受用土
'shun'san'fen'shan 顺三分善
'shun'yuan 顺缘
'shuo'tong 说通
'si 思
'si 死
'si'an'le'xing 四安乐行
'si'bai'si'bing 四百四病
'si'bu'ding 四不定
'si'bu'si'yi 四不思议
'si'chen 四尘
'si'cheng'guan'zhi 四乘观智
'si'chong'chu'ti 四重出体
'si'chong'er'di 四重二谛
'si'da 四大
'si'dao 四道
'si'de 四德
'si'di 四谛
'si'e 四轭
'si'e'dao 四恶道
'si'en 四恩
'si'fa 嗣法
'si'fa'jie 四法界
'si'fa'san'yuan 四法三愿
'si'fen 四分
'si'ge'ge'yan 四箇格言
'si'hong'shi'yuan 四弘誓愿
'si'huan'xi 四欢喜
'si'ji'da 四记答
'si'jian 四见
'si'jiao 四教
'si'jiao'si'men 四教四门
'si'jie 四劫
'si'ju'bai'fei 四句百非
'si'ju'fen'bie 四句分别
'si'ku 死苦
'si'liao'jian 四料简
'si'man'xiang'da 四曼相大
'si'man'xiang'ji 四曼相即
'si'mo 四魔
'si'nan 四难
'si'qu 四取
'si'ru'shi'zhi 四如实智
'si'sha'men'guo 四沙门果
'si'shan'gen'wei 四善根位
'si'she'fa 四摄法
'si'shen'zu 四神足
'si'sheng 四圣
'si'sheng 四生
'si'sheng'bai'jie 四生百劫
'si'sheng'zhong 四圣种
'si'shi 四食
'si'shi'ba'yuan 四十八愿
'si'shi'ji 四誓偈
'si'shi'zhu 四识住
'si'tong'xing 四通行
'si'wei'yi 四威仪
'si'wu'ai'bian 四无碍辩
'si'wu'liang'xin 四无量心
'si'wu'suo'wei 四无所畏
'si'xi'tan 四悉檀
'si'xiang 四相
'si'xiang'si'guo 四向四果
'si'xun'si 四寻思
'si'yi 四依
'si'yi'fa 四依法
'si'yi'qu 四意趣
'si'yin 四印
'si'you 四有
'si'you'wei'xiang 四有为相
'si'yuan 四缘
'si'zheng'jing 四证净
'si'zheng'qin 四正勤
'si'zhi 四智
'si'zhong'da'te'luo 四种怛特罗
'si'zhong'fa 四种法
'si'zhong'hua'yan 四种华严
'si'zhong'man'tu'luo 四种曼荼罗
'su'di 俗谛
'su'po'he 苏婆诃
'su'zhu'tong 宿住通
'sui'fan'nao 随烦恼
'sui'mian 随眠
'sui'xi 随喜
'sui'xin'xing 随信行
'sui'xing 随行
'sui'yuan 随缘
'sui'yuan'zhen'ru 随缘真如
'suo 所
'suo'po 娑婆
'suo'yi 所依
'suo'yuan 所缘
'suo'yuan'yuan 所缘缘
'suo'zhi'zhang 所知障
'ta'li 他力
'ta'xin'tong 他心通
'ta'xin'zhi 他心智
'tai'cang'jie 胎藏界
'tai'nei'wu'wei 胎内五位
'tai'wai'wu'wei 胎外五位
'tan 贪
'tan'zhi 弹指
'tang'ben 塘奔
'ti'hu 醍醐
'tian 天
'tian'bu 天部
'tian'er'tong 天耳通
'tian'gai 天盖
'tian'guan 天冠
'tian'yan'tong 天眼通
'tie'wei'shan 铁围山
'tong'fen 同分
'tong'jiao 同教
'tong'ti'da'bei 同体大悲
'tou 头
'tui'zhuan 退转
'tuo'tai 托胎
'wang'nian 妄念
'wang'ran 妄染
'wang'sheng 往生
'wang'xiang 妄想
'wang'zhi 妄执
'wei'chen 微尘
'wei'shi 唯识
'wei'xin'jing'tu 唯心净土
'wen'si'xiu 闻思修
'wo 我
'wo'fa'er'kong 我法二空
'wo'fa'er'zhi 我法二执
'wo'jian 我见
'wo'kong'fa'you 我空法有
'wo'man 我慢
'wo'suo 我所
'wo'wo'suo'jian 我我所见
'wo'xiang 我相
'wo'zhi 我执
'wu 悟
'wu 无
'wu'bai'da'yuan 五百大愿
'wu'bao 五宝
'wu'biao'se 无表色
'wu'bu 五部
'wu'bu'guan'ding 五部灌顶
'wu'bu'mi'guan 五部祕观
'wu'bu'wei 五怖畏
'wu'bu'zuo 五部座
'wu'chang 无常
'wu'chang'ji 无常偈
'wu'cheng 五乘
'wu'da 五大
'wu'da'yuan 五大愿
'wu'di 五谛
'wu'dun'shi 五钝使
'wu'fa 五法
'wu'fa'cang 五法藏
'wu'fen'bie'zhi 无分别智
'wu'fen'fa'shen 五分法身
'wu'fo'ding 五佛顶
'wu'fo'ding'fa 五佛顶法
'wu'gai 五盖
'wu'gen 五根
'wu'gong'yang 五供养
'wu'gong'yong 无功用
'wu'guan 五观
'wu'guo 五果
'wu'hui 五悔
'wu'ji 无记
'wu'jiao 五教
'wu'jie'tuo'lun 五解脱轮
'wu'jin'cang 无尽藏
'wu'jin'deng 无尽灯
'wu'jing 五净
'wu'jing 五境
'wu'li 五力
'wu'li'shi 五利使
'wu'lou'fa 无漏法
'wu'lou'zhi 无漏智
'wu'lun 五轮
'wu'ming 无明
'wu'mo'zi 五摩字
'wu'nan 五难
'wu'ni 五逆
'wu'pin'di'zi'wei 五品弟子位
'wu'qing'you'xing 无情有性
'wu'qu'sheng'si'lun 五趣生死轮
'wu'qu'yun 五取蕴
'wu'se'jie 无色界
'wu'shan'wu'e 五善五恶
'wu'shang'fen'jie 五上分结
'wu'sheng'fa'ren 无生法忍
'wu'shi 五识
'wu'shi 五时
'wu'shi'ba'jiao 五时八教
'wu'shi'er'shu 五十二数
'wu'shi'er'wei 五十二位
'wu'ti 无体
'wu'tong 五通
'wu'wei 五位
'wu'wei 五味
'wu'wei'bai'fa 五位百法
'wu'wei'fa 无为法
