'a'ba'du'ke 阿巴杜克
'ge'bu'lin'zu'zhang 哥布林族长
'ge'le'wei 格勒威
'ge'li'si'bei'en 格里斯贝恩
'ge'li'ya 哥利亚
'gou'huo 篝火
'gu'dai'ge'li'si'bei'en 古代格里斯贝恩
'gu'dai'lang'ren 古代狼人
'gu'dai'lu'la'ba'da 古代鲁拉巴达
'guang'lu 光鲁
'ha'er'ma 哈尔玛
'ha'ke'xi 哈克西
'ha'pan 哈盘
'ha'wei'deng'te 哈维登特
'hai'gong'gong 海公公
'hai'ji 海基
'hai'mu 海姆
'hei'bei'li 黑贝利
'hei'feng 黑风
'hei'lang'zhu 黑狼蛛
'hei'long 黑龙
'hei'si'ka'de 黑斯卡德
'hong'lang 红狼
'hong'yue 红月
'hong'yue'de'qi'xi 红月的气息
'hong'yue'jing'ling 红月精灵
'hui'jin'bo'jue 灰烬伯爵
'huo'ke 霍克
'ji'ge'lin'te 吉格林特
'ji'ka 吉卡
'ji'li'kan 基里坎
'ji'lu'mi'ge 基鲁米格
'ji'meng 基蒙
'ji'neng 技能
'ji'shuang'ling'zhu 极霜领主
'ji'zi 基兹
'jia'ban'chang 甲板长
'jian'shu'zhu'jiao 剑术助教
'jin'pai 金牌
'jiu'zhi'ban 九指半
'ju'guang'shan 聚光闪
'ju'lian 聚连
'ju'wei 聚围
'ju'xing'zhi'zhu 巨型蜘蛛
'ju'zhu'nv'wang 巨蛛女王
'jue'se 角色
'ka'dan 卡丹
'ka'ke'li'si 卡克里斯
'ka'le'dan'tuo 卡勒丹托
'ka'li'si 卡利斯
'ka'li'tu'si 卡里图斯
'ka'lu 卡卢
'ka'lu 卡鲁
'ka'sa'er 卡萨尔
'ka'sai'er 卡塞尔
'ka'zi'gu'lan 卡兹古兰
'kai'er 铠尔
'kai'yi 凯伊
'kai'zi 凯子
'kan'jie 坎杰
'ke'er 克尔
'ke'la'ken 克拉肯
'ke'lai'er 克莱尔
'ke'lao'ke'lu'ya'he 克劳克鲁亚赫
'ke'lao'yang 克劳杨
'ke'le'si 克勒斯
'ke'lei'ta'ke'lu'nuo 克雷塔科鲁诺
'ke'li'te'zhi'hui'guan 克里特指挥官
'ke'ye'lu 克耶鲁
'ku'han 库汗
'ku'lu 库鲁
'ku'mai'si 库麦斯
'kui'xi'ya 奎西亚
'la'ba'sa'te 拉巴萨特
'la'er'ken 拉尔肯
'la'ge'na 拉格纳
'la'ke 拉克
'la'ke'ou'la 拉克欧拉
'la'ti'ya 拉提雅
'la'xia'na'de 拉夏纳德
'lai'dun 莱顿
'lai'ti 莱缇
'lai'yi'nuo'te'si 莱伊诺特斯
'lan'pei'ji 兰裴基
'lang'ren'bai'fu'zhang 狼人百夫长
'lao'bei 老贝
'lao'la 劳拉
'le'bi'xiu 勒彼修
'lei'biao 雷裱
'lei'ji'na 雷吉纳
'lei'long 雷龙
'lei'xi 蕾希
'lei'yi'si 雷伊斯
'li'si'ta 利斯塔
'lian'dao 镰刀
'liang'ge'yue'liang 两个月亮
'liu'yan 六眼
'long'nv 龙女
'lu'fei'lin 路斐林
'lu'fu'man 鲁夫曼
'lu'la'ba'da 鲁拉巴达
'lu'pa'qi'tu'si 鲁帕奇图斯
'lu'xi'ya 露西亚
'luo'ke'jiao 洛克焦
'luo'mei'er 罗梅尔
'luo'qie'si'te 罗切斯特
'luo'si 螺丝
'ma'er'ji'ao 马尔基奥
'ma'er'kan 马尔坎
'ma'he 玛赫
'ma'lu'jie'te 玛鲁杰特
'ma'sa'ka 马萨卡
'mai'ao'si 麦奥斯
'mei'er 梅尔
'mei'sai'si 梅赛斯
'meng'yan'nv'wang 梦魇女王
'mi'le'de 米勒德
'mi'li 芈璃
'mi'pa'tu 米帕图
'min'jie'zeng'qiang 敏捷增强
'ming'xiang'jing'tong 冥想精通
'miu'er 缪尔
'mo'bi'si 莫比斯
'mo'lang'tai'er 魔狼泰尔
'mo'le'ban 莫勒班
'mo'na'er'ka 莫纳尔卡
'mo'yan'guang'lun 魔焰光轮
'mo'yan'guang'yao 魔焰光耀
'mo'yan'huan'yun 魔烟幻云
'mu'jing'ling'dou'shi'chang 木精灵斗士长
'mu'jing'ling'jing'ying 木精灵精英
'mu'jing'ling'zhan'dou'mo'shu'shi 木精灵战斗魔术师
'mu'si'pei 姆斯佩
'nai'sha 奶莎
'nei'bei'lei'si 内贝雷斯
'nei'wen 内文
'ni'yue'ban'xing 逆月伴星
'ni'yue'ji'xiang 逆月迹象
'nv'yao 女妖
'ou'ku'ku 欧库库
'ou'se'zha'ke 欧瑟扎克
'pa'ke 帕克
'pa'ke'hao 帕克号
'pa'mi'nuo 帕米诺
'pan'tai'wen 潘泰温
'pao'niang 炮娘
'pei'si'te 佩斯特
'pi'fu'zeng'qiang 皮肤增强
'pi'si'te 皮斯特
'po'lun'pu'si 坡伦普斯
'pu'jie'ke'lu'si 普杰克鲁斯
'qi'lun 齐伦
'qi'shi'tuan 骑士团
'qiu'lin 丘鳞
'qiu'nv 球女
'qiu'zhang 酋长
'sa'jia'mu 撒迦姆
'sai'sa'er 塞萨尔
'sai'yi'la 塞伊拉
'sha'mo'ju'xie 沙漠巨蟹
'shan'dian'gong'jue 闪电公爵
'shan'guang'bo'jue 闪光伯爵
'shan'qiu'li'en 杉丘里恩
'sheng'ming'yao'shui'zhuan'jing 生命药水专精
'sheng'ming'yi'zhi 生命意志
'sheng'ming'zeng'qiang 生命增强
'sheng'ming'zhi'shu 生命之树
'shi'kong'niu'qu 时空扭曲
'shi'xue'jun'zhu 嗜血君主
'shi'zi 狮子
'shuang'dao 双刀
'shuang'qiang 双枪
'shun'yue 瞬越
'si'ling'gong'jue 死灵公爵
'si'shen 死神
'si'ting 斯汀
'ta'ao'nu 塔奥努
'ta'la'ta 塔拉塔
'ta'la'tan 塔拉坦
'ta'luo'si 塔罗斯
'tai'sha 泰莎
'tai'tan 泰坦
'tan'ta'nu'si 坦塔努斯
'ti'li'zeng'qiang 体力增强
'tian'ti'ni'zhuan 天体逆转
'tu'ba'na'ke 图巴那克
'tu'la'han 图拉汗
'tu'lao'han 图老汉
'tu'lu'zhi'yue 屠戮之月
'tuo'er 托尔
'wang'mu'mu 王木木
'wei'la 维拉
'wei'li 威利
'wu'lu'ku 乌鲁库
'wu'pin 物品
'wu'xiong'di 五兄弟
'xi'ai'te 希埃特
'xi'bo'lin 西柏林
'xia'ning'sha'ka 夏宁纱卡
'xia'pan 夏盘
'xia'pu 夏普
'xiao'bei 小贝
'xiao'lan'ren 小蓝人
'xie'nian'zhi'hai 邪念之海
'xie'zi 蝎子
'xin'ge'er 辛格尔
'xing'qiong'zhi'zhu'da'shi 星穹之珠大师
'xing'wen'shen'dun 星文神盾
'xu'wu'qin'wang 虚无亲王
'xue'gu'gong'jue 血骨公爵
'xue'lun 雪伦
'xue'mo'ken'guan 血魔啃官
'ya'mo'si 亚莫斯
'ye'er'jia'xiu 叶尔加修
'yi'ba'ke 伊巴克
'yi'bei'ke 伊贝克
'yi'bo'ke 伊博克
'yi'deng'hang'hai'shi 一等航海师
'yi'fei 伊菲
'yi'jie'di'wang 异界帝王
'yi'kai'ke 伊凯克
'yi'ke'li'en 伊克利恩
'yi'ku'ke 伊库克
'yi'lu'ke 伊鲁克
'yi'mei'ke 伊梅克
'yi'mi'ke 伊米克
'yi'mu'ke 伊穆克
'yi'nai'ke 伊奈克
'yi'nuo'ke 伊诺克
'yi'sai'te 伊赛特
'yi'suo'ke 伊索克
'yi'tu'ke 伊图克
'yi'wu'ke 伊乌克
'yi'zhi'zeng'qiang 意志增强
'yi'zi'ke 伊兹克
'yin'ke'si 尹克斯
'you'ke'si 尤克斯
'yue'guang'xing'zhui 月光星坠
'yue'ha'de 约哈德
'yue'ha'nu'si 约哈努斯
'yue'nuo 约诺
'yue'ying'han'gai 月影涵盖
'ze'ka'lai'en 泽卡莱恩
'zha'er'jia 扎尔迦
'zha'ge'na'te 札格纳特
'zha'gu'si 扎古斯
'zha'ka'long 扎卡隆
'zha'mu'luo'fu 扎姆洛夫
'zhan'dou'hu'xi 战斗呼吸
'zhan'dou'jing'tong 战斗精通
'zhan'dou'yi'zhi 战斗意志
'zhang'yu 章鱼
'zhen'shang'zhi'jian 砧上之剑
'zhi'li'zeng'qiang 智力增强
'zhong'ji'jing'tong 重击精通
'zhu'ming'yong'shi 著名勇士
'zhuang'bei 装备
'zui'mo'bo'jue 醉魔伯爵
