'an'hei'chang'ji 暗黑长戟
'tian'ding'jian 天顶剑
'tian'long'zhi'nu 天龙之怒
'tie'duan'jian 铁短剑
'tie'kuo'jian 铁阔剑
'tie'lian'xue'di'zi 铁链血滴子
'tong'duan'jian 铜短剑
'tong'kuo'jian 铜阔剑
'wai'xing'wan'dao 外星弯刀
'wu'duan'jian 钨短剑
'wu'kuan'jian 钨宽剑
'wu'mu'jian 乌木剑
'wu'shi'dao 武士刀
'wu'tou'qi'shi'jian 无头骑士剑
'xi'duan'jian 锡短剑
'xi'kuan'jian 锡宽剑
'xi'xue'gui'dao 吸血鬼刀
'xian'ren'zhang'jian 仙人掌剑
'xiang'jiao'hui'xuan'biao 香蕉回旋镖
'xing'nu 星怒
'xue'mai'qiu 血脉球
'xue'rou'zhi'qiu 血肉之球
'xue'xing'kan'dao 血腥砍刀
'xue'xing'tu'dao 血腥屠刀
'ya'ma'xun'qiu 亚马逊球
'yang'feng'ren 养蜂人
'yang'yan'zhi'nu 阳炎之怒
'yao'shi'jian 钥匙剑
'ye'lie'ci'qiu 叶列茨球
'ye'lv'jun'dao 叶绿军刀
'ye'lv'shuang'ren'dao 叶绿双刃刀
'ye'lv'tang 叶绿镋
'yi'yu'qiu 抑郁球
'yin'duan'jian 银短剑
'yin'kuo'jian 银阔剑
'ying'yong'qiu 英勇球
'yong'heng'zhi'qiang 永恒之枪
'yong'ye'ren 永夜刃
'you'you'qiu 悠悠球
'yu'huo'qiu 狱火球
'yuan'ban'duan'gang'jian 原版断钢剑
'yuan'ban'yong'ye'ren 原版永夜刃
'yun'shi'guang'jian 陨石光剑
'zhen'ye'mu'jian 针叶木剑
'zhen'zhu'mu'jian 珍珠木剑
'zhi'sheng'pao 致胜炮
'zhong'zi'wan'dao 种子弯刀
'zhu'sha'lian'qiu 猪鲨链球
'zi'hui'bang'yu 紫挥棒鱼
'zong'lv'mu'jian 棕榈木剑
