'a'ji'mi'de'luo'xian 阿基米德螺线
'bao'chi'shi'jian 保持时间
'bao'er'dian 鲍尔点
'bao'hu'dian'liu'mi'du 保护电流密度
'bao'hu'dian'wei'fan'wei 保护电位范围
'bao'hu'du 保护度
'bao'hu'xing'qi'fen 保护性气氛
'bao'jiao 包角
'bao'kuo'zui'xiao'guo'ying'deng'yu'ling 包括最小过盈等于零
'bao'kuo'zui'xiao'jian'xi'deng'yu'ling 包括最小间隙等于零
'bao'luo'xian'ji'gou 包络线机构
'bao'shi'zhou'cheng 宝石轴承
'bao'wei'chi'shu 包围齿数
'bao'xing'ping'jian 薄型平键
'bao'xing'qi'gang 薄型气缸
'bao'zha'bo 爆炸波
'bao'zha'shi'zhi'dong'qi 抱闸式制动器
'bei'dui'bei'pei'zhi 背对背配置
'bei'er 贝尔
'bei'mi'feng'jie'zhi 被密封介质
'bei'pin'zhen'dong 倍频振动
'bei'xing'rou'lun 杯形柔轮
'bei'zhui 背锥
'bei'zhui'chi'kuo 背锥齿廓
'bei'zhui'chi'lun 背锥齿轮
'bei'zhui'jiao 背锥角
'bei'zhui'ju 背锥距
'beng'lun 泵轮
'beng'lun'ye'li'zhuan'ju 泵轮液力转矩
'beng'lun'zhuan'ju 泵轮转矩
'bi'de'luo'fu'fang'cheng 彼得罗夫方程
'bi'he'li 闭合力
'bi'huan'kong'zhi'xi'tong 闭环控制系统
'bi'li 比例
'bi'li'chi 比例尺
'bi'li'fa 比例阀
'bi'li'kong'zhi'fa 比例控制阀
'bi'li'liu'liang'fa 比例流量阀
'bi'shi'yun'dong'lian 闭式运动链
'bi'suo'shi'ye'li'ou'he'qi 闭锁式液力偶合器
'bi'suo'ye'li'bian'ju'qi 闭锁液力变矩器
'bi'xing'zhou'cheng 闭型轴承
'bian'fu'xi'shu 变幅系数
'bian'fu'zai'he 变幅载荷
'bian'gang'du'gong'xing'ban'tan'huang 变刚度弓形板弹簧
'bian'gang'du'tuo'yuan'xing'ban'tan'huang 变刚度椭圆形板弹簧
'bian'huan'luo'mu 扁环螺母
'bian'jie'run'hua 边界润滑
'bian'ju'xi'shu 变矩系数
'bian'kuan 边宽
'bian'pin'dian'qi'chuan'dong 变频电气传动
'bian'ping'tou'ban'kong'xin'mao'ding 扁平头半空心铆钉
'bian'ping'tou'mao'ding 扁平头铆钉
'bian'su 变速
'bian'su'bi'xiu'xing'wo'gan'chuan'dong 变速比修形蜗杆传动
'bian'su'qi 变速器
'bian'wei 变位
'bian'wei'chi'lun 变位齿轮
'bian'wei'chi'lun'fu 变位齿轮副
'bian'wei'xi'shu 变位系数
'bian'wei'yuan'zhu'wo'gan'chuan'dong 变位圆柱蜗杆传动
'bian'xing'liang 变形量
'bian'yuan'tou'ban'kong'xin'mao'ding 扁圆头半空心铆钉
'bian'yuan'tou'gu'ding'luo'shuan 扁圆头固定螺栓
'bian'yuan'tou'mao'ding 扁圆头铆钉
'bian'zai'he 变载荷
'bian'zhi'liang'xi'tong 变质量系统
'bian'zhi'ping'dai 编织平带
'bian'zhi'xing'shi 编织形式
'biao'cheng'chong'ji'mai'chong 标称冲击脉冲
'biao'ding'zhi'liang 标定质量
'biao'ding'zhuan'ju 标定转矩
'biao'gao'tou'ying 标高投影
'biao'ge'tu 表格图
'biao'ju'chang'du 标距长度
'biao'jue'xi'tong 表决系统
'biao'mian'cu'cao'du 表面粗糙度
'biao'mian'huo'xing'ji 表面活性剂
'biao'mian'jia'gong'xi'shu 表面加工系数
'biao'mian'qiang'hua'xi'shu 表面强化系数
'biao'mian'xing'mao 表面形貌
'biao'mian'ying'hua 表面硬化
'biao'pai'mao'ding 标牌铆钉
'biao'ti'lan 标题栏
'biao'tu 表图
'biao'zheng'can'shu 表征参数
'biao'zhun'chi'lun 标准齿轮
'biao'zhun'gong'cha 标准公差
'biao'zhun'shou'suo'chi'zhui'chi'lun 标准收缩齿锥齿轮
'biao'zhun'yuan'zhu'wo'gan'chuan'dong 标准圆柱蜗杆传动
'biao'zhun'zhong'xin'ju 标准中心距
'bin'e'gu'ti 宾厄固体
'bing'lian'xi'tong 并联系统
'bo'dong'bi 波动比
'bo'fa'sheng'qi 波发生器
'bo'fa'sheng'qi'chang'zhou 波发生器长轴
'bo'fa'sheng'qi'duan'zhou 波发生器短轴
'bo'fa'sheng'qi'mei'zhuan 波发生器每转
'bo'gao 波高
'bo'gao'xi'shu 波高系数
'bo'luo 剥落
'bo'mo'run'hua 薄膜润滑
'bo'shi 剥蚀
'bo'shu 波数
'bo'wen'guan 波纹管
'bo'wen'guan'lian'zhou'qi 波纹管联轴器
'bo'wen'guan'zuo 波纹管座
'bo'wen'shou'lun 波纹手轮
'bo'wen'yuan'lun'yuan'shou'lun 波纹圆轮缘手轮
'bo'xing'tan'xing'dian'quan 波形弹性垫圈
'bo'zhuang'bian'xing 波状变形
'bu'chang'huan 补偿环
'bu'chang'huan'zu'jian 补偿环组件
'bu'chang'huan'zuo 补偿环座
'bu'chang'qi 补偿器
'bu'chang'xi'tong 补偿系统
'bu'chang'ya'li 补偿压力
'bu'chang'zuo'yong 补偿作用
'bu'dui'chen'xun'huan 不对称循环
'bu'fen'gu'zhang 部分故障
'bu'fen'shi'xiao 部分失效
'bu'jian 部件
'bu'jin'dian'qi'chuan'dong 步进电气传动
'bu'jin'yun'dong'ji'gou 步进运动机构
'bu'ke'kao'du 不可靠度
'bu'ke'ni'dian'qi'chuan'dong 不可逆电气传动
'bu'ping'heng 不平衡
'bu'ping'heng'du 不平衡度
'bu'ping'heng'li 不平衡力
'bu'ping'heng'li'ju 不平衡力矩
'bu'ping'heng'li'ou 不平衡力偶
'bu'ping'heng'liang 不平衡量
'bu'ping'heng'ling'min'du 不平衡灵敏度
'bu'ping'heng'shi'liang 不平衡矢量
'bu'ping'heng'xiang'jiao 不平衡相角
'bu'ping'heng'xiang'wei 不平衡相位
'bu'ping'heng'zhi'liang 不平衡质量
'bu'wan'quan'chi'lun'ji'gou 不完全齿轮机构
'bu'wan'zheng'luo'wen 不完整螺纹
'bu'xiu'li'de'chan'pin 不修理的产品
'ca'shang 擦伤
'cai'liao 材料
'can'shu'zhen'dong 参数振动
'cao'jiao 槽角
'cao'kuan 槽宽
'cao'kuan'ban'jiao 槽宽半角
'cao'lun 槽轮
'cao'lun'ji'gou 槽轮机构
'cao'tu 草图
'cao'xiao 槽销
'cao'zong'li'he'qi 操纵离合器
'ce'liang'dai'lun 测量带轮
'ce'liang'dai'lun'de'chi'ce'jian'xi 测量带轮的齿侧间隙
'ce'liang'gao'chu'du 测量高出度
'ce'liang'ping'mian 测量平面
'ce'liang'ping'mian'huo'jiao'zheng'ping'mian 测量平面或校正平面
'ce'mian'dai'kong'yuan'luo'mu 侧面带孔圆螺母
'ce'mian'kai'cao'yuan'luo'mu 侧面开槽圆螺母
'ce'wan'lian 侧弯链
'ceng'jian'fu'shi 层间腐蚀
'ceng'zhuang'xiang'jiao'tan'huang 层状橡胶弹簧
'cha'dong'ji'gou 差动机构
'cha'dong'luo'xuan'ji'gou 差动螺旋机构
'cha'yi'chong'qi'dian'chi 差异充气电池
'cha'zhuang'fa 插装阀
'chan'xing'chi'lun 产形齿轮
'chan'xing'chi'mian 产形齿面
'chan'xing'chi'tiao 产形齿条
'chan'zhen 颤振
'chang'bi'zhi'dong'qi 常闭制动器
'chang'fu'bai'xian 长幅摆线
'chang'fu'nei'bai'xian 长幅内摆线
'chang'fu'wai'bai'xian 长幅外摆线
'chang'fu'xi'shu 长幅系数
'chang'gui'shi'yan'fa 常规试验法
'chang'gui'shi'yan'shai'zu 常规试验筛组
'chang'he'li'he'qi 常合离合器
'chang'jing'fa'lan 长径法兰
'chang'kai'li'he'qi 常开离合器
'chang'kai'zhi'dong'qi 常开制动器
'chang'shou'bing'tao 长手柄套
'chang'zhou'ban'jing 长轴半径
'chao'tong'bu'chuan'ji'dian'qi'chuan'dong 超同步串级电气传动
'chao'yue'li'he'qi 超越离合器
'che'zi 掣子
'chen'huan'fa'lan 衬环法兰
'chen'ji'wu'fu'shi 沉积物腐蚀
'chen'tao'shi'xiang'jiao'tan'huang 衬套式橡胶弹簧
'chen'tou'ban'kong'xin'mao'ding 沉头半空心铆钉
'chen'tou'cao'xiao 沉头槽销
'chen'tou'dai'sun'luo'shuan 沉头带榫螺栓
'chen'tou'mao'ding 沉头铆钉
'cheng'dui'an'zhuang 成对安装
'cheng'huan 撑环
'cheng'jiao 撑角
'cheng'ya'pan 承压盘
'cheng'zai'mian'ji 承载面积
'cheng'zu'shi'yan'fa 成组试验法
'chi'cao 齿槽
'chi'cao'di'kuan 齿槽底宽
'chi'cao'di'mian 齿槽底面
'chi'cao'jiao 齿槽角
'chi'cao'shen 齿槽深
'chi'cun 尺寸
'chi'cun'gong'cha 尺寸公差
'chi'cun'gong'cha'dai 尺寸公差带
'chi'cun'pian'cha 尺寸偏差
'chi'cun'xi'lie 尺寸系列
'chi'cun'xi'shu 尺寸系数
'chi'ding 齿顶
'chi'ding'gao 齿顶高
'chi'ding'jiao 齿顶角
'chi'ding'kuan 齿顶宽
'chi'ding'mian 齿顶面
'chi'ding'qu'mian 齿顶曲面
'chi'ding'xian 齿顶线
'chi'ding'yuan 齿顶圆
'chi'ding'yuan'jiao'ban'jing 齿顶圆角半径
'chi'ding'yuan'zhi'jing 齿顶圆直径
'chi'ding'yuan'zhu'mian 齿顶圆柱面
'chi'ding'yuan'zhui'mian 齿顶圆锥面
'chi'duan'xiu'bo 齿端修薄
'chi'gao 齿高
'chi'gen'gao 齿根高
'chi'gen'guo'du'qu'mian 齿根过渡曲面
'chi'gen'hou 齿根厚
'chi'gen'jiao 齿根角
'chi'gen'qu'mian 齿根曲面
'chi'gen'xian 齿根线
'chi'gen'yuan 齿根圆
'chi'gen'yuan'jiao'ban'jing 齿根圆角半径
'chi'gen'yuan'zhi'jing 齿根圆直径
'chi'gen'yuan'zhu'mian 齿根圆柱面
'chi'gen'yuan'zhui'mian 齿根圆锥面
'chi'hou 齿厚
'chi'hou'ban'jiao 齿厚半角
'chi'jiao 齿角
'chi'jiu'gu'zhang 持久故障
'chi'ju 齿距
'chi'kuan 齿宽
'chi'kuan'jiao 齿宽角
'chi'kuan'xi'shu 齿宽系数
'chi'kuo 齿廓
'chi'kuo'chong'die'gan'she 齿廓重叠干涉
'chi'kuo'xiu'xing 齿廓修形
'chi'leng 齿棱
'chi'lun 齿轮
'chi'lun'beng 齿轮泵
'chi'lun'cheng'zai'neng'li 齿轮承载能力
'chi'lun'chuan'dong 齿轮传动
'chi'lun'fu 齿轮副
'chi'lun'xi 齿轮系
'chi'mian 齿面
'chi'nie'shi'lian'jie 齿啮式联接
'chi'shi'lian'zhou'qi 齿式联轴器
'chi'shu 齿数
'chi'shu'bi 齿数比
'chi'tiao 齿条
'chi'xian 齿线
'chi'xian'pian'yi'liang 齿线偏移量
'chi'xiang'xiu'xing 齿向修形
'chi'xing'jiao 齿形角
'chi'xing'li'he'qi 齿形离合器
'chi'xing'lian 齿形链
'chi'zhen 弛振
'chi'zhi'hui'xian 迟滞回线
'chong'fu'xing'shi'xiao 重复性失效
'chong'ji'bo 冲击波
'chong'ji'ji'li 冲击激励
'chong'ji'jin'shi 冲击浸蚀
'chong'ji'mai'chong 冲击脉冲
'chong'ji'mai'chong'chi'xu'shi'jian 冲击脉冲持续时间
'chong'ji'mai'chong'de'biao'cheng'zhi 冲击脉冲的标称值
'chong'ji'pu 冲击谱
'chong'ji'shi'yan 冲击试验
'chong'ji'sun'shi 冲击损失
'chong'ji'xiang'ying'pu 冲击响应谱
'chong'ji'yun'dong 冲击运动
'chong'jiao 冲角
'chong'kong'mian 冲孔面
'chong'li 冲力
'chong'liang 冲量
'chong'ya'fang'luo'mu 冲压方螺母
'chong'ye'liang 充液量
'chong'ye'lv 充液率
'chou'du 稠度
'chu'bian'cai'liao 触变材料
'chu'bian'xing 触变性
'chu'la'li 初拉力
'chu'shi'bo'shi 初始剥蚀
'chu'shi'bu'ping'heng 初始不平衡
'chu'shi'dian'shi 初始点蚀
'chu'shi'jiao'ge'bian'xing'liang 初始角蛤变形量
'chu'shi'jiao'ge'zai'he 初始角蛤载荷
'chu'shi'sun'shang'chi'cun 初始损伤尺寸
'chu'shi'zhen'dong 初始振动
'chu'you'guo'lv'qi 除油过滤器
'chuan'di'dao'na 传递导纳
'chuan'di'han'shu 传递函数
'chuan'di'zu'kang 传递阻抗
'chuan'dong 传动
'chuan'dong'bi 传动比
'chuan'dong'dai 传动带
'chuan'dong'gun'zhu'si'gang'fu 传动滚珠丝杠副
'chuan'dong'jing'du 传动精度
'chuan'dong'lian 传动链
'chuan'dong'wu'cha 传动误差
'chuan'dong'zuo 传动座
'chuan'ji'dian'qi'chuan'dong 串级电气传动
'chuan'jing'po'lie 穿晶破裂
'chuan'kong'ban 穿孔板
'chuan'lian'ji'xie'mi'feng 串联机械密封
'chuan'lian'pei'zhi 串联配置
'chuan'lian'xi'tong 串联系统
'chui'ji'mo'sun 锤击磨损
'chui'zhi'zhi'dong 垂直制动
'ci'e 磁轭
'ci'fen 磁粉
'ci'fen'li'he'qi 磁粉离合器
'ci'fen'zhi'dong'qi 磁粉制动器
'ci'li'ji'xie'mi'feng 磁力机械密封
'ci'li'zhou'cheng 磁力轴承
'ci'liu'ti'dong'li'run'hua 磁流体动力润滑
'ci'zhi'zhi'dong'qi 磁滞制动器
'cong'chan'pin'she'ji'kai'shi 从产品设计开始
'cong'dong'bu'jian 从动部件
'cong'dong'chi'lun 从动齿轮
'cong'dong'dai'lun 从动带轮
'cong'dong'jian 从动件
'cong'dong'lian'lun 从动链轮
'cong'dong'lun 从动轮
'cong'ti 从蹄
'cong'ti'zhi'dong'qi 从蹄制动器
'da'bian'yuan'tou'ban'kong'xin'mao'ding 大扁圆头半空心铆钉
'da'bian'yuan'tou'mao'ding 大扁圆头铆钉
'da'chi'lun 大齿轮
'da'duan'luo'xuan'jiao 大端螺旋角
'da'gun'zi 大滚子
'da'jing 大径
'da'jing'jian'xi 大径间隙
'da'liu'ban 大溜板
'da'liu'jiao'luo'mu 大六角螺母
'da'qi'bao'lu'shi'yan 大气暴露试验
'da'qi'fu'shi 大气腐蚀
'dai'bian'gun'zi 带边滚子
'dai'chang 带长
'dai'chi 带齿
'dai'chuan'dong 带传动
'dai'fu'jian'de'gun'zi'lian 带附件的滚子链
'dai'gao 带高
'dai'he 带和
'dai'huo'zhai 带或窄
'dai'jian'xiao'zhou 带肩销轴
'dai'jie'ju 带节距
'dai'jing'cheng'han'fa'lan 带颈承焊法兰
'dai'jing'ping'han'fa'lan 带颈平焊法兰
'dai'kong'xiao 带孔销
'dai'kong'xin'xiao'zhou'de'gun'zi'lian 带空心销轴的滚子链
'dai'kuan 带宽
'dai'lun'gu'lian'lun 带轮毂链轮
'dai'shi'zhi'dong'qi 带式制动器
'dai'su 带速
'dai'ti'dian'quan 代替垫圈
'dai'tui'dao'cao'de'luo'zhu 带退刀槽的螺柱
'dai'yong'luo'shuan 带用螺栓
'dan'bai 单摆
'dan'bian'kong'cheng 弹变空程
'dan'bing'dui'zhong'shou'bing 单柄对重手柄
'dan'bo 单波
'dan'ceng'hua'dong'zhou'cheng 单层滑动轴承
'dan'ceng'zhou'tao 单层轴套
'dan'ceng'zhou'wa 单层轴瓦
'dan'dao'cheng'yuan'zhu'wo'gan 单导程圆柱蜗杆
'dan'dian'shi'yan'fa 单点试验法
'dan'duan'mian'ji'xie'mi'feng 单端面机械密封
'dan'er'zhi'dong'dian'quan 单耳止动垫圈
'dan'huan'ji'gou 单环机构
'dan'ji'xie'bo'chi'lun'chuan'dong 单级谐波齿轮传动
'dan'ji'xing'xing'chi'lun'xi 单级行星齿轮系
'dan'lie'zhou'cheng 单列轴承
'dan'mian 单面
'dan'mian'dao'jiao'ping'dian'quan 单面倒角平垫圈
'dan'pai'gun'zi'lian 单排滚子链
'dan'pai'lian'lun 单排链轮
'dan'pian'hu'gao 单片弧高
'dan'qiang'ye'li'ou'he'qi 单腔液力偶合器
'dan'tan'huang'shi'ji'xie'mi'feng 单弹簧式机械密封
'dan'ti'zhi'dong'qi 单蹄制动器
'dan'ting'xie'yun'dong 单停歇运动
'dan'wei'mai'chong'xiang'ying'han'shu 单位脉冲响应函数
'dan'wei'mo'ca'gong 单位摩擦功
'dan'wei'mo'ca'gong'lv 单位摩擦功率
'dan'xian'gun'zhu'si'gang'fu 单线滚珠丝杠副
'dan'xian'luo'wen 单线螺纹
'dan'xiang'fa 单向阀
'dan'xiang'jie'liu'fa 单向节流阀
'dan'xiang'li'he'qi 单向离合器
'dan'xiang'tui'li'zhou'cheng 单向推力轴承
'dan'xiang'zhi'dong'qi 单向制动器
'dan'yuan'hu'chi'lun 单圆弧齿轮
'dan'zi'you'du'ji'gou 单自由度机构
'dan'zi'you'du'xi'tong 单自由度系统
'dang'bo'fa'sheng'qi'mei'zhuan 当波发生器每转
'dang'ke'kao'du 当可靠度
'dang'kuai 档块
'dang'liang'chi'lun 当量齿轮
'dang'liang'chi'shu 当量齿数
'dang'liang'mo'ca'ban'jing 当量摩擦半径
'dang'liang'mo'ca'xi'shu 当量摩擦系数
'dang'liang'yuan'zhu'chi'lun'fu 当量圆柱齿轮副
'dang'liang'zai'he 当量载荷
'dang'quan 挡圈
'dang'yi 当以
'dang'yun'dong'bu'jian 当运动部件
'dao'che'chi'mian 倒车齿面
'dao'cheng 导程
'dao'cheng'jiao 导程角
'dao'cheng'lei'ji'wu'cha 导程累积误差
'dao'cheng'pian'cha 导程偏差
'dao'gan 导杆
'dao'gan'ji'gou 导杆机构
'dao'guan 导管
'dao'guan'kai'du 导管开度
'dao'guan'sun'shi 导管损失
'dao'gui 导轨
'dao'kou'fu'shi 刀口腐蚀
'dao'kuai 导块
'dao'lun 导轮
'dao'lun'ye'li'zhuan'ju 导轮液力转矩
'dao'xiang'ping'jian 导向平键
'deng'fu'shi'xian 等腐蚀线
'deng'gang'du'gong'xing'ban'tan'huang 等刚度弓形板弹簧
'deng'gang'du'tuo'yuan'xing'ban'tan'huang 等刚度椭圆形板弹簧
'deng'gao'chi'hu'chi'zhui'chi'lun 等高齿弧齿锥齿轮
'deng'jing'tu'lun 等径凸轮
'deng'ju'qu'xian 等距曲线
'deng'ju'xiu'xing 等距修形
'deng'kuan'tu'lun 等宽凸轮
'deng'shou'ming'qu'xian 等寿命曲线
'deng'su'yun'dong'gui'ji 等速运动轨迹
'deng'xiao'gou'jian 等效构件
'deng'xiao'li 等效力
'deng'xiao'li'ju 等效力矩
'deng'xiao'li'xi 等效力系
'deng'xiao'xi'tong 等效系统
'deng'xiao'zhi'liang 等效质量
'deng'xiao'zhuan'dong'guan'liang 等效转动惯量
'di'bei'ya'shi'ji'xie'mi'feng 低背压式机械密封
'di'fu 低副
'di'fu'ji'gou 低副机构
'di'fu'yun'dong'lian 低副运动链
'di'jiao'luo'mu 地脚螺母
'di'jiao'luo'shuan 地脚螺栓
'di'jing 底径
'di'san'jiao'hua'fa 第三角画法
'di'shi'jian 底事件
'di'tu 底图
'di'wen'pi'lao 低温疲劳
'di'yi'jiao'hua'fa 第一角画法
'di'you'run'hua 滴油润滑
'di'zhou'pi'lao 低周疲劳
'dian'bo'shi 电剥蚀
'dian'ci'fa 电磁阀
'dian'ci'huan'xiang'fa 电磁换向阀
'dian'ci'li'he'qi 电磁离合器
'dian'ci'shi'bo'fa'sheng'qi 电磁式波发生器
'dian'ci'wo'liu'zhi'dong'qi 电磁涡流制动器
'dian'ci'zhi'dong'qi 电磁制动器
'dian'di'fu'shi'shi'yan 点滴腐蚀试验
'dian'hua'xue'bao'hu 电化学保护
'dian'hua'xue'fu'shi 电化学腐蚀
'dian'li'tuo'dong 电力拖动
'dian'lu'tu 电路图
'dian'ou'fu'shi 电偶腐蚀
'dian'ou'xu 电偶序
'dian'qi 电气
'dian'qi'chuan'dong 电气传动
'dian'quan 垫圈
'dian'quan'gao'du 垫圈高度
'dian'shi 点蚀
'dian'shi'dian'wei 点蚀电位
'dian'shi'xi'shu 点蚀系数
'diao'huan'luo'ding 吊环螺钉
'diao'huan'luo'mu 吊环螺母
'die'huang'nei'zhui'gao 碟簧内锥高
'die'xing'luo'ding 蝶形螺钉
'die'xing'tan'huang 碟形弹簧
'ding'gen'ju 顶根距
'ding'jing 顶径
'ding'kuan 顶宽
'ding'shi'jian 顶事件
'ding'shun'xin'xian 定瞬心线
'ding'shun'zhou'mian 定瞬轴面
'ding'wei'ba'shou 定位把手
'ding'wei'gong'cha 定位公差
'ding'wei'gun'zhu'si'gang'fu 定位滚珠丝杠副
'ding'wei'mian 定位面
'ding'wei'shou'bing 定位手柄
'ding'wei'shou'bing'gan 定位手柄杆
'ding'wei'shou'bing'zuo 定位手柄座
'ding'xi 顶隙
'ding'xiang'gong'cha 定向公差
'ding'yuan 顶圆
'ding'yuan'nie'he 顶缘啮合
'ding'yuan'zhi'jing 顶圆直径
'ding'zhuan'ju'shi'yan 定转矩试验
'ding'zhuan'su'shi'yan 定转速试验
'ding'zhui 顶锥
'ding'zhui'jiao'ji'gen'zhui'jiao'jun'wei 顶锥角及根锥角均为
'ding'zhui'jiao'wei 顶锥角为
'dong'bu'ping'heng 动不平衡
'dong'fan'li 动反力
'dong'gang'du 动刚度
'dong'jing'ya'hun'he'zhou'cheng 动静压混合轴承
'dong'li'duo'xiang'shi'tu'lun 动力多项式凸轮
'dong'li'xiang'si 动力相似
'dong'lian'jie 动联接
'dong'mo'ca 动摩擦
'dong'mo'ca'li 动摩擦力
'dong'mo'ca'li'ju 动摩擦力矩
'dong'mo'ca'xi'shu 动摩擦系数
'dong'shun'xin'xian 动瞬心线
'dong'shun'zhou'mian 动瞬轴面
'dong'tai'xi'tong 动态系统
'dong'ya'li 动压力
'dong'zai'he 动载荷
'dong'zai'hua'dong'zhou'cheng 动载滑动轴承
'dou'ban 痘斑
'du'se 堵塞
'duan'cao'chen'tou'luo'ding 锻槽沉头螺钉
'duan'fu'bai'xian 短幅摆线
'duan'fu'nei'bai'xian 短幅内摆线
'duan'fu'wai'bai'xian 短幅外摆线
'duan'fu'xi'shu 短幅系数
'duan'jie'ju'gun'zi'lian 短节距滚子链
'duan'lie'li'xue'fen'xi 断裂力学分析
'duan'lie'ren'du 断裂韧度
'duan'lie'ren'xing 断裂韧性
'duan'mian'chi'cao'kuan 端面齿槽宽
'duan'mian'chi'hou 端面齿厚
'duan'mian'chi'ju 端面齿距
'duan'mian'chi'kuo 端面齿廓
'duan'mian'chi'lun 端面齿轮
'duan'mian'chong'he'du 端面重合度
'duan'mian'dai'kong'yuan'luo'mu 端面带孔圆螺母
'duan'mian'mo'shu 端面模数
'duan'mian'nie'he'xian 端面啮合线
'duan'mian'tu'lun 端面凸轮
'duan'mian'xian'chi'hou 端面弦齿厚
'duan'mian'xie'bo'chi'lun'chuan'dong 端面谐波齿轮传动
'duan'mian'ya'li'jiao 端面压力角
'duan'mian'ya'qiang 端面压强
'duan'mian'zuo'yong'hu 端面作用弧
'duan'mian'zuo'yong'jiao 端面作用角
'duan'ping'mian 端平面
'duan'zhou'ban'jing 短轴半径
'dui'chen'san'jiao'xing'chong'ji'mai'chong 对称三角形冲击脉冲
'dui'chen'xun'huan 对称循环
'dui'chen'yun'dong'gui'ji 对称运动轨迹
'dui'han'fa'lan 对焊法兰
'dui'han'huan'song'tao'dai'jing'fa'lan 对焊环松套带颈法兰
'dui'ou'cai'liao 对偶材料
'dui'ou'jian 对偶件
'dui'xin'qu'bing'hua'kuai'ji'gou 对心曲柄滑块机构
'dui'xin'zhi'dong'cong'dong'jian 对心直动从动件
'dui'yu'wu'zu'ni'de'zhuan'zi 对于无阻尼的转子
'dun'hua 钝化
'dun'tai 钝态
'dun'tai'dian'liu 钝态电流
'dun'xing 钝性
'duo'ceng'hua'dong'zhou'cheng 多层滑动轴承
'duo'ceng'jin'shu'zhou'cheng 多层金属轴承
'duo'ceng'zhou'tao 多层轴套
'duo'ceng'zhou'wa 多层轴瓦
'duo'chong'pi'lao 多冲疲劳
'duo'gu'luo'xuan'tan'huang 多股螺旋弹簧
'duo'huan'ji'gou 多环机构
'duo'ji'xie'bo'chi'lun'chuan'dong 多级谐波齿轮传动
'duo'ji'xing'xing'chi'lun'xi 多级行星齿轮系
'duo'jiao'xing'xiang'jiao'lian'zhou'qi 多角形橡胶联轴器
'duo'kong'zhi'zhou'cheng 多孔质轴承
'duo'lie'zhou'cheng 多列轴承
'duo'mian'ping'heng 多面平衡
'duo'pai'gun'zi'lian 多排滚子链
'duo'pai'lian'lun 多排链轮
'duo'tan'huang'shi'ji'xie'mi'feng 多弹簧式机械密封
'duo'xian'luo'wen 多线螺纹
'duo'xiang'shi'yun'dong'gui'ji 多项式运动轨迹
'duo'xie'dai 多楔带
'duo'xie'hua'dong'zhou'cheng 多楔滑动轴承
'duo'you'xie'zhou'cheng 多油楔轴承
'duo'you'ye'zhou'cheng 多油叶轴承
'duo'zi'you'du'ji'gou 多自由度机构
'duo'zi'you'du'xi'tong 多自由度系统
'e'ding 额定
'e'ding'hao'qi'liang 额定耗气量
'e'ding'shou'ming 额定寿命
'e'ding'zhuan'su 额定转速
'fa'han 发汗
'fa'lan 法兰
'fa'ping'mian 法平面
'fa'sheng'yuan'zhi'jing 发生圆直径
'fa'sheng'yuan'zhu'mian 发生圆柱面
'fa'xiang'cao'kuan 法向槽宽
'fa'xiang'ce'xi 法向侧隙
