'an'hui'hui'shang 安徽徽商
'chi'cang'liang 持仓量
'chi'cang'liang'zeng'jia 持仓量增加
'chi'cang'xian'e 持仓限额
'chi'you'zhi'dao'qi'tou'zi 持有至到期投资
'chong'gao 冲高
'chong'guo 冲过
'chong'po 冲破
'chong'qing'shi'zheng'quan'qi'huo'ye'xie'hui 重庆市证券期货业协会
'chong'qing'xian'rong 重庆先融
'chong'qing'xian'rong'qi'huo'jing'ji'you'xian'gong'si 重庆先融期货经纪有限公司
'chong'qing'xin'fu 重庆新涪
'chu'ju 出局
'chu'shi'bao'zheng'jin 初始保证金
'chuang'di 创低
'chuang'gao 创高
'chuang'yuan 创元
'chuang'yuan'qi'huo 创元期货
'chuang'yuan'qi'huo'jing'ji'you'xian'gong'si 创元期货经纪有限公司
'chui'zhi'tao'qi'tu'li 垂直套期图利
'ci'di 次低
'ci'gao 次高
'cun'chu'bao'zheng'jin 存出保证金
'cuo'he'cheng'jiao 撮合成交
'da'ban'zheng'quan'jiao'yi'suo 大阪证券交易所
'da'di 大地
'da'di'qi'huo 大地期货
'da'hu'bao'gao'zhi'du 大户报告制度
'da'hua 大华
'da'hua'qi'huo 大华期货
'da'hua'qi'huo'you'xian'gong'si 大华期货有限公司
'da'lian'liang'yun 大连良运
'da'lian'liang'yun'qi'huo'jing'ji'you'xian'gong'si 大连良运期货经纪有限公司
'da'lian'shang'pin'jiao'yi'suo 大连商品交易所
'da'lian'shi'zheng'quan'qi'huo'ye'xie'hui 大连市证券期货业协会
'da'shang'suo 大商所
'da'tong 大通
'da'tong'qi'huo 大通期货
'da'tong'qi'huo'jing'ji'you'xian'gong'si 大通期货经纪有限公司
'da'you'qi'huo 大有期货
'da'you'qi'huo'you'xian'gong'si 大有期货有限公司
'da'yue 大越
'da'yue'qi'huo 大越期货
'dan'bian'shang'zhang 单边上涨
'dan'bian'shi 单边势
'dan'bian'shi 单边市
'dan'bian'xia'die 单边下跌
'dan'hao 单号
'dang'qi 当期
'dang'ri'jiao'yi 当日交易
'dang'ri'jie'suan 当日结算
'dang'ri'wu'fu'zhai'jie'suan'zhi'du 当日无负债结算制度
'dao'cang 倒仓
'dao'tong 道通
'dao'tong'qi'huo 道通期货
'dao'tong'qi'huo'jing'ji'you'xian'gong'si 道通期货经纪有限公司
'de'bang 德邦
'de'bang'qi'huo 德邦期货
'de'bang'qi'huo'you'xian'gong'si 德邦期货有限公司
'de'sheng 德盛
'de'sheng'qi'huo 德盛期货
'de'sheng'qi'huo'jing'ji'you'xian'gong'si 德盛期货经纪有限公司
'di'dian 低点
'di'pan 递盘
'di'yan'suo'de'shui'fu'zhai 递延所得税负债
'di'yan'suo'de'shui'zi'chan 递延所得税资产
'di'yi'chuang'ye 第一创业
'di'yi'chuang'ye'qi'huo'you'xian'ze'ren'gong'si 第一创业期货有限责任公司
'diao'qi'he'yue 掉期合约
'die'shi 跌势
'die'shi'tao'qi'tu'li 蝶式套期图利
'die'ting'ban'e 跌停板额
'die'zhang'die'die 跌涨跌跌
'dong'hai 东海
'dong'hai'qi'huo 东海期货
'dong'hai'qi'huo'you'xian'ze'ren'gong'si 东海期货有限责任公司
'dong'hang 东航
'dong'hang'qi'huo 东航期货
'dong'hang'qi'huo'jing'ji'you'xian'ze'ren'gong'si 东航期货经纪有限责任公司
'dong'hua 东华
'dong'jing'gong'ye'pin'jiao'yi'suo 东京工业品交易所
'dong'jing'gu'wu'jiao'yi'suo 东京谷物交易所
'dong'jing'jin'rong'jiao'yi'suo 东京金融交易所
'dong'jing'zheng'quan'jiao'yi'suo 东京证券交易所
'dong'shi'hui 董事会
'dong'wu 东吴
'dong'wu'qi'huo 东吴期货
'dong'wu'qi'huo'you'xian'gong'si 东吴期货有限公司
'dong'xing 东兴
'dong'xing'qi'huo 东兴期货
'dong'xing'qi'huo'you'xian'ze'ren'gong'si 东兴期货有限责任公司
'dong'ya 东亚
'dong'ya'qi'huo 东亚期货
'dong'zheng 东证
'dong'zheng'qi'huo 东证期货
'dou'po 豆粕
'dou'po'zhi'shu 豆粕指数
'dou'po'zhu'li 豆粕主力
'dou'yi 豆一
'dou'yi'zhi'shu 豆一指数
'dou'yi'zhu'li 豆一主力
'dou'you 豆油
'dou'you'zhi'shu 豆油指数
'dou'you'zhu'li 豆油主力
'duan'chao 短炒
'duan'duo'ping'cang 短多平仓
'duan'kong'ping'cang 短空平仓
'duan'qi'jie'kuan 短期借款
'duan'que 短缺
'duan'shi 短视
'duan'xian 短线
'duan'xian'jiao'yi 短线交易
'dui'chong 对冲
'dui'chong'zhe 对冲者
'dui'qiao 对敲
'duo'bi'kong 多逼空
'duo'dan 多单
'duo'dan'ping'cang 多单平仓
'duo'huan 多换
'duo'kai 多开
'duo'ping 多平
'duo'tou 多头
'duo'tou'huan'shou 多头换手
'duo'tou'jiao'yi 多头交易
'duo'tou'kai'cang 多头开仓
'duo'tou'ping'cang 多头平仓
'duo'tou'shi'chang 多头市场
'duo'tou'tao'qi'bao'zhi 多头套期保值
'duo'tou'tou'cun 多头头寸
'fan'xiang'shi'chang 反向市场
'fan'zhuan 反转
'fang'zhen'jiao'yi'xi'tong 仿真交易系统
'fang'zheng 方正
'fang'zheng'qi'huo 方正期货
'fang'zheng'qi'huo'you'xian'gong'si 方正期货有限公司
'fei'shi 费氏
'fei'shi'bi'lv 费氏比率
'fei'shi'shi'jian 费氏时间
'fei'shi'shi'kong 费氏时空
'fei'shi'shu 费氏数
'fei'shi'xian 费氏线
'fei'zheng'shi'hui'yuan'zi'ge 非正式会员资格
'fen'cang 分仓
'fen'shi'tu 分时图
'fu'jian'sheng'zheng'quan'qi'huo'ye'xie'hui 福建省证券期货业协会
'fu'yuan 富远
'fu'zhai'he'ji 负债合计
'fu'zhai'he'suo'you'zhe'quan'yi'zong'ji 负债和所有者权益总计
'gan'su'long'da 甘肃陇达
'gan'su'long'da'qi'huo'jing'ji'you'xian'gong'si 甘肃陇达期货经纪有限公司
'gan'su'zheng'quan'qi'huo'ye'xie'hui 甘肃证券期货业协会
'gang'tie'xian'huo'bao'jia 钢铁现货报价
'gang'zhi'jia 钢之家
'gang'zhi'yuan'gang'cai'dian'zi'pan'bao'jia 钢之源钢材电子盘报价
'gao'di'dian 高低点
'gao'dian 高点
'gao'ji'ke'hu'jing'li 高级客户经理
'gao'wei 高位
'ge'lin 格林
'ge'lin'qi'huo 格林期货
'ge'lin'qi'huo'you'xian'gong'si 格林期货有限公司
'ge'ye 隔夜
'gong'gei'fen'xi 共给分析
'gong'si'bao'zheng'jin 公司保证金
'gong'zhen 共震
'gu'ding'zi'chan 固定资产
'gu'piao'zhi'shu 股票指数
'gu'piao'zhi'shu'qi'huo 股票指数期货
'gu'zhi'qi'huo 股指期货
'gu'zhi'qi'huo'he'yue 股指期货合约
'guan'hua 冠华
'guan'tong 冠通
'guan'tong'qi'huo'jing'ji'you'xian'gong'si 冠通期货经纪有限公司
'guang'da 光大
'guang'da'qi'huo 光大期货
'guang'da'qi'huo'you'xian'gong'si 光大期货有限公司
'guang'dong'bang'shun 广东邦顺
'guang'dong'hong'hai 广东鸿海
'guang'dong'hong'hai'qi'huo'jing'ji'you'xian'gong'si 广东鸿海期货经纪有限公司
'guang'dong'sheng'zheng'quan'qi'huo'ye'xie'hui 广东省证券期货业协会
'guang'fa 广发
'guang'fa'qi'huo 广发期货
'guang'fa'qi'huo'you'xian'gong'si 广发期货有限公司
'guang'sheng 广晟
'guang'sheng'qi'huo 广晟期货
'guang'sheng'qi'huo'you'xian'gong'si 广晟期货有限公司
'guang'xi'zheng'quan'qi'huo'ye'xie'hui 广西证券期货业协会
'guang'yong 广永
'guang'yong'qi'huo 广永期货
'guang'yong'qi'huo'jing'ji'you'xian'gong'si 广永期货经纪有限公司
'guang'zhou'qi'huo 广州期货
'guang'zhou'qi'huo'you'xian'gong'si 广州期货有限公司
'gui'tai'jiao'yi 柜台交易
'gui'zhou'zheng'quan'ye'xie'hui 贵州证券业协会
'guo'du'qi'huo 国都期货
'guo'du'qi'huo'you'xian'gong'si 国都期货有限公司
'guo'fu'qi'huo 国富期货
'guo'fu'qi'huo'you'xian'gong'si 国富期货有限公司
'guo'hai'liang'shi 国海良时
'guo'ji'qi'huo 国际期货
'guo'ji'qi'huo'shi'chang 国际期货市场
'guo'ji'shi'you'jiao'yi'suo 国际石油交易所
'guo'ji'zheng'quan'jiao'yi'suo 国际证券交易所
'guo'jia'liang'you'xin'xi'zhong'xin 国家粮油信息中心
'guo'jia'wai'hui'guan'li'ju 国家外汇管理局
'guo'jin 国金
'guo'jin'qi'huo 国金期货
'guo'jin'qi'huo'you'xian'ze'ren'gong'si 国金期货有限责任公司
'guo'lian 国联
'guo'lian'qi'huo 国联期货
'guo'lian'qi'huo'you'xian'ze'ren'gong'si 国联期货有限责任公司
'guo'mao 国贸
'guo'mao'qi'huo 国贸期货
'guo'tai'jun'an 国泰君安
'guo'tai'jun'an'qi'huo'you'xian'gong'si 国泰君安期货有限公司
'guo'tou'zhong'gu 国投中谷
'guo'tou'zhong'gu'qi'huo'you'xian'gong'si 国投中谷期货有限公司
'guo'xin 国信
'guo'xin'qi'huo 国信期货
'guo'xin'qi'huo'you'xian'ze'ren'gong'si 国信期货有限责任公司
'guo'yuan 国元
'guo'yuan'hai'qin 国元海勤
'guo'zhai'hui'gou'ye'wu 国债回购业务
'guo'zhai'qi'huo'jiao'yi 国债期货交易
'hai'hang'dong'yin 海航东银
'hai'hang'dong'yin'qi'huo'you'xian'gong'si 海航东银期货有限公司
'hai'nan'jin'hai'an 海南金海岸
'hai'nan'jin'hai'an'qi'huo'jing'ji'you'xian'gong'si 海南金海岸期货经纪有限公司
'hai'nan'xing'hai 海南星海
'hai'nan'xing'hai'qi'huo'jing'ji'you'xian'gong'si 海南星海期货经纪有限公司
'hai'nan'zheng'quan'ye'xie'hui 海南证券业协会
'hai'tong 海通
'hai'tong'qi'huo 海通期货
'hai'tong'qi'huo'you'xian'gong'si 海通期货有限公司
'hai'zheng 海证
'hai'zheng'qi'huo 海证期货
'hai'zheng'qi'huo'you'xian'gong'si 海证期货有限公司
'han'guo'qi'huo'jiao'yi'suo 韩国期货交易所
'han'guo'zheng'quan'qi'huo'jiao'yi'suo 韩国证券期货交易所
'he'bei'gang'tie 河北钢铁
'he'bei'heng'yin 河北恒银
'he'bei'heng'yin'qi'huo'jing'ji'you'xian'gong'si 河北恒银期货经纪有限公司
'he'bei'zheng'quan'qi'huo'ye'xie'hui 河北证券期货业协会
'he'gui'ji'cha'bu 合规稽查部
'he'he 和合
'he'he'qi'huo 和合期货
'he'he'qi'huo'jing'ji'you'xian'gong'si 和合期货经纪有限公司
'he'nan'liang'you 河南粮油
'he'nan'sheng'zheng'quan'qi'huo'ye'xie'hui 河南省证券期货业协会
'he'rong 和融
'he'rong'qi'huo 和融期货
'he'rong'qi'huo'jing'ji'you'xian'ze'ren'gong'si 和融期货经纪有限责任公司
'he'xun'qi'huo 和讯期货
'he'yue'biao'di 合约标的
'he'yue'cheng'shu 合约乘数
'he'yue'yue'fen 合约月份
'hei'long'jiang'qi'huo'ye'xie'hui 黑龙江期货业协会
'hei'long'jiang'san'li 黑龙江三力
'hei'long'jiang'sheng'tian'qi'qi'huo'jing'ji'you'xian'gong'si 黑龙江省天琪期货经纪有限公司
'hei'long'jiang'tian'qi 黑龙江天琪
'hei'long'jiang'yan'shen 黑龙江延伸
'hei'long'jiang'yan'shen'qi'huo'jing'ji'you'xian'gong'si 黑龙江延伸期货经纪有限公司
'heng'pan 横盘
'heng'sheng 恒生
'heng'sheng'zhi'shu'qi'huo 恒生指数期货
'heng'tai'qi'huo 恒泰期货
'heng'tai'qi'huo'you'xian'gong'si 恒泰期货有限公司
'heng'yin 恒银
'hong'guan'jing'ji'zheng'ce'yin'su 宏观经济政策因素
'hong'hai 鸿海
'hong'ta 红塔
'hong'ta'qi'huo 红塔期货
'hong'ta'qi'huo'you'xian'ze'ren'gong'si 红塔期货有限责任公司
'hong'xin'qi'huo 弘信期货
'hong'xin'qi'huo'jing'ji'you'xian'gong'si 弘信期货经纪有限公司
'hong'ye 弘业
'hong'ye'qi'huo 弘业期货
'hong'yuan 宏源
'hong'yuan'qi'huo 宏源期货
'hong'yuan'qi'huo'you'xian'gong'si 宏源期货有限公司
'hu'bei'sheng'qi'huo'ye'xie'hui 湖北省期货业协会
'hu'jiao 沪胶
'hu'jiao'zhi'shu 沪胶指数
'hu'jiao'zhu'li 沪胶主力
'hu'jin 沪金
'hu'jin'zhi'shu 沪金指数
'hu'lv 沪铝
'hu'lv'zhi'shu 沪铝指数
'hu'nan'da'you 湖南大有
'hu'nan'da'you'qi'huo'jing'ji'you'xian'ze'ren'gong'si 湖南大有期货经纪有限责任公司
'hu'nan'jin'xin 湖南金信
'hu'nan'jin'xin'qi'huo'jing'ji'you'xian'gong'si 湖南金信期货经纪有限公司
'hu'nan'sheng'zheng'quan'huo'ye'xie'hui 湖南省证券货业协会
'hu'pan 护盘
'hu'qian 沪铅
'hu'shen 沪深
'hu'tong 沪铜
'hu'tong'zhi'shu 沪铜指数
'hu'tong'zhu'li 沪铜主力
'hu'xin 沪锌
'hu'xin'zhi'shu 沪锌指数
'hu'xin'zhu'li 沪锌主力
'hua'an 华安
'hua'an'qi'huo 华安期货
'hua'an'qi'huo'you'xian'ze'ren'gong'si 华安期货有限责任公司
'hua'chuang'qi'huo 华创期货
'hua'chuang'qi'huo'you'xian'ze'ren'gong'si 华创期货有限责任公司
'hua'hai 华海
'hua'hai'qi'huo 华海期货
'hua'lian 华联
'hua'lian'qi'huo 华联期货
'hua'lian'qi'huo'jing'ji'you'xian'gong'si 华联期货经纪有限公司
'hua'nan'qi'huo 华南期货
'hua'nan'qi'huo'jing'ji'you'xian'gong'si 华南期货经纪有限公司
'hua'tai'chang'cheng 华泰长城
'hua'tai'chang'cheng'qi'huo'you'xian'gong'si 华泰长城期货有限公司
'hua'wen 华闻
'hua'wen'qi'huo 华闻期货
'hua'wen'qi'huo'jing'ji'you'xian'gong'si 华闻期货经纪有限公司
'hua'xi 华西
'hua'xi'qi'huo 华西期货
'hua'xi'qi'huo'you'xian'ze'ren'gong'si 华西期货有限责任公司
'hua'xin'qi'huo 华鑫期货
'hua'xin'qi'huo'you'xian'gong'si 华鑫期货有限公司
'hua'yuan'qi'huo 华元期货
'hua'yuan'qi'huo'you'xian'ze'ren'gong'si 华元期货有限责任公司
'hua'zheng 华证
'hua'zheng'qi'huo 华证期货
'hua'zheng'qi'huo'jing'ji'you'xian'gong'si 华证期货经纪有限公司
'huan'shou'jiao'yi 换手交易
'hui'che 回撤
'hui'chou 回抽
'hui'chou'que'ren 回抽确认
'hui'shang 徽商
'hui'shang'qi'huo 徽商期货
'hui'tiao 回调
'hui'xin 汇鑫
'hui'xin'qi'huo 汇鑫期货
'hui'xin'qi'huo'jing'ji'you'xian'gong'si 汇鑫期货经纪有限公司
'huo'bi'diao'qi'he'yue 货币掉期合约
'huo'bi'diao'qi'jiao'yi 货币掉期交易
'huo'bi'qi'huo 货币期货
'huo'bi'zi'jin 货币资金
'ji'ben'fen'xi 基本分析
'ji'ben'jing'ji'yin'su 基本经济因素
'ji'cha 基差
'ji'cheng 集成
'ji'cheng'qi'huo 集成期货
'ji'cheng'qi'huo'you'xian'gong'si 集成期货有限公司
'ji'gou 机构
'ji'hua'cai'wu'bu 计划财务部
'ji'liang 吉粮
'ji'liang'ji'tuan 吉粮集团
'ji'liang'qi'huo 吉粮期货
'ji'liang'qi'huo'you'xian'gong'si 吉粮期货有限公司
'ji'lin'sheng'zheng'quan'ye'xie'hui 吉林省证券业协会
'ji'ri'jiao'yi 即日交易
'ji'shu'fen'xi 技术分析
'ji'zhun'jiao'ge'cang'ku 基准交割仓库
'jia'cha 价差
'jia'liang 价量
'jia'quan'liang 加权量
'jian'cang 减仓
'jian'ku'cun'gu 减库存股
'jian'li'jiao'yi'bu'wei 建立交易部位
'jian'shi'hui 监事会
'jiang'hai'liang'you 江海粮油
'jiang'nan'qi'huo 江南期货
'jiang'nan'qi'huo'jing'ji'you'xian'gong'si 江南期货经纪有限公司
'jiang'su'dong'hua 江苏东华
'jiang'su'dong'hua'qi'huo'jing'ji'you'xian'gong'si 江苏东华期货经纪有限公司
'jiang'su'hong'ye 江苏弘业
'jiang'su'hong'ye'qi'huo'you'xian'gong'si 江苏弘业期货有限公司
'jiang'su'qi'huo'ye'xie'hui 江苏期货业协会
'jiang'su'wen'feng 江苏文峰
'jiang'su'wen'feng'qi'huo'jing'ji'you'xian'ze'ren'gong'si 江苏文峰期货经纪有限责任公司
'jiang'su'xin'ji'yuan 江苏新纪元
'jiang'xi'rui'qi 江西瑞奇
'jiang'xi'rui'qi'qi'huo'jing'ji'you'xian'gong'si 江西瑞奇期货经纪有限公司
'jiang'xi'sheng'zheng'quan'qi'huo'ye'xie'hui 江西省证券期货业协会
'jiang'xin'guo'sheng'qi'huo 江信国盛期货
'jiang'xin'guo'sheng'qi'huo'you'xian'gong'si 江信国盛期货有限公司
'jiao'cha'bao'zhi 交叉保值
'jiao'duo'dan'kai'cang 胶多单开仓
'jiao'duo'dan'ping'cang 胶多单平仓
'jiao'ge 交割
'jiao'ge'di'dian 交割地点
'jiao'ge'fang'shi 交割方式
'jiao'ge'jie'suan'jia 交割结算价
'jiao'ge'qi'xian 交割期限
'jiao'ge'ri 交割日
'jiao'ge'shi'jian 交割时间
'jiao'ge'shou'xu 交割手续
'jiao'ge'shou'xu'fei 交割手续费
'jiao'ge'yue 交割月
'jiao'kong'dan'kai'cang 胶空单开仓
'jiao'kong'dan'ping'cang 胶空单平仓
'jiao'mai'chu'zhi'sun 胶卖出止损
'jiao'mai'ru'zhi'sun 胶买入止损
'jiao'tan 焦炭
'jiao'tan'qi'huo 焦炭期货
'jiao'yi'bao'zheng'jin 交易保证金
'jiao'yi'bu 交易部
'jiao'yi'bu'wei 交易部位
'jiao'yi'dai'ma 交易代码
'jiao'yi'dan'wei 交易单位
'jiao'yi'kai'tuo'zhe 交易开拓者
'jiao'yi'ke'fu'bu 交易客服部
'jiao'yi'liang 交易量
'jiao'yi'ren 交易人
'jiao'yi'ri 交易日
'jiao'yi'ri'jie'suan'jia 交易日结算价
'jiao'yi'shi'jian 交易时间
'jiao'yi'shou'xu'fei 交易手续费
'jiao'yi'suo 交易所
'jiao'yi'suo'bao'zheng'jin 交易所保证金
'jiao'yi'suo'jiao'yi 交易所交易
'jiao'yi'xing'jin'rong'fu'zhai 交易性金融负债
'jiao'yi'xing'jin'rong'zi'chan 交易性金融资产
'jiao'yi'zhe 交易者
'jiao'yi'zhi'ling 交易指令
'jie'gou 结构
'jie'jin'que'kou 竭尽缺口
'jie'qi'xian 节气线
'jie'shao'jing'ji'ren 介绍经纪人
'jie'suan 结算
'jie'suan'bao'zheng'jin 结算保证金
'jie'suan'bu 结算部
'jie'suan'gong'si 结算公司
'jie'suan'hui'yuan 结算会员
'jie'suan'jia 结算价
'jie'suan'jia'ge 结算价格
'jie'suan'suo 结算所
'jin'chang 金昌
'jin'chang'qi'huo 金昌期货
'jin'cheng 金城
'jin'cheng'qi'huo 金城期货
'jin'gu 金谷
'jin'gu'qi'huo 金谷期货
'jin'hai'an 金海岸
'jin'hui 金汇
'jin'hui'qi'huo 金汇期货
'jin'peng 金鹏
'jin'peng'qi'huo 金鹏期货
'jin'peng'qi'huo'jing'ji'you'xian'gong'si 金鹏期货经纪有限公司
'jin'qi'yue'fen 近期月份
'jin'rong'qi'huo 金融期货
'jin'rui 金瑞
'jin'rui'qi'huo 金瑞期货
'jin'rui'qi'huo'jing'ji'you'xian'gong'si 金瑞期货经纪有限公司
'jin'shi 金石
'jin'shi'da 金仕达
'jin'shi'qi'huo 金石期货
'jin'shi'qi'huo'you'xian'gong'si 金石期货有限公司
'jin'tai'qi'huo 锦泰期货
'jin'tai'qi'huo'you'xian'gong'si 锦泰期货有限公司
'jin'tou 津投
'jin'tou'qi'huo 津投期货
'jin'tou'qi'huo'jing'ji'you'xian'gong'si 津投期货经纪有限公司
'jin'xin 金信
'jin'xin'qi'huo 金信期货
'jin'yin'dao 金银岛
'jin'you 金友
'jin'you'qi'huo 金友期货
'jin'you'qi'huo'jing'ji'you'xian'ze'ren'gong'si 金友期货经纪有限责任公司
'jin'yuan 金元
'jin'yuan 金源
'jin'yuan'qi'huo 金元期货
'jin'yuan'qi'huo 金源期货
'jin'yuan'qi'huo'jing'ji'you'xian'gong'si 金元期货经纪有限公司
'jing'du'qi'huo 京都期货
'jing'ji'gong'si 经纪公司
'jing'ji'ren 经纪人
'jing'ji'shang 经纪商
'jing'ji'shang'dai'li'ren 经纪商代理人
'jing'ji'shi'ye'bu 经纪事业部
'jing'tiao'zheng'de'qi'huo'jia'ge 经调整的期货价格
'jing'tong 精铜
'jing'wai'qi'huo'jing'ji'ye'wu 境外期货经纪业务
'jing'wai'qi'huo'ye'wu 境外期货业务
'jing'xian 颈线
'jing'xian'wei 颈线位
'jing'yi 经易
'jing'yi'qi'huo 经易期货
'jing'yi'qi'huo'jing'ji'you'xian'gong'si 经易期货经纪有限公司
'jiu'heng 久恒
'ju'he 聚合
'kai'cang 开仓
'kai'pan 开盘
'kai'pan'jia 开盘价
'kan'die'qi'quan 看跌期权
'kan'die'zhe 看跌者
'kan'pan 看盘
'kan'qing'kuang 看情况
'kan'zhang'qi'quan 看涨期权
'kan'zhang'zhe 看涨者
'ke'fu'zhong'xin 客服中心
'ke'gong'chu'shou'jin'rong'zi'chan 可供出售金融资产
'ke'hu'bao'zheng'jin 客户保证金
'ke'hu'jing'li 客户经理
'kong'bi'duo 空逼多
'kong'dan'ping'cang 空单平仓
'kong'huan 空换
'kong'kai 空开
'kong'pan'he'yue 空盘合约
'kong'pan'liang 空盘量
'kong'ping 空平
'kong'tou 空头
'kong'tou'huan'shou 空头换手
'kong'tou'jiao'yi 空头交易
'kong'tou'kai'cang 空头开仓
'kong'tou'ping'cang 空头平仓
'kong'tou'shi'chang 空头市场
'kong'tou'tao'qi'bao'zhi 空头套期保值
'kong'tou'tou'cun 空头头寸
'kua'jiao'ge'yue'fen'tao'qi'tu'li 跨交割月份套期图利
'kua'jiao'yi'suo'tao'qi'tu'li 跨交易所套期图利
'kua'shang'pin'tao'qi'tu'li 跨商品套期图利
'kua'yue'fen'tao'qi'tu'li 跨月份套期图利
'kuai'qi 快期
'kuo'cang 扩仓
'li'duo'xiao'xi 利多消息
'li'kong'xiao'xi 利空消息
'li'lv'diao'qi'he'yue 利率掉期合约
'li'lv'diao'qi'jiao'yi 利率掉期交易
'li'lv'qi'huo 利率期货
'lian'dou 连豆
'lian'he'hui'yuan'zi'ge 联合会员资格
'liang'dang 两档
'liang'mao 良茂
'liang'ping'qi'quan 两平期权
'liang'yun 良运
'liao'ning'liang'you 辽宁粮油
'liao'ning'zheng'quan'qi'huo'ye'xie'hui 辽宁证券期货业协会
'lin'jie 临界
'long'da 陇达
'lu'yi'da'fu 路易达孚
'lu'zheng 鲁证
'lu'zheng'qi'huo 鲁证期货
'lu'zheng'qi'huo'you'xian'gong'si 鲁证期货有限公司
'lun'dun'guo'ji'shi'you'jiao'yi'suo 伦敦国际石油交易所
'lun'dun'jin 伦敦金
'lun'dun'jin'shu'jiao'yi'suo 伦敦金属交易所
'lun'dun'lv 伦敦铝
'lun'dun'nie 伦敦镍
'lun'dun'tong 伦敦铜
'lun'dun'xin 伦敦锌
'lun'lv'zhi'shu 伦铝指数
'lun'nie'zhi'shu 伦镍指数
'lun'qian'zhi'shu 伦铅指数
'lun'tong 伦铜
'lun'tong'zhi'shu 伦铜指数
'lun'xi'zhi'shu 伦锡指数
'lun'xin'zhi'shu 伦锌指数
'luo'wen 螺纹
'luo'wen'gang'qi'huo 螺纹钢期货
'lv'yue'bao'zheng'jin 履约保证金
'lv'yue'lv 履约率
'mai'chu'jian'cang 卖出建仓
'mai'chu'kai'cang 卖出开仓
'mai'chu'ping'cang 卖出平仓
'mai'jia 买价
'mai'jia 卖价
'mai'kai 买开
'mai'kai 卖开
'mai'ke 迈科
'mai'ke'qi'huo 迈科期货
'mai'ke'qi'huo'jing'ji'you'xian'gong'si 迈科期货经纪有限公司
'mai'kong 买空
'mai'kong 卖空
'mai'mai'qi'huo'he'yue 买卖期货合约
'mai'ping 买平
'mai'ping 卖平
'mai'qi'bao'zhi 卖期保值
'mai'ru'jian'cang 买入建仓
'mai'ru'kai'cang 买入开仓
