'bei'qu'yu'bing'wang 北驱予并往
'xiang'ye'shi'yu'wei'gu'yu'cao'mang 向也使予委骨于草莽
'xie'bi'shou'yi'bei'bu'ce 挟匕首以备不测
'xing'cheng'zi'he 行城子河
'xiu'wo'ge'mao 修我戈矛
'xue'jiu'miao'zhi'chi 雪九庙之耻
'yang'zhou'cheng'xia 扬州城下
'ye'qu'gao'you 夜趋高邮
'ye'ze'yi'bing'wei'suo'yu'she 夜则以兵围所寓舍
'yi'bei'yi'shang'ke'yi'kou'she'dong'ye 意北亦尚可以口舌动也
'yi'er'de'zhou 已而得舟
'yi'fu'mu'zhi'yi'ti'xing'dai 以父母之遗体行殆
'yi'ri 翌日
'yi'wei'qian'qu 以为前驱
'yi'xiao'zhou'she'jing'bo'chu 以小舟涉鲸波出
'yi'ye 义也
'yi'yi'ye 亦义也
'yi'zhi'yu'yong'jia 以至于永嘉
'yi'zi'zheng'dian'xue'shi'xing 以资政殿学士行
'yu'bu'de'ai'shen 予不得爱身
'yu'chu'you'cheng'xiang'jian'shu'mi'shi 予除右丞相兼枢密使
'yu'fen'dang'yin'jue 予分当引决
'yu'geng'yu'yi'chan'bei 予更欲一觇北
'yu'gui'qiu'chu'er'shi'ri 与贵酋处二十日
'yu'ji'mi'bu'de'hai 予羁縻不得还
'yu'shi'ci'xiang'yin'bu'bai 于是辞相印不拜
'yu'sui'hao'ran'wu'suo'kui'zuo 予虽浩然无所愧怍
'yu'zai'huan'nan'zhong 予在患难中
'yu'zhi'ji'yu'si'zhe 予之及于死者
'yu'zhi'sheng'ye'xing 予之生也幸
'yu'zi'du'bu'de'tuo 予自度不得脱
'yue'yi'lian'bing'da'ju 约以连兵大举
'ze'zhi'qian'gou'lu'shuai'shi'xin 则直前诟虏帅失信
'zhan'shou'qian'jie'bu'ji'shi 战守迁皆不及施
'zhan'zhuan'si'ming'tian'tai 展转四明天台
'zhen'zhou'zhu'zhi'cheng'men'wai 真州逐之城门外
'zheng'qu'zhi 争曲直
'zhi'fu'xi'xia 制府檄下
'zhi'gao'you 至高邮
'zhi'hai'ling 至海陵
'zhi'jing'kou 至京口
'zhi'ming 质明
'zhi'tong'zhou 至通州
'zhong'wei'yu'yi'xing'wei'ke'yi'shu'huo 众谓予一行为可以纾祸
'zhong'xing'ji'hui 中兴机会
'zhou'ye'shi'ye 昼夜事也
'zhou'yu'shao'xiang'hou'xian 舟与哨相后先
'zhu'ru 主辱
'zhui'gou'you'ji 追购又急
'zi'hai'dao'zhi'yong'jia'lai'san'shan 自海道至永嘉来三山
'zong'miao'zhi'fu 宗庙之福
'zuo'gui'gong'tang'tu'wei'zhong 坐桂公塘土围中
