'a'di'xia'zun'zhe 阿底峡尊者
'bie'jie'tuo'si'fa'cheng'jiu'da'cheng'jing 别解脱四法成就大乘经
'bie'si'wei 别思维
'bie'xue 别学
'bo'duo'wa 博朵瓦
'bo'duo'wa'yu'lu 博朵瓦语录
'bo'luo'mi'duo'jiao'shou'lun 波罗蜜多教授论
'bo'luo'mi'duo'shi'lun 波罗密多释论
'bo're'ba'qian'song 般若八千颂
'bo're'bo'luo'mi'duo'jing 般若波罗蜜多经
'bo're'dao'li 般若道理
'bo're'deng 般若灯
'bo're'deng'lun 般若灯论
'bo're'xin'jing 般若心经
'bu'chu'de'shui 不出德水
'bu'duo'dang'lei 不堕党类
'bu'fang'yi'pin 不放逸品
'bu'jing'qing'zi 不敬轻訾
'bu'ke'si'yi'mi'mi'jing 不可思议秘密经
'bu'ren'zhang'li'deng'san 不忍障利等三
'bu'she'suo'fa'xin'yuan 不舍所发心愿
'bu'she'wai'wu'dao'li 不舍外物道理
'bu'she'you'qing 不舍有情
'bu'shi'cha'bie'you'san 布施差别有三
'bu'shi'du'xing 布施度性
'bu'shi'zi'xing'suo'you'cha'bie 布施自性所有差别
'bu'te'jia'luo 补特伽罗
'bu'xi'yuan'jia'fu 不喜怨家富
'bu'yan'you'yu'er'zheng'gui'yi 不言有余而正皈依
'cai'shi 财施
'cang'zhong'suo'zuo'shi'li 藏中所作事理
'chan'hui 忏悔
'chan'hui'zhi 忏悔支
'chao'sheng'zan 超胜赞
'chen'she'gong'wu 陈设供物
'chen'ta'fa'pai 瞋他法派
'cheng'ban 成办
'cheng'jiu'duo'wen 成就多闻
'cheng'jiu'zhen'shi'shi'luo'jing 成就真实尸罗经
'cheng'jiu'zhi'liang 成就之量
'cheng'man'wu'bian'zhong'sheng'xi'yuan'yu 成满无边众生希愿语
'cheng'shi 承事
'chi'zhong'guan'jian 持中观见
'chu'fa'er'wai 除法而外
'chu'gui'jing'song 初皈敬颂
'chu'ji 出计
'chu'men'guang'shi 处门广释
'chu'qi'zhang'ai 除其障碍
'chu'qian'ci'zhong'xie'zhi 除遣此种邪执
'chu'qian'yu'ci'xie'zhi 除遣于此邪执
'chu'shi'jian'hui 出世间慧
'chu'shi'zan'long'shu'pu'sa'zao 出世赞龙树菩萨造
'chu'you'jing 除忧经
'chu'yu'zong'hang'xue'xi'dao'li 初于总行学习道理
'chuan'xi 串习
'chuan'xin 船心
'ci'bei 慈悲
'ci'chu'xiu'fa 此处修法
'ci'deng'lue'yi 此等略义
'ci'deng'she'yi 此等摄义
'ci'deng'zhi'guo 此等之果
'ci'di 次第
'ci'di'jue'ding 次第决定
'ci'shi'bu'neng'jiu'zhu'yi'nian'bi'si 此世不能久住忆念必死
'ci'shi'jie'tuo'jing 慈氏解脱经
'ci'yu'sheng'you'shou'sheng'dao'li 次于生有受生道理
'ci'zhu'zheng'li'yu'yu'li'ming 此诸正理于余例明
'cong'he'she'nuan 从何摄暖
'cong'wei'jian'xiu'wu'nan'zhi'li 从微渐修无难之理
'da'a'she'li 大阿阇黎
'da'ban'nie'pan'jing 大般涅槃经
'da'bao'ji'jing 大宝积经
'da'bian'yong'han 大辩勇悍
'da'cheng'dui'fa'ji'lun'shi 大乘对法集论释
'da'cheng'xiu'fa 大乘修法
'da'cheng'zhong'guan'jiao'shou 大乘中观教授
'da'de'yue 大德月
'da'di'xin 大地心
'da'fa'gu'jing 大法鼓经
'da'nie'pan'jing 大涅槃经
'da'pi'po'sha 大毗婆沙
'da'shi'xing 达实性
'da'wei'de 大威德
'da'ye'pu'sheng'zhe 大业普胜者
'da'yi'hu 大依怙
'da'yin'qin 大殷勤
'da'you'qing'di'yu 大有情地狱
'da'you'xi'jing 大游戏经
'da'yun'jing 大云经
'da'zheng'zang 大正藏
'dang'fa'he'deng'nian'si'zhi'xin 当发何等念死之心
'dang'zhi 党执
'dao'ci'di'lue'lun 道次第略论
'dao'gan'jing 稻秆经
'dao'ju 道炬
'dao'ju'lun 道炬论
'dao'ju'shi 道炬释
'dao'ju'shi'lun 道炬释论
'dao'zhi 倒执
'dao'zhi'gen'ben 道之根本
'dao'zhi'gen'ben'qin'jin'zhi'shi'gui'li 道之根本亲近知识轨理
'dao'zhi'gen'ben'qing'jing'zhi'shi'gui'li 道之根本清净知识轨理
'de'sheng'tuo'luo'ni 得胜陀罗尼
'de'yi'yu'sheng'jiao'suo'zuo'shi'ye 得已于圣教所做事业
'deng'qi 等起
'deng'qi'qing'jing 等起清净
'deng'zhu 灯烛
'di'er'shi'pin 第二十品
'di'shi 帝释
'di'si'yu'jia 第四瑜伽
'di'zang'jing 地藏经
'di'zhe'pin 谛者品
'di'zi'shu 弟子书
'ding'gen 定根
'ding'jie 定解
'ding'li 定力
'ding'li'zhi 顶礼支
'ding'zi'liang'pin 定资粮品
'du'jue 独觉
'du'yi'di'yu 独一地狱
'duan'chu'neng'shi'si'zhong'hei'fa 断除能失四种黑法
'duan'qi'guo 断器过
'duan'qi'san'guo 断器三过
'dui'zhi 对治
'dui'zhi'bu'qin'gong'yong 对治不勤功用
'dun'ba 敦巴
'duo'ba'suo'ji 铎巴所集
'duo'long'ba 朵垄巴
'duo'shi'wu'lv'yi 多是无律仪
'duo'wen 多闻
'duo'wen'pin 多闻品
'e'gui'suo'you'zhong'ku 饿鬼所有众苦
'e'qu 恶趣
'e'qu'ku 恶趣苦
'e'ye'xi'qi 恶业习气
'er'da'che 二大车
'er'di'lun 二谛论
'er'fa'qi'xin'ying'xue'qi'xin 而发其心应学其心
'er'qu'ku'le 二趣苦乐
'er'shi'qi'pin 二十七品
'er'wang'po'chu 而妄破除
'er'wei'po'chu 而为破除
'er'wei'po'chu'ran'bu'neng'po 而为破除然不能破
'er'zhong'shu'sheng 二种殊胜
'fa'cheng'lun'shi 法称论师
'fa'ci'yi'le'zhi'liang 发此意乐之量
'fa'ci'zhi'fang'bian 发此之方便
'fa'gong'de 法功德
'fa'huan'xi'li 发欢喜力
'fa'ji'yao'song'jing 法集要颂经
'fa'jian'gu'li 发坚固力
'fa'jue'ding'jie 发决定解
'fa'qi'cheng'shi 发起承事
'fa'qi'cheng'shi'da'shi'ji'fa 发起承事大师及法
'fa'qi'sheng'jie 发起胜解
'fa'qi'zhi'liang 发起之量
'fa'qin'jing'jin 发勤精进
'fa'shen'ren'xin 发深忍信
'fa'sheng'jie'li 发胜解力
'fa'sheng'jing'jin'zhi'fang'bian 发生精进之方便
'fa'sheng'xi'qiu'hou'shi'zhi'xin 发生希求后世之心
'fa'sheng'zhi'le'hui 发胜志乐会
'fa'shi 法施
'fa'wu'wo 法无我
'fa'xian 法贤
'fa'xin'yi'gui 发心仪轨
'fa'xin'yi'hou'xu'xue'xue'ye'chu 发心已后须学学业处
'fa'xing'di 法性谛
'fa'you'lun'shi 法友论师
'fa'zhi'xi'li 发止息力
'fa'zun 法尊
'fan'nao'fa'sheng'zhi'li 烦恼发生之理
'fan'nao'guo'huan 烦恼过患
'fan'nao'zhi'yin 烦恼之因
'fan'nao'zhu'ban 烦恼助伴
'fan'shuo 繁说
'fang'yi 放逸
'fei'tian'ku 非天苦
'fen'bian'a'ji'mo 分辩阿笈摩
'fen'bian'jiao 分辨教
'fen'bie'a'ji'mo 分别阿笈摩
'fen'bie'chi'ran'lun 分别炽燃论
'fen'bie'si'wei'fen'er 分别思维分二
'fo'gong'de 佛功德
'fo'hu'lun 佛护论
'fo'hu'lun'shi 佛护论师
'fo'mu 佛母
'fo'mu'bao'de'cang 佛母宝德藏
'fo'mu'jing 佛母经
'fu'tou 覆头
'ge'bie'xue'fa 个别学法
'gen'ben'hui'lun'da'shu 根本慧论大疏
'gen'jing'shi 根境识
'gen'yuan'jing'gu 根源净故
'gong'jing'cheng'shi 恭敬承事
'gong'xue 共学
'gong'yang'zhi 供养支
'gu'ru'man'shu'kuo'ka'ye 姑如曼殊廓喀耶
'guan'cha'jing 观察境
'guan'dai'bie'yi'suo'you'cha'bie 观待别依所有差别
'guan'jin'lun'shi'da'shu 观禁论师大疏
'guan'xiang 观想
'guang'da'you'xi'jing 广大游戏经
'guang'ming'xiang 光明想
'guang'shi 广释
'guang'shi'nei'wai'ke'she'bu'she 广释内外可舍不舍
'guang'shi'wai'wu'ke'she'bu'she'li 广释外物可舍不舍理
'guang'xing 广行
'gui'er 癸二
'gui'jing'song 皈敬颂
'gui'li 轨理
'gui'san 癸三
'gui'yi 癸一
'gui'yi'liu'zhi'lun 皈依六支论
'gui'yi'qi'shi'lun 皈依七十论
'gui'yi'qi'shi'song 归依七十颂
'gui'yi'san'bao 皈依三宝
'guo'huan 过患
'hai'hui'jing 海慧经
'hai'hui'wen'jing 海慧问经
'hai'long'wang'qing'wen'jing 海龙王请问经
'hai'wen'jing 海问经
'han'leng'di'yu 寒冷地狱
'hao'wu'yu'jia 悎寤瑜伽
'he'deng'bu'te'jia'luo'ying'yuan'he'jing 何等补特伽罗应缘何境
'he'suo'xue'chu 何所学处
'he'wu'zi'xing'yi 合无自性义
'he'xin'hui'shi 何心惠施
'he'yi 合义
'he'you'ming'cha'bie'cheng'jiu'yi 合由名差别成就义
'hei'yan'mo'di'shi'nan'lun 黑阎摩敌释难论
'heng'li'zhong'nan'zhi 恒励终难制
'hou'shi'dang'sheng'he'qu 后世当生何趣
'hou'shi'dang'sheng'he'qu'er'qu'ku'le 后世当生何趣二趣苦乐
'hu'fa 护法
'hua'yan'jing 华严经
'huai'ti'tuo'luo'ni 淮提陀罗尼
'huan'jia'jing'jin 擐甲精进
'hui'du'jiao'shou'lun 慧度教授论
'hui'gen 慧根
'hui'gong 荟供
'hui'li 慧力
'hui'shi'he'tian 惠施何田
'hui'shi'wai'wu'dao'li 惠施外物道理
'hui'xiang'zhi 回向支
'hui'zheng'lun 回诤论
'hui'zhi'cha'bie 慧之差别
'hui'zhi'zi'xing 慧之自性
'hui'zui'zhi 悔罪支
'hun'shui'gai 昏睡盖
'huo'fan'shi'luo 或犯尸罗
'huo'fu'gua'shao 或复寡少
'huo'jiao'gong'de'shi'li 获教功德事理
'huo'ju'shi'luo 或具尸罗
'huo'wen'guang'bo 或闻广博
'huo'wu'zhi'jie 或无智解
'huo'you'zhi'jie 或有智解
'ji'ci'bie'jie'tuo 即此别解脱
'ji'da'zui'xing'zi'xing'xiao'mie'shu'sheng 极大罪行自行消灭殊胜
'ji'fa'ju 集法句
'ji'fa'xin'yi'xue'xing'dao'li 既发心已学行道理
'ji'gui'yi'yi'suo'xue'ci'di 既皈依已所学次第
'ji'ji'zi'liang 积集资粮
'ji'jing'jue'ding'shen'bian'jing 寂静决定神变经
'ji'jing'lun 集经论
'ji'lun 集论
'ji'qin'jin'yi'ru'he'xiu'xin'ci'di 既亲近已如何修心次第
'ji'shan'ji'jing'jue'ding'shen'bian'jing 极善寂静决定神变经
'ji'shi'yuan'man 几世圆满
'ji'tian'pu'sa 寂天菩萨
'ji'xiang'guang 吉祥光
'ji'xue'chu'lun 集学处论
'ji'xue'lun 集学论
'jia'fu'zuo 跏趺坐
'jia'hang 加行
'jia'hang'fa 加行法
'jia'hang'qin'jin'gui'li 加行亲近轨理
'jia'hang'yi'gui 加行仪轨
'jia'ka'ba 伽喀巴
'jia'mo'ba 迦摩巴
'jia'ni'jia'shu 迦尼迦书
'jia'xing'dao 加行道
'jia'ye'jing 伽耶经
'jia'ye'qing'wen'jing 迦叶请问经
'jia'ye'wen'pin 迦叶问品
'jia'zhan'yan'na'yin'yuan 迦旃延那因缘
'jia'zheng'de'ming 假证德名
'jian'bie 简别
'jian'li'san'san'mei'ye'jing 建立三三昧耶经
'jian'lue'xian'shi'ju'li'ye'men 兼略显示具力業门
'jian'shuo'ci'di'jue'ding 兼说次第决定
'jian'ze 简择
'jiang'shuo'gui'li 讲说轨理
'jiang'wen 讲闻
'jiao'fu'rao 教富饶
'jiao'shou 教授
'jiao'shou'sheng'guang'wang'jing 教授胜光王经
'jiao'shou'yin'dao 教授引导
'jiao'shou'zhong'chu 教授中出
'jiao'yi 教义
'jiao'zheng 教证
'jie'pin'shi 戒品释
'jie'xue 戒学
'jin'bian'di'yu 近边地狱
'jin'chu 今初
'jin'gang'cheng 金刚乘
'jin'gang'cheng'lv'yi 金刚乘律仪
'jin'gang'ding 金刚顶
'jin'gang'kong'hang 金刚空行
'jin'gang'shou'guan'ding'xu 金刚手灌顶续
'jin'gang'xin 金刚心
'jin'ji'jing 近寂静
'jin'jing 近静
'jin'o'wa 槿哦瓦
'jin'o'yi'yun 慬哦亦云
'jin'zhou'da'shi 金洲大师
'jing'han'gong'qiao 精悍工巧
'jing'jin'cha'bie 精进差别
'jing'jin'gen 精进根
'jing'jin'li 精进力
'jing'jin'zi'xing 精进自性
'jing'li'zun'zhong'miao'yin 敬礼尊重妙音
'jing'lv'cha'bie 静虑差别
'jing'lv'lun 经律论
'jing'lv'zi'xing 静虑自性
'jing'xing 经行
'jing'xiu'gui'yi 净修皈依
'jing'xiu'yi'le 净修意乐
'jing'xiu'yu'xue'pu'sa'xue'chu 净修欲学菩萨学处
'jing'zhong 敬重
'jing'zhuang'yan'lun 经庄严论
'jiu'zhu 久住
'ju'hui 具慧
'ju'she 俱舍
'ju'she'lun 俱舍论
'ju'she'lun'shi 俱舍论释
'ju'she'shi 俱舍释
'ju'shi'luo 具尸罗
'ju'si'zhong'zuo'yi 具四种作意
'ju'zhi 俱胝
'ju'zhi'yuan'man'miao'shan'suo'sheng'shen 俱胝圆满妙善所生身
'ju'zu 具足
'jue'ding'xin'jie 决定信解
'jue'hui 觉慧
'jue'ze'bu'te'jia'luo'wu'wo 抉择补特伽罗无我
'jue'ze'chen'diao'zhi'xiang 抉择沉掉之相
'jue'ze'fa'wu'wo 抉择法无我
'jue'ze'kong'xing'zheng'jian'zhi'fa 抉择空性正见之法
'jue'ze'neng'qu'jie'tuo'dao'xing 抉择能趣解脱道性
'jue'ze'ye'guo 抉择业果
'kai'shi 开示
'kai'shi'da'cheng'dao'zhi'gen'ben 开示大乘道之根本
'kai'shi'qi'fa'shu'sheng 开示其法殊胜
'kai'shi'si'fa'jing 开示四法经
'kai'shi'zao'zhe'shu'sheng 开示造者殊胜
'kai'wei'si'men 开为四门
'kan'bu'kan'ren'zheng'li'si'ze 堪不堪忍正理思择
'kan'neng 堪能
'kan'neng'xin 堪能心
'kan'nian 堪念
'kan'ren 堪忍
'ke'pan 科判
'kong'xing'mu 空行母
'lai'bing 癞病
'lan'se'shou'ce 蓝色手册
'leng'jia'jing 楞伽经
'li'chen'diao'shi'ying'ru'he'xiu 离沉掉时应如何修
'li'jing'zhi 礼敬支
'li'li 励力
'li'ma 悷马
'li'mo'zi 黎摩子
'li'qin'gen'jia'wa 立钦根甲瓦
'li'si'zhi'li'you 立四之理由
'li'wu'guo'gui 立无过规
'li'yu'che'yu 立喻车喻
'li'yu'zhi'li 离欲之理
'li'zhong'xing'pin 力种性品
'li'zi'zong 立自宗
'lian'hua'jie'lun'shi 莲花戒论师
'lian'hua'sheng 莲华生
'liao'bing 疗病
'liao'bing'zhi'xiang 疗病之想
'ling'fa'ding'jie 令发定解
'ling'fa'ding'jie'gu'shao'kai'xuan'shuo 令发定解故稍开宣说
'ling'yu'jiao'shou 令于教授
'ling'zhu'you'qing'huan'xi'song 令诸有情欢喜颂
'liu'chu'yuan 六处缘
'liu'shi'zheng'li'lun 六十正理论
'liu'shi'zheng'li'lun'shi 六十正理论释
'liu'zhong'gen 六种根
'long'meng 龙猛
'long'meng'pu'sa 龙猛菩萨
'long'shu'pu'sa 龙树菩萨
'long'shu'pu'sa'zao 龙树菩萨造
'long'shu'pu'sa'zhu 龙树菩萨著
'luan'sheng 卵生
'lue'she'xiu'yao 略摄修要
'lue'shi'ying'she'bu'ying'she'wu 略示应舍不应舍物
'lue'shu'ben'lun'zhi'zhong'yao 略述本论之重要
'lue'wei'jie'shuo 略为解说
'lv'yi 律仪
'lv'yi'jie 律仪戒
'ma'di'ji'tuo'luo 玛底吉陀罗
'ma'ming'pu'sa 马鸣菩萨
'ma'ming'pu'sa'zao 马鸣菩萨造
'ma'ming'pu'sa'zhu 马鸣菩萨著
'man'cha 曼茶
'man'da 曼达
'man'shu'shi'li'gen'ben'xu 曼殊室利根本续
'man'shu'shi'li'zhuang'yan'fo'tu'jing 曼殊室利庄严佛土经
'man'tuo'luo 曼陀罗
'meng'li 猛利
'meng'li'wen'jing 猛利问经
'meng'li'yu'le 猛利欲乐
'meng'li'yu'xin 猛利欲心
'mi'hu'gen'men 密护根门
'mi'le'shi'zi'hou'jing 弥勒狮子吼经
'mi'mi'zhu 秘密主
'mi'shou'lun'shi 密授论师
'mi'zhou 密咒
'mi'zong 密宗
'mi'zong'dao'ci'di 密宗道次第
'miao'bi'jing 妙臂经
'miao'bi'qing'wen'jing 妙臂请问经
'miao'fa'bai'lian'jing 妙法白莲经
'miao'shou'qing'wen'jing 妙手请问经
'miao'shou'wen'jing 妙手问经
'ming'ci'chu'zhi'suo'yuan 明此处之所缘
'ming'liao'yi'bu'le'yi'jing 明了义不了义经
'ming'neng'sheng'chen'diao'zhi'yin 明能生沉掉之因
'ming'qi'yi'da 明其义大
'ming'qiu'jie'tuo'zhi'xin 明求解脱之心
'ming'se 名色
'ming'suo'po'yi'zhe'po'tai'guo 明所破义遮破太过
'ming'suo'po'yi'zhe'po'tai'xia 明所破义遮破太狭
'ming'suo'xiu'guo'ji'wei'fa'xin 明所修果即为发心
'ming'suo'zhi'pin 明所治品
'ming'xian'ju'lun 明显句论
'ming'xian'wen'ju 明显文句
'ming'xin'zhu'zhi'suo'yuan 明心住之所缘
'ming'ying'cheng'zi'xu'zhi'yi 明应成自续之义
'ming'zhong'guan'sheng'fa 明中观胜法
'mo'jia'tuo'xian'nv'a'bo'tuo'na 摩伽陀贤女阿波陀那
'mo'luo 魔罗
'mo'ni'bao 摩尼宝
'mo'ni'bao'man 摩尼宝鬘
'mo'shi'zhu'bi'qiu 末世诸比丘
'na'luo'yan'tian 那罗延天
'na'luo'yan'wen'jing'quan'ming 那罗延问经全名
'na'mo'gu'ru'man'shu'kuo'ka'ye 南无姑如曼殊廓喀耶
'nai'yuan'hai'ren 耐怨害忍
'neng'ren'zhong'ku'nan'xing'zhi'gong'de 能忍众苦难行之功德
'neng'ru'ding'bu'ding'qi'yin'jing 能入定不定契印经
'neng'shou'zhi'yi 能受之依
'neng'yi 能依
'neng'yi'xue'zhe'zhi'xiang 能依学者之相
'nian'gen 念根
'nian'ji 念集
'nian'li 念力
'nian'zhu'jing 念住经
'nie'pan 涅槃
'pang'sheng'suo'you'zhong'ku 旁生所有众苦
'pi'bo'she'na 毗钵舍那
'pi'bo'she'na'suo'you'cha'bie 毗钵舍那所有差别
'pi'lu'zhe'na'xian'zheng'pu'ti'jing 毗卢遮那现证菩提经
'pi'nai'ye 毗奈耶
'pi'nai'ye'a'ji'mo 毗奈耶阿笈摩
'pi'nai'ye'guang'shi 毗奈耶广释
'pi'nai'ye'jing 毗奈耶经
'po'chu'bu'ren'yuan'suo'zuo'hai 破除不忍怨所作害
'po'chu'bu'ren'zhang'le'ku 破除不忍障乐苦
'po'chu'bu'ren'zhang'yu'deng'san 破除不忍障誉等三
'po'chu'bu'ren'zuo'hui'deng'san 破除不忍作悔等三
'po'chu'ci'zhong'xie'wang 破除此中邪妄
'po'chu'ta'zong 破除他宗
'po'chu'zhuan'yi 破除专一
'po'si'dao'lun 破四倒论
'po'suo'po'shi 破所破时
'po'ta'zong 破他宗
'po'wo'yu'yun'xing'yi'pin 破我与蕴性一品
'po'wo'yu'yun'xing'yi'pin 破我与蕴性异品
'po'you'guo'gui 破有过规
'po'zhi 破执
'pu'sa'bie'jie'tuo'jing'quan'cheng 菩萨别解脱经全称
'pu'sa'cang'jing 菩萨藏经
'pu'sa'di 菩萨地
'pu'sa'di'she'jue'ze'fen 菩萨地摄抉择分
'pu'sa'lv'yi 菩萨律仪
'pu'sa'xue'chu 菩萨学处
'pu'sa'yu'jia'xing'si'bai'song 菩萨瑜伽行四百颂
'pu'ti'dao 菩提道
'pu'ti'dao'ci'di 菩提道次第
'pu'ti'dao'ci'di'guang'lun 菩提道次第广论
'pu'ti'dao'ci'di'guang'lun'juan'er 菩提道次第广论卷二
'pu'ti'dao'ci'di'guang'lun'juan'yi 菩提道次第广论卷一
'pu'ti'dao'ci'di'lun 菩提道次第论
'pu'ti'dao'ci'lue'lun 菩提道次略论
'pu'ti'xian'lun'shi 菩提贤论师
'pu'ti'zi'liang'lun 菩提资粮论
'pu'xian'xing'yuan 普贤行愿
'qi'fa'jing 七法经
'qi'jing'zhong'gu 起敬重故
'qi'qing'bu'ru'nie'pan'zhi 祈请不入涅盘支
'qi'shen'huo'de'gong'de'shi'li 其身获得功德事理
'qi'shi'kong'xing'lun 七十空性论
'qi'shi'yuan 七十愿
'qi'tong'nv'yin'yuan'lun 七童女因缘论
'qi'zhong'neng'she'zhu'xue'dao'li 其中能摄诸学道理
'qiao'shuo 巧说
'qin'jiao'gui'fan 亲教轨范
'qin'jiao'shi 亲教师
'qin'jin'zhi'shi 亲近知识
'qin'you'ji 亲友集
'qin'you'shu 亲友书
'qin'you'shu'shi 亲友书释
'qing'bian'lun'shi 清辩论师
'qing'fo'zhu'shi'zhi 请佛住世支
'qing'jing'ye'zhang'jing 清淨业障经
'qing'zhong'cha'bie 轻重差别
'qing'zhuan'fa'lun'zhi 请转法轮支
'qing'zi 轻訾
'qu'lao 劬劳
'qu'ru 趣入
'qu'ru'sheng'jiao 趣入圣教
'qu'ru'xiu'ren'zhi'fang'bian 趣入修忍之方便
'qu'ru'xiu'xi'jing'jin'fang'bian 趣入修习精进方便
'qu'ru'xiu'xi'shi'luo'fang'bian 趣入修习尸罗方便
'qu'xiang 趣向
'qu'zhu'jian'shi 取诸坚实
'quan'fa'zeng'shang'yi'le 劝发增上意乐
'quan'fa'zeng'shang'yi'le'hui 劝发增上意乐会
'quan'qing'gui'yi 劝请皈依
'quan'wu'suo'yi 全无所益
'ran'bu'neng'po 然不能破
'ran'bu'qiu'shi'luo 然不求尸罗
'rang'mo'wa 嚷摩瓦
'rao'yi 饶益
'rao'yi'you'qing'jie 饶益有情戒
'rao'yi'you'qing'jing'jin 饶益有情精进
're'nao 热恼
'ren'ku 人苦
'ren'shuo'ji'xu'fa 任说几许法
'ren'zhi'cha'bie 忍之差别
'ren'zhi'zi'xing 忍之自性
'ri'cang'jing 日藏经
'ru'ci'zheng'xiu 如次正修
'ru'hang'lun 入行论
'ru'he'fa'sheng'ci'xin'dao'li 如何发生此心道理
'ru'he'ji'ye'zhi'li 如何集业之理
'ru'he'jiang'wen 如何讲闻
'ru'he'jie'shi'long'meng'yi'qu 如何解释龙猛义趣
'ru'he'she'qu'xin'yao'zhi'li 如何摄取心要之理
'ru'he'sheng'qi'zhi'ci'di 如何生起之次第
'ru'he'shou'zhi'gui'ze 如何受之轨则
'ru'he'xing'shi 如何行施
'ru'he'zheng'yi 如何正以
'ru'lai'chu'xian'jing 如来出现经
'ru'leng'jia'jing 入楞伽经
'ru'li'xiu'xing'huo'zheng'gong'de'shi'li 如理修行获证功德事理
'ru'pu'sa'xing'lun 入菩萨行论
'ru'shi 如实
'ru'shi'ci'di'yin'dao'zhi'yin'xiang 如是次第引导之因相
'ru'shi'de'xiang 如是德相
'ru'shi'guan'jian'wu'yu'suo'zhi'yi 如实观见无余所知意
'ru'tai'jing 入胎经
'ru'yi'qie'fo'jing 入一切佛境
'ru'yu'jia'lun 入瑜伽论
'ru'zan'zhong'yun 如赞中云
'ru'zhong'lun 入中论
'ru'zhong'lun'ben'song 入中论本颂
'ru'zhong'lun'shi 入中论释
'ru'zhong'lun'shu 入中论疏
'ru'zhong'lun'song 入中论颂
'ru'zhong'lun'zi'shi 入中论自释
'ruo'bu'neng'she'shi'dang'ru'he'xing 若不能舍时当如何行
'ruo'duo'dang'zhi 若堕党执
'ruo'neng'xiu'xi'bi'xin'ding'neng'fa'sheng 若能修习彼心定能发生
'sa'jia'ye'jian 萨迦耶见
'san'bu'zhi'xi'jin'gang'shi'xu 三补止喜金刚释续
'san'cheng'wu'dao 三乘五道
'san'e'qu 三恶趣
'san'ju'jie 三聚戒
'san'mei 三昧
'san'mei'ye 三昧耶
'san'men'zong'li 三门总礼
'san'mo'di 三摩地
'san'mo'di'jing 三摩地经
'san'mo'di'wang 三摩地王
'san'mo'di'wang'jing 三摩地王经
'san'shi'dao'zhong 三士道中
'san'shi'wu'fo'chan 三十五佛忏
'san'tu'ku 三途苦
'san'xue'zheng'de 三学证德
'san'yun'jing 三蕴经
'sang'pu'wa 桑朴瓦
'seng'gong'de 僧功德
'seng'hu'yin'yuan 僧护因缘
'shan'da 善达
'shan'fa 善法
'shan'hu'shi'luo 善护尸罗
'shan'le 善乐
'shan'sheng 善胜
'shan'shi 善士
'shan'shuo 善说
'shan'you 善友
'shan'you'pin 善友品
'shan'zhi'shi 善知识
'shan'zhi'shi'dun'ba 善知识敦巴
'shan'zhi'shi'jiao'shou 善知识教授
'shang'er'jie'cu'zhong'ku 上二界粗重苦
'shang'shi 上师
'shang'shi'dao'ci 上士道次
'shang'xu'cheng'jiu 尚须成就
'shang'xu'lun 上续论
'shao'kai'xuan'shuo 稍开宣说
'shao'li'ji'tuo'sheng'si'cheng 少力即脱生死城
'shao'xiang 烧香
'she'bi'deng'yi 摄彼等义
'she'bo'luo'mi'duo'lun 摄波罗蜜多论
'she'cai'dao'li 舍财道理
'she'da'cheng'lun 摄大乘论
'she'de'bao 摄德宝
'she'fen 摄分
'she'gong'de'bao 摄功德宝
'she'huai'hai'chu'zhi'fang'bian 设坏还出之方便
'she'jue'ding'xin'cang 摄决定心藏
'she'jue'ze 摄抉择
'she'li'bu'a'han'jing 舍利部阿含经
