'an'lao'fen'pei'gui'lv 按劳分配规律
'jie'suan 结算
'jin'rong 金融
'jin'rong'shi'chang 金融市场
'jing'ji 经济
'jing'ji'fan'chou 经济范畴
'jing'ji'gang'gan 经济杠杆
'jing'ji'gui'lv 经济规律
'jing'ji'he'tong 经济合同
'jing'ji'ji'liang'xue 经济计量学
'jing'ji'ji'zhi 经济机制
'jing'ji'te'qu 经济特区
'jing'ji'ti'zhi 经济体制
'jing'ji'wei'ji 经济危机
'jing'ji'xi'tong 经济系统
'jing'ji'xiao'yi 经济效益
'jing'ji'xie'zuo'chang'yong'shu'yu 经济写作常用术语
'jing'ji'xie'zuo'xu'yao'jie'jian'de'jing'ji'si'xiang 经济写作需要借鉴的经济思想
'jing'ji'xin'wen 经济新闻
'jing'ji'xue 经济学
'jing'ji'ze'ren'zhi 经济责任制
'jing'ji'zeng'zhang'li'lun 经济增长理论
'jing'ji'zheng'ce 经济政策
'jing'ji'zhi'shu 经济指数
'jing'ji'zhou'qi 经济周期
'jing'ying'quan 经营权
'kai'en'si'de'jing'ji'gan'yu'zheng'ce 凯恩斯的经济干预政策
'kua'guo'gong'si 跨国公司
'lai'liao'jia'gong'yu'jin'liao'jia'gong 来料加工与进料加工
'lao'dong 劳动
'lao'dong'dui'xiang 劳动对象
'lao'dong'jia'zhi'yu'sheng'yu'jia'zhi'xue'shuo 劳动价值与剩余价值学说
'lao'dong'li 劳动力
'lao'dong'mi'ji'xing'qi'ye 劳动密集型企业
'lao'dong'sheng'chan'lv 劳动生产率
'li'gai'shui 利改税
'li'si'te'de'bao'hu'zhu'yi'jing'ji'si'xiang 李斯特的保护主义经济思想
'li'xi 利息
'li'yong'wai'zi 利用外资
'lian'chan'ji'chou 联产计酬
'nong'ben'lun'jing'ji'si'xiang 农本论经济思想
'nong'cun'cheng'bao'jing'ying'hu 农村承包经营户
'nong'ye'chan'ye'jie'gou 农业产业结构
'nong'ye'ji'ben'jian'she 农业基本建设
'nong'ye'ji'xie'hua 农业机械化
'nong'ye'jie'gou 农业结构
'nong'ye'shi'guo'min'jing'ji'ji'chu 农业是国民经济基础
'nong'ye'xian'dai'hua 农业现代化
'nong'ye'xin'wen 农业新闻
'nong'ye'zhuan'ye'hua 农业专业化
'ou'zhou'huo'bi'dan'wei 欧洲货币单位
'qi'huo'shi'chang 期货市场
'qi'ye'ji'tuan 企业集团
'ren'min'bi 人民币
'rui'dian'mo'shi 瑞典模式
'san'jiao'zhai 三角债
'shang'pin 商品
'shang'pin'jing'ji 商品经济
'shang'pin'jing'ji'si'xiang 商品经济思想
'shang'ye'li'run 商业利润
'she'hui'ji'tuan'gou'mai'li 社会集团购买力
'she'hui'jing'ji'xin'xi'hua 社会经济信息化
'she'hui'jing'ji'xing'tai 社会经济形态
'sheng'chan 生产
'sheng'chan'fang'shi 生产方式
'sheng'chan'gong'ju 生产工具
'sheng'chan'guan'xi 生产关系
'sheng'chan'jie'gou 生产结构
'sheng'chan'li 生产力
'sheng'chan'zi'liao 生产资料
'sheng'chan'zi'liao'suo'you'zhi 生产资料所有制
'shi'chang'jing'ji 市场经济
'shi'jie'jing'ji'yi'ti'hua'li'lun 世界经济一体化理论
'shi'jie'shi'chang 世界市场
'shuang'gui'zhi 双轨制
'shui'shou 税收
'si'ge'xian'dai'hua 四个现代化
'te'bie'ti'kuan'quan 特别提款权
'tong'huo'peng'zhang 通货膨胀
'tong'huo'peng'zhang'li'lun 通货膨胀理论
'tou'ru'chan'chu'fen'xi 投入产出分析
'tou'zi'zi'xun 投资资讯
'wai'guo'du'zi'qi'ye 外国独资企业
'wai'hui'pai'jia 外汇牌价
'wai'hui'shou'zhi'ping'heng 外汇收支平衡
'wu'xing'mao'yi 无形贸易
'xian'jin'guan'li 现金管理
'xiao'fei 消费
'xiao'fei'jia'ge'zhi'shu 消费价格指数
'xiao'fei'jie'gou 消费结构
'xiao'fei'xin'dai 消费信贷
'xin'dai 信贷
'xin'dai'kong'zhi 信贷控制
'xin'xing'gong'ye'hua'guo'jia 新兴工业化国家
'xin'yong 信用
'xin'yong'ka 信用卡
'xin'zi'you'zhu'yi'jing'ji'li'lun 新自由主义经济理论
'yi'shang'lun'jing'ji'si'xiang 抑商论经济思想
'yin'bi'xing'shi'ye 隐蔽性失业
'yin'gen'jin'suo 银根紧缩
'ying'guo'yong'su'zheng'zhi'jing'ji'xue 英国庸俗政治经济学
'ying'tong'huo 硬通货
'ying'ye'shui 营业税
'yu'suan'wai'zi'jin 预算外资金
'zai'sheng'chan 再生产
'zhao'biao'yu'tou'biao 招标与投标
'zhi'li'zheng'dun 治理整顿
'zhi'neng'jing'ji 智能经济
'zhi'zhang 滞胀
'zhong'nong'xue'pai'de'jing'ji'si'xiang 重农学派的经济思想
'zhong'shang'zhu'yi'si'xiang 重商主义思想
'zhong'wai'he'zi'qi'ye 中外合资企业
'zhong'wai'he'zuo'qi'ye 中外合作企业
'zhuan'ye'hu 专业户
'zi'ben 资本
'zi'ran'jing'ji 自然经济
'zi'you'zhu'yi'jing'ji'si'xiang 自由主义经济思想
'zu'lin 租赁
'zui'gao'xian'jia 最高限价
'zui'hui'guo'dai'yu 最惠国待遇
