'a'gao'zhi'yi 阿缟之衣
'er'shi'chen'wei'ya'qing 而使臣为亚卿
'er'shi'qi'jie'dai'zhi'jiang 而使骑劫代之将
'er'sui'su'ya'hua 而随俗雅化
'er'suo'qing'zhe'zai'hu'ren'min'ye 而所轻者在乎人民也
'er'xie'zhong'qi'duo'ye 而挟重器多也
'er'yan'zhao'wang'si 而燕昭王死
'er'yi'shen'de'cha'yu'yan 而以身得察于燕
'er'you'bu'bai'yu'chen'zhi'suo'yi'shi'xian'wang'zhi'xin 而又不白于臣之所以事先王之心
'er'you'hai'yu'zu'xia'zhi'yi 而又害于足下之义
'er'yu'yi'qi'wei'shi 而欲以齐为事
'er'yuan'zhong'zhe'zhong 而愿忠者众
'fei'fu'si'ye 非弗思也
'fei'qin'zhe'qu 非秦者去
'fei'rang'hou 废穰侯
'feng'hou'er'wu'lao 奉厚而无劳
'fu'chai'fu'shi'ye 夫差弗是也
'fu'da'guo 夫大国
'fu'ji'weng'kou'fou'tan'zheng'bo'bi 夫击瓮叩缶弹筝搏髀
'fu'ji'zhi'er 傅玑之珥
'fu'mian'shen'gong 夫免身功
'fu'mu'zhi'ai'zi'ze'wei'zhi'ji'shen'yuan 父母之爱子则为之计深远
'fu'qi 夫齐
'fu'ren'yi'shen 妇人异甚
'fu'shou'qi'shi'yu'cheng'yi'fu'qi 复收七十余城以复齐
'fu'tai'e'zhi'jian 服太阿之剑
'fu'wu'bu'chan'yu'qin 夫物不产于秦
'fu'zhan'yong'qi'ye 夫战勇气也
'ge'gao'yu'zhi'rang 割膏腴之壤
'gong'duo'zhe'shou'zhi 功多者授之
'gong'jiang'chi'zhi 公将驰之
'gong'jiang'gu'zhi 公将鼓之
'gong'jiang'zhan 公将战
'gong'li'er'bu'fei 功立而不废
'gong'shi'dao'jin 功施到今
'gong'wei'you'ji'xian'wang'zhe'ye 功未有及先王者也
'gong'wen'qi'gu 公问其故
'gong'yu'zhi'cheng 公与之乘
'gong'yue 公曰
'gu'bu'gan'wei'ci'shuo 故不敢为辞说
'gu'cha'neng'er'shou'guan'zhe 故察能而授官者
'gu'chen'zi'xu'er'fu'hui 故沉子胥而弗悔
'gu'cheng'yu'hou'shi 故称于后世
'gu'ding'fan'hu'li'shi 故鼎反乎历室
'gu'dun'tao'ben'zhao 故遁逃奔赵
'gu'fan'ming 顾反命
'gu'gan'yi'shu'bao 故敢以书报
'gu'gan'yi'shu'dui 故敢以书对
'gu'jia'jie'yu'wei'wang 故假节于魏王
'gu'ke'zhi 故克之
'gu'lie'di'er'feng'zhi 故裂地而封之
'gu'neng'cheng'qi'da 故能成其大
'gu'neng'jiu'qi'shen 故能就其深
'gu'neng'ming'qi'de 故能明其德
'gu'rou'zhi'qin'ye 骨肉之亲也
'gu'ru'jiang'er'bu'gai 故入江而不改
'gu'shou'ming'er'bu'ci 故受命而不辞
'gu'shou'ming'er'fu'ci 故受命而弗辞
'gu'wu'wang'fu'chai'bu'wu'xian'lun'zhi'ke'yi'li'gong 故吴王夫差不悟先论之可以立功
'gu'yi'wei'qi'ai'bu'ruo'yan'hou 故以为其爱不若燕后
'gu'yuan'wang'jian'tai'hou 故愿望见太后
'gu'zhao'jiang'jun 故召将军
'gu'zhi'jun'zi'jiao'jue'bu'chu'e'sheng 古之君子交绝不出恶声
'gu'zhu'yu'chun'qiu 故著于春秋
'gu'zhu'zhi 故逐之
'gua'ren'qi'gan'yi'ri'er'wang'jiang'jun'zhi'gong'zai 寡人岂敢一日而忘将军之功哉
'gua'ren'xin'ji'wei 寡人新即位
'gua'ren'zhi'shi'qi'jie'dai'jiang'jun 寡人之使骑劫代将军
'gui'shen'jiang'fu 鬼神降福
'gui'yue 刿曰
'guo'da'zhe'ren'zhong 国大者人众
'guo'yi'fu'qiang 国以富强
'guo'zu'bu'ru'qin 裹足不入秦
'he'bei'zhi'di 河北之地
'he'hai'bu'ze'xi'liu 河海不择细流
'he'ye 何也
'he'yi'zhan 何以战
'he'yu'shen 和于身
'huai'bei 淮北
'hui'wang'ji'wei 惠王即位
'hui'wang'yong'zhang'yi'zhi'ji 惠王用张仪之计
'hui'xian'wang'qi'qun'chen 会先王弃群臣
'huo'chu'wei'zhi'shi 获楚魏之师
'huo'zhi'lie'zhuan'xu 货殖列传序
'ji'ke 既克
'ji'qiu'zhi'zhi 蓟丘之植
'ji'shang'zhi'jun'feng'ling'ji'qi 济上之军奉令击齐
'ji'si'bi'zhu'zhi 祭祀必祝之
'ji'zhi'qi'qun'chen'zhi'ri 及至弃群臣之日
'jia'ye'yao'tiao 佳冶窈窕
'jian'cui'feng'zhi'qi 建翠凤之旗
'jiang'jun'guo'ting 将军过听
'jiang'jun'wei'yan'po'qi 将军为燕破齐
'jiang'jun'zi'wei'ji'ze'ke'yi 将军自为计则可矣
'jiang'nan'jin'xi'bu'wei'yong 江南金锡不为用
'jie'ke'yi'jiao'yu'hou'shi 皆可以教于后世
'jie'kou'bing'er'ji'dao'liang 借寇兵而赍盗粮
'jie'yi'ke'zhi'gong 皆以客之功
'jin'ao'zun'chang'an'jun'zhi'wei 今媪尊长安君之位
'jin'bi'xia'zhi'kun'shan'zhi'yu 今陛下致昆山之玉
'jin'jun'xian'zhi'yi'shu'yan 尽郡县之以属燕
'jin'li 尽力
'jin'nai'qi'qian'shou'yi'zi'di'guo 今乃弃黔首以资敌国
'jin'qi'ji'weng'kou'fou'er'jiu'zheng'wei 今弃击瓮叩缶而就郑卫
'jin'qu'ren'ze'bu'ran 今取人则不然
'jin'san'shi'yi'qian 今三世以前
'jin'shou'ru'yan 尽收入燕
'jin'wang'shi'shi'zhe'shu'zhi'zui 今王使使者数之罪
'jin'xiu'zhi'shi'bu'jin'yu'qian 锦绣之饰不进于前
'jin'yi'shen'mian 仅以身免
'jin'zhu'ke'yi'zi'di'guo 今逐客以资敌国
'jing'nuo 敬诺
'ju'di'qian'li 举地千里
'ju'fu'jie 具符节
'ju'tian'xia'er'tu'zhi 举天下而图之
'ju'you'fu'yan 惧有伏焉
'ju'zhao'yong'yue'yi'cheng'yan'zhi'bi'yi'fa'yan 惧赵用乐毅乘燕之弊以伐燕
'jun'guo'yi 君过矣
'ke'bao'zhe'duo 可宝者多
'ke'he'fu'yu'qin'zai 客何负于秦哉
'ke'yi 可矣
'ke'yi'xing'wu'zui'yi 可以幸无罪矣
'ke'yi'yi'zhan 可以一战
'kong'di'fu'zhi'zhi'zui 恐抵斧质之罪
'kong'shi'yu'zhe'zhi'qin'zuo'you'zhi'shuo 恐侍御者之亲左右之说
'kuai'yi'dang'qian 快意当前
'lai'pi'bao'gong'sun'zhi'yu'jin 来邳豹公孙支于晋
'lao'chen'bing'zu 老臣病足
'lao'chen'jian'xi'shu'qi 老臣贱息舒祺
'lao'chen'jin'zhe'shu'bu'yu'shi 老臣今者殊不欲食
'lao'chen'qie'yi'wei 老臣窃以为
'lao'chen'yi'ao'wei'chang'an'jun'ji'duan'ye 老臣以媪为长安君计短也
'lao'fu'bi'tuo'qi'mian 老妇必唾其面
'lao'fu'bu'neng 老妇不能
'lao'fu'bu'wen'ye 老妇不闻也
'lao'fu'shi'nian'er'xing 老妇恃辇而行
'li'hui'ru'zhi'fei 离毁辱之非
'li'ming'zhi'shi 立名之士
'lin'bu'ce'zhi'zui 临不测之罪
'lun'xing'er'jie'jiao'zhe 论行而结交者
'lun'zhan 论战
'mei'si'yi'wen 没死以闻
'min'wu'yi'guo 民无异国
'min'yi'yin'sheng 民以殷盛
'ming'cheng'er'bu'hui 名成而不毁
'mo'jing'yu'jie'zhao'yi 莫径于结赵矣
'nai'ru'jian 乃入见
'nai'zi'qiang'bu 乃自强步
'nan'ce'ye 难测也
'nan'qu'han'zhong 南取汉中
'nan'shi'chen'yu'zhao 南使臣于赵
'nei'zi'xu'er'wai'shu'yuan'yu'zhu'hou 内自虚而外树怨于诸侯
'neng'dang'zhe'chu'zhi 能当者处之
'nian'bei'qi'yuan'ye 念悲其远也
'nian'ji'he'yi 年几何矣
'qi'bing'nai'chu 齐兵乃出
'qi'bing'sui'er'gong'qi 起兵随而攻齐
'qi'fei'ji'jiu'chang 岂非计久长
'qi'ji'you'zai'zhe'hu 其继有在者乎
'qi'ke'da'po 齐可大破
'qi'qi'she'yu'ning'tai 齐器设于宁台
'qi'ren'san'gu 齐人三鼓
'qi'ren'zhu'zhi'zi'sun'ze'bi'bu'shan'zai 岂人主之子孙则必不善哉
'qi'shi'bai'ji 齐师败绩
'qi'shi'fa'wo 齐师伐我
'qi'tian'dan'zha'qi'jie 齐田单诈骑劫
'qi'wang'tao'dun'zou'ju 齐王逃遁走莒
'qi'xiang'ren'yue 其乡人曰
'qi'yue 齐曰
'qiang'gong'shi 强公室
'qie'ai'lian'zhi 窃爱怜之
'qie'xie'zhi'yue 且谢之曰
'qie'xiu'ji'shi 且休计事
'qie'yi'wei'guo'yi 窃以为过矣
'qie'you 且又
'qie'zi'shu 窃自恕
'qin'bu'sheng'yi'yan 秦不生一焉
'qin'ji'gong'zhi 秦急攻之
'qing'zu'rui'bing 轻卒锐兵
'qiu'guo'wu'wei 求国无危
'que'bin'ke'yi'ye'zhu'hou 却宾客以业诸侯
'ran'ze'shi'suo'zhong'zhe'zai'hu'se'le'zhu'yu 然则是所重者在乎色乐珠玉
'ren'zhu'zhi'zi'ye 人主之子也
'ri'san'si'li 日三四里
'ri'shi'yin'de'wu'shuai'hu 日食饮得无衰乎
'rou'shi'zhe'bi'wei'neng'yuan'mou 肉食者鄙未能远谋
'rou'shi'zhe'mou'zhi'you'he'jian'yan 肉食者谋之又何间焉
'ru'er'xu'qu 入而徐趋
'ruo'shi'zhe'he'ye 若是者何也
'ruo'xian'wang'zhi'bao'yuan'xue'chi 若先王之报怨雪耻
'san'cheng'wei'xia 三城未下
'sang'jian 桑间
'shan'shi'zhe'bu'bi'shan'zhong 善始者不必善终
'shan'zuo'zhe'bu'bi'shan'cheng 善作者不必善成
'shao'yi'qi'shi 少益耆食
'shao'yu'wu'xiang 韶虞武象
'shen'yu'fu'ren 甚于妇人
'shi'bu'chan'yu'qin 士不产于秦
'shi'guan'er'yi'yi 适观而已矣
'shi'ji'meng'li 施及萌隶
'shi'nian'chun 十年春
'shi'qin'cheng'di'ye 使秦成帝业
'shi'shi'guo'wu'fu'li'zhi'shi 是使国无富利之实
'shi'tian'xia'zhi'shi'tui'er'bu'gan'xi'xiang 使天下之士退而不敢西向
'shi'wu'sui'yi 十五岁矣
'shi'yi'di'wu'si'fang 是以地无四方
'shi'yi'tai'shan'bu'rang'tu'rang 是以泰山不让土壤
'shi'zhi'de'bi'hu'xiao'guo'zhu'hou 使之得比乎小国诸侯
'shi'zhi'xi'mian'shi'qin 使之西面事秦
'shi'zhou'er 恃粥耳
'shou'ba'bai'sui'zhi'xu'ji 收八百岁之蓄积
'shu'ling'tuo'zhi'gu 树灵鼍之鼓
'shu'shi'er'bu'yong 疏士而不用
'shun'shu'nie'zhe 顺庶孽者
'shuo'er'mu'zhe 说耳目者
'si'guo'gong'zhi 四国攻之
'si'shi'chong'mei 四时充美
'song'di 宋地
'sui'ba'xi'rong 遂霸西戎
'sui'juan'yan'er'gui'zhao 遂捐燕而归赵
'sui'san'liu'guo'zhi'zhong 遂散六国之众
'sui'shao 虽少
'sui'xian'wang'ju'er'you'zhi'yu'ji'shang 随先王举而有之于济上
'sui'zhu'qi'shi 遂逐齐师
'sun'min'yi'yi'chou 损民以益雠
'suo'yi'neng'xun'fa'ling 所以能循法令
'suo'yi'shi'hou'gong 所以饰后宫
'tai'hou'bu'ken 太后不肯
'tai'hou'ming'wei'zuo'you 太后明谓左右
'tai'hou'sheng'qi'er'yi'zhi 太后盛气而揖之
'tai'hou'xiao'yue 太后笑曰
'tai'hou'yue 太后曰
'tai'hou'zhi'se'shao'jie 太后之色少解
'tai'shi'gong'niu'ma'zou'si'ma'qian 太史公牛马走司马迁
'tian'xia'mo'bu'zhen'dong 天下莫不振动
'tui'tan'zheng'er'qu'zhao'yu 退弹筝而取昭虞
'wang'qi'qi'mi 望其旗靡
'wang'ruo'yu'fa'zhi 王若欲伐之
'wang'zhe'bu'que'zhong'shu 王者不却众庶
'wang'zhu'jun'nai'shi'ren'xian'shu'bao'yan'wang'yue 望诸君乃使人献书报燕王曰
'wei'du'zhao 微独赵
'wei'jiang'jun'jiu'bao'lu'yu'wai 为将军久暴露于外
'wei'jun'zhi'liu'yi'yan 唯君之留意焉
'wei'ke 未可
'wei'ke'zhe'zhu 为客者逐
'wei'yan'zhao'wang'he'wu'guo'zhi'bing'er'gong'qi 为燕昭王合五国之兵而攻齐
'wei'zhi'qi 为之泣
'wei'zun'er'wu'gong 位尊而无功
'wo'you'ji'yuan'shen'nu'yu'qi 我有积怨深怒于齐
'wu'lao'zhi'feng 无劳之奉
'wu'shi'qi'zhe'luan 吾视其辙乱
'wu'wang'yuan'ji'zhi'yu'ying 吴王远迹至于郢
'wu'you 无有
'wu'zi'xu'shuo'ting'hu'he'lv 伍子胥说听乎阖闾
'xi'bing'ba 西并巴
'xi'mu'gong'qiu'shi 昔穆公求士
'xi'qu'you'yu'yu'rong 西取由余于戎
'xi'sheng'yu'bo'fu'gan'jia'ye'bi'yi'xin 牺牲玉帛弗敢加也必以信
'xi'shu'dan'qing'bu'wei'cai 西蜀丹青不为采
'xi'xiang'zhi'qi 犀象之器
'xi'yu'zhan'gong 习于战攻
'xi'zhe 昔者
'xia'qi'shi'yu'cheng 下七十馀城
'xia'shi'qi'zhe 下视其辙
'xian'sheng'zhi'jun'bu'yi'lu'si'qi'qin 贤圣之君不以禄私其亲
'xian'wang'guo'ju 先王过举
'xian'wang'ju'guo'er'wei'jiang'jun 先王举国而委将军
'xian'wang'ming'zhi'yue 先王命之曰
'xian'wang'yi'wei'shun'yu'qi'zhi 先王以为顺于其志
'xian'wang'yue'shan 先王曰善
'xian'wang'zhi'ju'cuo 先王之举错
'xian'wang'zhi'ling 先王之灵
'xian'yu'jia'bing 闲于甲兵
'xiang'shi'si'jun'que'ke'er'bu'nei 向使四君却客而不内
'xiao'da'zhi'yu'sui'bu'neng'cha'bi'yi'qing 小大之狱虽不能察必以情
'xiao'gong'yong'shang'yang'zhi'fa 孝公用商鞅之法
'xiao'hui'wei'bian'min'fu'cong'ye 小惠未徧民弗从也
'xiao'xin'wei'fu'shen'fu'fu'ye 小信未孚神弗福也
'yan'wang'hui 燕王悔
'yan'wang'nai'shi'ren'rang'yue'yi 燕王乃使人让乐毅
'yi'ai'zhi'yi 亦哀之矣
'yi'chen'wei'bu'dun'ming 以臣为不顿命
'yi'feng'yi'su 移风易俗
'yi'gu'zuo'qi'zai'er'shuai'san'er'jie 一鼓作气再而衰三而竭
'yi'guo'zhi'le'ye 异国之乐也
'yi'ling'zhao'hou'si'zhi'yu'yi 遗令诏后嗣之馀义
'yi'ming'xian'wang'zhi'ji'zhe 以明先王之迹者
'yi'shang'xian'wang'zhi'ming 以伤先王之明
'yi'shi'suo'an'fu'gan'zhuan'ye'bi'yi'fen'ren 衣食所安弗敢专也必以分人
'yi'shou'jin'yu'zhi'zhong'ye 已守金玉之重也
'yi'shun'zuo'you'zhi'xin 以顺左右之心
'yi'tian'zhi'dao 以天之道
'yi'wan'sheng'zhi'qiang'guo 夷万乘之强国
'yi'wei'wang'gong 以卫王宫
'yi'xing 已行
'yi'xing'wei'li'zhe 以幸为利者
'yi'yu'gua'ren'you'xi 以与寡人有隙
'yi'yue'yi 疑乐毅
'yi'zhi'suo'bu'gan'chu'ye 义之所不敢出也
'ying'jian'shu'yu'song 迎蹇叔于宋
'yong'qi'ren'fan'jian 用齐人反间
'you'bu'neng'shi'wu'gong'zhi'zun 犹不能恃无功之尊
'you'ci'guan'zhi 由此观之
'you'fu'yan'ling'chang'an'jun'wei'zhi'zhe 有复言令长安君为质者
'you'gao'shi'zhi'xin 有高世之心
'you'sui'he'zhi'bao 有随和之宝
'you'zi'sun'xiang'ji'wei'wang'ye'zai 有子孙相继为王也哉
'yu'shi'wei'chang'an'jun'yue'che'bai'sheng 于是为长安君约车百乘
'yu'xin'yi 娱心意
'yuan'ji'wei'tian'gou'he'er'tuo'zhi 愿及未填沟壑而托之
'yuan'ling'de'bu'hei'yi'zhi'shu 愿令得补黑衣之数
'yuan'zhe'ji'qi'zi'sun 远者及其子孙
'yue'yi'ben'zhao 乐毅奔赵
'zai'bai'yan 再拜言
'zao'zhi'zhi'shi 蚤知之士
'ze'bi'ju'tian'xia'er'tu'zhi 则必举天下而图之
'ze'shi'wan'zhu'zhi'zan 则是宛珠之簪
'ze'shi'ye'guang'zhi'bi 则是夜光之璧
'zhan'yu'chang'shao 战于长勺
'zhan'ze'qing'cong 战则请从
'zhang'fu'yi'ai'lian'qi'shao'zi'hu 丈夫亦爱怜其少子乎
'zhao'feng'yi'wei'wang'zhu'jun 赵封以为望诸君
'zhao'nv'bu'li'yu'ce'ye 赵女不立于侧也
'zhao'ruo'xu'yue 赵若许约
'zhao'shi'qiu'jiu'yu'qi 赵氏求救于齐
'zhao'tai'hou'xin'yong'shi 赵太后新用事
'zhao'wang'de'fan'ju 昭王得范雎
'zhao'wang'zhi'zi'sun'hou'zhe 赵王之子孙侯者
'zhe'ye 者也
'zhen'qin'zhi'sheng'ye 真秦之声也
'zheng'wei 郑卫
'zheng'wei'zhi'nv'bu'chong'hou'gong 郑卫之女不充后宫
'zhi'er'zi'xie 至而自谢
'zhi'jin'zhi'qiang 至今治强
'zhi'yan 制鄢
'zhi'yu'qi 质于齐
'zhi'yu'wen'huang 植于汶篁
'zhi'yu'zhao'zhi'wei'zhao 至于赵之为赵
'zhi'zheng'ren'shi'zhi'chen 执政任事之臣
'zhi'zhu'hou'zhi'shu'ye 制诸侯之术也
'zhong'chen'zhi'qu'ye'bu'jie'qi'ming 忠臣之去也不洁其名
'zhong'zhi'shu'ye 忠之属也
'zhu'hou'qin'fu 诸侯亲服
'zhu'hou'you'zai'zhe'hu 诸侯有在者乎
'zhu'hua'yang 逐华阳
'zhu'yu'cai'bao 珠玉财宝
'zhu'yue 祝曰
'zhuo'zhi'hu'bin'ke'zhi'zhong 擢之乎宾客之中
'zi'fu'yi'bu'xiao'zhi'zui 自负以不肖之罪
'zi'jun'zhi'suo'shi'zhi 恣君之所使之
'zi'wu'bo'yi'lai 自五伯以来
'zi'xu'bu'zao'jian'zhu'zhi'bu'tong'liang 子胥不蚤见主之不同量
'zi'yi'wei'feng'ling'cheng'jiao 自以为奉令承教
'zi'yi'wen'zhi'yue 子义闻之曰
'zu'bai'yan'jun 卒败燕军
'zui'shao 最少
'zuo'shi'chu'long'yan'yuan'jian'tai'hou 左师触龙言愿见太后
'zuo'shi'gong'yue 左师公曰
'zuo'you'wu'gua'ren 左右误寡人
