'an'ci'xia'zai 按次下载
'hao'ma'mo'wei 号码末位
'he'jia'huan'ka 合家欢卡
'he'sui'hui'kui 贺岁回馈
'hou'che'ting 候车厅
'hu'chi 互斥
'hu'chu'xian'zhi 呼出限制
'hu'jiao'bao'chi 呼叫保持
'hu'jiao'xian'zhi 呼叫限制
'hu'lian'hu'tong 互联互通
'hu'nian'yin'yue'hui 虎年音乐惠
'hua'fei'li'bao 话费礼包
'hua'fei'ti'xing 话费提醒
'hua'fei'xin'shi 话费信使
'hua'wu'ying'xiao 话务营销
'hua'xia'yin'hang 华夏银行
'huan'le'song 欢乐送
'huan'qiu'ban'wo'xing 环球伴我行
'hui'suo'fu'wu 会所服务
'hui'yuan'quan'yi 会员权益
'ji'ben'tong'hua'fei 基本通话费
'ji'chang'lian'wang 机场联网
'ji'fei'shi'chang 计费时长
'ji'fen'dui'huan 积分兑换
'ji'fen'huan'xin'ji 积分换心机
'ji'fen'hui'bao 积分回报
'ji'fen'hui'kui 积分回馈
'ji'fen'juan'zeng 积分捐赠
'ji'fen'shang'cheng 积分商城
'ji'fen'you'xiao'qi 积分有效期
'ji'fen'zhuan'xi 积分专席
'ji'shi'hua'fei 即时话费
'ji'tuan'cai'ling 集团彩铃
'ji'tuan'cai'xin 集团彩信
'ji'tuan'ka 集团卡
'ji'tuan'ke'hu 集团客户
'ji'tuan'zhuan'xian 集团专线
'ji'xun'tong 集讯通
'ji'zhang'ka 记帐卡
'ji'zhu'liu'yan 机主留言
'jia'dian'xia'xiang 家电下乡
'jia'jia'tong 家家通
'jia'ting'cheng'yuan 家庭成员
'jia'ting'kuan'dai 家庭宽带
'jia'ting'qin'qing'wang 家庭亲情网
'jia'ting'sheng'ji'li'bao 家庭升级礼包
'jia'ting'tao'can 家庭套餐
'jia'ting'tong'yi'zhi'fu 家庭统一支付
'jia'ting'wang 家庭网
'jia'ting'zhang'hu 家庭帐户
'jia'xin'tong 家信通
'jia'yuan'ka 家园卡
'jian'kang'tong'dao 健康通道
'jiang'gan 江干
'jiang'li'ji'fen 奖励积分
'jiao'fei'ka 缴费卡
'jiao'tong'mi'shu 交通秘书
'jin'ka'you'hui'gan'xian 金卡优惠干线
'jing'xin'tong 警信通
'ju'le'bu'zhao'mu 俱乐部招募
'kai'ji'xin'xi 开机信息
'kai'ji'yin'shen 开机隐身
'ke'dui'huan'ji'fen 可兑换积分
'ke'fu'ye'wu'ding'gou 客服业务订购
'ke'hu'fu'wu're'xian 客户服务热线
'ke'hu'fu'wu'shi'tu 客户服务视图
'ke'hu'jing'li 客户经理
'ke'hu'kuai'xian 客户快线
'ke'shi'dian'hua 可视电话
'kong'zhong'chong'zhi 空中充值
'kong'zhong'huan'ling 空中换铃
'kou'jian'ji'fen 扣减积分
'kua'qu'bu'ka 跨区补卡
'kua'qu'jiao'fei 跨区缴费
'kua'qu'ru'wang 跨区入网
'kua'qu'ting'fu'ji 跨区停复机
'kui'zeng'jin 馈赠金
'lai'dian'ti'xing'duan'xin 来电提醒短信
'lai'dian'zhu'shou 来电助手
'lai'dian'zhu'shou'zi'xun'fu'wu 来电助手资讯服务
'lai'hua'chang'ting 来话畅听
'lai'hua'xian'zhi 来话限制
'lai'xian 来显
'lao'dai'xin 老带新
'leng'dong'qi 冷冻期
'liang'hao'qiang'zhu 靓号抢注
'lv'se'tong'dao 绿色通道
'lv'xiang'zi'huan'bao'ji'hua 绿箱子环保计划
'man'jiu'song 满就送
'man'you'chu'fang'tong'yi'zi'fei 漫游出访统一资费
'man'you'dian'hua'ka 漫游电话卡
'man'you'tong 漫游通
'man'you'xian'shi 漫游闲时
'man'you'zu'ji 漫游租机
'mang'shi'you'hui 忙时优惠
'mi'ma'gua'hua 密码刮花
'mi'ma'que'wei 密码缺位
'mian'fei'fan'wei 免费范围
'mian'fei'jie'ting 免费接听
'mian'fei'ti'yan 免费体验
'mian'fei'tong'hua'fen'zhong'shu 免费通话分钟数
'mian'fei'zi'yuan 免费资源
'mian'ti'duan'xin 免提短信
'mo'hu'ren'zheng 模糊认证
'mo'ren'kai'tong 默认开通
'mu'lu'shu 目录树
'mu'zhi'wen'xue 拇指文学
'nian'ka'xu'yue 年卡续约
'nong'cun'xin'yong'she 农村信用社
'nong'min'xin'xiang 农民信箱
'nong'xin'bai'shi'tong 农信百事通
'nong'xun'tong 农讯通
'nong'zheng'tong 农政通
'pai'zhao'ke'hu 拍照客户
'pin'pai'tao'can 品牌套餐
'pu'tong'bao'yue 普通包月
'qi'cai'duan'xin 七彩短信
'qi'xian 七县
'qi'xiang'duan'xin 气象短信
'qi'xiang'xin'xi'fu'wu 气象信息服务
'qi'ye'ban 企业版
'qi'ye'biao'zhi 企业标识
'qi'ye'jian'zhan 企业建站
'qi'ye'ke'hu 企业客户
'qi'ye'tong'xin'zhu'li 企业通信助理
'qi'ye'xin'xi'ji 企业信息机
'qi'ye'you'xiang 企业邮箱
'qian'fei'ting'ji 欠费停机
'qiao'shou'ma'mi'si'fang'cai 巧手妈咪私房菜
'qin'qing'hao'ma 亲情号码
'qin'qing're'xian 亲情热线
'qin'qing'wang 亲情网
'qin'you'wang 亲友网
'qin'zi'tong 亲子通
'qing'song'ka 轻松卡
'qiu'lei'quan 球类券
'qu'hua'xian'zhi 去话限制
'qu'yu'wang 区域网
'qu'yu'xian'zhi 区域限制
'quan'guo'dan'xiang 全国单向
'quan'guo'fan'wei 全国范围
'quan'guo'man'you'bei'jiao'fen'zhong'shu 全国漫游被叫分钟数
'quan'guo'man'you'chang'ting'bao 全国漫游畅听包
'quan'jia'zong'dong'yuan 全家总动员
'quan'qiu'tong'jiao'fei'ka 全球通缴费卡
'quan'wang'ji'fen'shang'cheng 全网积分商城
'quan'wang'yin'yue'he 全网音乐盒
'qun'fa'xin'xi 群发信息
'qun'hu'qun'liao 群呼群聊
'qun'zu'she'zhi 群组设置
'rang'du 让渡
'ri'gao'e 日高额
'ri'kou 日扣
'ri'zhang'bi'dui 日账比对
'ru'wang'shi'jian 入网时间
'ruo'fu'gai 弱覆盖
'san'chong'zou 三重奏
'san'ling'liu'xin 三零六心
'san'miao'duan'hua'dan 三秒短话单
'shan'chu'cheng'yuan 删除成员
'shang'hai'pu'dong'fa'zhan'yin'hang 上海浦东发展银行
'shang'wang'ben 上网本
'shang'wang'liu'liang 上网流量
'shang'xin'tong 商信通
'shang'ye'yin'hang 商业银行
'sheng'huo'xiao'fei'zi'xun'xin'xi 生活消费资讯信息
'sheng'ji'chang'tu'tong 省际长途通
'sheng'ji'ji'hua 升级计划
'sheng'ji'kua'qu 省际跨区
'sheng'kong'bo'hao'ji'shu 声控拨号技术
'sheng'kong'hao'bu'bei'fen'gong'neng 声控号簿备份功能
'sheng'kong'hao'ma'bu 声控号码簿
'sheng'nei'kua'qu 省内跨区
'sheng'ri'guan'huai 生日关怀
'sheng'xiao'shi'jian 生效时间
'shi'hua'chang'liao 市话畅聊
'shi'hua'wang 市话王
'shi'pei'ji'xing 适配机型
'shi'shi'fei'yong 实时费用
'shi'shi'zhang'wu 实时帐务
'shi'wu'ka 实物卡
'shi'wu'kun'bang 实物捆绑
'shou'fei'wu'cha 收费误差
'shou'ji'bao'zhi 手机报纸
'shou'ji'chao'gu 手机炒股
'shou'ji'chong'zhi'ka 手机充值卡
'shou'ji'dao'hang 手机导航
'shou'ji'di'tu 手机地图
'shou'ji'dian'shi 手机电视
'shou'ji'dong'man 手机动漫
'shou'ji'fang'zhen 手机仿真
'shou'ji'kan'man'hua 手机看漫画
'shou'ji'man'hua 手机漫画
'shou'ji'ming'pian'guan'jia 手机名片管家
'shou'ji'mo'wei 手机末位
'shou'ji'qian'bao 手机钱包
'shou'ji'shang'jie 手机商界
'shou'ji'shang'wang 手机上网
'shou'ji'shang'wang'an'xin'zhu'shou 手机上网安心助手
'shou'ji'shi'pin 手机视频
'shou'ji'sou'suo 手机搜索
'shou'ji'wei'xiu 手机维修
'shou'ji'xin'yong'ka 手机信用卡
'shou'ji'yi'liao 手机医疗
'shou'ji'yin'hang'ka 手机银行卡
'shou'ji'you'xi 手机游戏
'shou'ji'you'xiang 手机邮箱
'shou'ji'yue'du 手机阅读
'shou'ji'yue'du'qi 手机阅读器
'shou'ji'zheng'quan 手机证券
'shou'ji'zhi'fu 手机支付
'shou'ji'zhi'fu'chong'zhi'you'li 手机支付充值有礼
'shou'ji'zhuo'mian'zhu'li 手机桌面助理
'shu'ju'tao'can 数据套餐
'shu'quan'xiao'fei 书券消费
'shuang'bei'fan'huan 双倍返还
'shuang'chong'li'yu 双重礼遇
'shun'xu'bo'fang 顺序播放
'song'hua'fei 送话费
'su'bo 速拨
'su'du'man 速度慢
'su'pei'jiao'you 速配交友
'sui'mo'chong'zhi 岁末充值
'ta'wang 他网
'tai'gang'ao'man'you 台港澳漫游
'tao'can'bian'geng 套餐变更
'tao'can'nei 套餐内
'tao'can'wai 套餐外
'tao'can'you'hui 套餐优惠
'tao'can'yue'fei 套餐月费
'tao'ka'ji'huo 套卡激活
'tao'ka'yu'kai 套卡预开
'tao'le'hui 淘乐汇
'te'fu'hao 特服号
'te'hui'zhuang 特惠装
'te'quan'bao'kai 特权报开
'te'shu'hao'ma 特殊号码
'te'yue'shang'hu 特约商户
'ti'yan'bao 体验包
'ti'yu'chang'lu 体育场路
'tie'tong'kuan'dai 铁通宽带
'ting'fu'ji 停复机
'ting'ji'bao'hao'fei 停机保号费
'tong'cheng'te'li 同城特例
'tong'hua'shi'chang 通话时长
'tong'xiang'wang 同乡网
'tong'xin'you'hui 通信优惠
'tong'xin'zhang'hu'zhi'fu 通信帐户支付
'tong'yi'cha'xun'tui'ding 统一查询退订
'tong'yi'kou'jing 统一口径
'tong'yi'men'hu 统一门户
'tong'yi'zhang'hu 统一帐户
'tong'yi'zhi'fu 统一支付
'wai'lai'wu'gong 外来务工
'wang'jian'hu'zhuan 网间呼转
'wang'liao'tao'can 网聊套餐
'wang'luo'zhi'shi 网络制式
'wang'nei'cai'xin 网内彩信
'wang'nei'dan'xiang 网内单向
'wang'nei'hu'zhuan 网内呼转
'wang'qiu'quan 网球券
'wang'shang'yin'hang'ka'chong'zhi 网上银行卡充值
'wei'xing'dian'hua 卫星电话
'wei'xiu'zhong'xin 维修中心
'wei'zhi'fu'wu 位置服务
'wen'quan'quan 温泉券
'wen'yi'lu 文一路
'wu'fa'deng'ji'wang'luo 无法登记网络
'wu'gu'kai'tong 无故开通
'wu'liu'xin'xi 物流信息
'wu'tiao'jian'hu'zhuan 无条件呼转
'wu'xian'kuan'dai 无线宽带
'wu'xian'quan'guo'tong 无线全国通
'wu'xian'shang'wang 无线上网
'wu'xian'shang'wang'ka 无线上网卡
'wu'xian'ti'yu'ju'le'bu 无线体育俱乐部
'wu'xian'wang'zhan 无线网站
'wu'xian'yin'yue'ju'le'bu 无线音乐俱乐部
'wu'xian'yin'yue'mi'gu'hui 无线音乐咪咕汇
'wu'xian'zuo'ji 无线座机
'wu'ying'da'hu'zhuan 无应答呼转
'xi'che 洗车
'xi'che'ka 洗车卡
'xi'che'quan 洗车券
'xia'sha 下沙
'xia'zhou'qi 下周期
'xian'shi'bao 闲时包
'xian'shi'chang'hua 闲时长话
'xian'shi'you'hui 闲时优惠
'xian'shi'you'hui'bao 闲时优惠包
'xiang'dan'yin'cang 详单隐藏
'xiang'shan 象山
'xiang'zhen'ka 乡镇卡
'xiang'zhen'wang 乡镇网
'xiao'e'zhi'fu 小额支付
'xiao'fei'zhe'quan'yi 消费者权益
'xiao'fei'zhe'quan'yi'bao'hu'fa 消费者权益保护法
'xiao'qu'duan'xin 小区短信
'xiao'shan 萧山
'xiao'tie'shi 小贴士
'xiao'xin'ka 孝心卡
'xiao'xun'tong 校讯通
'xiao'yuan'ban 校园版
'xiao'yuan'chang'liao 校园畅聊
'xiao'yuan'wang'liao 校园网聊
'xiao'yuan'wu'xian 校园无线
'xiao'yuan'you'hui 校园优惠
'xiao'yuan'you'xian 校园有线
'xin'chun'te'hui 新春特惠
'xin'du'shi 新都市
'xin'hua'kuai'xun 新华快讯
'xin'ji 心机
'xin'ji'wei'xiu 心机维修
'xin'ji'wei'xiu'zhong'xin 心机维修中心
'xin'ji'ying'ye'ting 心机营业厅
'xin'ji'zu'he'ying'xiao'li'bao 心机组合营销礼包
'xin'jiang'wei'wu'er'zi'zhi'qu 新疆维吾尔自治区
'xin'ru'wang 新入网
'xin'ru'wang'chou'jiang 新入网抽奖
'xin'sheng'zhi'you 新生直邮
'xin'wen'zao'wan'bao 新闻早晚报
'xin'xi'cha'xun 信息查询
'xin'xi'guan'jia 信息管家
'xin'xi'ji 信息机
'xin'xi'qu 信息区
'xin'ye'wu 新业务
'xin'ye'wu'bao 新业务包
'xin'ye'wu'cu'xiao 新业务促销
'xin'ye'wu'li'bao 新业务礼包
'xin'ye'wu'ti'yan 新业务体验
'xiu'xian'ba 休闲吧
'xu'ni'huo'bi 虚拟货币
'xu'ni'wang'bao 虚拟网包
'xu'ni'wang'cu'xiao 虚拟网促销
'xue'xi'yuan'di 学习园地
'yao'qing'cheng'yuan 邀请成员
'ye'hua'chang'liao 夜话畅聊
'ye'hua'wu'mian 夜话无眠
'ye'wu'bao'dian 业务宝典
'ye'wu'shou'li 业务受理
'yi'chong'zhi 易充值
'yi'deng'ji 易登机
'yi'di'bu'ka 异地补卡
'yi'di'ke'hu 异地客户
'yi'dong'da'ying'jia 移动大赢家
'yi'dong'ding'wei 移动定位
'yi'dong'gai'bian'sheng'huo 移动改变生活
'yi'dong'gong'hua 移动公话
'yi'dong'huan'le'jia'ting'ji'hua 移动欢乐家庭计划
'yi'dong'shang'wu 移动商务
'yi'dong'shu'ju'liu'liang 移动数据流量
'yi'dong'wang'zhan 移动网站
'yi'dong'wei'shi 移动卫士
'yi'dong'xie'tong'ban'gong 移动协同办公
'yi'dong'xin'ji 移动心机
'yi'dong'ying'yong'shang'chang 移动应用商场
'yi'dong'zeng'zhi'ye'wu 移动增值业务
'yi'dong'zong'ji 移动总机
'yi'dui'huan'ji'fen 已兑换积分
'yi'hao'tong 一号通
'yi'ji'shuang'hao 一机双号
'yi'jia'qin 一家亲
'yi'jian'dui'huan 一键兑换
'yi'kou'jia 一口价
'yi'ma'tong 一码通
'yi'shu'jian'cang'sha'long 艺术鉴藏沙龙
'yi'xian'tong 一线通
'yi'xun'tong 医讯通
'yi'yuan'fu'wu 医院服务
'yi'yuan'gou'ji 一元购机
'yi'yuan'ji'shuang 一元激爽
'yi'zhan'shi'fu'wu 一站式服务
'yin'lian'ji'shi'tong 银联即时通
'yin'lian'ka'dian'hua'chong'zhi 银联卡电话充值
'yin'lian'ka'wang'shang'chong'zhi 银联卡网上充值
'yin'yue'sou'suo 音乐搜索
'yin'yue'sui'shen'ting 音乐随身听
'ying'ye'fu'ji 营业复机
'ying'ye'ting'ji 营业停机
'you'hui'bao 优惠包
'you'hui'cu'xiao 优惠促销
'you'hui'fen'zhong'shu 优惠分钟数
'you'hui'shi'duan 优惠时段
'you'tiao'jian'hu'jiao 有条件呼叫
'you'xian'kuan'dai 有线宽带
'you'xian'tong 有线通
'yu'cun'hua'fei 预存话费
'yu'di'kou 预抵扣
'yu'ding'qun'hu 预定群呼
'yu'e'zhuan'yi 余额转移
'yu'hang 余杭
'yu'jiao'hua'fei 预缴话费
'yu'jiao'hua'fei'song 预缴话费送
'yu'jiao'song 预缴送
'yu'mang'hu'zhuan 遇忙呼转
'yu'xuan'kai'tong 预选开通
'yu'yin'cai'xin 语音彩信
'yu'yin'xiao'zong'ji 语音小总机
'yu'yin'zeng'zhi'fu'wu 语音增值服务
'yuan'tong 元通
'yue'du'zhuan'qu 阅读专区
'yue'fei'cu'xiao 月费促销
'yue'fei'yu'jiao 月费预缴
'yue'gong'neng'fei 月功能费
'yue'kou 月扣
'yue'zhang'dan 月帐单
'yue'zu'fei 月租费
'zeng'jia'cheng'yuan 增加成员
'zeng'zhi'ye'wu 增值业务
'zeng'zhi'ye'wu'fa'shao'you 增值业务发烧友
'zhang'dan'ke'mu 帐单科目
'zhang'hu'bi'dui 帐户比对
'zhang'hu'you'xiao'qi 帐户有效期
'zhang'shang'hang'zhou 掌上杭州
'zhang'shang'ning'bo 掌上宁波
'zhang'shang'shou'ji'bao 掌上手机报
'zhang'shang'yun'ying 掌上运赢
'zhang'wu'bian'geng 账务变更
'zhang'wu'fu'ji 帐务复机
'zhang'zhong'xue'xi'bao 掌中学习宝
'zhe'jiang'shou'ji'bao 浙江手机报
'zhe'zhe'ka 折折卡
'zhen'ling'xia'zai 振铃下载
'zhen'yu'zhi'shan 臻于至善
'zheng'ban'yin'yue'yi'zhe'gou 正版音乐一折购
'zheng'de'hou'sheng 正德厚生
'zheng'qi 政企
'zhi'gong'wang'dian 直供网点
'zhi'jie'jian'mian 直接减免
'zhi'you'ka 直邮卡
'zhi'zun'ban 至尊版
'zhi'zun'bao 至尊包
'zhong'duan'cu'xiao 终端促销
'zhong'duan'kun'bang 终端捆绑
'zhong'duan'you'hui 终端优惠
'zhong'gao'duan 中高端
'zhong'gao'duan'ke'hu 中高端客户
'zhong'guo'dian'xin 中国电信
'zhong'guo'guang'da'yin'hang 中国光大银行
'zhong'guo'jiao'tong'yin'hang 中国交通银行
'zhong'guo'lian'tong 中国联通
'zhong'guo'min'sheng'yin'hang 中国民生银行
'zhong'guo'yi'dong'ji'tuan'gong'si 中国移动集团公司
'zhu'bei'jiao 主被叫
'zhu'hao'ma 主号码
'zhu'jiao'fu'fei 主叫付费
'zhuan'shu'ka 专属卡
'zhuan'zhang'tong 转帐通
'zhuan'zhuan'ying 转转赢
'zi'ban'ye'wu 自办业务
'zi'ban'ying'ye'ting 自办营业厅
'zi'fei'you'xian'ji 资费优先级
'zi'liao'bu'lu 资料补录
'zi'liao'cha'xun 资料查询
'zi'zhu'fu'wu 自助服务
'zi'zhu'wang 自助网
'zong'he'jie'ru'yu'yin'zhuan'xian 综合接入语音专线
'zu'he'bao 组合包
'zuan'shi'ka 钻石卡
'zui'di'xiao'fei 最低消费
'zun'xiang 尊享
'zun'xiang'hao'li 尊享好礼
