'a'bang 阿傍
'ren'qing'xuan 任清璇
'ren'tian'xiang 任天翔
'ri'yue'da'dao 日月大刀
'rou'ruo'wu'gu 柔弱无骨
'sai'bei'zhi'hu 塞北之虎
'sai'fei'hong 赛飞鸿
'sai'wang'fu 赛王府
'sai'wang'ye 赛王爷
'san'cai'jian'zhen 三才剑阵
'sha'ji'si 沙吉丝
'sha'mo'zhi'ying 沙漠之鹰
'shan'bei'shi'san'yan 陕北十三雁
'shang'he'ming 商鹤鸣
'shang'jing'zhong 尚精忠
'shang'zhong'ren 商仲仁
'shang'zhong'zhi 商仲智
'shao'lin'men'ren 少林门人
'shao'lin'san'shen'seng 少林三神僧
'shao'lin'si 少林寺
'shao'lin'wu'chi 少林武痴
'shao'nian'ying'xiong 少年英雄
'she'shi'sheng 摄湿生
'she'xie'mei'ren 蛇蝎美人
'shen'huo'bing 神火兵
'shen'lai'yi'zhi 神来一指
'shen'lan 沈澜
'shen'nong'bai'cao 神农百草
'shen'nong'zai'shi 神农在世
'shen'xiang'yun 沈湘芸
'shen'yi 神医
'shen'zhen 沈鸩
'sheng'si'pan 生死判
'sheng'tang 圣堂
'shi'ba'tong'ren 十八铜人
'shi'dian'yan'wang 十殿阎王
'shi'gang 史刚
'shi'quan'shao'nian 十全少年
'shi'shen 食神
'shi'yan 史燕
'shi'yi 史义
'shou'wang'zhuang 兽王庄
'shou'wang'zhuang'zhu 兽王庄主
'shu'sheng 书生
'shuang'shou'qing'ren 双手情人
'shui'pan'pan 水盼盼
'shun'feng'er 顺风耳
'si'tian'wang 四天王
'si'xiang'dao'zhen 四象刀阵
'ta'ya 塔娅
'tang'fei 唐飞
'tang'guan'nan 唐冠南
'tang'men 唐门
'tang'zhong'hui 唐中慧
'tian'cai'hua'shi 天才画师
'tian'can'dao 天残刀
'tian'ji'lao'dao 天机老道
'tian'jian'men 天剑门
'tian'long'ba'bu 天龙八部
'tian'long'er'jiao'zhu 天龙二教主
'tian'long'jiao 天龙教
'tian'long'jiao'zhong 天龙教众
'tian'long'zun'shi 天龙尊使
'tian'sha'gu'xing 天煞孤星
'tian'shan'pai 天山派
'tian'shan'qing'jian 天山青剑
'tian'sheng'fei'chai 天生废柴
'tian'wang 天王
'tian'wu'chan'shi 天悟禅师
'tian'xia'di'yi'ren 天下第一人
'tian'xia'san'jue'yan 天下三绝艳
'tian'yi'cheng 天意城
'tian'yi'cheng'zhu 天意城主
'tian'yi'nan'wei 天意难违
'tian'yi'shang'ren 天意上忍
'tian'yi'zhi'du 天意之毒
'tian'yi'zhi'hua 天意之花
'tian'yi'zhi'kuang 天意之狂
'tian'yi'zhi'lang 天意之浪
'tie'bi'yin'gou 铁笔银钩
'tie'cha'bu 铁叉部
'tie'mian'luo'cha 铁面罗刹
'tie'mian'wu'si 铁面无私
'tie'qiang'dui 铁枪队
'tie'quan'wu'di 铁拳无敌
'tong'qiang'tie'bi 铜墙铁壁
'tu'fan 吐蕃
'wan'fu'mo'di 万夫莫敌
'wan'li'du'xing 万里毒行
'wan'qing'shan 万青山
'wan'yan'ke'er'ke 完颜柯尔克
'wang'hun'tang 亡魂汤
'wang'rong 王蓉
'wang'you'gu 忘忧谷
'wang'you'qi'xian 忘忧七贤
'wei'jia'bao 卫家堡
'wei'wo'du'zun 唯我毒尊
'wei'zi'ling 卫紫绫
'wei'zi'ling 韦子陵
'wo'shi'gu'wo'zai 我尸故我在
'wo'yao'da'shi'ge 我要打十个
'wu'chen 无嗔
'wu'dang'pai 武当派
'wu'dian 无颠
'wu'hui 无慧
'wu'jie 无戒
'wu'lin'meng'zhu 武林盟主
'wu'lin'qun'xia'zhuan 武林群侠传
'wu'lin'tong'jian 武林通鉴
'wu'ming'zhong 无名塚
'wu'qi'da'shi 武器大师
'wu'qiu'feng 舞秋风
'wu'se 无色
'wu'xia'zi 无瑕子
'wu'xing'quan'zhen 五行拳阵
'wu'xue'qi'cai 武学奇才
'wu'yin 无因
'wu'yue'si'long 五岳四龙
'xi'jian 西贱
'xi'men'feng 西门峰
'xi'men'xuan 西门玄
'xi'yu 西域
'xia'hou'cheng 夏侯城
'xia'hou'fei 夏侯非
'xia'ke'feng'yun'chuan 侠客风云传
'xia'yi'xin'chang 侠义心肠
'xian'jian'shan'zhuang 弦剑山庄
'xian'tian'zi 先天子
'xian'xiao'dong 弦箫洞
'xian'xiao'you'gu 弦箫幽谷
'xian'yin 仙音
'xiang'long'luo'han 降龙罗汉
'xiao'a'man 小阿曼
'xiao'fu 萧复
'xiao'li'cang'dao 笑里藏刀
'xiao'shen'tong 小神童
'xiao'xiao 萧潇
'xiao'yao 萧遥
'xiao'yao'di'zi 逍遥弟子
'xiao'yao'gu 逍遥谷
'xiao'yao'quan'bu'ping 逍遥拳不平
'xiao'yao'san'ren 逍遥散人
'xiao'yao'shen'long 逍遥神龙
'xiao'yi'xian 小医仙
'xin'can 心残
'xin'ru'she'xie 心如蛇蝎
'xing'xing'xiang'xi 惺惺相惜
'xiong'tian'ba 熊天霸
'xiu'luo'gong 修罗宫
'xiu'luo'wu'qing 修罗无情
'xu'gu'dao'ren 虚谷道人
'xu'ming 虚明
'xu'zhen 虚真
'xu'zi'qi 徐子骐
'xu'zi'yi 徐子易
'xuan'li'gong 玄漓公
'xuan'ming'zi 玄冥子
'xue'di'ye'dian 雪地野店
'xue'ling'jiao'xia 雪岭娇侠
'xue'shan'zhi'hu 雪山之狐
'xue'zhong'lan 雪中兰
'yan'dan'sheng 阎丹生
'yan'luo 阎罗
'yan'wang'chou 阎王愁
'yan'yu 燕宇
'yang'di'shang'ren 阳第上人
'yang'yu'feng 杨雨枫
'yang'yun 杨云
'yao'huang'xian'zi 姚黄仙子
'ye'cha 夜叉
'ye'gu 叶孤
'ye'lin 野林
'ye'piao'xiang 夜飘香
'ye'qiu'men 野球门
'yi'jian'qing'tian 一剑擎天
'yi'lan 易兰
'yi'rou'ke'gang 以柔克刚
'yi'zi'dian'jian 一字电剑
'yin'ran'jin'dao 银髯金刀
'yin'shi 银尸
'yin'shi'yun 尹世允
'yin'yang'dao 阴阳刀
'yin'yuan'ge'zhu 隐元阁主
'you'feng'lai'yi 有凤来仪
'you'jin 游进
'yu'di'ya'xian 玉笛雅仙
'yu'jin 于进
'yu'mian'pan'an 玉面潘安
'yu'mian'xia'jian 玉面侠剑
'yuan'shi'sen'lin 原始森林
'yuan'zhe'shang'gou 愿者上钩
'yue'pang'zi 岳胖子
'yue'xiao'yao 岳晓遥
'yue'zai'yuan 岳在渊
'yun'long'tian'ji 云龙天际
'zhang'hu 张虎
'zhao'jing'feng 赵惊风
'zhao'long 赵龙
'zhao'ya'er 赵雅儿
'zhen'wu'dao'ren 真武道人
'zhong'zi'dang'tou 忠字当头
'zhou'pei 周沛
'zhou'zu'fo 咒诅佛
'zhu'jian'shan'zhuang 铸剑山庄
'zhu'jian'zhuang'zhu 铸剑庄主
'zhuang'ren'jun 庄人骏
'zhuo'ren'qing 卓人清
'zi'fei'dao 紫飞刀
'zi'ni'chang 紫霓裳
'zi'qing'shuang'jian 紫青双剑
'zi'yang'zi 紫阳子
'zi'zai'tian 自在天
'zui'hou'da'zhang'fu 醉后大丈夫
'zui'xian 醉仙
'zuo'hu'fa 左护法
'zuo'you'kai'gong 左右开弓
