'a'luo'ka 阿络卡
'shi'ya'zhi'juan 狮牙之卷
'shi'yi'zong'shui'zhao 十一宗税诏
'shou'yu'shu 兽语术
'shu'ma 倏马
'shu'ye 舒夜
'shuang'shou'dao'jian'zhi'shu 双手刀剑之术
'shuang'yue 双月
'shuang'yue'cuo'lun'fu 双月错轮斧
'shui'pao 水泡
'shuo'bei 朔北
'si'da'gong'zi 四大公子
'si'jiao'mao'niu 四角牦牛
'su'jin'an 苏晋安
'su'jin'shen 苏瑾深
'su'tie'xi 苏铁惜
'su'xing 苏行
'su'xiu'xing 苏秀行
'su'yi'ji 苏宜姬
'su'yu'ning 苏语凝
'sui'zheng 岁正
'sui'zheng'zhi'tong 岁正之瞳
'suo'shen'jian 索神箭
'suo'yin 索隐
'ta'ba'ta'ba 塔巴塔巴
'ta'huo'ma 踏火马
'tai'pu'qing 太仆卿
'tai'yang 太阳
'tang'que 唐缺
'ti'qi'qi'wei 缇骑七卫
'ti'wei 缇卫
'tian'he 填盍
'tian'heng'tong'ping'qi 天衡通平契
'tian'luo 天罗
'tian'luo'shan'tang 天罗山堂
'tian'nv'kui 天女葵
'tian'qi 天启
'tian'qu 天驱
'tian'tuo'da'jiang 天拓大江
'tian'wu'zhe 天武者
'tie'fu'tu 铁浮图
'tie'fu'tu 铁浮屠
'tie'huang 铁皇
'tie'jia'yi'ran'zai 铁甲依然在
'tie'liu 铁镠
'tie'si'zhi'che 铁驷之车
'tie'xian'he 铁线河
'tong'yun'ma 彤云马
'tuo'ba'shan'yue 拓跋山月
'wan'zhou 宛州
'wei'chang'ting 魏长亭
'wei'zhi'yin'jie 尾指银戒
'wu'di 五狄
'xi'feng 惜风
'xi'men'ye'jing 西门也静
'xi'qie'er'gen'du'la'gong 西切尔根杜拉贡
'xia'da 夏达
'xia'qie 夏茄
'xia'qing'wei 下清卫
'xiang'che 厢车
'xiang'kong'yue 项空月
'xiao'qian'xia 筱千夏
'xiao'ru'se 萧如瑟
'xiao'wu'tuo 萧无陀
'xie'gu'ming 谢孤鸣
'xie'jun 燮军
'xie'luo 缬罗
'xin'huan'shu 心幻术
'xing'chen'kui'lei'xian 星辰傀儡线
'xing'fen'shu 星焚术
'xing'hua'zhi'bian 兴化之变
'xing'liu 星流
'xing'liu'ji'nian 星流纪年
'xuan'qiao'gui 玄鞘鬼
'xue'kui'di'jun 血葵帝君
'xun'wang 逊王
'yan'he 菸河
'yan'shuang'shi'ba'nian 烟霜十八年
'yan'zhi'yu 胭脂鱼
'yang'he 阳河
'yang'pan 杨叛
'yang'tuo'shi 杨拓石
'yao'kong 遥控
'ye'bei 夜北
'ye'bei'gao'yuan 夜北高原
'ye'chen'jun 野尘军
'ye'sun 夜孙
'ye'zheng'hong 叶正鸿
'ye'zheng'xun 叶正勋
'yi'chui'wu'yue 伊吹五月
'yi'sheng'zhi'luan 一生之乱
'yi'tian'zhan 翼天瞻
'yin'chi 印池
'yin'mo'ji'shi 胤末纪事
'yin'qing'di 胤清帝
'ying'gu 莹蛄
'ying'qi 鹰旗
'ying'qi'jun 鹰骑军
'yong'ning'dao'dian'bing 永宁道点兵
'you'chang'ji 幽长吉
'yu'chuan'shuo 羽传说
'yu'fei 郁非
'yu'ran 羽然
'yu'ren 羽人
'yu'shi'tai 御史台
'yuan'ji'dao 元极道
'yuan'ying'xue 原映雪
'yuan'yuan 原鸢
'yue'yi'san'jian 月衣三箭
'yue'zhou 越州
'yun'tian'yi'ke 云天驿客
'yun'wai'yao 云外谣
'yun'wen 云纹
'yun'zhou 云州
'zhai'xing'lou 摘星楼
'zhan'an 斩鞍
'zhang'gong'zhu 长公主
'zhao'ji 照姬
'zhen'wu'hou 真武侯
'zhen'yan 真颜
'zhi'su'qing 治粟卿
'zhong'zhou 中州
'zhu'zao'zhi'nv 铸造之女
'zhuan'li 专犁
'zhui'yi 追翼
'zi'mo'ji'jing'chun'shan'leng 紫陌寂静春山冷
'zi'mo'jun 紫陌君
'zong'ci'dang 宗祠党
'zong'shui'te'dai'hui 宗税特贷会
'zong'zheng'qing 宗正卿
