'an'huang'le'ling 氨磺乐灵
'xi'cao'an 烯草胺
'xi'cao'jing 西草净
'xi'ma'jin 西玛津
'xian'an'lei 酰胺类
'xian'mi'huang'long 酰嘧磺隆
'xiao'huang'cao'tong 硝磺草酮
'xiao'ji'ben'an'lei 硝基苯胺类
'xin'xian'xiu'ben'jing 辛酰溴苯腈
'xiu'ben'jing 溴苯腈
'yan'mi'huang'long 烟嘧磺隆
'yi'bing'cao'an 异丙草胺
'yi'bing'jia'cao'an 异丙甲草胺
'yi'cao'an 乙草胺
'yi'e'cao'an 异噁草胺
'yi'e'zuo'cao'tong 异噁唑草酮
'yi'suo'fu'cao'mi 乙羧氟草醚
'yi'xin'zhi 异辛酯
'yi'yang'huang'long 乙氧磺隆
'yin'cao'tong 茚草酮
'yin'duo'tong'cao'zhi 吲哚酮草酯
'you'ji'lin'lei 有机磷类
'you'mie'jing 莠灭净
'you'qu'jin 莠去津
'zhong'ding'ling 仲丁灵
'zuo'cao'tong 唑草酮
'zuo'mi'huang'cao'an 唑嘧磺草胺
'zuo'tong'cao'zhi 唑酮草酯
