'a'ji 阿棘
'long'qing 龙晴
'luo'hou'jiu'yao'ai'da 落后就要挨打
'luo'jing'xia'shi 落井下石
'luo'ri'can'ji 落日残迹
'luo'zha 罗咤
'ma'bi'da'yi 麻痹大意
'ma'er'si 马尔斯
'man'li'da'ji 蛮力打击
'man'xun 漫巡
'mao'rong'rong 卯绒绒
'mi'mi'yin'lv 秘密音律
'mo'hong'xiu 莫红袖
'mu'ying'chong'chong 幕影重重
'neng'li'cui'hua 能力催化
'neng'liang'huan'shi 能量缓释
'ni'hao'wei'se'er 你好维瑟尔
'ni'xiang'xin'guang'ma 你相信光吗
'ning'shen'ling'yu 宁神领域
'pian'ye'bu'zhan'shen 片叶不沾身
'ping'zhang'fu'neng 屏障赋能
'ping'zhang'shui 屏障水
'ping'zhang'xiao'ying 屏障效应
'ping'zhang'yan 屏障炎
'po'fu'chen'zhou 破釜沉舟
'po'huan'ling'yu 破幻领域
'po'sha'ling'yu 破沙领域
'po'sui'da'ji 破碎打击
'qi'hua 汽化
'qian'ben'zhi'men 千本之门
'qian'chui'bai'lian 千锤百炼
'qiang'gong 强攻
'qiang'xiao'huan'jie 强效缓解
'qin'shi 侵蚀
'qin'zei'xian'qin'wang 擒贼先擒王
'qing'che'shu'lu 轻车熟路
'ren'duo'shi'zhong 人多势众
'ren'xing'te'gong 人形特攻
'rong'guang'huan'fa 容光焕发
'ru'huo'ru'tu 如火如荼
'run'wu'wu'sheng 润物无声
'ruo'dian'biao'ji 弱点标记
'ruo'dian'shi'hua 弱点石化
'shang'fei'le 尚非乐
'shang'hai'ci'fu 伤害赐福
'shen'cang'shen'yu'ming 深藏身与名
'shen'lou 蜃楼
'shen'shang'xing'ying 参商形影
'sheng'ji'ang'ran 生机盎然
'sheng'ming'shou'ge 生命收割
'sheng'ming'song'ge 生命颂歌
'sheng'ming'zhu'fu 生命祝福
'sheng'ren'wu'jin 生人勿近
'sheng'sheng'bu'xi 生生不息
'sheng'si'zai'wo 生死在握
'shi'dui 蚀队
'shi'jiao 失焦
'shi'kong'yuan'su 失控元素
'shi'li'shen'tou 蚀力渗透
'shi'ru'gu'sui 蚀入骨髓
'shi'ru'po'zhu 势如破竹
'shi'shi'nan'liao 世事难料
'shi'zhi'ji'li 蚀之激励
'shou'ji'fan'zhi 受击反制
'shou'lie'shi'ke 狩猎时刻
'shou'zhi'li'bing 手执利兵
'shu'fu'shi'li 束缚蚀力
'shu'juan'chen'xi 书卷晨曦
'shuai'bian'ling'yu 衰变领域
'shuang'chong'yin'li 双重引力
'shuang'mie 霜灭
'shui'lei 水雷
'shui'li'wan'wu 水利万物
'shui'shuang 水霜
'si'wei 司危
'su'xiao 苏筱
'sui'yuan'bi'zhu 虽远必诛
'tang'lu'yao 唐路遥
'te'shu'jian'shang 特殊减伤
'tian'mi'xin'xu 甜蜜心绪
'tian'nuo 田诺
'tian'xian 天陷
'tie'chu'mo'cheng'zhen 铁杵磨成针
'tong'bu'qiang'hua 同步强化
'tong'dao 通道
'tong'diao'zhe 同调者
'tong'hang 同行
'tou'tou'mo'mo 偷偷摩摩
'tui'di'zhi'shi 退敌之势
'wa'ka'sha 瓦卡莎
'wan'jia'deng'huo 万家灯火
'wan'xiang 万象
'wei'xian'you'xi 危险游戏
'wei'xian'yu'jing 危险预警
'wei'you'yi'gan'bei 为友谊干杯
'wu'chu'ke'cang 无处可藏
'wu'jiu 无咎
'wu'li'dui 物理队
'wu'li'zhuan'jing 物理专精
'wu'wei'zhe 无畏者
'xi'yang'wan'ge 夕阳挽歌
'xiang'ling 襄铃
'xiang'yang 向阳
'xiao'rong 消融
'xin'hao'gan'rao 信号干扰
'xiong'xiong'ran'shao 熊熊燃烧
'xu'shi'dai'fa 蓄势待发
'xuan'xue 玄学
'xue'lu'wei 血露薇
'xue'lu'wei'jue'mi 血露薇绝密
'xue'qing'ri'nuan 雪轻日暖
'ya'li'fan'zhi 压力反制
'yan'neng'guan'zhu 炎能灌注
'yan'xiang 焰响
'yang'ling 阳铃
'ye'fu'na 耶芙娜
'yi'he'guo'zai 异核过载
'yi'ni'ye'se 旖旎夜色
'yi'shi'huan'cheng 意识幻城
'yi'tou'qiang'di 以头抢地
'yi'xian'sheng'ji 一线生机
'yi'xian'zhi'ge 一线之隔
'yi'zhen'han'tian 一枕酣甜
'yi'zhi'yong'cun 意志永存
'yi'zhong'te'gong 异种特攻
'yin'guo'li'ran 因果历然
'yin'huo'de'fu 因祸得福
'yin'ni'qi'zhong 隐匿其中
'ying'dun 影盾
'ying'hua'ru'meng 樱华如梦
'yu'huo'guang'zhong'dan'sheng 于火光中蛋生
'yu'qi 禺期
'yu'ren'hai'zhong 于人海中
'yu'zhong'yuan 雨中愿
'yuan'sheng'te'gong 原生特攻
'yuan'su'ban'shuai'qi 元素半衰期
'yuan'su'can'liu 元素残留
'yuan'su'lian'lu 元素炼炉
'yuan'su'miao'zhun 元素瞄准
'yuan'su'zhuan'hua 元素转化
'yuan'tao'tao 元桃桃
'yuan'yuan'bu'duan 源源不断
'yun'wu'yue 云无月
'zao'ri'kang'fu 早日康复
'zeng'ji'xun'lian 增肌训练
'zhan'dou'fan'she 战斗反射
'zhan'shu'qiang'hua 战术强化
'zhao'huan'xie'tiao 召唤协调
'zhen'dui'da'ji 针对打击
'zhen'dui'xue'ruo 针对削弱
'zheng'yi'shou'hu 正义守护
'zhi'ming'ruo'dian 致命弱点
'zhi'xu'qiu'long 秩序囚笼
'zhi'ye'lian'dong 职业联动
'zhi'yu'jia'su 治愈加速
'zhi'yu'shou'bei 治愈守备
'zhu'chang'kuo'da 主场扩大
'zhu'chang'you'shi 主场优势
'zhu'fu'qu'yu 祝福区域
'zhu'guang'zhe 逐光者
'zhua'zhun'shi'ji 抓准时机
'zhuang'tai'jue'jia 状态绝佳
'zi'dong'fang'yu'xi'tong 自动防御系统
'zi'dong'miao'zhun'xi'tong 自动瞄准系统
'zi'dou 紫都
'zi'qiang'bu'xi 自强不息
'zi'yu'neng'liang 自愈能量
'zui'qiang'zhao'huan'shi 最强召唤师
'zui'sheng'meng'si 醉生梦死
'zuo'bang'you'bi 左膀右臂
