'ai'er'bu'shang 哀而不伤
'bu'zhi'wei'bu'zhi 不知为不知
'bu'zhi'ye 不知也
'bu'zhi'yu'gu 不至於谷
'bu'zhong 不中
'bu'zu'yi'wei'shi'yi 不足以为士矣
'cai'bu'cai 才不才
'cai'geng 菜羹
'cai'nan 才难
'can'hu 参乎
'can'ye'lu 参也鲁
'ce'qi'ma 策其马
'ceng 曾
'ceng'shi'yi 曾是以
'ceng'wei'tai'shan'bu'ru'lin'fang'hu 曾谓泰山不如林放乎
'cha'qi'suo'an 察其所安
'cha'yan'er'guan'se 察言而观色
'chai'ye'yu 柴也愚
'chan'ye 谄也
'chang'cong'shi'yu'si'yi 尝从事於斯矣
'chang'er'wu'shu'yan 长而无述焉
'chang'yi'shen 长一身
'chang'yi'shen'you'ban 长一身有半
'chao'fu'er'li'yu'zuo'jie 朝服而立於阼阶
'chao'yu'xia'dai'fu'yan 朝与下大夫言
'che'zhong'bu'nei'gu 车中不内顾
'chen 臣
'chen'bu'chen 臣不臣
'chen'cheng'zi'shi'jian'gong 陈成子弑简公
'chen'heng'shi'qi'jun 陈恒弑其君
'chen'men'yue 晨门曰
'chen'shi 臣事
'chen'shi'jun 臣事君
'chen'si'bai'wen'zhao'gong'zhi'li'hu 陈司败问昭公知礼乎
'chen'wen'zi'you'ma'shi'cheng 陈文子有马十乘
'cheng'bu'yi'fu 诚不以富
'cheng'fei'ma 乘肥马
'cheng'fu'fu'yu'hai 乘桴浮于海
'cheng'qi'de'ye 称其德也
'cheng'ren 成人
'cheng'shi'bu'shuo 成事不说
'cheng'yan'se 逞颜色
'cheng'ye'yu 枨也欲
'cheng'yu'le 成於乐
'cheng'zai'shi'yan'ye 诚哉是言也
'chi 耻
'chi 赤
'chi'chu 迟出
'chi'ge'yan'qi'zhi 赤各言其志
'chi'gong'zhi'bu'dai'ye 耻躬之不逮也
'chi'ye 耻也
'chi'ye 赤也
'chi'ye'gan 赤也感
'chi'ye'he'ru 赤也何如
'chi'ye'wei'zhi'xiao 赤也为之小
'chi'zhi'shi'qi'ye 赤之适齐也
'chong'de 崇德
'chou'e'bu'shi 臭恶不食
'chu 出
'chu'ci'qi 出辞气
'chu'jiang'yi'deng 出降一等
'chu'men'ru'jian'da'bin 出门如见大宾
'chu'san'ri 出三日
'chu'yue 出曰
'chu'ze'di 出则弟
'chu'ze'shi'gong'qing 出则事公卿
'chuan'bu 传不
'chun'fu'ji'cheng 春服既成
'chun'jian 纯俭
'chun'ru'ye 纯如也
'ci 赐
'ci 辞
'ci'ye 赐也
'ci'ye'da 赐也达
'ci'ye'he'gan'wang'hui 赐也何敢望回
'ci'ye'he'ru 赐也何如
'ci'ye'ke'shi'zheng'ye'yu 赐也可使政也与
'ci'ye'wen'yi'zhi'er 赐也闻一知二
'cong'er'bu'gai 从而不改
'cong'wo'yu'chen'cai'zhe 从我於陈蔡者
'cong'wo'zhe 从我者
'cong'wu'suo'hao 从吾所好
'cong'zhe'bing 从者病
'cong'zhe'jian'zhi 从者见之
'cong'zhe'yue 从者曰
'cong'zhi 从之
'cui'zi'sha'qi'jun 崔子杀齐君
'cuo'zhu'zhi 错诸直
'da'che'wu'che'er 大车无车儿
'da'xiang'dang'ren'yue 达巷党人曰
'da'zai'kong'zi 大哉孔子
'da'zai'wen 大哉问
'da'zai'wen'yu'zi'gong'yue 大宰问於子贡曰
'da'zai'yao'zhi'wei'jun'ye 大哉尧之为军也
'da'zai'zhi'wo'hu 大宰知我乎
'dang'dang'hu 荡荡乎
'dang'shu 当暑
'dao 祷
'dao'bi'yu'wo'lao'peng 盗比於我老彭
'dao'bu'xing 道不行
'dao'qian'sheng'zhi'guo 道千乘之国
'dao'zhi'jiang'fei'ye'yu 道之将废也与
'dao'zhi'jiang'xing'ye'yu 道之将行也与
'dao'zhi'yi'de 道之以德
'dao'zhi'yi'zheng 道之以政
'de'bu'gu 德不孤
'de'jian'jun'zi'zhe 得见君子者
'de'jian'you'heng'zhe 得见有恒者
'de'xing 德行
'de'zhi'bu'xiu 德之不修
'di'ye 弟也
'di'zi 弟子
'di'zi'fu'qi'lao 弟子服其劳
'di'zi'shu'wei'hao'xue 弟子孰为好学
'dian 点
'dian'pei'bi'yu'shi 颠沛必於是
'ding'gong'wen 定公问
'dong'er'bu'yuan 侗而不愿
'dong'li'zi'chan'run'se 东里子产润色
'dong'rong'mao 动容貌
'dong'shou'jia'chao'fu'tuo'shen 东首加朝服拖绅
'dou'shao'zhi'ren 斗筲之人
'du'xin'hao'xue 笃信好学
'duan'you'mei 短右袂
'duan'zhang'fu 端章甫
'dui'yue 对曰
'duo'bo'shi'pian'yi'san'bai 夺伯氏骈邑三百
'duo'jian 多见
'duo'jian'que'dai 多见阙殆
'duo'wen 多闻
'duo'wen'que'yi 多闻阙疑
'duo'yuan 多怨
'e 恶
'e'bu'ren'zhe 恶不仁者
'e'yi'fu 恶衣服
'e'zhe'cheng'ming 恶者成名
'er 二
'er 而
'er'ai'qi'yang 尔爱其羊
'er'bu'chi'zhe 而不耻者
'er'bu'ke'duo'ye 而不可夺也
'er'bu'xin 而不信
'er'bu'yu'yan 而不与焉
'er'cang'zhu 而藏诸
'er'chi'e'yi'e'shi'zhe 而耻恶衣恶食者
'er'fan'zhi 而犯之
'er'fei'bang'ye'zhe 而非邦也者
'er'hao'fan'shang'zhe 而好犯上者
'er'hao'zuo'luan'zhe 而好作乱者
'er'he'ru 尔何如
'er'hou'he'zhi 而後和之
'er'huo'zhi'yan 而货殖焉
'er'jin'er'hou 而今而後
'er'jin'li'hu'gou'xu 而尽力乎沟恤
'er'mo'zhi'zhi'ye 而莫之知也
'er'qin'ren 而亲仁
'er'qiu'ye'wei'zhi'ju'lian'er'fu'yi'zhi 而求也为之聚敛而附益之
'er'san'zi'he'huan'yu'sang'hu 二三子何患於丧乎
'er'san'zi'yi'wo'wei'yin'hu 二三子以我为隐乎
'er'shi'zhi 而识之
'er'shui'wei 而谁为
'er'suo'wei'da'zhe 尔所谓达者
'er'tian'xia'zhi 而天下治
'er'wen 而问
'er'wen'yan 而问焉
'er'yi'yi 而已矣
'er'you'ren'hu'zai 而由仁乎哉
'er'you'song'chao'zhi'mei 而有宋朝之美
'er'you'tian'xia 而有天下
'er'yu'shang'xia'shen'qi 尔于上下神祁
'er'zhi'mei'hu'fu'mian 而致美乎黻冕
'er'zhi'xiao'hu'gui'shen 而致孝乎鬼神
'fa 伐
'fa'fen'wang 发愤忘
'fa'yu'zhi'yan 法语之言
'fan 樊
'fan'ai'zhong 凡爱众
'fan'chi'qing'xue'jia 樊迟请学稼
'fan'chi'tui 樊迟退
'fan'chi'wei'da 樊迟未达
'fan'chi'wen 樊迟问
'fan'chi'wen'ren 樊迟问仁
'fan'chi'wen'zhi 樊迟问知
'fan'chi'yu 樊迟御
'fan'chi'yue 樊迟曰
'fan'er'bu'jiao 犯而不校
'fan'shu'shi 饭疏食
'fan'shu'shi'yin'shui 饭疏食饮水
'fan'xu'ye 樊须也
'fang'liu'qi'shi 方六七十
'fang'yu'li'er'xing 放於利而行
'fei 非
'fei'bu'shuo'zi'zhi'dao 非不说子之道
'fei'chong'de'yu 非崇德与
'fei'da'ye 非达也
'fei'er'suo'ji'ye 非尔所及也
'fei'fu'ren'zhi'wei'tong 非夫人之为恸
'fei'gan 非敢
'fei'gan'hou'ye 非敢后也
'fei'gong'shi 非公事
'fei'huo'yu 非惑与
'fei'ji'rou 非祭肉
'fei'li'wu'dong 非礼勿动
'fei'li'wu'shi 非礼勿视
'fei'li'wu'ting 非礼勿听
'fei'qi'gui'er'ji'zhi 非其鬼而祭之
'fei'qi'zui'ye 非其罪也
'fei'qiu'yi'zhe'ye 非求益者也
'fei'ran'cheng'zhang 斐然成章
'fei'wei'shang 非帷裳
'fei'wo'ye 非我也
'fei'wu'tu'ye 非吾徒也
'fei'yin'shi 菲饮食
'fei'zhu'hou'er'he 非诸侯而何
'fei'zhu'wo'zhe'ye 非助我者也
'fen'tu'zhi'qiang'bu'ke'mu'kui'ye 粪土之墙不可木亏也
'feng'hu'wu'yu 风乎舞雩
'feng'lie'bi'bian 风烈必变
'feng'niao'bu'zhi 凤鸟不至
'fu 父
'fu'bu'fu 父不父
'fu'da'ye'zhe 夫达也者
'fu'er'hao'li'zhe'ye 富而好礼者也
'fu'er'ke'qiu'ye 富而可求也
'fu'er'san'zi'ye 夫二三子也
'fu'er'wu'jiao 富而无骄
'fu'gui'zai'tian 富贵在天
'fu'he'you'he'ju 夫何忧何惧
'fu'mei 父没
'fu'mu'wei'qi'ji'zhi'you 父母唯其疾之忧
'fu'mu'zai 父母在
'fu'mu'zhi'nian 父母之年
'fu'qi'wei 复其位
'fu'qie'gui'yan 富且贵焉
'fu'ren 夫人
'fu'ren'zhe 夫仁者
'fu'ru'shi 夫如是
'fu'ru'ye 弗如也
'fu'san'zi'zhe'zhi'yan'he'ru 夫三子者之言何如
'fu'wei'zi'yin 父为子隐
'fu'wen'ye'zhe 夫闻也者
'fu'wo'ze'bu'xia 夫我则不暇
'fu'you 富有
'fu'yu'gui 富与贵
'fu'zai 父在
'fu'zai'yan 富哉言
'fu'zhi 富之
'fu'zi'bu'da 夫子不答
'fu'zi'bu'wei'ye 夫子不为也
'fu'zi'bu'yan'bu'xiao'bu'qu'hu 夫子不言不笑不取乎
'fu'zi'gu'you'huo'zhi'yu'gong'bo'liao 夫子固有惑志於公伯寮
'fu'zi'he'shen'you'ye 夫子何哂由也
'fu'zi'he'wei 夫子何为
'fu'zi'shen'zhi 夫子哂之
'fu'zi'sheng'zhe'yu 夫子圣者与
'fu'zi'shi'ran'hou'yan 夫子时然後言
'fu'zi'shi'zhi'yue 夫子矢之曰
'fu'zi'wei'wei'jun'hu 夫子为卫君乎
'fu'zi'wen 夫子温
'fu'zi'xun'xun'ran'shan'you'ren 夫子循循然善诱人
'fu'zi'yu'gua'qi'guo'er'wei'neng'ye 夫子欲寡其过而未能也
'fu'zi'zhi'dao 夫子之道
'fu'zi'zhi'qiu'zhi'ye 夫子之求之也
'fu'zi'zhi'shuo'jun'zi 夫子之说君子
'fu'zi'zhi'wen'zhang 夫子之文章
'fu'zi'zhi'yan'xing'yu'tian'dao 夫子之言性与天道
'fu'zi'zhi'yu'shi'bang'ye 夫子至於是邦也
'fu'zi'zi'dao'ye 夫子自道也
'gai'qi'le 改其乐
'gai'que 盖阙
'gai'you'bu'zhi'er'zuo'zhi'zhe 盖有不知而作之者
'gai'zhi'wei'gui 改之为贵
'gan'wen 敢问
'gan'wen'chong'de 敢问崇德
'gan'wen'qi'ci 敢问其次
'gan'wen'si 敢问死
'gang 刚
'gao'fu'san 告夫三
'gao'fu'san'zi 告夫三子
'gao'qiu'xuan'guan 羔裘玄冠
'gao'yu'ai'gong'yue 告於哀公曰
'gao'zhu'wang'er'zhi'lai'zhe 告诸往而知来者
'gao'zong'liang'yin'san'nian'bu'yan 高宗谅阴三年不言
'ge'bu'she'su 戈不射宿
'ge'bu'zheng'bu'shi 割不正不食
'ge'de'qi'suo 各得其所
'ge'yu'qi'dang 各於其党
'gong 公
'gong 恭
'gong'chuo'zhi'bu'yu 公绰之不欲
'gong'er'an 恭而安
'gong'er'wu'li'ze'lao 恭而无礼则劳
'gong'hu'yi'duan 攻乎异端
'gong'jin'yu'li 恭近於礼
'gong'ming 公明
'gong'qi'e 攻其恶
'gong'shu'wen'zi 公叔文子
'gong'xi'hua'shi'zuo 公西华侍坐
'gong'xi'hua'yue 公西华曰
'gong'xing'jun'zi 躬行君子
'gong'ye'chang'di'wu 公冶长第五
'gong'yue 公曰
'gong'yue 贡曰
'gong'zhi'ke'ye 攻之可也
'gou'he'yi 苟合矣
'gou'mei'yi 苟美矣
'gou'wan'yi 苟完矣
'gou'you'guo 苟有过
'gou'you'yong'wo'zhe 苟有用我者
'gou'zheng'qi'shen'yi 苟正其身矣
'gou'zhi'yu'ren'yi 苟志於仁矣
'gou'zi'zhi'bu'yu 苟子之不欲
'gu 鼓
'gu'bu'gu 觚不觚
'gu'duo'neng'bi'shi 故多能鄙事
'gu'jin'zhi 故进之
'gu'jiu 沽酒
'gu'jiu'bu'yi 故旧不遗
'gu'jun'zi'ming'zhi'bi'ke'yan'ye 故君子名之必可言也
'gu'tian'zong'zhi'jiang 固天纵之将
'gu'tui'zhi 故退之
'gu'yi 故艺
'gu'zai 觚哉
'gu'zhe'yan'zhi'bu'chu 古者言之不出
'gu'zhi'dao'ye 古之道也
'gu'zhi'ren'jie'ran 古之人皆然
'gu'zhi'xian'ren'ye 古之贤人也
'gu'zhi'xue'zhe'wei'ji 古之学者为己
'gu'zhi'zai 沽之哉
'gua'ji 瓜祭
'guan'guo 观过
'guan'ju 关雎
'guan'qi'suo'you 观其所由
'guan'qi'xing 观其行
'guan'qi'zhi 观其志
'guan'shi'bu'she 官事不摄
'guan'shi'er'zhi'li 管氏而知礼
'guan'shi'yi'shu'sai'men 管氏亦树塞门
'guan'shi'yi'you'fan'dian 管氏亦有反坫
'guan'shi'you'san'gui 管氏有三归
'guan'sui'zhi'luan 关睢之乱
'guan'zhe'wu'liu'ren 冠者五六人
'guan'zhong 管仲
'guan'zhong'bu'si 管仲不死
'guan'zhong'fei'ren'zhe'yu 管仲非仁者与
'guan'zhong'jian'hu 管仲俭乎
'guan'zhong'xiang'huan'gong 管仲相桓公
'guan'zhong'zhi'li'ye 管仲之力也
'guan'zhong'zhi'qi'xiao'zai 管仲之器小哉
'gui 归
'gui'yu 归与
'guo 国
'guo 过
'guo'wei 过位
'guo'you'bu'ji 过犹不及
'guo'zai 果哉
'guo'zhi'bi'qu 过之必趋
'hao'gu 好古
'hao'mou'er'cheng'zhe 好谋而成者
'hao'ren'zhe 好仁者
'hao'yong'ji'pin 好勇疾贫
'hao'zhi'zhe'bu'ru'le'zhi'zhe 好之者不如乐之者
'he 何
'he'bi'du'shu 何必读书
'he'bi'gai'zuo 何必改作
'he'bi'gao'zong 何必高宗
'he'bi'ran 何必然
'he'bu'chu'tu 河不出图
'he'che'hu 盍彻乎
'he'ge'yan'er'zhi 盍各言尔志
'he'lou'zhi'you 何陋之有
'he'mo'you'si'dao'ye 何莫由斯道也
'he'qi'duo'neng'ye 何其多能也
'he'qi'ye 何器也
'he'ru 何如
'he'ru'qi'zhi'ye 何如其知也
'he'ru'si'ke'wei'zhi 何如斯可谓之
'he'ru'si'ke'wei'zhi'da'yi 何如斯可谓之达矣
'he'ru'si'ke'wei'zhi'shi'yi 何如斯可谓之士矣
'he'shang'hu 何伤乎
'he'shi 何事
'he'wei'gui 和为贵
'he'wei'qi'mo'zhi'zi'ye 何为其莫知子也
'he'wei'ye 何为也
'he'wei'ye 何谓也
'he'wei'ze'min'fu 何为则民服
'he'yan'ye 何晏也
'he'yi'bao'de 何以报德
'he'yi'bie'hu 何以别乎
'he'yi'wen'wei 何以文为
'he'yong'bu'zang 何用不臧
'he'you 何有
'he'you'yu'wo 何有於我
'he'you'yu'wo'zai 何有於我哉
'he'zai 何哉
'he'zhu 何诛
'he'zu'suan'ye 何足算也
'he'zu'yi'zang 何足以臧
'heng'tui'qi'ru'yu'he 恒颓其如予何
'hong'zi'bu'yi'wei'xie'fu 红紫不以为亵服
'hou 後
'hou'sheng'ke'wei 後生可畏
'hou'si'zhe'bu'de'yu'yu'si'wen'ye 後死者不得与於斯文也
'hou'yi'ju'qu 厚以居去
'hu 乎
'hu'lian'ye 瑚琏也
'hu'xiang'nan'yu'yan 互乡难与言
'hu'yan'zai'hou 忽焉在後
'huan'bu'zhi'ren'ye 患不知人也
'huan'gong'jiu'he'zhu'hou 桓公九合诸侯
'huan'gong'sha'gong'zi'jiu 桓公杀公子纠
'huan'hu 焕乎
'huan'qi'bu'neng'ye 患其不能也
'huan'suo'yi'li 患所以立
'huang'yi'hu'qiu 黄衣狐裘
'hui 绘
'hui'he'gan'si 回何敢死
'hui'nv'zhi'zhi'hu 诲女知之乎
'hui'ren'bu'juan 诲人不倦
'hui'ren'ye 惠人也
'hui'sui'bu'min 回虽不敏
'hui'ye 回也
'hui'ye'bu 回也不
'hui'ye'bu'yu 回也不愚
'hui'ye'qi'shu'hu 回也奇庶乎
'hui'ye'wen'yi'yi'zhi 回也闻一以知
'huo 获
'huo'cheng'zhi'xiu 或承之羞
'huo'dui'yue 或对曰
'huo'qi'xi'yan 或乞醯焉
'huo'wei'kong'zi'yue 或谓孔子曰
'huo'wen 或问
'huo'wen'yi'di'zhi'shuo 或问衣帝之说
'huo'wen'zhi'yue 或问之曰
'huo'yue 或曰
'ji 己
'ji 疾
'ji 稷
'ji'bu'cheng'qi'li 骥不称其力
'ji'er'yue 既而曰
'ji'fu'yi 既富矣
'ji'gu'ye 疾固也
'ji'jie'wu'cai 既竭吾才
'ji'kang'zi'wen 季康子问
'ji'qi'shi'ren'ye 及其使人也
'ji'qing'hu 击磬乎
'ji'rou 祭肉
'ji'ru'zai 祭如在
'ji'shen'ru'shen'zai 祭神如神在
'ji'shi'lv'yu'tai'shan 季氏旅於泰山
'ji'shi'shi'min'zi'qian'wei'fei'zai 季氏使闵子骞为费宰
'ji'shu'yi 既庶矣
'ji'suo'bu'yu 己所不欲
'ji'wang'bu'jiu 既往不咎
'ji'wen'zi'san'si'er'hou'xing 季文子三思而后行
'ji'yi'an'bai'xing 己以安百姓
'ji'yi'an'ren 己以安人
'ji'yi'jing 己以敬
'ji'yu'da'er'da'ren 己欲达而达人
'ji'yu'gong 祭於公
'ji'yu'li'er'li'ren 己欲立而立人
'ji'yu'qi'sheng'you'yu'qi'si 既欲其生又欲其死
'ji'yue 吉月
'ji'zhi'yi'li 祭之以礼
'ji'zhi'yi'shen 疾之已甚
'ji'zi'cheng'yue 棘子成曰
'jia'dui'yue 贾对曰
'jia'wo'shu'nian 加我数年
'jia'zhi'yi'shi'lv 加之以师旅
'jian 俭
'jian'bu'xian'er'nei'zi'xing'ye 见不贤而内自省也
'jian'li'si'yi 见利思义
'jian'mian'zhe'yu'gu'zhe 见冕者与瞽者
'jian'qi 见其
'jian'qi'shuai'zhe 见齐衰者
'jian'wei'shou'ming 见危授命
'jian'xian'si'qi'yan 见贤思齐焉
'jian'xiao'li 见小利
'jian'yi'bu'wei 见义不为
'jian'ze'gu 俭则固
'jian'zhi'bu'cong 谏志不从
'jian'zhi'sui'shao'bi'zuo 见之虽少必作
'jian'zi'xia'yue 见子夏曰
'jiang'ru'men 将入门
'jiao 缴
'jiao'zhi 教之
'jie'bu'ji'men'ye 皆不及门也
'jie'neng'you'yang 皆能有养
'jie'xiong'di'ye 皆兄弟也
'jie'ya'yan'ye 皆雅言也
'jie'yan 竭焉
'jie'yong'er'ai'ren 节用而爱人
'jin 进
'jin'bai'hu'shang 今拜乎上
'jin'er'xin 谨而信
'jin'mei'yi 尽美矣
'jin'nv'hua 今女画
'jin'ren 近仁
'jin'run'zhi'zen 浸润之谮
'jin'wen'gong'jue'er'bu'zheng 晋文公谲而不正
'jin'wu'yu'ren'ye 今吾於人也
'jin'ye 今也
'jin'ye'ze'wang 今也则亡
'jin'you'yu'qiu'ye 今由与求也
'jin'you'zhi 尽有之
'jin'zhe'shuo 近者说
'jin'zhi'cheng'ren'zhe 今之成人者
'jin'zhi'cong'zheng'zhe'he'ru 今之从政者何如
'jin'zhi'xiao'zhe 今之孝者
'jin'zhi'xue'zhe'wei'ren 今之学者为人
'jing'gui'shen'er'yuan'zhi 敬鬼神而远之
'jing'shi'er'xin 敬事而信
'jing'you'ren'yan 井有仁焉
'jiu'er'jing'zhi 久而敬之
'jiu'fen 厩焚
'jiu'ling'yin 旧令尹
'jiu'ren'er'yi 九人而已
'jiu'yao'bu'wang'ping'sheng'zhi'yan 久要不忘平生之言
'jiu'yi'wu'bu'fu'meng'jian'zhou'gong 久矣吾不复梦见周公
'jiu'yi'zai 久矣哉
'jiu'you'dao'er'zheng'yan 就有道而正焉
'ju'bu'de'qi'si'ran 俱不得其死然
'ju'bu'rong 居不容
'ju'chu'gong 居处恭
'ju'er'suo'bu'zhi 举尔所不知
'ju'gong'ru'ye 鞠躬如也
'ju'jian'er'xing'jian 居简而行简
'ju'jing'er'xing'jian 居敬而行简
