'ai'fu'tun'suan 嗳腐吞酸
'bing'qing'jin'tui 病情进退
'bing'shen'ru'gu 病深入骨
'bing'wei 病位
'bing'xie'jiu'liu 病邪久留
'bing'xie'shen'qian 病邪深浅
'bing'yin 病因
'bo'bai'tai 薄白苔
'bo'dong'gan 波动感
'bo'tai 薄苔
'bo'tao'xiong'yong 波涛汹涌
'bu'bi'qin'liu 不避亲琉
'bu'bi'qin'shu 不避亲疏
'bu'fu'bu'chen'er'shu 不浮不沉而数
'bu'jing'wei 布精微
'bu'ke'bu'cha'ye 不可不察也
'bu'ke'de'ye 不可得也
'bu'lv'bu'zheng 步履不正
'bu'mei 不寐
'bu'nei'wai'yin 不内外因
'bu'neng'man'bu 不能满部
'bu'neng'ping'wo 不能平卧
'bu'tong'ze'tong 不通则痛
'bu'yi'ru'shui 不易入睡
'bu'zhan'bu'ni 不粘不腻
'bu'zu'yi'xi 不足以息
'cai'tu'bian'she'zhi'nan 彩图辨舌指南
'can'deng'fu'ming 残灯复明
'can'wu'bu'tiao'zhe'bing 参伍不调者病
'cang'bai 苍白
'cang'yu'xin'fei 藏于心肺
'cao'bing'zhang 曹炳章
'cao'tai 糙苔
'cha'she'bian'zheng'xin'fa 察舌辨证新法
'cha'wu'se 察五色
'chan'dong 颤动
'chan'er 缠耳
'chan'hou'fa're 产后发热
'chan'yao'huo'dan 缠腰火丹
'chang'dao'gong'neng'wen'luan 肠道功能紊乱
'chang'dao'jin'kui 肠道津亏
'chang'dao'qi'ji'zhi'se 肠道气机滞塞
'chang'duan'fei'shou 长短肥瘦
'chang'mai 长脉
'chang'ming 肠鸣
'chang'qi'wei're 长期微热
'chang're'jin'kui 肠热津亏
'chang'se 常色
'chang'xu'hua'xie'zheng 肠虚滑泻证
'chang'yong 肠痈
'chao're 潮热
'chao're'dao'han 潮热盗汗
'che'ye'bu'mian 彻夜不眠
'chen'an'shi'da'xian'chang 沉按实大弦长
'chen'chi'mai 沉迟脉
'chen'chi'wei'yin 沉迟为阴
'chen'huan'mai 沉缓脉
'chen'mai 沉脉
'chen'mai'zhu'li 沉脉主里
'chen'mi'fan'zao 沉迷烦躁
'chen'mo'gua'yan 沉默寡言
'chen'qu'shi'de 沉取始得
'chen'se'mai 沉涩脉
'chen'shi'duo 陈士铎
'chen'xi'mai 沉细脉
'chen'xian'mai 沉弦脉
'chen'xiu'yuan 陈修园
'chen'zhong'kun'juan 沉重困倦
'cheng'shen'jing'lv 澄神静虑
'cheng'xing'bu'zao 成形不燥
'chi'bai'xiang'jian 赤白相间
'chi'gen'wai'lu 齿根外露
'chi'hen'she 齿痕舌
'chi'huan'bu'yong 弛缓不用
'chi'huang'ku'luo 齿黄枯落
'chi'mai 迟脉
'chi'mai'xu'xi'se 尺脉虚细涩
'chi'mai'you'dao 持脉有道
'chi'mai'zhu'han 迟脉主寒
'chi'nv 齿衄
'chi'ru'ji'guan 赤如鸡冠
'chi'se'zhuo'tong 赤涩灼痛
'chi'tong 齿痛
'chi'ya'dong'yao 齿牙动摇
'chi'you'dan'du 赤游丹毒
'chong'an'shao'jian'er'bu'kong 重按稍减而不空
'chong'an'shi'de 重按始得
'chong'ding'zhen'jia'zhi'jue 重订诊家直诀
'chong'he 冲和
'chong'ji 虫积
'chong'ren'bu'gu 冲任不固
'chong'shou'shang 虫兽伤
'chong'ting 重听
'chou'chu 抽搐
'chou'chu'bu'zhi 抽搐不止
'chu'nuo 搐搦
'chu'xie'bu'zhi 出血不止
'chu'xie'fan'fu'bu'zhi 出血反复不止
'chu'zhong 除中
'chuan'cu 喘促
'chuan'cu'hou'zhong'ru'shui'ji'sheng'zhe 喘促喉中如水鸡声者
'chuan'cu'tan'ming 喘促痰鸣
'chuan'dao'shi'si 传导失司
'chuan'ji 喘急
'chuan'ji'yi'chang 喘急异常
'chuan'ran'bing'shi 传染病史
'chuan'sheng'di'wei 喘声低微
'chuan'xi'bu'neng'ping'wo 喘息不能平卧
'chuan'xi'jia'ju 喘息加剧
'chuan'zheng 喘症
'chuan'zhu'jing'luo 传注经络
'chui'zhi'luo'mai 垂滞络脉
'chun'feng 唇风
'chun'ruo'tu'dan 唇若涂丹
'chun'se 唇色
'chun'xian 春弦
'chun'zao'er'lie 唇燥而裂
'chun'zhong 唇肿
'ci'si'sheng'zhi'ben 此死生之本
'ci'tong'ju'an 刺痛拒按
'cong'wai'zhi'nei 从外知内
'cu'mai 促脉
'cui'zi'xu 崔紫虚
'cun'kou'zhen'fa 寸口诊法
'cuo'kou 撮口
'cuo'yu 错语
'da'bian'gan'jie 大便干结
'da'bian'gan'zao 大便干燥
'da'bian'mi'jie 大便秘结
'da'bian'tang'xie 大便溏泻
'da'bian'xing'chou 大便腥臭
'da'bian'zao'jie 大便燥结
'da'chang'chuan'dao'shi'chang 大肠传导失常
'da'chang'chuan'dao'shi'si 大肠传导失司
'da'chang're'jie 大肠热结
'da'chang'shi're 大肠湿热
'da'chang'shi'run 大肠失润
'da'chang'ye'kui'zheng 大肠液亏证
'da'chang'zao'hua 大肠燥化
'da'fu'yin'tong 大腹隐痛
'da'gu'ku'gao 大骨枯槁
'da'han 大汗
'da'mai 大脉
'da'ren'hui'wu 打人毁物
'da'tou'wen 大头瘟
'da'xiao'bian'bu'tuo 大小便不脱
'dai'hei'wu'ze 黛黑无泽
'dai'mai 代脉
'dai'xia'bing 带下病
'dai'xia'huang'chou 带下黄臭
'dai'xia'se'bai 带下色白
'dai'xia'se'hong 带下色红
'dai'xia'se'huang 带下色黄
'dai'yan'fan'zhe 戴眼反折
'dai'yang 戴阳
'dai'yang'zheng 戴阳证
'dan'an'tai'bai 淡暗苔白
'dan'bai 淡白
'dan'bai'guang'ying 淡白光莹
'dan'bai'she 淡白舌
'dan'bai'she'bai'gan'tai 淡白舌白干苔
'dan'bai'she'hei'zao'tai 淡白舌黑燥苔
'dan'bai'she'huang'lie'tai 淡白舌黄裂苔
'dan'bai'she'tou'ming'tai 淡白舌透明苔
'dan'bai'shi'run 淡白湿润
'dan'du 丹毒
'dan'fu'yu'gan 胆附于肝
'dan'han'bu're 但寒不热
'dan'hong 淡红
'dan'hong'bu'zhong 淡红不肿
'dan'hong'guang'ying'she 淡红光莹舌
'dan'hong'hong'dian'she'bai'ni'gan'tai 淡红红点舌白腻干苔
'dan'hong'run'hua 淡红润滑
'dan'hong'she 淡红舌
'dan'hong'she'gen'bai'jian'huang'tai 淡红舌根白尖黄苔
'dan'hong'she'huang'hei'tai 淡红舌黄黑苔
'dan'hong'she'pian'bai'hua'tai 淡红舌偏白滑苔
'dan'mo'gua'yan 淡漠寡言
'dan'qie'xin'fan 胆怯心烦
'dan're'bu'han 但热不寒
'dan're'fan'wei 胆热犯胃
'dan'shi'mai 弹石脉
'dan'shi'shu'xie 胆失疏泄
'dan'yu'tan'rao 胆郁痰扰
'dan'zhi'bu'xun'chang'dao 胆汁不循常道
'dan'zi 淡紫
'dan'zi'she'hui'tai 淡紫舌灰苔
'dao'han 盗汗
'de'han'ze'ning 得寒则凝
'de'shen 得神
'de'wen'tong'huan 得温痛缓
'de'wen'tong'jian 得温痛减
'de'yang'shi'hua 得阳始化
'deng'gao'er'ge 登高而歌
'deng'mu'zhi'shi 瞪目直视
'di'li'huan'jing 地理环境
'di're'bu'tui 低热不退
'di'shao'fu 抵少腹
'di'shi'ren'yi'wu'wei 地食人以五味
'di'tu'she 地图舌
'di'wei'duan'xu 低微断续
'di'xiao'fu 抵小腹
'di'zhi'shi're'yu'zheng 地之湿热郁蒸
'dian'bing 癫病
'dian'ci 点刺
'dian'dian'jin 点点金
'dian'ding'tong 巅顶痛
'die'da 跌打
'die'pu'shang 跌扑伤
'ding'bai'ao'xian'ru'qi 顶白凹陷如脐
'ding'ning 耵聍
'ding'yao 叮咬
'dong'chen 冬沉
'dong'feng'fa'jing 动风发痉
'dong'mai 动脉
'dong'ze'qi'chuan 动则气喘
'dong'ze'yi'shen 动则益甚
'dong'zuo'jiao'jian 动作矫健
'dong'zuo'ling'huo 动作灵活
'dou'chuang 痘疮
'du'chong 毒虫
'du'huo'shang'gong 毒火上攻
'du'li 毒力
'du'qing'bi 杜清碧
'du'yu 独语
'duan'cu'ji'po 短促急迫
'duan'er'you'li 短而有力
'duan'mai 短脉
'duan'qi 短气
'duan'suo'she 短缩舌
'duan'ze'qi'bing 短则气病
'duan'zheng'yi 段正义
'duan'zhi'er'chang 端直而长
'dun'ke 顿咳
'duo'meng 多梦
'duo'qi 夺气
'duo'qi'tuo'xue 夺气脱血
'duo'ri'bu'bian 多日不便
'duo'shi'yi'ji 多食易饥
'duo'tai 堕胎
'duo'yi'shan'lv 多疑善虑
'e'han'fa're 恶寒发热
'e'han'zhong 恶寒重
'e'kou'chuang 鹅口疮
'e'meng'yi'jing 恶梦遗精
'e'ni 呃逆
'e're 恶热
'e'wen'ren'sheng 恶闻人声
'e'wen'shi'chou 恶闻食臭
'e'xin'ou'tu 恶心呕吐
'er'bian'mi'jie 二便秘结
'er'duan'qi'bing'xie'zhi'shun'ni 而断其病邪之顺逆
'er'feng'du 耳风毒
'er'gan 耳疳
'er'long 耳聋
'er'lun'jia'cuo 耳轮甲错
'er'ming 耳鸣
'er'shi 耳湿
'er'shi'ba'zhong'mai'xiang 二十八种脉象
'er'ting 耳挺
'er'zhang 耳蔁
'er'zhi 耳痔
'fa'bing'ji 发病急
'fa'jing 发痉
'fa'li'zi'han 乏力自汗
'fa're'e'feng 发热恶风
'fa're'e'han 发热恶寒
'fa're'qi'cu 发热气粗
'fa're'qing 发热轻
'fa're'yao'tong 发热腰痛
'fa'zhen 发疹
'fan'e'yu'tu 泛恶欲吐
'fan'guan'mai 反关脉
'fan'hou'shen'pi 饭后神疲
'fan'lan'ji'fu 泛滥肌肤
'fan'lao 烦劳
'fan'li 藩篱
'fan'lian 泛莲
'fan'tu'qing'shui 泛吐清水
'fan'wei 反胃
'fan'yi'ji'fu 泛溢肌肤
'fan'ying'ling'min 反应灵敏
'fan'zao'bu'an 烦躁不安
'fan'zao'bu'ning 烦躁不宁
'fan'zao'duo'han 烦躁多汗
'fan'zao'duo'yan 烦躁多言
'fan'zao'shen'hun 烦躁神昏
'fan'zhuo'po'ji 燔灼迫急
'fang'shang 方上
'fang'shi'guo'du 房室过度
'fang'shi'lao'shang 房室劳伤
'fang'shi'suo'shang 房室所伤
'fei'bing'shi'xin 肺病嗜辛
'fei'chao'bai'mai 肺朝百脉
'fei'de'tong'tiao 肺的通调
'fei'he'pi'mao 肺合皮毛
'fei'ji 肺疾
'fei'ju'xiong'zhong 肺居胸中
'fei'lao'shang'qi 肺劳伤气
'fei'ni'hou'wei 肥腻厚味
'fei'qi'bu'li 肺气不利
'fei'qi'bu'xuan 肺气不宣
'fei'qi'hao'san 肺气耗散
'fei'qi'ni'er'bu'xiang 肺气逆而不降
'fei'qi're'ji 肺气热极
'fei'qi'ri'sun 肺气日损
'fei'qi'shang'ni 肺气上逆
'fei'qi'shi'xuan 肺气失宣
'fei'qi'shou'sun 肺气受损
'fei're 肺热
'fei'shen'yin'xu 肺肾阴虚
'fei'shi'qi'ni 肺实气逆
'fei'shi'xuan'su 肺失宣肃
'fei'wei're'sheng 肺胃热盛
'fei'wei'shang'jiao 肺位上焦
'fei'xu'shao'qi 肺虚少气
'fei'yin'bu'zu 肺阴不足
'fei'yin'xu'zheng 肺阴虚证
'fei'yong 肺痈
'fei'you'shi're 肺有实热
'fei'zhang 肺胀
'fei'zhang'zheng 肺胀证
'fei'zi 痱子
'fen'bai'tai 粉白苔
'fen'bian'gan'jie 粪便干结
'fen'mi'wu 分泌物
'fen'mian 分娩
'fen'qing'mi'zhuo 分清泌浊
'feng'bi'teng'tong 风痹疼痛
'feng'du'ji're 风毒积热
'feng'guan 风关
'feng'han'hua're 风寒化热
'feng'han'ru'li 风寒入里
'feng'han'shu'fei 风寒束肺
'feng'han'tou'tong 风寒头痛
'feng'han'wai'bi 风寒外闭
'feng'huo'shang'gong 风火上攻
'feng'kuang'nu'ma 疯狂怒骂
'feng'lun 风轮
'feng're'biao'zheng 风热表证
'feng're'fan'fei'zheng 风热犯肺证
'feng're'huo'du 风热火毒
'feng're'tou'tong 风热头痛
'feng're'xiang'bo 风热相搏
'feng'shi'tou'tong 风湿头痛
'feng'shi'yu'zhi 风湿郁滞
'feng'shui'pian'han 风水偏寒
'feng'shui'pian're 风水偏热
'feng'shui'xiang'bo 风水相搏
'feng'tan 风痰
'feng'tan'zu'luo 风痰阻络
'feng'wei'bai'bing'zhi'chang 风为百病之长
'feng'xi'jing'luo 风袭经络
'feng'xie 风邪
'feng'xie'du'qi 风邪毒气
'feng'xie'fan'wei 风邪犯卫
'feng'xie'shang'shou 风邪上受
'feng'xie'shang'wei 风邪伤卫
'feng'xie'xi'biao 风邪袭表
'feng'xie'xi'yu'ji'cou 风邪袭于肌腠
'feng'xie'yu'fu'tan'bo'jie 风邪与伏痰搏结
'feng'yang'bao'sheng 风阳暴升
'feng'yang'shang'rao 风阳上扰
'feng'yin 风淫
'feng'zhen 风疹
'feng'zhong'jing'luo 风中经络
'fu'bing'bian'zheng 腑病辨证
'fu'chen 浮沉
'fu'da'er'san 浮大而散
'fu'da'wu'li 浮大无力
'fu'da'zhong'kong 浮大中空
'fu'er'bo'zhi 浮而搏指
'fu'er'bu'jian 伏而不见
'fu'er'xi'ruan 浮而细软
'fu'fei 釜沸
'fu'fei'mai 釜沸脉
'fu'gan'wai'han 复感外寒
'fu'gan'xie'qi 复感邪气
'fu'guan'huan'ren'shen'xing 复观患人身形
'fu'hua'mai 浮滑脉
'fu'huan'mai 浮缓脉
'fu'jin'mai 浮紧脉
'fu'lan'teng'tong 腐烂疼痛
'fu'mai 伏脉
'fu'mai 浮脉
'fu'mai'zhu'biao 浮脉主表
'fu'man'zhang'tong 腹满胀痛
'fu'ni'tai 腐腻苔
'fu'nv'dai'mai'bu'gu 妇女带脉不固
'fu'pang 浮胖
'fu're'shang'rao 浮热上扰
'fu'san'wu'gen 浮散无根
'fu'shou'wei'guang 伏首畏光
'fu'shu'mai 浮数脉
'fu'shu'shui'gu 腐熟水谷
'fu'shu'wei'yang 浮数为阳
'fu'song'yuan 傅松元
'fu'tan 伏痰
'fu'tong 腹痛
'fu'tong'jiong'po 腹痛窘迫
'fu'tong'ru'jiao 腹痛如绞
'fu'tong'xi'an 腹痛喜按
'fu'tong'xie'xie 腹痛泄泻
'fu'tong'yin'yin 腹痛隐隐
'fu'xie'ou'tu 腹泻呕吐
'fu'yin'ji'tan 伏饮积痰
'fu'yu'jing'luo 伏于经络
'fu'yue'yu'wai 浮越于外
'fu'zhang 腹胀
'fu'zhang'bu'shu 腹胀不舒
'fu'zhang'man'tong'ju'an 腹胀满痛拒按
'fu'zheng'wei'zhu 扶正为主
'fu'zhong'chong'kuai 腹中虫块
'fu'zhong'ji'tong 腹中急痛
'fu'zhuo'zhi'qi 腐浊之气
'gai'you'zhu'nei'zhe'xing'zhu'wai 盖有诸内者形诸外
'gan'bing'cheng'pi 肝病乘脾
'gan'bing'shi'suan 肝病嗜酸
'gan'cang'xue 肝藏血
'gan'dan'bing 肝胆病
'gan'dan'feng'huo'shang'rao 肝胆风火上扰
'gan'dan're 肝胆热
'gan'dan'san'jiao'zhi'huo 肝胆三焦之火
'gan'dan'shi're 肝胆湿热
'gan'dan'zhi'wai'hou 肝胆之外候
'gan'feng'dong 肝风动
'gan'feng'nei'dong 肝风内动
'gan'feng'nei'sheng 肝风内盛
'gan'feng'wu'pi 肝风侮脾
'gan'feng'xie'tan 肝风挟痰
'gan'huo'fan'wei 肝火犯胃
'gan'huo'jia'tan 肝火夹痰
'gan'huo'yu'zhi 肝火郁滞
'gan'ji 疳积
'gan'jing 肝经
'gan'jing'yu'huo 肝经郁火
'gan'ke'wu'tan 干咳无痰
'gan'ku'shao'jin 干枯少津
'gan'lao'shang'xue 肝劳伤血
'gan'mai'rao'yin'qi 肝脉绕阴器
'gan'qi'fan'wei 肝气犯胃
'gan'qi'heng'ni'fan'wei 肝气横逆犯胃
'gan'qi'jiang'jue 肝气将绝
'gan'qi'yu'jie'zheng 肝气郁结证
'gan'qiang'pi'ruo 肝强脾弱
'gan'se 干涩
'gan'shen'bu'zu 肝肾不足
'gan'shen'jing'qi 肝肾精气
'gan'shen'yin'xu 肝肾阴虚
'gan'shen'zhi'yin'bu'zu 肝肾之阴不足
'gan'shi'liu'xie 肝失琉泄
'gan'shi'shu'xie 肝失疏泄
'gan'shou'feng'xie 感受风邪
'gan'wei'yun're 肝胃蕴热
'gan'xing'shi'zhi 肝性失制
'gan'xue 干血
'gan'xue'bu'zu 肝血不足
'gan'xue'xu 肝血虚
'gan'yang'hua'feng 肝阳化风
'gan'yang'kang'ni'wu'zhi 肝阳亢逆无制
'gan'yang'kang'sheng 肝阳亢盛
'gan'yang'shang'kang 肝阳上亢
'gan'yang'shang'kang'zhe 肝阳上亢者
'gan'yang'you'yu 肝阳有余
'gan'yin'xu 肝阴虚
'gan'yong 肝痈
'gan'yu 肝郁
'gan'yu'cheng'pi 肝郁乘脾
'gan'yu'fan'wei 肝郁犯胃
'gan'yu'hua'huo 肝郁化火
'gan'yu'qi'jie'tan'ning 肝郁气结痰凝
'gan'yu'qi'zhi 肝郁气滞
'gan'yu'shi'shu 肝郁失疏
'gan'zao'ku'gao 干燥枯槁
'gan'zhu'cang'xue 肝主藏血
'gan'zhu'jin 肝主筋
'gan'zhu'shu'xie 肝主疏泄
'gang'lie 肛裂
'gang'men 肛门
'gang'men'qi'zhui 肛门气坠
'gang'men'zhong'zhui 肛门重坠
'gang'men'zhuo're 肛门灼热
'gang'tan 肛痰
'gao'kang'you'li 高亢有力
'gao're 高热
'gao're'bian'mi 高热便秘
'gao're'da'han 高热大汗
'gao're'jing'feng 高热惊风
'gao're'shang'jin 高热伤津
'gao're'shen'hun 高热神昏
'ge'mai 革脉
'gen'hong'er'shen 根红而深
'gong'bu'jian'shi 攻补兼施
'gong'han'bu'yun 宫寒不孕
'gou'bu'yi'xiang'can 苟不以相参
'gou'tai 垢苔
'gu'bi'teng'tong 骨痹疼痛
'gu'ding'bu'yi 固定不移
'gu'du 骨度
'gu'jie'jian'bing 骨节间病
'gu'jue 骨绝
'gu'luo'shi'yang 骨络失养
'gu'she'zhi'yong 固摄之用
'gu'sui'bu'chong 骨髓不充
'gu'xian'shang'nao 骨陷伤脑
'gu'yang'kang'yu'shang 孤阳亢于上
'gu'zhang 臌胀
'gu'zhe 骨折
'gu'zheng'chao're 骨蒸潮热
'gu'zheng'dao'han 骨蒸盗汗
'gua'she 刮舌
'guan'jiang'se'zhuo 灌浆色浊
'guan'jie'ju'ji 关节拘急
'guan'jie'tuo'xue 关节脱血
'guan'jie'zhong'tong 关节肿痛
'guan'she'xin'fa 观舌心法
'guan'yu'heng 管玉衡
'guang'bo'she 光剥舌
'guang'fan'xing 广泛性
'guang'hua'she 光滑舌
'guang'jie'wu'tai 光洁无苔
'guang'jing'wu'tai 光净无苔
'guang'ming'run'ze 光明润泽
'gui'bei 龟背
'guo'fen'lao'lei 过分劳累
'guo'jing'ze'qi'luan 过惊则气乱
'guo'shi'sheng'leng 过食生冷
'guo'yi 过逸
'han'chu'bu'che 汗出不彻
'han'chu'bu'yi 汗出不已
'han'chu'guo'duo 汗出过多
'han'chu'ru'you 汗出如油
'han'cong'nei'sheng 寒从内生
'han'ji 寒积
'han'ning'gan'mai 寒凝肝脉
'han'ning'jin'mai 寒凝筋脉
'han'ning'qi'zhi 寒凝气滞
'han'ning'xue'mai 寒凝血脉
'han'ning'xue'se 寒凝血涩
'han'ning'yang'yu 寒凝阳郁
'han'ou 寒呕
'han'qi 汗气
'han're 寒热
'han're'cuo'za 寒热错杂
'han're'jian'jia 寒热兼夹
'han're'wang'lai 寒热往来
'han're'xu'shi 寒热虚实
'han're'zhen'jia 寒热真假
'han're'zhuan'hua 寒热转化
'han'shang'yang'qi 寒伤阳气
'han'shi 寒湿
'han'shi'kun'pi'zheng 寒湿困脾证
'han'shi'kun'zu'pi'wei 寒湿困阻脾胃
'han'shi'yong'sheng 寒湿壅盛
'han'shi'yu'zu 寒湿郁阻
'han'tan 寒痰
'han'tan'ning'zhi 寒痰凝滞
'han'wei'yin'xie 寒为阴邪
'han'xie 寒邪
'han'xie'fan'wei 寒邪犯胃
'han'xie'ke'fei 寒邪客肺
'han'xie'ning'zhi'jing'mai 寒邪凝滞经脉
'han'xie'shang'pi 寒邪伤脾
'han'xie'shu'biao 寒邪束表
'han'xie'yu'jie'yu'jing'mai 寒邪郁结于经脉
'han'xie'yu'yu'jing'mai 寒邪郁于经脉
'han'xie'zai'li 寒邪在里
'han'zao'xi'yu'fei'wei 寒燥袭于肺卫
'han'zheng 寒证
'han'zhi'gan'mai 寒滞肝脉
'han'zhong'yu'li 寒中于里
'han'zhu'shou'yin 寒主收引
'hao'qi'shang'jin 耗气伤津
'hao'qi'shi'xue 耗气失血
'hao'zhuan 好转
'he'meng'yao 何梦瑶
'he'sheng'ping 贺升平
'hei'ju 黑疽
'hei'ru'wu'yu 黑如乌羽
'hei'se'she 黑色舌
'hei'tai 黑苔
'hei'yan'se'zhi 黑眼色滞
'heng'mu'xie'shi 横目斜视
'hong'da'er'bo 洪大而搏
'hong'huang'xiang'jian 红黄相兼
'hong'huang'yin'yin 红黄隐隐
'hong'huo'xian'ming 红活鲜明
'hong'jiang'she'huang'ban'tai 红绛舌黄瓣苔
'hong'jiang'she'lei'gan'tai 红绛舌类干苔
'hong'mai 洪脉
'hong'run 红润
'hong'run'han'xu 红润含蓄
'hong'se'jiao'nen 红色娇嫩
'hong'she'bai'hua'tai 红舌白滑苔
'hong'she'fu'gou'tai 红舌浮垢苔
'hong'she'hei'hua'tai 红舌黑滑苔
'hong'shou'she'hei'tai 红瘦舌黑苔
'hong'shu'mai 洪数脉
'hong'zhong'kui'lan 红肿溃烂
'hong'zhong're'tong 红肿热痛
'hong'zhong'sheng'chuang 红肿生疮
'hou'jian'tan'ming 喉间痰鸣
'hou'ni'tai 厚腻苔
'hou'tai 厚苔
'hou'tian'shi'tiao 后天失调
'hou'yang'gan'ke 喉痒干咳
'hou'yin 后阴
'hou'zhong'tan'ming 喉中痰鸣
'hou'zhong'tan'yong 喉中痰涌
'hu'duo'xi'shao 呼多吸少
'hu'shan 狐疝
'hu'xi 呼吸
'hu'xi'ping'wen 呼吸平稳
'hu'xi'qi'cu 呼吸气粗
'hu'xi'wei'ruo 呼吸微弱
'hu'xi'wei'ruo'kun'nan 呼吸微弱困难
'hu'xi'zi'xu 呼吸自续
'hua'bo'tai 花剥苔
'hua'huo'sheng'tan 化火生痰
'hua'jing'meng'yi 滑精梦遗
'hua'li'you'li 滑利有力
'hua'mai 滑脉
'hua'sheng'xiao'bian 化生小便
'hua'shu 滑数
'hua'shu'mai 滑数脉
'hua'shu'you'li 滑数有力
'hua'shui'shi 化水湿
'hua'tai 滑苔
'hua'xie'shi'jin 滑泻失禁
'huan'mai 缓脉
'huan'zhou'bu'xiu 环周不休
'huang'bai'se'nong'dian 黄白色脓点
'huang'chi'duan'shao 黄赤短少
'huang'hei'ku'gao 黄黑枯槁
'huang'hou'ni'tai 黄厚腻苔
'huang'hou'tai 黄厚苔
'huang'ju 黄疽
'huang'ni 黄腻
'huang'ni'tai 黄腻苔
'huang'pang 黄胖
'huang'ru'xie'fu 黄如蟹腹
'huang'tai 黄苔
'huang'zhang'qi'qie 慌张气怯
'hui'an 晦暗
'hui'an'ku'gao 晦暗枯槁
'hui'guang'fan'zhao 回光反照
'hui'tai 灰苔
'hui'zhi 晦滞
'hui'zhuo'shi'xie 秽浊湿邪
'hui'zhuo'suan'chou 秽浊酸臭
'hun'bu'zhi'ren 昏不知人
'hun'fou 婚否
'hun'shui'zhan'yu 昏睡谵语
'hun'xuan 昏眩
'huo'du'gong'hou 火毒攻喉
'huo'ni'shang'qi 火逆上气
'huo're'chi'sheng 火热炽盛
'huo're'nei'rao 火热内扰
'huo're'shang'yan 火热上炎
'huo're'shen'ru'ying'xue 火热深入营血
'huo're'xun'jing'shang'yan 火热循经上炎
'huo're'yu'jie'bu'jie 火热郁结不解
'huo'ren'xin'fa 活人心法
'huo'shi're'zhi'ji 火是热之极
'huo'xing'shang'yan 火性上炎
'huo'yin 火淫
'ji'bu'yu'shi 饥不欲食
'ji'cu'si'chuan 急促似喘
'ji'fu'hong'run 肌肤红润
'ji'fu'jia'cuo 肌肤甲错
'ji'fu'ru'ruan 肌肤濡软
'ji'fu'zhuo're 肌肤灼热
'ji'guan 籍贯
'ji'guan 鸡冠
'ji'ju 积聚
'ji'leng 积冷
'ji'mai 疾脉
'ji'nv 肌衄
'ji'po'zhuo're 急迫灼热
'ji'rou 肌肉
'ji'rou'bu'xue 肌肉不削
