'a'mu'zhong'tao'yun'hai'ji 阿母种桃云海际
'bi'shi'chui'lun'bu'ji'nian 避世垂纶不记年
'bi'xie'ji'zuo'gu'chui'jing 辟邪伎作鼓吹惊
'bi'yu'yi'cang'mang 彼雨亦苍茫
'bi'yun'yi'you'yang 彼云亦悠扬
'bian'mang'su 边氓苏
'bian'tong'zhi'li 变通之理
'bie'jue'chen'wai'qu 别绝臣外区
'bie'you'you'qi'ke 别有幽栖客
'bing'rong'bu'jiao'hai 兵戎不交害
'bo'la'you'yu'ji'chu'jing 拨剌游鱼几处惊
'bu'ai'hao'guang'hua 不爱好光华
'bu'er'chu 哺尔雏
'bu'jian'zuo'ri'ren 不见昨日人
'bu'jue'wang'lai'she 不觉往来赊
'bu'ling'xin'ku'jiang'shan'chang 部领辛苦江山长
'bu'pin'fu'bu'yu 不嚬复不语
'bu'qian'ji'qi'jin'chuang'hu 不遣鸡栖近窗户
'bu'qiu'huang'jin'long'xia'sheng 不求黄金笼下生
'bu'qu'shang'qing'gong 不去上清宫
'bu'ru'yin'zhuo'jiang'hai'yu 不如饮啄江海隅
'bu'shi'jiu'shan'lai 不是旧山来
'bu'wei'er'tong 不威而同
'bu'wei'xiang'jia'mi 不畏向家迷
'bu'wen'san'sheng'yuan 不闻三声猿
'bu'yi'ye'cheng'ren 不易邺城人
'bu'yong'jia'qing'niu 不用驾青牛
'bu'yu'huai'nan'chong 不与淮南舂
'bu'zhi'fei'niao'xue 不知飞鸟学
'bu'zhi'jin'gu'xing'ren'xing 不知今古行人行
'bu'zhi'shou'gu'lei'bing'jing 不知瘦骨类冰井
'bu'zhi'wei'mu'yu'xi'wei'zhao'yun 不知为暮雨兮为朝云
'cai'fen'di'se'di'san'ming 才分地色第三鸣
'cai'gou'mei'wu'qian 猜钩每误牵
'cai'nang'sheng'bu'de 彩囊盛不得
'can'kui'bai'mao'ren 惭愧白茅人
'can'yao'zhan'ji'quan 残药沾鸡犬
'cang'cang'mao'ling'shu 苍苍茂陵树
'cao'ru'yin 草如茵
'cen'ci'cong'tai'yi 参差从太一
'cen'ci'lv'pu'duan 参差绿蒲短
'cen'fu'zi 岑夫子
'cen'shen'kai'ge'liu'shou 岑参凯歌六首
'ceng'jian'qian'tang'ba'yue'tao 曾见钱塘八月涛
'chan'man'wan'li 澶漫万里
'chan'yu'bai'yu'xi 单于拜玉玺
'chang'hen'ji'ming'bie'shi'ku 长恨鸡鸣别时苦
'chang'jia'shao'fu'bu'xu'pin 倡家少妇不须嚬
'chang'jian'ji'zhao'yao 长剑既照曜
'chang'jiang'bai'lang'bu'ceng'you 长江白浪不曾忧
'chang'jing'pen'yong'bu'ke'she 长鲸喷涌不可涉
'chang'yuan'shi'zi'jie 长怨十字街
'chao'man'er'jiang'chun 潮满二江春
'chao'qi'yin'wei 巢岐饮渭
'chao'tian'ban'ye'wen'yu'ji 朝天半夜闻玉鸡
'chao'yi'you'suo'si 朝亦有所思
'che'bang'ce'gua'yi'hu'jiu 车傍侧挂一壶酒
'che'lun'bu'ke'zhe 车轮不可遮
'chen'jing'zhi'chang'ying 臣靖执长缨
'chen'tao'bu'xu'ci 陈陶步虚词
'chen'wang'xi'shi'yan'ping'le 陈王昔时宴平乐
'chen'xiang'yu 沉湘语
'chen'yu'bu'xu'ci 陈羽步虚词
'cheng'bei'wu'ji'ya 城北无饥鸦
'cheng'li'you'xian'tu 城里有闲土
'cheng'nan'zheng'zhan'duo 城南征战多
'cheng'qian'shui'sheng'ku 城前水声苦
'cheng'qing'fen 乘清氛
'chi'cheng'men'bi'liu'ding'zhi 赤城门闭六丁直
'chi'cheng'ying'zhao'ri 赤城映朝日
'chi'hua'shuang'dian'shan'hu'chuang 赤花双簟珊瑚床
'chi'le'jin'tui'bi 敕勒金隤壁
'chi'lei'fa'li'bing 驰雷发吏兵
'chi'tian'qi 斥田圻
'chi'you'si 蚩尤死
'chi'yu'wu 斥余吾
'chou'xiang'gao'tang'wang 愁向高唐望
'chu'e'wu'ben'gen 除恶务本根
'chu'guo'wu'shan'xiu 楚国巫山秀
'chu'hun'xun'meng'feng'si'ran 楚魂寻梦风飔然
'chu'liang'lin'gao'tai 褚亮临高台
'chu'tian'yun'yu'jin'kan'yi 楚天云雨尽堪疑
'chu'wang'qiao'cui'hun'yu'xiao 楚王憔悴魂欲销
'chuan'wu'chuan'qiang'bu'zhi'zhi 穿屋穿墙不知止
'chui'gan'xiang'lv'chuan 垂竿向绿川
'chui'long'di 吹龙笛
'chun'feng'yi'jing'tai 春风忆镜台
'chun'jiang'xi'yu'bu'xu'gui 春江细雨不须归
'chun'lei'yi'sheng'fa 春雷一声发
'chun'si'qiu'yuan'shui'neng'wen 春思秋怨谁能问
'chun'xia'zuo'tou 春夏作头
'ci'di'gei'xian'guan 次第给仙官
'ci'jiang'ruo'bian'zuo'chun'jiu 此江若变作春酒
'ci'qie'yu'xiang'an'xi'xing 辞妾欲向安西行
'ci'shi'xi'qu'ding'ru'he 此时西去定如何
'cong'shan'ye'xue'pu'jing'gan 葱山夜雪扑旌竿
'cui'can'su'wu'jie 摧残苏武节
'cui'mei'chan'bin'sheng'bie'li 翠眉蝉鬓生别离
'cui'mei'qing'jing'bu'de'qin 翠眉清镜不得亲
'cui'yan'qing 翠烟轻
'da'dao'he'nian'xue 大道何年学
'da'jiang'fan'lan'shen'ye'yan 大江翻澜神曳烟
'da'mai'gan'ku'xiao'mai'huang 大麦干枯小麦黄
'da'mo'shu 大漠舒
'da'qi'xi 大旗喜
'dai'fu'que'yin'yao'bian'yue 大夫鹊印摇边月
'dan'fei'xiao'xiao'yu 但飞萧萧雨
'dan'hua'rong 惮华戎
'dan'jian'huang'yun'qu 但见黄云驱
'dan'kong'fang'fei'wu'zheng'se 但恐芳菲无正色
'dan'qing'hua'xiang'qi'lin'tai 丹青画像麒麟台
'dan'qiu'sheng 丹丘生
'dan'yi'zhi 啖以秩
'dan'yuan'chang'zui'bu'fu'xing 但愿长醉不复醒
'dan'yuan'kai'su'pao 但愿开素袍
'dang'hai'yin 荡海垠
'dang'shi'wo'zui'mei'ren'jia 当时我醉美人家
'dao'gong'qiong'zuo'xiang 道宫琼作想
'dao'ming'bu'shui'ting'chen'ji 到明不睡听晨鸡
'dao'xue'yi'tong'shen 道学已通神
'dao'zhe'hai'qi'ma 倒着还骑马
'dao'zhe'jie'li'hua'xia'mi 倒着接篱花下迷
'de'bao'hong'nong'ye 得宝弘农野
'de'ti'he'na'ye 得体纥那也
'de'yan'gui 德焉归
'deng'gao'wang'huan'shi 登高望还师
'deng'lou'wang'jun'chu 登楼望君处
'deng'shan'bu'chou'jun 登山不愁峻
'di'bi'chu'wang'xin'geng'bei 帝比初亡心更悲
'di'hua'gan 荻花干
'di'lu'yan'zhu'xie'zhou'yi 滴露研朱写周易
'di'nu'xia'gu 帝怒下顾
'di'ping'shui'jing 地平水静
'di'wei'shen'wu'shi 帝谓神武师
'di'wu'jing'yan'hai'qian'li 地无惊烟海千里
'di'xiang'jia'qi'yu'cong'cong 帝乡佳气郁葱葱
'di'yu'cu 敌逾蹙
'dian'fen'jin'li'luan 点粉金鹂卵
'dian'ying'jiang'qian'luo 电影江前落
'diao'che'zi 钓车子
'diao'gong'ye'wan'zhuan 雕弓夜宛转
'diao'jin'de'jiu'bian 雕金得旧编
'diao'tai'yu'fu'he'wei'qiu 钓台渔父褐为裘
'diao'yu'jun'tu'shang 钓玉君徒尚
'die'shu'ceng'ying'xiang'dui'qi 叠树层楹相对起
'ding'jue'gong 定厥功
'ding'xiang'qiong'zhu'ti'lao'yuan 丁香筇竹啼老猿
'dong'chu'shui'wen'kai'yan'yan 动处水纹开滟滟
'dong'fang'bai'mu'gong 东方拜木公
'dong'he'shuo 动河朔
'dong'liu'wan'dai'wu'hui'shui 东流万代无回水
'dong'man'you'xie'shi 东蛮有谢氏
'dong'men'shen'suo'bi'chuang'han 洞门深锁碧窗寒
'dong'mi'chang'le'guan 东弥长乐观
'dong'ting'bai'bo'mu'ye'xi 洞庭白波木叶稀
'dong'yuan'tao'li'pian'shi'chun 东园桃李片时春
'dong'zhi'ji'bi'xi'liang'yang 东至集壁西梁洋
'dou'jiu'shi'qian'zi'huan'xue 斗酒十千恣欢谑
'dou'que'yi'fen'na 斗雀亦纷拏
'du'ci'san'xiu'shang 独此三休上
'du'fu'da'mai'xing 杜甫大麦行
'du'hao'yi'he'yi 独好亦何益
'du'yi'gu'yi'wan 都邑固以完
'du'zi'shou'jin'shu 独自授金书
'du'zi'you'bo'guang 独自有波光
'dui'ci'shang'ren'xin 对此伤人心
'dui'mian'jiu'yi'feng 对面九疑峰
'dui'qing'shan 对青山
'dun'di'hong 顿地纮
'duo'bo'qiu'lian'de 多擘秋莲的
'duo'hua'bi'zao'luo 多花必早落
'e'e'shi'er'feng 峨峨十二峰
'e'e'shi'qin'zhuan'gong'ye 娥娥侍寝专宫掖
'e'mei'ba'hua'cong 蛾眉罢花丛
'e'ran'dong'feng'yu 俄然动风驭
'en'shu'chong'bu'ji 恩疏宠不及
'er'jing'yu'sheng'guang 二景郁生光
'er'lu'jin 二虏劲
'er'zhu'fu 二主缚
'fa'zhe'de 乏者德
'fan'hua'zhao'yao'zhang'he'chun 繁花照耀漳河春
'fan'jun'yao'jian'han'jia'ying 蕃军遥见汉家营
'fan'jun'zhi'jian'ma'kong'an 蕃军只见马空鞍
'fang'chao'tai'su'di 方朝太素帝
'fang'fu'man'kong'tang 仿佛满空堂
'fang'jue'lei'nan'cai 方觉泪难裁
'fang'ma'tian'shan'xue'zhong'cao 放马天山雪中草
'fang'shi'ye'jiang'fu'ren'shen 方士夜降夫人神
'fang'shu'ben'duo'qi 芳树本多奇
'fang'shu'luo'hua'chao'ming'xie 芳树落花朝暝歇
'fang'shu'yi'liao'luo 芳树已寥落
'fei'fei'mu'yu'he 霏霏暮雨合
'fei'fu'chao'yu'yi 飞符超羽翼
'fei'guan'song'yu'you'wei'ci 非关宋玉有微辞
'fei'wei'yu'dai'feng 霏微雨带风
'fei'wu'jian'tian'fa 非无歼殄法
'fei'yi'song'qing'yin 飞翼耸轻音
'fei'yu'lu 匪予戮
'fen'bu'yi'zhong 奋不以众
'fen'qi'xiong'tu 奋其雄图
'fen'tai'qia'luo'han 粉态袷罗寒
'fen'xiang'jian'yu'jing 焚香检玉经
'fen'yi'wei 奋义威
'feng'chui'se'ru'tie 风吹色如铁
'feng'chui'yu 风吹雨
'feng'gui'hua'li'luan 风归花历乱
'feng'hao'han'xi'zhao'dan'ming 风浩寒溪照胆明
'feng'hao'sha'su'xiao'xiang'pu 风号沙宿潇湘浦
'feng'huang'lou'xia'shuang'shuang'du 凤凰楼下双双度
'feng'huo'ran'bu'xi 烽火燃不息
'feng'qu'ning'you'chui 凤曲凝犹吹
'feng'sheng'long'guan'xing'xiang'cui 凤笙龙管行相催
'feng'song'zi'luan'che 风送紫鸾车
'feng'tiao'sa'yu'ai 风条洒馀霭
'feng'wei'shang 风为裳
'feng'xiang'gong 奉相公
'feng'yang'zhong'men'ru'yi'guan 凤阳重门如意馆
'feng'ye'luo 枫叶落
'feng'yu'bai'shen'lai 风雨百神来
'feng'yun'jie'shou'yi 风云皆守一
'feng'yun'qu'ling'ling 风韵曲泠泠
'feng'zhuan'wen'chu'ding 凤篆文初定
'fu'bing'rong 富兵戎
'fu'gu'lai 扶毂来
'fu'guang'sui'ri'du 浮光随日度
'fu'jian'bei'nian'zhang 抚剑悲年长
'fu'kan'chang'an'dao 俯瞰长安道
'fu'nan'ji'yi'an 负南极以安
'fu'qie'qian'sheng'tang'shang'chuang 扶妾遣升堂上床
'fu'ren'fei'ru'qiong'yao'tai 夫人飞入琼瑶台
'fu'ren'hui'ba'ling 夫人会八灵
'fu'ren'shang'cheng'luan'zhao'shou 妇人上城乱招手
'fu'ren'xing'qi'fu'zou'cang 妇人行泣夫走藏
'fu'rong'lao'qiu'shuang 芙蓉老秋霜
'fu'tai'bai 负太白
'fu'tian'yin 浮天垠
'fu'tiao'pi'pa'xia 俯眺琵琶峡
'fu'xin'mang'mang'lei'ru'zhu 抚心茫茫泪如珠
'fu'xu'bu'wen'yao'ku'sheng 夫婿不闻遥哭声
'fu'yang'kui'ling'yan 俯仰愧灵颜
'fu'you'qing'lou'da'dao'zhong 复有青楼大道中
'fu'yun'zhe'que'yang'guan'dao 浮云遮却阳关道
'gai'fu'shen'shen'hua 盖覆深深花
'gan'quan'gong'ye'kan'tu'xing 甘泉宫夜看图形
'gao'cha'tian 高插天
'gao'guan'he'xi'he 高冠何赩赫
'gao'pian'bu'xu'ci 高骈步虚词
'gao'tai'si'wang'tong 高台四望同
'gao'tai'tiao'di'jue'fu'ai 高台迢递绝浮埃
'gao'tai'zan'fu'lin 高台暂俯临
'gao'zhen'dao'tou'wei'you'shi 稿砧刀头未有时
'ge'bao'xing'yu'qu 各保性与躯
'ge'chen'zai'kong'se'xian'si 歌尘在空瑟衔丝
'ge'dao'bu'xing'yue 阁道步行月
'ge'ge'you'ji'liang 个个有伎俩
'ge'lin'ru'ye'ting 歌麟入夜听
'ge'ping'chao'yan'cui 歌屏朝掩翠
'ge'shi'nao'gu'jian 歌诗铙鼓间
'ge'tai'xiao'ji'yao'xiang'wang 歌台小妓遥相望
'ge'wu'bai'tong'di 歌舞白铜鞮
'ge'you'qian'jin'qiu 各有千金裘
'gen'di'zhi'yao 根柢之摇
'geng'xiang'yu'qing'tian 更向玉清天
'geng'xu'ye'lian'tong'xiao'shuang 更许夜帘通晓霜
'geng'yong'yu'wei'lou 更用玉为楼
'geng'you'ji'ren'xian 更有几人仙
'gong'bu'ke'yu 功不可逾
'gong'cheng'xian'kai'jian'ming'zhu 功成献凯见明主
'gong'lou'ding'ding'ye'xiang'chen 宫漏丁丁夜向晨
'gong'yi'ding 功以定
'gong'zuo'you'ye'pan 共作游冶盘
'gou'hui'jue'qian 钩喙决前
'gu'cha'tian'wai'yi 古槎天外倚
'gu'ci'jin'yue'chan'gui'han 古祠近月蟾桂寒
'gu'fan'chun'geng'yi'gong'can 菰饭莼羹亦共餐
'gu'feng'feng 鼓逢逢
'gu'kuang'bu'xu'ci 顾况步虚词
'gu'lai'sheng'xian'jie'ji'mo 古来圣贤皆寂寞
'gu'lai'wei'jian'bai'gu'huang'sha'tian 古来唯见白骨黄沙田
'gu'luan'jing'ti'shang'si'fa 孤鸾惊啼商丝发
'gu'ren'qian'li'lai 故人千里来
'gu'ren'tian'yi'ya 故人天一涯
'gu'wo'lao'sheng'he'zu'shi 顾我劳生何足恃
'gu'ying'wan'ke'jia 孤英万可嘉
'gu'zhen'dao'cuan'wan'pian'shuang 古镇刀攒万片霜
'gua'shu'zi'li'li 瓜熟子离离
'guan'bao'jiu'yi'si 管鲍久已死
'guan'cai'ning'jian'rong 管蔡宁兼容
'guan'chen'bai'shou 官臣拜手
'guan'cheng'liu 惯乘流
'guan'dai'li'hai'zhong 冠带理海中
'guan'gao'zheng'de'si'jun'xian 官高争得似君闲
'guan'jun'nv'qi'yi'qian'pi 官军女骑一千匹
'guan'jun'xi'chu'guo'lou'lan 官军西出过楼兰
'guan'tian'qi'you'shen 关天岂由身
'guan'xiu'lin'gao'tai 贯休临高台
'guan'xiu'zhan'cheng'nan'er'shou 贯休战城南二首
'guan'you'er 关右儿
'guan'yu'ke'feng'zhen'zhu'fang 鳏鱼渴凤真珠房
'guang'shu'fu'si'hai 广输抚四海
'gui'jian'jie'jiao'xin'bu'yi 贵贱结交心不移
'gui'lai'le'wei'qiong 归来乐未穷
'gui'long'bo'luo'sheng'mei'tai 龟龙剥落生莓苔
'gui'peng'qiong'pan'xian'tian'di 跪捧琼盘献天帝
'gui'shen'lai'zhu 鬼神来助
'gui'you'de 归有德
'hai'chi'jin'zuo'yin 还持金作印
'hai'feng'chui'zhe'zui'fan'zhi 海风吹折最繁枝
'hai'han'duo'tian'feng 海寒多天风
'hai'ru'gu'shi'lv 还如故时绿
'hai'shang'qian'sui'xin 还伤千岁心
'hai'xiang'jiu'ying'chun 还向旧营春
'han'chou'geng'zou'lv'qi'qin 含愁更奏绿绮琴
'han'dan'shao'nian'bei 邯郸少年辈
'han'jia'hai'you'feng'huo'ran 汉家还有烽火燃
'han'jiang'cheng'en'xi'po'rong 汉将承恩西破戎
'han'jiang'lang'qi'qian'dui'xue 寒江浪起千堆雪
'han'qing'yi'jin'ge 含情倚金阁
'han'wu'qing'zhai'du'ding'shu 汉武清斋读鼎书
'han'xuan'shu'se'tong 寒暄树色同
'han'yao'yi'dou'su 汉谣一斗粟
'hao'chi'ge 皓齿歌
'hao'hao'hai'yi 浩浩海裔
'hao'hao'zhi'huang'feng 浩浩知皇风
'hao'yi'ren 号以仁
'he'di'zao'fang'fei 何地早芳菲
'he'fang'wu'se'shou 何妨五色绶
'he'fang'zhao'bai'shen 何方召百神
'he'hu'ti'yuan'ye 何忽啼猿夜
'he'lu'zhui 荷露坠
'he'nang'de'ti'na 纥囊得体那
'he'ning'yu'fu'ge 和凝渔父歌
'he'ren'ji'qi'zong 何人继其踪
'he'ru'yue'xia'qing'jin'lei 何如月下倾金罍
'he'shan'wu'mu'yu 何山无暮雨
'he'shan'wu'zhao'yun 何山无朝云
'he'shi'zhong'yu'tian 何时种玉田
'he'xi'sui'wu'qing 何惜遂物情
'he'xu'sheng'yu'yi 何须生羽翼
'he'yan'pu'chang 赫炎溥畅
'he'you'chan'man 河右澶漫
'he'zhi'yu 合之育
'hong'bi'lan'shan'xuan'pei'dang 红璧阑珊悬佩当
'hong'fen'zi'shang'shen 红粉自伤神
'hong'jia'luo'ru'feng'wei'cheng 红夹罗襦缝未成
'hong'lei'shuang'shuang'luo 红泪双双落
'hong'lian'dang'rong'rong 红潋荡融融
'hong'nong'de'bao'na 弘农得宝那
'hong'qi'che'ye'lu'bu'xin 红旗掣曳卤簿新
'hong'ran'zi'tian'zhui 轰然自天坠
'hong'wei'wo'li 洪惟我理
'hong'xia'sheng'hai'fu 红霞生海腹
'hong'xia'zi'yan'ning'lao'bi 红霞紫烟凝老壁
'hou'qi'gan'quan'dong 后骑甘泉东
'hou'ting'juan'yi'san'wan'ren 后庭卷衣三万人
'hou'tu'dang 后土荡
'hu'bing'shang'ling'bi 胡兵尚陵逼
'hu'chen'bai'cao'ri'guang'han 胡尘白草日光寒
'hu'cun'shi'cu'bu 虎存时促步
'hu'dao'chuang'qian'yi'shi'jun 忽到窗前疑是君
'hu'er'jiang'chu'huan'mei'jiu 呼儿将出换美酒
'hu'ji'ta'jin'hua 胡姬踏锦花
'hu'po'nong 琥珀浓
'hu'wei'ma 虎为马
'hu'zhong'wu'zhai'chu 壶中无窄处
'hua'biao'qian'nian'he'yi'gui 华表千年鹤一归
'hua'di'wei'jia 化敌为家
'hua'luo'zi'cheng'er'qian'sui 花落子成二千岁
'hua'yan'jing'shang'chun 花艳惊上春
'hua'yue'shi'ren'mi 花月使人迷
'huan'he'yin'zhao'hui 环合隐昭回
'huan'pei'ling'long'xiao'guang'li 环佩玲珑晓光里
'huang'fu'ran'wu'shan'gao 皇甫冉巫山高
'huang'he'yu'jin'tian'cang'huang 黄河欲尽天苍黄
'huang'jin'suo'zi'jia 黄金锁子甲
'huang'lie'lie 皇烈烈
'huang'lv'jing 皇旅靖
'huang'mo'zai'da 皇谟载大
'huang'yin'gui'chu'xiang 荒淫归楚襄
'huang'zhang'huang'zhang'cao'li'cang 黄獐黄獐草里藏
'huang'zhi'sheng 皇之圣
'hui'bu'you'san'dong 回步游三洞
'hui'he'yun'cang'ri 回合云藏日
'hui'kan'zhou'ping'ye 回瞰周平野
'hui'xu'yi'yin'san'bai'bei 会须一饮三百杯
'hui'yi'fang 恢一方
'hui'zhong'dao'lu'xian 回中道路险
'hun'fei'yang 魂飞扬
'huo'fu'yu'du 或傅于都
'ji'chu'liu'dan'zao 几处留丹灶
'ji'chu'ming 鸡初鸣
'ji'du'you'san'dong 几度游三洞
'ji'lu'jun'chen'ren 击虏君臣人
'ji'qian'li 几千里
'ji'ren'jing'ci'wu'qiu'qing 几人经此无秋情
'ji'sheng'sui'yu'hua 鸡声随羽化
'ji'shi'yuan'qie'xian 既恃远且险
'ji'sui'jian'nan 辑绥艰难
'ji'tuo'gu 击鼍鼓
'ji'wei'bian 棘为鞭
'ji'yun'wu'chu'suo 霁云无处所
'ji'zai'ming 鸡再鸣
'jia'di'qian'meng'fen'qi'li 甲第千甍分戚里
'jia'qi'na'bu'gu 佳期那不顾
'jia'ren'bu'zai'pan 佳人不再攀
'jia'xuan'yan'men'bei 笳喧雁门北
'jia'zai'qian'tang'xiao'jiang'qu 家在钱塘小江曲
'jia'zhi'gao'gong 甲之櫜弓
'jian'dao'heng'yan'di 翦刀横眼底
'jian'jin'shu'wan'li 见尽数万里
'jian'tian'lu 僭天禄
'jian'xia'po 剑匣破
'jian'yan'ze'ding 翦焉则定
'jiang'cheng'hui'lu'shui 江城回渌水
'jiang'han'zhi'zu 江汉之阻
'jiang'hei'wan 将黑丸
'jiang'jun'chu'zi'sai 将军出紫塞
'jiang'jun'kong'er'wei 将军空尔为
'jiang'jun'mao'qiao'cui 将军貌憔悴
'jiang'jun'zi'qi'wu'chang'jian 将军自起舞长剑
'jiang'kui'qu 降魁渠
'jiang'lai'mu'yu'xi 江来暮雨西
'jiang'shang'xue 江上雪
'jiang'shui'dong'liu'yuan'ye'sheng 江水东流猿夜声
'jiang'zhong'bai'lang'ru'yin'wu 江中白浪如银屋
'jiao'han'shui'neng'zheng 趫悍谁能争
'jiao'hua'zhui'hong'shi'yun'jian 椒花坠红湿云间
'jiao'jiao'jiao'jiao'ji'chu'ming 胶胶角角鸡初鸣
'jiao'jiao'wu'gou'fen 皎皎无垢氛
'jiao'lang'jian'chi'xin 教郎见赤心
'jiao'ran'bu'xu'ci 皎然步虚词
'jiao'sang'rou'lv'zi 郊桑柔绿滋
'jiao'shang'lie'xian'lai 教上列仙来
'jie'cui'cheng'xin'wo 结翠成新幄
'jie'gao'feng'huo'zhou'bu'mie 桔槔烽火昼不灭
'jie'shi'gan'qiu'lei'ru'yu 节士感秋泪如雨
'jie'shu'xian'zou'wei'yang'gong 捷书先奏未央宫
'jie'wen'jiang'shang'liu 借问江上柳
'jie'xiu'lin 截修鳞
'jie'zai'bi'xu'zhong 皆在碧虚中
'jin'chan'yu 锦襜褕
'jin'fu'yin'ya'zang'si'hui 金凫银鸭葬死灰
'jin'hua'yan'ying'zhu 金化颜应驻
'jin'huo'jiao'xing'chen 禁火醮星辰
'jin'jia'bei'gu'qu 金笳悲故曲
'jin'jian'yu'yu'lun 金荐玉舆轮
'jin'lv'hua'ping'kai 金缕画屏开
'jin'nian'di'zhi'yi'qiao'cui 今年低枝已憔悴
'jin'nian'zhan'cong'he'dao 今年战葱河道
'jin'ri'mei'ren'qi'wo'qu 今日美人弃我去
'jin'sheng'chang'duan'tong'yi'gui 今生长短同一轨
'jin'shu'dao'lu'tong 金书道箓通
'jin'wu'wei'li'zhi'lang'qi 金吾卫里直郎妻
'jin'yang'wu 晋阳武
'jin'yi'zhou'bu'bi 锦衣昼不襞
'jin'yu'xiang'hui'zhong 金舆向回中
'jin'zhao'she'ri'ting'zhen'xian 今朝社日停针线
'jing'ba'liu'li'wan 竞把琉璃碗
'jing'fa'jiang'ling'xiang 静发降灵香
'jing'hong'liu'yan'shi'yan'zi 经红流烟湿艳姿
'jing'qi'hong'chen'yi'chu'cheng 旌旗红尘已出城
'jing'shui'huang 泾水黄
'jing'tao'luan'shui'mai 惊涛乱水脉
'jing'wang'lie'shi'feng'mu'yu 荆王猎时逢暮雨
'jing'wang'zhen'xi'kai 荆王枕席开
'jing'xu'gu'qu'dui'jun'zhuo 径须酤取对君酌
'jing'yan'yi'jing'she 惊燕亦惊蛇
'jing'ye'ru'chun'hua 竟野如春华
'jiu'bu'dao'liu'ling'fen'shang'tu 酒不到刘伶坟上土
'jiu'ke'shu'wei'hui 久客殊未回
'jiu'li'chun'rong'bao'li'hen 酒里春容抱离恨
'jiu'tu'xi 九土晞
'jiu'xiang'dai 久相待
'jiu'zhong'wu'du'ling'zhu'shou 酒中无毒令主寿
'jiu'zhong'you'du'zhen'zhu'fu 酒中有毒鸩主父
'jiu'zhu'yi'fei'qiang 久住亦非强
'jiu'zhuan'feng'yan'he 九转风烟合
'ju'guang'fu 狙犷服
'ju'wei'wu'hou'ke 俱为五侯客
'ju'yue'bang 钜趯傍
'jue'chen'lao 绝尘劳
'jue'lai'lei'di'xiang'jiang'shui 觉来泪滴湘江水
'jue'tou'chuan 掘头船
'jue'zhai'qi'wu'xing 绝宅岂无形
'jun'bu'jian'gao'tang'ming'jing'bei'bai'fa 君不见高堂明镜悲白发
'jun'bu'jian'huang'he'zhi'shui'tian'shang'lai 君不见黄河之水天上来
'jun'bu'jian'jin'chao'yang'gong'yi'pian'shi 君不见晋朝羊公一片石
'jun'kan'jiu'ri'gao'tai'chu 君看旧日高台处
'jun'ma'huang 君马黄
'jun'wang'lv'qi'nan'zai'de 君王履綦难再得
'jun'xian'sheng'tai'gu 君嫌声太古
'jun'zi'shi'xing'yi 君子事行役
'kai'hai'men 开海门
'kai'hong'man'jiu'zhi 开红满旧枝
'kai'huai'chang'yuan'jin 开怀畅远襟
'kai'xuan'jin'zou 凯旋金奏
'kai'xuan'xian'qing'miao 凯旋献清庙
