'ai'ai'fu'mu 哀哀父母
'bang'jun'zhu'hou 邦君诸侯
'bang'mi'you'ding 邦靡有定
'bang'ren'zhu'you 邦人诸友
'bang'zhi'jie'xi 邦之桀兮
'bang'zhi'si'zhi 邦之司直
'bang'zhi'yan'xi 邦之彦兮
'bang'zhi'yuan'ye 邦之媛也
'bao'ai'er'hou 保艾尔后
'bao'bi'dong'fang 保彼東方
'bao'bu'mao'si 抱布贸丝
'bao'qi'jia'bang 保其家邦
'bao'qi'jia'shi 保其家室
'bao'qin'yu'dao 抱衾与裯
'bao'si'mie'zhi 褒姒灭之
'bao'wo'bu'shu 报我不述
'bao'yi'jie'fu 报以介福
'bao'you'fu'yi 保有鳧繹
'bao'you'jue'shi 保有厥士
'bao'you'ming'er 保右命尔
'bao'you'ming'zhi 保右命之
'bao'you'san'bo 苞有三蘗
'bao'yu 鸨羽
'bao'zhi'yi'li 報之以李
'bao'zhi'yi'qiong'jiu 报之以琼玖
'bao'zhi'yi'qiong'ju 报之以琼琚
'bao'zhi'yi'qiong'yao 报之以琼瑶
'bao'zi'tian'zi 保茲天子
'bei'feng 北风
'bei'feng 邶风
'bei'feng'qi'jie 北风其喈
'bei'feng'qi'liang 北风其凉
'bei'liu'huo'huo 北流活活
'bei'men 北门
'bei'shan 北山
'bei'shan'you'chou 北山有杻
'bei'shan'you'lai 北山有莱
'bei'shan'you'li 北山有李
'bei'shan'you'yang 北山有杨
'bei'shan'you'yu 北山有楰
'bei'yan'yan'si 备言燕私
'bei'zhi'qi'qi 被之祁祁
'bei'zhi'tong'tong 被之僮僮
'bei'zhou'zhu'xian 貝胄朱綅
'ben'gu'wei'yong 賁鼓维鏞
'ben'ran'lai'si 贲然来思
'ben'shi'xian'bo 本实先撥
'ben'zhi'bai'shi 本支百世
'beng'beng'qi'qi 菶菶萋萋
'bi'beng'you'bi 鞸琫有珌
'bi'bi'cheng'huang 駜彼乘黃
'bi'bi'cheng'mu 駜彼乘牡
'bi'bi'cheng'xuan 駜彼乘駽
'bi'bi'fen'fen 苾苾芬芬
'bi'bi'quan'shui 毖彼泉水
'bi'cai'ai'xi 彼采艾兮
'bi'cai'ge'xi 彼采葛兮
'bi'cai'xiao'xi 彼采萧兮
'bi'cang'zhe'tian 彼苍者天
'bi'chu'tong'gu 俾出童羖
'bi'cu'yi 彼徂矣
'bi'dou'ren'shi 彼都人士
'bi'er'chang'er'chi 俾尔昌而熾
'bi'er'chang'er'da 俾尔昌而大
'bi'er'chi'er'chang 俾尔熾而昌
'bi'er'dan'hou 俾尔单厚
'bi'er'duo'yi 俾尔多益
'bi'er'jian'gu 俾尔戬穀
'bi'er'mi'er'xing 俾尔彌尔性
'bi'er'qi'er'ai 俾尔耆而艾
'bi'er'shou'er'fu 俾尔寿而富
'bi'er'shou'er'zang 俾尔寿而臧
'bi'er'wei'he 彼尔维何
'bi'fei'gan'tang 蔽芾甘棠
'bi'fei'kan'quan 觱沸槛泉
'bi'fei'kan'quan 觱沸檻泉
'bi'fei'qi'chu 蔽芾其樗
'bi'fen'ju'ru 彼汾沮洳
'bi'fen'xiao'si 苾芬孝祀
'bi'fen'yi'fang 彼汾一方
'bi'fen'yi'qu 彼汾一曲
'bi'gao'fu'mu 必告父母
'bi'gong 閟宮
'bi'gong'chu'xiu 俾躬处休
'bi'gong'jing'zhi 必恭敬止
'bi'gong'you'xu 閟宮有恤
'bi'gou 敝笱
'bi'gou'zai'liang 敝笱在梁
'bi'he'ren'si 彼何人斯
'bi'he'zhi'fang 必河之鲂
'bi'he'zhi'li 必河之鲤
'bi'hou'ren'xi 彼候人兮
'bi'hou'yu'dong 俾侯于東
'bi'hou'yu'lu 俾侯于鲁
'bi'hun'bu'zhi 彼昏不知
'bi'ji'zhi'miao 彼稷之苗
'bi'ji'zhi'shi 彼稷之实
'bi'ji'zhi'sui 彼稷之穗
'bi'jiao'fei'ao 彼交匪敖
'bi'jiao'fei'shu 彼交匪纾
'bi'jiao'tong'xi 彼狡童兮
'bi'jun'zi'nv 彼君子女
'bi'jun'zi'xi 彼君子兮
'bi'lai'ji'sheng 毕来既升
'bi'li'shi'jia 俾立室家
'bi'liu'zhi'zi 彼留之子
'bi'liu'zi'guo 彼留子国
'bi'liu'zi'jie 彼留子嗟
'bi'lu'si'he 彼路斯何
'bi'mei'meng'jiang 彼美孟姜
'bi'mei'ren'xi 彼美人兮
'bi'mei'shu'ji 彼美淑姬
'bi'min'bu'mi 俾民不迷
'bi'min'bu'ning 俾民不宁
'bi'min'da'ji 俾民大棘
'bi'min'jia'se 俾民稼穡
'bi'min'xin'que 俾民心阕
'bi'min'you'xie 俾民憂泄
'bi'min'zu'kuang 俾民卒狂
'bi'pang'tuo'yi 俾滂沱矣
'bi'qi'xi'yu'chun'gu 俾緝熙于純嘏
'bi'qi'zhi'jiang 必齐之姜
'bi'qi'zhi'zi 彼其之子
'bi'qian'niu 彼牵牛
'bi'qiu'wo'ze 彼求我则
'bi'ren'shi'zai 彼人是哉
'bi'ren'zhi'xin 彼人之心
'bi'shou'wo'wang 俾守我王
'bi'shu'li'li 彼黍离离
'bi'shu'si'bai 彼疏斯粺
'bi'shu'zhe'zi 彼姝者子
'bi'song'zhi'zi 必宋之子
'bi'tong'er'jiao 彼童而角
'bi'wo'chi'ye 俾我絺也
'bi'wo'du'xi 俾我独兮
'bi'wo'qi'xi 俾我疧兮
'bi'wo'shi'bin 畀我尸宾
'bi'wu'si'li 比物四骊
'bi'wu'you'xi 俾无訧兮
'bi'yan'bi'ji 俾筵俾几
'bi'ye'ke'wang 俾也可忘
'bi'yi'you'zui 彼宜有罪
'bi'you'bu'huo'zhi 彼有不获稚
'bi'you'yi'bing 彼有遗秉
'bi'you'yi'ye 必有以也
'bi'you'yu'ye 必有与也
'bi'you'zhi'jiu 彼有旨酒
'bi'yu'jing'zhi 俾予靖之
'bi'yu'wen'wang 比于文王
'bi'yu'you'gai'wei'xi 敝予又改为兮
'bi'yu'you'gai'zao'xi 敝予又改造兮
'bi'yu'you'gai'zuo'xi 敝予又改作兮
'bi'yu'yu'du 比予于毒
'bi'yu'zhao'si 彼旟旐斯
'bi'yue'er'shi 彼月而食
'bi'yue'er'wei 彼月而微
'bi'zang'bi'jia 俾臧俾嘉
'bi'ze'zhi'bei 彼泽之陂
'bi'zen'ren'zhe 彼谮人者
'bi'zhi'luo'zhi 毕之罗之
'bi'zhou'zuo'ye 俾晝作夜
'bi'zhuo'zhe'jia 彼茁者葭
'bi'zhuo'zhe'peng 彼茁者蓬
'bi'zui'bu'zang 彼醉不臧
'bi'zuo'yi 彼作矣
'bian'bi'xue'si 弁彼鸴斯
'bian'dou'da'fang 籩豆大房
'bian'dou'jing'jia 籩豆靜嘉
'bian'dou'you'chu 笾豆有楚
'bian'dou'you'jian 笾豆有践
'bian'dou'you'qie 籩豆有且
'bian'wei'er'de 遍为尔德
'biao'biao'si'si 儦儦俟俟
'biao'chi'bei'liu 滮池北流
'biao'you'mei 摽有梅
'bin'er'bian'dou 傧尔笾豆
'bin'feng 豳风
'bin'ji'zui'zhi 宾既醉止
'bin'ju'yun'huang 豳居允荒
'bin'zai'shou'chou 宾载手仇
'bin'zhi'chu'yan 宾之初筵
'bing'beng'rong'dao 鞞琫容刀
'bing'bi'yan'huo 秉畀炎火
'bing'guo'zhi'jun 秉国之钧
'bing'qi'chen'pu 并其臣仆
'bing'qu'cong'liang'jian'xi 并驱从两肩兮
'bing'qu'cong'liang'lang'xi 并驱从两狼兮
'bing'qu'cong'liang'mu'xi 并驱从两牡兮
'bing'shou'qi'fu 并受其福
'bing'wen'zhi'de 秉文之德
'bing'xin'sai'yuan 秉心塞渊
'bing'xin'wu'jing 秉心无競
'bing'xin'xuan'you 秉心宣猶
'bing'zuo'gu'huang 并坐鼓簧
'bing'zuo'gu'se 并坐鼓瑟
'bo'cai'qi'mao 薄采其茆
'bo'cai'qi'qin 薄采其芹
'bo'cai'qi'zao 薄采其藻
'bo'fa'xi'rong 薄伐西戎
'bo'fa'xian'yun 薄伐玁狁
'bo'huan'wo'yi 薄浣我衣
'bo'jue'bai'gu 播厥百穀
'bo'jue'bai'gu 播厥百谷
'bo'shi'chui'xun 伯氏吹埙
'bo'shou'yu'ao 搏兽于敖
'bo'song'wo'ji 薄送我畿
'bo'wu'wo'si 薄污我私
'bo'xi 伯兮
'bo'xi'qie'xi 伯兮朅兮
'bo'yan'cai'qi 薄言采芑
'bo'yan'cai'zhi 薄言采之
'bo'yan'duo'zhi 薄言掇之
'bo'yan'guan'zhe 薄言观者
'bo'yan'gui'mu 薄言归沐
'bo'yan'hai'gui 薄言还归
'bo'yan'jie'zhi 薄言袺之
'bo'yan'jiong'zhe 薄言駉者
'bo'yan'luo'zhi 薄言捋之
'bo'yan'wang'su 薄言往诉
'bo'yan'xie'zhi 薄言擷之
'bo'yan'you'zhi 薄言有之
'bo'yan'zhen'zhi 薄言震之
'bo'yan'zhui'zhi 薄言追之
'bo'ye'zhi'shu 伯也执殳
'bu'ce'bu'ke 不測不克
'bu'chang'xia'yi'ge 不长夏以革
'bu'che'bu'fu 不坼不副
'bu'cheng'bao'zhang 不成报章
'bu'cheng'qi'fu 不称其服
'bu'cheng'qi'xin 不惩其心
'bu'cheng'quan'yu 不承权舆
'bu'chu'yu'jiong 不出于颎
'bu'chu'zheng'xi 不出正兮
'bu'cong'jing'zhi 不聰敬止
'bu'da'sheng'yi'se 不大声以色
'bu'diao'bu'xiang 不吊不祥
'bu'diao'hao'tian 不吊昊天
'bu'er 卜尔
'bu'er'bai'fu 卜尔百福
'bu'gan'bao'hu 不敢暴虎
'bu'gan'bu'ji 不敢不蹐
'bu'gan'bu'ju 不敢不局
'bu'gan'dai'huang 不敢怠遑
'bu'gan'feng'he 不敢冯河
'bu'gan'gao'lao 不敢告劳
'bu'gan'xi'tan 不敢戏谈
'bu'gan'yi'gao'ren 不敢以告人
'bu'gang'bu'rou 不刚不柔
'bu'gao'yu'xiong 不告于讻
'bu'gu'qi'hou 不顾其后
'bu'huang'chao'yi 不遑朝矣
'bu'huang'chu'yi 不遑出矣
'bu'huang'jia'mei 不遑假寐
'bu'huang'jiang'fu 不遑将父
'bu'huang'jiang'mu 不遑将母
'bu'huang'qi'chu 不遑启处
'bu'huang'qi'ju 不遑启居
'bu'huang'ta'yi 不皇他矣
'bu'ji'bu'nan 不戢不难
'bu'ji'qi'ma 不绩其麻
'bu'ji'wo'mou 不即我谋
'bu'jia'bu'se 不稼不穑
'bu'jian'bu'lan 不僭不濫
'bu'jian'bu'zei 不僭不賊
'bu'jian'fu'guan 不见复关
'bu'jian'qi'shen 不见其身
'bu'jian'yi'ru 不諫亦入
'bu'jian'zi'chong 不见子充
'bu'jian'zi'du 不见子都
'bu'jie'gu'ye 不蓵故也
'bu'jie'hao'ye 不蓵好也
'bu'jie'yu'wei 不解于位
'bu'jing'bu'qiu 不競不絿
'bu'jun'qi'de 不骏其德
'bu'kang'yin'si 不康禋祀
'bu'ke'dao'ye 不可道也
'bu'ke'du'si 不可度思
'bu'ke'du'ye 不可读也
'bu'ke'fang'si 不可方思
'bu'ke'jiu'yao 不可救藥
'bu'ke'juan'ye 不可卷也
'bu'ke'mi'wang 不可弭忘
'bu'ke'qiu'si 不可求思
'bu'ke'sao'ye 不可扫也
'bu'ke'shu'ye 不可束也
'bu'ke'shuo'ye 不可说也
'bu'ke'wei'ye 不可为也
'bu'ke'wei'ye 不可畏也
'bu'ke'xiang'ye 不可襄也
'bu'ke'xiang'ye 不可详也
'bu'ke'xiu'xi 不可休息
'bu'ke'xuan'ye 不可选也
'bu'ke'yi'bo'yang 不可以簸扬
'bu'ke'yi'ju 不可以据
'bu'ke'yi'ru 不可以茹
'bu'ke'yi'yi'jiu'jiang 不可以挹酒浆
'bu'ke'yong'si 不可泳思
'bu'ke'yu'chu 不可与处
'bu'ke'yu'ming 不可与明
'bu'ke'zhuan'ye 不可转也
'bu'kui'bu'beng 不虧不崩
'bu'kui'yu'ren 不愧于人
'bu'lang'bu'you 不稂不莠
'bu'li'yu'li 不罹于里
'bu'liang'ren'zhi 不谅人只
'bu'ling'xiong'di 不令兄弟
'bu'liu'bu'chu 不留不處
'bu'liu'shu'chu 不流束楚
'bu'liu'shu'pu 不流束蒲
'bu'liu'shu'xin 不流束薪
'bu'ming'er'de 不明尔德
'bu'nan'bu'song 不戁不竦
'bu'neng'chen'ye 不能辰夜
'bu'neng'fen'fei 不能奋飞
'bu'neng'xuan'fan 不能旋反
'bu'neng'xuan'ji 不能旋济
'bu'neng'yi'dao'liang 不能蓺稻梁
'bu'neng'yi'ji'shu 不能蓺稷黍
'bu'neng'yi'shu'ji 不能蓺黍稷
'bu'nian'xi'zhe 不念昔者
'bu'ning'bu'ling 不宁不令
'bu'ping'wei'he 不平谓何
'bu'qian'bu'beng 不骞不崩
'bu'qian'bu'wang 不愆不忘
'bu'qian'yu'yi 不愆于儀
'bu'qiu'you'sheng 不求友生
'bu'ri'bu'yue 不日不月
'bu'ri'cheng'zhi 不日成之
'bu'ri'you'yi 不日有曀
'bu'ru'qi'yi 不濡其翼
'bu'ru'qi'zhou 不濡其咮
'bu'ru'shi 不如时
'bu'ru'shu'ye 不如叔也
'bu'ru'si'zhi'jiu'yi 不如死之久矣
'bu'ru'wo'men 不入我门
'bu'ru'wo'suo'zhi 不如我所之
'bu'ru'wo'tong'fu 不如我同父
'bu'ru'wo'tong'xing 不如我同姓
'bu'ru'wu'sheng 不如无生
'bu'ru'yan'wo 不入唁我
'bu'ru'you'sheng 不如友生
'bu'ru'zi 不如茲
'bu'ru'zi'zhi'yi 不如子之衣
'bu'shang'kai'yan 不尚愒焉
'bu'shang'xi'yan 不尚息焉
'bu'shang'you'jiu 不尚有旧
'bu'she'ang'fou 不涉卬否
'bu'shi'bu'zhi 不識不知
'bu'shi'qi'chi 不失其驰
'bu'shi'xie'zhi 卜筮偕止
'bu'shi'yu'dan 不实于亶
'bu'shou'bu'lie 不狩不猎
'bu'shu'er'zai 不输尔载
'bu'shu'jiu'zhi 不舒究之
'bu'shu'yu'mao 不属于毛
'bu'si'he'si 不死何俟
'bu'si'he'wei 不死何为
'bu'si'jiu'yin 不思旧姻
'bu'si'qi'fan 不思其反
'bu'su'can'xi 不素餐兮
'bu'su'shi'xi 不素食兮
'bu'su'sun'xi 不素飧兮
'bu'su'ze'mo 不夙则莫
'bu'sui'qi'gou 不遂其媾
'bu'tian'xin'you 不殄心憂
'bu'tian'yin'si 不殄禋祀
'bu'wei'jiang'yu 不畏強御
'bu'wei'nue'xi 不为虐兮
'bu'wei'yu'tian 不畏于天
'bu'wen'yi'shi 不聞亦式
'bu'wo'gao'you 不我告犹
'bu'wo'guo 不我过
'bu'wo'huo'xi 不我活兮
'bu'wo'ken'gu 不我肯穀
'bu'wo'neng'chu 不我能畜
'bu'wo'xia'qi 不我遐弃
'bu'wo'xie'yi 不我屑以
'bu'wo'xin'xi 不我信兮
'bu'wo'yi 不我以
'bu'wo'yi'gui 不我以归
'bu'wo'yu 不我与
'bu'wu'bu'ao 不吳不敖
'bu'wu'bu'yang 不吳不揚
'bu'wu'guan'gua 不侮矜寡
'bu'xia 不暇
'bu'xia'you'hai 不瑕有害
'bu'xia'you'qian 不遐有愆
'bu'xia'you'zuo 不遐有佐
'bu'xian'bu'cheng 不显不承
'bu'xian'cheng'kang 不显成康
'bu'xian'qi'guang 不显其光
'bu'xian'shen'bo 不显申伯
'bu'xian'wei'de 不显维德
'bu'xian'yi'lin 不显亦臨
'bu'xian'yi'shi 不显亦世
'bu'xie'di'ye 不屑髢也
'bu'xu'yi'gu 不胥以穀
'bu'yi'fu'xiang 不以服箱
'bu'yi'kong'wo'shi 不宜空我师
'bu'yi'qi'chang 不以其长
'bu'yi'qi'jiang 不以其浆
'bu'yi'wei'wang 不易维王
'bu'yi'you'nu 不宜有怒
'bu'yi'zong'shi 不義從式
'bu'yin'yi'yi'lao 不慭遗一老
'bu'ying'qing'kuang 不盈顷筐
'bu'ying'yi'chan 不盈一襜
'bu'ying'yi'ju 不盈一匊
'bu'yong'qi'liang 不用其良
'bu'yong'qi'xing 不用其行
'bu'yu'wo'shi'xi 不与我食兮
'bu'yu'wo'shu'fu 不与我戍甫
'bu'yu'wo'shu'shen 不与我戍申
'bu'yu'wo'shu'xu 不与我戍许
'bu'yu'wo'yan'xi 不与我言兮
'bu'yuan'yi'er 不远伊迩
'bu'yun'qi'ji 卜云其吉
'bu'yun'zi'pin 不云自頻
'bu'yun'zi'zhong 不云自中
'bu'zai'wo'gong 不災我躬
'bu'zang'fu'yong 不臧覆用
'bu'zhen'bu'dong 不震不動
'bu'zhen'bu'teng 不震不騰
'bu'zhi'bu'qiu 不忮不求
'bu'zhi'de'xing 不知德行
'bu'zhi'ming'ye 不知命也
'bu'zhi'qi'qi 不知其期
'bu'zhi'qi'you 不知其邮
'bu'zhi'qi'zhi 不知其秩
'bu'zhi'suo'jie 不知所届
'bu'zhi'wo'zhe 不知我者
'bu'zi'wei'zheng 不自为政
'bu'zi'wo'hou 不自我后
'bu'zi'wo'hou 不自我後
'bu'zi'wo'xian 不自我先
'bu'zui'fan'chi 不醉反耻
'bu'zui'wu'gui 不醉无归
'cai'cai'fu'yi 采采芣苡
'cai'cai'juan'er 采采卷耳
'cai'cai'yi'fu 采采衣服
'cai'fan 采蘩
'cai'fan'qi'qi 采蘩祁祁
'cai'feng'cai'fei 采葑采菲
'cai'feng'cai'feng 采葑采葑
'cai'ge 采葛
'cai'ku'cai'ku 采苦采苦
'cai'ling 采苓
'cai'ling'cai'ling 采苓采苓
'cai'lv 采绿
'cai'pin 采蘋
'cai'qi 采芑
'cai'shu 采菽
'cai'shu'cai'shu 采菽采菽
'cai'tu'xin'chu 采荼薪樗
'cai'wei 采薇
'cai'wei'cai'wei 采薇采薇
'cai'xiao'huo'shu 采萧获菽
'cai'zhi'heng'zhi 采之亨之
'can'bu'wei'ming 憯不畏明
'can'bu'zhi'qi'gu 憯不知其故
'can'can'ri'cui 惨惨日瘁
'can'can'yi'fu 粲粲衣服
'can'mo'cheng'jie 惨莫惩嗟
'can'yue'tiao'sang 蚕月条桑
'cang'geng'jie'jie 仓庚喈喈
'cang'geng'yu'fei 仓庚于飞
'cang'tian'cang'tian 苍天苍天
'cang'xiong'tian'xi 倉兄填兮
'cang'ying'zhi'sheng 苍蝇之声
'cao'bu'kui'mao 草不潰茂
'cao'chong 草虫
'cao'feng 曹风
'ce'bian'zhi'e 侧弁之俄
'cen'ci'xing'cai 参差荇菜
'ceng'bu'chong'chao 曾不崇朝
'ceng'bu'rong'dao 曾不容刀
'ceng'bu'zhi'qi'dian 曾不知其玷
'ceng'mo'hui'wo'shi 曾莫惠我師
'ceng'shi'bu'yi 曾是不意
'ceng'shi'jiang'yu 曾是強御
'ceng'shi'mo'ting 曾是莫聽
'ceng'shi'pou'ke 曾是掊克
'ceng'shi'zai'fu 曾是在服
'ceng'shi'zai'wei 曾是在位
'ceng'wo'xie'yu 曾我暬御
'cha'chi'qi'yu 差池其羽
'chai'hu'bu'shi 豺虎不食
'chan'chan'nv'shou 掺掺女手
'chan'kou'xiao'xiao 谗口嚣嚣
'chan'ren'wang'ji 谗人罔极
'chan'yan'qi'xing 谗言其兴
'chan'zhi'zi'zhi'shou'xi 掺执子之手兮
'chan'zhi'zi'zhi'yi'qu 掺执子之衤去
'chang'di 常棣
'chang'di'zhi'hua 常棣之华
'chang'fa 长发
'chang'fa'qi'xiang 长发其祥
'chang'fu'fu'xu 常服黼冔
'chang'qi'zhi'fou 尝其旨否
'chang'sha 鲿鲨
'chang'wo'yu'wo 长我育我
'chang'wu 常武
'chang'yu'he'nv 倡予和女
'chang'yu'yao'nv 倡予要女
'chao'ji'chang'yi 朝既昌矣
'chao'ji'ying'yi 朝既盈矣
'chao'ji'yu'xi 朝隮于西
'chao'shi'yu'zhu 朝食于株
'chao'zong'yu'hai 朝宗于海
'che'bi'sang'tu 彻彼桑土
'che'gong 车攻
'che'lin 车邻
'che'shen'bo'tu'jiang 徹申伯土疆
'che'shen'bo'tu'tian 徹申伯土田
'che'tian'wei'liang 徹田为糧
'che'wo'jiang'tu 徹我疆土
'che'wo'qiang'wu 彻我墙屋
'che'xia 车舝
'chen'bi'shuo'nv 辰彼硕女
'chen'chang'yu'shi'xia 陳常于时夏
'chen'feng 晨风
'chen'feng 陈风
'chen'gong 臣工
'chen'gong'zhi'shen 臣工之什
'chen'kui'ba'gui 陈馈八簋
'chen'mu'kong'shuo 辰牡孔硕
'chen'ru'ji'shou 疢如疾首
'chen'shi'ju'lv 陈师鞠旅
'chen'xi'zai'zhou 陳錫哉周
'cheng'bi'dong'fang 城彼東方
'cheng'bi'gui'yuan 乘彼垝垣
'cheng'bi'shuo'fang 城彼朔方
'cheng'bi'si'gong 称彼兕觥
'cheng'bu'yi'fu 成不以富
'cheng'cheng'bao 乘乘鸨
'cheng'cheng'huang 乘乘黄
'cheng'cheng'ma 乘乘马
'cheng'ci'zi'mu 呈此菑亩
'cheng'kuang'shi'jiang 承筐是将
'cheng'ma'lu'ju 乘马路車
'cheng'ma'zai'jiu 乘马在厩
'cheng'qi'si'luo 乘其四骆
'cheng'qi'si'qi 乘其四骐
'cheng'shi'bei'jin 成是贝锦
'cheng'shi'nan'ji 成是南箕
'cheng'wang'bu'gan'kang 成王不敢康
'cheng'wang'zhi'fu 成王之孚
'cheng'wo'cheng'ju 乘我乘驹
'chi'bao'huang'pi 赤豹黃羆
'chi'fu'jin'xi 赤芾金舄
'chi'fu'zai'gu 赤芾在股
'chi'jiao'wo'xin 絺搅我心
'chi'ru'hu'xi 齿如瓠犀
'chi'xi'ji'ji 赤舄几几
'chi'xi'xi'xi 絺兮绤兮
'chi'xiao 鸱鸮
'chi'xiao'chi'xiao 鸱鸮鸱鸮
'chi'zhi'jie'yi 池之竭矣
'chong'chao'qi'yu 崇朝其雨
'chong'er'xiu'shi 充耳琇实
'chong'er'xiu'ying 充耳秀莹
'chong'er'yi'huang'hu'er 充耳以黄乎而
'chong'er'yi'qing'hu'er 充耳以青乎而
'chong'er'yi'su'hu'er 充耳以素乎而
'chong'fei'hong'hong 虫飞薨薨
'chong'qiu'jin'yi 崇丘今佚
'chong'ya'shu'yu 崇牙樹羽
'chong'yong'yan'yan 崇墉言言
'chong'yong'yi'yi 崇墉仡仡
'chou'mou 绸缪
'chou'mou'shu'chu 绸缪束刍
'chou'mou'shu'chu 绸缪束楚
'chou'mou'shu'xin 绸缪束薪
'chou'mou'you'hu 绸缪牖户
'chou'zhi'ru'fa 绸直如发
'chu'che 出车
'chu'che'peng'peng 出车彭彭
'chu'chu'zhe'ci 楚楚者茨
'chu'ci 楚茨
'chu'hua'bu'ran 出話不然
'chu'na'wang'ming 出納王命
'chu'qi'dong'men 出其东门
'chu'qi'yin'she 出其闉阇
'chu'ru'fu'wo 出入腹我
'chu'su'yu 出宿于
'chu'su'yu'gan 出宿于干
'chu'su'yu'tu 出宿于屠
'chu'wo'bu'zu 畜我不卒
'chu'yan'you'zhang 出言有章
'chu'zai'nan'mu 俶载南亩
'chu'zai'nan'mu 俶载南畝
'chu'ze'xian'xu 出则衔恤
'chu'zi'bei'men 出自北门
'chu'zi'dong'fang 出自东方
'chu'zi'kou'yi 出自口矣
'chu'zi'you'gu 出自幽谷
'chuan'yi'zai'lu 串夷载路
'chuan'ze'xu'xu 川澤訏訏
'chuan'zhen'yu'wei 遄臻于卫
'chui'bi'ji'xin 吹彼棘心
'chui'bi'ji'xin 吹彼棘薪
'chui'dai'er'li 垂带而厉
'chui'dai'ji'xi 垂带悸兮
'chui'pei'mi'mi 垂辔沵沵
'chui'sheng'gu'huang 吹笙鼓簧
'chun'er'man'jing 蠢尔蛮荆
'chun'gu'er'chang'yi 純嘏尔常矣
'chun'qiu'fei'jie 春秋匪解
'chun'ri'chi'chi 春日迟迟
'chun'ri'zai'yang 春日载阳
'chun'zhi'ben'ben 鹑之奔奔
'chuo'chuo'you'yu 绰绰有裕
'chuo'qi'qi'yi 啜其泣矣
'ci'bang'zhi'ren 此邦之人
'ci'ci'bi'you'wu 佌佌彼有屋
'ci'he'ren'zai 此何人哉
'ci'ling'xiong'di 此令兄弟
'ci'ri'er'shi 此日而食
'ci'ri'er'wei 此日而微
'ci'wei'yu'zhai 此维与宅
'ci'xi'ci'xi 玼兮玼兮
'ci'yi'wu'zui 此宜无罪
