'ai'qin'jing'chang 爱亲敬长
'bian'shi'jing'yi'ru'shen'ye 便是精义入神也
'bian'shi'xue 便是学
'bian'xi'ran'neng'shou'lian'de 便翕然能收敛得
'bian'you'you'yi'ceng 便又有一层
'bian'zhong'shi'bao'zhi'zhi 便中时报知之
'bian'zi'ran'ru'ci 便自然如此
'biao'li'yi'zhi'zhe 表里一致者
'bie'hou'shi'wen'shi'fu'chuan'shuo 别后时闻士夫传说
'bie'hou'you'ren'zi'wu'cheng'lai 别后有人自武城来
'bing'gen'yuan'bu'ceng'chu 病根原不曾除
'bing'shu'yi'zai'shang 病疏已再上
'bing'tong 病痛
'bo'ai'zhi'wei'ren 博爱之谓仁
'bo'hou 博厚
'bo'wen 博文
'bo'wen'yue'li 博文约礼
'bo'xue 博学
'bo'xue'shen'wen 博学审问
'bu'bei 不倍
'bu'bi 不必
'bu'ceng 不曾
'bu'da'sheng'yi'se 不大声以色
'bu'dang 不当
'bu'de 不得
'bu'de'di 不得第
'bu'de'di'dong'xin 不得第动心
'bu'de'jin'qi'ci 不得尽其辞
'bu'de'yi 不得已
'bu'dong 不动
'bu'dong'er'jing 不动而敬
'bu'du 不睹
'bu'fu'er'zhi 不扶而直
'bu'gan 不敢
'bu'gan'zuo'li'yue 不敢作礼乐
'bu'gui'yu'wu'guo 不贵于无过
'bu'guo 不过
'bu'guo'shao'shi'cheng'chuang 不过少示惩创
'bu'huan'shi'bian'zhi'bu'neng'jin 不患事变之不能尽
'bu'ji 不及
'bu'jia'wai'qiu 不假外求
'bu'jian 不见
'bu'jiao 不骄
'bu'jiao'er'sha 不教而杀
'bu'kao'wen 不考文
'bu'ke 不可
'bu'ke'bu 不可不
'bu'ken 不肯
'bu'lun 不论
'bu'mian 不免
'bu'ming 不明
'bu'neng 不能
'bu'nu'er'min'wei'yu'fu'yue 不怒而民威于鈇钺
'bu'qiu'ri'zeng 不求日增
'bu'qiu'yi'yu'ren 不求异于人
'bu'ran 不然
'bu'ran'er'hei 不染而黑
'bu'ren 不忍
'bu'rong 不容
'bu'ru 不如
'bu'ruo'wei'shu'chi'you'yuan'zhi'jing'shui 不若为数尺有源之井水
'bu'shan 不善
'bu'shan'ze'shi'zhi 不善则失之
'bu'shang'er'min'quan 不赏而民劝
'bu'sheng'gan'mao'zhan'li'zhi'zhi 不胜干冒战栗之至
'bu'shi 不是
'bu'shi'dong'xin'ren'xing 不使动心忍性
'bu'si'shan'e 不思善恶
'bu'tong 不同
'bu'wang'ye 不忘也
'bu'wen 不闻
'bu'xi 不息
'bu'xian'wei'de 不显惟德
'bu'xiang'bei 不相悖
'bu'xin 不信
'bu'xin'min'fu'cong 不信民弗从
'bu'xing'huo'you'zhi 不幸或有之
'bu'xing'sui'zhi'yu'de'zhi 不幸遂至于得志
'bu'xu 不须
'bu'yan 不厌
'bu'yan'er'xin 不言而信
'bu'yao 不要
'bu'yi'cong'hui'jing'jie'wei'gao 不以聪慧警捷为高
'bu'you'ren 不尤人
'bu'yuan'hu'qi'wai 不愿乎其外
'bu'yuan'tian 不怨天
'bu'zai 不在
'bu'zhi 不知
'bu'zhi'du 不制度
'bu'zhi'zi'ji'shi'jie'zhou'xin'di 不知自己是桀纣心地
'bu'zhi'zun'yi'yi'wei'he'ru'ye 不知尊意以为何如耶
'bu'zhui'jiu'er'deng'ji'wang'zhi'zui 不追咎尔等既往之罪
'bu'zu 不足
'bu'zun'bu'xin 不尊不信
'cai'hao'rong'ren'lai'wang 才好容人来往
'cai'ju'ze'min'san 财聚则民散
'cai'neng 才能
'cai'san'ze'min'ju 财散则民聚
'cai'xue'bian'xu'zhi'you'zhuo'li'chu 才学便须知有着力处
'cai'yi'cheng 才易成
'cai'zhe 财者
'cao'mu 草木
'cha'yin'yang'zhi'xiao'zhang'yi'cheng'qi'yun 察阴阳之消长以乘其运
'chai'bei'zhi'zhong 侪辈之中
'chang'mu'zai'zhi 常目在之
'chang'ren 常人
'chang'ti'nian'tou 常提念头
'chang'xing'xing 常惺惺
'chang'zhi'chang'cun 常知常存
'chang'zhu'yu'li 常主于理
'chao'xue 巢穴
'che'tong'gui 车同轨
'chen'cheng'fa'xia'liao 臣承乏下僚
'chen'er'zhe'qie'jian'bi'xia 臣迩者窃见陛下
'chen'jiu'chuan'lu 陈九川录
'chen'qie'xi'zhi 臣切惜之
'chen'you'wei'jun'zhe 臣又惟君者
'chen'zhe 臣者
'cheng'de'liang'you'xiang'ju'hui 诚得良友相聚会
'cheng'fu'zhi'zu 诚甫之足
'cheng'jiao'yu'guo 成教于国
'cheng'ming 诚明
'cheng'ren'zhi'shan 称人之善
'cheng'shen 诚身
'cheng'tang 成汤
'cheng'wu 成物
'cheng'yi 诚意
'cheng'yi'zheng'xin 诚意正心
'cheng'yu'zhong 诚于中
'cheng'zi 程子
'chi'bu'neng'zhi'liang'zhi 耻不能致良知
'chi'zhi'shi'nian 迟之十年
'chong'li 崇礼
'chu'ai'er'xin'guang 处隘而心广
'chu'guo'wu'yi'wei'bao 楚国无以为宝
'chu'kun'yang'jing 处困养静
'chu'lai 出来
'chu'ru'ru'fo 出儒入佛
'chu'shi'duo'hui 处事多悔
'chu'xue 初学
'chu'yu'yuan'liang 出于元亮
'chun'fu'dang'zi'zhi'zhi 纯甫当自知之
'chun'fu'mian'zhi 纯甫勉之
'chun'fu'shen'yi'wei'ran 纯甫深以为然
'ci'bei'shu'song'shu 次背书诵书
'ci'ben'shi'kong'men'jia'fa 此本是孔门家法
'ci'chu 此处
'ci'deng 此等
'ci'deng'shan'e 此等善恶
'ci'er'deng'niu'jiu'yin'liang'bu'pi 赐尔等牛酒银两布匹
'ci'fei'tian'xia'zhi'da'yong'zhe'bu'neng'ye 此非天下之大勇者不能也
'ci'fu'song'shu'jiang'shu 次复诵书讲书
'ci'ge'shi 次歌诗
'ci'ku'wen'dang'nei'rong 词库文档内容
'ci'shu'yu'yi'shu'zhi'bi'jian 此数语宜书之壁间
'ci'tian'di'zhi'suo'yi'wei'da'ye 此天地之所以为大也
'ci'wei'xue'zhi'yao 此为学之要
'ci'xi'li 次习礼
'ci'xin'guang'ming 此心光明
'ci'xue'bu'jiang'jiu'yi 此学不讲久矣
'ci'yi'mo'shi 此以没世
'ci'zhang'zhi'fu 辞章之富
'ci'zhe 慈者
'ci'zheng'zhong'yong'jie'shen'kong'ju 此正中庸戒慎恐惧
'cong'ming 聪明
'cong'ming'rui'zhi 聪明睿知
'cong'ming'sheng'zhi 聪明圣知
'cong'ren'zhi'chang 从人之长
'cong'wu'you'zhe 从吾游者
'cong'yu 从欲
'cong'yu'zhi'wei'dong 从欲之谓动
'cun'xin'yang'xing 存心养性
'cuo'xing 错行
'da'ben 大本
'da'dao 达道
'da'de'dun'hua 大德敦化
'da'di 大抵
'da'di'duo'you'sheng'xin'wei'huan 大抵多由胜心为患
'da'di'peng'you'zhi'jiao 大抵朋友之交
'da'fan'peng'you 大凡朋友
'da'gong 大公
'da'gu'dong'qiao'shu 答顾东桥书
'da'li'da'hai 大利大害
'da'liu'nei'chong'shu 答刘内重书
'da'lun'yan'shi'shu 答伦彥式书
'da'nan'yuan'shan 答南元善
'da'nie'wen'wei'shu 答聂文蔚书
'da'ou'yang'chong'yi'shu 答欧阳崇一书
'da'she'de'qi'cun 打蛇得七寸
'da'shun'zhi'suo'yi'sheng 大舜之所以圣
'da'tian'de 达天德
'da'wei'min'zhi 大畏民志
'da'wei'shi'shuo'shu 答魏师说书
'da'xue 大学
'da'xue'gu'ben'xu 大学古本序
'da'xue'shi'jiao 大学始教
'da'xue'zhi'zhi'ge'wu'zhi'gong 大学致知格物之功
'da'yan'qi'ren'zhe 大言欺人者
'da'you'ren'wen'shu 答友人问书
'da'zhong'zhi'zheng 大中至正
'da'zhou'dao'tong'shu 答周道通书
'dai'ren'ying'wu 待人应物
'dan'er'bu'yan 淡而不厌
'dan'gui'jing'shu 但贵精熟
'dan'huan'bu'neng'gai'er 但患不能改耳
'dan'jin'shi'suo'wei'dao'de 但近世所谓道德
'dan'jing'shou'pa 担惊受怕
'dan'lao'zu'er'xia 但老祖而下
'dan'shao'shang'ji'po 但稍伤急迫
'dan'xi'deng'zhi'ju'jian'si 但铣等职居谏司
'dang'ci'zhi'shi 当此之时
'dang'du'shu 当读书
'dang'shi 当时
'dang'zi'wu'shi 当自吾始
'dao'bing'xing 道并行
'dao'bing'xing'er'bu'bei 道并行而不悖
'dao'bing'xing'er'bu'xiang'bei 道并行而不相悖
'dao'da'lu'ye 道大路也
'dao'de 道德
'dao'de'zhong 道得众
'dao'li 道理
'dao'sang'qian'zai 道丧千载
'dao'shan'ze'de'zhi 道善则得之
'dao'wen'xue 道问学
'dao'wu'zai'er'shen'wu'fang 道无在而神无方
'dao'xin 道心
'dao'xin'ren'xin 道心人心
'dao'xin'wei'wei 道心惟微
'dao'yi'de 导以德
'dao'zhi'yi'de 道之以德
'dao'zhong'yong 道中庸
'de'dao 得道
'de'ran'er'ri'wang 的然而日亡
'de'sang'zhi'ke'xin'qi 得丧之可欣戚
'de'xing 德性
'de'ye 德业
'de'you'ru'mao 德輶如毛
'de'zhe 德者
'di'fang 地方
'di'ling'ren'jie 地灵人杰
'di'yi'deng'shi 第一等事
'di'zhe 弟者
'di'zhi'suo'zai 地之所载
'ding'jing 定静
'ding'yao'ba'qu'bing'gen 定要拔去病根
'ding'zhi'yi'ren'yi 定之以仁义
'ding'zhuang'chu'zheng 丁壮出征
'dong'er'shi'wei'tian'xia'dao 动而世为天下道
'dong'jing 动静
'dong'jing'jie'you'shi 动静皆有事
'dong'qi 动气
'dong'wu'qing'zhi'xiang'bei'er'wo'qi'ji 洞物情之向背而握其机
'dong'xin'ren'xing 动心忍性
'dong'yi'ding 动亦定
'dong'zhe'yao'zuo'yao'shun'shi'ye 动辄要做尧舜事业
'dou'zheng'jie'duo 斗争劫夺
'dou'zi'xiao'rong 都自消融
'du'gong'er'tian'xia'ping 笃恭而天下平
'du'shi'ruo'wei'zhi'jin'ran'er 独是若未之尽然耳
'du'shu 读书
'du'xing 笃行
'du'xing'ren'yi 笃行仁义
'du'zhi'li'xing 笃志力行
'du'zhi'shi'qing'xin'xiang'xin 独执事倾心相信
'duan'you'huan'bao 断有还报
'dun'hou 敦厚
'dun'hou'chong'li 敦厚崇礼
'e'chou 恶臭
'e'er'zhi'qi'mei 恶而知其美
'e'qi'wen'zhi'zhu'ye 恶其文之著也
'e'qie'wei'mian 恶且未免
'e'ren'zhi'suo'hao 恶人之所好
'e'zhi 恶之
'er'bu'qiu'shang'ren 而不求上人
'er'deng'hao'zi'si'liang 尔等好自思量
'er'deng'hao'zi'wei'mou 尔等好自为谋
'er'deng'jie'wu'chi'zi 尔等皆吾赤子
'er'deng'ku'bi'yu'hai'wu'liang'min 尔等苦必欲害吾良民
'er'deng'ruo'xi'xing'yi'cheng 尔等若习性已成
'er'gan'xin'yu'wu'zhuo'zhong'yan 而甘心于污浊终焉
'er'gui'yu'neng'gai'guo 而贵于能改过
'er'hou 而后
'er'hou'kai'zhi'yi'qi'shuo 而后开之以其说
'er'hou'ke'yi'jiao'guo'ren 而后可以教国人
'er'jiu'ji'zhi'shi 而咎己之失
'er'ke'yu'fang'meng'zhi'ji 而克于方萌之际
'er'min'bu'bei 而民不倍
'er'min'xing'di 而民兴弟
'er'min'xing'xiao 而民兴孝
'er'ming'ji'zhi'duan 而明己之短
'er'mo'zhi'qi'suo'cong'wang'ye 而莫知其所从往也
'er'mo'zhi'sheng 而莫之省
'er'mu 耳目
'er'mu'shou'zu'ye 耳目手足也
'er'pi'yan 而辟焉
'er'qie'wei'jun'zi'ai'ren'zhi'lei 而且为君子爱人之累
'er'qiu'tong'yu'li 而求同于理
'er'san 二三
'er'shi'ren'wei'xiao'ren 而使人为小人
'er'shi'you'suo'bu'neng 而势有所不能
'er'sui'wei'shi'wu'ke'jian 而遂谓师无可谏
'er'wan'bu'zhi'yu'yin'er 而婉不至于隐耳
'er'wei'kong'huo'li'chui'duan'zhi'bu'zhi 而惟恐火力锤煅之不至
'er'wei'zheng'yi'zai'qi'zhong'yi 而为政亦在其中矣
'er'wen'zhe'wang'wang'di'yi'wei'yi 而闻者往往诋以为异
'er'wu'xin'wu'zhi'xin 而吾信吾之心
'er'yan 而言
'er'yi 而已
'er'yi'qin'que'qian'yi'wei'shang 而以勤确谦抑为上
'er'you'he'ren'jian'zhi'tuo'xi'hu 而又何人间之脱屣乎
'er'you'zi'de'zhi'mei 而有自得之美
'er'zao'you'yu'yu'tian'xia'zhe'ye 而蚤有誉于天下者也
'er'ze'wei 二则伪
'er'zhi'cai'li'you'xian 尔之财力有限
'fa'ming 发明
'fa'qiang'gang'yi 发强刚毅
'fa'yu'wan'wu 发育万物
'fan'chi'wen'ren 樊迟问仁
'fan'gong'wo'zhi'shi'zhe 凡攻我之失者
'fan'gu'zhi'dao 反古之道
'fan'hou'sheng'mei'zhi 凡后生美质
'fan'huai'xiu'se'ning'ju 反怀羞涩凝沮
'fan'ren'yan'yu'zheng'dao'kuai'yi'shi 凡人言语正到快意时
'fan'shou'shu'bu'zai'tu'duo 凡授书不在徒多
'fan'wei'si'dao'zhi'geng 反为斯道之梗
'fan'xue'wen'zhi'gong 凡学问之功
'fan'xue'zhi'bu'qin 凡学之不勤
'fan'you'xue'qi 凡有血气
'fan'you'xue'qi'zhe 凡有血气者
'fang'shi 方是
'fang'shi'wei'kuai 方始为快
'fang'xi'jin'zhi'yi'jing'lian 方喜金之益精炼
'fang'yi'wei'xi 方以为喜
'fang'you'jin'bu 方有进步
'fang'yu'wei'meng'zhi'xian 防于未萌之先
'fei'bu'xi'qi'nian'shao'you'zhi 非不喜其年少有志
'fei'du'yi'shi'dang'lian'hui 非独以时当敛晦
'fei'guo'you'yi'nu'jue'zhi'ye 非果有意怒绝之也
'fei'jing'ze'bu'neng'yi'ming 非精则不能以明
'fei'ming'ze'bu'neng'yi'cheng 非明则不能以诚
'fei'tian'zi'bu'yi'li 非天子不议礼
'fei'wo'fu'er 非我负尔
'fei'ye 非也
'fei'yu'zuo'chan'ru'ding 非欲坐禅入定
'fei'zhuan'ze'bu'neng'yi'jing 非专则不能以精
'fen'ming 分明
'fen'nu'shi'yu'zheng'dao'teng'fei'shi 愤怒嗜欲正到腾沸时
'fen'xiang 分享
'feng'nei'shan'chuan 封内山川
'fo'lao 佛老
'fo'shi 佛氏
'fu'er'ru'chi'zi 抚尔如赤子
'fu'gui 富贵
'fu'gui'bu'zu'yi'lei'qi'xin 富贵不足以累其心
'fu'gui'er'yi 富贵而已
'fu'gui'zhi'ke'mu 富贵之可慕
'fu'guo'zhe 夫过者
'fu'mu 父母
'fu'mu'si'wang 父母死亡
'fu'quan'zhe 夫权者
'fu'ren'zhi'xing 拂人之性
'fu'wei'fu'chui'you'cha 伏惟俯垂宥察
'fu'yi 赋役
'fu'yuan'bi'xia'zhui'shou'qian'zhi 伏愿陛下追收前旨
'fu'zhe'huo'zhi'ji 福者祸之基
'fu'zhi 复制
'fu'zi 夫子
'fu'zi 父子
'gai'guo 改过
'gai'jiao'xue'xiang'zhang'ye 盖教学相长也
'gai'si'zhi'shi'fei'xie'zheng 盖思之是非邪正
'gai'xin'tong'dao'tong'er'xue'tong 盖心同道同而学同
'gai'xing'cong'shan 改行从善
'gai'yin'yi'zhi'ci 盖淫泆之词
'gan'quan'jin'you'shu'lai 甘泉近有书来
'gan'wu'yi'dong 感物易动
'gao'cai'yuan'shi 高才远识
'gao'kang'tong'tuo 高抗通脱
'gao'ming 高明
'gao'yu'li'tou'chao'zei 告谕浰头巢贼
'ge'ren'xiu'yang 个人修养
'ge'wu 格物
'ge'wu'cheng'yi 格物诚意
'ge'wu'zhi'zhi 格物致知
'ge'wu'zhu'shuo 格物诸说
'ge'zhe 格者
'ge'zhi'cheng'zheng 格致诚正
'gen'ben 根本
'gen'ben'sheng 根本盛
'geng'wu'niu 耕无牛
'gong'fa'ren'zhi'yin'si 攻发人之阴私
'gong'fu 功夫
'gong'fu 工夫
'gong'jin'ci'dao 共进此道
'gong'li 功利
'gong'li'zhi'du 功利之毒
'gong'ming 功名
'gong'ming'bu'zu'lei'qi'xin 功名不足累其心
'gong'ming'bu'zu'yi'lei'qi'xin 功名不足以累其心
'gong'ming'er'yi 功名而已
'gong'qie'xian'qu'li'hui'zi'ji'xing'qing 公且先去理会自己性情
'gong'wu'zhi'duan 攻吾之短
'gou'bu'zhi'de 苟不至德
'gou'nian'ji'ci 苟念及此
'gou'wu'de 苟无德
'gou'wu'zun'chong'du'xin'zhi'xin 苟无尊崇笃信之心
'gou'you'qian'mo'zi'chi 苟有谦默自持
'gou'you'xu'er'wei'ying 苟有虚而为盈
'gu'bu'gui'yu'wu'guo 故不贵于无过
'gu'fan'jie'ren'zhi'duan 故凡讦人之短
'gu'fan'ju'jin'zhi'shi 故凡居今之时
'gu'gan'mei'si'wei'bi'xia'yi'yan 故敢昧死为陛下一言
'gu'jun'zi'bi'shen'qi'du'ye 故君子必慎其独也
'gu'jun'zi'bu'dong'er'jing 故君子不动而敬
'gu'jun'zi'nei'xing'bu'jiu 故君子内省不疚
'gu'jun'zi'zhi'dao 故君子之道
'gu'qi'zhi'you'bu'jin 故其知有不尽
'gu'ren 古人
'gu'wu'ren'er'bu'zi'de 故无人而不自得
'gu'you'da'yu'ci'zhe 固有大于此者
'gu'yue 故曰
'gu'yue'pei'tian 故曰配天
'gu'zhi'jun'zi 古之君子
'gu'zhi'you'dao'zhi'shi 古之有道之士
'gua'guo 寡过
'gua'yu'wei'yao 寡欲为要
'guan'shang'su'zhang 管商苏张
'gui'ji 归计
'gui'ji'shang'duo'di'wu 归计尚多抵牾
'gui'shen 鬼神
'gui'tu'nai'de'zhu'you 归途乃得诸友
'gun'dan'ba 滚蛋吧
'guo'jia 国家
'guo'qu'wei'lai'shi 过去未来事
'guo'sui'ci'tu 果遂此图
'guo'wu'dao 国无道
'guo'xing'hu 果性乎
'guo'ye 过也
'guo'you'dao 国有道
'guo'zhi'hu 果质乎
'han'chang'li 韩昌黎
'han'fan 韩范
'hao'er'zhi'qi'e 好而知其恶
'hao'hao 好好
'hao'hao'qi'tian 浩浩其天
'hao'jie 豪杰
'hao'ran'dong'gui 浩然东归
'hao'ren'zhi'suo'e 好人之所恶
'hao'se 好色
'hao'se'e'chou 好色恶臭
'hao'shan'wu'e 好善恶恶
'hao'wu 好恶
'hao'zhi 好之
'he'chi'kong'gu'zhi'zu'yin 何啻空谷之足音
'he'deng 何等
'he'ku'er'bi'wei'e'wei'xiao'ren 何苦而必为恶为小人
'he'ku'er'bu'wei'shan'wei'jun'zi 何苦而不为善为君子
'he'le'tan'yi 和乐坦易
'he'lv 何虑
'he'ran'xia'ling 赫然下令
'he'ru 何如
'he'wei 何为
'he'xie 和谐
'he'xing'he'xing 何幸何幸
'he'yi 何以
'he'yi'neng'liao'de'tian'xia'zhi'bing 何以能疗得天下之病
'he'yi'yi 何益矣
'heng'tun'qing'fou 亨屯倾否
'hong'zhi'ren'xu'chun 弘治壬戌春
'hou'shi 后世
'hou'shi'da'huan 后世大患
'hou'wu'jian'ge 厚无间隔
'hou'zhi'jun'zi 后之君子
'hu'hao'pu'fu 呼号匍匐
'hu'ji'tian'liang 户籍田粮
'hu'xi'qu'shen 呼吸屈伸
'hu'xi'qu'shen'zhi'shu 呼吸屈伸之术
'hua'zhi'qian'ye'zhe'wu'shi 花之千叶者无实
'huan'nan 患难
'huang'sheng'ceng'lu 黄省曾录
'huang'xiu'yi'lu 黄修易录
'huang'yi'fang'lu 黄以方录
'huang'zhi'lu 黄直录
'hui'an 晦庵
'hui'ji'zhi'bu'neng 讳己之不能
'hui'wu'fen'fa 悔悟奋发
'hui'zhong'xu'shi'xiang'jing'fa 会中须时相警发
'huo'bei'er'ru 货悖而入
'huo'ran'guan'tong 豁然贯通
'huo'zuo'ke'fang 或作课仿
'ji'ang'yi'qi 激昂意气
'ji'bu'ji'nu'yu'ren 既不激怒于人
'ji'e'ren'yi 即恶人矣
'ji'fan'tian'xia'zhi'wu 即凡天下之物
'ji'gao'ming 极高明
'ji'jiu'min'kun 急救民困
'ji'li'dao'fu 寄李道夫
'ji'li'tou'shan'shen'wen 祭浰头山神文
'ji'ming'qie'zhe 既明且哲
'ji'qi 及其
'ji'qi'chu'ye 既其出冶
'ji'ran'bu'dong 寂然不动
'ji'ren'zhi'you'shan 忌人之有善
'ji'shan'ren'yi 即善人矣
'ji'shi'yao'shun'zhi'dao 即是尧舜之道
'ji'song'zhi'guang 记诵之广
'ji'wang'er'wu'suo'wu'yu'su 机忘而无所忤于俗
'ji'wang'ze'xin'chun'er'yi 机忘则心纯而一
'ji'wen'ren'bang'ying'bang'zheng 寄闻人邦英邦正
'ji'wu'qiong'li 即物穷理
'ji'wu'shi 饥无食
'ji'xi 积习
'ji'xi'yuan'shu 寄希渊书
'ji'xue'bian'xu'zhi'you'zhuo'li'chu 既学便须知有着力处
'ji'yang'sui'an'ge'lao'shu 寄杨邃蓭阁老书
'ji'yang'yang'ye 极怏怏也
'ji'yi 集义
'ji'yi'yang'qi 集义养气
'ji'yu'yi'ci'xue'wei'jiao 即欲以此学为教
'ji'zhi'ji'jiu 积之既久
'ji'zhu'di'shu 寄诸弟书
'ji'zhu'yong'ming'shu 寄诸用明书
'ji'zou'qian'zhi'shu 寄邹谦之书
'jian'bu'shan'er'bu'neng'tui 见不善而不能退
'jian'de 见得
'jian'duan 间断
'jian'er'hao'zi'zhuan 贱而好自专
'jian'er'min'mo'bu'jing 见而民莫不敬
'jian'er'wen 简而文
'jian'jun'zi 见君子
'jian'shi'zhi'dao 谏师之道
'jian'wen 见闻
'jian'xian'er'bu'neng'ju 见贤而不能举
'jian'yan'shi'zui 僭言实罪
'jian'yi 简易
'jian'yi'zhi'jie 简易直截
'jian'zhi'ruo'cu 见之若粗
'jian'zhu'tian'di 建诸天地
'jiang'qiu 讲求
'jiang'ren'bu'xin'wo 将人不信我
'jiang'xue 讲学
'jiang'you'han'ge'bu'sheng'zhi'huan 将有捍格不胜之患
'jiao'ren 教人
'jiao'tai'yi'shi'zhi 骄泰以失之
'jiao'tiao 教条
'jiao'tiao'shi'long 教条示龙
'jiao'tiao'shi'long'chang'zhu'sheng 教条示龙场诸生
'jiao'yu 教育
'jiao'yue 教约
'jiao'zhe 教者
'jiao'zhi'wu'fang 教之无方
'jie'bu'ke'yi'yan'ze'shan 皆不可以言责善
'jie'cong'ao'shang'lai 皆从傲上来
'jie'ju 戒惧
'jie'ju'ke'zhi 戒惧克治
'jie'qi'bu'zhi'er'wu'dao 皆其不知而误蹈
'jie'shen 戒慎
'jie'shen'kong'ju 戒慎恐惧
'jie'wo'shi'ye 皆我师也
'jie'you'ru'xin'hao'wu'suo'sheng 皆由汝心好恶所生
'jin'fu'zao'shi'mo'li'ruo'ci 今复遭时磨励若此
'jin'jing'wei 尽精微
'jin'ren 今人
'jin'ren'yu'yi'zhi'zhi'tian'li'bu'ken'cun 今人于已知之天理不肯存
'jin'ri 今日
'jin'ri'bu'hai'wei'jun'zi'yi 今日不害为君子矣
'jin'ri'xiang'yu'jiang'xue'zhe 近日相与讲学者
'jin'shi'shi'fu 近世士夫
'jin'sui'gai'guo'er'cong'shan 今虽改过而从善
'jin'tian'xia 今天下
'jin'xin 尽心
'jin'xin'zhi'xing 尽心知性
'jin'yi'qi'neng'jue'ran'xing'zhi 今亦岂能决然行之
'jin'yi'qian'zhi'ruo'ci 今亦牵制若此
'jin'yong'zhi 今用之
'jin'you'xu'yue'ren'zi'xi'jiang'hai 近又徐曰仁自西江还
'jin'zai'ting'zhi'chen 今在廷之臣
'jin'zhi 近之
'jin'zhi'zai'ye 金之在冶
'jing'bian'gu 经变故
'jing'cang'ze'tai'he'liu 精藏则太和流
'jing'fa'di'li 警发砥砺
'jing'fu'wu'jiao 敬敷五教
'jing'jing'ye'zhuan'yi'ye 精精也专一也
'jing'lie'yan 经烈焰
'jing'lun'tian'xia 经纶天下
'jing'lun'tian'xia'zhi'da'jing 经纶天下之大经
'jing'qi'bo 警其薄
'jing'shen 精神
'jing'shen'yi'bi 精神益弊
'jing'tian'xia'zhi'da'yong'ye 精天下之大用也
'jing'wei 精微
'jing'yan'wen'zhi 景颜闻之
'jing'yi 精一
'jing'yi'bu'neng'she'shi'ye 竟亦不能舍是也
'jing'yi'ding 静亦定
'jing'yi'zhi'gong 精一之功
'jing'yi'zhi'nei 敬以直内
'jing'yu'dao'si'wei'zhi'jing 精于道斯谓之精
'jing'ze'ming'yi'ming'ze'cheng'yi 精则明矣明则诚矣
'jing'zuo 静坐
'jiu'guo'zhe 纠过者
'jiu'shi 就是
'jiu'zhi'ruo'jin 就之若近
'ju'chang'wu'suo'jian 居常无所见
'ju'er'bu'neng'xian 举而不能先
'ju'shang 居上
'ju'shang'bu'jiao 居上不骄
'ju'wu'lu 居无庐
'ju'ye'bu'huan'fang'gong 举业不患妨功
'ju'yi'san'zai 居夷三载
'juan'fu'gui 捐富贵
'jue'xue'zhi'yu 绝学之余
'jue'xue'zhi'yu'qiu'dao'zhe'shao 绝学之余求道者少
'jun'ren'ze'chen'zhi 君仁则臣直
