'a'fu'ta'xing'kou'yan 阿弗它性口炎
'huai'si'xing'yin'kou'yan 坏死性龈口炎
'ji'chu'yi'xue 基础医学
'ji'di'mo'fu'he'wu 基底膜复合物
'ji'shang'pi'liu 肌上皮瘤
'ji'shi'quan'kou'yi'chi 即时全口义齿
'ji'tuo 基托
'ji'tuo'fan'wei 基托范围
'ji'xing'gen'jian'zhou'yan 急性根尖周炎
'ji'xing'hua'nong'xing'sai'xian'yan 急性化脓性腮腺炎
'ji'xing'jia'mo'xing 急性假膜型
'ji'xing'lin'ba'jie'yan 急性淋巴结炎
'ji'xing'wei'suo'xing 急性萎缩型
'ji'xing'ya'sui'yan 急性牙髓炎
'ji'ya 基牙
'jia'ji'bing'xi'suan'jia'zhi'lei'su'liao'yong'yu'xiu'fu'ti'de'shi'yong'ji'shu 甲基丙烯酸甲酯类塑料用于修复体的使用技术
'jian'jie'tie'mian'nian'jie'xiu'fu'de'ji'ben'ji'shu 间接贴面粘结修复的基本技术
'jian'rui'shi'you 尖锐湿疣
'jie'chu'xing'kou'yan 接触性口炎
'jin'ji'zheng 禁忌症
'jun'ban 菌斑
'ka'ta'xing'yin'yan 卡它性龈炎
'kao'ci'xiu'fu'ti'de'zhi'zuo'ji'shu 烤瓷修复体的制作技术
'ke'zhai'bu'fen'yi'chi 可摘部分义齿
'kou'di 口底
'kou'hu'xi'zeng'sheng'xing'yin'yan 口呼吸增生性龈炎
'kou'jiao'yan 口角炎
'kou'qiang'bai'ban'bing 口腔白斑病
'kou'qiang'bai'se'jiao'hua'bing 口腔白色角化病
'kou'qiang'ben'bu 口腔本部
'kou'qiang'bian'ping'tai'xuan 口腔扁平苔癣
'kou'qiang'cai'liao'qi'xie'za'zhi 口腔材料器械杂志
'kou'qiang'dan'chun'pao'zhen 口腔单纯疱疹
'kou'qiang'he'mian'bu'de'nang'zhong 口腔颌面部的囊肿
'kou'qiang'he'mian'bu'gan'ran 口腔颌面部感染
'kou'qiang'he'mian'bu'hou'tian'zi'ji'xing'he'que'sun 口腔颌面部后天资畸形和缺损
'kou'qiang'he'mian'bu'ju'ma'cao'zuo'fang'fa 口腔颌面部局麻操作方法
'kou'qiang'he'mian'bu'nang'zhong 口腔颌面部囊肿
'kou'qiang'he'mian'bu'sun'shang 口腔颌面部损伤
'kou'qiang'he'mian'bu'sun'shang'de'ji'jiu'chu'li'yuan'ze 口腔颌面部损伤的急救处理原则
'kou'qiang'he'mian'bu'zhong'liu 口腔颌面部肿瘤
'kou'qiang'he'mian'cai'liao'ma'zui'yu'zhen'tong 口腔颌面材料麻醉与镇痛
'kou'qiang'he'mian'wai'ke'xue 口腔颌面外科学
'kou'qiang'he'mian'wai'ke'za'zhi 口腔颌面外科杂志
'kou'qiang'he'mian'wai'lin'chuang'jian'cha 口腔颌面外临床检查
'kou'qiang'he'mian'xiu'fu'xue'za'zhi 口腔颌面修复学杂志
'kou'qiang'hong'ban'bing 口腔红斑病
'kou'qiang'jie'he 口腔结核
'kou'qiang'jie'pou'sheng'li'xue 口腔解剖生理学
'kou'qiang'ju'bu'ma'zui'ji'shu 口腔局部麻醉技术
'kou'qiang'nang'zhong'zhai'chu'shu 口腔囊肿摘除术
'kou'qiang'nian'mo'ai 口腔粘膜癌
'kou'qiang'nian'mo'ban'wen'lei'ji'bing 口腔粘膜斑纹类疾病
'kou'qiang'nian'mo'bian'tai'fan'ying'ji'bing 口腔粘膜变态反应疾病
'kou'qiang'nian'mo'bing 口腔粘膜病
'kou'qiang'nian'mo'da'pao'lei'ji'bing 口腔粘膜大疱类疾病
'kou'qiang'nian'mo'da'pao'xing'lei'tian'pao'chuang 口腔粘膜大疱性类天疱疮
'kou'qiang'nian'mo'de'ping'zhang'gong'neng 口腔粘膜的屏障功能
'kou'qiang'nian'mo'rou'ya'zhong'xing'ji'bing 口腔粘膜肉芽肿性疾病
'kou'qiang'nian'mo'se'su'yi'chang 口腔粘膜色素异常
'kou'qiang'nian'mo'shang'pi'zu'zhi 口腔粘膜上皮组织
'kou'qiang'nian'zhu'jun'bing 口腔念珠菌病
'kou'qiang'qian'ting 口腔前庭
'kou'qiang'shang'he'dou'lou'xiu'bu'shu 口腔上颌窦瘘修补术
'kou'qiang'xiu'fu'xue 口腔修复学
'kou'qiang'xiu'fu'xue'shi'yan'jiu'yong'fu'he'sheng'li'de'ren'gong'xiu'fu'fang'fa'xiu'fu'kou'qiang'he'he'mian 口腔修复学是研究用符合生理的人工修复方法修复口腔和颌面
'kou'qiang'yi'xue 口腔医学
'kou'qiang'yi'xue'yan'jiu 口腔医学研究
'kou'qiang'yu'bei 口腔预备
'kou'qiang'zheng'ji'xue 口腔正畸学
'kou'qiang'zhong'zhi'de'fen'zi'sheng'wu'xue'ji'chu 口腔种植的分子生物学基础
'kou'qiang'zhong'zhi'shou'shu 口腔种植手术
'kou'qiang'zu'zhi'bing'li'xue 口腔组织病理学
'kuang'di'gu'zhe 眶底骨折
'kuo'san'tu'jing 扩散途径
'lei'zhuang'qi 蕾状期
'leng'dong'ma'zui 冷冻麻醉
'li'yi'fu'bing 李一弗病
'lian'jie'ti 连接体
'lin'ba'guan'liu 淋巴管瘤
'lin'ba'shang'pi'bing 淋巴上皮病
'lin'chuang'kou'qiang'yi'xue'za'zhi 临床口腔医学杂志
'lin'zhong'du 磷中毒
'lin'zhuang'xi'bao'ai 鳞状细胞癌
'ling'xing'she 菱形舌
'lv'he'ci'quan'guan 铝核瓷全冠
'man'xing'fei'hou'xing 慢性肥厚型
'man'xing'gen'jian'zhou'yan 慢性根尖周炎
'man'xing'lin'ba'jie'yan'de'zhen'duan'ji'jian'bie'zhen'duan 慢性淋巴结炎的诊断及鉴别诊断
'man'xing'xian'xian'yan 慢性涎腺炎
'man'xing'ya'sui'yan 慢性牙髓炎
'mao'she 毛舌
'mao'zhuang'qi 帽状期
'men'zhen'yan'ge'zhi'xing'ba'ya'qian'san'wen'san'cha'zhi'du 门诊严格执行拔牙前三问三查制度
'meng'chu'xing'yin'yan 萌出性龈炎
'mian'ji'chou'chu 面肌抽搐
'nei'yuan'xing'se'su'chen'zhuo 内源性色素沉着
'nian'jie'qiao 粘结桥
'nian'mo'xia'ceng 粘膜下层
'nian'qing'heng'ya 年轻恒牙
'nian'ye'biao'pi'yang'ai 粘液表皮样癌
'nian'ye'nang'zhong 粘液囊肿
'nie'he'guan'jie'cheng'xing'shu 颞颌关节成形术
'nie'he'guan'jie'nei'qiang'zhi 颞颌关节内强直
'nie'he'guan'jie'qian'tuo'wei 颞颌关节前脱位
'nie'he'guan'jie'wen'luan'bing 颞颌关节紊乱病
'nie'xia'he'guan'jie 颞下颌关节
'nie'xia'he'guan'jie'ji'bing 颞下颌关节疾病
'pan'zhuang'hong'ban'lang'chuang 盘状红斑狼疮
'qian'ti 嵌体
'qian'ting'gou'jia'shen'shu 前庭沟加深术
'qian'zhong'du 铅中毒
'qie'sui'shu 切髓术
'qing'chun'fa'yu'qi'yin'yan 青春发育期龈炎
'qing'shao'nian'ya'zhou'yan 青少年牙周炎
'qiu'jun'xing'kou'jiao'yan 球菌性口角炎
'qiu'jun'xing'kou'yan 球菌性口炎
'qiu'zhuang'shang'he'nang'zhong 球状上颌囊肿
'qu'bing 龋病
'qu'sui'shu 去髓术
'quan'gu'quan'gong'gu'zhe 颧骨颧弓骨折
'quan'kou'yi'chi'xiu'fu 全口义齿修复
'quan'shen'bing'fa'zheng 全身并发症
'ren'gong'ya 人工牙
'ren'gong'ya'de'pai'lie 人工牙的排列
'ren'zao'guan'de'she'ji 人造冠的设计
'ren'zao'guan'xiu'fu 人造冠修复
'ri'ben'kou'qiang'xue'hui'za'zhi 日本口腔学会杂志
'rou'liu 肉瘤
'ru'tou'zhuang'liu 乳头状瘤
'ru'ya 乳牙
'ru'ya'sheng'li'xing'ya'gen'xi'shou 乳牙生理性牙根吸收
'ruan'zu'zhi'shang'qing'chuang'shu 软组织伤清创术
'sai'xian 腮腺
'shang'hai'kou'qiang'yi'xue 上海口腔医学
'shang'he'gu'gu'zhe 上颌骨骨折
'she'ai 舌癌
'she'ji'bing 舌疾病
'she'ru'tou'yan 舌乳头炎
'she'tong'zheng 舌痛症
'she'xia'xian 舌下腺
'she'xia'xian'nang'zhong 舌下腺囊肿
'she'yan'shen'jing'tong 舌咽神经痛
'shen'qu'zai'kuang'hua'zhi'liao 深龋再矿化治疗
'sheng'wu'cai'liao'xue 生物材料学
'sheng'wu'li'xue'deng 生物力学等
'sheng'wu'li'xue'fen'xi 生物力学分析
'shi'ying'zheng 适应症
'shi'yong'kou'qiang'yi'xue'za'zhi 实用口腔医学杂志
'shou'shu'tong'yi'shu'shang'qian'zi 手术同意书上签字
'shou'zu'kou'bing 手足口病
'shu'qian'zhun'bei 术前准备
'si'huan'su'ya 四环素牙
'sui'yi'pi'ban 随意皮瓣
'te'yi'xing'he'gu'gan'ran 特异性颌骨感染
'tie'mian'xiu'fu'ji'shu 贴面修复技术
'wai'yuan'xing'se'su'chen'zhuo 外源性色素沉着
'wei'suo'xing'she'yan 萎缩性舌炎
'wu'jun'cao'zuo'ji'shu 无菌操作技术
'wu'ya'he'de'jie'pou'biao'zhi 无牙颌的解剖标志
'wu'ya'he'de'jie'pou'sheng'li'te'dian 无牙颌的解剖生理特点
'xi'tong'ji'bing'de'kou'qiang'biao'xian 系统疾病的口腔表现
'xia'he'gu'gu'zhe 下颌骨骨折
'xia'he'xia 下颌下
'xian'dai'kou'qiang'yi'xue'za'zhi 现代口腔医学杂志
'xian'lin'ba'liu 腺淋巴瘤
'xian'shi'bing 涎石病
'xian'tian'xing'dan'ce'lie'xiu'bu'shu 先天性单侧裂修补术
'xian'xian 涎腺
'xian'xian'duo'xing'xing'xian'liu 涎腺多形性腺瘤
'xian'yang'nang'xing'ai 腺样囊性癌
'xiang'pi'quan'xing'ji'xing'ya'zhou'yan 橡皮圈性急性牙周炎
'xiu'fu'qian'de'ji'ben'zhun'bei 修复前的基本准备
'xue'guan'liu 血管瘤
'xue'guan'shen'jing'shui'zhong 血管神经水肿
'ya'ben'zhi'qu 牙本质龋
'ya'cao'gu 牙槽骨
'ya'cao'gu'xiu'zheng'shu 牙槽骨修整术
'ya'cao'ji 牙槽嵴
'ya'cao'ji'zeng'gao'shu 牙槽嵴增高术
'ya'cao'nong'zhong 牙槽脓肿
'ya'chi'de'fa'yu 牙齿的发育
'ya'chi'tuo'wei 牙齿脱位
'ya'chi'zhe'duan 牙齿折断
'ya'chi'zhuang'shang 牙齿撞伤
'ya'gu'zhi'qu 牙骨质龋
'ya'he'mian'ji'xing 牙颌面畸形
'ya'ji'ya'cao'gu'sun'shang 牙及牙槽骨损伤
'ya'ji'ya'cao'wai'ke 牙及牙槽外科
'ya'lie'yong'ji'xing'yin'yan 牙列拥挤性龈炎
'ya'pei 牙胚
'ya'sui'bing 牙髓病
'ya'sui'chong'xue 牙髓充血
'ya'sui'huai'si 牙髓坏死
'ya'sui'yan 牙髓炎
'ya'ti'que'sun'bing'yin 牙体缺损病因
'ya'ti'que'sun'de'xiu'fu 牙体缺损的修复
'ya'ti'ya'zhou'zhi'chi'zu'zhi'de'ying'li'fen'xi 牙体牙周支持组织的应力分析
'ya'yin 牙龈
'ya'yin'bing 牙龈病
'ya'yin'liu 牙龈瘤
'ya'yuan'xing'nang'zhong 牙源性囊肿
'ya'yuan'xing'xian'yang'liu 牙源性腺样瘤
'ya'zhou'bian'xing 牙周变性
'ya'zhou'chuang'shang 牙周创伤
'ya'zhou'mo 牙周膜
'ya'zhou'yan 牙周炎
'ya'zhou'zu'zhi'bing 牙周组织病
'yan'bu'jie'yong'de'lin'chuang'te'dian'ji'zhi'liao'yuan'ze 颜部疖痈的临床特点及治疗原则
'yan'ge'shu'li'wu'jun'guan'nian 严格树立无菌观念
'yan'mian'teng'tong 颜面疼痛
'yao'he'guan'xi 咬合关系
'yao'ji'jian'xi'gan'ran 咬肌间隙感染
'yao'wu'guo'min'xing'kou'yan 药物过敏性口炎
'yi'chi'zhi'jia'de'wan'zhi'ji'shu 义齿支架的弯制技术
'yi'chuan'xing'ya'yin'xian'wei'liu 遗传性牙龈纤维瘤
'ying'yang'bu'liang'xing'kou'jiao'yan 营养不良性口角炎
'ying'you'er'chuang'shang'xing'kui'yang 婴幼儿创伤性溃疡
'ying'you'er'he'gu'gu'sui'yan 婴幼儿颌骨骨髓炎
'you'li'pi'pian 游离皮片
'you'zhi'fa'yu'bu'quan 釉质发育不全
'you'zhi'qu 釉质龋
'yuan'fa'xing'san'cha'shen'jing'tong 原发性三叉神经痛
'yuan'wei'ai 原位癌
'zan'shi'guan 暂时冠
'zao'you'xi'bao'liu 造釉细胞瘤
'zhang'wo'kou'qiang'he'mian'wai'ke'yi'ban'jian'cha'nei'rong'bu'zhou'he'fang'fa 掌握口腔颌面外科一般检查内容步骤和方法
'zhen'jun'xing'kou'jiao'yan 真菌性口角炎
'zheng'que'de'hui'fu'xing'tai'yu'gong'neng 正确地恢复形态与功能
'zhi'chi'guan'zhou'yan 智齿冠周炎
'zhi'liao'cheng'xu 治疗程序
'zhi'qu'yin'mo 制取印模
'zhi'tuo 支托
'zhi'zuo'yin'mo'he'mo'xing'de'ji'shu 制作印模和模型的技术
'zhong'guo'kou'qiang'he'mian'wai'ke'za'zhi 中国口腔颌面外科杂志
'zhong'guo'kou'qiang'yi'xue'ji'xu'jiao'yu'za'zhi 中国口腔医学继续教育杂志
'zhong'guo'kou'qiang'zhong'zhi'xue'za'zhi 中国口腔种植学杂志
'zhong'hua'kou'qiang'yi'xue'za'zhi 中华口腔医学杂志
'zhong'hua'lao'nian'kou'qiang'yi'xue'za'zhi 中华老年口腔医学杂志
'zhong'wen'he'gao'wen'zhu'zao'ji'shu 中温和高温铸造技术
'zhong'zhi'shou'shu'de'bing'fa'zheng 种植手术的并发症
'zhong'zhi'wai'ke 种植外科
'zhong'zhi'yi'chi'de'cheng'gong'shu'biao'zhun 种植义齿的成功术标准
'zhong'zhi'yi'chi'de'sheng'li'xue'ji'chu 种植义齿的生理学基础
'zhong'zhi'yi'chi'de'xiu'fu'fang'fa'he'bu'zhou 种植义齿的修复方法和步骤
'zhong'zhi'yi'chi'de'you'que'dian'he'shi'ying'zheng 种植义齿的优缺点和适应症
'zhong'zhuang'qi 钟状期
'zhou'wei'xing'mian'tan 周围性面瘫
'zhu'zao'jin'shu'quan'guan 铸造金属全冠
'zhuan'yi'he'wei'guan'xi 转移颌位关系
'zhuang'guan 桩冠
'zi'ti'mian'yi'xing'ji'bing 自体免疫性疾病
'zu'sheng'ya 阻生牙
'zu'sheng'ya'ba'chu'shi'yao'xiang'huan'zhe'xiang'xi'jiao'dai'ke'neng'fa'sheng'de'bing'fa'zheng'bing'qing'huan'zhe'zai 阻生牙拔除时要向患者详细交待可能发生的并发症并请患者在
'zu'sheng'ya'ba'chu'shu 阻生牙拔除术
'zu'zhi'yi'zhi 组织移植
