'a'mi'tuo'fo'chun 阿弥驼佛纯
'chi'le'cao'mei'tu'you'la 吃了草莓吐又拉
'chi'tang'qing'qing'chu'lian'hua 池塘清清出莲花
'chu'chu'liu'xin'shi'lian'tai 处处留心是莲台
'chu'san'jie'jing'lu 出三界径路
'chu'xue'yao'li'xin 初学要离心
'chuan'yue'shi'shi'yong'zhe'xing 穿越世事勇者行
'chun'feng'bian'chu'cao'zi'lv 春风遍处草自绿
'chun'feng'bu'du'xian'ren'guo 春风不度闲人过
'chun'feng'guo'hou'lv'wan'cun 春风过后绿万村
'chun'feng'ren'zi'chui 春风任自吹
'chun'feng'wu'hen'xiang'you'yuan 春风无痕香幽远
'chun'feng'wu'xin'du'wu'mian 春风无心度无眠
'chun'feng'wu'yi'chui'lian'tai 春风无意吹莲台
'chun'feng'wu'yi'liu'chu'zhi 春风无意柳出枝
'chun'feng'yi'jiu'yang'liu 春风依旧杨柳
'chun'guang'si'jin'mian'tao'hua 春光似锦面桃花
'chun'lai'cao'zi'qing 春来草自清
'chun'lai'lv'shui'liu'bu'ting 春来绿水流不停
'chun'mei'xiang'yuan'piao'qian'jia 春梅香远飘千家
'chun'se'bu'dai'wai'bian'you 春色不待外边有
'chun'se'chu'chu'nan'mi'xun 春色处处难觅寻
'chun'xian'gui'he'chu 春闲归何处
'chun'you'lv'ye'qiu'you'huang'xia'lai'qing'he'dong'you'shuang 春有绿叶秋有黄夏来清荷冬有霜
'ci'xin'zhan'yue'xin'xin'ming 慈心湛月信心明
'cuo'cuo'cuo 错错错
'da'jiang'hong'ri'shan'yi'jiu 大江红日山依旧
'da'qian'zhi'zai'jiao'xia'bian 大千只在脚下边
'dan'kan'qiu'hua'nong'xiang'chu 但看秋华浓香处
'dan'kan'tian'ting'kuo 但看天庭阔
'dan'nian'mi'tuo'mo'ta'qiu 但念弥陀莫他求
'dan'yuan'nu'li'mo'xiao'mo 但愿努力莫消磨
'dan'zhi'yi'sheng'mi'tuo'hao 但只一声弥陀号
'dan'zi'wu'suo'zhu 但自无所住
'dan'zi'xin'chu'hao'ba'wo 但自心处好把握
'dan'zi'xin'chu'wu'yuan'wu'hui 但自心处无怨无悔
'dang'xia'zhi'qi'zhi'xin'chu 当下直起直心处
'deng'huo'sui'xiao'liang'da'qian 灯火虽小亮大千
'deng'huo'yi'ye'zai 灯火一夜在
'deng'huo'zhao'min'sheng 灯火照民生
'di'yu'liu'dao'cheng 地狱六道成
'dong'hou'mei'li'xiang 冬后梅里香
'du'ku'hai'zhou'hang 渡苦海舟航
'du'yue'wu'bian'jue'you'qing 渡月无边觉有情
'duo'yi'fen'ci'bei'ci'bei'yin'da'jia'er'bian 多一份慈悲慈悲因大家而变
'duo'yi'fen'kuan'rong'kuan'rong'zai'xi'jie'zhi'chu 多一份宽容宽容在细节之处
'duo'yu'bi'ding'fan'nao'duo 多欲必定烦恼多
'duo'yu'shan'zhi'duo'xue'xi 多与善知多学习
'e'mi'tuo'fo'hao 阿弥陀佛号
'e'mi'tuo'fo'zai 阿弥陀佛在
'en'jia'ai'suo'ru'shan'zhong 恩枷爱锁如山重
'fan'nao'xian'nan'bu'hui'jiu 烦恼险难不会久
'fan'ren'ben'bu'fan 凡人本不烦
'fang'qi'duan'zan'de'yong'heng 放弃短暂得永恒
'fang'xia'pang'huang'xin 放下彷徨心
'fang'xia'wan'yuan'qi'fo'hao 放下万缘起佛号
'fei'guan'yan'yu'fei'guan'wen 非关言语非关文
'fen'bie'zhi'zhuo'you 分别执著有
'fen'fang'ru'wan'jia 芬芳入万家
'feng'quan'qiao'shang'xing'zou'ren 奉劝桥上行走人
'feng'sao'ting'tai'deng'tou'ying 风扫亭台灯投影
'feng'yu'guo'hou'qing'kong'wan'li 风雨过后晴空万里
'feng'zhong'zhuo'fei'hua 风中捉飞花
'fo'qian'han'xiao'shi'wo'jia 佛前含笑是我家
'fo'shuo'shi'fa'ben'ping'deng 佛说是法本平等
'fo'yin'chu'chu'xin 佛音处处心
'fu'sheng'ru'cha'meng'ru'hua 浮生如茶梦如花
'fu'sheng'ru'cha'ru'wo'bei 浮生如茶入我杯
'gan'wei'chang'e'wei'qing'gu 敢为嫦娥为情故
'gan'wu'ren'sheng'mo'shi'duo 感悟人生磨事多
'ge'zi'xian'zhi'jin'ren'jia 鸽子衔枝近人家
'geng'zai'xiang'shang'chi'cun'jian 更在向上尺寸间
'gu'du'zhan'meng'xing'shi'fen 孤独斩梦醒十分
'guang'da'yi'xing'yuan 广大一性圆
'guang'kuo'wu'yin'bian'tian'di 广阔无垠遍天地
'guo'qiao'shi'an'mo'hui'tou 过桥是岸莫回头
'guo'xi'guang'yin'xiang'xi'nong 过隙光阴相戏弄
'hai'dao'ci'zhong'wang'lian'tai 还到此中望莲台
'hai'jian'you'xian'xiao'qiao'liu 还见悠闲小桥流
'hai'kan'jin'ri'wo'bei'zhong 还看今日我辈中
'hai'xu'dang'xia'zi'xin'chu 还需当下自心处
'hai'xu'nu'li'cheng 还须努力成
'hai'you'tong'dao'bang'mang'xiu 还有同道帮忙修
'hao'guang'bian'da'qian 豪光遍大千
'he'bu'zhi'mi'tuo 何不执弥陀
'he'chu'bu'shi'jing'jing'chu 何处不是静净处
'he'mu'bian'shi'yuan 和睦便是缘
'he'ri'ru'lun'kai'yan'kong 何日如轮开眼孔
'he'wen'mi'gui'tu 何问觅归途
'he'xu'wang'yue'zhao'wu'bian 何须望月照无边
'hei'tian'yin'yu'zhi'zan'shi 黑天阴雨只暂时
'hen'nan'de'jing'tu 很难得净土
'heng'shu'san'ji'shi'fang'chu 横竖三际十方处
'hong'chen'fen'fen'cheng'cuo'tuo 红尘纷纷成蹉跎
'hong'chen'miao'yin'xian'zi'lian 红尘妙音现紫莲
'hua'dao'kai'shi'xiang'si'ye 花到开时香四野
'hua'kai'shu'zhi'zhong 花开数枝重
'hua'wu'qing'yan'xin'ruo'fei 花舞轻烟心若飞
'hua'xiang'piao'si'ye 花香飘四野
'huan'chu'fu'sheng'bian'mie'xuan 幻出浮生变灭旋
'huan'qu'gui'lai'zhu 唤取归来住
'huang'li'ming'liu'luo'an'bian 黄鹂鸣柳落岸边
'hun'dun'qing'zhuo'hun'dun'yin 混沌清浊混沌音
'huo'zhong'ying'guang'you 火中应光有
'ji'dao'xi'fang'jie 即到西方界
'ji'mo'hua'ban'lu 寂寞花瓣路
'ji'ran'zhi'zhuo'you 既然执着有
'ji'shi'ben'shi'chu 即是本师处
'ji'shi'hua'fo'shen 即是化佛身
'ji'yi'wu'hen'xin'you'hen 记忆无痕心有痕
'jiao'ta'ping'chuan'shou'tai'tian 脚踏平川手抬天
'jie'shu'shi'fen'yi'kai'shi 结束时分亦开始
'jin'you'da'shi'yuan'man'jie 今有大师圆满解
'jing'li'shao'yu'wu'wei'shuo 经里少欲无为说
'jing'tu'ding'neng'sheng 净土定能生
'jing'tu'he'chu'bu'ru'lai 净土何处不如来
'jing'xin'nian'hao'ben'xing'fo 静心念好本性佛
'jing'yu'li'shuang'feng 经雨历霜风
'jing'zhi'liu'shui'dan'ru'ju 静止流水淡如菊
'jing'zhi'liu'shui'piao'dong'yun 静止流水飘动云
'jiu'ci'huai'yi'cheng'fo'nan 就此怀疑成佛难
'jiu'pin'lian'tai'gu'xiang'gui 九品莲台故乡归
'jiu'ru'mai'cai'huo'wan'jin 就如买菜获万金
'jiu'you'zhen'ai'zai 就有真爱在
'jiu'yue'ju'hua'wei'wei'tai 九月菊花微微抬
'jiu'zai'er'xin'shen'shen'ru 就在尔心深深入
'ju'ju'huan'ben'jue 句句唤本觉
'jue'chu'feng'sheng'zhuan'hua'ming 绝处逢生转花明
'jue'wang'zhi'hou'shi'xi'wang 绝望之后是希望
'jue'wu'shi'jian'ku 觉悟世间苦
'kai'hei'an'hui'deng 开黑暗慧灯
'kan'po'shi'jian'kong 看破世间空
'kan'yun 看云
'ke'xiu'ke'xing'chu 可修可行处
'kong'zhong'hua'kai'shui'zhong'yue 空中花开水中月
'kong'zhong'hua'se'shui'zhong'yue 空中花色水中月
'kou'nian'xin'xing'chu 口念心行处
'kou'xin'xin'yi'kou 口心心亦口
'kuai'huo'dang'ji'you'zhu'ren 快活当机有主人
'lai'qu'jie'cong'cong 来去皆匆匆
'lan'tian'lv'di'luo'bai'yun 蓝天绿地落白云
'lao'gu'bu'pa'feng 牢固不怕风
'lao'lao'dao'dao'cao'mei'jiang 唠唠叨叨草莓酱
'le'zhi'shang'xia'kong'wu'dun 了知上下空无沌
'le'zhi'wu'suo'zhu 了知无所住
'lei'dao'gan'shi'hai'chao'jue 泪到干时海潮绝
'li'xiang'ding'qian'kun 离相定乾坤
'lian'hua'chu'chu'fo'zi'shuo 莲花处处佛自说
'lian'hua'du'fang'ling'guang'zai 莲花独放灵光在
'lian'hua'kai'chu'xia'yi'nong 莲花开处夏意浓
'lian'hua'long'nv'lian'tai'zuo 莲花龙女莲台坐
'lian'tai'hua'yu'piao'si'lu 莲台花雨飘丝路
'liao'que'fo'sheng'ye'le'fan 了却佛圣也了凡
'ling'hua'bian'di'zhuan'yan'hua'kai 零花遍地转眼花开
'liu'chao'fan'sheng'jin'yan'shou 六朝繁盛尽眼收
'liu'li'deng'qian'luo 琉璃灯前落
'liu'li'deng'xia'shu 琉璃灯下树
'liu'yue'mei'gui'an'an'xiang 六月玫瑰暗暗香
'liu'zu'da'yue'ci 六祖答曰此
'luo'lei'man'mian'feng 落泪满面风
'luo'luo'suo'suo'cao'mei'zhi 罗罗嗦嗦草莓汁
'man'sui'tian'bian'ye'wu'mie 漫随天边也无灭
'mei'hua'jin'chu'xing'hua'kai 梅花尽处杏花开
'mei'hua'ling'shang'zhui'wu'zhu 梅花岭上追吴主
'men'qian'hong'fu'piao'qian'li 门前红幅飘千里
'meng'li'kan'hua'que'fei'hua 梦里看花却非花
'meng'shi'hui'tou'xing'shi'jia 梦是回头醒是家
'meng'zai'xing'shi'fang'zhi'huan 梦在醒时方知幻
'mi'tuo'jian'zhen'yan 弥陀见真颜
'ming'ding'bu'zhi'kong'ri'yong 酩酊不知空日用
'ming'guang'huo'zhong'wu 明光火中无
'ming'xin'jian'xing'deng 明心见性灯
'ming'yue'ling'guang'zhao'mi'tu 明月灵光照迷途
'ming'yue'qing'quan'ling'guang'yao 明月清泉凌光耀
'ming'yue'zi'zai'qing'feng'luo 明月自在清风落
'mo'dao'bai'fa'kong'zi'lao 莫到白发空自老
'mo'dao'zheng'jue'wu'mi'chu 莫道正觉无觅处
'mo'jiao'shi'luo'qu 莫叫失落去
'mo'mi'lu'jing'duo'xiao'he 莫迷路景堕小河
'mo'wang'ye'duo'cang 魔王也躲藏
'mo'wei'nian'fo'hen'jian'dan 莫谓念佛很简单
'mo'zuo'wai'qiu'xiang'wai'xun 莫做外求向外寻
'mu'ling'ru'hua'feng'zi'kai 木零如花风姿开
'na'xu'xiang'wai'lai'xun'qiu 那需向外来寻求
'nan'hai'guan'yin'gan'lu'quan 南海观音甘露泉
'nian'ci'yi'ju'fo 念此一句佛
'nian'fo'sheng'sheng'shi'miao'hua 念佛声声是妙画
'nian'fo'you'he'yi 念佛有何益
'nian'nai'xin'bu'luan 念乃心不乱
'nian'nian'bu'jue'chu 念念不觉出
'nian'nian'bu'jue'chu 念念不绝处
'nian'nian'chang'xian'qian 念念常现前
'nian'nian'xin'xin'fo'xiang'ying 念念心心佛相应
'ning'yuan'wo'shang'xin 宁愿我伤心
'nu'li'de'jing'tu 努力得净土
'pian'pian'xiu'zhe'zi'xun'fan 偏偏修者自寻繁
'pin'chun'yi'bei'tie'guan'yin 品醇一杯铁观音
'po'di'yu'meng'jiang 破地狱猛将
'po'po'ma'ma'cao'mei'xin 婆婆妈妈草莓心
'pu'sa'hao'xin'chang 菩萨好心肠
'pu'ti'ben'wu'deng 菩提本无灯
'pu'ti'chang'zai'zhi'hui'xin 菩提常在智慧心
'pu'ti'jing'tu'quan'liao'ran 菩提净土全了然
'pu'ti'shen'chu'qi'ci'bei 菩提深处起慈悲
'qi'shou'tian'wai'tian 稽首天外天
'qi'yue'he'hua'man'man'chu 七月荷花慢慢出
'qian'kan'hai'lang'hou'kan'bo 前看海浪后看波
'qin'xue'bu'chuo'qin'si'kao 勤学不辍勤思考
'qing'ai'si'chun'feng 情爱似春风
'qing'feng'piao'yuan'lian'hua'zai 清风飘缘莲花在
'qing'ge'dan'jie'shi 青葛诞节时
'qing'jing'ben'lai'xin 清净本来心
'qing'liang'wu'qiao'xin'zuo'qiao 清凉无桥心作桥
'qing'niao'fei'guo'tian'bian'qing 青鸟飞过天边晴
'qing'niao'fei'shang'lian'tai'zuo 青鸟飞上莲台坐
'qing'niao'piao'yuan'lian'hua'zai 青鸟飘缘莲花在
'qing'qing'jian'ru'lai 轻轻见如来
'qing'qing'rao'jian'xiao'qiao'shui 清清绕涧小桥水
'qing'ren'ru'yan'xin'ru'yu 情人如烟心如雨
'qing'ren'ru'yan'yan'ru'si 情人如烟烟如丝
'qing'ru'fei'xue'piao'ru'sha 轻如飞雪飘如沙
'qing'shan'tai'tou'ye'kan'yun 青山抬头也看云
'qing'shan'xiu'shui'zhao'xin'qing 青山秀水照心情
'qing'yu'nan'she'yu'wang'nan 情欲难舍欲望难
'qing'yu'nan'she'yu'wang'nan'ge 情欲难舍欲望难割
'qing'zhuo'hun'dun'liu'shui'lai 清浊混沌流水来
'qing'zhuo'hun'dun'qing'zhuo'xin 清浊混沌清浊心
'qiu'lai'dao'hua'xiang'si'ye 秋来稻花香四野
'qiu'qu'ye'geng'jin 秋去叶更尽
'qu'wu'liu'yi'lai'wu'sheng 去无留意来无生
'que'shi'lian'tai'ru'xin'cha 却是莲台入心茶
'ren'jian'er'yue'fang'fei'qi 人间二月芳菲起
'ren'jian'fan'nao'ku'lai'duo 人间烦恼苦来多
'ren'jian'wan'xiang'cai'ban'lan 人间万象彩斑斓
'ren'jian'wan'xiang'hong'chen'you 人间万象红尘有
'ren'jian'wan'xiang'se'cai'ban'lan 人间万象色彩斑斓
'ren'sheng'ba'ku'ku'ye'ku 人生八苦苦也苦
'ren'sheng'ku'lai'duo'le'shao 人生苦来多乐少
'ri'luo'xi'fang'yin'zi'xia 日落西方印紫霞
'ri'zhao'dang'tou'wan'li'wu 日照当头万里无
'ri'zhao'ying'zi'wu'suo'xing 日照影子无所形
'ru'ci'chang'wang'jie'tuo'wu'wang 如此长往解脱无望
'ru'ci'chang'wang'tuo'wu'wang 如此长往脱无望
'ru'meng'que'shi'ru'shi'zhen 如梦却是如是真
'ru'ri'yun'kai'zhong'you'ri 如日云开终有日
'ru'tong'liu'shui'shun'shi'er'xia'wu'xu'yong'li'wu'xu'tai'ji 如同流水顺势而下无须用力无须太急
'ru'wu'chu'li'xin'bu'an 如无出离心不安
'ruo'jian'shan'tou'ban'lun'yue 若见山头半轮月
'ruo'shui'sui'feng'qi'bo'sui 若水随风起波随
'ruo'wu'zi'xin'tu 若无自信土
'ruo'xin'wu'zhu'ji'shi'zhu 若心无住即是住
'ruo'xin'you'zhu'ji'wei'fei'zhu 若心有住即为非住
'ruo'yu'mi'chun'hai'xun'feng 若欲觅春还寻风
'sa'xiang'ren'jian'sa'xiang'tian 洒向人间洒向天
'sa'xiang'yuan'yang'ye'sa'xian'chu'li'xin 洒向鸳鸯也洒仙出离心
'san'jie'huo'zhai'pian'nan'an 三界火宅片难安
'san'jie'ren'tian'yan 三界人天眼
'san'xiang'hong'chen'wu'ren'zhi 散向红尘无人知
'san'yue'yang'guang'qiao'qiao'lai 三月阳光悄悄来
'san'yue'yang'guang'wu'yue'tian 三月阳光五月天
'shan'ben'huang'ku'yin'chun'lv 山本黄枯因春绿
'shan'ben'qing'qing'yin'qiu'hong 山本青青因秋红
'shan'deng'feng'ding'wei'kan'yun 山登峰顶为看云
'shan'se'qing'qing'dui'tian'ge 山色青青对天歌
'shan'yuan'hai'shi'zi'xin'chu 善缘还是自心出
'shang'qiao'qiu'fa'fa'lai'qiu 上桥求法法来求
'shang'xin'tong'chu'tian'di'lie 伤心痛处天地裂
'shao'yi'fen'dui'li'dui'li'wei'you'ai'zhi'cuo 少一份对立对立为友爱之错
'shao'yi'fen'zheng'zhi'zheng'zhi'yin'xin'yu'zhi'guo 少一份争执争执因心欲之过
'shao'yu'fan'nao'zi'ran'shao 少欲烦恼自然少
'shao'yu'wu'wei'zi'zai'ren 少欲无为自在人
'she'qi'yi'sheng'zhao'cang'sheng 舍弃一生照苍生
'shen'xin'fu'yun'qi 身心浮云起
'shen'xin'zi'ran'zi'zai'de 身心自然自在得
'shen'yuan'suo'qing'qiu 深院锁清秋
'sheng'huo'hao'huai'yu'yi'xin 生活好坏于一心
'sheng'nian'que'wu'nian 生念却无念
'sheng'sheng'ru'jing'tu 声声入净土
'sheng'si'gen'ben'wu 生死根本无
'sheng'ye'ru'shi'shi 生也如是是
'sheng'zi'yi'pu'ti 升子忆菩提
'shi'ben'xing'mi'tuo 是本性弥陀
'shi'cheng'hu'ju'kua'jiang'liu 石城虎踞跨江流
'shi'fang'xu'kong'wu 十方虚空无
'shi'ji'zhi'yao'xin'bu'luan 实际只要心不乱
'shi'jian'yi'qie'fa 世间一切法
'shi'nian'xue'fo'bu'shi'meng 十年学佛不是梦
'shi'qing'ben'lai'hen'jian'dan 事情本来很简单
'shi'shi'bu'li'xin 时时不离心
'shi'wai'tao'yuan'wu'bie'chu 世外桃源无别处
'shi'wei'xin'jing'tu 是唯心净土
'shi'yi'lian'hua'wan'duo'kai 诗意莲花万朵开
'shi'yue'dao'hua'piao'si'hai 十月稻花飘四海
'shui'ben'wu'dao'yin'shan'zhuan 水本无道因山转
'shui'ben'wu'qing'wei'shui'liu 水本无情为谁流
'shui'kan'shan'se'tian'kan'yun 水看山色天看云
'shui'liu'chan'chan'xiao'rong'lai 水流潺潺笑容来
'si'miao'chang'zhu'fo'chang'zai 寺庙长住佛常在
'si'ye'ru'shi'shi 死也如是是
'si'yue'chun'feng'jing'jing'chui 四月春风静静吹
'sui'bi'sui'xin'chu 随笔随心处
'sui'feng'qing'qing'sao'da'di 随风轻轻扫大地
'sui'feng'ru'ying'fei 随风如影飞
'sui'shuo'wan'nian'fen'fen'zheng 虽说万念纷纷争
'sui'yuan'sui'shun'quan'jing'tu 随缘随顺全净土
'tai'tou'kan'yun'di'tou'tian 抬头看云低头天
'tai'yan'qian'fang'hui'xiang'lu 抬眼前方回乡路
'tao'hua'xiang'yan'wei'chun'kai 桃花香艳为春开
'ti'shui'bu'yong'lan 提水不用蓝
'tian'di'yi'pian'ming'jing'se 天地一片明镜色
'tian'di'zhi'jian'ren'xiao'yao 天地之间任逍遥
'tian'wai'hai'you'jiu'chong'tian 天外还有九重天
'tou'ding'xing'kong'shen'pi'yue 头顶星空身披月
'tuo'sheng'si'liang'fang 脱生死良方
'wan'fa'ru'huan'ying 万法如幻影
'wan'fa'xian'ben'xin 万法现本心
'wan'shi'chu'shi'miao 万世出世妙
'wan'shi'zhi'dai'cheng'cuo'tuo 万事直待成蹉跎
'wan'xiang'sen'luo'zhen'zhen'qie 万象森罗真真切
'wei'chu'qian'nian'hei'an'ye 为除千年黑暗夜
'wei'xue'hai'shi'chen'jin'zhao 为学还是趁今朝
'wen'jun'neng'zhi'fou 问君能知否
'wen'qing'zi'zai'nuan'ren'jian 温情自在暖人间
'wo'ben'xun'feng'bu'mi'chun 我本寻风不觅春
'wo'yu'sui'feng'feng'zi'chi 我预随风风自持
'wu'bie'ta'suo'nian 无别他所念
'wu'chang'xun'su'qian'tu'yuan 无常迅速前途远
'wu'chang'you'wu'wo 无常又无我
'wu'chu'bu'zi'lian 无处不紫莲
'wu'liang'wu'bian'de 无量无边德
'wu'nian'wu'bu'nian 无念无不念
'wu'qian'da'zang'sui 五千大藏髓
'wu'shi'ye'ru'shi 无事也如是
'wu'xiang'wu'bu'xiang 无相无不相
'wu'xin'yue'chun'feng 无心阅春风
'wu'xin'zi'xin'zhu 五信自信主
'wu'xu'gong'lai'wu'xu'li 无须功来无须力
'wu'xu'qian'ban'zuo'ta'qiu 无须千般做他求
'wu'yi'chang'tan'shen'bian'shi 无意长叹身边事
'wu'yi'xiang'kou'yan'que'zai 乌衣巷口燕雀在
'wu'you'gao'xia'ren'ren'tong 无有高下人人同
'wu'you'shui'bi'shui'shu'sheng 无有谁比谁殊胜
'wu'yue'xi'yu'qing'qing'luo 五月细雨轻轻落
'wu'zhuo'e'shi'wen'jing'tu 五浊恶世闻净土
'xi'ren'wen'liu'zu 昔人问六祖
'xia'lu'xiang'feng'wo'wei'xian 狭路相逢我为先
'xia'qian'he'zhong'xiu 夏前荷中秀
'xian'kan'ting'qian'hua'kai'luo 闲看庭前花开落
'xian'lai'wu'shi'wen'qing'shan 闲来无事问青山
'xiao'cao'bu'yan'han'chun'se 小草不言含春色
'xiao'he'liu'shui'xiang'dong'liu 小河流水向东流
'xiao'he'yang'liu'jing'jing'chui 小河杨柳静静垂
'xiao'lou'wei'yu'ting 小楼为雨听
'xiao'qiao'liu'shui'guo'jia'lai 小桥流水过家来
'xiao'qiao'qu'jing'xiang'dong'qu 小桥曲径向东去
'xiao'sa'ru'yun'deng'jiu'xiao 潇洒入云登九霄
'xiao'tang'hua'zhi'luo 小塘花枝落
'xie'yang'cao'shu'kai 斜阳草树开
'xin'ben'bu'ke'xing 心本不可行
'xin'ben'jian'dan'fan'zi'rao 心本简单繁自扰
'xin'ben'jing'lai'wu'xu'jing 心本静来无须静
'xin'ben'wei'ren'xing'fu'you 心本为人幸福有
'xin'bu'wang'qiu'he'you'chou 心不妄求何有愁
'xin'de'jie'tuo'wan'shi'shu 心得解脱万事疏
'xin'neng'qiu'ji'le 信能求极乐
'xin'ru'lian'hua'zi'zai'wu 心如莲花自在无
'xin'ru'ming'deng'shou'nian'hua 心如明灯手捻花
'xin'ru'zhi'zu'xing'fu'yi 心如知足幸福易
'xin'ruo'an'shi'wan'lai'ji 心若安时万籁寂
'xin'ruo'tan'qiu'huo'luan'dao 心若贪求祸乱到
'xin'wu'chan'qu'he'you'you 心无谄曲何有忧
'xin'wu'suo'yu'ze'gang'zhi 心无所欲则刚直
'xin'wu'suo'yu'ze'tan'bai 心无所欲则坦白
'xin'zai'wu'shi'chu'chu'zhen 心在悟时处处真
'xing'ben'bu'ke'xiu 行本不可修
'xing'fu'ben'lai'zi'xin'you 幸福本来自心有
'xing'fu'jian'dan'luan'ku'nao 幸福简单乱苦恼
'xing'fu'jiao'bu'qiao'qiao'zou 幸福脚步悄悄走
'xing'fu'yuan'lai'zai'er'bian 幸福原来在尔边
'xing'jiao'bu'zai'hang 行脚不在行
'xing'jiao'hai'xu'luo'shi'chu 行脚还需落实处
'xing'jiao'shen'chu'qi'ci'bei 行脚深处起慈悲
'xing'ming'wai'shi'duo'huang'kong 性命外事多惶恐
'xing'ze'chi'ming'hao 行则持名号
'xiu'xin'ru'zhi'xin 修心如执心
'xiu'xin'wu'suo'xin 修心无所心
'xiu'xing'ru'zhi'xing 修行如执行
'xu'kong'bian'xin'lv 虚空遍新绿
'xu'kong'fa'jie'dou'ping'deng 虚空法界都平等
'xue'li'xun'yue'ying 雪里寻月影
'yan'jian'bian'shi'chun'shi'sheng 眼见便是春时生
'yan'qian'wen'shu'pu'ti'xin 眼前文殊菩提心
'yang'liu'qing'bai'chui'an'zhi 杨柳轻摆垂岸枝
'yang'zhi'gan'lu'zhao'yue'sha 扬枝甘露照月沙
'ye'lai'wu'suo'xin 也来无所心
'ye'ming'fang'cun'shu 也明方寸舒
'ye'piao'hu'mian'yue'luo'hen 叶飘湖面月落痕
'ye'shi'fei'xiu'xin 也是非修心
'ye'shi'yin'guo'yuan 也是因果缘
'ye'zi'wen'xiang'zhi'bu'zou 叶子闻香止步走
'yi'bo'cai'dong'wan'bo'sui 一波才动万波随
'yi'cao'yi'mu'ping'chang'xin 一草一木平常心
'yi'hua'bian'xian'yi'shi'jie 一花便现一世界
'yi'ju'mi'tuo'hao 一句弥陀号
'yi'ju'ming'hao'jing 一句名号境
'yi'lun'ming'yue'zhao'wo'jia 一轮明月照我家
'yi'nian'fen'ming'shi 一念分明是
'yi'nian'ji'ben'huai 一念即本怀
'yi'qi'cai'he'wan'wu'chun 一气才和万物春
'yi'ri'chun'feng'qi 一日春风起
'yi'ri'tong'feng'gu'ri'qi 一日同风孤日起
'yi'sheng'ding'neng'jing'tu'chang 一声定能净土长
'yi'sheng'mi'tuo'ye'ru'ci 一声弥陀也如此
'yi'sheng'mi'tuo'zi'ran'liu 一声弥陀自然留
'yi'xin'ruo'bu'luan 一心若不乱
'yi'ye'han'leng'wu 一夜寒冷无
'yi'ye'zhi'qiu'feng'zhi'yue 一叶知秋风知月
'yi'zhao'dun'wu'zhuan'qian'kun 一朝顿悟转乾坤
'yin'ren'ru'sheng'nan'tian'yu 引人入胜难填欲
'yin'ren'ru'sheng'nan'tian'yu'wang 引人入胜难填欲望
'yin'ruo'qi'shi'que'lei'ming 音若起时却雷鸣
'yin'yuan'shu'sheng'ben'nan'de 因缘殊胜本难得
'ying'xiong'ye'you'liu'lei'shi 英雄也有流泪时
'you'shi'ye'ru'shi 有事也如是
'you'xin'kai'hua'hua'bu'kai'wu'xin'kan'xin'xin'zi'lai 有心开花花不开无心看心心自来
'you'xin'que'zai'wu'xin'shi 有心却在无心时
'yu'ai'duo'lun'hui 欲爱惰轮回
'yu'chen'hai'di'dai'long'men 鱼沉海底待龙门
'yu'da'ba'jiao'dian'qiang'wei 雨打芭蕉点蔷薇
