'ai'er'bu'neng'ling 爱而不能令
'bi'zhi'zi'nei 比之自内
'bin'ke 宾客
'bing'bu'xue'ren 兵不血刃
'bing'di'yi'xiang 并敌一向
'bing'fa'yi'yue'du 兵法一曰度
'bing'fei'gui'yi'duo'ye 兵非贵益多也
'bing'he'er'bu'qi 兵合而不齐
'bing'nu'er'xiang'ying 兵怒而相迎
'bing'qi 并气
'bing'qiang'zhe'gong'qi'jiang 兵强者攻其将
'bing'shi'di'wu 兵势第五
'bing'shi'pian 兵势篇
'bing'shi'shen'xian'ze'bu'ju 兵士甚陷则不惧
'bing'wu'xuan'feng 兵无选锋
'bing'yin'di 兵因敌
'bing'zhan'ji 并战计
'bing'zhe 兵者
'bing'zhi'qing'zhu'su 兵之情主速
'bing'zhi'xing'bi'shi 兵之形避实
'bing'zhi'zhu'ye 兵之助也
'bing'zhong'shu'qiang 兵众孰强
'bo'bu'li'you'you'wang 剥不利有攸往
'bu'de'bu'yu'wo'zhan'zhe 不得不与我战者
'bu'de'cao'shi'zhe 不得操事者
'bu'de'yi'ye 不得已也
'bu'de'yi'ze'dou 不得已则斗
'bu'di'qi'li 不敌其力
'bu'dong'ru'shan 不动如山
'bu'fu'ze'nan'yong 不服则难用
'bu'gui'jiu 不贵久
'bu'he'yu'li'er'shang 不合于利而上
'bu'he'yu'li'er'zhi 不合于利而止
'bu'ji'zhan'ze'wang'zhe 不疾战则亡者
'bu'jie'ru'jiang'hai 不竭如江海
'bu'jing'zhi'zhi'ye'lai'wei'xie'zhe 不精之至也来委谢者
'bu'ke'bu'cha'ye 不可不察也
'bu'ke'sheng'chang'ye 不可胜尝也
'bu'ke'sheng'guan'ye'wei'bu'guo'wu 不可胜观也味不过五
'bu'ke'sheng'qiong'ye 不可胜穷也
'bu'ke'sheng'ting'ye'se'bu'guo'wu 不可胜听也色不过五
'bu'ke'sheng'zai'ji 不可胜在己
'bu'ke'sheng'zhe 不可胜者
'bu'ke'xian'chuan'ye 不可先传也
'bu'ke'yi'di 不可以敌
'bu'ke'yi'duo 不可以夺
'bu'ke'yi'ji 不可以击
'bu'ke'yi'jin'er'wei'zhi'jin 不可以进而谓之进
'bu'ke'yi'tui'er'wei'zhi'tui 不可以退而谓之退
'bu'ke'yong'ye 不可用也
'bu'ke'zhi'ze'di'suo'bei'zhe'duo 不可知则敌所备者多
'bu'li 不利
'bu'ling'er'xin 不令而信
'bu'neng'de'di'li 不能得地利
'bu'neng'de'di'zhi'li 不能得地之利
'bu'neng'de'ren'zhi'yong'yi 不能得人之用矣
'bu'neng'shan'qi'hou'yi 不能善其后矣
'bu'neng'shi'di'zhi'bi'ke'sheng 不能使敌之必可胜
'bu'neng'xing'jun 不能行军
'bu'neng'xing'jun'bu'yong'xiang'dao'zhe 不能行军不用乡导者
'bu'neng'yong'zhe'qiu'jie 不能用者求借
'bu'neng'yu'jiao 不能豫交
'bu'qiu'er'de 不求而得
'bu'ren'zhi'zhi'ye 不仁之至也
'bu'shou 不受
'bu'tei'zhe 不忒者
'bu'wei'zuo'jia'zhi'wang'wei 不伪作假知妄为
'bu'yang'tian'xia'zhi'quan 不养天下之权
'bu'yi 不意
'bu'yi'bu'zhi'bi'er'zhi'ji 不贻不知彼而知己
'bu'yi'zhan 不以战
'bu'ying'er'cong'zhi 不盈而从之
'bu'yong'xiang'dao 不用乡导
'bu'yue'er'qin 不约而亲
'bu'zai'yang'zhi'dui 不在阳之对
'bu'ze'yu'ren 不责于人
'bu'zhan'er'qu'ren'zhi'bing 不战而屈人之兵
'bu'zhi'bi'bu'zhi'ji 不知彼不知己
'bu'zhi'ci'er'yong'zhan'zhe'bi'bai 不知此而用战者必败
'bu'zhi'di'zhi 不知敌之
'bu'zhi'jun'zhi 不知军之
'bu'zhi'jun'zhi'bu'ke'yi 不知军之不可以
'bu'zhi'shan'lin'xian'zu'ju'ze 不知山林险阻沮泽
'bu'zhi'zhan'ri 不知战日
'bu'zhi'zhan'zhi'di 不知战之地
'bu'zhi'zhi'zhe'bu'sheng 不知之者不胜
'bu'zi'shi'ye 不自失也
'cai'jie'ze'ji'yu'qiu'yi 财竭则急于丘役
'cha'er'hou'dong 察而后动
'chang'jian'ze'bu'yi 常见则不疑
'chang'shan 常山
'che'ben 车贲
'che'jia'zhi'feng 车甲之奉
'che'za'er'cheng'zhi 车杂而乘之
'che'zhan'de'che'shi'cheng'yi'shang 车战得车十乘以上
'chen'bing'zong'heng 陈兵纵横
'chen'huo'da'jie 趁火打劫
'chen'ye'wu'yue'er'qing'he'zhe 陈也无约而请和者
'cheng'qi'yin'luan 乘其阴乱
'cheng'ren'zhi'bu'ji 乘人之不及
'cheng'sheng'sheng 称生胜
'cheng'sheng'zhe'zhi'zhan'min'ye 称胜者之战民也
'cheng'tian'chong'ye 承天宠也
'cheng'xi'cha'zu 乘隙插足
'cheng'you'suo'bu'gong 城有所不攻
'chi'che'qian'si 驰车千驷
'chong'qi'xu'ye'tui 冲其虚也退
'chou'qi'jing'lv 抽其劲旅
'chu'er'bu'sheng 出而不胜
'chu'er'sheng'zhi 出而胜之
'chu'qi 出其
'chu'qi'bu'yi 出其不意
'chu'qi'suo'bi'qu 出其所必趋
'chu'zheng'qian'li 出征千里
'chui'wa 垂瓦
'ci'an'guo'quan'jun'zhi'dao'ye 此安国全军之道也
'ci'bing'jia'zhi'sheng 此兵家之胜
'ci'bing'zhi'li 此兵之利
'ci'chu'chi'ze'zhi'jun'ye 此处斥泽之军也
'ci'chu'ping'lu'zhi'jun'ye 此处平陆之军也
'ci'chu'shan'zhi'jun'ye 此处山之军也
'ci'chu'shui'shang'zhi'jun'ye 此处水上之军也
'ci'fa'jiao 次伐交
'ci'fu'jian'zhi'suo'chu'ye 此伏奸之所处也
'ci'gong'zhi'zai'ye 此攻之灾也
'ci'jun'zheng'zhi'fa'ye 此军争之法也
'ci'mou'gong'zhi'fa'ye 此谋攻之法也
'ci'wei'jiang'jun'zhi'shi'ye 此谓将军之事也
'ci'wu'zhe 此五者
'ci'yong'bing'zhi'fa'ye 此用兵之法也
'ci'yong'zhong'zhi 此用众之
'ci'zhi'bian'zhe'ye 此治变者也
'ci'zhi'li'zhe'ye 此治力者也
'ci'zhi'qi'zhe'ye 此治气者也
'ci'zhi'xin'zhe'ye 此治心者也
'ci'zhi'yu'zhi'zhi'ji'zhe'ye 此知迂直之计者也
'cui'qi'jian 摧其坚
'cun'qi'xing'wan'qi'shi 存其形完其势
'cun'wang'zhi'dao 存亡之道
'da'cao'jing'she 打草惊蛇
'da'di'zhi'qin'ye 大敌之擒也
'da'li'nu'er'bu'fu 大吏怒而不服
'da'ling'xiao'zhe 大凌小者
'dai'er'wu'gong 待而勿攻
'dai'jia'shi'wan 带甲十万
'dai'lao 待劳
'dai'qi'ding'ye 待其定也
'dai'qi'zi'bai 待其自败
'dai'tian'yi'kun'zhi 待天以困之
'dai'yu'dao 怠于道
'dai'zhi'wu'shi'qi'bu'gong 待之无恃其不攻
'dang'qi'tong'zhou'er'ji'er'yu'feng 当其同舟而济而遇风
'dang'wu'er'shi'shi 当吾二十石
'dang'wu'er'shi'zhong'gan 当吾二十钟杆
'dao'jian'xing 道兼行
'dao'zhe 道者
'de'suan'duo'ye'wei'zhan 得算多也未战
'de'suan'shao'ye 得算少也
'di'bei'zhi 敌背之
'di'bi'cong'zhi'yu'zhi 敌必从之予之
'di'bi'qu'zhi 敌必取之
'di'bu'de'yu'wo'zhan'zhe 敌不得与我战者
'di'bu'ji'ju 敌不及拒
'di'bu'zhi'qi'suo'gong 敌不知其所攻
'di'bu'zhi'qi'suo'shou'shan'shou'zhe 敌不知其所守善守者
'di'fen'wei'shi 敌分为十
'di'jin'er'jing'zhe 敌近而静者
'di'jin'zhi'wu'ying'zhi 敌近之吾迎之
'di'ren'kai'he 敌人开阖
'di'ren'kai'hu'hou'ru'tuo'tu 敌人开户后如脱兔
'di'ruo'you'bei 敌若有备
'di'sheng'du 地生度
'di'sui'gao'lei'shen'gou 敌虽高垒深沟
'di'sui'li'wo 敌虽利我
'di'sui'zhong 敌虽众
'di'suo 敌所
'di'wu'bei 敌无备
'di'xie'yi'cong 敌胁以从
'di'xing'di'shi 地形第十
'di'xing'pian 地形篇
'di'yang'bu'ru'di'yin 敌阳不如敌阴
'di'yi'ming'you'wei'ding 敌已明友未定
'di'you'suo'bu'zheng 地有所不争
'di'ze'neng'zhan'zhi 敌则能战之
'di'ze'wu'jue 地则无绝
'di'zhan'ji 敌战计
'di'zhi'dao'ye 地之道也
'di'zhi'hai'da 敌之害大
'di'zhi'li'ye 地之理也
'di'zhi'luan'cui 敌志乱萃
'di'zhi'zhu'ye 地之助也
'diao'hu'li'shan 调虎离山
'dong'er'bu'mi 动而不迷
'dong'ru'lei'zhen 动如雷震
'dong'zhe 动者
'dou'luan'er'bu'ke'luan 斗乱而不可乱
'du'sheng'liang 度生量
'duan'qi'yuan'ying 断其援应
'dui'xia'qian'shang'zhi'xiang 兑下乾上之象
'dun'mao'lu 盾矛橹
'duo'qi'kui 夺其魁
'duo'suan'sheng'shao'suan 多算胜少算
'e'qi'zhu'ji 扼其主机
'er'ai'jue'lu'bai'jin 而爱爵禄百金
'er'bei'zhi 而备之
'er'bing'wu'shi 饵兵勿食
'er'bu'duo'qi'gong'zhe'xiong 而不惰其功者凶
'er'bu'ke'bai 而不可败
'er'bu'ke'wei 而不可为
'er'bu'ke'zhui'zhe 而不可追者
'er'bu'li 而不利
'er'bu'shi'di'zhi'bai'ye 而不失敌之败也
'er'bu'wei'ye'tian'zhe 而不危也天者
'er'bu'zhi'di'zhi'bu'ke'ji 而不知敌之不可击
'er'bu'zhi'wu'zu'zhi 而不知吾卒之
'er'cheng'bu 而城不
'er'dai'di'zhe'yi 而待敌者佚
'er'fa'qi'ji 而发其机
'er'hou'cheng'zhi 而后乘之
'er'ji'xu'shui'yin'di'er'zhi'liu 而击虚水因地而制流
'er'kuang'yu'wu'suan'hu 而况于无算乎
'er'kuang'yuan'zhe'shu'shi'li 而况远者数十里
'er'li'yu'zhu 而利于主
'er'miao'suan'bu'sheng'zhe 而庙算不胜者
'er'qi'bing'jing'zhe 而其兵静者
'er'qu'zhan'zhe'lao 而趋战者劳
'er'shi'zhi'bu'neng 而示之不能
'er'suo'qi'qing 而索其情
'er'suo'qi'qing'yi'yue'dao 而索其情一曰道
'er'xiao'qi'shi 而消其势
'er'ying'xing'yu'wu'qiong 而应形于无穷
'er'ying'zhi'huo 而应之火
'er'you'zhi'yi'li 而诱之以利
'er'yue'huo'ji 二曰火积
'er'yue'liang 二曰量
'er'yue'tian 二曰天
'er'zheng'li 而争利
'er'zhi'sheng 而制胜
'er'zhi'wu'shi'li'er'zheng 而至五十里而争
'fa'da'guo 伐大国
'fa'huo'you'shi 发火有时
'fa'ling'shu'xing 法令孰行
'fa'ye 法也
'fa'yu'nei 发于内
'fan'chu'jun'xiang'di 凡处军相敌
'fan'ci 凡此
'fan'ci'liu'zhe 凡此六者
'fan'ci'si'jun'zhi'li 凡此四军之利
'fan'ci'si'su'zhe 凡此四宿者
'fan'ci'wu 凡此五
'fan'ci'wu'zhe 凡此五者
'fan'di'wu'jiang'jin'qi'tu 泛地吾将进其途
'fan'di'wu'she 泛地无舍
'fan'di'ze'xing 泛地则行
'fan'huo'gong 凡火攻
'fan'jian'ji 反间计
'fan'jun'bi'zhi'wu'huo'zhi'bian 凡军必知五火之变
'fan'jun'hao'gao'er'e'xia 凡军好高而恶下
'fan'ke'wei'zhu 反客为主
'fan'nan 凡难
'fan'san'jun'zhi'zhong 犯三军之众
'fan'wei'ke'zhi'dao 凡为客之道
'fan'xian'chu'zhan'di 凡先处战地
'fan'xing'shi'shi'wan 凡兴师十万
'fan'yong'bing'zhi'fa 凡用兵之法
'fan'zhan'zhe 凡战者
'fan'zhi'yi'shi 犯之以事
'fan'zhi'zhong'ru'zhi'gua 凡治众如治寡
'fang'ze'zhi 方则止
'fei'ba'wang'zhi'bing'ye 非霸王之兵也
'fei'dei'bu'yong 非得不用
'fei'e'huo'ye'wu'yu'ming 非恶货也无余命
'fei'e'shou'ye 非恶寿也
'fei'min'zhi'jiang'ye 非民之将也
'fei'shan'zhi'shan'ye 非善之善也
'fei'shan'zhi'shan'zhe'ye 非善之善者也
'fei'tian'di 非天地
'fei'wei'bu'zhan 非危不战
'fei'wo'qiu'tong'meng 匪我求童蒙
'fen'fen'yun'yun 纷纷纭纭
'fen'shu'shi'ye'dou'zhong'ru'dou'gua 分数是也斗众如斗寡
'fen'su'ke'wu 忿速可侮
'fen'zhong 分众
'feng'qi'zhi'ri'ye 风起之日也
'feng'zhi 风止
'fu'ba'wang'zhi'bing 夫霸王之兵
'fu'bing'jiu'er'guo'li'zhe 夫兵久而国利者
'fu'bing'xing'xiang'shui 夫兵形象水
'fu'di'chou'xin 釜底抽薪
'fu'di'xing'zhe 夫地形者
'fu'dun'bing'cuo'rui 夫钝兵挫锐
'fu'jiang'zhe 夫将者
'fu'jin'gu'jing 夫金鼓旌
'fu'jun'sha'jiang 覆军杀将
'fu'shi'jun 夫势均
'fu'wei'wu'lv'er'yi'di'zhe 夫惟无虑而易敌者
'fu'wei'zhan'er'miao'suan'sheng'zhe 夫未战而庙算胜者
'fu'wu'ren'yu'yue'ren'xiang'e'ye 夫吴人与越人相恶也
'fu'xi'ze'guo'bi'ruo 辅隙则国必弱
'fu'ye'chen'gao'er'rui'zhe 覆也尘高而锐者
'fu'ye'shou'hai'zhe 伏也兽骇者
'fu'yong'bing'zhi'fa 夫用兵之法
'fu'zhan'sheng'gong'qu 夫战胜攻取
'fu'zhong'xian'yu'hai 夫众陷于害
'fu'zhou'ze'guo'bi'qiang 辅周则国必强
'gan'wen'bing'ke'shi'ru'shuai'ran'hu 敢问兵可使如率然乎
'gan'wen'di'zhong'er'zheng'jiang'lai 敢问敌众而整将来
'gang'jue'rou'ye 刚决柔也
'gang'rou'zhi'ji'qi'er'fu'qi 刚柔之际奇而复奇
'gang'zhong'er'ying 刚中而应
'gang'zhong'rou'wai'ye 刚中柔外也
'gao'ling'wu'xiang 高陵勿向
'ge'an'guan'huo 隔岸观火
'ge'che'qian'sheng 革车千乘
'ge'qi'mou 革其谋
'gong'cheng'ze'li'qu 攻城则力屈
'gong'cheng'zhi'fa 攻城之法
'gong'di'bu'ru'fen'di 共敌不如分敌
'gong'jia'zhi'feng 公家之奉
'gong'qi'suo 攻其所
'gong'qi'suo'bu 攻其所不
'gong'qi'suo'bu'shou'ye 攻其所不守也
'gong'qi'wu'bei 攻其无备
'gong'ye 攻也
'gong'ze'you'yu 攻则有余
'gong'zhan'ji 攻战计
'gu'bei'qian'ze'hou'gua 故备前则后寡
'gu'bing'bu'dun'er'li'ke'quan 故兵不顿而利可全
'gu'bing'gui'sheng 故兵贵胜
'gu'bing'wen'zhuo'su 故兵闻拙速
'gu'bing'wu'chang'shi 故兵无常势
'gu'bing'yi'zha'li 故兵以诈立
'gu'bing'zhi'qing'wei'ze'yu 故兵之情围则御
'gu'bu'jin'zhi'yong'bing'zhi'hai'zhe 故不尽知用兵之害者
'gu'bu'zhi'zhu'hou'zhi'mou'zhe 故不知诸侯之谋者
'gu'ce'zhi'er'zhi'de'shi'zhi'ji 故策之而知得失之计
'gu'di'yi'neng'lao'zhi 故敌佚能劳之
'gu'he 故合
'gu'jiang'tong'yu'jiu'bian'zhi'li'zhe 故将通于九变之利者
'gu'jiang'you'wu'wei 故将有五危
'gu'jin'bu'qiu'ming 故进不求名
'gu'jing'zhi'yi'wu'shi 故经之以五事
'gu'ju'qiu'hao'bu'wei'duo'li 故举秋毫不为多力
'gu'jun'shi'ke'zu'ye 故军食可足也
'gu'jun'zhi'suo'yi 故君之所以
'gu'ke'yu'zhi'ju'si 故可与之俱死
'gu'ming'zhu'shen'zhi 故明主慎之
'gu'neng 故能
'gu'neng'wei'di'zhi'si'ming 故能为敌之司命
'gu'neng'wei'sheng'bai'zhi'zheng 故能为胜败之政
'gu'neng'ze'ren'er'ren'shi 故能择人而任势
'gu'neng'zi'bao'er'quan'sheng'ye 故能自保而全胜也
'gu'qi'ji'ru'feng 故其疾如风
'gu'qi'zhan'sheng'bu'fu 故其战胜不复
'gu'qi'zhan'sheng'bu'tei 故其战胜不忒
'gu'sha'di'zhe 故杀敌者
'gu'shan 故善
'gu'shan'chu'qi'zhe 故善出奇者
'gu'shan'dong'di'zhe 故善动敌者
'gu'shan'gong'zhe 故善攻者
'gu'shan'yong'bing'zhe 故善用兵者
'gu'shan'zhan'ren'zhi'shi 故善战人之势
'gu'shan'zhan'zhe 故善战者
'gu'shan'zhan'zhe'zhi'sheng'ye 故善战者之胜也
'gu'shang'bing'fa'mou 故上兵伐谋
'gu'sheng'bing'ruo'yi'yi'cheng'zhu 故胜兵若以镒称铢
'gu'wei'bing'zhi'shi 故为兵之事
'gu'wei'zhi'jin'gu'shi'bu'xiang'jian 故为之金鼓视不相见
'gu'wei'zhi'jing'qi 故为之旌旗
'gu'wo'yu'zhan 故我欲战
'gu'wu'xing'wu'chang'sheng 故五行无常胜
'gu'xiao 故校
'gu'xiao'di'zhi'jian 故小敌之坚
'gu'xing'bing'zhi'ji 故形兵之极
'gu'xing'ren'er'wo'wu 故形人而我无
'gu'ye'zhan'duo'jin'gu 故夜战多金鼓
'gu'yi'huo'zuo'gong'zhe'ming 故以火佐攻者明
'gu'yong'bing'zhi'fa 故用兵之法
'gu'yu'qi'tu 故迂其途
'gu'yue'ming'zhu'lv'zhi 故曰明主虑之
'gu'yue'sheng'ke'wei'ye 故曰胜可为也
'gu'yue'sheng'ke'zhi 故曰胜可知
'gu'yue'zhi'bi'zhi'ji 故曰知彼知己
'gu'yue'zhi'ji'zhi'bi 故曰知己知彼
'gu'zhan'dao'bi'sheng 故战道必胜
'gu'zhi'bing'zhe 故知兵者
'gu'zhi'bing'zhi'jiang 故知兵之将
'gu'zhi'jiang'wu'shi'yu'di 故智将务食于敌
'gu'zhi'shan'yong'bing'zhe 古之善用兵者
'gu'zhi'sheng'you'wu 故知胜有五
'gu'zhi'suo'wei'shan 古之所谓善
'gu'zhi'zhan'zhi'di 故知战之地
'gua'xing 挂形
'gua'zhe 寡者
'guai'qi'suo'zhi'ye 乖其所之也
'guan'men'zhuo'zei 关门捉贼
'guan'men'zhuo'zei'xiao'di'kun'zhi 关门捉贼小敌困之
'guang'xia'si'sheng'ye'jiang'zhe 广狭死生也将者
'gui'dao'ye 诡道也
'gui'jian'bu'xiang'jiu 贵贱不相救
'gui'mai'ze'bai'xing'cai'jie 贵卖则百姓财竭
'gui'shi'wu 归师勿
'gui'yang'er'jian'yin 贵阳而贱阴
'guo'er'fei'jiu'ye 国而非久也
'guo'jia'an'wei'zhi'zhu'ye 国家安危之主也
'guo'ze'cong 过则从
'guo'zhi 国之
'guo'zhi'bao'ye 国之宝也
'guo'zhi'da'shi 国之大事
'guo'zhi'fu'ye 国之辅也
'hai'zhi'ye 害之也
'he'jun'ju'he 合军聚合
'he'jun'ju'zhong 合军聚众
'he'yu'li'er 合于利而
'he'yu'li'er'dong 合于利而动
'hong'jian'yu'lu 鸿渐于陆
'hou'bu'neng'jiu'qian 后不能救前
'hou'chu'zhan'di 后处战地
'hou'er'bu'neng'shi 厚而不能使
'hou'ren'fa 后人发
'hou'zhi'er'zhi'dong'jing'zhi 候之而知动静之
'huan'yu'jun'zhe'san 患于军者三
'huang'di'zhi'suo'yi'sheng'si'di'ye 黄帝之所以胜四帝也
'hui'ren'zhi 毁人之
'hun'hun'dun'dun 浑浑沌沌
'hun'shui'mo'yu 混水摸鱼
'hun'zhan'ji 混战计
'huo'fa'shang'feng 火发上风
'huo'gong'di'shi'er 火攻第十二
'huo'gong'pian 火攻篇
'huo'ke'fa'yu'wai 火可发于外
'huo'qie'yi 惑且疑
'huo'ye 货也
'ji'bi'yi'zhen'ye 箕壁翼轸也
'ji'gua'zhe 击寡者
'ji'jia'ao'tou 忌加艹头
'ji'li 积力
'ji'li'yi'ting 计利以听
'ji'meng'ye 击蒙也
'ji'qi'duo'gui 击其惰归
'ji'qi'huo'li 极其火力
'ji'qi'shou'ze'wei'zhi 击其首则尾至
'ji'qi'wei'ze'shou'zhi 击其尾则首至
'ji'qi'zhong'ze'shou'wei'ju'zhi 击其中则首尾俱至
'ji'shui'zhi'ji 激水之疾
'ji'xian'ai'yuan'jin 计险隘远近
'ji'ye'ji'er'xian'yin'zhe 饥也汲而先饮者
'ji'zhi'si 己之私
'jia'chi'bu'dian 假痴不癫
'jia'dao'dai'guo 假道代虢
'jia'dao'fa'guo 假道伐虢
'jia'zhen'zhen'jia 假真真假
'jia'zhi'yi'bian 假之以便
'jia'zhou'shi'gong 甲胄矢弓
'jian'li'er'bu'jin'zhe 见利而不进者
'jian'mo'sui'di 践墨随敌
'jian'ri'yue'bu'wei'ming'mu 见日月不为明目
'jian'sheng'bu'guo'zhong'ren'zhi'suo'zhi 见胜不过众人之所知
'jian'yi'de'xing 间以得行
'jian'zhi'jin'ye 渐之进也
'jiang'bu'ke'yi'yun'er'gong'zhan 将不可以愠而攻战
'jiang'bu'sheng'qi'fen'er'yi'fu'zhi 将不胜其忿而蚁附之
'jiang'bu'tong'jiu'bian'zhi'li 将不通九变之利
'jiang'bu'zhi'qi'neng 将不知其能
'jiang'bu'zhong'ye'jing'qi 将不重也旌旗
'jiang'duo'bing'zhong 将多兵众
'jiang'jun'ke'duo'xin 将军可夺心
'jiang'jun'zhi'shi 将军之事
'jiang'mo'bu'wen 将莫不闻
'jiang'neng'er'jun'bu'yu'zhe'sheng 将能而君不御者胜
'jiang'ruo'bing'tui'qi'shi'zi'wei 将弱兵颓其势自萎
'jiang'shou'ming'yu'jun 将受命于君
'jiang'shu'you'neng 将孰有能
'jiang'ting'wu'ji 将听吾计
'jiang'zhi'guo'ye 将之过也
'jiang'zhi'zhe'fa'qi'qing 将智者伐其情
'jiang'zhi'zhi'ren 将之至任
'jiao'dao'bu'ming 教道不明
'jiao'di'wu'jiang'gu'qi'jie 交地吾将固其结
'jiao'di'wu'jiang'jin'qi'shou 交地吾将谨其守
'jiao'he'er'she 交和而舍
'jiao'qi'zhi'cai 胶漆之材
'jiao'zhi'er'zhi 角之而知
'jie'bu'neng'yong'zhe'er'yong'zhi 借不能用者而用之
'jie'dao'sha'ren 借刀杀人
'jie'ju'bu'shi 借局布势
'jie'ru'fa'ji 节如发机
'jie'shi'huan'hun 借尸还魂
'jie'ye 戒也
'jie'ye 节也
'jin'chan'tuo'qiao 金蝉脱壳
'jin'er'bu'ke'yu'zhe 进而不可御者
'jin'er'shi'zhi'yuan 近而示之远
'jin'er'wei'zhi'jin 进而谓之进
'jin'shi'zhe'gui'mai 近师者贵卖
'jin'sui'wu'po 紧随勿迫
'jin'xiang'qu'yi 禁祥去疑
'jin'yang'er'wu'lao 谨养而勿劳
'jin'ye'ci'qiang'er'jin'qu'zhe 进也辞强而进驱者
'jin'zhe'shu'li'hu 近者数里乎
'jin'zhe'xian 劲者先
'jing'bu'lu'ji 静不露机
'jing'yi'you 静以幽
'jing'yi'you'zhi 警以诱之
'jiong'ye'shu'fa'zhe 窘也数罚者
'jiu'bao'shi'ze'guo'yong'bu'zu 久暴师则国用不足
'jiu'bian'di'ba 九变第八
'jiu'bian'pian 九变篇
'jiu'di'di'shi'yi 九地第十一
'jiu'di'pian 九地篇
'jiu'di'zhi'bian 九地之变
'jiu'er'bu'he 久而不合
'jiu'shi'qu'li 就势取利
'ju'er'bu'qiong 举而不穷
'ju'jun'er'zheng'li'ze'bu'ji 举军而争利则不及
'ju'qi'xie 具器械
'ju'san'jun'zhi'zhong 聚三军之众
'juan'ye'sha'ma'rou'shi'zhe 倦也杀马肉食者
'jue'chi'ze 绝斥泽
'jue'di'wu'liu 绝地无留
'jue'di'ye'si'che'zhe 绝地也四彻者
'jue'shan'yi'gu 绝山依谷
'jue'shui'bi'yuan'shui 绝水必远水
'jun'ming'you'suo 君命有所
'jun'pang'you'xian'zu'huang'jing'jian'jia 军旁有险阻潢井蒹葭
'jun'wu'bai'ji 军无百疾
'jun'wu'liang'ye 军无粮也
'jun'xing'di'si 军形第四
'jun'xing'pian 军形篇
'jun'you'suo'bu'ji 军有所不击
'jun'zheng'di'qi 军争第七
'jun'zheng'pian 军争篇
'jun'zheng'wei'li 军争为利
'jun'zheng'yue'yan'bu'xiang'wen 军政曰言不相闻
'jun'zheng'zhi'nan'zhe 军争之难者
'ke'cong'er'cong'zhi 可从而从之
'ke'cong'ze'shang 可从则上
'ke'jue'shui'er'lai 客绝水而来
'ke'sheng'zai'di 可胜在敌
'ke'sheng'zhe 可胜者
'ke'shi'bi'shou'di'er 可使必受敌而
'ke'shi'wu'dou 可使无斗
'ke'ye 渴也
'ke'yi'wang 可以往
'ke'yu'zhi'sheng 可与之生
'ke'yu'zhi'si 可与之死
'kong'cheng'ji 空城计
'kong'ye'jun'rao'zhe 恐也军扰者
'ku'rou'ji 苦肉计
'kuang'ye'fei'kuang'ye 诳也非诳也
'kun'di'zhi'shi 困敌之势
'kun'xia'dui'shang'zhi'xiang 坤下兑上之象
'kun'ye'xian'bao'er'hou 困也先暴而后
'kuo'di'fen'li 廓地分利
'lai'ye'bei'er'guang'zhe 来也卑而广者
'lai'ye'zhong'cao'duo'zhang'zhe 来也众草多障者
'lao'ye'niao'ji'zhe 劳也鸟集者
'lei'qi'qi'li 累其气力
'lei'yi'you'zhi 类以诱之
