'a'er'ge'ni'ya 阿尔戈尼亚
'wen'yi'bao'fa 瘟疫爆发
'xi'luo'di'er 西罗帝尔
'xia'mu'dao 夏暮岛
'xie'er'ge'la 谢尔格拉
'xue'jing'ling 雪精灵
'xue'man'cheng 雪漫城
'xue'xing 血腥
'xue'yue 血月
'ya'er'ti 亚尔提
'ya'long'ren 亚龙人
'ya'te'mo'la 亚特莫拉
'yan'mie 湮灭
'yan'mie'wei'ji 湮灭危机
'yan'mo 湮没
'ye'jing'ling 野精灵
'ye'wang 野王
'yi'de'la 伊德拉
'yi'dian 异典
'yi'si'ge'la'mo 伊斯格拉默
'yi'si'mi'er 伊斯米尔
'yin'jia 因伽
'yong'heng'huang'hun 永恒黄昏
'you'ku'da 尤库达
'you'li'an'nuo'si 尤里安诺斯
'you'ling'zhi'hai 幽灵之海
'yuan'ling 原灵
'yue'ying 月影
'ze'ni'sa'er 泽尼萨尔
'zhan'dou'shen'ta 战斗神塔
'zhan'li'gu'dao 战栗孤岛
'zhan'shi'gong'hui 战士公会
'zhan'you'tuan 战友团
'zheng'yi'zhi'zhan 正义之战
'zhi'xu'mo'shen 秩序魔神
'zhi'xu'qi'shi 秩序骑士
