'ba'mao'ru'yi'qi'hui'zhen'ji'heng 拔茅茹以其彙貞吉亨
'guan'yi'guan'qi'suo'yang'ye 觀頤觀其所養也
'guan'you'yu'cong'zheng'ji'ye 官有渝從正吉也
'guan'you'yu'zhen'ji'chu'men'jiao'you'gong 官有渝貞吉出門交有功
'guan'yu'yi'gong'ren'chong'wu'bu'li 貫魚以宮人寵无不利
'gui'er'wu'wei'gao'er'wu'min 貴而无位高而无民
'gui'shen'hai'ying'er'fu'qian 鬼神害盈而福謙
'guo'she'mie'ding'xiong'wu'jiu 過涉滅頂凶无咎
'guo'she'zhi'xiong'bu'ke'jiu'ye 過涉之凶不可咎也
'hao'dun'jun'zi'ji'xiao'ren'fou 好遯君子吉小人否
'he'tian'zhi'qu'dao'da'xing'ye 何天之衢道大行也
'he'tian'zhi'qu'heng 何天之衢亨
'he'wei'ye 何謂也
'he'xiao'mie'er'cong'bu'ming'ye 何校滅耳聰不明也
'he'xiao'mie'er'xiong 何校滅耳凶
'heng'li'zhen'qu'nv'ji'ye 亨利貞取女吉也
'heng'zhe'jia'zhi'hui'ye 亨者嘉之會也
'hou'bu'sheng'fang 后不省方
'hou'ru'yu'di 後入于地
'hou'ru'yu'di'shi'ze'ye 後入于地失則也
'hou'shui'zhi'hu'fei'kou'hun'gou 後說之弧匪寇婚媾
'hou'tian'er'feng'tian'shi 後天而奉天時
'hu'shi'dan'dan'qi'yu'zhu'zhu'wu'jiu 虎視眈眈其欲逐逐无咎
'huang'li'yuan'ji 黃離元吉
'huang'li'yuan'ji'de'zhong'dao'ye 黃離元吉得中道也
'hui'wang 悔亡
'hui'wang'neng'jiu'zhong'ye 悔亡能久中也
'hui'wang'sang'ma'wu'zhu'zi'fu 悔亡喪馬勿逐自復
'hui'wang'shi'de'wu'xu 悔亡失得勿恤
'huo'fei'qi'chou'wu'jiu 獲匪其醜无咎
'huo'ming'yi'zhi'xin 獲明夷之心
'huo'ti'zai'yuan 或躍在淵
'huo'ti'zai'yuan'jin'wu'jiu'ye 或躍在淵進无咎也
'huo'ti'zai'yuan'wu'jiu 或躍在淵无咎
'huo'ti'zai'yuan'zi'shi'ye 或躍在淵自試也
'huo'zai'tian'shang'da'you 火在天上大有
'huo'zhi'zhe'yi'zhi'ye 或之者疑之也
'ji'yong'bai'mao'rou'zai'xia'ye 藉用白茅柔在下也
'ji'yong'bai'mao'wu'jiu 藉用白茅无咎
'ji'you'zhi'jiu'bu'chang'ye 既憂之咎不長也
'ji'yu'bao'sang 繫于苞桑
'ji'zi'zhi'ming'yi'li'zhen 箕子之明夷利貞
'ji'zi'zhi'zhen'ming'bu'ke'xi'ye 箕子之貞明不可息也
'jia'dun'zhen'ji 嘉遯貞吉
'jia'dun'zhen'ji'yi'zheng'zhi'ye 嘉遯貞吉以正志也
'jia'hui'zu'yi'he'li 嘉會足以合禮
'jia'ren'he'he'hui'li'ji 家人嗃嗃悔厲吉
'jia'ren'he'he'wei'shi'ye 家人嗃嗃未失也
'jia'ren'li'nv'zhen 家人利女貞
'jia'ren'nv'zheng'wei'hu'na 家人女正位乎內
'jia'ren'you'yan'jun'yan 家人有嚴君焉
'jian'bu'ke'sheng'ye 險不可升也
'jian'de'pi'nan'bu'ke'rong'yi'lu 儉德辟難不可榮以祿
'jian'e'ren'wu'jiu 見惡人无咎
'jian'e'ren'yi'pi'jiu'ye 見惡人以辟咎也
'jian'jian'er'neng'zhi'zhi'yi'zai 見險而能止知矣哉
'jian'li'xi'nan'bu'li'dong'bei 蹇利西南不利東北
'jian'li'xi'nan'wang'de'zhong'ye 蹇利西南往得中也
'jian'long'zai'tian 見龍在田
'jian'long'zai'tian'de'shi'pu'ye 見龍在田德施普也
'jian'long'zai'tian'li'jian'da'ren 見龍在田利見大人
'jian'long'zai'tian'shi'she'ye 見龍在田時舍也
'jian'nan'ye'jian'zai'qian'ye 蹇難也險在前也
'jian'yu'ye'qi'niu'che 見輿曳其牛掣
'jian'yu'ye'wei'bu'dang'ye 見輿曳位不當也
'jian'ze'ji'jiu'bu'chang'ye 艱則吉咎不長也
'jian'zhi'shi'yong'da'yi'zai 蹇之時用大矣哉
'jian'zhi'shi'yong'da'yi'zai 險之時用大矣哉
'jiao'fu'wu'jiu'zhi'xing'ye 交孚无咎志行也
'jiao'si'wu'qiong'rong 教思无窮容
'jie'yu'shi'bu'zhong'ri'zhen'ji 介于石不終日貞吉
'jin'jin'ye 晉進也
'jin'kang'hou'yong'xi'ma'fan'shu 晉康侯用錫馬蕃庶
'jin'qi'jiao'wei'yong'fa'yi 晉其角維用伐邑
'jin'ru'chou'ru'zhen'ji 晉如愁如貞吉
'jin'ru'cui'ru'du'xing'zheng'ye 晉如摧如獨行正也
'jin'ru'cui'ru'zhen'ji'wang'fu 晉如摧如貞吉罔孚
'jin'ru'shi'shu'zhen'li 晉如鼫鼠貞厲
'jin'tui'wu'geng'fei'li'qun'ye 進退无恆非離羣也
'jing'guan 經綸
'jiu'er 九二
'jiu'er'bu'yi'ye 久而不已也
'jiu'er'jian'long'zai'tian'li'jian'da'ren 九二見龍在田利見大人
'jiu'er'yue 九二曰
'jiu'fei'qi'wei'an'de'qin'ye 久非其位安得禽也
'jiu'san 九三
'jiu'san'jun'zi'zhong'ri'qian'qian 九三君子終日乾乾
'jiu'san'yue 九三曰
'jiu'shi'zhen'ji'yi'zhong'zheng'ye 酒食貞吉以中正也
'jiu'si 九四
'jiu'si'huo'ti'zai'yuan'wu'jiu 九四或躍在淵无咎
'jiu'si'yue 九四曰
'jiu'wu 九五
'jiu'wu'fei'long'zai'tian'li'jian'da'ren 九五飛龍在天利見大人
'jiu'wu'yue 九五曰
'ju'shang'wei'er'bu'jiao 居上位而不驕
'ju'xi'zhi'nai'cong'wei'zhi 拘係之乃從維之
'ju'xi'zhi'shang'qiong'ye 拘係之上窮也
'ju'xiao'mie'zhi'bu'xing'ye 屨校滅趾不行也
'ju'xiao'mie'zhi'wu'jiu 屨校滅趾无咎
'ju'zhen'zhi'ji'shun'yi'cong'shang'ye 居貞之吉順以從上也
'jue'fu'jiao'ru'wei'ru'ji 厥孚交如威如吉
'jue'fu'jiao'ru'xin'yi'bo'zhi'ye 厥孚交如信以發志也
'jue'zong'shi'fu'wang'he'jiu 厥宗噬膚往何咎
'jue'zong'shi'fu'wang'you'qing'ye 厥宗噬膚往有慶也
'jun'de'ye 君德也
'jun'geng'zhen'xiong'wu'you'li 浚恆貞凶无攸利
'jun'geng'zhi'xiong'shi'qiu'shen'ye 浚恆之凶始求深也
'jun'zi 君子
'jun'zi'de'yu 君子得輿
'jun'zi'de'yu'min'suo'zai'ye 君子得輿民所載也
'jun'zi'fu'yong'ye 君子弗用也
'jun'zi'hao'dun'xiao'ren'fou'ye 君子好遯小人否也
'jun'zi'jin'de'xiu'ye 君子進德脩業
'jun'zi'jin'de'xiu'ye'zhong'xin 君子進德脩業忠信
'jun'zi'shang'xiao'xi'ying'xu'tian'xing'ye 君子尚消息盈虛天行也
'jun'zi'ti'ren'zu'yi'chang'ren 君子體仁足以長人
'jun'zi'xing'ci'si'de'zhe 君子行此四德者
'jun'zi'yi 君子以
'jun'zi'yi'chang'de'xing'xi'jiao'shi 君子以常德行習教事
'jun'zi'yi'cheng'de'wei'xing 君子以成德爲行
'jun'zi'yi'lei'zu'bian'wu 君子以類族辨物
'jun'zi'yi'li'bu'yi'fang 君子以立不易方
'jun'zi'yi'li'zhong 君子以莅衆
'jun'zi'yi'ming'shu'zheng'wu'gan'zhe'yu 君子以明庶政无敢折獄
'jun'zi'yi'tong'er'yi 君子以同而異
'jun'zi'yi'xiang'hui'ru'yan'xi 君子以嚮晦入宴息
'jun'zi'yi'xu'shou'ren 君子以虛受人
'jun'zi'yu'xing'san'ri'bu'shi 君子于行三日不食
'jun'zi'yu'xing'yi'bu'shi'ye 君子于行義不食也
'jun'zi'zhi'zhong'ye 君子之終也
'jun'zi'zhong'ri'qian'qian'xi'ti'ruo'li 君子終日乾乾夕惕若厲
'kan'bu'ying'zhi'ji'ping'wu'jiu 坎不盈祗既平无咎
'kan'bu'ying'zhong'wei'da'ye 坎不盈中未大也
'kan'you'jian'qiu'xiao'de 坎有險求小得
'kang'hou'yong'xi'ma'fan'shu 康侯用錫馬蕃庶
'kang'long'you'hui 亢龍有悔
'kang'long'you'hui'qiong'zhi'zai'ye 亢龍有悔窮之災也
'kang'long'you'hui'ying'bu'ke'jiu'ye 亢龍有悔盈不可久也
'kang'zhi'wei'yan'ye 亢之爲言也
'ke'yong'xing'shi'zheng'yi'guo'ye 可用行師征邑國也
'ke'zhen'wu'jiu 可貞无咎
'ke'zhen'wu'jiu'gu'you'zhi'ye 可貞无咎固有之也
'ku'yang'sheng'hua'he'ke'jiu'ye 枯楊生華何可久也
'ku'yang'sheng'hua'lao'fu'de'qi'shi'fu 枯楊生華老婦得其士夫
'ku'yang'sheng'ti 枯楊生稊
'kuan'yi'ju'zhi'ren'yi'xing'zhi 寬以居之仁以行之
'kuang'yu'gui'shen'hu 況於鬼神乎
'kui'gu'jian'shi'fu'tu 睽孤見豕負塗
'kui'gu'yu'yuan'fu'jiao'fu'li'wu'jiu 睽孤遇元夫交孚厲无咎
'kui'guan'li'nv'zhen 闚觀利女貞
'kui'guan'nv'zhen'yi'ke'chou'ye 闚觀女貞亦可醜也
'kui'huo'dong'er'shang'shi'dong'er'xia 睽火動而上澤動而下
'kui'xiao'shi'ji 睽小事吉
'kui'zhi'shi'yong'da'yi'zai 睽之時用大矣哉
'kun'er'fan'ze'ye 困而反則也
'kun'meng'zhi'lin'du'yuan'shi'ye 困蒙之吝獨遠實也
'lai'zhi'kan'kan'jian'qie'zhen 來之坎坎險且枕
'lai'zhi'kan'kan'zhong'wu'gong'ye 來之坎坎終无功也
'lao'fu'de'qi'nv'qi'wu'bu'li 老夫得其女妻无不利
'lao'fu'nv'qi'guo'yi'xiang'yu'ye 老夫女妻過以相與也
'lao'fu'shi'fu'yi'ke'chou'ye 老婦士夫亦可醜也
'lao'qian'jun'zi'wan'min'fu'ye 勞謙君子萬民服也
'lao'qian'jun'zi'you'zhong'ji 勞謙君子有終吉
'le'ze'xing'zhi'you'ze'wei'zhi 樂則行之憂則違之
'lei'chu'di'fen'yu 雷出地奮豫
'lei'dian'he'er'zhang 雷電合而章
'lei'dian'shi'ke 雷電噬嗑
'lei'feng'geng 雷風恆
'lei'yu'zhi'dong'man'ying 雷雨之動滿盈
'lei'zai'di'zhong'fu 雷在地中復
'lei'zai'tian'shang'da'zhuang 雷在天上大壯
'li'ji'wu'jiu'zhen'lin 厲吉无咎貞吝
'li'jian'da'ren 利見大人
'li'jian'da'ren'jun'de'ye 利見大人君德也
'li'jian'da'ren'wang'you'gong'ye 利見大人往有功也
'li'jian'da'ren'yi'cong'gui'ye 利見大人以從貴也
'li'jian'da'ren'zhen'ji 利見大人貞吉
'li'jian'hou 利建侯
'li'jian'zhen'hui'qi'ming'ye 利艱貞晦其明也
'li'jian'zhen'ji'wei'guang'ye 利艱貞吉未光也
'li'jun'zi'zhen 利君子貞
'li'li'ye 離麗也
'li'li'zhen'heng'chu'pin'niu'ji 離利貞亨畜牝牛吉
'li'she'da'chuan 利涉大川
'li'she'da'chuan'wang'you'shi'ye 利涉大川往有事也
'li'she'da'chuan'ying'hu'tian'ye 利涉大川應乎天也
'li'wu'zu'yi'he'yi 利物足以和義
'li'yong'qin'fa'wu'bu'li 利用侵伐无不利
'li'yong'qin'fa'zheng'bu'fu'ye 利用侵伐征不服也
'li'yong'xing'ren'yi'zheng'fa'ye 利用刑人以正法也
'li'yong'yu'kou'shang'xia'shun'ye 利用禦寇上下順也
'li'you'you'wang 利有攸往
'li'you'you'wang'gang'chang'ye 利有攸往剛長也
'li'you'you'wang'nai'heng 利有攸往乃亨
'li'you'you'wang'shang'he'zhi'ye 利有攸往上合志也
'li'zhe'yi'zhi'he'ye 利者義之和也
'li'zhen'jiu'yu'qi'dao'ye 利貞久於其道也
'li'zhen'zhe'xing'qing'ye 利貞者性情也
'li'zhong'ji 厲終吉
'liang'ma'zhu'li'jian'zhen 良馬逐利艱貞
'lin'gang'jin'er'chang 臨剛浸而長
'lin'yuan'heng'li'zhen 臨元亨利貞
'liu'er 六二
'liu'er'zheng'xiong 六二征凶
'liu'san 六三
'liu'si 六四
'liu'si'dang'wei'yi'ye 六四當位疑也
'liu'si'yuan'ji'you'xi'ye 六四元吉有喜也
'liu'wu 六五
'liu'wu'zhi'ji'li'wang'gong'ye 六五之吉離王公也
'liu'wu'zhi'ji'you'qing'ye 六五之吉有慶也
'liu'wu'zhi'ji'you'xi'ye 六五之吉有喜也
