'an'wu'zhi 暗物质
'xin'yue'zhi'jing 新月之镜
'xing'zhi'shou'hu 星之守护
'xu'kong'huan'yu 虚空幻域
'xu'ruo'ling'yu 虚弱领域
'yan'die'zhi'wu 炎蝶之舞
'yan'shi'zhi'ci 岩石之刺
'yan'shi'zhi'yun 岩石之云
'yin'se'jing'ji 银色荆棘
'yong'jie'lun'hui 永劫轮回
'yuan'gu'ju'yan 远古巨岩
'yun'shi'chong'ji 陨石冲击
'yun'shi'zhui'luo 陨石坠落
'zai'e'lian'dao 灾厄镰刀
'zai'e'zhi'zhao 灾厄之爪
'zai'nan'chong'ji'bo 灾难冲击波
'zhan'yi'zai'qi 战意再起
'zhen'fen'zhi'ji 振奋之激
'zhi'yu'shu 治愈术
'zhi'yu'shu'fu 治愈术复
'zhong'fu'su'shu 中复苏术
'zhong'hui'fu'shu 中回复术
'zhong'hui'fu'shu'fu 中回复术复
'zhong'yan'san'chong'zou 终焉三重奏
'zhuo're'zhi'bo 灼热之波
'zuan'shi'xing'chen 钻石星辰
