'bai'sui'song 百岁松
'mu'rong'zi'yuan 慕容紫苑
'nan'yue'zhou 南越洲
'pi'pa'jun 琵琶郡
'ping'xi'zhen 平溪镇
'ping'yin'jian 屏音涧
'po'gu 破谷
'qi'bao'liu'li 七宝琉璃
'qi'bao'liu'li'zhu 七宝琉璃珠
'qian'kun'tan 乾坤坛
'qian'lian'li 千潋里
'qin'zheng'dian 勤政殿
'qing'cang'feng 磬苍峰
'qing'cheng'shan'zhuang 青城山庄
'qing'hui'ge 青徽阁
'qing'hui'gong 清徽宫
'qing'shi'dou 青石都
'qing'tian'shi'tai 磬天石台
'qing'xiao'yu'nv 青霄玉女
'qing'yao'shan 青要山
'qing'ye'gong 倾夜宫
'qing'yu 情狱
'ru'yi 汝夷
'ru'yi'guo 汝夷国
'ruo'shui'bi'an 弱水彼岸
'sang'yu'cun 桑榆村
'shan'hu'wan 珊瑚湾
'shang'gu'zhi'di 上古之地
'shang'yang 殇炀
'she'xue'chu'chen 涉雪初尘
'shi'er'chong'tian 十二重天
'shi'que'zhi'cheng 失却之城
'shou'wan'shen'nv 守湾神女
'shuang'feng'dai'yan 霜封岱岩
'shui'lang'gong 水琅宫
'shui'lang'zhi'yuan 水琅之渊
'shui'tian'zhi'ji 水天之极
'shui'wan'gong'yu 水湾公寓
'shui'xin'shen'jing 水心神镜
'si'yuan'ming'shu 四怨冥姝
'tai'gu'zhi'di 太古之地
'tai'ji'dian 太极殿
'tai'yi'shan 太乙山
'tian'sheng 天盛
'tian'sheng'guo'ji 天盛国际
'ting'xin'shi 听心石
'tong'que'jie 铜雀街
'wa'huang'mu 娲皇墓
'wa'huang'mu 娲皇木
'wan'gu'tai 万骨台
'wan'jie'ya 万劫崖
'wan'ling'zhan 万灵栈
'wan'yao'yu 万妖域
'wang'chuan 忘川
'wang'qing 妄情
'wang'qing'jie 妄情界
'wang'qing'mo'gong 妄情魔宫
'wang'yu 妄狱
'wu'chen 无尘
'wu'chen'jie 无尘界
'wu'chen'tian'lao 无尘天牢
'wu'man 巫蛮
'wu'ming'yuan 无名渊
'wu'xia'dong 乌霞洞
'wu'zhong'sang 五重桑
'xi'ci 夕慈
'xi'ci'gong 夕慈宫
'xi'fang'mo'du 西方魔都
'xi'ling 西陵
'xi'ling'wang'gong 西陵王宫
'xi'shui'qiao 西水桥
'xi'yi'zhou 西夷洲
'xi'zhao'jie 夕照街
'xian'juan'ge 仙巻阁
'xin'cheng 心城
'xin'cheng'chuan'mei 心城传媒
'xin'cheng'qu 心城区
'xin'chuan 心传
'xin'yu 心狱
'xiu'lou 绣楼
'xuan'bing'di 玄冰邸
'xuan'ling'ku 玄灵窟
'xuan'nv'miao 玄女庙
'xuan'tie'hei'lian 玄铁黑莲
'xuan'yuan'di'zun'dian 轩辕帝尊殿
'xuan'yuan'tian'di 轩辕天帝
'xue'yan'gu 雪嫣谷
'xue'yi 雪忆
'xue'yi'xian'yuan 雪忆仙缘
'xue'yi'xin'cheng 雪忆心城
'xun'bu 巽部
'yan'han'qiu 焰寒丘
'yan'ku'shan 盐枯山
'yan'yi'qu 演绎区
'yan'yuan'gong'hui 演员工会
'yao'liu'xi 邀柳溪
'yao'xiang'jing 遥香境
'yi'du 忆度
'yi'du'yu'le 忆度娱乐
'yi'xia'gong 懿霞宫
'yi'xuan'ting 意暄亭
'yin'yang'lin 阴阳林
'yin'yi'bian'jie 殷夷边界
'yin'yue 隐月
'yin'yue'jiao 隐月教
'yong'ning'gong 永宁宫
'you'feng'gu 幽风谷
'you'hai 幽海
'you'ming'jiu'men 幽冥九门
'you'zao'chi 幽藻池
'yu'hu'yan 玉瑚岩
'yu'huang'dian 玉凰殿
'yu'jiao'yuan 玉蛟渊
'yu'shan'gu'mu 虞山古墓
'yu'shan'zhen 虞山镇
'yu'xu'guan 玉虚观
'yu'yan'guan 狱焰关
'yun'fan'zhen 云藩镇
'yun'lai'ke'zhan 云来客栈
'yun'xi'bi'dao 云惜碧岛
'zhao'wang'fu 昭王府
'zhen'bu 震部
'zhong'yuan'yu 中原域
'zhu'chang'yan'yi 主场演绎
'zhu'jue'dong 诛绝洞
'zhu'xia'zhen 朱霞镇
'zhu'yan'mo'fu 朱颜莫负
'zi'qiong'hua'dou 紫琼花都
'zi'teng'lin 紫藤林
'zi'xian'hu 自闲湖
'zi'yan'gong 紫烟宫
