'ai'jiu 艾灸
'bi'nei'kui'jing'xia'bi'zhong'ge'nian'mo'hua'hen'shu 鼻内窥镜下鼻中隔粘膜划痕术
'bi'nei'kui'jing'xia'bi'zhong'ge'nian'mo'xia'qie'chu'shu 鼻内窥镜下鼻中隔粘膜下切除术
'bi'nei'kui'jing'xia'dian'ning'zhi'xue'shu 鼻内窥镜下电凝止血术
'bi'nei'kui'jing'xia'die'dou'bing'sun'qie'chu'shu 鼻内窥镜下蝶窦病损切除术
'bi'nei'kui'jing'xia'die'dou'kai'chuang'shu 鼻内窥镜下蝶窦开窗术
'bi'nei'kui'jing'xia'duo'ge'bi'dou'kai'chuang'shu 鼻内窥镜下多个鼻窦开窗术
'bi'nei'kui'jing'xia'e'dou'bing'sun'qie'chu'shu 鼻内窥镜下额窦病损切除术
'bi'nei'kui'jing'xia'e'dou'kai'chuang'shu 鼻内窥镜下额窦开窗术
'bi'nei'kui'jing'xia'gou'tu'qie'chu'shu 鼻内窥镜下钩突切除术
'bi'nei'kui'jing'xia'quan'zu'bi'dou'kai'chuang'shu 鼻内窥镜下全组鼻窦开窗术
'bi'nei'kui'jing'xia'shai'dou'bing'sun'qie'chu'shu 鼻内窥镜下筛窦病损切除术
'bi'nei'kui'jing'xia'shai'dou'kai'chuang'shu 鼻内窥镜下筛窦开窗术
'bi'nei'kui'jing'xia'shang'he'dou'bing'sun'qie'chu'shu 鼻内窥镜下上颌窦病损切除术
'bi'nei'kui'jing'xia'shang'he'dou'gen'zhi'shu 鼻内窥镜下上颌窦根治术
'bi'nei'kui'jing'xia'shang'he'dou'kai'chuang'shu 鼻内窥镜下上颌窦开窗术
'bi'nei'kui'jing'xia'shang'he'gu'bu'fen'qie'chu'shu 鼻内窥镜下上颌骨部分切除术
'bi'nian'mo'qie'chu'zhi'xue'shu 鼻粘膜切除止血术
'bi'pi'fu'bing'sun'qie'chu'shu 鼻皮肤病损切除术
'bi'qian'ting'bing'sun'qie'chu'shu 鼻前庭病损切除术
'bi'qiang'kuo'zhang'shu 鼻腔扩张术
'bi'qiang'nei'yi'wu'qu'chu 鼻腔内异物去除
'bi'qiang'zhan'lian'song'jie'shu 鼻腔粘连松解术
'bi'qie'kai'tan'cha'shu 鼻切开探查术
'bi'qie'kai'yi'wu'qu'chu'shu 鼻切开异物取出术
'bi'qie'kai'yin'liu'shu 鼻切开引流术
'bi'qing'chuang'shu 鼻清创术
'bi'ruan'gu'qie'kai'shu 鼻软骨切开术
'bi'si 鼻饲
'bi'si'gu'qie'chu'shu 鼻死骨切除术
'bi'tian'se'wu'qu'chu 鼻填塞物去除
'bi'tian'se'wu'zhi'huan 鼻填塞物置换
'bi'wei'guan'chong'xi 鼻胃管冲洗
'bi'wei'guan'zhi'huan 鼻胃管置换
'bi'xi'bao'mi'zou'shen'jing'qie'duan'shu 壁细胞迷走神经切断术
'bi'xiao'zhu'cheng'xing'shu 鼻小柱成形术
'bi'yan'bi'suo'jiao'zheng'shu 鼻咽闭锁矫正术
'bi'yan'bing'sun'qie'chu'shu 鼻咽病损切除术
'bi'yan'huo'zu'zhi'jian'cha 鼻咽活组织检查
'bi'yan'kuo'zhang'shu 鼻咽扩张术
'bi'yan'lou'guan'qie'chu'shu 鼻咽瘘管切除术
'bi'yan'zao'ying 鼻咽造影
'bi'yi'cheng'xing'shu 鼻翼成形术
'bi'zhi'pi'shu 鼻植皮术
'bi'zhi'ru'wu'qu'chu'shu 鼻植入物取出术
'bi'zhong'ge'bing'sun'ji'guang'shao'zhuo'shu 鼻中隔病损激光烧灼术
'bi'zhong'ge'cheng'xing'shu 鼻中隔成形术
'bi'zhong'ge'chuan'kong'xiu'bu'shu 鼻中隔穿孔修补术
'bi'zhong'ge'nian'mo'xia'qie'chu'shu 鼻中隔粘膜下切除术
'bi'zhong'ge'ruan'gu'yi'zhi'shu 鼻中隔软骨移植术
'bian'se'jian'cha 辨色检查
'bian'tai'fan'ying'mian'yi'zhi'liao 变态反应免疫治疗
'bian'tao'can'ti'qie'chu'shu 扁桃残体切除术
'bian'tao'ti'ban'xian'yang'ti'qie'chu'shu 扁桃体伴腺样体切除术
'bian'tao'ti'bing'sun'qie'chu'shu 扁桃体病损切除术
'bian'tao'ti'bing'sun'she'pin'xiao'rong'shu 扁桃体病损射频消融术
'bian'tao'ti'huo'zu'zhi'jian'cha 扁桃体活组织检查
'bian'tao'ti'ji'guang'qie'chu'shu 扁桃体激光切除术
'bian'tao'ti'nong'zhong'yin'liu'shu 扁桃体脓肿引流术
'bian'tao'ti'qie'chu'shu 扁桃体切除术
'bian'tao'ti'qie'chu'shu'hou'zhi'xue 扁桃体切除术后止血
'bian'tao'ti'zhou'wei'nong'zhong'yin'liu'shu 扁桃体周围脓肿引流术
'bian'xing'shou'shu 变性手术
'biao'mian'jiao'mo'jing'pian'shu 表面角膜镜片术
'biao'qian'fang'she'zhi'liao 表浅放射治疗
'bin'gu'bing'sun'qie'chu'shu 髌骨病损切除术
'bin'gu'bu'fen'qie'chu'shu 髌骨部分切除术
'bin'gu'chong'jian'shu 髌骨重建术
'bin'gu'gang'ban'nei'gu'ding'shu 髌骨钢板内固定术
'bin'gu'gang'zhen'nei'gu'ding'shu 髌骨钢针内固定术
'bin'gu'gu'zhe'bi'he'fu'wei'shu 髌骨骨折闭合复位术
'bin'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 髌骨骨折切开复位螺钉内固定术
'bin'gu'gu'zhe'qie'kai'fu'wei'shu 髌骨骨折切开复位术
'bin'gu'kai'chuang'yin'liu'shu 髌骨开窗引流术
'bin'gu'kai'fang'xing'gu'zhe'qing'chuang'shu 髌骨开放性骨折清创术
'bin'gu'luo'ding'nei'gu'ding'shu 髌骨螺钉内固定术
'bin'gu'nei'gu'ding'wu'qu'chu'shu 髌骨内固定物取出术
'bin'gu'qian'yin 髌骨牵引
'bin'gu'qie'chu'shu 髌骨切除术
'bin'gu'si'gu'qu'chu'shu 髌骨死骨去除术
'bin'gu'sui'nei'zhen'nei'gu'ding'shu 髌骨髓内针内固定术
'bin'gu'tuo'wei'bi'he'fu'wei'shu 髌骨脱位闭合复位术
'bin'gu'wai'gu'ding'jia'qu'chu'shu 髌骨外固定架去除术
'bin'gu'wai'gu'ding'shu 髌骨外固定术
'bin'gu'wen'ding'shu 髌骨稳定术
'bin'gu'zhi'gu'shu 髌骨植骨术
'bin'ren'dai'chong'jian'shu 髌韧带重建术
'bin'ren'dai'feng'he'shu 髌韧带缝合术
'bing'du'xing'nao'yan'yi'miao'yu'fang'xing'jie'zhong 病毒性脑炎疫苗预防性接种
'bing'xi'suan'shui'ni'gu'kong'xi'tian'chong 丙烯酸水泥骨空隙填充
'bing'zhi'jiao'zheng'shu 并指矫正术
'bing'zhi'jiao'zheng'shu 并趾矫正术
'bo'li'ti'chuan'ci'chou'ye'shu 玻璃体穿刺抽液术
'bo'li'ti'qiang'can'liu'jing'ti'pi'zhi'qu'chu'shu 玻璃体腔残留晶体皮质取出术
'bo'li'ti'qiang'gui'you'qu'chu'shu 玻璃体腔硅油取出术
'bo'li'ti'qiang'nei'ti'dai'wu'zhu'she'shu 玻璃体腔内替代物注射术
'bo'li'ti'qiang'qi'ye'jiao'huan'shu 玻璃体腔气液交换术
'bo'li'ti'qiang'tan'cha'shu 玻璃体腔探查术
'bo'li'ti'qiang'tuo'wei'jing'zhuang'ti'qu'chu'shu 玻璃体腔脱位晶状体取出术
'bo'li'ti'qiang'yao'wu'zhu'she'shu 玻璃体腔药物注射术
'bo'li'ti'qiang'yi'wu'qu'chu'shu 玻璃体腔异物取出术
'bo'li'ti'zhen'duan'xing'chou'xi 玻璃体诊断性抽吸
'bo'li'ti'zhu'qi'shu 玻璃体注气术
'bo'li'ti'zi'ti'xue'qing'zhu'ru'shu 玻璃体自体血清注入术
'bo'mo'yin'chan 剥膜引产
'bo'niao'suan'zhu'she 玻尿酸注射
'bu'fen'fei'jing'mai'yi'wei'yin'liu'jiao'zheng'shu 部分肺静脉异位引流矫正术
'bu'fen'tun'wei'qian'yin'shu 部分臀位牵引术
'bu'fen'yan'qie'chu'shu 部分咽切除术
'bu'ru'qi'xi'nai 哺乳期吸奶
'can'duan'pi'fu'xiu'zheng'shu 残端皮肤修整术
'can'jiao'zi'gong'qie'chu'shu 残角子宫切除术
'can'liu'luan'chao'qie'chu'shu 残留卵巢切除术
'can'liu'pi'zhi'qie'chu'shu 残留皮质切除术
'can'liu'shu'luan'guan'luan'chao'qie'chu'shu 残留输卵管卵巢切除术
'can'liu'shu'luan'guan'qie'chu'shu 残留输卵管切除术
'can'wei'qie'chu'shu 残胃切除术
'can'yu'dan'nang'guan'qie'chu'shu 残余胆囊管切除术
'can'yu'dan'nang'qie'chu'shu 残余胆囊切除术
'can'yu'hou'qie'chu'shu 残余喉切除术
'can'yu'jia'zhuang'xian'da'bu'qie'chu'shu 残余甲状腺大部切除术
'can'yu'jia'zhuang'xian'qie'chu'shu 残余甲状腺切除术
'can'yu'shen'qie'chu'shu 残余肾切除术
'can'yu'zi'gong'jing'qie'chu'shu 残余子宫颈切除术
'cang'bai'qiu'qie'kai'shu 苍白球切开术
'cang'bai'qiu'she'pin'hui'sun'shu 苍白球射频毁损术
'cang'mao'nang'zhong'qie'chu'shu 藏毛囊肿切除术
'cang'mao'nang'zhong'qie'kai'shu 藏毛囊肿切开术
'ce'jian'shu'qie'duan'shu 侧腱束切断术
'ce'nao'shi'bing'sun'qie'chu'shu 侧脑室病损切除术
'cha'ru'dao'niao'guan 插入导尿管
'chan'hou'gong'qiang'shou'fa'tan'cha 产后宫腔手法探查
'chan'hou'zi'gong'jing'tan'cha'shu 产后子宫颈探查术
'chan'ke'hui'yin'xue'zhong'qu'chu'shu 产科会阴血肿去除术
'chan'ke'nei'fan'zi'gong'shou'fa'fu'wei 产科内翻子宫手法复位
'chan'ke'nei'fan'zi'gong'shou'shu'jiao'zheng'shu 产科内翻子宫手术矫正术
'chan'ke'wai'yin'xue'zhong'qu'chu'shu 产科外阴血肿去除术
'chan'ke'yin'dao'xue'zhong'qu'chu'shu 产科阴道血肿去除术
'chan'ke'zi'gong'tian'sai 产科子宫填塞
'chan'qian'xuan'zhuan'tai'tou 产钳旋转胎头
'chan'qian'xun'lian 产前训练
'chang'cha'guan'jian'ya 肠插管减压
'chang'lin'ba'gan'xiao'jing'mai'wen'he'shu 肠淋巴干小静脉吻合术
'chang'nei'gao'ying'yang 肠内高营养
'chang'tao'die'fu'wei 肠套迭复位
'chang'wai'zhi'duan'de'qie'chu'shu 肠外置段的切除术
'chang'wen'ren'gong'dong'mian'zhi'liao 常温人工冬眠治疗
'chang'xi'mo'bing'sun'qie'chu'shu 肠系膜病损切除术
'chang'xi'mo'dong'mai'jie'za'shu 肠系膜动脉结扎术
'chang'xi'mo'gu'ding'shu 肠系膜固定术
'chang'xi'mo'huo'zu'zhi'jian'cha 肠系膜活组织检查
'chang'xi'mo'jing'mai'feng'he'shu 肠系膜静脉缝合术
'chang'xi'mo'jing'mai'qiang'jing'mai'fen'liu'shu 肠系膜静脉腔静脉分流术
'chang'xi'mo'jing'mai'xia'qiang'jing'mai'fen'liu'shu 肠系膜静脉下腔静脉分流术
'chang'xi'mo'jing'mai'zao'ying 肠系膜静脉造影
'chang'xi'mo'lin'ba'guan'liu'nang'zhong'qie'chu'shu 肠系膜淋巴管瘤囊肿切除术
'chang'xi'mo'lin'ba'jie'gen'zhi'xing'qie'chu'shu 肠系膜淋巴结根治性切除术
'chang'xi'mo'lin'ba'jie'qie'chu'shu 肠系膜淋巴结切除术
'chang'xi'mo'shang'dong'mai'xue'shuan'qie'chu'shu 肠系膜上动脉血栓切除术
'chang'xi'mo'shang'dong'mai'zao'ying 肠系膜上动脉造影
'chang'xi'mo'shang'dong'mai'zhi'jia'zhi'ru'shu 肠系膜上动脉支架置入术
'chang'xi'mo'shang'jing'mai'xue'shuan'qie'chu'shu 肠系膜上静脉血栓切除术
'chang'xi'mo'xiu'bu'shu 肠系膜修补术
'chang'zao'kou'chong'xi 肠造口冲洗
'chang'zao'kou'kuo'zhang 肠造口扩张
'chang'zao'kou'tuo'chui'shou'fa'fu'wei 肠造口脱垂手法复位
'chang'zao'lou'kou'zhi'jian 肠造瘘口指检
'chang'zhan'lian'song'jie'shu 肠粘连松解术
'chao'sheng're'liao'fa 超声热疗法
'chao'sheng'xin'dong'tu 超声心动图
'chao'sheng'yin'dao'xia'dian'xi'ren'liu 超声引导下电吸人流
'chao'yin'dao'xia'dan'guan'chuan'ci'yin'liu'shu 超引导下胆管穿刺引流术
'chao'yin'dao'xia'dan'nang'chuan'ci'yin'liu'shu 超引导下胆囊穿刺引流术
'chao'yin'dao'xia'gan'bing'sun'she'pin'xiao'rong'shu 超引导下肝病损射频消融术
'chao'yin'dao'xia'gan'chuan'ci'huo'zu'zhi'jian'cha 超引导下肝穿刺活组织检查
'chao'yin'dao'xia'jing'pi'jing'gan'dan'guan'yin'liu'shu 超引导下经皮经肝胆管引流术
'chao'yin'dao'xia'pen'qiang'chuan'ci'shu 超引导下盆腔穿刺术
'chao'yin'dao'xia'qian'lie'xian'chuan'ci 超引导下前列腺穿刺
'chao'yin'dao'xia'shen'bing'sun'she'pin'xiao'rong'shu 超引导下肾病损射频消融术
'chao'yin'dao'xia'shen'chuan'ci'huo'zu'zhi'jian'cha 超引导下肾穿刺活组织检查
'chao'yin'dao'xia'xiong'qiang'chuan'ci'shu 超引导下胸腔穿刺术
'chao'yin'dao'xia'yang'shui'jian'liang 超引导下羊水减量
'chao'yin'dao'xia'zhi'jie'za'shu 超引导下痔结扎术
'cheng'fen'xue'xi'bao'shu'ru 成份血细胞输入
'chi'cao'gu'zhe'bi'he'fu'wei'nei'gu'ding'shu 齿槽骨折闭合复位内固定术
'chi'dong'mai'jie'za'shu 尺动脉结扎术
'chi'dong'mai'wen'he'shu 尺动脉吻合术
'chi'gu'bing'sun'qie'chu'shu 尺骨病损切除术
'chi'gu'bing'sun'qie'chu'shu 耻骨病损切除术
'chi'gu'bu'fen'qie'chu'shu 尺骨部分切除术
'chi'gu'bu'fen'qie'chu'shu 耻骨部分切除术
'chi'gu'cheng'xing'shu 尺骨成形术
'chi'gu'gang'ban'nei'gu'ding'shu 尺骨钢板内固定术
'chi'gu'gang'zhen'nei'gu'ding'shu 尺骨钢针内固定术
'chi'gu'gu'hou'fen'li'bi'he'fu'wei'shu 尺骨骨骺分离闭合复位术
'chi'gu'gu'zhe'bi'he'fu'wei'gang'zhen'nei'gu'ding'shu 尺骨骨折闭合复位钢针内固定术
'chi'gu'gu'zhe'bi'he'fu'wei'luo'ding'nei'gu'ding'shu 尺骨骨折闭合复位螺钉内固定术
'chi'gu'gu'zhe'bi'he'fu'wei'shu 尺骨骨折闭合复位术
'chi'gu'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 尺骨骨折切开复位钢板内固定术
'chi'gu'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 尺骨骨折切开复位钢针内固定术
'chi'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 尺骨骨折切开复位螺钉内固定术
'chi'gu'gu'zhe'qie'kai'fu'wei'shu 尺骨骨折切开复位术
'chi'gu'hou'niao'dao'xuan'diao'shu 耻骨后尿道悬吊术
'chi'gu'hou'pang'guang'qian'qian'lie'xian'qie'chu'shu 耻骨后膀胱前前列腺切除术
'chi'gu'hou'qian'lie'xian'qie'chu'shu 耻骨后前列腺切除术
'chi'gu'hou'tan'cha'shu 耻骨后探查术
'chi'gu'kai'fang'xing'gu'zhe'qing'chuang'shu 尺骨开放性骨折清创术
'chi'gu'luo'ding'nei'gu'ding'shu 尺骨螺钉内固定术
'chi'gu'nei'gu'ding'wu'qu'chu'shu 尺骨内固定物取出术
'chi'gu'qie'chu'shu 尺骨切除术
'chi'gu'qie'kai'zhu'chan 耻骨切开助产
'chi'gu'qu'gu'shu 尺骨取骨术
'chi'gu'ren'gong'gu'zhi'gu'shu 尺骨人工骨植骨术
'chi'gu'shang'jing'pang'guang'qian'lie'xian'qie'chu'shu 耻骨上经膀胱前列腺切除术
'chi'gu'shang'pang'guang'zao'kou'dao'niao'guan'cha'ru'shu 耻骨上膀胱造口导尿管插入术
'chi'gu'shang'xuan'diao'niao'dao'pang'guang'gu'ding'shu 耻骨上悬吊尿道膀胱固定术
'chi'gu'shu'ren'dai'xuan'diao'shu 耻骨疏韧带悬吊术
'chi'gu'si'gu'qu'chu'shu 尺骨死骨去除术
'chi'gu'sui'nei'zhen'nei'gu'ding'shu 尺骨髓内针内固定术
'chi'gu'tou'qie'chu'shu 尺骨头切除术
'chi'gu'wai'gu'ding'jia'qu'chu'shu 尺骨外固定架去除术
'chi'gu'wai'gu'ding'shu 尺骨外固定术
'chi'gu'xie'xing'jie'gu'shu 尺骨楔形截骨术
'chi'gu'yan'chang'shu 尺骨延长术
'chi'gu'zhe'gu'shu 尺骨折骨术
'chi'gu'zhi'chang'ji'bu'fen'qie'duan'shu 耻骨直肠肌部分切断术
'chi'gu'zhi'gu'shu 尺骨植骨术
'chi'qian'ba'ya 齿钳拔牙
'chi'rao'guan'jie'tuo'wei'qie'kai'fu'wei'shu 尺桡关节脱位切开复位术
'chi'shen'jing'feng'he'shu 尺神经缝合术
'chi'shen'jing'song'jie'shu 尺神经松解术
'chi'shen'jing'tan'cha'shu 尺神经探查术
'chi'shen'jing'wen'he'shu 尺神经吻合术
'chi'shen'jing'yan'chi'xiu'bu'shu 尺神经延迟修补术
'chi'shen'jing'yi'wei'shu 尺神经移位术
'chi'shen'jing'yi'zhi'shu 尺神经移值术
'chong'jian'bi'xiu'zheng'shu 重建鼻修正术
'chong'jian'mei'xiu'zheng'shu 重建眉修整术
'chong'zu'gu'xing'tai'xing'cheng'dan'bai'zhi'ru'shu 重组骨形态形成蛋白置入术
'chu'mao'shu 除毛术
'chu'nv'mo'feng'he'shu 处女膜缝合术
'chu'nv'mo'qie'chu'shu 处女膜切除术
'chu'nv'mo'qie'kai'shu 处女膜切开术
'chuan'tou'xing'jiao'mo'yi'zhi'shu 穿透性角膜移植术
'chuan'tou'xing'zi'ti'jiao'mo'yi'zhi'shu 穿透性自体角膜移植术
'chui'ti'bing'sun'qie'chu'shu 垂体病损切除术
'chui'ti'huo'zu'zhi'jian'cha 垂体活组织检查
'chui'ti'qie'chu'shu 垂体切除术
'chui'ti'wo'tan'cha'shu 垂体窝探查术
'chui'zhi'hou'qie'chu'shu 垂直喉切除术
'chui'zhuang'zhi'jiao'zheng'shu 锤状趾矫正术
'chui'zhuang'zhi'xiu'bu'shu 槌状指修补术
'chun'ban'hen'song'jie'shu 唇瘢痕松解术
'chun'bing'sun'guang'fan'qie'chu'shu 唇病损广泛切除术
'chun'bing'sun'ji'guang'shao'zhuo'shu 唇病损激光烧灼术
'chun'bing'sun'qie'chu'shu 唇病损切除术
'chun'cheng'xing'shu 唇成形术
'chun'huo'zu'zhi'jian'cha 唇活组织检查
'chun'jia'gou'yan'shen'shu 唇颊沟延伸术
'chun'lie'shang'feng'he'shu 唇裂伤缝合术
'chun'lie'xiu'bu'shu 唇裂修补术
'chun'lie'zai'xiu'bu'shu 唇裂再修补术
'chun'lou'guan'xiu'bu'shu 唇瘘管修补术
'chun'pi'ban'yi'zhi'shu 唇皮瓣移植术
'chun'quan'hou'zhi'pi'shu 唇全厚植皮术
'chun'xi'dai'qie'duan'shu 唇系带切断术
'chun'xian'zi'ti'yi'zhi'shu 唇腺自体移植术
'chun'zhong'hou'zhi'pi'shu 唇中厚植皮术
'cui'chan'su'yin'chan 催产素引产
'cui'mian'liao'fa 催眠疗法
'da'chang'bing'sun'po'huai'shu 大肠病损破坏术
'da'chang'bing'sun'qie'chu'shu 大肠病损切除术
'da'chang'bu'fen'qie'chu'yong'yu'jian'zhi'shu 大肠部分切除用于间置术
'da'chang'duo'jie'duan'qie'chu'shu 大肠多节段切除术
'da'chang'ju'bu'guan'zhu 大肠局部灌注
'da'chang'lou'xiu'bu'shu 大肠瘘修补术
'da'chang'nei'yi'wu'qu'chu 大肠内异物去除
'da'chang'niu'zhuan'fu'wei'shu 大肠扭转复位术
'da'chang'qie'kai'tan'cha'shu 大肠切开探查术
'da'chang'qie'kai'yi'wu'qu'chu'shu 大肠切开异物取出术
'da'chang'wai'zhi'duan'de'qie'chu'shu 大肠外置段的切除术
'da'chang'wai'zhi'shu 大肠外置术
'da'chang'wen'he'xiu'zheng'shu 大肠吻合修正术
'da'chang'zao'kou'dao'guan'zhi'huan 大肠造口导管置换
'da'nao'ban'qiu'qie'chu'shu 大脑半球切除术
