'ai'guo'zhi'min'neng'wu'wei'hu 爱国治民能无为乎
'gu'zhi'zu'bu'ru'zhi'zhi'bu'dai'ke'yi'chang'jiu 故知足不辱知止不殆可以长久
'guang'de'ruo'bu'zu 广德若不足
'huan'xi'qi'ruo'ling'shi 涣兮其若凌释
'huang'xi'qi'wei'yang'zai 荒兮其未央哉
'hun'xi'qi'ruo'zhuo 混兮其若浊
'huo'mo'da'yu'qing'di'qing'di'ji'sang'wu'bao 祸莫大于轻敌轻敌几丧吾宝
'jian'de'ruo'tou 建德若偷
'jin'dao'ruo'tui 进道若退
'jin'yu'man'tang'mo'zhi'neng'shou 金玉满堂莫之能守
'jing'sheng'zao'han'sheng're'qing'jing'wei'tian'xia'zheng 静胜躁寒胜热清静为天下正
'kong'de'zhi'rong'wei'dao'shi'cong 孔德之容惟道是从
'kuang'xi'qi'ruo'gu 旷兮其若谷
'lei'lei'xi'ruo'wu'suo'gui 累累兮若无所归
'min'bu'wei'wei'ze'da'wei'zhi 民不畏威则大威至
'min'zhi'ji'yi'qi'shang'shi'shui'zhi'duo'shi'yi'ji 民之饥以其上食税之多是以饥
'min'zhi'nan'zhi'yi'qi'shang'zhi'you'wei'shi'yi'nan'zhi 民之难治以其上之有为是以难治
'ming'bai'si'da'neng'wu'zhi'hu 明白四达能无知乎
'ming'dao'ruo'mei 明道若昧
'pi'dao'zhi'zai'tian'xia'you'chuan'gu'zhi'yu'jiang'hai 譬道之在天下犹川谷之于江海
'qiang'da'chu'xia'rou'ruo'chu'shang 强大处下柔弱处上
'qiang'xing'zhe'you'zhi 强行者有志
'qing'ze'shi'gen'zao'ze'shi'jun 轻则失根躁则失君
'ren'fa'di'di'fa'tian'tian'fa'dao'dao'fa'zi'ran 人法地地法天天法道道法自然
'ren'zhi'sheng'ye'rou'ruo'qi'si'ye'jian'qiang 人之生也柔弱其死也坚强
'san'shi'fu'gong'yi'gu'dang'qi'wu'you'che'zhi'yong 三十辐共一毂当其无有车之用
'shan'zhe'bu'bian'bian'zhe'bu'shan 善者不辩辩者不善
'shan'zhe'wu'shan'zhi'bu'shan'zhe'wu'yi'shan'zhi'de'shan 善者吾善之不善者吾亦善之德善
'shang'de'ruo'gu 上德若谷
'shang'li'wei'zhi'er'mo'zhi'ying'ze'rang'bi'er'reng'zhi 上礼为之而莫之应则攘臂而扔之
'shen'ai'bi'da'fei'duo'cang'bi'hou'wang 甚爱必大费多藏必厚亡
'sheng'ren'chang'wu'xin'yi'bai'xing'xin'wei'xin 圣人常无心以百姓心为心
'sheng'ren'zhe'you'li'zi'sheng'zhe'qiang 胜人者有力自胜者强
'shi'wo'jie'ran'you'zhi'xing'yu'da'dao'wei'shi'shi'wei 使我介然有知行于大道唯施是畏
'shi'yi'bing'qiang'ze'mie'mu'jiang'ze'zhe 是以兵强则灭木强则折
'shi'yi'sheng'ren'qu'shen'qu'she'qu'tai 是以圣人去甚去奢去泰
'shi'yi'sheng'ren'wei'fu'bu'wei'mu'gu'qu'bi'qu'ci 是以圣人为腹不为目故去彼取此
'shi'yi'wan'wu'mo'bu'zun'dao'er'gui'de 是以万物莫不尊道而贵德
'shu'neng'you'yu'yi'feng'tian'xia'wei'you'dao'zhe 孰能有馀以奉天下唯有道者
'si'er'bu'wang'zhe'shou 死而不亡者寿
'su'ren'cha'cha'wo'du'men'men 俗人察察我独闷闷
'su'ren'zhao'zhao'wo'du'hun'hun 俗人昭昭我独昏昏
'tian'dao'wu'qin'chang'yu'shan'ren 天道无亲常与善人
'tian'men'kai'he'neng'wei'ci'hu 天门开阖能为雌乎
'tian'xia'wan'wu'sheng'yu'you'you'sheng'yu'wu 天下万物生于有有生于无
'wan'wu'bing'zuo'wu'yi'guan'fu 万物并作吾以观复
'wei'wu'wei'shi'wu'shi'wei'wu'wei 为无为事无事味无味
'wo'du'bo'xi'qi'wei'zhao 我独泊兮其未兆
'wo'du'yi'yu'ren'er'gui'shi'mu 我独异于人而贵食母
'wu'ming'tian'di'zhi'shi'you'ming'wan'wu'zhi'mu 无名天地之始有名万物之母
'wu'zhuang'ze'lao'shi'wei'bu'dao'bu'dao'zao'yi 物壮则老是谓不道不道早已
'xi'yan'zi'ran 希言自然
'xin'bu'zu'yan'you'bu'xin'yan 信不足焉有不信焉
'xin'yan'bu'mei'mei'yan'bu'xin 信言不美美言不信
'xin'zhe'wu'xin'zhi'bu'xin'zhe'wu'yi'xin'zhi'de'xin 信者吾信之不信者吾亦信之德信
'yan'xi'qi'ruo'ke 俨兮其若客
'yan'zhi'yi'wei'qi'dang'qi'wu'you'qi'zhi'yong 埏埴以为器当其无有器之用
'yi'dao'ruo'lei 夷道若颣
'you'xi'ruo'wei'si'lin 犹兮若畏四邻
'yu'xi'ruo'dong'she'chuan 豫兮若冬涉川
'zai'ying'po'bao'yi'neng'wu'li'hu 载营魄抱一能无离乎
'zao'hu'you'yi'wei'shi'dang'qi'wu'you'shi'zhi'yong 凿户牖以为室当其无有室之用
'zheng'yan'ruo'fan 正言若反
'zhi'da'guo'ruo'peng'xiao'xian 治大国若烹小鲜
'zhi'da'xiang'tian'xia'wang'wang'er'bu'hai'an'ping'tai 执大象天下往往而不害安平泰
'zhi'ren'shi'tian'mo'ruo'se 治人事天莫若啬
'zhi'ren'zhe'zhi'zi'zhi'zhe'ming 知人者智自知者明
'zhi'xu'ji'shou'jing'du 致虚极守静笃
'zhi'zhe'bu'bo'bo'zhe'bu'zhi 知者不博博者不知
'zhi'zhe'bu'yan'yan'zhe'bu'zhi 知者不言言者不知
'zhi'zhen'ruo'yu 质真若渝
'zhi'zu'zhe'fu 知足者富
'zhong'ren'jie'you'yi'er'wo'du'wan'qie'bi 众人皆有以而我独顽且鄙
'zhong'ren'xi'xi'ru'xiang'tai'lao'ru'chun'deng'tai 众人熙熙如享太牢如春登台
'zhong'wei'qing'gen'jing'wei'zao'jun 重为轻根静为躁君
'zhuan'qi'zhi'rou'neng'ru'ying'er'hu 专气致柔能如婴儿乎
