'bu'wan'quan'jing'zheng'lun 不完全竞争论
'wai'zi'suo'you'quan'kong'zhi 外资所有权控制
'wai'zi'yuan'ben'yu'li'run'hui'chu 外资原本与利润汇出
'wai'zi'zhu'jian'xiao'shi'fang'shi 外资逐渐消失方式
'xi'fang'guo'ji'zhi'jie'tou'zi'li'lun 西方国际直接投资理论
'yi'zhi'xing'kong'zhi 抑制性控制
'yin'jin'wai'zi'bu'men'jie'gou 引进外资部门结构
'yin'jin'wai'zi'xing'shi'jie'gou 引进外资形式结构
'yin'jin'wai'zi'zong'gui'mo 引进外资总规模
'zhai'wu'zhou'qi'jia'she 债务周期假设
'zheng'fu'jian'dai'kuan 政府间贷款
'zi'ben'wai'tao 资本外逃
'zi'ben'yi'dong'zi'you'hua 资本移动自由化
'zi'jie'zi'hai'guo'wai'dai'kuan 自借自还国外贷款
'zi'jin'chou'cuo'he'cai'wu'kong'zhi 资金筹措和财务控制
'zi'ran'zi'yuan'kai'cai'kong'zhi 自然资源开采控制
