'bai'nian'guo'hen 百年国恨
'fu'zi'lun'xue'xian'ding'zui 夫子论学先定罪
'fu'zi'wu'shi'fa'jia'gen'ben 夫子无视法家根本
'fu'zi'you'yi'mo'sha'gen'ben 夫子有意抹煞根本
'gan'mao 甘茂
'gao'ying 高英
'geng'fa'qi'xin 更乏其心
'geng'you'ku 更有苦
'gong'fu'guo'nan 共赴国难
'gong'qi'yi'dian'bu'ji'qi'yu 攻其一点不及其余
'gong'ru'qing'shan 公如青山
'gong'tian'bu'zhen 工田不振
'gong'xiang'qin'guo 共享秦国
'gong'zhi'xiong'xin'tu'ba'xiao'yi 公之雄心图霸小矣
'gou'dao 狗盗
'gu'zhou'yi'ye'xi 孤舟一叶兮
'gu'zi'an'zhe 故自安者
'guan'bei'jun'wei 官被君围
'guan'shan'si'gu 关山四固
'guan'zhong'tu'di'ping'tan 关中土地平坦
'guo'bei'tian'xia'wei 国被天下围
'guo'chi'zu'hen 国耻族恨
'guo'jia'zhi'xing 国家之幸
'guo'ku'kong'kong 国库空空
'guo'ruo'min'qiong 国弱民穷
'guo'shi'you'cheng 国势有成
'han'guan'yi'shou 函关易手
'han'nie 韩聂
'han'xu'wei 韩徐为
'hao'sheng'chi'he 好生吃喝
'he'ceng'yi'qi 何曾意气
'he'de'kang'ning 何得康宁
'he'de'kang'ning 何得康甯
'he'le'er'bu'wei 何乐而不为
'he'qi'qian'bo'zai 何其浅薄哉
'he'shu'biao 何树标
'he'wei'zong'he'guo'li 何谓综合国力
'he'xi'jin'shi 河西尽失
'he'yi'qin'ju'wei'shui'shu'bai'nian 何以秦据渭水数百年
'he'yi'zai'qin'shu'bai'nian 何以在秦数百年
'he'zong'suo'han'gu 合纵锁函谷
'he'zu'lun'zhi 何足论之
'heng'qiang'sao'lu'he 横强扫六合
'heng'sao'lu'he 横扫六合
'hu'jia'xu 胡佳旭
'hu'shang 胡伤
'hu'wei'jie'zhan 护卫皆斩
'hua'fu'wei'jin 化腐为金
'hua'yang 华阳
'hua'zuo'le'dan'meng'han'yan 化做了淡梦寒烟
'huang'xie 黄歇
'hui'dao'xia'shang'zhou'san'dai 回到夏商周三代
'hui'lu'jiu'hui'feng'xing 贿赂就会风行
'huo'qing 霍青
'ji'ming 鸡鸣
'ji'wan'wu 济万物
'ji'xia'xue'gong'yan'wu'bu'jin 稷下学宫言无不尽
'ji'yong'qing 纪永清
'ji'zi 季子
'jia'bing'lao'jiu 甲兵老旧
'jia'bing'qiang'sheng 甲兵强盛
'jia'yuan'ren'dan 家远人单
'jian'shi'tai'qian 见识太浅
'jian'xing'kui'fa 减刑溃法
'jiang'luan'shi'zui'nie'gui'yu'fa'mo'bing'san'jia 将乱世罪孽归于法墨兵三家
'jiang'zhi'shi'zhi'gong'gui'yu'ren'xing'zhi'shan 将治世之功归于人性之善
'jiao'jun'xiang 焦俊翔
'jiao'yang 焦阳
'jie'fei'gen'ben'zhi'qiang 皆非根本之强
'jie'huan'huan'xiang'wei'er'sheng 皆环环相围而生
'jie'jin'qi'li 竭尽其力
'jie'yi'ren'tong'fa'zhi'wei'gen'ben 皆以认同法治为根本
'jin'er'jiao'qi'xue 进而骄其学
'jin'lao'min'shang'cai'zhi'feng 禁劳民伤财之风
'jin'qian'nai'ren'shi'liu'huo 金钱乃人世流火
'jin'shang 靳尚
'jin'sheng'yu 金盛宇
'jing'na'da'zheng'zhi'shi 敬那大争之世
'jing'na'xiao'zhuo'zhi'shi 敬那小酌之时
'jing'xi'shou 敬犀首
'jing'zhang'zi 敬张子
'jing'zhe'da'zheng'zhi'shi 敬这大争之世
'jing'zhe'xiao'zhuo'zhi'shi 敬这小酌之时
'jiu'jiu'bu'dao 纠纠不倒
'jiu'jiu'lao'qin 纠纠老秦
'jiu'jiu'lao'qin 赳赳老秦
'jiu'shi'dong'dao'zi'qian'de'dong'zuo 就是动刀子前的动作
'jiu'shi'wei'du'jue'ci'deng'fu'bai'feng'xi 就是为杜绝此等腐败风习
'jiu'yao'zou'gen'ben'qiang'da'zhi'lu 就要走根本强大之路
'jiu'zai'yu'mei'you'zong'he'hun'yi'de'qiang'da'guo'li 就在于没有综合混一的强大国力
'ju'feng'guo'gang 飓风过岗
'ju'gao'guan 居高官
'ju'shan'chuan'xing'sheng'er'lun'sang 据山川形胜而沦丧
'jue'bu'fu'jun 决不负君
'jue'bu'wei'zi'ji'an'shen'li'ming'mou'zhi'mou'lu 绝不为自己安身立命谋职谋路
'jue'qi 崛起
'jun'bei'guo'wei 君被国围
'jun'bu'shi'wo 君不识我
'jun'ming'ru'ci 君命如此
'jun'shang'dong'ruo'guan'huo 君上洞若观火
'jun'shang'you'he'ping'pan 君上有何评判
'jun'wei'qing'shan 君为青山
'jun'zhi're'xue 君之热血
'kan'cheng'qiang'guo 堪称强国
'ke'wang'you'cheng'ye 可望有成也
'ke'wei'he'qin'guo'que'mei'you'yi'zhi'gong'bi'ke 可为何秦国却没有一支攻必克
'ke'wei'he'qin'ju'wei'shui'shu'bai'nian 可为何秦据渭水数百年
'ke'wei'tian'ci'jia'shui 可谓天赐佳水
'ke'yao'gai'xian'yi'zhe 可要改弦易辙
'ke'zheng'meng'yu'hu'er'yi 苛政猛于虎而已
'kong'meng'bi'sheng'qiu'zhi 孔孟毕生求之
'kong'meng'wei'tian'xia'qiu'yi'ren 孔孟为天下求一仁
'ku'cha'yi'zhan 苦茶一盏
'kun'ru'jin'chang 困辱尽尝
'lao'chu'wang 老楚王
'lao'fu'wei'chang'wen'ye 老夫未尝闻也
'lao'fu'yuan'wen'zu'xia'xing'e'zhi'shuo 老夫愿闻足下性恶之说
'lao'long'jia'bu'jin'yi'ge'ji'ling 老龙贾不禁一个激灵
'lao'qin'ren'pu'shi'hou'zhong 老秦人朴实厚重
'li'bing 李冰
'li'dui 李兑
'li'er'lang 李二郎
'li'huai'long 李槐龙
'li'lai'bu'yi'de'xing'cao'shou'lun'ren 历来不以德行操守论人
'li'lun'dang'you'li'you'ju 立论当有理有据
'li'ming'chen 李明晨
'li'qing'zheng'lian'jie'zhi'su 立清正廉洁之俗
'li'yuan 李元
'lian'nian'ku'zhan 连年苦战
'lian'po 廉颇
'liang'hang'lao'lei'duo'kuang'er'chu 两行老泪夺眶而出
'liang'qin'gu'ran'ze'mu 良禽固然择木
'liao'wei 廖伟
'lie'guo'bei'qin 列国卑秦
'lie'guo'fa'jiao'pin'pin 列国伐交频频
'lin'lin'yuan'qu 辚辚远去
'lin'xiang'ru 蔺相如
'lin'xiu'qiang 林秀强
'ling'guo'zheng 领国政
'liu'guo'ge'yi 六国各异
'liu'guo'jiu'zhi'bu'ke'jiu 六国旧制不可救
'liu'hui 刘辉
'liu'jun 刘军
'liu'nai'yi 刘乃艺
'liu'shui'yi'shi 流水已逝
'lou'huan 楼缓
'lu'jia 鲁佳
'lu'lu'wu'wei 碌碌无为
'lun'wei'yu'rou 沦为鱼肉
'luo'tian'you 罗天佑
'lv'wen'jun 吕文军
'ma'sai 马赛
'ma'xiao'ning 马小宁
'mang'mang'zhong'guo'dai'you'ren'cai 茫茫中国代有人才
'mao'sui 毛遂
'mei'ru'yu 美如玉
'mei'yi'hu'ren'jia'de'chuang'tai 每一户人家的窗台
'mei'you'duo'shao'nian'le 没有多少年了
'meng'ao 蒙骜
'meng'bi'you'zhi 蒙蔽幼稚
'meng'fu'zi'kong'yan'xing'ben'shan 孟夫子空言性本善
'meng'fu'zi'ru'ci'duan'yan 孟夫子如此断言
'mi'heng 芈横
'mi'lao'huan 芈老宦
'mi'rong 芈戎
'mi'yan 芈琰
'mi'yuan 芈原
'miao'tang'ru'ci 庙堂如此
'min'bei'guan'wei 民被官围
'min'xin'an'wen 民心安稳
'min'yong'gong'zhan 民勇公战
'min'zhong'hui'bu'man 民众会不满
'ming'jun'li'zhi'zhi'qiang 明君吏治之强
'ming'shi'mu'nian 名士暮年
'ming'shi'wu'guan 名士无冠
'ming'wei'fa'zhi 名为法制
'ming'yi'zhe'huang 明一者皇
'ming'yue'zuo'zheng 明月作证
'mo'da'yu'ci 莫大于此
'mo'shuo'wei'shi'tai'wan 莫说为时太晚
'mou'de'bing'sheng'zhe'ba 谋得兵胜者霸
'nai'can'tou'tian'di'ren'zhe 乃参透天地人者
'nai'fa'jia'jing'yi'zhi'xue 乃法家精义之学
'nei'luan'pin'chu 内乱频出
'neng'zhe'shang 能者上
'ni'men'ke'yi'fang'mu 你们可以放牧
'ni'shi'he'ren 你是何人
'nian'nian'xin'ku 年年辛苦
'ning'jing 宁静
'ning'ke'bu'yuan'sheng'zai'wang'zu 宁可不愿生在王族
'ning'lu 宁露
'nong'gong'xing'wang 农工兴旺
'nu'er'xi'zhi 努而习之
'peng'bo 彭波
'peng'guo'bin 彭国斌
'peng'jian'ming 彭建明
'ping'ju'you'san 凭据有三
'qi'dao 棋道
'qi'fu'zhen'dang'bu'ding 起伏震荡不定
'qi'gen'tong'yi 其根同一
'qi'guo'fan'shi 齐国范式
'qi'hou'zhu'jun'bu'xian 其后诸君不贤
'qi'li'tong'yi 其理同一
'qi'lun'duan'zhi'qing'shuai'wu'yi'fu'jia 其论断之轻率无以复加
'qi'shi'you'you'he'xi'he'nao 其实又有何喜何恼
'qi'tao 齐涛
'qi'ti'ru'yu 泣涕如雨
'qi'wang 齐王
'qi'xin'ye'chun 其心也蠢
'qi'yi'wei'ming'ming 棋以围命名
'qian'qiu'gong'zui 千秋功罪
'qiang'bu'neng'shou'ding'xin'zhi 强不能守定心志
'qiang'guo'fan'shi'bu'tong 强国范式不同
'qiang'guo'he'xu'jie'dai'er'sheng 强国何须借代而生
'qiang'guo'zhi'dao 强国之道
'qiang'hua'cha'kan'guan'li 强化查勘官吏
'qiang'li'nai'guo'jia'zhi'ben 强力乃国家之本
'qiang'ze'qiang 强则强
'qie'mo'bei'min'zi'ji 切莫悲悯自己
'qie'yu'fen'qin'mie'qin'er'hou'kuai 且欲分秦灭秦而后快
'qin'guo'yao'jue'qi 秦国要崛起
'qin'neng'di'fou 秦能敌否
'qin'ren'qiong'kun 秦人穷困
'qin'ren'ying'gu 秦人硬骨
'qin'shi'you'da'guo'er'pi'chu'yi'yu 秦始由大国而僻处一隅
'qin'xuan'tai'hou 秦宣太后
'qin'you'rui'shi 秦有锐士
'qin'zhao'xiang'wang 秦昭襄王
'qing'shan'ru'dai'xi 青山如黛兮
'qing'shi'zhi'lun'cheng'bai 青史只论成败
'qiu'dong'jiang 邱东江
'qiu'feng'lue'guo'yuan'ye 秋风掠过原野
'qu'liang'yuan'wen'qiang'guo'zhi'dao 渠梁愿闻强国之道
'qu'liang'yuan'wen'xian'sheng'xin'lun 渠梁愿闻先生新论
'qu'yuan 屈原
'quan'li'gong'ye'ru'zhan'chang 权力功业如战场
'que'an'bing'bu'dong 却按兵不动
'que'huang'wu'bo'shou 却荒芜薄收
'que'mo'qi'xin 却磨其心
'que'zuo'shi'yu'yan'hang'yun'zhi'li 却坐失鱼盐航运之利
'ran'er'ru'he'a 然而如何啊
'ran'fei'zheng'dao 然非正道
'ran'wu'nai'bei'ku'zhi'yi'sheng 然无奈悲苦之一生
'ran'you'zi'an'zhe 然有自安者
'ran'ze'mei'meng'cheng'zhen 然则美梦成真
'ren'bu'neng'qu'yu'zi'ru 仁不能取予自如
'ren'kou'zhong'duo 人口众多
'ren'qing'leng'nuan 人情冷暖
'ren'ren'ke'lun 人人可论
'ren'shi'wu'chang 人世无常
'ren'xing'ben'e 人性本恶
'ren'xing'ben'shan 人性本善
'ren'xing'cai'neng'xiang'shan'you'xu 人性才能向善有序
'ren'xing'zhi'e 人性之恶
'ren'yan'xi'shao 人烟稀少
'ren'zheng'jing'tian'bu'ke'fu 仁政井田不可复
'ren'zhi'ye'hao 人治也好
'ren'zhi'yu'fu'gu'zhi'lun 人治与复古之论
'reng'xu'nu'li 仍需努力
'ru'ci'bang'guo 如此邦国
'ru'he'neng'yi'jin'ri'zhi'zhi 如何能以今日之志
'ru'he'ru'he 如何如何
'ru'ri'fang'sheng 如日方升
'ru'ri'fang'sheng 如日方生
'ru'ruo'bi'jian 如若比肩
'ru'ruo'da'qin 如若大秦
'ru'yin'bu'kan'shou'qi'mo'er'qi'zhi 如因不堪受其磨而弃之
'ru'yu'ta'ren'bi'jian 如与他人比肩
'ruo'neng'yu'jian'dou'sha'pian'ke'zhi'mei'hao 若能遇见斗沙片刻之美好
'ruo'ying'ji'ke'yi'xuan 若嬴稷可以选
'ruo'ying'ji'ke'yi'xuan 若赢稷可以选
'ruo'ze'wang 弱则亡
'san'dao'xuan'tan 三道玄谈
'san'guan'neng'guo 三关能过
'san'heng'nai'tian'di'ren 三横乃天地人
'san'heng'yi'shu 三横一竖
'shan'he'guang'mao'zhi'qiang 山河广袤之强
'shang'gu'zao'zi 上古造字
'shang'ren'wu'en 商人无恩
'shang'wu'zhi'feng'shen'zhi'chao'ye 尚武之风深植朝野
'shao'nian'han'chuang'ku'du 少年寒窗苦读
'shao'nian'shi'zong'shi'zai'yi'bie'ren 少年时总是在意别人
'shao'zhi'qi'shi 少之其实
'she'ji'chang'sheng 社稷昌盛
'shei'yu'zheng'xiong 谁与争雄
'shen'bao'ping 沈保平
'shen'da'yu'xing'zhe'zhi 神大于形者智
'shen'hou'zhi'ming 身后之名
'shen'jia'ni 沈佳妮
'shen'zhe'ru 甚者辱
'sheng'bu'dai'lai 生不带来
'sheng'duo'shu'ren'qian'cai 省多数人钱财
'sheng'er'tan'yu 生而贪欲
'sheng'er'you'she'wang 生而有奢望
'sheng'heng'ai'zhi 生恒爱之
'sheng'heng'jing'zhi 生恒敬之
'sheng'si'xiang'fu 生死相扶
'shi'bei'ze'wei'xiao 势卑则围小
'shi'gao'ze'wei'guang 势高则围广
'shi'jian'shi 世间事
'shi'jian'wan'wu 世间万物
'shi'ren'bu'ru'ji 视人不如己
'shi'sui'xiang'yi 事虽相异
'shi'wei'ren'zhi 实为人治
'shi'wei'wang 是为王
'shi'wei'wang 是谓王
'shi'xue'wei'wu'wu 视学为无物
'shi'zai'hang'fa'gen'ji'zhi'shang'zhuo'zhong'zheng'su'li'zhi 是在行法根基之上着重整肃吏治
'shi'zhi'xiang'kou'bian'shi'liang'chen 十指相扣便是良辰
'shou'fu'rao'tu'di'er'pin'qiong 守富饶土地而贫穷
'shu'yi'hu'gong'zu 殊异乎公族
'shui'bian'shi'zheng'dao 谁便是正道
'shui'neng'rong'ru'da'zheng'chao'liu'er'qiang'guo'fu'min 谁能融入大争潮流而强国富民
'shuo'de'hua'shi'jia'de 说的话是假的
'si'bu'dai'qu 死不带去
'si'bu'xiu'zhan 死不休战
'si'dou'cheng'feng 私斗成风
'si'ma'cuo 司马错
'si'shi'zheng'hun 四世政昏
'song'guan'fu 送官府
'song'zhong'dong 宋重东
'su'qin 苏秦
'su'qin'quan'li'jiu'zhi 苏秦全力救之
'su'qin'wei'tian'xia'qiu'yi'gong 苏秦为天下求一公
'su'yi 苏一
'sui'hua'er'xuan'li 虽华而绚丽
'sui'ming'yang 隋眳杨
'sui'neng'le'ji 虽能乐己
'sui'yi'wei'di'wei'gui'su 虽以围地为归宿
'sui'you'bai 虽有败
'sui'you'cheng'bai 虽有成败
'sui'you'tian'ming 虽有天命
'sui'yu'xue'wu'shu 虽欲学吾术
'sun'han'wen 孙翰文
'sun'hao'hui 孙皓辉
'sun'qiang 孙强
'suo'wei'wang'zhe 所谓王者
'tang'ba'zi 唐八子
'tao'li'man'tian'xia 桃李满天下
'tian'di'jian'zhen'ying'xiong'ye 天地间真英雄也
'tian'kai 田凯
'tian'ming'xing'xiang'cong'bu'chui'lian'ruo'zhe 天命星象从不垂怜弱者
'tian'wen 田文
'tian'xia'bei'yu'zhou'wei 天下被宇宙围
'tian'xia'fen'rao 天下纷扰
'tian'xia'ren'sheng'er'hao'li 天下人生而好利
'tian'xia'shi'zi'ting'le 天下士子听了
'tian'xia'xue'pai'jie'you'fen'zhi 天下学派皆有分支
'tian'xia'zhi'dao'bu'zai'kong'tan 天下治道不在空谈
'tie'ma'bing'he 铁马冰河
'tong'de'zhe'wang 通德者王
'tong'er'chi'zhi 痛而持之
'tong'xiu'ru'fen'tu 铜臭如粪土
'wai'huan'jiao'po 外患交迫
'wang'dao'bu'xing 王道不行
'wang'hai'ping 王海平
'wang'he 王龁
'wang'hou'jiang'xiang 王侯将相
'wang'hui'chun 王绘春
'wang'ji 王稽
'wang'shang'ke'ceng'jian'guo'shi'jian'zhi'shan'zhi'mei 王上可曾见过世间至善至美
'wang'shang'ke'ceng'you'xin'tou'zhi'ai 王上可曾有心头至爱
'wang'shuang'bao 王双宝
'wang'tu'an'zhi 妄图安之
'wang'wo'shi'duo 忘我实多
'wang'xiao'yi 王小毅
'wang'yang'bu'lao'wei'ceng'ke'zhi 亡羊补牢未曾可知
'wang'zhe'zhi'ren'yi 王者之仁义
'wang'zhe'zun'zhi 王者尊之
'wang'zi'tong 王梓桐
'wang'zu'de'xue'shi'leng'de 王族的血是冷的
'wei'chou'fu 魏丑夫
'wei'fa'shi'cong 唯法适从
'wei'guo'fan'shi'jia'bing'cai'huo'zhi'qiang 魏国范式甲兵财货之强
'wei'hua 魏华
'wei'jian'jun'zi 未见君子
'wei'jie'bu'ci 唯借不赐
'wei'ling'you 魏伶优
'wei'qi'chu'san'qiang'fan'shi 魏齐楚三强范式
'wei'ran 魏冉
'wei'shang'zhi'dao 为商之道
'wei'shui'shang'shang 渭水汤汤
'wei'shui'tao'tao 渭水滔滔
'wei'tian'xia'li'zhi 为天下立制
'wei'tian'xia'lie'qiang'suo'wu 为天下列强所无
'wei'wan'min'li'fa 为万民立法
'wei'xian'sheng 卫先生
'wei'xue'wei'zheng'dao 唯学为正道
'wei'xue'zhi'ben'que'zai'yu'ci 为学之本却在于此
'wei'yang'meng'zi'lun'zhan 卫鞅孟子论战
'wei'yang'wei'gao'fu'zi 卫鞅唯告夫子
'wei'yang'zhi'zhi 卫鞅之志
'wei'yi'shi'li'jian'zhang 唯以实力见长
'wei'you'zhan 魏优旃
'wo'bu'shi'jun 我不识君
'wo'da'qin'de'ming'yue 我大秦的明月
'wo'da'qin'de'ming'yue'bi'lang'zhao'zhi 我大秦的明月必朗照之
'wo'deng'que'yao'xia'bu'wei'li 我等却要下不为例
'wo'fa'jia'fa'zhi'pai'ming'shi 我法家法治派名士
'wo'ru'song'bai 我如松柏
'wo'wei'song'bai 我为松柏
'wo'xin'he'que 我心何缺
'wo'xin'shang'bei 我心伤悲
'wo'ye'qian'li 沃野千里
'wu'an'jun 武安君
'wu'bai'nian'yi'juan'xiong'wen 五百年一卷雄文
'wu'bei'wei'xue 吾辈为学
'wu'fa'chang'qi'ju'ji'guo'li'er'wen'ding'qiang'da 无法长期聚集国力而稳定强大
'wu'fei'shi'yao'chong'shen'ren'zheng 无非是要重申仁政
'wu'lian'sheng 吴连生
'wu'na'ke'gong 无纳可贡
'wu'qiu'guo'jia'shi'li'zeng'zhang 务求国家实力增长
'wu'qiu'ji'li'chao'ye'shi'qi 务求激励朝野士气
'wu'ru'zhi'yu'ya'zi'bi'bao 侮辱之语睚眦必报
'wu'wu'qi'yi 五无其一
'wu'you'suo'yong 物有所用
'wu'yu'ze 武雨泽
'wu'zu'dao'ye 无足道也
'xi'xi'pin'wei 细细品味
'xi'you'da'qin 西有大秦
'xia'hou'bin 夏侯镔
'xian'gong'ji'wei'yu'tu'zhen'xing 献公即位欲图振兴
'xian'sheng'zhong'xian'da'cai'ben'shai'a 先生终显大才本色啊
'xiao'wei'ling'you 小魏伶优
'xie'yang'zhuo'jiu 斜阳浊酒
'xin'jing'fei'zuo 心境非昨
'xin'jun'ru'xin'wo 信君如信我
'xing'da'yu'shen'zhe'yu 形大于神者迂
'xing'jia'dong 邢佳栋
'xu'dong'sheng 徐东生
'xu'min 许敏
'xuan'tai'hou 宣太后
'xuan'ya'bu'le'ma'de'shi'wang 悬崖不勒马的是王
'xue'bai'de'chang'xu'fu'guo'lian'jia 雪白的长须拂过脸颊
'xue'bu'liu'gan 血不流干
'xue'ji'jun 薛继军
'xue'yuan'ying'tao 雪原营涛
'ya'yan'chun'zheng 雅言纯正
'yan'gao'shou'di 眼高手低
'yan'yan'yu'fei 燕燕于飞
'yan'zhi'ru'ye 言之辱也
'yang'zhi'gang 杨志刚
'yao'fang'yan'yu'tian'xia 要放眼于天下
'yao'jin'fang'dui'shou'ce'dong'nei'luan 要谨防对手策动内乱
'ye'xu'chi'jie'zi'li 也需持节自立
'ye'yang 叶阳
'ye'zu'yi 也足矣
'yi'ci'xin'ru'shi'tu 以此心入仕途
'yi'fa'zhi'fang'fan'e'yi 以法治防范恶意
'yi'fa'zhi'shu'dao'ren'xing 以法治疏导人性
'yi'guo'dui'liu'guo 一国对六国
'yi'le'qi'hao'er'zhu'qi'ta 以乐其好而逐其他
'yi'mou'zhi'gong 一谋之功
'yi'mou'zhi'guo 一谋之过
'yi'qu'hai 义渠骇
'yi'que 伊阙
'yi'shi'tian'dao'ren'dao 亦是天道人道
'yi'shu 一竖
'yi'shu'nai'can'tong'tian'di'ren'zhe 一竖乃参通天地人者
'yi'shu'zhi'pai'wei'fa'jia'quan'mao 以术治派为法家全貌
'yi'wei'shi'ren'jian'jie 以为世人鉴戒
'yi'yang'gu'ling 一样孤零
'yi'yi'xing'zhi 以义行之
'yin'hen'shen'wang 饮恨身亡
'yin'jing 尹静
'yin'ren'xing'you'e 因人性有恶
'yin'yang'chen'hui'bu'zu'yi'duan'da'shi 阴阳谶诲不足以断大事
'yin'yin'jian'wo 殷殷荐我
'yin'yin'jing'wo 殷殷惊我
'ying'dou 郢都
'ying'fu 嬴芾
'ying'ji 嬴疾
'ying'ji 嬴稷
'ying'jiao 嬴摎
'ying'kui 嬴悝
'ying'qiang 应强
