'ai'qi'zi 爱其子
'da'zai'li'tian'di 大哉立天地
'da'zhang'shi'yi'gong'cao 答张十一功曹
'dai'yong'wu'yi'zhe 待用无遗者
'dang'liu'chi'zu'ta'jian'shi 当流赤足踏涧石
'dao'ce'kun'qing'ou 倒侧困清沤
'dao'qi'suo'dao 道其所道
'dao'xiang'si'ye 道相似也
'dao'yu'de'wei'xu'wei 道与德为虚位
'dao'zhi'suo'cun 道之所存
'de'fei'shi'fu'jin 得非施斧斤
'de'qi'suo'de 德其所德
'deng'chong'jun'liang 登崇畯良
'deng'ming'xuan'gong 登明选公
'deng'xian'liao'luan'zou'kong'yuan 等闲撩乱走空园
'di'jie'xian'qian'dou 诋讦陷乾窦
'di'pai'yi'duan 觝排异端
'di'tou'bai'dong'ye 低头拜东野
'di'xia'dang'gou'qing'chao'ban 涤瑕荡垢清朝班
'di'yu'chang'yin'e 帝欲长吟哦
'di'zhi'yu'wang 帝之与王
'di'zi'shi'xian'sheng 弟子事先生
'dian'dao'qing'tai'luo'jiang'ying 颠倒青苔落绛英
'dian'dian'lu'shu'xiu 点点露数岫
'dian'jue'tui'qie'fu 颠蹶退且复
'dong'er'de'bang 动而得谤
'dong'nuan'er'er'hao'han 冬暖而儿号寒
'dong'sheng'ju'jin'shi 董生举进士
'dong'sheng'mian'hu'zai 董生勉乎哉
'dong'ting'lian'tian'jiu'yi'gao 洞庭连天九疑高
'dong'xi'liang'ji'hai 东西两际海
'dong'xing'sui'you'mo 冬行虽幽墨
'dong'ye'bian'wei'long 东野变为龙
'dong'ye'bu'de'guan 东野不得官
'dong'ye'bu'hui'tou 东野不回头
'dong'zhe'de'jiu 动辄得咎
'dou'jue'shuang'mao'yi'ban'jia 斗觉霜毛一半加
'du'pang'sou'er'yuan'shao 独旁搜而远绍
'du'sheng'yong'qian'gou 赌胜勇前购
'dui'ci'ti'lei'shuang'pang'tuo 对此涕泪双滂沱
'en'yuan'xiang'er'ru 恩怨相尔汝
'er'bo'le'bu'chang'you 而伯乐不常有
'er'chi'xue'yu'shi 而耻学于师
'er'chu'zhi'zhong'tu 而处之中土
'er'de'you'xiong'you'ji 而德有凶有吉
'er'fan'jiao'ren'wei 而反教人为
'er'guan'yu'qi'shi 而观于其市
'er'min'bu'zheng 而民不争
'er'shi'su'zhi'jia'liu 而食粟之家六
'er'ya'bian'po'wu'wei'yi 二雅褊迫无委蛇
'er'yong'qi'zhi'jia'liu 而用器之家六
'er'you'bi'zhi'yu'qi'shu 而又笔之于其书
'er'yue'chu'jing'jian'cao'ya 二月初惊见草芽
'er'zi'yan'zhi'jia'liu 而资焉之家六
'er'zi'yi'shi'yi'chang'yang'yin'nian 而訾医师以昌阳引年
'fan'dou'pei'de'yun 藩都配德运
'fan'wu'suo'wei'dao'de'yun'zhe 凡吾所谓道德云者
'fang'che'zai'cao'nong'shi'ji 放车载草农事济
'fang'jin'sheng'xian'xiang'feng 方今圣贤相逢
'fang'jin'tai'ping'ri'wu'shi 方今太平日无事
'fei'hui'zhi'ye 非毁之也
'fei'luan'bu'jia'can 飞鸾不假骖
'fei'ran'zuo'ge'shi 斐然作歌诗
'fei'si'lan'ling 废死兰陵
'fei'tian'xiao'ye 非天小也
'fei'wu'suo'wei'chuan'qi'dao'jie'qi'huo'zhe'ye 非吾所谓传其道解其惑者也
'fei'wu'suo'wei'dao'ye 非吾所谓道也
'fei'wu'suo'wei'de'ye 非吾所谓德也
'fen'bi'jiang'xin'xiu 芬苾降歆嗅
'fen'gao'you'yi'ji'gui 焚膏油以继晷
'fen'mu'bao'guo'jiu 坟墓包椁柩
'fen'qiang'dan'zhu'dong'guang'cai 粉墙丹柱动光彩
'fen'zhai'zhan'ding'wu 分宅占丁戊
'feng'gu'qiao'jun'yi'chen'ai 风骨峭峻遗尘埃
'feng'qi'jiao'sou'shu 风气较搜漱
'fu'bu'zhi'zhi 妇不知织
'fu'da'mu'wei'mang 夫大木为杗
'fu'fu'hua'pi'e 敷敷花披萼
'fu'guang'jing 伏光景
'fu'yi'zi'zhi'bu'yu'shi 夫以子之不遇时
'fu'you'xi'shi'tu'gou'zhe'hu 复有昔时屠狗者乎
'fu'yun'liu'xu'wu'gen'di 浮云柳絮无根蒂
'gai'you'xing'er'huo'xuan 盖有幸而获选
'gan'chun'wu'shou 感春五首
'gan'zhen'dian 感震电
'gang'geng'ling'yu'zhou 刚耿陵宇宙
'gao'gao'han'ri'sheng'yu'dong 杲杲寒日生于东
'gao'yao'cuan'jie'zhou 杲耀攒介胄
'geng'qian'zhi'zi'chuan'qing'bei 更遣稚子传清杯
'gong'cong'he'chu'de'zhi'ben 公从何处得纸本
'gong'da'mo'chou'jiu 功大莫酬僦
'gong'men'yi'suo'bu'fu'qi 宫门一锁不复启
'gong'zhi'jia'yi 工之家一
'gou'mu'yi'qiang'ren'zhe'jie'ai'xi'yan 苟慕义强仁者皆爱惜焉
'gu'cheng'you'chan'jue 孤撑有巉绝
'gu'chuan'ting'shu'zuo'fei'hua 故穿庭树作飞花
'gu'dao'you'jun'zi'xiao'ren 故道有君子小人
'gu'ding'yue'shui'long'teng'suo 古鼎跃水龙腾梭
'gu'hu'xu'jing'you 固护蓄精祐
'gu'ling'gu 汩陵谷
'gu'pan'lao'jing'dou 顾盻劳颈脰
'gu'qian'qi'qie'jiang 故遣起且僵
'gu'ren'cong'jun'zai'you'fu 故人从军在右辅
'gu'sui'you'ming'ma 故虽有名马
'gu'yin'lv'que'mo'yu'he 孤吟屡阕莫与和
'gu'yu'di'shang'you 顾语地上友
'gu'zhi'jiao'zhe'chu'qi'yi 古之教者处其一
'gu'zhi'sheng'ren 古之圣人
'gu'zhi'wei'min'zhe'si 古之为民者四
'gu'zhi'xue'zhe'bi'you'shi 古之学者必有师
'gu'zhi'yu'ming'ming'de'yu'tian'xia'zhe 古之欲明明德于天下者
'gua'gou'mo'guang 刮垢磨光
'gua'yi'nian'wan'lou 挂一念万漏
'guan'jing'hong'dou'shang'tian'yan 观经鸿都尚填咽
'guan'sheng'ze'jin'yu 官盛则近谀
'guang'jia'qi'zhi'bai'bei'guo 光价岂止百倍过
'guang'yan'wan'zhang'chang 光焰万丈长
'gui'wu'shou'hu'fan'hui'he 鬼物守护烦撝呵
'gui'wu'tu'hua'tian'qing'hong 鬼物图画填青红
'guo'zi'xian'sheng'chen'ru'tai'xue 国子先生晨入太学
'hai'qi'shi'zhe'xun'xing'sao 海气湿蛰熏腥臊
'hai'yi'zao'wu'yi 还疑造物意
'hai'you'shi'fu'ge'kang'zai 还有诗赋歌康哉
'hai'yu'qian'peng'zhou 海浴褰鹏噣
'hai'zhi'er'wei'zhi'bei 害至而为之备
'han'chang'li'ji 韩昌黎集
'han'ran'hou'wei'zhi'yi 寒然后为之衣
'han'ying'ju'hua 含英咀华
'han'zi'shao'jian'xia 韩子稍奸黠
'hao'fa'jin'bei'wu'cha'e 毫发尽备无差讹
'hao'gu'wen 好古文
'hao'hao'fu'shang'shang 浩浩复汤汤
'hao'shou'wu'gu'zhang'jiang'bian 好收吾骨瘴江边
'he'bu'wei'tai'gu'zhi'wu'shi 曷不为太古之无事
'he'ren'yu'yi'yan'zhi'ye 合仁与义言之也
'he'shui'huang 河水黄
'heng'wu'wu'yi'qiong'nian 恒兀兀以穷年
'heng'yun'shi'ping'ning 横云时平凝
'hong'huang'jing'wu'chuan 鸿荒竟无传
'hou'wang'jiang'xiang'wang'jiu'jue 侯王将相望久绝
'hou'zhi'ren'qi'yu'wen'ren'yi'dao'de'zhi'shuo 后之人其欲闻仁义道德之说
'hou'zhi'ren'sui'yu'wen'ren'yi'dao'de'zhi'shuo 后之人虽欲闻仁义道德之说
'hu'duo'shu'cui'yu 户多输翠羽
'hu'jian'gu'feng'huang 忽见孤凤皇
'hua'ran'bian'xuan'ang 划然变轩昂
'huai'bao'li'qi 怀抱利器
'huan'huan'xian'ying'xiu 焕焕衔莹琇
'huan'sheng'er'wei'zhi'fang 患生而为之防
'huang'hun'dao'si'bian'fu'fei 黄昏到寺蝙蝠飞
'huang'lao'yu'han 黄老于汉
'huang'yu'xi 荒于嬉
'hui'kuang'lan'yu'ji'dao 回狂澜于既倒
'hui'yu'sui 毁于随
'hun'hun'wu'ya 浑浑无涯
'huo'bei'ruo'xiang'e 或背若相恶
'huo'beng'ruo'liu'luo 或迸若流落
'huo'bu'yan 或不焉
'huo'chi'er'bu'gou 或弛而不彀
'huo'chi'ruo'tu'qian 或赤若秃鬝
'huo'cu'ruo'xiang'dou 或蹙若相斗
'huo'cuo'ruo'hui'hua 或错若绘画
'huo'er'bu'cong'shi 惑而不从师
'huo'fan'ruo'wu'xiu 或翻若舞袖
'huo'fu'ruo'bao'bie 或覆若曝鳖
'huo'fu'ruo'bo'tao 或浮若波涛
'huo'fu'ruo'fu'cou 或赴若辐凑
'huo'gu'ruo'su'liu 或顾若宿留
'huo'hou'duan'ruo'gou 或后断若姤
'huo'jue'ruo'ma'zhou 或决若马骤
'huo'lei'ruo'pen'ying 或累若盆罂
'huo'li'ruo'chou'chou 或戾若仇雠
'huo'lian'ruo'xiang'cong 或连若相从
'huo'liao'ruo'zhuan'zhou 或缭若篆籀
'huo'lin'jie 获麟解
'huo'luan'ruo'chou'sun 或乱若抽笋
'huo'luo'ruo'xing'li 或罗若星离
'huo'mi'ran'dong'zhu 或靡然东注
'huo'mi'ruo'hun'gou 或密若婚媾
'huo'nie'ruo'zhu'jiu 或嵲若注灸
'huo'pian'ruo'chuan'you 或翩若船游
'huo'qi'ruo'you'peng 或齐若友朋
'huo'qian'heng'ruo'bo 或前横若剥
'huo'ru'ben'yu'lun 或如贲育伦
'huo'ru'di'wang'zun 或如帝王尊
'huo'ru'gui'chai'zhao 或如龟拆兆
'huo'ru'huo'xi'yan 或如火熹焰
'huo'ru'lin'shi'an 或如临食案
'huo'ruo'gua'fen'yao 或若卦分繇
'huo'ruo'qi'fen'liu 或若气饙馏
'huo'san'ruo'wa'jie 或散若瓦解
'huo'shi'yan 或师焉
'huo'song'ruo'jing'gou 或竦若惊雊
'huo'sui'ruo'chu'nou 或碎若锄耨
'huo'sui'ruo'xian'hou 或随若先后
'huo'tui'ruo'qin'shou 或颓若寝兽
'huo'tuo'ruo'mi'fu 或妥若弭伏
'huo'wan'ruo'cang'long 或蜿若藏龙
'huo'wei'di'huang'zu'yao'guai 火维地荒足妖怪
'huo'wei'ruo'sou'shou 或围若蒐狩
'huo'weng'ruo'yun'dou 或蓊若云逗
'huo'xiang'ruo'xiang'you 或向若相佑
'huo'xie'er'bu'yi 或斜而不倚
'huo'xing'er'bu'chuo 或行而不辍
'huo'xun'ruo'chai'chao 或熏若柴槱
'huo'yan'ran'bei'shou 或偃然北首
'huo'yan'ruo'e'guan 或俨若峨冠
'huo'yi 惑矣
'huo'yi'er'bu'shou 或遗而不收
'huo'yi'ruo'bo'jiu 或翼若搏鹫
'huo'yi'ruo'zhan'zhen 或屹若战阵
'huo'yu'qin 火于秦
'huo'zhi'bu'jie 惑之不解
'ji'ban'zi'zhi'chong'bei 计班资之崇庳
'ji'ji'jian'xiang'cou 戢戢见相凑
'ji'pan'fen'cun'bu'ke'shang 跻攀分寸不可上
'ji'ran'hou'wei'zhi'shi 饥然后为之食
'ji'shi'zhe'bi'ti'qi'yao 纪事者必提其要
'ji'wu'nian'shao'zhu'chun'xin 即无年少逐春心
'ji'yu'fu'ping'cao 寄语浮萍草
'ji'zhi'xing'xiu'yi'xi'e 掎摭星宿遗羲娥
'ji'zhou'ba'dai'zheng'zhan'ba 继周八代争战罢
'jia'ju'lv'huang'liang 家居率荒凉
'jia'zhi'jia'yi 贾之家一
'jia'zi'zhong'huang'gan 家自种黄甘
'jian'ling'song'long'zhong 翦翎送笼中
'jian'xuan'zhuan'ke'liu'shan'e 拣选撰刻留山阿
'jian'zhu'tai'miao'bi'gao'ding 荐诸太庙比郜鼎
'jiang'shuai'zheng'sheng'xu'pin'lai 将衰正盛须频来
'jiang'yi'you'wei'ye 将以有为也
'jiang'zuo'qing'luo'dai 江作青罗带
'jiao'duan'liang'chang 校短量长
'jiao'long'chu'mo'xing'wu'hao 蛟龙出没猩鼯号
'jie'hu 嗟乎
'jie'jie'wei'yi 孑孑为义
'jie'yu'hao'gu'sheng'ku'wan 嗟余好古生苦晚
'jie'yu'you'liang'er 嗟余有两耳
'jie'zai'wu'dang'er'san'zi 嗟哉吾党二三子
'jin'er'xiang'sheng'xiang'yang'zhi'dao 禁而相生相养之道
'jin'qi'fa'yue 今其法曰
'jin'qi'zhi'nai'fan'bu'neng'ji 今其智乃反不能及
'jin'sheng'tie'suo'suo'niu'zhuang 金绳铁索锁钮壮
'jin'xian'sheng'xue'sui'qin'er'bu'yao'qi'tong 今先生学虽勤而不繇其统
'jin'xie'chui'lin'lang 金薤垂琳琅
'jin'xin'mi'yuan'jiu 近新迷远旧
'jin'xue'jie 进学解
'jin'ye'yu'zhi'qi'xin'er'wai'tian'xia'guo'jia 今也欲治其心而外天下国家
'jin'zhi'jiao'zhe'chu'qi'san 今之教者处其三
'jin'zhi'wei'min'zhe'liu 今之为民者六
'jin'zhi'zhong'ren 今之众人
'jing'cheng'hu'jiao'tong 精诚忽交通
'jing'hu'xi'po'sui 惊呼惜破碎
'jing'ji'xiao'ying'cou 经纪肖营腠
'jing'lang'si'fu'shuang 惊浪似浮霜
'jing'li'jiu'yuan'qi'wu'tuo 经历久远期无佗
'jing'shan'yi'qu'hua'shan'lai 荆山已去华山来
'jing'si'he'bi 竟死何裨
'jing'ying'wu'tai'mang 经营无太忙
'ju'dou'zhi'bu'zhi 句读之不知
'ju'guan'ji'ri'yue 拘官计日月
'ju'jing'yao'xiang'wang 举颈遥相望
'ju'ken'gan'ji'tu'an'e 讵肯感激徒媕婀
'ju'ling'yu'kua'e 巨灵与夸蛾
'ju'piao'zhuo'tian'jiang 举瓢酌天浆
'ju'ren'mo'tian'yang 巨刃磨天扬
'ju'shou'bing'xu 俱收并蓄
'ju'xi'nan'xi'jiu 巨细难悉究
'ju'zu'wei'fa 举足为法
'juan'gong'le'cheng'gao'wan'shi 镌功勒成告万世
'jue'chu'shu'kai'zhang 厥初孰开张
'jue'jue'pan'hai'gou 夬夬叛还遘
'jue'lei'li'lun 绝类离伦
'jue'sheng'yan'liu'man'huang'du 绝胜烟柳满皇都
'jun'bu'chu'ling 君不出令
'jun'ge'qie'xiu'ting'wo'ge 君歌且休听我歌
'jun'ge'sheng'suan'ci'qie'ku 君歌声酸辞且苦
'jun'jin'shang'long'qu 君今上陇去
'jun'tu'tuo'chang'bing 峻涂拖长冰
'jun'zi'bu'chi 君子不齿
'kan'ke'zhi'de'yi'jing'man 坎轲只得移荆蛮
'ke'lian'ci'di'wu'che'ma 可怜此地无车马
'ke'wei'cheng'yi 可谓成矣
'ke'wei'qin'yi 可谓勤矣
'ke'wei'you'lao'yi 可谓有劳矣
'ke'xiao'bu'zi'liang 可笑不自量
'ke'yi'chu'er'shi'yi 可以出而仕矣
'ke'yin'er'ji'shi 渴饮而饥食
'ken'bu'chui'yi'ping'yu'lei 肯不垂意瓶与罍
'ken'jiang'shuai'xiu'xi'can'nian 肯将衰朽惜残年
'kong'cheng'bie'wo'shi'lin'ru 孔丞别我适临汝
'kong'dao'yi'ming 孔道以明
'kong'wen'yu'fu'kou'xian'ge 空闻渔父扣舷歌
'kong'xu'han'jing'jing 空虚寒兢兢
'kong'zi'mei 孔子没
'kong'zi'xi'xing'bu'dao'qin 孔子西行不到秦
'kuai'jian'zhuo'duan'sheng'jiao'tuo 快剑斫断生蛟鼍
'kuang'nai'man'di'cheng'cui'tui 况乃满地成摧颓
'kui'chen'bian'yi'dao'qie 窥陈编以盗窃
'kun'ming'da'chi'bei 昆明大池北
'lan'man'dui'zhong'zhou 烂漫堆众皱
'lang'bo'yun'yun'qu 浪波沄沄去
'lao'zi'zhi'suo'wei'dao'de'yun'zhe 老子之所谓道德云者
'lao'zi'zhi'xiao'ren'yi 老子之小仁义
'le'qi'dan'er'zi'xiao'ye 乐其诞而自小也
'lei'dian'qie'he'gou 雷电怯呵诟
'lei'dian'xia'qu'jiang 雷电下取将
'lei'mu'ku'meng'mao 泪目苦矇瞀
'li'bu'zu 力不足
'li'du'wen'zhang'zai 李杜文章在
'li'shi'zi'pan 李氏子蟠
'li'sui'neng'pai'wo 力虽能排斡
'liao'yi'wu'zi'zhi'xing'bu'zhi'ye 聊以吾子之行卜之也
'lin'ke'you'tuo'ye 林柯有脱叶
'ling'lu'fan'hu'zou 岭陆烦互走
'liu'luo'ren'jian'zhe 流落人间者
'liu'nian'xi'gu'kong'yin'e 六年西顾空吟哦
'liu'se'ru'jin'shen'wei'shen 柳色如今深未深
'liu'yi'jing'zhuan'jie'tong'xi'zhi 六艺经传皆通习之
'long'xu'qi'cheng'yun 龙嘘气成云
'lou'que'chi'bai'zheng'cui'wei 楼阙赤白正崔嵬
'lou'ru'bian'shi'bu'shou'ru 陋儒编诗不收入
'lu'li'ren'lao'jiu 戮力忍劳疚
'luan'xiang'feng'zhu'zhong'xian'xia 鸾翔凤翥众仙下
'luo'luo'yue'jing'su 落落月经宿
'luo'yang'dong'feng'ji'shi'lai 洛阳东风几时来
'lv'bu'de'zhi'yu'you'si 屡不得志于有司
'lv'mai'sui'fen'xiu 缕脉碎分绣
'ma'shuo 马说
'ma'zhi'qian'li'zhe 马之千里者
'man'lv'yao'hong'ban'bu'cun 慢绿妖红半不存
'mang'mei'fei'shou'shou 茫昧非受授
'mang'ru'shi'jiao'shou 茫如试矫首
'mang'yang'qiong'hu'xuan'jian 茫洋穷乎玄间
'meng'jue'deng'sheng'yun 梦觉灯生晕
'mian'lian'qiong'fu'shi 绵联穷俯视
'miao'ling'lao'ren'shi'shen'yi 庙令老人识神意
'mie'qi'tian'chang 灭其天常
'min'bu'chu'su'mi'ma'si 民不出粟米麻丝
'min'mian'shui'quan'you 黾勉谁劝侑
'min'yan'er'bu'shi'qi'shi 民焉而不事其事
'min'zhe 民者
'ming'hun'wu'ting'tai 明昏无停态
'ming'tian'zi'zai'shang 明天子在上
'ming'yi'sui'zhi 名亦随之
'ming'yi'yi'zhe'wu'bu'yong 名一艺者无不庸
'ming'yu'chou'mou 命与仇谋
'ming'zhi'er'bu'neng'tong'qi'yi 鸣之而不能通其意
'mo'dao'guan'mang'shen'lao'da 莫道官忙身老大
'mo'ling'yan'zhang'song'sheng'ya 莫令炎瘴送生涯
'mo'mo'qing'yin'wan'zi'kai 漠漠轻阴晚自开
'mu'chu'er'dian 木处而颠
'mu'tong'qiao'huo'niu'li'jiao 牧童敲火牛砺角
'na'yong'gu'bang'shang 那用故谤伤
'nai'fen'zhi'yi 乃分之宜
'nai'qi'suo'zi'wei'ye 乃其所自为也
'nai'zhi'he'min'bu'qiong'qie'dao'ye 奈之何民不穷且盗也
'nan'shan'shi 南山诗
'neng'yi'ci'shang'lun'lie 能以此尚论列
'ni'ni'er'nv'yu 昵昵儿女语
'nian'feng'er'qi'ti'ji 年丰而妻啼饥
'nian'shen'qi'mian'you'que'hua 年深岂免有缺画
'nian'shi'qi 年十七
'ning'zhan'bi'yin'shou 凝湛閟阴兽
'nong'lv'hua'xin'jiu 浓绿画新就
'nong'zhi'jia'yi 农之家一
'pa'luo'ti'jue 爬罗剔抉
'pan'si'bei'guan'bu'kan'shuo 判司卑官不堪说
'pan'yuan'tuo'shou'zu 攀缘脱手足
'pen'yun'xie'wu'cang'ban'fu 喷云泄雾藏半腹
'pi'fu'han'da'shu 蚍蜉撼大树
'pian'si'yu'cao'li'zhi'jian 骈死于槽枥之间
'pin'zao'man'pan'wu'chu'dian 蘋藻满盘无处奠
'ping'jun'xian'dao'jiang'tou'kan 凭君先到江头看
'ping'sheng'qian'wan'pian 平生千万篇
'pou'dou'zhe'heng 剖斗折衡
'pu'chuang'fu'xi'zhi'geng'fan 铺床拂席置羹饭
'qi'bi'ju'shu'wei'ren'ji 岂必局束为人鞿
'qi'chu'ren'ye'yuan'yi 其出人也远矣
'qi'fei'zheng'zhi'neng'gan'tong 岂非正直能感通
'qi'hao'sui'shu 其号虽殊
'qi'jian'zhe'xiao'ye 其见者小也
'qi'jie'chu'yu'ci'hu 其皆出于此乎
'qi'ju'jian'yi'lian'pian'lai 起居谏议联翩来
'qi'jun'fei'xia'pei 乞君飞霞佩
'qi'ke'guai'ye'yu 其可怪也欤
'qi'nian'shi'gai'cheng'yuan'he 其年始改称元和
'qi'qu'shang'xuan'ang 崎岖上轩昂
'qi'ru'yu'nu'li'ren'zhi'shou 祇辱于奴隶人之手
'qi'shi'sui'shu 其事虽殊
'qi'shu'cong'er'qiu'zhi 其孰从而求之
'qi'shu'man'jia 其书满家
'qi'suo'ping'yi 其所凭依
'qi'suo'wei'dao 其所谓道
'qi'suo'wei'de 其所谓德
'qi'suo'yi'wei'sheng'yi'ye 其所以为圣一也
'qi'suo'yi'wei'zhi'yi'ye 其所以为智一也
'qi'wei'huo'ye 其为惑也
'qi'wen'dao'ye'gu'xian'hu'wu 其闻道也固先乎吾
'qi'wen'dao'ye'yi'xian'hu'wu 其闻道也亦先乎吾
'qi'xia'sheng'ren'ye'yi'yuan'yi 其下圣人也亦远矣
'qi'xiao'zhi'ye'ze'yi 其小之也则宜
'qi'yan'dao'de'ren'yi'zhe 其言道德仁义者
'qi'yi'bu'si'er'yi'yi 其亦不思而已矣
'qi'yi'bu'xing'er'bu'chu'yu'san'dai'zhi'qian 其亦不幸而不出于三代之前
'qi'yu'yu'shi'he'ru'ye 其遇于世何如也
'qi'zhen'wu'ma'xie 其真无马邪
'qi'zuo'zai'yi'pang 起坐在一旁
'qian'di'hua'kai'kuo 前低划开阔
'qian'kun'bai'lei'lang 乾坤摆雷硠
'qian'li'ma'chang'you 千里马常有
'qian'nian'zao'qian'zhe 前年遭谴谪
'qian'sui'du'yin'bai'biao'hui 前随杜尹拜表回
'qian'xin'mo'dao'ruo'you'ying 潜心默祷若有应
'qian'xun'jing'du'shu 前寻径杜墅
'qian'yi'bu'tui'ma 褰衣步推马
'qian'zhe'zhui'hui'liu'zhe'hai 迁者追回流者还
'qie'yu'yu'chang'ma'deng'bu'ke'de 且欲与常马等不可得
'qing'chen'hui'hui'zhu'xia'ri 清晨辉辉烛霞日
'qing'feng'chui'kong'yue'shu'bo 清风吹空月舒波
'qing'ke'yi'zhuang'hou 顷刻异状候
'qing'ming'chu'leng'jiao 晴明出棱角
'qing'qing'shui'zhong'pu 青青水中蒲
'qing'qing'shui'zhong'pu'er'shou 青青水中蒲二首
'qing'qing'zhong'shui'pu 青青中水蒲
